sequence,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeOEJvhFXgB8lBanB5?nB9rBzpB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeOEJvhF8kBzgBanB5?nB9rBXqB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeT/IvhFKlBfmBmhB5?nBtrB0pB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeNEJvhFRgBGiB0lB6?rB/sBzpB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeNEJvhFUhBanB5nBX?lBGrBzpB
LTSIOZJ,O,O,O,X,X
LTSJIZO,O,O,O,O,O
LTSJIOZ,O,O,O,O,O
LTSJZIO,O,O,O,O,O
LTSJZOI,O,O,O,O,O
LTSJOIZ,O,O,O,O,O
LTSJOZI,O,O,O,O,O
LTSZIJO,O,O,O,O,X
LTSZIOJ,O,O,O,O,X
LTSZJIO,O,O,O,O,X
LTSZJOI,O,O,O,O,X
LTSZOIJ,O,O,O,O,X
LTSZOJI,O,O,O,O,X
LTSOIJZ,O,O,O,O,X
LTSOIZJ,O,O,O,O,X
LTSOJIZ,O,O,O,O,X
LTSOJZI,O,O,O,O,X
LTSOZIJ,O,O,O,O,X
LTSOZJI,O,O,O,O,X
LTZIJSO,O,X,O,O,O
LTZIJOS,O,X,O,X,O
LTZISJO,O,O,O,O,X
LTZISOJ,O,O,O,O,X
LTZIOJS,O,X,O,X,X
LTZIOSJ,O,O,O,O,X
LTZJISO,O,X,O,O,O
LTZJIOS,O,X,O,X,O
LTZJSIO,O,X,O,O,O
LTZJSOI,O,X,O,O,O
LTZJOIS,O,X,O,X,O
LTZJOSI,O,X,O,X,O
LTZSIJO,O,O,O,O,X
LTZSIOJ,O,O,O,O,X
LTZSJIO,O,O,O,O,X
LTZSJOI,O,O,O,O,X
LTZSOIJ,O,O,O,O,X
LTZSOJI,O,O,O,O,X
LTZOIJS,O,X,O,X,X
LTZOISJ,O,O,O,O,X
LTZOJIS,O,X,O,X,X
LTZOJSI,O,X,O,X,X
LTZOSIJ,O,O,O,O,X
LTZOSJI,O,O,O,O,X
LTOIJSZ,O,O,X,O,O
LTOIJZS,O,X,X,X,O
LTOISJZ,O,O,O,O,X
LTOISZJ,O,O,O,O,X
LTOIZJS,O,X,O,O,X
LTOIZSJ,O,O,O,O,X
LTOJISZ,O,O,X,O,O
LTOJIZS,O,X,X,X,O
LTOJSIZ,O,O,X,O,O
LTOJSZI,O,O,X,O,O
LTOJZIS,O,X,X,O,O
LTOJZSI,O,X,X,O,O
LTOSIJZ,O,O,O,O,X
LTOSIZJ,O,O,O,O,X
LTOSJIZ,O,O,O,O,X
LTOSJZI,O,O,O,O,X
LTOSZIJ,O,O,O,O,X
LTOSZJI,O,O,O,O,X
LTOZIJS,O,X,O,O,X
LTOZISJ,O,O,O,O,X
LTOZJIS,O,X,O,O,X
LTOZJSI,O,X,O,O,X
LTOZSIJ,O,O,O,O,X
LTOZSJI,O,O,O,O,X
LITJSZO,O,O,O,O,O
LITJSOZ,O,O,O,O,O
LITJZSO,O,X,O,X,O
LITJZOS,O,X,O,X,O
LITJOSZ,O,O,X,X,O
LITJOZS,O,X,X,X,O
LITSJZO,O,O,O,O,O
LITSJOZ,O,O,O,O,O
LITSZJO,O,O,O,O,X
LITSZOJ,O,O,O,O,X
LITSOJZ,O,O,O,O,X
LITSOZJ,O,O,O,X,X
LITZJSO,O,X,O,O,O
LITZJOS,O,X,O,X,O
LITZSJO,O,O,O,O,X
LITZSOJ,O,O,O,O,X
LITZOJS,O,X,O,X,X
LITZOSJ,O,O,O,O,X
LITOJSZ,O,O,X,X,O
LITOJZS,O,X,X,X,O
LITOSJZ,O,O,O,O,X
LITOSZJ,O,O,O,X,X
LITOZJS,O,X,O,X,X
LITOZSJ,O,O,O,X,X
LIJTSZO,O,O,O,X,O
LIJTSOZ,O,O,O,X,O
LIJTZSO,O,X,O,X,O
LIJTZOS,O,X,O,X,O
LIJTOSZ,O,O,X,X,O
LIJTOZS,O,X,X,X,O
LIJSTZO,O,X,O,X,O
LIJSTOZ,O,X,O,X,O
LIJSZTO,X,X,O,X,O
LIJSZOT,X,X,O,X,O
LIJSOTZ,O,X,X,X,O
LIJSOZT,X,X,X,X,O
LIJZTSO,O,X,O,X,O
LIJZTOS,O,X,O,X,O
LIJZSTO,O,X,O,X,O
LIJZSOT,X,X,O,X,O
LIJZOTS,O,X,O,X,O
LIJZOST,X,X,O,X,O
LIJOTSZ,O,X,X,X,O
LIJOTZS,O,X,X,X,O
LIJOSTZ,O,X,X,X,O
LIJOSZT,O,X,X,X,O
LIJOZTS,O,X,X,X,O
LIJOZST,O,X,X,X,O
LISTJZO,O,O,O,O,O
LISTJOZ,O,O,O,O,O
LISTZJO,O,O,O,O,X
LISTZOJ,O,O,O,O,X
LISTOJZ,O,O,O,O,X
LISTOZJ,O,O,O,X,X
LISJTZO,O,X,O,O,O
LISJTOZ,O,X,O,O,O
LISJZTO,X,X,O,O,O
LISJZOT,X,X,O,X,O
LISJOTZ,O,X,X,O,O
LISJOZT,X,X,X,O,O
LISZTJO,X,O,O,O,X
LISZTOJ,X,O,O,O,X
LISZJTO,X,O,O,O,X
LISZJOT,X,O,O,X,X
LISZOTJ,X,O,O,X,X
LISZOJT,X,O,O,X,X
LISOTJZ,O,O,O,O,X
LISOTZJ,O,O,O,O,X
LISOJTZ,O,X,X,O,X
LISOJZT,X,X,X,O,X
LISOZTJ,X,O,O,O,X
LISOZJT,X,O,O,O,X
LIZTJSO,O,X,O,O,O
LIZTJOS,O,X,O,X,O
LIZTSJO,O,O,O,O,X
LIZTSOJ,O,O,O,O,X
LIZTOJS,O,X,O,X,X
LIZTOSJ,O,O,O,O,X
LIZJTSO,O,X,O,X,O
LIZJTOS,O,X,O,X,O
LIZJSTO,O,X,O,X,O
LIZJSOT,X,X,O,X,O
LIZJOTS,O,X,O,X,O
LIZJOST,X,X,O,X,O
LIZSTJO,O,X,O,O,X
LIZSTOJ,O,X,O,O,X
LIZSJTO,O,X,O,O,X
LIZSJOT,X,X,O,X,X
LIZSOTJ,X,X,O,X,X
LIZSOJT,X,X,O,X,X
LIZOTJS,O,X,O,X,X
LIZOTSJ,O,X,O,X,X
LIZOJTS,O,X,O,X,X
LIZOJST,O,X,O,X,X
LIZOSTJ,O,X,O,X,X
LIZOSJT,O,X,O,X,X
LIOTJSZ,O,O,X,O,O
LIOTJZS,O,X,X,X,O
LIOTSJZ,O,O,O,O,X
LIOTSZJ,O,O,O,O,X
LIOTZJS,O,X,O,O,X
LIOTZSJ,O,O,O,O,X
LIOJTSZ,O,X,X,X,O
LIOJTZS,O,X,X,X,O
LIOJSTZ,O,X,X,X,O
LIOJSZT,O,X,X,X,O
LIOJZTS,O,X,X,X,O
LIOJZST,O,X,X,X,O
LIOSTJZ,O,X,O,O,X
LIOSTZJ,O,X,O,O,X
LIOSJTZ,O,X,X,O,X
LIOSJZT,O,X,X,O,X
LIOSZTJ,O,X,O,O,X
LIOSZJT,O,X,O,O,X
LIOZTJS,O,X,O,O,X
LIOZTSJ,O,X,O,O,X
LIOZJTS,O,X,O,X,X
LIOZJST,O,X,O,X,X
LIOZSTJ,O,X,O,O,X
LIOZSJT,O,X,O,O,X
LJTISZO,O,O,O,O,O
LJTISOZ,O,O,O,O,O
LJTIZSO,O,X,O,X,O
LJTIZOS,O,X,O,X,O
LJTIOSZ,O,O,X,X,O
LJTIOZS,O,X,X,X,O
LJTSIZO,O,O,O,O,O
LJTSIOZ,O,O,O,O,O
LJTSZIO,O,O,O,O,O
LJTSZOI,O,O,O,O,O
LJTSOIZ,O,O,O,O,O
LJTSOZI,O,O,O,O,O
LJTZISO,O,X,O,O,O
LJTZIOS,O,X,O,X,O
LJTZSIO,O,X,O,O,O
LJTZSOI,O,X,O,O,O
LJTZOIS,O,X,O,X,O
LJTZOSI,O,X,O,X,O
LJTOISZ,O,O,X,X,O
LJTOIZS,O,X,X,X,O
LJTOSIZ,O,O,X,X,O
LJTOSZI,O,O,X,X,O
LJTOZIS,O,X,X,X,O
LJTOZSI,O,X,X,X,O
LJITSZO,O,O,O,X,O
LJITSOZ,O,O,O,X,O
LJITZSO,O,X,O,X,O
LJITZOS,O,X,O,X,O
LJITOSZ,O,O,X,X,O
LJITOZS,O,X,X,X,O
LJISTZO,O,X,O,X,O
LJISTOZ,O,X,O,X,O
LJISZTO,X,X,O,X,O
LJISZOT,X,X,O,X,O
LJISOTZ,O,X,X,X,O
LJISOZT,X,X,X,X,O
LJIZTSO,O,X,O,X,O
LJIZTOS,O,X,O,X,O
LJIZSTO,O,X,O,X,O
LJIZSOT,X,X,O,X,O
LJIZOTS,O,X,O,X,O
LJIZOST,X,X,O,X,O
LJIOTSZ,O,X,X,X,O
LJIOTZS,O,X,X,X,O
LJIOSTZ,O,X,X,X,O
LJIOSZT,O,X,X,X,O
LJIOZTS,O,X,X,X,O
LJIOZST,O,X,X,X,O
LJSTIZO,O,X,O,O,O
LJSTIOZ,O,X,O,O,O
LJSTZIO,O,X,O,O,O
LJSTZOI,O,X,O,O,O
LJSTOIZ,O,X,O,O,O
LJSTOZI,O,X,O,O,O
LJSITZO,O,X,O,O,O
LJSITOZ,O,X,O,O,O
LJSIZTO,X,X,O,O,O
LJSIZOT,X,X,O,X,O
LJSIOTZ,O,X,X,O,O
LJSIOZT,X,X,X,O,O
LJSZTIO,X,X,O,O,O
LJSZTOI,X,X,O,O,O
LJSZITO,X,X,O,O,O
LJSZIOT,X,X,O,X,O
LJSZOTI,X,X,O,O,O
LJSZOIT,X,X,O,O,O
LJSOTIZ,O,X,X,O,O
LJSOTZI,O,X,X,O,O
LJSOITZ,O,X,X,O,O
LJSOIZT,X,X,X,O,O
LJSOZTI,X,X,X,O,O
LJSOZIT,X,X,X,O,O
LJZTISO,O,X,O,O,O
LJZTIOS,O,X,O,X,O
LJZTSIO,O,X,O,O,O
LJZTSOI,O,X,O,O,O
LJZTOIS,O,X,O,X,O
LJZTOSI,O,X,O,X,O
LJZITSO,O,X,O,X,O
LJZITOS,O,X,O,X,O
LJZISTO,O,X,O,X,O
LJZISOT,X,X,O,X,O
LJZIOTS,O,X,O,X,O
LJZIOST,X,X,O,X,O
LJZSTIO,O,X,O,O,O
LJZSTOI,O,X,O,O,O
LJZSITO,O,X,O,O,O
LJZSIOT,X,X,O,X,O
LJZSOTI,X,X,O,O,O
LJZSOIT,X,X,O,X,O
LJZOTIS,O,X,O,X,O
LJZOTSI,O,X,O,X,O
LJZOITS,O,X,O,X,O
LJZOIST,X,X,O,X,O
LJZOSTI,X,X,O,X,O
LJZOSIT,X,X,O,X,O
LJOTISZ,O,X,X,O,O
LJOTIZS,O,X,X,X,O
LJOTSIZ,O,X,X,O,O
LJOTSZI,O,X,X,O,O
LJOTZIS,O,X,X,O,O
LJOTZSI,O,X,X,O,O
LJOITSZ,O,X,X,X,O
LJOITZS,O,X,X,X,O
LJOISTZ,O,X,X,X,O
LJOISZT,O,X,X,X,O
LJOIZTS,O,X,X,X,O
LJOIZST,O,X,X,X,O
LJOSTIZ,O,X,X,O,O
LJOSTZI,O,X,X,O,O
LJOSITZ,O,X,X,O,O
LJOSIZT,O,X,X,O,O
LJOSZTI,O,X,X,O,O
LJOSZIT,O,X,X,O,O
LJOZTIS,O,X,X,O,O
LJOZTSI,O,X,X,O,O
LJOZITS,O,X,X,X,O
LJOZIST,O,X,X,X,O
LJOZSTI,O,X,X,O,O
LJOZSIT,O,X,X,O,O
LSTIJZO,O,O,O,O,O
LSTIJOZ,O,O,O,O,O
LSTIZJO,O,O,O,O,X
LSTIZOJ,O,O,O,O,X
LSTIOJZ,O,O,O,O,X
LSTIOZJ,O,O,O,X,X
LSTJIZO,O,O,O,O,O
LSTJIOZ,O,O,O,O,O
LSTJZIO,O,O,O,O,O
LSTJZOI,O,O,O,O,O
LSTJOIZ,O,O,O,O,O
LSTJOZI,O,O,O,O,O
LSTZIJO,O,O,O,O,X
LSTZIOJ,O,O,O,O,X
LSTZJIO,O,O,O,O,X
LSTZJOI,O,O,O,O,X
LSTZOIJ,O,O,O,O,X
LSTZOJI,O,O,O,O,X
LSTOIJZ,O,O,O,O,X
LSTOIZJ,O,O,O,O,X
LSTOJIZ,O,O,O,O,X
LSTOJZI,O,O,O,O,X
LSTOZIJ,O,O,O,O,X
LSTOZJI,O,O,O,O,X
LSITJZO,O,O,O,O,O
LSITJOZ,O,O,O,O,O
LSITZJO,O,O,O,O,X
LSITZOJ,O,O,O,O,X
LSITOJZ,O,O,O,O,X
LSITOZJ,O,O,O,X,X
LSIJTZO,O,X,O,O,O
LSIJTOZ,O,X,O,O,O
LSIJZTO,X,X,O,O,O
LSIJZOT,X,X,O,X,O
LSIJOTZ,O,X,X,O,O
LSIJOZT,X,X,X,O,O
LSIZTJO,X,O,O,O,X
LSIZTOJ,X,O,O,O,X
LSIZJTO,X,O,O,O,X
LSIZJOT,X,O,O,X,X
LSIZOTJ,X,O,O,X,X
LSIZOJT,X,O,O,X,X
LSIOTJZ,O,O,O,O,X
LSIOTZJ,O,O,O,O,X
LSIOJTZ,O,X,X,O,X
LSIOJZT,X,X,X,O,X
LSIOZTJ,X,O,O,O,X
LSIOZJT,X,O,O,O,X
LSJTIZO,O,X,O,O,O
LSJTIOZ,O,X,O,O,O
LSJTZIO,O,X,O,O,O
LSJTZOI,O,X,O,O,O
LSJTOIZ,O,X,O,O,O
LSJTOZI,O,X,O,O,O
LSJITZO,O,X,O,O,O
LSJITOZ,O,X,O,O,O
LSJIZTO,X,X,O,O,O
LSJIZOT,X,X,O,X,O
LSJIOTZ,O,X,X,O,O
LSJIOZT,X,X,X,O,O
LSJZTIO,X,X,O,O,O
LSJZTOI,X,X,O,O,O
LSJZITO,X,X,O,O,O
LSJZIOT,X,X,O,X,O
LSJZOTI,X,X,O,O,O
LSJZOIT,X,X,O,O,O
LSJOTIZ,O,X,X,O,O
LSJOTZI,O,X,X,O,O
LSJOITZ,O,X,X,O,O
LSJOIZT,X,X,X,O,O
LSJOZTI,X,X,X,O,O
LSJOZIT,X,X,X,O,O
LSZTIJO,X,O,O,O,X
LSZTIOJ,X,O,O,O,X
LSZTJIO,X,O,O,O,X
LSZTJOI,X,O,O,O,X
LSZTOIJ,X,O,O,O,X
LSZTOJI,X,O,O,O,X
LSZITJO,X,O,O,O,X
LSZITOJ,X,O,O,O,X
LSZIJTO,X,O,O,O,X
LSZIJOT,X,O,O,X,X
LSZIOTJ,X,O,O,X,X
LSZIOJT,X,O,O,X,X
LSZJTIO,X,O,O,O,X
LSZJTOI,X,O,O,O,X
LSZJITO,X,O,O,O,X
LSZJIOT,X,O,O,X,X
LSZJOTI,X,O,O,O,X
LSZJOIT,X,O,O,O,X
LSZOTIJ,X,O,O,O,X
LSZOTJI,X,O,O,O,X
LSZOITJ,X,O,O,O,X
LSZOIJT,X,O,O,O,X
LSZOJTI,X,O,O,O,X
LSZOJIT,X,O,O,O,X
LSOTIJZ,O,O,O,O,X
LSOTIZJ,O,O,O,O,X
LSOTJIZ,O,O,O,O,X
LSOTJZI,O,O,O,O,X
LSOTZIJ,O,O,O,O,X
LSOTZJI,O,O,O,O,X
LSOITJZ,O,O,O,O,X
LSOITZJ,O,O,O,O,X
LSOIJTZ,O,X,X,O,X
LSOIJZT,X,X,X,O,X
LSOIZTJ,X,O,O,O,X
LSOIZJT,X,O,O,O,X
LSOJTIZ,O,X,X,O,X
LSOJTZI,O,X,X,O,X
LSOJITZ,O,X,X,O,X
LSOJIZT,X,X,X,O,X
LSOJZTI,X,X,X,O,X
LSOJZIT,X,X,X,O,X
LSOZTIJ,X,O,O,O,X
LSOZTJI,X,O,O,O,X
LSOZITJ,X,O,O,O,X
LSOZIJT,X,O,O,O,X
LSOZJTI,X,O,O,O,X
LSOZJIT,X,O,O,O,X
LZTIJSO,O,X,O,O,O
LZTIJOS,O,X,O,X,O
LZTISJO,O,O,O,O,X
LZTISOJ,O,O,O,O,X
LZTIOJS,O,X,O,X,X
LZTIOSJ,O,O,O,O,X
LZTJISO,O,X,O,O,O
LZTJIOS,O,X,O,X,O
LZTJSIO,O,X,O,O,O
LZTJSOI,O,X,O,O,O
LZTJOIS,O,X,O,X,O
LZTJOSI,O,X,O,X,O
LZTSIJO,O,O,O,O,X
LZTSIOJ,O,O,O,O,X
LZTSJIO,O,O,O,O,X
LZTSJOI,O,O,O,O,X
LZTSOIJ,O,O,O,O,X
LZTSOJI,O,O,O,O,X
LZTOIJS,O,X,O,X,X
LZTOISJ,O,O,O,O,X
LZTOJIS,O,X,O,X,X
LZTOJSI,O,X,O,X,X
LZTOSIJ,O,O,O,O,X
LZTOSJI,O,O,O,O,X
LZITJSO,O,X,O,O,O
LZITJOS,O,X,O,X,O
LZITSJO,O,O,O,O,X
LZITSOJ,O,O,O,O,X
LZITOJS,O,X,O,X,X
LZITOSJ,O,O,O,O,X
LZIJTSO,O,X,O,X,O
LZIJTOS,O,X,O,X,O
LZIJSTO,O,X,O,X,O
LZIJSOT,X,X,O,X,O
LZIJOTS,O,X,O,X,O
LZIJOST,X,X,O,X,O
LZISTJO,O,X,O,O,X
LZISTOJ,O,X,O,O,X
LZISJTO,O,X,O,O,X
LZISJOT,X,X,O,X,X
LZISOTJ,X,X,O,X,X
LZISOJT,X,X,O,X,X
LZIOTJS,O,X,O,X,X
LZIOTSJ,O,X,O,X,X
LZIOJTS,O,X,O,X,X
LZIOJST,O,X,O,X,X
LZIOSTJ,O,X,O,X,X
LZIOSJT,O,X,O,X,X
LZJTISO,O,X,O,O,O
LZJTIOS,O,X,O,X,O
LZJTSIO,O,X,O,O,O
LZJTSOI,O,X,O,O,O
LZJTOIS,O,X,O,X,O
LZJTOSI,O,X,O,X,O
LZJITSO,O,X,O,X,O
LZJITOS,O,X,O,X,O
LZJISTO,O,X,O,X,O
LZJISOT,X,X,O,X,O
LZJIOTS,O,X,O,X,O
LZJIOST,X,X,O,X,O
LZJSTIO,O,X,O,O,O
LZJSTOI,O,X,O,O,O
LZJSITO,O,X,O,O,O
LZJSIOT,X,X,O,X,O
LZJSOTI,X,X,O,O,O
LZJSOIT,X,X,O,X,O
LZJOTIS,O,X,O,X,O
LZJOTSI,O,X,O,X,O
LZJOITS,O,X,O,X,O
LZJOIST,X,X,O,X,O
LZJOSTI,X,X,O,X,O
LZJOSIT,X,X,O,X,O
LZSTIJO,O,X,O,O,X
LZSTIOJ,O,X,O,O,X
LZSTJIO,O,X,O,O,X
LZSTJOI,O,X,O,O,X
LZSTOIJ,O,X,O,O,X
LZSTOJI,O,X,O,O,X
LZSITJO,O,X,O,O,X
LZSITOJ,O,X,O,O,X
LZSIJTO,O,X,O,O,X
LZSIJOT,X,X,O,X,X
LZSIOTJ,X,X,O,X,X
LZSIOJT,X,X,O,X,X
LZSJTIO,O,X,O,O,X
LZSJTOI,O,X,O,O,X
LZSJITO,O,X,O,O,X
LZSJIOT,X,X,O,X,X
LZSJOTI,X,X,O,O,X
LZSJOIT,X,X,O,O,X
LZSOTIJ,X,X,O,O,X
LZSOTJI,X,X,O,O,X
LZSOITJ,X,X,O,O,X
LZSOIJT,X,X,O,O,X
LZSOJTI,X,X,O,O,X
LZSOJIT,X,X,O,O,X
LZOTIJS,O,X,O,O,X
LZOTISJ,O,X,O,O,X
LZOTJIS,O,X,O,O,X
LZOTJSI,O,X,O,O,X
LZOTSIJ,O,X,O,O,X
LZOTSJI,O,X,O,O,X
LZOITJS,O,X,O,O,X
LZOITSJ,O,X,O,O,X
LZOIJTS,O,X,O,X,X
LZOIJST,O,X,O,X,X
LZOISTJ,O,X,O,O,X
LZOISJT,O,X,O,O,X
LZOJTIS,O,X,O,O,X
LZOJTSI,O,X,O,O,X
LZOJITS,O,X,O,X,X
LZOJIST,O,X,O,X,X
LZOJSTI,O,X,O,O,X
LZOJSIT,O,X,O,O,X
LZOSTIJ,O,X,O,O,X
LZOSTJI,O,X,O,O,X
LZOSITJ,O,X,O,O,X
LZOSIJT,O,X,O,O,X
LZOSJTI,O,X,O,O,X
LZOSJIT,O,X,O,O,X
LOTIJSZ,O,O,X,O,O
LOTIJZS,O,X,X,X,O
LOTISJZ,O,O,O,O,X
LOTISZJ,O,O,O,O,X
LOTIZJS,O,X,O,O,X
LOTIZSJ,O,O,O,O,X
LOTJISZ,O,O,X,O,O
LOTJIZS,O,X,X,X,O
LOTJSIZ,O,O,X,O,O
LOTJSZI,O,O,X,O,O
LOTJZIS,O,X,X,O,O
LOTJZSI,O,X,X,O,O
LOTSIJZ,O,O,O,O,X
LOTSIZJ,O,O,O,O,X
LOTSJIZ,O,O,O,O,X
LOTSJZI,O,O,O,O,X
LOTSZIJ,O,O,O,O,X
LOTSZJI,O,O,O,O,X
LOTZIJS,O,X,O,O,X
LOTZISJ,O,O,O,O,X
LOTZJIS,O,X,O,O,X
LOTZJSI,O,X,O,O,X
LOTZSIJ,O,O,O,O,X
LOTZSJI,O,O,O,O,X
LOITJSZ,O,O,X,O,O
LOITJZS,O,X,X,X,O
LOITSJZ,O,O,O,O,X
LOITSZJ,O,O,O,O,X
LOITZJS,O,X,O,O,X
LOITZSJ,O,O,O,O,X
LOIJTSZ,O,X,X,X,O
LOIJTZS,O,X,X,X,O
LOIJSTZ,O,X,X,X,O
LOIJSZT,O,X,X,X,O
LOIJZTS,O,X,X,X,O
LOIJZST,O,X,X,X,O
LOISTJZ,O,X,O,O,X
LOISTZJ,O,X,O,O,X
LOISJTZ,O,X,X,O,X
LOISJZT,O,X,X,O,X
LOISZTJ,O,X,O,O,X
LOISZJT,O,X,O,O,X
LOIZTJS,O,X,O,O,X
LOIZTSJ,O,X,O,O,X
LOIZJTS,O,X,O,X,X
LOIZJST,O,X,O,X,X
LOIZSTJ,O,X,O,O,X
LOIZSJT,O,X,O,O,X
LOJTISZ,O,X,X,O,O
LOJTIZS,O,X,X,X,O
LOJTSIZ,O,X,X,O,O
LOJTSZI,O,X,X,O,O
LOJTZIS,O,X,X,O,O
LOJTZSI,O,X,X,O,O
LOJITSZ,O,X,X,X,O
LOJITZS,O,X,X,X,O
LOJISTZ,O,X,X,X,O
LOJISZT,O,X,X,X,O
LOJIZTS,O,X,X,X,O
LOJIZST,O,X,X,X,O
LOJSTIZ,O,X,X,O,O
LOJSTZI,O,X,X,O,O
LOJSITZ,O,X,X,O,O
LOJSIZT,O,X,X,O,O
LOJSZTI,O,X,X,O,O
LOJSZIT,O,X,X,O,O
LOJZTIS,O,X,X,O,O
LOJZTSI,O,X,X,O,O
LOJZITS,O,X,X,X,O
LOJZIST,O,X,X,X,O
LOJZSTI,O,X,X,O,O
LOJZSIT,O,X,X,O,O
LOSTIJZ,O,X,O,O,X
LOSTIZJ,O,X,O,O,X
LOSTJIZ,O,X,O,O,X
LOSTJZI,O,X,O,O,X
LOSTZIJ,O,X,O,O,X
LOSTZJI,O,X,O,O,X
LOSITJZ,O,X,O,O,X
LOSITZJ,O,X,O,O,X
LOSIJTZ,O,X,X,O,X
LOSIJZT,O,X,X,O,X
LOSIZTJ,O,X,O,O,X
LOSIZJT,O,X,O,O,X
LOSJTIZ,O,X,X,O,X
LOSJTZI,O,X,X,O,X
LOSJITZ,O,X,X,O,X
LOSJIZT,O,X,X,O,X
LOSJZTI,O,X,X,O,X
LOSJZIT,O,X,X,O,X
LOSZTIJ,O,X,O,O,X
LOSZTJI,O,X,O,O,X
LOSZITJ,O,X,O,O,X
LOSZIJT,O,X,O,O,X
LOSZJTI,O,X,O,O,X
LOSZJIT,O,X,O,O,X
LOZTIJS,O,X,O,O,X
LOZTISJ,O,X,O,O,X
LOZTJIS,O,X,O,O,X
LOZTJSI,O,X,O,O,X
LOZTSIJ,O,X,O,O,X
LOZTSJI,O,X,O,O,X
LOZITJS,O,X,O,O,X
LOZITSJ,O,X,O,O,X
LOZIJTS,O,X,O,X,X
LOZIJST,O,X,O,X,X
LOZISTJ,O,X,O,O,X
LOZISJT,O,X,O,O,X
LOZJTIS,O,X,O,O,X
LOZJTSI,O,X,O,O,X
LOZJITS,O,X,O,X,X
LOZJIST,O,X,O,X,X
LOZJSTI,O,X,O,O,X
LOZJSIT,O,X,O,O,X
LOZSTIJ,O,X,O,O,X
LOZSTJI,O,X,O,O,X
LOZSITJ,O,X,O,O,X
LOZSIJT,O,X,O,O,X
LOZSJTI,O,X,O,O,X
LOZSJIT,O,X,O,O,X
JTILSZO,O,O,O,O,O
JTILSOZ,O,O,O,O,O
JTILZSO,O,X,O,X,O
JTILZOS,O,X,O,X,O
JTILOSZ,O,O,X,X,O
JTILOZS,O,X,X,X,O
JTISLZO,O,O,O,O,O
JTISLOZ,O,O,O,O,O
JTISZLO,O,O,O,O,O
JTISZOL,O,O,O,O,O
JTISOLZ,O,O,O,O,O
JTISOZL,O,O,O,O,O
JTIZLSO,O,X,O,X,O
JTIZLOS,O,X,O,X,O
JTIZSLO,O,X,O,O,O
JTIZSOL,O,X,O,O,O
JTIZOLS,O,X,O,X,O
JTIZOSL,O,X,O,X,O
JTIOLSZ,O,O,X,X,O
JTIOLZS,O,X,X,X,O
JTIOSLZ,O,O,O,X,O
JTIOSZL,O,O,O,X,O
JTIOZLS,O,X,X,X,O
JTIOZSL,O,X,O,X,O
JTLISZO,O,O,O,O,O
JTLISOZ,O,O,O,O,O
JTLIZSO,O,X,O,X,O
JTLIZOS,O,X,O,X,O
JTLIOSZ,O,O,X,X,O
JTLIOZS,O,X,X,X,O
JTLSIZO,O,O,O,O,O
JTLSIOZ,O,O,O,O,O
JTLSZIO,O,O,O,O,O
JTLSZOI,O,O,O,O,O
JTLSOIZ,O,O,O,O,O
JTLSOZI,O,O,O,O,O
JTLZISO,O,X,O,O,O
JTLZIOS,O,X,O,X,O
JTLZSIO,O,X,O,O,O
JTLZSOI,O,X,O,O,O
JTLZOIS,O,X,O,X,O
JTLZOSI,O,X,O,X,O
JTLOISZ,O,O,X,X,O
JTLOIZS,O,X,X,X,O
JTLOSIZ,O,O,X,X,O
JTLOSZI,O,O,X,X,O
JTLOZIS,O,X,X,X,O
JTLOZSI,O,X,X,X,O
JTSILZO,O,O,O,O,O
JTSILOZ,O,O,O,O,O
JTSIZLO,O,O,O,O,O
JTSIZOL,O,O,O,O,O
JTSIOLZ,O,O,O,O,O
JTSIOZL,O,O,O,O,O
JTSLIZO,O,O,O,O,O
JTSLIOZ,O,O,O,O,O
JTSLZIO,O,O,O,O,O
JTSLZOI,O,O,O,O,O
JTSLOIZ,O,O,O,O,O
JTSLOZI,O,O,O,O,O
JTSZILO,O,O,O,O,O
JTSZIOL,O,O,O,O,O
JTSZLIO,O,O,O,O,O
JTSZLOI,O,O,O,O,O
JTSZOIL,O,O,O,O,O
JTSZOLI,O,O,O,X,O
JTSOILZ,O,O,O,O,O
JTSOIZL,O,O,O,O,O
JTSOLIZ,O,O,O,O,O
JTSOLZI,O,O,O,O,O
JTSOZIL,O,O,O,O,O
JTSOZLI,O,O,O,X,O
JTZILSO,O,X,O,X,O
JTZILOS,O,X,O,X,O
JTZISLO,O,X,O,O,O
JTZISOL,O,X,O,O,O
JTZIOLS,O,X,O,X,O
JTZIOSL,O,X,O,X,O
JTZLISO,O,X,O,O,O
JTZLIOS,O,X,O,X,O
JTZLSIO,O,X,O,O,O
JTZLSOI,O,X,O,O,O
JTZLOIS,O,X,O,X,O
JTZLOSI,O,X,O,X,O
JTZSILO,O,X,O,O,O
JTZSIOL,O,X,O,O,O
JTZSLIO,O,X,O,O,O
JTZSLOI,O,X,O,O,O
JTZSOIL,O,X,O,O,O
JTZSOLI,O,X,O,X,O
JTZOILS,O,X,O,X,O
JTZOISL,O,X,O,X,O
JTZOLIS,O,X,O,X,O
JTZOLSI,O,X,O,X,O
