sequence,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8Jem6IvhFzbB/iB?ajB5jB0fBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8Je//IvhFagBzbB?mdB5jB0iBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8JeT6IvhFmbBxdB?XgB0iB6oBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8JeT6IvhFmbByiB?5jBXgB0iBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8JeT6IvhFygBmdB?5jB0iBXgBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8Jem7IvhFTdBxfB?XjB0fB6oBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8Jex6IvhFygB/iB?0fBTjBGoBlsB
ISOJTLZ,X,O,O,O,X,O,X
ISOJTZL,X,O,O,O,X,O,X
ISOJLTZ,X,O,O,O,X,X,X
ISOJLZT,O,O,O,O,X,X,X
ISOJZTL,O,O,O,O,X,X,X
ISOJZLT,O,O,O,O,X,X,X
ISOZTLJ,O,O,X,O,X,X,X
ISOZTJL,O,O,O,O,X,X,X
ISOZLTJ,O,O,O,X,X,X,X
ISOZLJT,O,O,O,O,O,X,X
ISOZJTL,O,O,O,O,X,X,X
ISOZJLT,O,O,O,O,O,X,X
IZTLJSO,O,O,X,O,O,X,O
IZTLJOS,O,O,X,X,O,X,O
IZTLSJO,O,O,X,O,O,X,O
IZTLSOJ,O,O,X,O,O,X,O
IZTLOJS,O,O,X,X,O,X,O
IZTLOSJ,O,O,X,X,O,X,O
IZTJLSO,O,O,X,O,O,X,O
IZTJLOS,O,O,X,X,O,X,O
IZTJSLO,O,O,X,O,O,X,O
IZTJSOL,O,O,O,O,O,O,O
IZTJOLS,O,O,O,X,O,X,O
IZTJOSL,O,O,O,X,O,O,O
IZTSLJO,O,O,X,O,O,X,O
IZTSLOJ,O,O,X,O,O,X,O
IZTSJLO,O,O,X,O,O,X,O
IZTSJOL,O,O,O,O,O,O,O
IZTSOLJ,O,O,X,O,O,X,O
IZTSOJL,O,O,O,O,O,O,O
IZTOLJS,O,O,X,X,O,X,O
IZTOLSJ,O,O,X,X,O,X,O
IZTOJLS,O,O,O,X,O,X,O
IZTOJSL,O,O,O,X,O,O,O
IZTOSLJ,O,O,X,X,O,X,O
IZTOSJL,O,O,X,X,O,O,O
IZLTJSO,O,X,O,X,O,X,O
IZLTJOS,O,X,O,X,O,X,O
IZLTSJO,O,X,O,X,O,X,O
IZLTSOJ,O,X,O,X,O,X,O
IZLTOJS,O,X,O,X,O,X,O
IZLTOSJ,O,X,X,X,O,X,O
IZLJTSO,O,X,O,X,X,X,O
IZLJTOS,O,X,O,X,O,X,O
IZLJSTO,O,O,O,X,X,X,O
IZLJSOT,O,O,O,O,O,X,X
IZLJOTS,O,X,O,X,O,X,X
IZLJOST,O,O,O,X,O,X,X
IZLSTJO,O,O,O,X,X,X,O
IZLSTOJ,O,O,O,X,X,X,O
IZLSJTO,O,O,O,X,X,X,O
IZLSJOT,O,O,O,O,O,X,X
IZLSOTJ,O,O,O,X,X,X,O
IZLSOJT,O,O,O,O,O,X,X
IZLOTJS,O,X,O,X,O,X,O
IZLOTSJ,O,X,X,X,O,X,O
IZLOJTS,O,X,O,X,O,X,X
IZLOJST,O,O,O,X,O,X,X
IZLOSTJ,O,O,O,X,X,X,O
IZLOSJT,O,O,O,X,O,X,X
IZJTLSO,O,X,X,O,X,X,O
IZJTLOS,O,X,X,X,O,X,O
IZJTSLO,O,O,X,O,X,X,O
IZJTSOL,O,O,O,O,X,O,O
IZJTOLS,O,X,O,X,O,X,O
IZJTOSL,O,O,O,X,X,O,O
IZJLTSO,O,X,O,X,X,X,O
IZJLTOS,O,X,O,X,O,X,O
IZJLSTO,O,O,O,X,X,X,O
IZJLSOT,O,O,O,O,O,X,X
IZJLOTS,O,X,O,X,O,X,X
IZJLOST,O,O,O,X,O,X,X
IZJSTLO,O,O,X,O,X,X,O
IZJSTOL,O,O,O,O,X,X,O
IZJSLTO,O,O,O,X,X,X,O
IZJSLOT,O,O,O,O,O,X,X
IZJSOTL,O,O,O,O,X,X,X
IZJSOLT,O,O,O,O,O,X,X
IZJOTLS,O,X,O,X,O,X,X
IZJOTSL,O,O,O,X,X,O,X
IZJOLTS,O,X,O,X,O,X,X
IZJOLST,O,O,O,X,O,X,X
IZJOSTL,O,O,O,X,X,X,X
IZJOSLT,O,O,O,X,O,X,X
IZSTLJO,O,O,X,O,X,X,O
IZSTLOJ,O,O,X,O,X,X,O
IZSTJLO,O,O,X,O,X,X,O
IZSTJOL,O,O,O,O,X,X,O
IZSTOLJ,O,O,X,O,X,X,O
IZSTOJL,O,O,O,O,X,X,O
IZSLTJO,O,O,O,X,X,X,O
IZSLTOJ,O,O,O,X,X,X,O
IZSLJTO,O,O,O,X,X,X,O
IZSLJOT,O,O,O,O,O,X,X
IZSLOTJ,O,O,O,X,X,X,O
IZSLOJT,O,O,O,O,O,X,X
IZSJTLO,O,O,X,O,X,X,O
IZSJTOL,O,O,O,O,X,X,O
IZSJLTO,O,O,O,X,X,X,O
IZSJLOT,O,O,O,O,O,X,X
IZSJOTL,O,O,O,O,X,X,X
IZSJOLT,O,O,O,O,O,X,X
IZSOTLJ,O,O,X,O,X,X,O
IZSOTJL,O,O,O,O,X,X,O
IZSOLTJ,O,O,O,X,X,X,O
IZSOLJT,O,O,O,O,O,X,X
IZSOJTL,O,O,O,O,X,X,X
IZSOJLT,O,O,O,O,O,X,X
IZOTLJS,O,O,X,X,O,X,O
IZOTLSJ,O,O,X,X,O,X,O
IZOTJLS,O,O,O,X,O,X,O
IZOTJSL,O,O,O,X,O,O,O
IZOTSLJ,O,O,X,X,O,X,O
IZOTSJL,O,O,X,X,O,O,O
IZOLTJS,O,X,O,X,O,X,O
IZOLTSJ,O,X,X,X,O,X,O
IZOLJTS,O,X,O,X,O,X,X
IZOLJST,O,O,O,X,O,X,X
IZOLSTJ,O,O,X,X,X,X,O
IZOLSJT,O,O,O,X,O,X,X
IZOJTLS,O,X,O,X,O,X,X
IZOJTSL,O,O,O,X,X,O,X
IZOJLTS,O,X,O,X,O,X,X
IZOJLST,O,O,O,X,O,X,X
IZOJSTL,O,O,O,X,X,X,X
IZOJSLT,O,O,O,X,O,X,X
IZOSTLJ,O,O,X,X,X,X,O
IZOSTJL,O,O,O,X,X,X,O
IZOSLTJ,O,O,X,X,X,X,O
IZOSLJT,O,O,O,X,O,X,X
IZOSJTL,O,O,O,X,X,X,X
IZOSJLT,O,O,O,X,O,X,X
IOTLJSZ,X,X,O,O,X,O,X
IOTLJZS,X,X,O,X,O,X,X
IOTLSJZ,O,O,O,O,X,O,X
IOTLSZJ,O,O,X,O,O,X,X
IOTLZJS,O,O,O,X,O,X,X
IOTLZSJ,O,O,O,X,O,X,X
IOTJLSZ,X,X,O,O,X,O,X
IOTJLZS,X,X,O,X,O,X,X
IOTJSLZ,O,O,X,O,X,O,X
IOTJSZL,O,O,X,O,X,O,X
IOTJZLS,O,O,O,X,O,X,X
IOTJZSL,O,O,O,X,O,O,X
IOTSLJZ,O,O,X,O,X,O,X
IOTSLZJ,O,O,X,O,O,X,X
IOTSJLZ,O,O,X,O,X,O,X
IOTSJZL,O,O,X,O,X,O,X
IOTSZLJ,O,O,X,O,O,X,X
IOTSZJL,O,O,X,O,O,O,X
IOTZLJS,O,O,O,X,O,X,X
IOTZLSJ,O,O,O,X,O,X,X
IOTZJLS,O,O,O,X,O,X,X
IOTZJSL,O,O,O,X,O,O,X
IOTZSLJ,O,O,X,X,O,X,X
IOTZSJL,O,O,O,X,O,O,X
IOLTJSZ,X,X,O,X,X,O,X
IOLTJZS,X,X,O,X,O,X,X
IOLTSJZ,O,O,X,X,X,O,X
IOLTSZJ,O,O,X,X,O,X,X
IOLTZJS,O,O,X,X,O,X,X
IOLTZSJ,O,O,X,X,O,X,X
IOLJTSZ,X,X,O,X,X,O,X
IOLJTZS,X,X,O,X,O,X,X
IOLJSTZ,X,X,O,O,X,X,X
IOLJSZT,X,X,O,O,X,X,X
IOLJZTS,X,X,O,X,O,X,X
IOLJZST,X,X,O,X,O,X,X
IOLSTJZ,X,O,X,O,X,X,X
IOLSTZJ,O,O,X,X,O,X,X
IOLSJTZ,X,O,O,O,X,X,X
IOLSJZT,O,O,O,O,X,X,X
IOLSZTJ,O,O,X,X,X,X,X
IOLSZJT,O,O,X,O,O,X,X
IOLZTJS,O,X,O,X,O,X,X
IOLZTSJ,O,X,X,X,O,X,X
IOLZJTS,O,X,O,X,O,X,X
IOLZJST,O,O,O,X,O,X,X
IOLZSTJ,O,O,X,X,X,X,X
IOLZSJT,O,O,O,X,O,X,X
IOJTLSZ,X,X,O,O,X,O,X
IOJTLZS,X,X,O,X,O,X,X
IOJTSLZ,O,O,X,O,X,O,X
IOJTSZL,O,O,X,O,X,O,X
IOJTZLS,O,O,O,X,O,X,X
IOJTZSL,O,O,O,X,O,O,X
IOJLTSZ,X,X,O,X,X,O,X
IOJLTZS,X,X,O,X,O,X,X
IOJLSTZ,X,X,O,O,X,X,X
IOJLSZT,X,X,O,O,X,X,X
IOJLZTS,X,X,O,X,O,X,X
IOJLZST,X,X,O,X,O,X,X
IOJSTLZ,X,O,X,O,X,O,X
IOJSTZL,X,O,X,O,X,O,X
IOJSLTZ,X,O,X,O,X,X,X
IOJSLZT,O,O,X,O,X,X,X
IOJSZTL,O,O,X,O,X,X,X
IOJSZLT,O,O,X,O,X,X,X
IOJZTLS,O,X,O,X,O,X,X
IOJZTSL,O,O,O,X,X,O,X
IOJZLTS,O,X,O,X,O,X,X
IOJZLST,O,O,O,X,O,X,X
IOJZSTL,O,O,O,X,X,X,X
IOJZSLT,O,O,O,X,O,X,X
IOSTLJZ,O,O,X,O,X,O,X
IOSTLZJ,O,O,X,O,O,X,X
IOSTJLZ,O,O,X,O,X,O,X
IOSTJZL,O,O,X,O,X,O,X
IOSTZLJ,O,O,X,O,O,X,X
IOSTZJL,O,O,X,O,O,O,X
IOSLTJZ,X,O,X,O,X,X,X
IOSLTZJ,O,O,X,O,O,X,X
IOSLJTZ,X,O,X,O,X,X,X
IOSLJZT,O,O,X,O,X,X,X
IOSLZTJ,O,O,X,X,X,X,X
IOSLZJT,O,O,X,O,O,X,X
IOSJTLZ,X,O,X,O,X,O,X
IOSJTZL,X,O,X,O,X,O,X
IOSJLTZ,X,O,X,O,X,X,X
IOSJLZT,O,O,X,O,X,X,X
IOSJZTL,O,O,X,O,X,X,X
IOSJZLT,O,O,X,O,X,X,X
IOSZTLJ,O,O,X,O,X,X,X
IOSZTJL,O,O,X,O,X,X,X
IOSZLTJ,O,O,X,X,X,X,X
IOSZLJT,O,O,X,O,O,X,X
IOSZJTL,O,O,X,O,X,X,X
IOSZJLT,O,O,X,O,O,X,X
IOZTLJS,O,O,X,X,O,X,X
IOZTLSJ,O,O,X,X,O,X,X
IOZTJLS,O,O,O,X,O,X,X
IOZTJSL,O,O,O,X,O,O,X
IOZTSLJ,O,O,X,X,O,X,X
IOZTSJL,O,O,X,X,O,O,X
IOZLTJS,O,X,O,X,O,X,X
IOZLTSJ,O,X,X,X,O,X,X
IOZLJTS,O,X,O,X,O,X,X
IOZLJST,O,O,O,X,O,X,X
IOZLSTJ,O,O,X,X,X,X,X
IOZLSJT,O,O,O,X,O,X,X
IOZJTLS,O,X,O,X,O,X,X
IOZJTSL,O,O,O,X,X,O,X
IOZJLTS,O,X,O,X,O,X,X
IOZJLST,O,O,O,X,O,X,X
IOZJSTL,O,O,O,X,X,X,X
IOZJSLT,O,O,O,X,O,X,X
IOZSTLJ,O,O,X,X,X,X,X
IOZSTJL,O,O,X,X,X,X,X
IOZSLTJ,O,O,X,X,X,X,X
IOZSLJT,O,O,X,X,O,X,X
IOZSJTL,O,O,O,X,X,X,X
IOZSJLT,O,O,O,X,O,X,X
LTIJSZO,X,X,O,O,X,X,X
LTIJSOZ,X,X,O,O,X,O,X
LTIJZSO,X,X,O,O,O,X,X
LTIJZOS,X,X,O,X,O,X,X
LTIJOSZ,X,X,O,O,X,O,X
LTIJOZS,X,X,O,X,O,X,X
LTISJZO,O,O,O,O,X,X,X
LTISJOZ,O,O,O,O,X,O,X
LTISZJO,O,O,O,O,O,X,O
LTISZOJ,O,O,O,O,O,X,O
LTISOJZ,O,O,O,O,X,O,X
LTISOZJ,O,O,O,O,O,X,O
LTIZJSO,O,O,O,O,O,X,O
LTIZJOS,O,O,O,X,O,X,O
LTIZSJO,O,O,O,O,O,X,O
LTIZSOJ,O,O,O,O,O,X,O
LTIZOJS,O,O,O,X,O,X,O
LTIZOSJ,O,O,O,X,O,X,O
LTIOJSZ,X,X,O,O,X,O,X
LTIOJZS,X,X,O,X,O,X,X
LTIOSJZ,O,O,O,O,X,O,X
LTIOSZJ,O,O,O,O,O,X,O
LTIOZJS,O,O,O,X,O,X,O
LTIOZSJ,O,O,O,X,O,X,O
LTJISZO,X,X,O,O,X,X,X
LTJISOZ,X,X,O,O,X,O,X
LTJIZSO,X,X,O,O,O,X,X
LTJIZOS,X,X,O,X,O,X,X
LTJIOSZ,X,X,O,O,X,O,X
LTJIOZS,X,X,O,X,O,X,X
LTJSIZO,X,X,O,O,X,X,X
LTJSIOZ,X,X,O,O,X,O,X
LTJSZIO,X,X,O,O,X,X,O
LTJSZOI,X,X,O,O,X,X,O
LTJSOIZ,X,X,O,O,X,O,X
LTJSOZI,X,X,O,O,X,X,O
LTJZISO,X,X,O,O,O,X,O
LTJZIOS,X,X,O,X,O,X,O
LTJZSIO,X,X,O,O,O,X,O
LTJZSOI,X,X,O,O,O,X,O
LTJZOIS,X,X,O,X,O,X,O
LTJZOSI,X,X,O,X,O,X,O
LTJOISZ,X,X,O,O,X,O,X
LTJOIZS,X,X,O,X,O,X,X
LTJOSIZ,X,X,O,O,X,O,X
LTJOSZI,X,X,O,O,X,X,O
LTJOZIS,X,X,O,X,O,X,O
LTJOZSI,X,X,O,X,O,X,O
LTSIJZO,O,O,O,O,X,X,X
LTSIJOZ,O,O,O,O,X,O,X
LTSIZJO,O,O,O,O,O,X,O
LTSIZOJ,O,O,O,O,O,X,O
LTSIOJZ,O,O,O,O,X,O,X
LTSIOZJ,O,O,O,O,O,X,O
LTSJIZO,O,O,O,O,X,X,X
LTSJIOZ,O,O,O,O,X,O,X
LTSJZIO,O,O,O,O,X,X,O
LTSJZOI,O,O,O,O,X,X,O
LTSJOIZ,O,O,O,O,X,O,X
LTSJOZI,O,O,O,O,X,X,O
LTSZIJO,O,O,O,O,O,X,O
LTSZIOJ,O,O,O,O,O,X,O
LTSZJIO,O,O,O,O,O,X,O
LTSZJOI,O,O,O,O,O,X,O
LTSZOIJ,O,O,O,O,O,X,O
LTSZOJI,O,O,O,O,O,X,O
LTSOIJZ,O,O,O,O,X,O,X
LTSOIZJ,O,O,O,O,O,X,O
LTSOJIZ,O,O,O,O,X,O,X
LTSOJZI,O,O,O,O,X,X,O
LTSOZIJ,O,O,O,O,O,X,O
LTSOZJI,O,O,O,O,O,X,O
LTZIJSO,O,O,O,O,O,X,O
LTZIJOS,O,O,O,X,O,X,O
LTZISJO,O,O,O,O,O,X,O
LTZISOJ,O,O,O,O,O,X,O
LTZIOJS,O,O,O,X,O,X,O
LTZIOSJ,O,O,O,X,O,X,O
LTZJISO,O,O,O,O,O,X,O
LTZJIOS,O,O,O,X,O,X,O
LTZJSIO,O,O,O,O,O,X,O
LTZJSOI,O,O,O,O,O,X,O
LTZJOIS,O,O,O,X,O,X,O
LTZJOSI,O,O,O,X,O,X,O
LTZSIJO,O,O,O,O,O,X,O
LTZSIOJ,O,O,O,O,O,X,O
LTZSJIO,O,O,O,O,O,X,O
LTZSJOI,O,O,O,O,O,X,O
LTZSOIJ,O,O,O,O,O,X,O
LTZSOJI,O,O,O,O,O,X,O
LTZOIJS,O,O,O,X,O,X,O
LTZOISJ,O,O,O,X,O,X,O
LTZOJIS,O,O,O,X,O,X,O
LTZOJSI,O,O,O,X,O,X,O
LTZOSIJ,O,O,O,X,O,X,O
LTZOSJI,O,O,O,X,O,X,O
LTOIJSZ,X,X,O,O,X,O,X
LTOIJZS,X,X,O,X,O,X,X
LTOISJZ,O,O,O,O,X,O,X
LTOISZJ,O,O,O,O,O,X,O
LTOIZJS,O,O,O,X,O,X,O
LTOIZSJ,O,O,O,X,O,X,O
LTOJISZ,X,X,O,O,X,O,X
LTOJIZS,X,X,O,X,O,X,X
LTOJSIZ,X,X,O,O,X,O,X
LTOJSZI,X,X,O,O,X,X,O
LTOJZIS,X,X,O,X,O,X,O
LTOJZSI,X,X,O,X,O,X,O
LTOSIJZ,O,O,O,O,X,O,X
LTOSIZJ,O,O,O,O,O,X,O
LTOSJIZ,O,O,O,O,X,O,X
LTOSJZI,O,O,O,O,X,X,O
LTOSZIJ,O,O,O,O,O,X,O
LTOSZJI,O,O,O,O,O,X,O
LTOZIJS,O,O,O,X,O,X,O
LTOZISJ,O,O,O,X,O,X,O
LTOZJIS,O,O,O,X,O,X,O
LTOZJSI,O,O,O,X,O,X,O
LTOZSIJ,O,O,O,X,O,X,O
LTOZSJI,O,O,O,X,O,X,O
LITJSZO,X,X,X,O,X,X,X
LITJSOZ,X,X,O,O,X,O,X
LITJZSO,X,X,X,O,O,X,X
LITJZOS,X,X,X,X,O,X,X
LITJOSZ,X,X,O,O,X,O,X
LITJOZS,X,X,O,X,O,X,X
LITSJZO,O,O,X,O,X,X,X
LITSJOZ,O,O,O,O,X,O,X
LITSZJO,O,O,X,O,O,X,O
LITSZOJ,O,O,X,O,O,X,O
LITSOJZ,O,O,O,O,X,O,X
LITSOZJ,O,O,X,O,O,X,O
LITZJSO,O,O,X,O,O,X,O
LITZJOS,O,O,X,X,O,X,O
LITZSJO,O,O,X,O,O,X,O
LITZSOJ,O,O,X,O,O,X,O
LITZOJS,O,O,X,X,O,X,O
LITZOSJ,O,O,X,X,O,X,O
LITOJSZ,X,X,O,O,X,O,X
LITOJZS,X,X,O,X,O,X,X
LITOSJZ,O,O,X,O,X,O,X
LITOSZJ,O,O,X,O,O,X,O
LITOZJS,O,O,X,X,O,X,O
LITOZSJ,O,O,X,X,O,X,O
LIJTSZO,X,X,X,O,X,X,X
LIJTSOZ,X,X,O,O,X,O,X
LIJTZSO,X,X,X,O,O,X,X
LIJTZOS,X,X,X,X,O,X,X
LIJTOSZ,X,X,O,O,X,O,X
LIJTOZS,X,X,O,X,O,X,X
LIJSTZO,X,X,X,O,X,X,X
LIJSTOZ,X,X,O,O,X,X,X
LIJSZTO,X,X,O,X,X,X,X
LIJSZOT,X,X,O,O,X,X,X
LIJSOTZ,X,X,O,O,X,X,X
LIJSOZT,X,X,O,O,X,X,X
LIJZTSO,X,X,O,X,X,X,X
LIJZTOS,X,X,O,X,O,X,X
LIJZSTO,X,X,O,X,X,X,X
LIJZSOT,X,X,O,O,O,X,X
LIJZOTS,X,X,O,X,O,X,X
LIJZOST,X,X,O,X,O,X,X
LIJOTSZ,X,X,O,X,X,O,X
LIJOTZS,X,X,O,X,O,X,X
LIJOSTZ,X,X,O,O,X,X,X
LIJOSZT,X,X,O,O,X,X,X
LIJOZTS,X,X,O,X,O,X,X
LIJOZST,X,X,O,X,O,X,X
LISTJZO,X,O,X,O,X,X,X
LISTJOZ,X,O,O,O,X,X,X
LISTZJO,O,O,X,O,O,X,O
LISTZOJ,O,O,X,O,O,X,O
LISTOJZ,X,O,O,O,X,X,X
LISTOZJ,O,O,X,O,O,X,O
LISJTZO,X,O,X,O,X,X,X
LISJTOZ,X,O,O,O,X,X,X
LISJZTO,O,O,O,X,X,X,X
LISJZOT,O,O,O,O,X,X,X
LISJOTZ,X,O,O,O,X,X,X
LISJOZT,O,O,O,O,X,X,X
LISZTJO,O,O,O,X,X,X,O
LISZTOJ,O,O,O,X,X,X,O
LISZJTO,O,O,O,X,X,X,O
LISZJOT,O,O,O,O,O,X,X
LISZOTJ,O,O,O,X,X,X,O
LISZOJT,O,O,O,O,O,X,X
LISOTJZ,X,O,O,O,X,X,X
LISOTZJ,O,O,X,O,O,X,X
LISOJTZ,X,O,O,O,X,X,X
LISOJZT,O,O,O,O,X,X,X
LISOZTJ,O,O,O,X,X,X,X
LISOZJT,O,O,O,O,O,X,X
LIZTJSO,O,X,O,X,O,X,O
LIZTJOS,O,X,O,X,O,X,O
LIZTSJO,O,X,O,X,O,X,O
LIZTSOJ,O,X,O,X,O,X,O
LIZTOJS,O,X,O,X,O,X,O
LIZTOSJ,O,X,X,X,O,X,O
LIZJTSO,O,X,O,X,X,X,O
LIZJTOS,O,X,O,X,O,X,O
LIZJSTO,O,O,O,X,X,X,O
LIZJSOT,O,O,O,O,O,X,X
LIZJOTS,O,X,O,X,O,X,X
LIZJOST,O,O,O,X,O,X,X
LIZSTJO,O,O,O,X,X,X,O
LIZSTOJ,O,O,O,X,X,X,O
LIZSJTO,O,O,O,X,X,X,O
LIZSJOT,O,O,O,O,O,X,X
LIZSOTJ,O,O,O,X,X,X,O
LIZSOJT,O,O,O,O,O,X,X
LIZOTJS,O,X,O,X,O,X,O
LIZOTSJ,O,X,X,X,O,X,O
LIZOJTS,O,X,O,X,O,X,X
LIZOJST,O,O,O,X,O,X,X
LIZOSTJ,O,O,O,X,X,X,O
LIZOSJT,O,O,O,X,O,X,X
LIOTJSZ,X,X,O,X,X,O,X
LIOTJZS,X,X,O,X,O,X,X
LIOTSJZ,O,O,X,X,X,O,X
LIOTSZJ,O,O,X,X,O,X,X
LIOTZJS,O,O,X,X,O,X,X
LIOTZSJ,O,O,X,X,O,X,X
LIOJTSZ,X,X,O,X,X,O,X
LIOJTZS,X,X,O,X,O,X,X
LIOJSTZ,X,X,O,O,X,X,X
LIOJSZT,X,X,O,O,X,X,X
LIOJZTS,X,X,O,X,O,X,X
LIOJZST,X,X,O,X,O,X,X
LIOSTJZ,X,O,O,O,X,X,X
LIOSTZJ,O,O,X,X,O,X,X
LIOSJTZ,X,O,O,O,X,X,X
LIOSJZT,O,O,O,O,X,X,X
LIOSZTJ,O,O,X,X,X,X,X
LIOSZJT,O,O,O,O,O,X,X
LIOZTJS,O,X,O,X,O,X,X
LIOZTSJ,O,X,X,X,O,X,X
LIOZJTS,O,X,O,X,O,X,X
LIOZJST,O,O,O,X,O,X,X
LIOZSTJ,O,O,X,X,X,X,X
LIOZSJT,O,O,O,X,O,X,X
LJTISZO,X,X,O,O,X,X,X
LJTISOZ,X,X,O,O,X,O,X
LJTIZSO,X,X,O,O,O,X,X
LJTIZOS,X,X,O,X,O,X,X
LJTIOSZ,X,X,O,O,X,O,X
LJTIOZS,X,X,O,X,O,X,X
LJTSIZO,X,X,O,O,X,X,X
LJTSIOZ,X,X,O,O,X,O,X
LJTSZIO,X,X,O,O,X,X,O
LJTSZOI,X,X,O,O,X,X,O
LJTSOIZ,X,X,O,O,X,O,X
LJTSOZI,X,X,O,O,X,X,O
LJTZISO,X,X,O,O,O,X,O
LJTZIOS,X,X,O,X,O,X,O
LJTZSIO,X,X,O,O,O,X,O
LJTZSOI,X,X,O,O,O,X,O
LJTZOIS,X,X,O,X,O,X,O
LJTZOSI,X,X,O,X,O,X,O
LJTOISZ,X,X,O,O,X,O,X
LJTOIZS,X,X,O,X,O,X,X
LJTOSIZ,X,X,O,O,X,O,X
LJTOSZI,X,X,O,O,X,X,O
LJTOZIS,X,X,O,X,O,X,O
LJTOZSI,X,X,O,X,O,X,O
LJITSZO,X,X,X,O,X,X,X
LJITSOZ,X,X,O,O,X,O,X
LJITZSO,X,X,X,O,O,X,X
LJITZOS,X,X,X,X,O,X,X
LJITOSZ,X,X,O,O,X,O,X
LJITOZS,X,X,O,X,O,X,X
LJISTZO,X,X,X,O,X,X,X
LJISTOZ,X,X,O,O,X,X,X
LJISZTO,X,X,O,X,X,X,X
LJISZOT,X,X,O,O,X,X,X
LJISOTZ,X,X,O,O,X,X,X
LJISOZT,X,X,O,O,X,X,X
LJIZTSO,X,X,O,X,X,X,X
LJIZTOS,X,X,O,X,O,X,X
LJIZSTO,X,X,O,X,X,X,X
LJIZSOT,X,X,O,O,O,X,X
LJIZOTS,X,X,O,X,O,X,X
LJIZOST,X,X,O,X,O,X,X
LJIOTSZ,X,X,O,X,X,O,X
LJIOTZS,X,X,O,X,O,X,X
LJIOSTZ,X,X,O,O,X,X,X
LJIOSZT,X,X,O,O,X,X,X
LJIOZTS,X,X,O,X,O,X,X
LJIOZST,X,X,O,X,O,X,X
LJSTIZO,X,X,O,O,X,X,X
LJSTIOZ,X,X,O,O,X,X,X
LJSTZIO,X,X,O,O,X,X,O
LJSTZOI,X,X,O,O,X,X,O
LJSTOIZ,X,X,O,O,X,X,X
LJSTOZI,X,X,O,O,X,X,O
LJSITZO,X,X,X,O,X,X,X
LJSITOZ,X,X,O,O,X,X,X
LJSIZTO,X,X,O,X,X,X,X
LJSIZOT,X,X,O,O,X,X,X
LJSIOTZ,X,X,O,O,X,X,X
LJSIOZT,X,X,O,O,X,X,X
LJSZTIO,X,X,O,X,X,X,O
LJSZTOI,X,X,O,X,X,X,O
LJSZITO,X,X,O,X,X,X,O
LJSZIOT,X,X,O,O,X,X,X
LJSZOTI,X,X,O,X,X,X,X
LJSZOIT,X,X,O,O,X,X,X
LJSOTIZ,X,X,O,O,X,X,X
LJSOTZI,X,X,O,O,X,X,X
LJSOITZ,X,X,O,O,X,X,X
LJSOIZT,X,X,O,O,X,X,X
LJSOZTI,X,X,O,X,X,X,X
LJSOZIT,X,X,O,O,X,X,X
LJZTISO,X,X,O,X,X,X,O
LJZTIOS,X,X,O,X,O,X,O
LJZTSIO,X,X,O,X,X,X,O
LJZTSOI,X,X,O,X,X,X,O
LJZTOIS,X,X,O,X,O,X,O
LJZTOSI,X,X,X,X,X,X,O
LJZITSO,X,X,O,X,X,X,O
LJZITOS,X,X,O,X,O,X,O
LJZISTO,X,X,O,X,X,X,O
LJZISOT,X,X,O,O,O,X,X
LJZIOTS,X,X,O,X,O,X,X
LJZIOST,X,X,O,X,O,X,X
LJZSTIO,X,X,O,X,X,X,O
LJZSTOI,X,X,O,X,X,X,O
LJZSITO,X,X,O,X,X,X,O
LJZSIOT,X,X,O,O,O,X,X
LJZSOTI,X,X,O,X,X,X,X
LJZSOIT,X,X,O,O,O,X,X
LJZOTIS,X,X,O,X,O,X,X
LJZOTSI,X,X,X,X,X,X,X
LJZOITS,X,X,O,X,O,X,X
LJZOIST,X,X,O,X,O,X,X
LJZOSTI,X,X,O,X,X,X,X
LJZOSIT,X,X,O,X,O,X,X
LJOTISZ,X,X,O,X,X,O,X
LJOTIZS,X,X,O,X,O,X,X
LJOTSIZ,X,X,O,X,X,O,X
LJOTSZI,X,X,O,X,X,X,X
LJOTZIS,X,X,O,X,O,X,X
LJOTZSI,X,X,O,X,O,X,X
LJOITSZ,X,X,O,X,X,O,X
LJOITZS,X,X,O,X,O,X,X
LJOISTZ,X,X,O,O,X,X,X
LJOISZT,X,X,O,O,X,X,X
LJOIZTS,X,X,O,X,O,X,X
LJOIZST,X,X,O,X,O,X,X
LJOSTIZ,X,X,O,O,X,X,X
LJOSTZI,X,X,O,X,X,X,X
LJOSITZ,X,X,O,O,X,X,X
LJOSIZT,X,X,O,O,X,X,X
LJOSZTI,X,X,O,X,X,X,X
LJOSZIT,X,X,O,O,X,X,X
LJOZTIS,X,X,O,X,O,X,X
LJOZTSI,X,X,X,X,X,X,X
LJOZITS,X,X,O,X,O,X,X
LJOZIST,X,X,O,X,O,X,X
LJOZSTI,X,X,O,X,X,X,X
LJOZSIT,X,X,O,X,O,X,X
LSTIJZO,O,O,O,O,X,X,X
LSTIJOZ,O,O,O,O,X,X,X
