sequence,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8Jem6IvhFzbB/iB?ajB5jB0fBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8Je//IvhFagBzbB?mdB5jB0iBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8JeT6IvhFmbBxdB?XgB0iB6oBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8JeT6IvhFmbByiB?5jBXgB0iBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8JeT6IvhFygBmdB?5jB0iBXgBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8Jem7IvhFTdBxfB?XjB0fB6oBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8Jex6IvhFygB/iB?0fBTjBGoBlsB
TZSIOJL,O,O,O,O,O,O,O
TZSLIJO,O,O,O,O,O,X,O
TZSLIOJ,O,O,O,O,O,X,O
TZSLJIO,O,O,O,O,O,X,O
TZSLJOI,O,O,O,O,O,X,O
TZSLOIJ,O,O,O,O,O,X,O
TZSLOJI,O,O,O,O,O,X,O
TZSJILO,O,O,O,O,O,X,O
TZSJIOL,O,O,O,O,O,O,O
TZSJLIO,O,O,O,O,O,X,O
TZSJLOI,O,O,O,O,O,X,O
TZSJOIL,O,O,O,O,O,O,O
TZSJOLI,O,O,O,O,O,X,O
TZSOILJ,O,O,O,O,O,X,O
TZSOIJL,O,O,O,O,O,O,O
TZSOLIJ,O,O,O,O,O,X,O
TZSOLJI,O,O,O,O,O,X,O
TZSOJIL,O,O,O,O,O,O,O
TZSOJLI,O,O,O,O,O,X,O
TZOILJS,O,O,O,X,O,X,O
TZOILSJ,O,O,O,X,O,X,O
