sequence,v115@UhA8EeB8BeB8BeC8JeOEJvhGXgBdmB5mBiiBcoBcsB?zpB,v115@UhA8EeB8BeB8BeC8Jex/IvhGXhBdnBunBcoBikBzpB?0rB,v115@UhA8EeB8BeB8BeC8JeNEJvhGUhBRiBSoBXlB2sB0rB?zpB,v115@UhA8EeB8BeB8BeC8JeNEJvhGUgBRhBCjBmmBXoBzpB?0rB,v115@UhA8EeB8BeB8BeC8Je0/IvhGdmBRiBcoB/pBqrBTnB?OqB,v115@UhA8EeB8BeB8BeC8JeT/IvhGNlBamBRiBcoBWsB0pB?XsB,v115@UhA8EeB8BeB8BeC8JeXAJvhGdmBRiBcoB2pBSsBzrB?0pB,v115@UhA8EeB8BeB8BeC8JeT/IvhGNlBRhBCjBmmBXoB0pB?0rB,v115@UhA8EeB8BeB8BeC8JeT/IvhGNlBRhBunBcoB/rBasB?0pB
ZTJIOZLS,O,X,O,O,X,O,X,O,O
ZTJIOZSL,O,X,O,O,X,O,X,O,O
ZTJLISZO,O,O,O,O,X,O,X,O,X
ZTJLISOZ,X,X,O,O,X,X,O,O,X
ZTJLIZSO,O,O,O,O,X,O,X,O,X
ZTJLIZOS,O,O,O,X,X,O,X,O,O
ZTJLIOSZ,X,X,O,X,X,X,O,X,X
ZTJLIOZS,X,X,O,X,X,O,O,X,X
ZTJLSIZO,O,O,O,O,X,O,X,O,O
ZTJLSIOZ,X,X,O,O,X,X,O,O,O
ZTJLSZIO,O,O,O,O,X,O,X,O,O
ZTJLSZOI,O,O,O,O,O,O,O,O,O
ZTJLSOIZ,X,X,O,O,O,X,O,O,O
ZTJLSOZI,X,X,O,O,O,O,O,O,O
ZTJLZISO,O,O,O,O,X,O,X,O,X
ZTJLZIOS,O,O,O,X,X,O,X,O,O
ZTJLZSIO,O,O,O,O,X,O,X,O,O
ZTJLZSOI,O,O,O,O,X,O,O,O,O
ZTJLZOIS,O,O,O,X,X,O,O,O,O
ZTJLZOSI,O,O,O,X,X,O,O,O,O
ZTJLOISZ,X,X,O,X,O,X,O,X,X
ZTJLOIZS,X,X,O,X,X,O,O,X,X
ZTJLOSIZ,X,X,O,X,O,X,O,X,X
ZTJLOSZI,X,X,O,X,O,O,O,X,X
ZTJLOZIS,X,X,O,X,X,O,O,X,X
ZTJLOZSI,X,X,O,X,X,O,O,X,X
ZTJSILZO,O,X,O,O,X,O,X,O,O
ZTJSILOZ,X,X,O,O,X,X,O,O,O
ZTJSIZLO,O,O,O,O,X,O,X,O,O
ZTJSIZOL,O,O,O,O,X,O,X,O,O
ZTJSIOLZ,X,X,O,O,X,X,X,O,X
ZTJSIOZL,O,X,O,O,X,X,X,O,O
ZTJSLIZO,O,O,O,O,X,O,X,O,O
ZTJSLIOZ,X,X,O,O,X,X,O,O,O
ZTJSLZIO,O,O,O,O,X,O,X,O,O
ZTJSLZOI,O,O,O,O,O,O,O,O,O
ZTJSLOIZ,X,X,O,O,O,X,O,O,O
ZTJSLOZI,X,X,O,O,O,O,O,O,O
ZTJSZILO,O,O,O,O,X,O,X,O,O
ZTJSZIOL,O,O,O,O,X,O,X,O,O
ZTJSZLIO,O,O,O,O,X,O,X,O,O
ZTJSZLOI,O,O,O,O,O,O,O,O,O
ZTJSZOIL,O,O,O,O,X,O,X,O,O
ZTJSZOLI,O,O,O,O,X,O,X,O,O
ZTJSOILZ,X,X,O,O,X,X,X,O,X
ZTJSOIZL,O,O,O,O,X,X,X,O,O
ZTJSOLIZ,X,O,O,O,X,X,O,O,O
ZTJSOLZI,X,O,O,O,X,O,O,O,O
ZTJSOZIL,O,O,O,O,X,O,X,O,O
ZTJSOZLI,O,O,O,O,X,O,X,O,O
ZTJZILSO,O,O,O,O,X,O,X,O,X
ZTJZILOS,O,O,O,X,X,O,X,O,O
ZTJZISLO,O,O,O,O,X,O,X,O,O
ZTJZISOL,O,O,O,O,X,O,X,O,O
ZTJZIOLS,O,O,O,X,X,O,X,O,O
ZTJZIOSL,O,O,O,O,X,O,X,O,O
ZTJZLISO,O,O,O,O,X,O,X,O,X
ZTJZLIOS,O,O,O,X,X,O,X,O,O
ZTJZLSIO,O,O,O,O,X,O,X,O,O
ZTJZLSOI,O,O,O,O,X,O,O,O,O
ZTJZLOIS,O,O,O,X,X,O,O,O,O
ZTJZLOSI,O,O,O,X,X,O,O,O,O
ZTJZSILO,O,O,O,O,X,O,X,O,O
ZTJZSIOL,O,O,O,O,X,O,X,O,O
ZTJZSLIO,O,O,O,O,X,O,X,O,O
ZTJZSLOI,O,O,O,O,X,O,O,O,O
ZTJZSOIL,O,O,O,O,X,O,X,O,O
ZTJZSOLI,O,O,O,O,X,O,X,O,O
ZTJZOILS,O,O,O,X,X,O,X,O,O
ZTJZOISL,O,O,O,O,X,O,X,O,O
ZTJZOLIS,O,O,O,X,X,O,X,O,O
ZTJZOLSI,O,O,O,X,X,O,X,O,O
ZTJZOSIL,O,O,O,O,X,O,X,O,O
ZTJZOSLI,O,O,O,O,X,O,X,O,O
ZTJOILSZ,O,X,O,O,X,X,X,X,X
ZTJOILZS,O,X,O,O,X,O,X,X,X
ZTJOISLZ,O,X,O,O,X,X,X,O,X
ZTJOISZL,O,X,O,O,X,X,X,O,O
ZTJOIZLS,O,X,O,O,X,O,X,O,O
ZTJOIZSL,O,X,O,O,X,O,X,O,O
ZTJOLISZ,O,O,O,O,X,X,O,X,X
ZTJOLIZS,O,O,O,O,X,O,O,X,X
ZTJOLSIZ,O,O,O,O,X,X,O,X,X
ZTJOLSZI,O,O,O,O,X,O,O,X,X
ZTJOLZIS,O,O,O,O,X,O,O,X,X
ZTJOLZSI,O,O,O,O,X,O,O,X,X
ZTJOSILZ,O,X,O,O,X,X,X,O,X
ZTJOSIZL,O,O,O,O,X,X,X,O,O
ZTJOSLIZ,O,O,O,O,X,X,O,O,O
ZTJOSLZI,O,O,O,O,X,O,O,O,O
ZTJOSZIL,O,O,O,O,X,O,X,O,O
ZTJOSZLI,O,O,O,O,X,O,X,O,O
ZTJOZILS,O,O,O,O,X,O,X,O,O
ZTJOZISL,O,O,O,O,X,O,X,O,O
ZTJOZLIS,O,O,O,O,X,O,X,O,O
ZTJOZLSI,O,O,O,O,X,O,X,O,O
ZTJOZSIL,O,O,O,O,X,O,X,O,O
ZTJOZSLI,O,O,O,O,X,O,X,O,O
ZTSILJZO,O,O,O,O,X,X,X,O,O
ZTSILJOZ,X,X,O,O,X,X,O,O,O
ZTSILZJO,O,O,O,O,X,X,X,O,O
ZTSILZOJ,O,O,X,O,O,O,X,O,O
ZTSILOJZ,X,X,X,X,O,X,X,O,O
ZTSILOZJ,X,O,X,O,O,X,X,O,O
ZTSIJLZO,O,X,O,O,X,O,X,O,O
ZTSIJLOZ,X,X,O,O,X,X,O,O,O
ZTSIJZLO,O,O,O,O,X,O,X,O,O
ZTSIJZOL,O,O,O,O,X,O,X,O,O
ZTSIJOLZ,X,X,O,O,X,X,X,O,X
ZTSIJOZL,O,X,O,O,X,X,X,O,O
ZTSIZLJO,O,O,O,O,X,X,X,O,O
ZTSIZLOJ,O,O,X,O,O,O,X,O,O
ZTSIZJLO,O,O,O,O,X,O,X,O,O
ZTSIZJOL,O,O,O,O,X,O,X,O,O
ZTSIZOLJ,O,O,X,O,X,O,X,O,O
ZTSIZOJL,O,O,X,X,X,O,X,O,O
ZTSIOLJZ,O,O,X,X,X,X,X,O,O
ZTSIOLZJ,O,O,X,O,X,X,X,O,O
ZTSIOJLZ,O,X,X,X,X,X,X,O,X
ZTSIOJZL,O,O,X,X,X,X,X,X,O
ZTSIOZLJ,O,O,X,X,X,X,X,O,O
ZTSIOZJL,O,O,X,X,X,X,X,O,O
ZTSLIJZO,O,O,O,O,X,X,X,O,O
ZTSLIJOZ,X,X,O,O,X,X,O,O,O
ZTSLIZJO,O,O,O,O,X,X,X,O,O
ZTSLIZOJ,O,O,X,O,O,O,X,O,O
ZTSLIOJZ,X,X,X,X,O,X,X,O,O
ZTSLIOZJ,X,O,X,O,O,X,X,O,O
ZTSLJIZO,O,O,O,O,X,O,X,O,O
ZTSLJIOZ,X,X,O,O,X,X,O,O,O
ZTSLJZIO,O,O,O,O,X,O,X,O,O
ZTSLJZOI,O,O,O,O,O,O,O,O,O
ZTSLJOIZ,X,X,O,O,O,X,O,O,O
ZTSLJOZI,X,X,O,O,O,O,O,O,O
ZTSLZIJO,O,O,O,O,X,X,X,O,O
ZTSLZIOJ,O,O,X,O,O,O,X,O,O
ZTSLZJIO,O,O,O,O,X,O,X,O,O
ZTSLZJOI,O,O,O,O,O,O,O,O,O
ZTSLZOIJ,O,O,X,O,O,O,X,O,O
ZTSLZOJI,O,O,O,O,O,O,X,O,O
ZTSLOIJZ,X,O,X,O,O,X,X,O,O
ZTSLOIZJ,X,O,X,O,O,X,X,O,O
ZTSLOJIZ,X,O,O,O,O,X,O,O,O
ZTSLOJZI,X,O,O,O,O,O,O,O,O
ZTSLOZIJ,X,O,X,O,O,O,X,O,O
ZTSLOZJI,X,O,O,O,O,O,X,O,O
ZTSJILZO,O,X,O,O,X,O,X,O,O
ZTSJILOZ,X,X,O,O,X,X,O,O,O
ZTSJIZLO,O,O,O,O,X,O,X,O,O
ZTSJIZOL,O,O,O,O,X,O,X,O,O
ZTSJIOLZ,X,X,O,O,X,X,X,O,X
ZTSJIOZL,O,X,O,O,X,X,X,O,O
ZTSJLIZO,O,O,O,O,X,O,X,O,O
ZTSJLIOZ,X,X,O,O,X,X,O,O,O
ZTSJLZIO,O,O,O,O,X,O,X,O,O
ZTSJLZOI,O,O,O,O,O,O,O,O,O
ZTSJLOIZ,X,X,O,O,O,X,O,O,O
ZTSJLOZI,X,X,O,O,O,O,O,O,O
ZTSJZILO,O,O,O,O,X,O,X,O,O
ZTSJZIOL,O,O,O,O,X,O,X,O,O
ZTSJZLIO,O,O,O,O,X,O,X,O,O
ZTSJZLOI,O,O,O,O,O,O,O,O,O
ZTSJZOIL,O,O,O,O,X,O,X,O,O
ZTSJZOLI,O,O,O,O,X,O,X,O,O
ZTSJOILZ,X,X,O,O,X,X,X,O,X
ZTSJOIZL,O,O,O,O,X,X,X,O,O
ZTSJOLIZ,X,O,O,O,X,X,O,O,O
ZTSJOLZI,X,O,O,O,X,O,O,O,O
ZTSJOZIL,O,O,O,O,X,O,X,O,O
ZTSJOZLI,O,O,O,O,X,O,X,O,O
ZTSZILJO,O,O,O,O,X,X,X,O,O
ZTSZILOJ,O,O,X,O,O,O,X,O,O
ZTSZIJLO,O,O,O,O,X,O,X,O,O
ZTSZIJOL,O,O,O,O,X,O,X,O,O
ZTSZIOLJ,O,O,X,O,X,O,X,O,O
ZTSZIOJL,O,O,X,X,X,O,X,O,O
ZTSZLIJO,O,O,O,O,X,X,X,O,O
ZTSZLIOJ,O,O,X,O,O,O,X,O,O
ZTSZLJIO,O,O,O,O,X,O,X,O,O
ZTSZLJOI,O,O,O,O,O,O,O,O,O
ZTSZLOIJ,O,O,X,O,O,O,X,O,O
ZTSZLOJI,O,O,O,O,O,O,X,O,O
ZTSZJILO,O,O,O,O,X,O,X,O,O
ZTSZJIOL,O,O,O,O,X,O,X,O,O
ZTSZJLIO,O,O,O,O,X,O,X,O,O
ZTSZJLOI,O,O,O,O,O,O,O,O,O
ZTSZJOIL,O,O,O,O,X,O,X,O,O
ZTSZJOLI,O,O,O,O,X,O,X,O,O
ZTSZOILJ,O,O,X,O,X,O,X,O,O
ZTSZOIJL,O,O,X,X,X,O,X,O,O
ZTSZOLIJ,O,O,X,O,O,O,X,O,O
ZTSZOLJI,O,O,O,O,O,O,X,O,O
ZTSZOJIL,O,O,O,O,X,O,X,O,O
ZTSZOJLI,O,O,O,O,X,O,X,O,O
ZTSOILJZ,O,O,X,O,X,X,X,O,O
ZTSOILZJ,O,O,X,O,X,X,X,O,O
ZTSOIJLZ,O,X,X,O,X,X,X,O,X
ZTSOIJZL,O,O,X,O,X,X,X,X,O
ZTSOIZLJ,O,O,X,O,X,X,X,O,O
ZTSOIZJL,O,O,X,O,X,X,X,O,O
ZTSOLIJZ,O,O,X,O,O,X,X,O,O
ZTSOLIZJ,O,O,X,O,O,X,X,O,O
ZTSOLJIZ,O,O,O,O,O,X,O,O,O
ZTSOLJZI,O,O,O,O,O,O,O,O,O
