sequence,v115@QhB8FeE8CeE8Je/EJvhFUgBGhBxiBNrBinBTqB,v115@QhB8FeE8CeE8JeT/IvhF/lBGhBxiBNrBinBUqB,v115@QhB8FeE8CeE8Je/EJvhFUgB9mBxiBinBzlB2vB,v115@QhB8FeE8CeE8JeT/IvhF9mBOnBXjBRqB0qBiqB,v115@QhB8FeE8CeE8Jem/IvhFtlBxhBXjB0kBzmByvB,v115@QhB8FeE8CeE8Je3AJvhF9mBxiB0kBinBzqBmpB
TOSILJZ,O,X,X,O,O,O
TOSILZJ,O,X,X,X,O,O
TOSIJLZ,O,X,X,O,X,X
TOSIJZL,O,X,X,O,X,X
TOSIZLJ,O,O,X,X,O,O
TOSIZJL,O,O,X,O,X,X
TOSLIJZ,O,X,O,O,O,O
TOSLIZJ,O,O,O,X,O,O
TOSLJIZ,O,X,O,O,O,O
TOSLJZI,O,X,O,X,O,O
TOSLZIJ,O,O,O,X,O,O
TOSLZJI,O,O,O,X,O,O
TOSJILZ,O,X,X,O,X,X
TOSJIZL,O,X,X,O,X,X
TOSJLIZ,O,X,O,O,X,O
TOSJLZI,O,X,O,X,X,O
TOSJZIL,O,X,X,O,X,X
TOSJZLI,O,X,O,X,X,O
TOSZILJ,O,O,X,X,O,O
TOSZIJL,O,O,X,O,X,X
TOSZLIJ,O,O,O,X,O,O
TOSZLJI,O,O,O,X,O,O
TOSZJIL,O,O,X,O,X,X
TOSZJLI,O,O,X,X,O,O
TOZILJS,X,O,X,X,O,O
TOZILSJ,X,O,X,X,O,O
TOZIJLS,X,X,X,O,X,X
TOZIJSL,O,O,X,O,X,X
TOZISLJ,O,O,X,X,O,O
TOZISJL,O,O,X,O,X,X
TOZLIJS,O,O,X,X,O,O
TOZLISJ,O,O,X,X,O,O
TOZLJIS,O,O,X,X,O,O
TOZLJSI,O,O,X,X,O,O
TOZLSIJ,O,O,X,X,O,O
TOZLSJI,O,O,X,X,O,O
TOZJILS,X,X,X,O,X,X
TOZJISL,O,O,X,O,X,X
TOZJLIS,O,O,X,X,O,O
TOZJLSI,O,O,X,X,O,O
TOZJSIL,O,O,X,O,X,X
TOZJSLI,O,O,X,X,O,O
TOZSILJ,O,O,X,X,O,O
TOZSIJL,O,O,X,O,X,X
TOZSLIJ,O,O,X,X,O,O
TOZSLJI,O,O,X,X,O,O
TOZSJIL,O,O,X,O,X,X
TOZSJLI,O,O,X,X,O,O
ITLJSZO,O,X,O,O,X,X
ITLJSOZ,O,X,O,O,X,X
ITLJZSO,O,O,O,O,X,X
ITLJZOS,O,O,X,O,X,X
ITLJOSZ,O,X,O,O,X,O
ITLJOZS,O,O,X,O,X,O
ITLSJZO,O,X,O,O,X,X
ITLSJOZ,O,X,O,O,X,X
ITLSZJO,O,O,O,X,X,X
ITLSZOJ,O,O,O,X,X,X
ITLSOJZ,O,X,O,O,X,O
ITLSOZJ,O,O,O,X,X,O
ITLZJSO,O,O,O,X,X,X
ITLZJOS,O,O,X,X,X,X
ITLZSJO,O,O,O,X,X,X
ITLZSOJ,O,O,O,X,X,X
ITLZOJS,O,O,X,X,X,O
ITLZOSJ,O,O,X,X,X,O
ITLOJSZ,O,X,O,O,X,O
ITLOJZS,O,O,X,O,X,O
ITLOSJZ,O,X,O,O,X,O
ITLOSZJ,O,O,O,X,X,O
ITLOZJS,O,O,X,X,X,O
ITLOZSJ,O,O,X,X,X,O
ITJLSZO,O,X,O,O,X,X
ITJLSOZ,O,X,O,O,X,X
ITJLZSO,O,X,O,O,X,X
ITJLZOS,O,X,X,O,X,X
ITJLOSZ,O,X,O,O,X,X
ITJLOZS,O,X,X,O,X,X
ITJSLZO,O,X,O,O,X,X
ITJSLOZ,O,X,O,O,X,X
ITJSZLO,O,X,O,O,X,X
ITJSZOL,O,X,X,O,X,X
ITJSOLZ,O,X,X,O,X,X
ITJSOZL,O,X,X,O,X,X
ITJZLSO,X,X,X,O,X,X
ITJZLOS,X,X,X,O,X,X
ITJZSLO,O,O,X,O,X,X
ITJZSOL,O,O,X,O,X,X
ITJZOLS,X,X,X,O,X,X
ITJZOSL,O,O,X,O,X,X
ITJOLSZ,O,X,X,O,X,X
ITJOLZS,O,X,X,O,X,X
ITJOSLZ,O,X,X,O,X,X
ITJOSZL,O,X,X,O,X,X
ITJOZLS,X,X,X,O,X,X
ITJOZSL,O,O,X,O,X,X
ITSLJZO,O,X,O,O,X,X
ITSLJOZ,O,X,O,O,X,X
ITSLZJO,O,X,O,X,X,X
ITSLZOJ,O,X,O,X,X,X
ITSLOJZ,O,X,O,O,X,X
ITSLOZJ,O,X,O,X,X,X
ITSJLZO,O,X,O,O,X,X
ITSJLOZ,O,X,O,O,X,X
ITSJZLO,O,X,O,O,X,X
ITSJZOL,O,X,X,O,X,X
ITSJOLZ,O,X,X,O,X,X
ITSJOZL,O,X,X,O,X,X
ITSZLJO,O,O,O,X,X,X
ITSZLOJ,O,O,O,X,X,X
ITSZJLO,O,O,O,O,X,X
ITSZJOL,O,O,X,O,X,X
ITSZOLJ,O,O,X,X,X,X
ITSZOJL,O,O,X,O,X,X
ITSOLJZ,O,X,X,O,X,X
ITSOLZJ,O,X,X,X,X,X
ITSOJLZ,O,X,X,O,X,X
ITSOJZL,O,X,X,O,X,X
ITSOZLJ,O,O,X,X,X,X
ITSOZJL,O,O,X,O,X,X
ITZLJSO,X,O,X,X,X,X
ITZLJOS,X,O,X,X,X,X
ITZLSJO,X,O,X,X,X,X
ITZLSOJ,X,O,X,X,X,X
ITZLOJS,X,O,X,X,X,O
ITZLOSJ,X,O,X,X,X,O
ITZJLSO,X,X,X,O,X,X
ITZJLOS,X,X,X,O,X,X
ITZJSLO,O,O,X,O,X,X
ITZJSOL,O,O,X,O,X,X
ITZJOLS,X,X,X,O,X,X
ITZJOSL,O,O,X,O,X,X
ITZSLJO,O,O,X,X,X,X
ITZSLOJ,X,O,X,X,X,X
ITZSJLO,O,O,X,O,X,X
ITZSJOL,O,O,X,O,X,X
ITZSOLJ,O,O,X,X,X,X
ITZSOJL,O,O,X,O,X,X
ITZOLJS,X,O,X,X,X,O
ITZOLSJ,X,O,X,X,X,O
ITZOJLS,X,X,X,O,X,X
ITZOJSL,O,O,X,O,X,X
ITZOSLJ,O,O,X,X,X,X
ITZOSJL,O,O,X,O,X,X
ITOLJSZ,O,X,X,O,X,O
ITOLJZS,O,O,X,O,X,O
ITOLSJZ,O,X,X,O,X,O
ITOLSZJ,O,O,X,X,X,O
ITOLZJS,O,O,X,X,X,O
ITOLZSJ,O,O,X,X,X,O
ITOJLSZ,O,X,X,O,X,X
ITOJLZS,O,X,X,O,X,X
ITOJSLZ,O,X,X,O,X,X
ITOJSZL,O,X,X,O,X,X
ITOJZLS,X,X,X,O,X,X
ITOJZSL,O,O,X,O,X,X
ITOSLJZ,O,X,X,O,X,O
ITOSLZJ,O,X,X,X,X,O
ITOSJLZ,O,X,X,O,X,X
ITOSJZL,O,X,X,O,X,X
ITOSZLJ,O,O,X,X,X,O
ITOSZJL,O,O,X,O,X,X
ITOZLJS,X,O,X,X,X,O
ITOZLSJ,X,O,X,X,X,O
ITOZJLS,X,X,X,O,X,X
ITOZJSL,O,O,X,O,X,X
ITOZSLJ,O,O,X,X,X,O
ITOZSJL,O,O,X,O,X,X
ILTJSZO,O,X,O,O,O,X
ILTJSOZ,O,X,O,O,X,X
ILTJZSO,O,O,O,O,O,X
ILTJZOS,O,O,X,O,O,X
ILTJOSZ,O,X,O,O,X,O
ILTJOZS,O,O,X,O,X,O
ILTSJZO,O,X,O,O,O,X
ILTSJOZ,O,X,O,O,X,X
ILTSZJO,O,O,O,X,O,X
ILTSZOJ,O,O,O,X,O,X
ILTSOJZ,O,X,O,O,O,O
ILTSOZJ,O,O,O,X,O,O
ILTZJSO,O,O,O,X,O,X
ILTZJOS,O,O,X,X,O,X
ILTZSJO,O,O,O,X,O,X
ILTZSOJ,O,O,O,X,O,X
ILTZOJS,O,O,X,X,O,O
ILTZOSJ,O,O,X,X,O,O
ILTOJSZ,O,X,O,O,O,O
ILTOJZS,O,O,X,O,O,O
ILTOSJZ,O,X,O,O,O,O
ILTOSZJ,O,O,O,X,O,O
ILTOZJS,O,O,X,X,O,O
ILTOZSJ,O,O,X,X,O,O
ILJTSZO,O,X,O,O,X,X
ILJTSOZ,O,X,O,O,X,X
ILJTZSO,O,O,O,O,X,X
ILJTZOS,O,O,X,O,X,X
ILJTOSZ,O,X,O,O,X,O
ILJTOZS,O,O,X,O,X,O
ILJSTZO,O,X,O,O,X,X
ILJSTOZ,O,X,O,O,X,X
ILJSZTO,O,X,O,X,X,X
ILJSZOT,X,X,O,X,X,X
ILJSOTZ,O,X,O,O,X,X
ILJSOZT,O,X,O,X,X,X
ILJZTSO,X,O,O,X,X,X
ILJZTOS,X,O,X,X,X,X
ILJZSTO,X,O,O,X,X,X
ILJZSOT,X,O,O,X,X,X
ILJZOTS,X,O,X,X,X,O
ILJZOST,X,O,X,X,X,X
ILJOTSZ,O,X,O,O,X,O
ILJOTZS,O,O,X,O,X,O
ILJOSTZ,O,X,O,O,X,X
ILJOSZT,O,X,O,X,X,X
ILJOZTS,X,O,X,X,X,O
ILJOZST,X,O,X,X,X,X
ILSTJZO,O,X,O,O,O,X
ILSTJOZ,O,X,O,O,X,X
ILSTZJO,O,O,O,X,O,X
ILSTZOJ,O,O,O,X,O,X
ILSTOJZ,O,X,O,O,O,O
ILSTOZJ,O,O,O,X,O,O
ILSJTZO,O,X,O,O,O,X
ILSJTOZ,O,X,O,O,X,X
ILSJZTO,O,X,O,X,O,X
ILSJZOT,X,X,O,X,X,X
ILSJOTZ,O,X,O,O,X,X
ILSJOZT,O,X,O,X,X,X
ILSZTJO,O,O,O,X,O,X
ILSZTOJ,O,O,O,X,O,X
ILSZJTO,O,O,O,X,O,X
ILSZJOT,X,O,O,X,O,X
ILSZOTJ,O,O,O,X,O,O
ILSZOJT,O,O,O,X,O,X
ILSOTJZ,O,X,O,O,O,O
ILSOTZJ,O,O,O,X,O,O
ILSOJTZ,O,X,O,O,O,X
ILSOJZT,O,X,O,X,O,X
ILSOZTJ,O,O,O,X,O,O
ILSOZJT,O,O,O,X,O,X
ILZTJSO,O,O,O,X,O,X
ILZTJOS,O,O,X,X,O,X
ILZTSJO,O,O,O,X,O,X
ILZTSOJ,O,O,O,X,O,X
ILZTOJS,O,O,X,X,O,O
ILZTOSJ,O,O,X,X,O,O
ILZJTSO,X,O,O,X,O,X
ILZJTOS,X,O,X,X,O,X
ILZJSTO,X,O,O,X,O,X
ILZJSOT,X,O,O,X,O,X
ILZJOTS,X,O,X,X,O,O
ILZJOST,X,O,X,X,O,X
ILZSTJO,O,O,O,X,O,X
ILZSTOJ,O,O,O,X,O,X
ILZSJTO,O,O,O,X,O,X
ILZSJOT,X,O,O,X,O,X
ILZSOTJ,O,O,O,X,O,O
ILZSOJT,O,O,O,X,O,X
ILZOTJS,O,O,X,X,O,O
ILZOTSJ,O,O,X,X,O,O
ILZOJTS,X,O,X,X,O,O
ILZOJST,X,O,X,X,O,X
ILZOSTJ,O,O,X,X,O,O
ILZOSJT,O,O,X,X,O,X
ILOTJSZ,O,X,O,O,O,O
ILOTJZS,O,O,X,O,O,O
ILOTSJZ,O,X,O,O,O,O
ILOTSZJ,O,O,O,X,O,O
ILOTZJS,O,O,X,X,O,O
ILOTZSJ,O,O,X,X,O,O
ILOJTSZ,O,X,O,O,O,O
ILOJTZS,O,O,X,O,O,O
ILOJSTZ,O,X,O,O,O,X
ILOJSZT,O,X,O,X,O,X
ILOJZTS,X,O,X,X,O,O
ILOJZST,X,O,X,X,O,X
ILOSTJZ,O,X,O,O,O,O
ILOSTZJ,O,O,O,X,O,O
ILOSJTZ,O,X,O,O,O,X
ILOSJZT,O,X,O,X,O,X
ILOSZTJ,O,O,O,X,O,O
ILOSZJT,O,O,O,X,O,X
ILOZTJS,O,O,X,X,O,O
ILOZTSJ,O,O,X,X,O,O
ILOZJTS,X,O,X,X,O,O
ILOZJST,X,O,X,X,O,X
ILOZSTJ,O,O,X,X,O,O
ILOZSJT,O,O,X,X,O,X
IJTLSZO,O,X,O,O,X,X
IJTLSOZ,X,X,O,O,X,X
IJTLZSO,X,X,O,O,X,X
IJTLZOS,X,X,X,O,X,X
IJTLOSZ,O,X,O,O,X,X
IJTLOZS,X,X,X,O,X,X
IJTSLZO,O,X,O,O,X,X
IJTSLOZ,X,X,O,O,X,X
IJTSZLO,O,X,O,O,X,X
IJTSZOL,O,X,X,O,X,X
IJTSOLZ,O,X,X,O,X,X
IJTSOZL,O,X,X,O,X,X
IJTZLSO,X,X,X,O,X,X
IJTZLOS,X,X,X,O,X,X
IJTZSLO,O,O,X,O,X,X
IJTZSOL,O,O,X,O,X,X
IJTZOLS,X,X,X,O,X,X
IJTZOSL,O,O,X,O,X,X
IJTOLSZ,O,X,X,O,X,X
IJTOLZS,X,X,X,O,X,X
IJTOSLZ,O,X,X,O,X,X
IJTOSZL,O,X,X,O,X,X
IJTOZLS,X,X,X,O,X,X
IJTOZSL,O,O,X,O,X,X
IJLTSZO,O,X,O,O,X,X
IJLTSOZ,O,X,O,O,X,X
IJLTZSO,O,O,O,O,X,X
IJLTZOS,O,O,X,O,X,X
IJLTOSZ,O,X,O,O,X,O
IJLTOZS,O,O,X,O,X,O
IJLSTZO,O,X,O,O,X,X
IJLSTOZ,O,X,O,O,X,X
IJLSZTO,O,X,O,X,X,X
IJLSZOT,X,X,O,X,X,X
IJLSOTZ,O,X,O,O,X,X
IJLSOZT,O,X,O,X,X,X
IJLZTSO,X,O,O,X,X,X
IJLZTOS,X,O,X,X,X,X
IJLZSTO,X,O,O,X,X,X
IJLZSOT,X,O,O,X,X,X
IJLZOTS,X,O,X,X,X,O
IJLZOST,X,O,X,X,X,X
IJLOTSZ,O,X,O,O,X,O
IJLOTZS,O,O,X,O,X,O
IJLOSTZ,O,X,O,O,X,X
IJLOSZT,O,X,O,X,X,X
IJLOZTS,X,O,X,X,X,O
IJLOZST,X,O,X,X,X,X
IJSTLZO,O,X,O,O,X,X
IJSTLOZ,X,X,O,O,X,X
IJSTZLO,O,X,O,O,X,X
IJSTZOL,O,X,X,O,X,X
IJSTOLZ,O,X,X,O,X,X
IJSTOZL,O,X,X,O,X,X
IJSLTZO,O,X,O,O,X,X
IJSLTOZ,O,X,O,O,X,X
IJSLZTO,O,X,O,X,X,X
IJSLZOT,X,X,O,X,X,X
IJSLOTZ,O,X,O,O,X,X
IJSLOZT,O,X,O,X,X,X
IJSZTLO,O,X,O,O,X,X
IJSZTOL,O,X,X,O,X,X
IJSZLTO,O,X,O,X,X,X
IJSZLOT,X,X,O,X,X,X
IJSZOTL,X,X,X,O,X,X
IJSZOLT,X,X,O,X,X,X
IJSOTLZ,O,X,X,O,X,X
IJSOTZL,O,X,X,O,X,X
IJSOLTZ,O,X,O,O,X,X
IJSOLZT,O,X,O,X,X,X
IJSOZTL,O,X,X,O,X,X
IJSOZLT,O,X,O,X,X,X
IJZTLSO,X,X,X,O,X,X
IJZTLOS,X,X,X,O,X,X
IJZTSLO,X,O,X,O,X,X
IJZTSOL,X,O,X,O,X,X
IJZTOLS,X,X,X,O,X,X
IJZTOSL,X,O,X,O,X,X
IJZLTSO,X,O,O,X,X,X
IJZLTOS,X,O,X,X,X,X
IJZLSTO,X,O,O,X,X,X
IJZLSOT,X,O,O,X,X,X
IJZLOTS,X,O,X,X,X,O
IJZLOST,X,O,X,X,X,X
IJZSTLO,X,O,O,O,X,X
IJZSTOL,X,O,X,O,X,X
IJZSLTO,X,O,O,X,X,X
IJZSLOT,X,O,O,X,X,X
IJZSOTL,X,O,X,O,X,X
IJZSOLT,X,O,O,X,X,X
IJZOTLS,X,X,X,O,X,X
IJZOTSL,X,O,X,O,X,X
IJZOLTS,X,O,X,X,X,O
IJZOLST,X,O,X,X,X,X
IJZOSTL,X,O,X,O,X,X
IJZOSLT,X,O,X,X,X,X
IJOTLSZ,O,X,X,O,X,X
IJOTLZS,X,X,X,O,X,X
IJOTSLZ,O,X,X,O,X,X
IJOTSZL,O,X,X,O,X,X
IJOTZLS,X,X,X,O,X,X
IJOTZSL,O,O,X,O,X,X
IJOLTSZ,O,X,O,O,X,O
IJOLTZS,O,O,X,O,X,O
IJOLSTZ,O,X,O,O,X,X
IJOLSZT,O,X,O,X,X,X
IJOLZTS,X,O,X,X,X,O
IJOLZST,X,O,X,X,X,X
IJOSTLZ,O,X,X,O,X,X
IJOSTZL,O,X,X,O,X,X
IJOSLTZ,O,X,O,O,X,X
IJOSLZT,O,X,O,X,X,X
IJOSZTL,O,X,X,O,X,X
IJOSZLT,O,X,O,X,X,X
IJOZTLS,X,X,X,O,X,X
IJOZTSL,X,O,X,O,X,X
IJOZLTS,X,O,X,X,X,O
IJOZLST,X,O,X,X,X,X
IJOZSTL,X,O,X,O,X,X
IJOZSLT,X,O,X,X,X,X
ISTLJZO,O,X,O,O,O,X
ISTLJOZ,O,X,O,O,X,X
ISTLZJO,O,X,O,X,O,X
ISTLZOJ,O,X,O,X,O,X
ISTLOJZ,O,X,O,O,X,X
ISTLOZJ,O,X,O,X,O,X
ISTJLZO,O,X,O,O,X,X
ISTJLOZ,O,X,O,O,X,X
ISTJZLO,O,X,O,O,X,X
ISTJZOL,O,X,X,O,X,X
ISTJOLZ,O,X,X,O,X,X
ISTJOZL,O,X,X,O,X,X
ISTZLJO,O,O,O,X,X,X
ISTZLOJ,O,O,O,X,X,X
ISTZJLO,O,O,O,O,X,X
ISTZJOL,O,O,X,O,X,X
ISTZOLJ,O,O,X,X,X,X
ISTZOJL,O,O,X,O,X,X
ISTOLJZ,O,X,X,O,O,X
ISTOLZJ,O,X,X,X,O,X
ISTOJLZ,O,X,X,O,X,X
ISTOJZL,O,X,X,O,X,X
ISTOZLJ,O,O,X,X,O,X
ISTOZJL,O,O,X,O,X,X
ISLTJZO,O,X,O,O,O,X
ISLTJOZ,O,X,O,O,X,X
ISLTZJO,O,O,O,X,O,X
ISLTZOJ,O,O,O,X,O,X
ISLTOJZ,O,X,O,O,O,O
ISLTOZJ,O,O,O,X,O,O
ISLJTZO,O,X,O,O,O,X
ISLJTOZ,O,X,O,O,X,X
ISLJZTO,O,X,O,X,O,X
ISLJZOT,X,X,O,X,X,X
ISLJOTZ,O,X,O,O,X,X
ISLJOZT,O,X,O,X,X,X
ISLZTJO,O,O,O,X,O,X
ISLZTOJ,O,O,O,X,O,X
ISLZJTO,O,O,O,X,O,X
ISLZJOT,X,O,O,X,O,X
ISLZOTJ,O,O,O,X,O,O
ISLZOJT,O,O,O,X,O,X
ISLOTJZ,O,X,O,O,O,O
ISLOTZJ,O,O,O,X,O,O
ISLOJTZ,O,X,O,O,O,X
ISLOJZT,O,X,O,X,O,X
ISLOZTJ,O,O,O,X,O,O
ISLOZJT,O,O,O,X,O,X
ISJTLZO,O,X,O,O,X,X
ISJTLOZ,X,X,O,O,X,X
ISJTZLO,O,X,O,O,X,X
ISJTZOL,O,X,X,O,X,X
ISJTOLZ,O,X,X,O,X,X
ISJTOZL,O,X,X,O,X,X
ISJLTZO,O,X,O,O,O,X
ISJLTOZ,O,X,O,O,X,X
ISJLZTO,O,X,O,X,O,X
ISJLZOT,X,X,O,X,X,X
ISJLOTZ,O,X,O,O,X,X
ISJLOZT,O,X,O,X,X,X
ISJZTLO,O,X,O,O,X,X
ISJZTOL,O,X,X,O,X,X
ISJZLTO,O,X,O,X,X,X
ISJZLOT,X,X,O,X,X,X
ISJZOTL,X,X,X,O,X,X
ISJZOLT,X,X,O,X,X,X
ISJOTLZ,O,X,X,O,X,X
ISJOTZL,O,X,X,O,X,X
ISJOLTZ,O,X,O,O,O,X
ISJOLZT,O,X,O,X,O,X
ISJOZTL,O,X,X,O,X,X
ISJOZLT,O,X,O,X,O,X
ISZTLJO,O,O,O,X,X,X
ISZTLOJ,O,O,O,X,X,X
ISZTJLO,O,O,O,O,X,X
ISZTJOL,O,O,X,O,X,X
ISZTOLJ,O,O,X,X,X,X
ISZTOJL,O,O,X,O,X,X
ISZLTJO,O,O,O,X,O,X
ISZLTOJ,O,O,O,X,O,X
ISZLJTO,O,O,O,X,O,X
ISZLJOT,X,O,O,X,X,X
ISZLOTJ,O,O,O,X,O,O
ISZLOJT,O,O,O,X,X,X
ISZJTLO,O,O,O,O,X,X
ISZJTOL,O,O,X,O,X,X
ISZJLTO,O,O,O,X,X,X
ISZJLOT,X,O,O,X,X,X
ISZJOTL,X,O,X,O,X,X
ISZJOLT,X,O,O,X,O,X
ISZOTLJ,O,O,X,X,O,X
ISZOTJL,O,O,X,O,X,X
ISZOLTJ,O,O,O,X,O,O
ISZOLJT,O,O,O,X,O,X
ISZOJTL,O,O,X,O,X,X
ISZOJLT,O,O,O,X,O,X
ISOTLJZ,O,X,X,O,O,X
ISOTLZJ,O,X,X,X,O,X
ISOTJLZ,O,X,X,O,X,X
ISOTJZL,O,X,X,O,X,X
ISOTZLJ,O,O,X,X,O,X
ISOTZJL,O,O,X,O,X,X
ISOLTJZ,O,X,O,O,O,O
ISOLTZJ,O,O,O,X,O,O
ISOLJTZ,O,X,O,O,O,X
ISOLJZT,O,X,O,X,O,X
ISOLZTJ,O,O,O,X,O,O
ISOLZJT,O,O,O,X,O,X
ISOJTLZ,O,X,X,O,X,X
ISOJTZL,O,X,X,O,X,X
ISOJLTZ,O,X,O,O,O,X
ISOJLZT,O,X,O,X,O,X
ISOJZTL,O,X,X,O,X,X
ISOJZLT,O,X,O,X,O,X
ISOZTLJ,O,O,X,X,O,X
ISOZTJL,O,O,X,O,X,X
ISOZLTJ,O,O,O,X,O,O
ISOZLJT,O,O,O,X,O,X
ISOZJTL,O,O,X,O,X,X
ISOZJLT,O,O,O,X,O,X
IZTLJSO,X,O,X,X,X,X
IZTLJOS,X,O,X,X,X,X
IZTLSJO,X,O,X,X,X,X
IZTLSOJ,X,O,X,X,X,X
IZTLOJS,X,O,X,X,X,O
IZTLOSJ,X,O,X,X,X,O
IZTJLSO,X,X,X,O,X,X
IZTJLOS,X,X,X,O,X,X
IZTJSLO,O,O,X,O,X,X
IZTJSOL,O,O,X,O,X,X
IZTJOLS,X,X,X,O,X,X
IZTJOSL,O,O,X,O,X,X
IZTSLJO,O,O,X,X,X,X
IZTSLOJ,X,O,X,X,X,X
IZTSJLO,O,O,X,O,X,X
IZTSJOL,O,O,X,O,X,X
IZTSOLJ,O,O,X,X,X,X
IZTSOJL,O,O,X,O,X,X
IZTOLJS,X,O,X,X,X,O
IZTOLSJ,X,O,X,X,X,O
IZTOJLS,X,X,X,O,X,X
IZTOJSL,O,O,X,O,X,X
IZTOSLJ,O,O,X,X,X,X
IZTOSJL,O,O,X,O,X,X
IZLTJSO,O,O,O,X,X,X
IZLTJOS,O,O,X,X,X,X
IZLTSJO,O,O,O,X,X,X
IZLTSOJ,O,O,O,X,X,X
IZLTOJS,O,O,X,X,X,O
IZLTOSJ,O,O,X,X,X,O
IZLJTSO,X,O,O,X,X,X
IZLJTOS,X,O,X,X,X,X
IZLJSTO,X,O,O,X,X,X
IZLJSOT,X,O,O,X,X,X
IZLJOTS,X,O,X,X,X,O
IZLJOST,X,O,X,X,X,X
IZLSTJO,O,O,O,X,X,X
IZLSTOJ,O,O,O,X,X,X
IZLSJTO,O,O,O,X,X,X
IZLSJOT,X,O,O,X,X,X
IZLSOTJ,O,O,O,X,X,O
IZLSOJT,O,O,O,X,X,X
IZLOTJS,O,O,X,X,X,O
IZLOTSJ,O,O,X,X,X,O
IZLOJTS,X,O,X,X,X,O
IZLOJST,X,O,X,X,X,X
IZLOSTJ,O,O,X,X,X,O
IZLOSJT,O,O,X,X,X,X
IZJTLSO,X,X,X,O,X,X
IZJTLOS,X,X,X,O,X,X
IZJTSLO,X,O,X,O,X,X
IZJTSOL,X,O,X,O,X,X
IZJTOLS,X,X,X,O,X,X
IZJTOSL,X,O,X,O,X,X
IZJLTSO,X,O,O,X,X,X
IZJLTOS,X,O,X,X,X,X
IZJLSTO,X,O,O,X,X,X
IZJLSOT,X,O,O,X,X,X
IZJLOTS,X,O,X,X,X,O
IZJLOST,X,O,X,X,X,X
IZJSTLO,X,O,O,O,X,X
IZJSTOL,X,O,X,O,X,X
IZJSLTO,X,O,O,X,X,X
IZJSLOT,X,O,O,X,X,X
IZJSOTL,X,O,X,O,X,X
IZJSOLT,X,O,O,X,O,X
IZJOTLS,X,X,X,O,X,X
IZJOTSL,X,O,X,O,X,X
IZJOLTS,X,O,X,X,O,O
IZJOLST,X,O,X,X,O,X
IZJOSTL,X,O,X,O,X,X
IZJOSLT,X,O,X,X,O,X
IZSTLJO,O,O,O,X,X,X
IZSTLOJ,O,O,O,X,X,X
IZSTJLO,O,O,O,O,X,X
IZSTJOL,O,O,X,O,X,X
IZSTOLJ,O,O,X,X,X,X
IZSTOJL,O,O,X,O,X,X
IZSLTJO,O,O,O,X,X,X
IZSLTOJ,O,O,O,X,X,X
IZSLJTO,O,O,O,X,X,X
IZSLJOT,X,O,O,X,X,X
IZSLOTJ,O,O,O,X,X,O
IZSLOJT,O,O,O,X,X,X
IZSJTLO,O,O,O,O,X,X
IZSJTOL,O,O,X,O,X,X
IZSJLTO,O,O,O,X,X,X
IZSJLOT,X,O,O,X,X,X
IZSJOTL,X,O,X,O,X,X
IZSJOLT,X,O,O,X,O,X
IZSOTLJ,O,O,X,X,O,X
IZSOTJL,O,O,X,O,X,X
IZSOLTJ,O,O,O,X,O,O
IZSOLJT,O,O,O,X,O,X
IZSOJTL,O,O,X,O,X,X
IZSOJLT,O,O,O,X,O,X
IZOTLJS,X,O,X,X,O,O
IZOTLSJ,X,O,X,X,O,O
IZOTJLS,X,X,X,O,X,X
IZOTJSL,O,O,X,O,X,X
IZOTSLJ,O,O,X,X,O,O
IZOTSJL,O,O,X,O,X,X
IZOLTJS,O,O,X,X,O,O
IZOLTSJ,O,O,X,X,O,O
IZOLJTS,X,O,X,X,O,O
IZOLJST,X,O,X,X,O,X
IZOLSTJ,O,O,X,X,O,O
IZOLSJT,O,O,X,X,O,X
IZOJTLS,X,X,X,O,X,X
IZOJTSL,X,O,X,O,X,X
IZOJLTS,X,O,X,X,O,O
IZOJLST,X,O,X,X,O,X
IZOJSTL,X,O,X,O,X,X
IZOJSLT,X,O,X,X,O,X
IZOSTLJ,O,O,X,X,O,O
IZOSTJL,O,O,X,O,X,X
IZOSLTJ,O,O,X,X,O,O
IZOSLJT,O,O,X,X,O,X
IZOSJTL,O,O,X,O,X,X
IZOSJLT,O,O,X,X,O,X
IOTLJSZ,O,X,X,O,O,O
IOTLJZS,O,O,X,O,O,O
IOTLSJZ,O,X,X,O,O,O
IOTLSZJ,O,O,X,X,O,O
IOTLZJS,O,O,X,X,O,O
IOTLZSJ,O,O,X,X,O,O
IOTJLSZ,O,X,X,O,X,X
IOTJLZS,O,X,X,O,X,X
IOTJSLZ,O,X,X,O,X,X
IOTJSZL,O,X,X,O,X,X
IOTJZLS,X,X,X,O,X,X
IOTJZSL,O,O,X,O,X,X
IOTSLJZ,O,X,X,O,O,O
IOTSLZJ,O,X,X,X,O,O
IOTSJLZ,O,X,X,O,X,X
IOTSJZL,O,X,X,O,X,X
IOTSZLJ,O,O,X,X,O,O
IOTSZJL,O,O,X,O,X,X
IOTZLJS,X,O,X,X,O,O
IOTZLSJ,X,O,X,X,O,O
IOTZJLS,X,X,X,O,X,X
IOTZJSL,O,O,X,O,X,X
IOTZSLJ,O,O,X,X,O,O
IOTZSJL,O,O,X,O,X,X
IOLTJSZ,O,X,O,O,O,O
IOLTJZS,O,O,X,O,O,O
IOLTSJZ,O,X,O,O,O,O
IOLTSZJ,O,O,O,X,O,O
IOLTZJS,O,O,X,X,O,O
