sequence,v115@vhGfGJ0hB5oBKpBznBSwB2xB,v115@vhGZ/IukBSoBUnByuBXrBTtB,v115@vhG2/I5oBTkBUnBatByuBXrB,v115@vhGZ/IKjBukB3mBcsByuBTtB,v115@vhGcAJTfBxnBipBSvB3rBGtB,v115@vhGcAJ6kBKpBxnBTqB3rBGtB,v115@vhGT1I6kBKpBcqB3mB+tBRwB,v115@vhGT1IZkB0lBmmBftB6tBSwB,v115@vhGT1IZkB6qBOrB8rBftB6tB,v115@vhGZEJfmBumBzkBctBSvBywB,v115@vhGOEJUjBRlB3pBCrBSxBTtB
TIOLJZS,X,X,X,O,X,X,X,X,X,O,X
TIOLSJZ,X,O,O,X,X,X,X,O,X,O,X
TIOLSZJ,X,O,O,X,X,X,X,O,O,O,X
TIOLZJS,X,X,X,O,X,X,X,X,X,O,X
TIOLZSJ,X,X,X,O,X,X,X,O,X,O,X
TIOJLSZ,X,O,O,X,X,X,X,X,X,X,X
TIOJLZS,X,X,X,O,X,X,X,X,X,X,X
TIOJSLZ,X,O,O,X,X,X,X,O,X,X,X
TIOJSZL,X,O,O,X,X,X,X,O,X,X,X
TIOJZLS,X,X,X,O,X,X,X,X,X,X,X
TIOJZSL,X,X,X,O,X,X,X,O,O,X,X
TIOSLJZ,X,O,O,X,X,X,X,O,X,O,X
TIOSLZJ,X,O,O,X,X,X,X,O,O,O,X
TIOSJLZ,X,O,O,X,X,X,X,O,X,X,X
TIOSJZL,X,O,O,X,X,X,X,O,X,X,X
TIOSZLJ,X,O,O,X,X,X,X,O,O,O,X
TIOSZJL,X,O,O,X,X,X,X,O,O,X,X
TIOZLJS,X,X,X,O,X,X,X,X,X,O,X
TIOZLSJ,X,X,X,O,X,X,X,O,X,O,X
TIOZJLS,X,X,X,O,X,X,X,X,X,X,X
TIOZJSL,X,X,X,O,X,X,X,O,O,X,X
TIOZSLJ,X,X,X,O,X,X,X,O,O,O,X
TIOZSJL,X,X,X,O,X,X,X,O,O,X,X
TLIJSZO,O,X,X,X,X,X,O,X,X,O,X
TLIJSOZ,O,X,X,X,X,X,O,X,X,O,X
TLIJZSO,O,X,X,X,X,X,O,X,X,O,X
TLIJZOS,O,X,X,X,X,X,O,X,X,O,X
TLIJOSZ,O,X,X,X,X,X,O,X,X,O,X
TLIJOZS,O,X,X,X,X,X,O,X,X,O,X
TLISJZO,O,X,X,X,X,X,O,O,X,O,X
TLISJOZ,O,X,X,X,X,X,O,O,X,O,X
TLISZJO,O,X,X,X,X,X,O,O,O,O,X
TLISZOJ,X,X,O,X,X,X,O,O,O,O,X
TLISOJZ,X,X,O,X,X,X,O,O,X,O,X
TLISOZJ,X,X,O,X,X,X,O,O,O,O,X
TLIZJSO,O,X,X,X,X,X,O,X,X,O,X
TLIZJOS,O,X,X,X,X,X,O,X,X,O,X
TLIZSJO,O,X,X,X,X,X,O,O,X,O,X
TLIZSOJ,X,X,X,X,X,X,O,O,X,O,X
TLIZOJS,X,X,X,X,X,X,O,X,X,O,X
TLIZOSJ,X,X,X,X,X,X,O,O,X,O,X
TLIOJSZ,X,X,O,X,X,X,O,X,X,O,X
TLIOJZS,X,X,X,X,X,X,O,X,X,O,X
TLIOSJZ,X,X,O,X,X,X,O,O,X,O,X
TLIOSZJ,X,X,O,X,X,X,O,O,O,O,X
TLIOZJS,X,X,X,X,X,X,O,X,X,O,X
TLIOZSJ,X,X,X,X,X,X,O,O,X,O,X
TLJISZO,O,X,X,X,O,X,O,X,X,O,X
TLJISOZ,O,X,X,X,O,O,O,X,X,O,X
TLJIZSO,O,X,X,X,O,X,O,X,X,O,X
TLJIZOS,O,X,X,X,O,X,O,X,X,O,X
TLJIOSZ,O,X,X,X,O,O,O,X,X,O,X
TLJIOZS,O,X,X,X,O,O,O,X,X,O,X
TLJSIZO,O,X,X,X,O,X,X,X,X,O,X
TLJSIOZ,O,X,X,X,O,O,X,X,X,O,X
TLJSZIO,O,X,X,X,O,X,X,X,X,O,X
TLJSZOI,O,X,X,X,O,X,X,X,X,O,X
TLJSOIZ,O,X,X,X,O,O,X,X,X,O,X
TLJSOZI,O,X,X,X,O,O,X,X,X,O,X
TLJZISO,O,X,X,X,O,X,O,X,X,O,X
TLJZIOS,O,X,X,X,O,X,O,X,X,O,X
TLJZSIO,O,X,X,X,O,X,X,X,X,O,X
TLJZSOI,O,X,X,X,O,X,X,X,X,O,X
TLJZOIS,O,X,X,X,O,X,O,X,X,O,X
TLJZOSI,O,X,X,X,O,X,X,X,X,O,X
TLJOISZ,O,X,X,X,O,O,O,X,X,O,X
TLJOIZS,O,X,X,X,O,O,O,X,X,O,X
TLJOSIZ,O,X,X,X,O,O,X,X,X,O,X
TLJOSZI,O,X,X,X,O,O,X,X,X,O,X
TLJOZIS,O,X,X,X,O,O,O,X,X,O,X
TLJOZSI,O,X,X,X,O,O,X,X,X,O,X
TLSIJZO,O,X,X,X,X,X,X,O,X,O,X
TLSIJOZ,O,X,X,X,X,X,X,O,X,O,O
TLSIZJO,O,X,X,X,X,X,X,O,O,O,X
TLSIZOJ,X,X,O,X,X,X,X,O,O,O,X
TLSIOJZ,X,X,O,X,X,X,X,O,X,O,O
TLSIOZJ,X,X,O,X,X,X,X,O,O,O,O
TLSJIZO,O,X,X,X,O,X,X,O,X,O,X
TLSJIOZ,O,X,X,X,O,O,X,O,X,O,O
TLSJZIO,O,X,X,X,O,X,X,O,X,O,X
TLSJZOI,O,X,X,X,O,X,X,X,X,O,X
TLSJOIZ,O,X,X,X,O,O,X,X,X,O,O
TLSJOZI,O,X,X,X,O,O,X,X,X,O,O
TLSZIJO,O,X,X,X,X,X,X,O,O,O,X
TLSZIOJ,X,X,O,X,X,X,X,O,O,O,X
TLSZJIO,O,X,X,X,O,X,X,O,O,O,X
TLSZJOI,O,X,X,X,O,X,X,X,X,O,X
TLSZOIJ,X,X,O,X,X,X,X,X,X,O,X
TLSZOJI,X,X,O,X,O,X,X,X,X,O,X
TLSOIJZ,X,X,O,X,X,X,X,X,X,O,O
TLSOIZJ,X,X,O,X,X,X,X,X,X,O,O
TLSOJIZ,X,X,O,X,O,O,X,X,X,O,O
TLSOJZI,X,X,O,X,O,O,X,X,X,O,O
TLSOZIJ,X,X,O,X,X,X,X,X,X,O,O
TLSOZJI,X,X,O,X,O,O,X,X,X,O,O
TLZIJSO,O,X,X,X,X,X,O,X,X,O,X
TLZIJOS,O,X,X,X,X,X,O,X,X,O,X
TLZISJO,O,X,X,X,X,X,O,O,X,O,X
TLZISOJ,X,X,X,X,X,X,O,O,X,O,X
TLZIOJS,X,X,X,X,X,X,O,X,X,O,X
TLZIOSJ,X,X,X,X,X,X,O,O,X,O,X
TLZJISO,O,X,X,X,O,X,O,X,X,O,X
TLZJIOS,O,X,X,X,O,X,O,X,X,O,X
TLZJSIO,O,X,X,X,O,X,X,X,X,O,X
TLZJSOI,O,X,X,X,O,X,X,X,X,O,X
TLZJOIS,O,X,X,X,O,X,O,X,X,O,X
TLZJOSI,O,X,X,X,O,X,X,X,X,O,X
TLZSIJO,O,X,X,X,X,X,X,O,X,O,X
TLZSIOJ,X,X,X,X,X,X,X,O,X,O,X
TLZSJIO,O,X,X,X,O,X,X,O,X,O,X
TLZSJOI,O,X,X,X,O,X,X,X,X,O,X
TLZSOIJ,X,X,X,X,X,X,X,X,X,O,X
TLZSOJI,X,X,X,X,O,X,X,X,X,O,X
TLZOIJS,X,X,X,X,X,X,O,X,X,O,X
TLZOISJ,X,X,X,X,X,X,O,X,X,O,X
TLZOJIS,X,X,X,X,O,X,O,X,X,O,X
TLZOJSI,X,X,X,X,O,X,X,X,X,O,X
TLZOSIJ,X,X,X,X,X,X,X,X,X,O,X
TLZOSJI,X,X,X,X,O,X,X,X,X,O,X
TLOIJSZ,X,X,O,X,X,X,O,X,X,O,X
TLOIJZS,X,X,X,X,X,X,O,X,X,O,X
TLOISJZ,X,X,O,X,X,X,O,X,X,O,X
TLOISZJ,X,X,O,X,X,X,O,X,X,O,X
TLOIZJS,X,X,X,X,X,X,O,X,X,O,X
TLOIZSJ,X,X,X,X,X,X,O,X,X,O,X
TLOJISZ,X,X,O,X,O,O,O,X,X,O,X
TLOJIZS,X,X,X,X,O,O,O,X,X,O,X
TLOJSIZ,X,X,O,X,O,O,X,X,X,O,X
TLOJSZI,X,X,O,X,O,O,X,X,X,O,X
TLOJZIS,X,X,X,X,O,O,O,X,X,O,X
TLOJZSI,X,X,X,X,O,O,X,X,X,O,X
TLOSIJZ,X,X,O,X,X,X,X,X,X,O,O
TLOSIZJ,X,X,O,X,X,X,X,X,X,O,O
TLOSJIZ,X,X,O,X,O,O,X,X,X,O,O
TLOSJZI,X,X,O,X,O,O,X,X,X,O,O
TLOSZIJ,X,X,O,X,X,X,X,X,X,O,O
TLOSZJI,X,X,O,X,O,O,X,X,X,O,O
TLOZIJS,X,X,X,X,X,X,O,X,X,O,X
TLOZISJ,X,X,X,X,X,X,O,X,X,O,X
TLOZJIS,X,X,X,X,O,O,O,X,X,O,X
TLOZJSI,X,X,X,X,O,O,X,X,X,O,X
TLOZSIJ,X,X,X,X,X,X,X,X,X,O,O
TLOZSJI,X,X,X,X,O,O,X,X,X,O,O
TJILSZO,O,X,X,X,O,X,O,X,X,O,X
TJILSOZ,O,X,X,X,O,O,O,X,X,O,X
TJILZSO,O,X,X,X,O,X,O,X,X,O,X
TJILZOS,O,X,X,X,O,X,O,X,X,O,X
TJILOSZ,O,X,X,X,O,O,O,X,X,O,X
TJILOZS,O,X,X,X,O,O,O,X,X,O,X
TJISLZO,O,X,X,X,O,X,O,O,X,O,X
TJISLOZ,O,X,X,X,O,O,O,O,X,O,X
TJISZLO,O,X,X,X,X,X,O,O,X,O,X
TJISZOL,O,O,X,X,X,X,X,O,X,X,X
TJISOLZ,O,O,X,X,O,O,X,O,X,X,X
TJISOZL,O,O,X,X,X,O,X,O,X,X,X
TJIZLSO,O,X,X,X,O,X,O,X,X,O,X
TJIZLOS,O,X,X,X,O,X,O,X,X,O,X
TJIZSLO,O,X,X,X,X,X,O,O,O,O,X
TJIZSOL,O,X,X,O,X,X,X,O,O,X,X
TJIZOLS,O,X,X,O,O,X,X,X,X,X,X
TJIZOSL,O,X,X,O,X,X,X,O,O,X,X
TJIOLSZ,O,O,X,X,O,O,X,X,X,X,X
TJIOLZS,O,X,X,O,O,O,X,X,X,X,X
TJIOSLZ,O,O,X,X,O,O,X,O,X,X,X
TJIOSZL,O,O,X,X,X,O,X,O,X,X,X
TJIOZLS,O,X,X,O,O,O,X,X,X,X,X
TJIOZSL,O,X,X,O,X,O,X,O,O,X,X
TJLISZO,O,X,X,X,O,X,O,X,X,O,X
TJLISOZ,O,X,X,X,O,O,O,X,X,O,X
TJLIZSO,O,X,X,X,O,X,O,X,X,O,X
TJLIZOS,O,X,X,X,O,X,O,X,X,O,X
TJLIOSZ,O,X,X,X,O,O,O,X,X,O,X
TJLIOZS,O,X,X,X,O,O,O,X,X,O,X
TJLSIZO,O,X,X,X,O,X,X,X,X,O,X
TJLSIOZ,O,X,X,X,O,O,X,X,X,O,X
TJLSZIO,O,X,X,X,O,X,X,X,X,O,X
TJLSZOI,O,X,X,X,O,X,X,X,X,O,X
TJLSOIZ,O,X,X,X,O,O,X,X,X,O,X
TJLSOZI,O,X,X,X,O,O,X,X,X,O,X
TJLZISO,O,X,X,X,O,X,O,X,X,O,X
TJLZIOS,O,X,X,X,O,X,O,X,X,O,X
TJLZSIO,O,X,X,X,O,X,X,X,X,O,X
TJLZSOI,O,X,X,X,O,X,X,X,X,O,X
TJLZOIS,O,X,X,X,O,X,O,X,X,O,X
TJLZOSI,O,X,X,X,O,X,X,X,X,O,X
TJLOISZ,O,X,X,X,O,O,O,X,X,O,X
TJLOIZS,O,X,X,X,O,O,O,X,X,O,X
TJLOSIZ,O,X,X,X,O,O,X,X,X,O,X
TJLOSZI,O,X,X,X,O,O,X,X,X,O,X
TJLOZIS,O,X,X,X,O,O,O,X,X,O,X
TJLOZSI,O,X,X,X,O,O,X,X,X,O,X
TJSILZO,O,X,X,X,O,X,X,O,X,O,X
TJSILOZ,O,X,X,X,O,O,X,O,X,O,X
TJSIZLO,O,X,X,X,X,X,X,O,X,O,X
TJSIZOL,O,O,X,X,X,X,X,O,X,X,X
TJSIOLZ,O,O,X,X,O,O,X,O,X,X,X
TJSIOZL,O,O,X,X,X,O,X,O,X,X,X
TJSLIZO,O,X,X,X,O,X,X,O,X,O,X
TJSLIOZ,O,X,X,X,O,O,X,O,X,O,X
TJSLZIO,O,X,X,X,O,X,X,O,X,O,X
TJSLZOI,O,X,X,X,O,X,X,X,X,O,X
TJSLOIZ,O,X,X,X,O,O,X,X,X,O,X
TJSLOZI,O,X,X,X,O,O,X,X,X,O,X
TJSZILO,O,X,X,X,X,X,X,O,X,O,X
TJSZIOL,O,O,X,X,X,X,X,O,X,X,X
TJSZLIO,O,X,X,X,X,X,X,O,X,O,X
TJSZLOI,O,X,X,X,X,X,X,X,X,O,X
TJSZOIL,O,O,X,X,X,X,X,X,X,X,X
TJSZOLI,O,O,X,X,X,X,X,X,X,X,X
TJSOILZ,O,O,X,X,O,O,X,X,X,X,X
TJSOIZL,O,O,X,X,X,O,X,X,X,X,X
TJSOLIZ,O,O,X,X,O,O,X,X,X,X,X
TJSOLZI,O,O,X,X,O,O,X,X,X,X,X
TJSOZIL,O,O,X,X,X,O,X,X,X,X,X
TJSOZLI,O,O,X,X,X,O,X,X,X,X,X
TJZILSO,O,X,X,X,O,X,O,X,X,O,X
TJZILOS,O,X,X,X,O,X,O,X,X,O,X
TJZISLO,O,X,X,X,X,X,O,O,O,O,X
TJZISOL,O,X,X,O,X,X,X,O,O,X,X
TJZIOLS,O,X,X,O,O,X,X,X,X,X,X
TJZIOSL,O,X,X,O,X,X,X,O,O,X,X
TJZLISO,O,X,X,X,O,X,O,X,X,O,X
TJZLIOS,O,X,X,X,O,X,O,X,X,O,X
TJZLSIO,O,X,X,X,O,X,X,X,X,O,X
TJZLSOI,O,X,X,X,O,X,X,X,X,O,X
TJZLOIS,O,X,X,X,O,X,O,X,X,O,X
TJZLOSI,O,X,X,X,O,X,X,X,X,O,X
TJZSILO,O,X,X,X,X,X,X,O,O,O,X
TJZSIOL,O,X,X,O,X,X,X,O,O,X,X
TJZSLIO,O,X,X,X,X,X,X,O,O,O,X
TJZSLOI,O,X,X,X,X,X,X,X,X,O,X
TJZSOIL,O,X,X,O,X,X,X,X,X,X,X
TJZSOLI,O,X,X,O,X,X,X,X,X,X,X
TJZOILS,O,X,X,O,O,X,X,X,X,X,X
TJZOISL,O,X,X,O,X,X,X,X,X,X,X
TJZOLIS,O,X,X,O,O,X,X,X,X,X,X
TJZOLSI,O,X,X,O,O,X,X,X,X,X,X
TJZOSIL,O,X,X,O,X,X,X,X,X,X,X
TJZOSLI,O,X,X,O,X,X,X,X,X,X,X
TJOILSZ,O,O,X,X,O,O,X,X,X,X,X
TJOILZS,O,X,X,O,O,O,X,X,X,X,X
TJOISLZ,O,O,X,X,O,O,X,X,X,X,X
TJOISZL,O,O,X,X,X,O,X,X,X,X,X
TJOIZLS,O,X,X,O,O,O,X,X,X,X,X
TJOIZSL,O,X,X,O,X,O,X,X,X,X,X
TJOLISZ,O,O,X,X,O,O,X,X,X,X,X
TJOLIZS,O,X,X,O,O,O,X,X,X,X,X
TJOLSIZ,O,O,X,X,O,O,X,X,X,X,X
TJOLSZI,O,O,X,X,O,O,X,X,X,X,X
TJOLZIS,O,X,X,O,O,O,X,X,X,X,X
TJOLZSI,O,X,X,O,O,O,X,X,X,X,X
TJOSILZ,O,O,X,X,O,O,X,X,X,X,X
TJOSIZL,O,O,X,X,X,O,X,X,X,X,X
TJOSLIZ,O,O,X,X,O,O,X,X,X,X,X
TJOSLZI,O,O,X,X,O,O,X,X,X,X,X
TJOSZIL,O,O,X,X,X,O,X,X,X,X,X
TJOSZLI,O,O,X,X,X,O,X,X,X,X,X
TJOZILS,O,X,X,O,O,O,X,X,X,X,X
TJOZISL,O,X,X,O,X,O,X,X,X,X,X
TJOZLIS,O,X,X,O,O,O,X,X,X,X,X
TJOZLSI,O,X,X,O,O,O,X,X,X,X,X
TJOZSIL,O,X,X,O,X,O,X,X,X,X,X
TJOZSLI,O,X,X,O,X,O,X,X,X,X,X
TSILJZO,O,X,X,X,X,X,X,O,X,O,X
TSILJOZ,O,X,X,X,X,X,X,O,X,O,O
TSILZJO,O,X,X,X,X,X,X,O,O,O,X
TSILZOJ,X,X,O,X,X,X,X,O,O,O,X
TSILOJZ,X,X,O,X,X,X,X,O,X,O,O
TSILOZJ,X,X,O,X,X,X,X,O,O,O,O
TSIJLZO,O,X,X,X,X,X,X,O,X,O,X
TSIJLOZ,O,X,X,X,X,X,X,O,X,O,O
TSIJZLO,O,X,X,X,X,X,X,O,X,O,X
TSIJZOL,O,O,X,X,X,X,X,O,X,X,X
TSIJOLZ,O,O,X,X,X,X,X,O,X,X,O
TSIJOZL,O,O,X,X,X,X,X,O,X,X,O
TSIZLJO,O,X,X,X,X,X,X,O,O,O,X
TSIZLOJ,X,X,O,X,X,X,X,O,O,O,X
TSIZJLO,O,X,X,X,X,X,X,O,O,O,X
TSIZJOL,O,O,X,X,X,X,X,O,O,X,X
TSIZOLJ,X,O,O,X,X,X,X,O,O,O,X
TSIZOJL,X,O,O,X,X,X,X,O,O,X,X
TSIOLJZ,X,O,O,X,X,X,X,O,X,O,O
TSIOLZJ,X,O,O,X,X,X,X,O,O,O,O
TSIOJLZ,X,O,O,X,X,X,X,O,X,X,O
TSIOJZL,X,O,O,X,X,X,X,O,X,X,O
TSIOZLJ,X,O,O,X,X,X,X,O,O,O,O
TSIOZJL,X,O,O,X,X,X,X,O,O,X,O
TSLIJZO,O,X,X,X,X,X,X,O,X,O,X
TSLIJOZ,O,X,X,X,X,X,X,O,X,O,O
TSLIZJO,O,X,X,X,X,X,X,O,O,O,X
TSLIZOJ,X,X,O,X,X,X,X,O,O,O,X
TSLIOJZ,X,X,O,X,X,X,X,O,X,O,O
TSLIOZJ,X,X,O,X,X,X,X,O,O,O,O
TSLJIZO,O,X,X,X,O,X,X,O,X,O,X
TSLJIOZ,O,X,X,X,O,O,X,O,X,O,O
TSLJZIO,O,X,X,X,O,X,X,O,X,O,X
TSLJZOI,O,X,X,X,O,X,X,X,X,O,X
TSLJOIZ,O,X,X,X,O,O,X,X,X,O,O
TSLJOZI,O,X,X,X,O,O,X,X,X,O,O
TSLZIJO,O,X,X,X,X,X,X,O,O,O,X
TSLZIOJ,X,X,O,X,X,X,X,O,O,O,X
TSLZJIO,O,X,X,X,O,X,X,O,O,O,X
TSLZJOI,O,X,X,X,O,X,X,X,X,O,X
TSLZOIJ,X,X,O,X,X,X,X,X,X,O,X
TSLZOJI,X,X,O,X,O,X,X,X,X,O,X
TSLOIJZ,X,X,O,X,X,X,X,X,X,O,O
TSLOIZJ,X,X,O,X,X,X,X,X,X,O,O
TSLOJIZ,X,X,O,X,O,O,X,X,X,O,O
TSLOJZI,X,X,O,X,O,O,X,X,X,O,O
TSLOZIJ,X,X,O,X,X,X,X,X,X,O,O
TSLOZJI,X,X,O,X,O,O,X,X,X,O,O
TSJILZO,O,X,X,X,O,X,X,O,X,O,X
TSJILOZ,O,X,X,X,O,O,X,O,X,O,O
TSJIZLO,O,X,X,X,X,X,X,O,X,O,X
TSJIZOL,O,O,X,X,X,X,X,O,X,X,X
TSJIOLZ,O,O,X,X,O,O,X,O,X,X,O
TSJIOZL,O,O,X,X,X,O,X,O,X,X,O
TSJLIZO,O,X,X,X,O,X,X,O,X,O,X
TSJLIOZ,O,X,X,X,O,O,X,O,X,O,O
TSJLZIO,O,X,X,X,O,X,X,O,X,O,X
TSJLZOI,O,X,X,X,O,X,X,X,X,O,X
TSJLOIZ,O,X,X,X,O,O,X,X,X,O,O
TSJLOZI,O,X,X,X,O,O,X,X,X,O,O
TSJZILO,O,X,X,X,X,X,X,O,X,O,X
TSJZIOL,O,O,X,X,X,X,X,O,X,X,X
TSJZLIO,O,X,X,X,X,X,X,O,X,O,X
TSJZLOI,O,X,X,X,X,X,X,X,X,O,X
TSJZOIL,O,O,X,X,X,X,X,X,X,X,X
TSJZOLI,O,O,X,X,X,X,X,X,X,X,X
TSJOILZ,O,O,X,X,O,O,X,X,X,X,O
TSJOIZL,O,O,X,X,X,O,X,X,X,X,O
TSJOLIZ,O,O,X,X,O,O,X,X,X,X,O
TSJOLZI,O,O,X,X,O,O,X,X,X,X,O
TSJOZIL,O,O,X,X,X,O,X,X,X,X,O
TSJOZLI,O,O,X,X,X,O,X,X,X,X,O
TSZILJO,O,X,X,X,X,X,X,O,O,O,X
TSZILOJ,X,X,O,X,X,X,X,O,O,O,X
TSZIJLO,O,X,X,X,X,X,X,O,O,O,X
TSZIJOL,O,O,X,X,X,X,X,O,O,X,X
TSZIOLJ,X,O,O,X,X,X,X,O,O,O,X
TSZIOJL,X,O,O,X,X,X,X,O,O,X,X
TSZLIJO,O,X,X,X,X,X,X,O,O,O,X
TSZLIOJ,X,X,O,X,X,X,X,O,O,O,X
