sequence,v115@HhA8AeA8GeC8GeB8BeE8Kel/IvhFqmBmiB5oBzlB0n?B3qB,v115@HhA8AeA8GeC8GeB8BeE8Kel/IvhFUiBaoB5oBzlBWs?B3qB,v115@HhA8AeA8GeC8GeB8BeE8Kel/IvhFzgBqmBmiB5oB0n?B3qB,v115@HhA8AeA8GeC8GeB8BeE8Kel/IvhFzgBUiBaoB5oBWs?B3qB
TSZOLIJ,O,X,X,X
TSZOLJI,O,X,X,X
TSZOJIL,O,X,X,X
TSZOJLI,O,X,X,X
TSOILJZ,X,O,X,X
TSOILZJ,O,X,X,X
TSOIJLZ,X,O,X,X
TSOIJZL,X,O,X,X
TSOIZLJ,O,X,X,X
TSOIZJL,O,X,X,X
TSOLIJZ,X,O,X,X
TSOLIZJ,O,X,X,X
TSOLJIZ,X,O,X,X
TSOLJZI,X,O,X,X
TSOLZIJ,O,X,X,X
TSOLZJI,O,X,X,X
TSOJILZ,X,O,X,X
TSOJIZL,X,O,X,X
TSOJLIZ,X,O,X,X
TSOJLZI,X,O,X,X
TSOJZIL,X,O,X,X
TSOJZLI,X,O,X,X
TSOZILJ,O,X,X,X
TSOZIJL,O,X,X,X
TSOZLIJ,O,X,X,X
TSOZLJI,O,X,X,X
TSOZJIL,O,X,X,X
TSOZJLI,O,X,X,X
TZILJSO,O,O,O,O
TZILJOS,O,O,O,O
TZILSJO,O,X,O,X
TZILSOJ,O,X,O,X
TZILOJS,O,O,O,X
TZILOSJ,O,X,O,X
TZIJLSO,O,O,O,O
TZIJLOS,O,O,O,O
TZIJSLO,O,O,O,O
TZIJSOL,O,O,X,O
TZIJOLS,O,O,O,O
TZIJOSL,O,O,X,O
TZISLJO,O,X,O,X
TZISLOJ,O,X,O,X
TZISJLO,O,X,O,X
TZISJOL,O,X,X,X
TZISOLJ,O,X,X,X
TZISOJL,O,X,X,X
TZIOLJS,O,O,O,X
TZIOLSJ,O,X,O,X
TZIOJLS,O,O,O,X
TZIOJSL,O,O,X,X
TZIOSLJ,O,X,X,X
TZIOSJL,O,X,X,X
TZLIJSO,O,O,O,O
TZLIJOS,O,O,O,O
TZLISJO,O,X,O,X
TZLISOJ,O,X,O,X
TZLIOJS,O,O,O,X
