sequence,v115@HhA8AeA8GeC8GeB8BeE8Kel/IvhFqmBmiB5oBzlB0n?B3qB,v115@HhA8AeA8GeC8GeB8BeE8Kel/IvhFUiBaoB5oBzlBWs?B3qB,v115@HhA8AeA8GeC8GeB8BeE8Kel/IvhFzgBqmBmiB5oB0n?B3qB,v115@HhA8AeA8GeC8GeB8BeE8Kel/IvhFzgBUiBaoB5oBWs?B3qB
LIZOJST,O,O,O,X
LIZOSTJ,O,X,O,X
LIZOSJT,O,X,O,X
LIOTJSZ,X,O,X,O
LIOTJZS,O,O,X,O
LIOTSJZ,X,O,O,X
LIOTSZJ,O,X,O,X
LIOTZJS,O,O,O,X
LIOTZSJ,O,X,O,X
LIOJTSZ,X,O,X,O
LIOJTZS,O,O,X,O
LIOJSTZ,X,O,X,O
LIOJSZT,X,O,X,O
LIOJZTS,O,O,X,O
LIOJZST,O,O,X,O
LIOSTJZ,X,O,O,X
LIOSTZJ,O,X,O,X
LIOSJTZ,X,O,O,X
LIOSJZT,X,O,O,X
LIOSZTJ,O,X,O,X
LIOSZJT,O,X,O,X
LIOZTJS,O,O,O,X
LIOZTSJ,O,X,O,X
LIOZJTS,O,O,O,X
LIOZJST,O,O,O,X
LIOZSTJ,O,X,O,X
LIOZSJT,O,X,O,X
LJTISZO,X,O,O,O
LJTISOZ,X,O,O,O
LJTIZSO,O,O,O,O
LJTIZOS,O,O,O,O
LJTIOSZ,X,O,X,O
LJTIOZS,O,O,X,O
LJTSIZO,X,O,O,O
LJTSIOZ,X,O,O,O
LJTSZIO,X,O,O,O
LJTSZOI,X,O,O,O
LJTSOIZ,X,O,O,O
LJTSOZI,X,O,O,O
LJTZISO,O,O,O,O
LJTZIOS,O,O,O,O
LJTZSIO,O,O,O,O
LJTZSOI,O,O,O,O
LJTZOIS,O,O,O,O
LJTZOSI,O,O,O,O
LJTOISZ,X,O,X,O
LJTOIZS,O,O,X,O
LJTOSIZ,X,O,X,O
LJTOSZI,X,O,X,O
LJTOZIS,O,O,X,O
LJTOZSI,O,O,X,O
LJITSZO,X,O,O,O
LJITSOZ,X,O,O,O
LJITZSO,O,O,O,O
LJITZOS,O,O,O,O
LJITOSZ,X,O,X,O
LJITOZS,O,O,X,O
LJISTZO,X,O,O,O
LJISTOZ,X,O,O,O
LJISZTO,X,O,O,O
LJISZOT,X,O,O,O
LJISOTZ,X,O,O,O
LJISOZT,X,O,O,O
LJIZTSO,O,O,O,O
LJIZTOS,O,O,O,O
LJIZSTO,O,O,O,O
LJIZSOT,O,O,O,O
LJIZOTS,O,O,O,O
LJIZOST,O,O,O,O
LJIOTSZ,X,O,X,O
LJIOTZS,O,O,X,O
LJIOSTZ,X,O,X,O
LJIOSZT,X,O,X,O
LJIOZTS,O,O,X,O
LJIOZST,O,O,X,O
LJSTIZO,X,O,O,O
LJSTIOZ,X,O,O,O
LJSTZIO,X,O,O,O
LJSTZOI,X,O,O,O
LJSTOIZ,X,O,O,O
LJSTOZI,X,O,O,O
LJSITZO,X,O,O,O
LJSITOZ,X,O,O,O
LJSIZTO,X,O,O,O
LJSIZOT,X,O,O,O
LJSIOTZ,X,O,O,O
LJSIOZT,X,O,O,O
LJSZTIO,X,O,O,O
LJSZTOI,X,O,O,O
LJSZITO,X,O,O,O
LJSZIOT,X,O,O,O
LJSZOTI,X,O,O,O
LJSZOIT,X,O,O,O
LJSOTIZ,X,O,O,O
LJSOTZI,X,O,O,O
LJSOITZ,X,O,O,O
LJSOIZT,X,O,O,O
LJSOZTI,X,O,O,O
LJSOZIT,X,O,O,O
LJZTISO,O,O,O,O
LJZTIOS,O,O,O,O
LJZTSIO,O,O,O,O
LJZTSOI,O,O,O,O
LJZTOIS,O,O,O,O
LJZTOSI,O,O,O,O
LJZITSO,O,O,O,O
LJZITOS,O,O,O,O
LJZISTO,O,O,O,O
LJZISOT,O,O,O,O
LJZIOTS,O,O,O,O
LJZIOST,O,O,O,O
LJZSTIO,O,O,O,O
LJZSTOI,O,O,O,O
LJZSITO,O,O,O,O
LJZSIOT,O,O,O,O
LJZSOTI,O,O,O,O
LJZSOIT,O,O,O,O
LJZOTIS,O,O,O,O
LJZOTSI,O,O,O,O
LJZOITS,O,O,O,O
LJZOIST,O,O,O,O
LJZOSTI,O,O,O,O
LJZOSIT,O,O,O,O
LJOTISZ,X,O,X,O
LJOTIZS,O,O,X,O
LJOTSIZ,X,O,X,O
LJOTSZI,X,O,X,O
LJOTZIS,O,O,X,O
LJOTZSI,O,O,X,O
LJOITSZ,X,O,X,O
LJOITZS,O,O,X,O
LJOISTZ,X,O,X,O
LJOISZT,X,O,X,O
LJOIZTS,O,O,X,O
LJOIZST,O,O,X,O
LJOSTIZ,X,O,X,O
LJOSTZI,X,O,X,O
LJOSITZ,X,O,X,O
LJOSIZT,X,O,X,O
LJOSZTI,X,O,X,O
LJOSZIT,X,O,X,O
LJOZTIS,O,O,X,O
LJOZTSI,O,O,X,O
LJOZITS,O,O,X,O
LJOZIST,O,O,X,O
LJOZSTI,O,O,X,O
LJOZSIT,O,O,X,O
LSTIJZO,X,O,O,O
LSTIJOZ,X,O,O,O
LSTIZJO,O,X,O,X
LSTIZOJ,O,X,O,X
LSTIOJZ,X,O,O,X
LSTIOZJ,O,X,O,X
LSTJIZO,X,O,O,O
LSTJIOZ,X,O,O,O
LSTJZIO,X,O,O,O
LSTJZOI,X,O,O,O
LSTJOIZ,X,O,O,O
LSTJOZI,X,O,O,O
LSTZIJO,O,X,O,X
LSTZIOJ,O,X,O,X
LSTZJIO,O,X,O,X
LSTZJOI,O,X,O,X
LSTZOIJ,O,X,O,X
LSTZOJI,O,X,O,X
LSTOIJZ,X,O,O,X
LSTOIZJ,O,X,O,X
LSTOJIZ,X,O,O,X
LSTOJZI,X,O,O,X
LSTOZIJ,O,X,O,X
LSTOZJI,O,X,O,X
LSITJZO,X,O,O,O
LSITJOZ,X,O,O,O
LSITZJO,O,X,O,X
LSITZOJ,O,X,O,X
LSITOJZ,X,O,O,X
LSITOZJ,O,X,O,X
LSIJTZO,X,O,O,O
LSIJTOZ,X,O,O,O
LSIJZTO,X,O,O,O
LSIJZOT,X,O,O,O
LSIJOTZ,X,O,O,O
LSIJOZT,X,O,O,O
LSIZTJO,O,X,O,X
LSIZTOJ,O,X,O,X
LSIZJTO,O,X,O,X
LSIZJOT,O,X,O,X
LSIZOTJ,O,X,O,X
LSIZOJT,O,X,O,X
LSIOTJZ,X,O,O,X
LSIOTZJ,O,X,O,X
LSIOJTZ,X,O,O,X
LSIOJZT,X,O,O,X
LSIOZTJ,O,X,O,X
LSIOZJT,O,X,O,X
LSJTIZO,X,O,O,O
LSJTIOZ,X,O,O,O
LSJTZIO,X,O,O,O
LSJTZOI,X,O,O,O
LSJTOIZ,X,O,O,O
LSJTOZI,X,O,O,O
LSJITZO,X,O,O,O
LSJITOZ,X,O,O,O
LSJIZTO,X,O,O,O
LSJIZOT,X,O,O,O
LSJIOTZ,X,O,O,O
LSJIOZT,X,O,O,O
LSJZTIO,X,O,O,O
LSJZTOI,X,O,O,O
LSJZITO,X,O,O,O
LSJZIOT,X,O,O,O
LSJZOTI,X,O,O,O
LSJZOIT,X,O,O,O
LSJOTIZ,X,O,O,O
LSJOTZI,X,O,O,O
LSJOITZ,X,O,O,O
LSJOIZT,X,O,O,O
LSJOZTI,X,O,O,O
LSJOZIT,X,O,O,O
LSZTIJO,O,X,O,X
LSZTIOJ,O,X,O,X
LSZTJIO,O,X,O,X
LSZTJOI,O,X,O,X
LSZTOIJ,O,X,O,X
LSZTOJI,O,X,O,X
LSZITJO,O,X,O,X
LSZITOJ,O,X,O,X
LSZIJTO,O,X,O,X
LSZIJOT,O,X,O,X
LSZIOTJ,O,X,O,X
LSZIOJT,O,X,O,X
LSZJTIO,O,X,O,X
LSZJTOI,O,X,O,X
LSZJITO,O,X,O,X
LSZJIOT,O,X,O,X
LSZJOTI,O,X,O,X
LSZJOIT,O,X,O,X
LSZOTIJ,O,X,O,X
LSZOTJI,O,X,O,X
LSZOITJ,O,X,O,X
LSZOIJT,O,X,O,X
LSZOJTI,O,X,O,X
LSZOJIT,O,X,O,X
LSOTIJZ,X,O,O,X
LSOTIZJ,O,X,O,X
LSOTJIZ,X,O,O,X
LSOTJZI,X,O,O,X
LSOTZIJ,O,X,O,X
LSOTZJI,O,X,O,X
LSOITJZ,X,O,O,X
LSOITZJ,O,X,O,X
LSOIJTZ,X,O,O,X
LSOIJZT,X,O,O,X
LSOIZTJ,O,X,O,X
LSOIZJT,O,X,O,X
LSOJTIZ,X,O,O,X
LSOJTZI,X,O,O,X
LSOJITZ,X,O,O,X
LSOJIZT,X,O,O,X
LSOJZTI,X,O,O,X
LSOJZIT,X,O,O,X
LSOZTIJ,O,X,O,X
LSOZTJI,O,X,O,X
LSOZITJ,O,X,O,X
LSOZIJT,O,X,O,X
LSOZJTI,O,X,O,X
LSOZJIT,O,X,O,X
LZTIJSO,O,O,O,O
LZTIJOS,O,O,O,O
LZTISJO,O,X,O,X
LZTISOJ,O,X,O,X
LZTIOJS,O,O,O,X
LZTIOSJ,O,X,O,X
LZTJISO,O,O,O,O
LZTJIOS,O,O,O,O
LZTJSIO,O,O,O,O
LZTJSOI,O,O,O,O
LZTJOIS,O,O,O,O
LZTJOSI,O,O,O,O
LZTSIJO,O,X,O,X
LZTSIOJ,O,X,O,X
LZTSJIO,O,X,O,X
LZTSJOI,O,X,O,X
LZTSOIJ,O,X,O,X
LZTSOJI,O,X,O,X
LZTOIJS,O,O,O,X
LZTOISJ,O,X,O,X
LZTOJIS,O,O,O,X
LZTOJSI,O,O,O,X
LZTOSIJ,O,X,O,X
LZTOSJI,O,X,O,X
LZITJSO,O,O,O,O
LZITJOS,O,O,O,O
LZITSJO,O,X,O,X
LZITSOJ,O,X,O,X
LZITOJS,O,O,O,X
LZITOSJ,O,X,O,X
LZIJTSO,O,O,O,O
LZIJTOS,O,O,O,O
LZIJSTO,O,O,O,O
LZIJSOT,O,O,O,O
LZIJOTS,O,O,O,O
LZIJOST,O,O,O,O
LZISTJO,O,X,O,X
LZISTOJ,O,X,O,X
LZISJTO,O,X,O,X
LZISJOT,O,X,O,X
LZISOTJ,O,X,O,X
LZISOJT,O,X,O,X
LZIOTJS,O,O,O,X
LZIOTSJ,O,X,O,X
LZIOJTS,O,O,O,X
LZIOJST,O,O,O,X
LZIOSTJ,O,X,O,X
LZIOSJT,O,X,O,X
LZJTISO,O,O,O,O
LZJTIOS,O,O,O,O
LZJTSIO,O,O,O,O
LZJTSOI,O,O,O,O
LZJTOIS,O,O,O,O
LZJTOSI,O,O,O,O
LZJITSO,O,O,O,O
LZJITOS,O,O,O,O
LZJISTO,O,O,O,O
LZJISOT,O,O,O,O
LZJIOTS,O,O,O,O
LZJIOST,O,O,O,O
LZJSTIO,O,O,O,O
LZJSTOI,O,O,O,O
LZJSITO,O,O,O,O
LZJSIOT,O,O,O,O
LZJSOTI,O,O,O,O
LZJSOIT,O,O,O,O
LZJOTIS,O,O,O,O
LZJOTSI,O,O,O,O
LZJOITS,O,O,O,O
LZJOIST,O,O,O,O
LZJOSTI,O,O,O,O
LZJOSIT,O,O,O,O
LZSTIJO,O,X,O,X
LZSTIOJ,O,X,O,X
LZSTJIO,O,X,O,X
LZSTJOI,O,X,O,X
LZSTOIJ,O,X,O,X
LZSTOJI,O,X,O,X
LZSITJO,O,X,O,X
LZSITOJ,O,X,O,X
LZSIJTO,O,X,O,X
LZSIJOT,O,X,O,X
LZSIOTJ,O,X,O,X
LZSIOJT,O,X,O,X
LZSJTIO,O,X,O,X
LZSJTOI,O,X,O,X
LZSJITO,O,X,O,X
LZSJIOT,O,X,O,X
LZSJOTI,O,X,O,X
LZSJOIT,O,X,O,X
LZSOTIJ,O,X,O,X
LZSOTJI,O,X,O,X
LZSOITJ,O,X,O,X
LZSOIJT,O,X,O,X
LZSOJTI,O,X,O,X
LZSOJIT,O,X,O,X
LZOTIJS,O,O,O,X
LZOTISJ,O,X,O,X
LZOTJIS,O,O,O,X
LZOTJSI,O,O,O,X
LZOTSIJ,O,X,O,X
LZOTSJI,O,X,O,X
LZOITJS,O,O,O,X
LZOITSJ,O,X,O,X
LZOIJTS,O,O,O,X
LZOIJST,O,O,O,X
LZOISTJ,O,X,O,X
LZOISJT,O,X,O,X
LZOJTIS,O,O,O,X
LZOJTSI,O,O,O,X
LZOJITS,O,O,O,X
LZOJIST,O,O,O,X
LZOJSTI,O,O,O,X
LZOJSIT,O,O,O,X
LZOSTIJ,O,X,O,X
LZOSTJI,O,X,O,X
LZOSITJ,O,X,O,X
LZOSIJT,O,X,O,X
LZOSJTI,O,X,O,X
LZOSJIT,O,X,O,X
LOTIJSZ,X,O,X,O
LOTIJZS,O,O,X,O
LOTISJZ,X,O,O,X
LOTISZJ,O,X,O,X
LOTIZJS,O,O,O,X
LOTIZSJ,O,X,O,X
LOTJISZ,X,O,X,O
LOTJIZS,O,O,X,O
LOTJSIZ,X,O,X,O
LOTJSZI,X,O,X,O
LOTJZIS,O,O,X,O
LOTJZSI,O,O,X,O
LOTSIJZ,X,O,O,X
LOTSIZJ,O,X,O,X
LOTSJIZ,X,O,O,X
LOTSJZI,X,O,O,X
LOTSZIJ,O,X,O,X
LOTSZJI,O,X,O,X
LOTZIJS,O,O,O,X
LOTZISJ,O,X,O,X
LOTZJIS,O,O,O,X
LOTZJSI,O,O,O,X
LOTZSIJ,O,X,O,X
LOTZSJI,O,X,O,X
LOITJSZ,X,O,X,O
LOITJZS,O,O,X,O
LOITSJZ,X,O,O,X
LOITSZJ,O,X,O,X
LOITZJS,O,O,O,X
LOITZSJ,O,X,O,X
LOIJTSZ,X,O,X,O
LOIJTZS,O,O,X,O
LOIJSTZ,X,O,X,O
LOIJSZT,X,O,X,O
LOIJZTS,O,O,X,O
LOIJZST,O,O,X,O
LOISTJZ,X,O,O,X
LOISTZJ,O,X,O,X
LOISJTZ,X,O,O,X
LOISJZT,X,O,O,X
LOISZTJ,O,X,O,X
LOISZJT,O,X,O,X
LOIZTJS,O,O,O,X
LOIZTSJ,O,X,O,X
LOIZJTS,O,O,O,X
LOIZJST,O,O,O,X
LOIZSTJ,O,X,O,X
LOIZSJT,O,X,O,X
LOJTISZ,X,O,X,O
LOJTIZS,O,O,X,O
LOJTSIZ,X,O,X,O
LOJTSZI,X,O,X,O
LOJTZIS,O,O,X,O
LOJTZSI,O,O,X,O
LOJITSZ,X,O,X,O
LOJITZS,O,O,X,O
LOJISTZ,X,O,X,O
LOJISZT,X,O,X,O
LOJIZTS,O,O,X,O
LOJIZST,O,O,X,O
LOJSTIZ,X,O,X,O
LOJSTZI,X,O,X,O
LOJSITZ,X,O,X,O
LOJSIZT,X,O,X,O
LOJSZTI,X,O,X,O
LOJSZIT,X,O,X,O
LOJZTIS,O,O,X,O
LOJZTSI,O,O,X,O
LOJZITS,O,O,X,O
LOJZIST,O,O,X,O
LOJZSTI,O,O,X,O
LOJZSIT,O,O,X,O
LOSTIJZ,X,O,O,X
LOSTIZJ,O,X,O,X
LOSTJIZ,X,O,O,X
LOSTJZI,X,O,O,X
LOSTZIJ,O,X,O,X
LOSTZJI,O,X,O,X
LOSITJZ,X,O,O,X
LOSITZJ,O,X,O,X
LOSIJTZ,X,O,O,X
LOSIJZT,X,O,O,X
LOSIZTJ,O,X,O,X
LOSIZJT,O,X,O,X
LOSJTIZ,X,O,O,X
LOSJTZI,X,O,O,X
LOSJITZ,X,O,O,X
LOSJIZT,X,O,O,X
LOSJZTI,X,O,O,X
LOSJZIT,X,O,O,X
LOSZTIJ,O,X,O,X
LOSZTJI,O,X,O,X
LOSZITJ,O,X,O,X
LOSZIJT,O,X,O,X
LOSZJTI,O,X,O,X
LOSZJIT,O,X,O,X
LOZTIJS,O,O,O,X
LOZTISJ,O,X,O,X
LOZTJIS,O,O,O,X
LOZTJSI,O,O,O,X
LOZTSIJ,O,X,O,X
LOZTSJI,O,X,O,X
LOZITJS,O,O,O,X
LOZITSJ,O,X,O,X
LOZIJTS,O,O,O,X
LOZIJST,O,O,O,X
LOZISTJ,O,X,O,X
LOZISJT,O,X,O,X
LOZJTIS,O,O,O,X
LOZJTSI,O,O,O,X
LOZJITS,O,O,O,X
LOZJIST,O,O,O,X
LOZJSTI,O,O,O,X
LOZJSIT,O,O,O,X
LOZSTIJ,O,X,O,X
LOZSTJI,O,X,O,X
LOZSITJ,O,X,O,X
LOZSIJT,O,X,O,X
LOZSJTI,O,X,O,X
LOZSJIT,O,X,O,X
JTILSZO,X,O,O,O
JTILSOZ,X,O,O,O
JTILZSO,O,O,O,O
JTILZOS,O,O,O,O
JTILOSZ,X,O,X,O
JTILOZS,O,O,X,O
JTISLZO,X,O,X,O
JTISLOZ,X,O,X,O
JTISZLO,X,O,X,O
JTISZOL,X,O,X,O
JTISOLZ,X,O,X,O
JTISOZL,X,O,X,O
JTIZLSO,O,O,O,O
JTIZLOS,O,O,O,O
JTIZSLO,O,O,O,O
JTIZSOL,O,O,X,O
JTIZOLS,O,O,O,O
JTIZOSL,O,O,X,O
JTIOLSZ,X,O,X,O
JTIOLZS,O,O,X,O
JTIOSLZ,X,O,X,O
JTIOSZL,X,O,X,O
JTIOZLS,O,O,X,O
JTIOZSL,O,O,X,O
JTLISZO,X,O,O,O
JTLISOZ,X,O,O,O
JTLIZSO,O,O,O,O
JTLIZOS,O,O,O,O
JTLIOSZ,X,O,X,O
JTLIOZS,O,O,X,O
JTLSIZO,X,O,O,O
JTLSIOZ,X,O,O,O
JTLSZIO,X,O,O,O
JTLSZOI,X,O,O,O
JTLSOIZ,X,O,O,O
JTLSOZI,X,O,O,O
JTLZISO,O,O,O,O
JTLZIOS,O,O,O,O
JTLZSIO,O,O,O,O
JTLZSOI,O,O,O,O
JTLZOIS,O,O,O,O
JTLZOSI,O,O,O,O
JTLOISZ,X,O,X,O
JTLOIZS,O,O,X,O
JTLOSIZ,X,O,X,O
JTLOSZI,X,O,X,O
JTLOZIS,O,O,X,O
JTLOZSI,O,O,X,O
JTSILZO,X,O,X,O
JTSILOZ,X,O,X,O
JTSIZLO,X,O,X,O
JTSIZOL,X,O,X,O
JTSIOLZ,X,O,X,O
JTSIOZL,X,O,X,O
JTSLIZO,X,O,X,O
JTSLIOZ,X,O,X,O
JTSLZIO,X,O,X,O
JTSLZOI,X,O,X,O
JTSLOIZ,X,O,X,O
JTSLOZI,X,O,X,O
JTSZILO,X,O,X,O
JTSZIOL,X,O,X,O
JTSZLIO,X,O,X,O
JTSZLOI,X,O,X,O
JTSZOIL,X,O,X,O
JTSZOLI,X,O,X,O
JTSOILZ,X,O,X,O
JTSOIZL,X,O,X,O
JTSOLIZ,X,O,X,O
JTSOLZI,X,O,X,O
JTSOZIL,X,O,X,O
JTSOZLI,X,O,X,O
JTZILSO,O,O,O,O
JTZILOS,O,O,O,O
JTZISLO,O,O,O,O
JTZISOL,O,O,X,O
JTZIOLS,O,O,O,O
JTZIOSL,O,O,X,O
JTZLISO,O,O,O,O
JTZLIOS,O,O,O,O
JTZLSIO,O,O,O,O
JTZLSOI,O,O,O,O
JTZLOIS,O,O,O,O
JTZLOSI,O,O,O,O
JTZSILO,O,O,O,O
JTZSIOL,O,O,X,O
JTZSLIO,O,O,O,O
JTZSLOI,O,O,O,O
JTZSOIL,O,O,X,O
JTZSOLI,O,O,X,O
JTZOILS,O,O,O,O
JTZOISL,O,O,X,O
JTZOLIS,O,O,O,O
JTZOLSI,O,O,O,O
JTZOSIL,O,O,X,O
JTZOSLI,O,O,X,O
JTOILSZ,X,O,X,O
JTOILZS,O,O,X,O
JTOISLZ,X,O,X,O
JTOISZL,X,O,X,O
JTOIZLS,O,O,X,O
JTOIZSL,O,O,X,O
JTOLISZ,X,O,X,O
JTOLIZS,O,O,X,O
JTOLSIZ,X,O,X,O
JTOLSZI,X,O,X,O
JTOLZIS,O,O,X,O
JTOLZSI,O,O,X,O
JTOSILZ,X,O,X,O
JTOSIZL,X,O,X,O
JTOSLIZ,X,O,X,O
JTOSLZI,X,O,X,O
JTOSZIL,X,O,X,O
JTOSZLI,X,O,X,O
JTOZILS,O,O,X,O
JTOZISL,O,O,X,O
JTOZLIS,O,O,X,O
JTOZLSI,O,O,X,O
JTOZSIL,O,O,X,O
JTOZSLI,O,O,X,O
JITLSZO,X,O,O,O
JITLSOZ,X,O,O,O
JITLZSO,O,O,O,O
JITLZOS,O,O,O,O
JITLOSZ,X,O,X,O
JITLOZS,O,O,X,O
JITSLZO,X,O,X,O
JITSLOZ,X,O,X,O
JITSZLO,X,O,X,O
JITSZOL,X,O,X,O
JITSOLZ,X,O,X,O
JITSOZL,X,O,X,O
JITZLSO,O,O,O,O
JITZLOS,O,O,O,O
JITZSLO,O,O,O,O
JITZSOL,O,O,X,O
JITZOLS,O,O,O,O
JITZOSL,O,O,X,O
JITOLSZ,X,O,X,O
JITOLZS,O,O,X,O
JITOSLZ,X,O,X,O
JITOSZL,X,O,X,O
JITOZLS,O,O,X,O
JITOZSL,O,O,X,O
JILTSZO,X,O,O,O
JILTSOZ,X,O,O,O
JILTZSO,O,O,O,O
JILTZOS,O,O,O,O
JILTOSZ,X,O,X,O
JILTOZS,O,O,X,O
JILSTZO,X,O,O,O
JILSTOZ,X,O,O,O
JILSZTO,X,O,O,O
JILSZOT,X,O,O,O
JILSOTZ,X,O,O,O
JILSOZT,X,O,O,O
JILZTSO,O,O,O,O
JILZTOS,O,O,O,O
JILZSTO,O,O,O,O
JILZSOT,O,O,O,O
JILZOTS,O,O,O,O
JILZOST,O,O,O,O
JILOTSZ,X,O,X,O
JILOTZS,O,O,X,O
JILOSTZ,X,O,X,O
JILOSZT,X,O,X,O
JILOZTS,O,O,X,O
JILOZST,O,O,X,O
JISTLZO,X,O,X,O
JISTLOZ,X,O,X,O
JISTZLO,X,O,X,O
JISTZOL,X,O,X,O
JISTOLZ,X,O,X,O
JISTOZL,X,O,X,O
JISLTZO,X,O,X,O
JISLTOZ,X,O,X,O
JISLZTO,X,O,X,O
JISLZOT,X,O,X,O
JISLOTZ,X,O,X,O
JISLOZT,X,O,X,O
JISZTLO,X,O,X,O
JISZTOL,X,O,X,O
JISZLTO,X,O,X,O
JISZLOT,X,O,X,O
JISZOTL,X,O,X,O
JISZOLT,X,O,X,O
JISOTLZ,X,O,X,O
JISOTZL,X,O,X,O
JISOLTZ,X,O,X,O
JISOLZT,X,O,X,O
JISOZTL,X,O,X,O
JISOZLT,X,O,X,O
JIZTLSO,O,O,O,O
JIZTLOS,O,O,O,O
JIZTSLO,O,O,O,O
JIZTSOL,O,O,X,O
JIZTOLS,O,O,O,O
JIZTOSL,O,O,X,O
JIZLTSO,O,O,O,O
JIZLTOS,O,O,O,O
JIZLSTO,O,O,O,O
JIZLSOT,O,O,O,O
JIZLOTS,O,O,O,O
JIZLOST,O,O,O,O
JIZSTLO,O,O,O,O
JIZSTOL,O,O,X,O
JIZSLTO,O,O,O,O
JIZSLOT,O,O,O,O
JIZSOTL,O,O,X,O
JIZSOLT,O,O,X,O
JIZOTLS,O,O,O,O
JIZOTSL,O,O,X,O
JIZOLTS,O,O,O,O
JIZOLST,O,O,O,O
JIZOSTL,O,O,X,O
JIZOSLT,O,O,X,O
JIOTLSZ,X,O,X,O
JIOTLZS,O,O,X,O
JIOTSLZ,X,O,X,O
JIOTSZL,X,O,X,O
JIOTZLS,O,O,X,O
JIOTZSL,O,O,X,O
JIOLTSZ,X,O,X,O
JIOLTZS,O,O,X,O
JIOLSTZ,X,O,X,O
JIOLSZT,X,O,X,O
JIOLZTS,O,O,X,O
JIOLZST,O,O,X,O
JIOSTLZ,X,O,X,O
JIOSTZL,X,O,X,O
JIOSLTZ,X,O,X,O
JIOSLZT,X,O,X,O
JIOSZTL,X,O,X,O
JIOSZLT,X,O,X,O
JIOZTLS,O,O,X,O
JIOZTSL,O,O,X,O
JIOZLTS,O,O,X,O
JIOZLST,O,O,X,O
JIOZSTL,O,O,X,O
JIOZSLT,O,O,X,O
JLTISZO,X,O,O,O
JLTISOZ,X,O,O,O
JLTIZSO,O,O,O,O
JLTIZOS,O,O,O,O
JLTIOSZ,X,O,X,O
JLTIOZS,O,O,X,O
JLTSIZO,X,O,O,O
JLTSIOZ,X,O,O,O
JLTSZIO,X,O,O,O
JLTSZOI,X,O,O,O
JLTSOIZ,X,O,O,O
JLTSOZI,X,O,O,O
JLTZISO,O,O,O,O
JLTZIOS,O,O,O,O
JLTZSIO,O,O,O,O
JLTZSOI,O,O,O,O
JLTZOIS,O,O,O,O
JLTZOSI,O,O,O,O
JLTOISZ,X,O,X,O
JLTOIZS,O,O,X,O
JLTOSIZ,X,O,X,O
JLTOSZI,X,O,X,O
JLTOZIS,O,O,X,O
JLTOZSI,O,O,X,O
JLITSZO,X,O,O,O
JLITSOZ,X,O,O,O
JLITZSO,O,O,O,O
JLITZOS,O,O,O,O
JLITOSZ,X,O,X,O
JLITOZS,O,O,X,O
JLISTZO,X,O,O,O
JLISTOZ,X,O,O,O
JLISZTO,X,O,O,O
JLISZOT,X,O,O,O
JLISOTZ,X,O,O,O
JLISOZT,X,O,O,O
JLIZTSO,O,O,O,O
JLIZTOS,O,O,O,O
JLIZSTO,O,O,O,O
JLIZSOT,O,O,O,O
JLIZOTS,O,O,O,O
JLIZOST,O,O,O,O
JLIOTSZ,X,O,X,O
JLIOTZS,O,O,X,O
JLIOSTZ,X,O,X,O
JLIOSZT,X,O,X,O
JLIOZTS,O,O,X,O
JLIOZST,O,O,X,O
JLSTIZO,X,O,O,O
JLSTIOZ,X,O,O,O
JLSTZIO,X,O,O,O
JLSTZOI,X,O,O,O
JLSTOIZ,X,O,O,O
JLSTOZI,X,O,O,O
JLSITZO,X,O,O,O
JLSITOZ,X,O,O,O
JLSIZTO,X,O,O,O
JLSIZOT,X,O,O,O
JLSIOTZ,X,O,O,O
JLSIOZT,X,O,O,O
JLSZTIO,X,O,O,O
JLSZTOI,X,O,O,O
JLSZITO,X,O,O,O
JLSZIOT,X,O,O,O
JLSZOTI,X,O,O,O
JLSZOIT,X,O,O,O
JLSOTIZ,X,O,O,O
JLSOTZI,X,O,O,O
JLSOITZ,X,O,O,O
JLSOIZT,X,O,O,O
JLSOZTI,X,O,O,O
JLSOZIT,X,O,O,O
JLZTISO,O,O,O,O
JLZTIOS,O,O,O,O
JLZTSIO,O,O,O,O
JLZTSOI,O,O,O,O
JLZTOIS,O,O,O,O
JLZTOSI,O,O,O,O
JLZITSO,O,O,O,O
JLZITOS,O,O,O,O
JLZISTO,O,O,O,O
JLZISOT,O,O,O,O
JLZIOTS,O,O,O,O
JLZIOST,O,O,O,O
JLZSTIO,O,O,O,O
JLZSTOI,O,O,O,O
JLZSITO,O,O,O,O
JLZSIOT,O,O,O,O
JLZSOTI,O,O,O,O
JLZSOIT,O,O,O,O
JLZOTIS,O,O,O,O
JLZOTSI,O,O,O,O
JLZOITS,O,O,O,O
JLZOIST,O,O,O,O
JLZOSTI,O,O,O,O
JLZOSIT,O,O,O,O
JLOTISZ,X,O,X,O
JLOTIZS,O,O,X,O
JLOTSIZ,X,O,X,O
JLOTSZI,X,O,X,O
JLOTZIS,O,O,X,O
JLOTZSI,O,O,X,O
JLOITSZ,X,O,X,O
JLOITZS,O,O,X,O
JLOISTZ,X,O,X,O
JLOISZT,X,O,X,O
JLOIZTS,O,O,X,O
JLOIZST,O,O,X,O
JLOSTIZ,X,O,X,O
JLOSTZI,X,O,X,O
JLOSITZ,X,O,X,O
JLOSIZT,X,O,X,O
JLOSZTI,X,O,X,O
JLOSZIT,X,O,X,O
JLOZTIS,O,O,X,O
JLOZTSI,O,O,X,O
JLOZITS,O,O,X,O
JLOZIST,O,O,X,O
JLOZSTI,O,O,X,O
