sequence,v115@ShA8EeC8AeC8AeE8JeZEJvhFflBumBcnBTjBarBlqB,v115@ShA8EeC8AeC8AeE8JeZEJvhFflB0gBSnBTjBmmBFrB,v115@ShA8EeC8AeC8AeE8JeZEJvhFWlB3hBcnBTjBilBFrB,v115@ShA8EeC8AeC8AeE8Je3BJvhFcnBTjBxkBOpBilBFrB
ILTSJZO,X,O,X,X
ILTSJOZ,X,O,X,X
ILTSZJO,O,O,X,X
ILTSZOJ,O,O,X,X
ILTSOJZ,X,O,X,X
ILTSOZJ,O,O,X,X
ILTZJSO,O,X,O,X
ILTZJOS,O,X,O,X
ILTZSJO,O,O,O,X
ILTZSOJ,O,O,O,O
ILTZOJS,O,X,O,X
ILTZOSJ,O,O,O,O
ILTOJSZ,X,O,X,X
ILTOJZS,X,X,O,X
ILTOSJZ,X,O,X,X
ILTOSZJ,O,O,X,X
ILTOZJS,O,X,O,X
ILTOZSJ,O,O,O,O
ILJTSZO,X,O,X,X
ILJTSOZ,X,O,X,X
ILJTZSO,X,X,O,X
ILJTZOS,X,X,O,X
ILJTOSZ,X,O,X,X
ILJTOZS,X,X,O,X
ILJSTZO,X,O,X,X
ILJSTOZ,X,O,X,X
ILJSZTO,O,X,X,X
ILJSZOT,O,O,X,X
ILJSOTZ,X,O,X,X
ILJSOZT,O,O,X,X
ILJZTSO,O,X,O,X
ILJZTOS,O,X,O,X
ILJZSTO,O,X,X,X
ILJZSOT,O,X,O,X
ILJZOTS,O,X,O,X
ILJZOST,O,X,O,X
ILJOTSZ,X,O,X,X
ILJOTZS,X,X,O,X
ILJOSTZ,X,O,X,X
ILJOSZT,O,O,X,X
ILJOZTS,O,X,O,X
ILJOZST,O,X,O,X
ILSTJZO,X,O,X,X
ILSTJOZ,X,O,X,X
ILSTZJO,O,O,X,X
ILSTZOJ,O,O,X,X
ILSTOJZ,X,O,X,X
ILSTOZJ,O,O,X,X
ILSJTZO,X,O,X,X
ILSJTOZ,X,O,X,X
ILSJZTO,O,X,X,X
ILSJZOT,O,O,X,X
ILSJOTZ,X,O,X,X
ILSJOZT,O,O,X,X
ILSZTJO,O,O,X,X
ILSZTOJ,O,O,X,X
ILSZJTO,O,X,X,X
ILSZJOT,O,O,X,X
ILSZOTJ,O,O,X,X
ILSZOJT,O,O,X,X
ILSOTJZ,X,O,X,X
ILSOTZJ,O,O,X,X
ILSOJTZ,X,O,X,X
ILSOJZT,O,O,X,X
ILSOZTJ,O,O,X,X
ILSOZJT,O,O,X,X
ILZTJSO,O,X,O,X
ILZTJOS,O,X,O,X
ILZTSJO,O,O,O,X
ILZTSOJ,O,O,O,O
ILZTOJS,O,X,O,X
ILZTOSJ,O,O,O,O
ILZJTSO,O,X,O,X
ILZJTOS,O,X,O,X
ILZJSTO,O,X,X,X
ILZJSOT,O,X,O,X
ILZJOTS,O,X,O,X
ILZJOST,O,X,O,X
ILZSTJO,O,O,X,X
ILZSTOJ,O,O,X,X
ILZSJTO,O,X,X,X
ILZSJOT,O,O,O,X
ILZSOTJ,O,O,X,O
ILZSOJT,O,O,O,O
ILZOTJS,O,X,O,X
ILZOTSJ,O,O,O,O
ILZOJTS,O,X,O,X
ILZOJST,O,X,O,X
ILZOSTJ,O,O,X,O
ILZOSJT,O,O,O,O
ILOTJSZ,X,O,X,X
ILOTJZS,X,X,O,X
ILOTSJZ,X,O,X,X
ILOTSZJ,O,O,X,X
ILOTZJS,O,X,O,X
ILOTZSJ,O,O,O,O
ILOJTSZ,X,O,X,X
ILOJTZS,X,X,O,X
ILOJSTZ,X,O,X,X
ILOJSZT,O,O,X,X
ILOJZTS,O,X,O,X
ILOJZST,O,X,O,X
ILOSTJZ,X,O,X,X
ILOSTZJ,O,O,X,X
ILOSJTZ,X,O,X,X
ILOSJZT,O,O,X,X
ILOSZTJ,O,O,X,X
ILOSZJT,O,O,X,X
ILOZTJS,O,X,O,X
ILOZTSJ,O,O,O,O
ILOZJTS,O,X,O,X
ILOZJST,O,X,O,X
ILOZSTJ,O,O,X,O
ILOZSJT,O,O,O,O
IJTLSZO,X,O,X,X
IJTLSOZ,X,O,X,X
IJTLZSO,X,X,O,X
IJTLZOS,X,X,O,X
IJTLOSZ,X,O,X,X
IJTLOZS,X,X,O,X
IJTSLZO,X,O,X,X
IJTSLOZ,X,O,X,X
IJTSZLO,X,O,O,X
IJTSZOL,X,O,O,X
IJTSOLZ,X,O,X,X
IJTSOZL,X,O,O,X
IJTZLSO,X,X,O,X
IJTZLOS,X,X,O,X
IJTZSLO,X,X,O,X
IJTZSOL,X,X,O,O
IJTZOLS,X,X,O,X
IJTZOSL,X,X,O,O
IJTOLSZ,X,O,X,X
IJTOLZS,X,X,O,X
IJTOSLZ,X,O,X,X
IJTOSZL,X,O,O,X
IJTOZLS,X,X,O,X
IJTOZSL,X,X,O,O
IJLTSZO,X,O,X,X
IJLTSOZ,X,O,X,X
IJLTZSO,X,X,O,X
IJLTZOS,X,X,O,X
IJLTOSZ,X,O,X,X
IJLTOZS,X,X,O,X
IJLSTZO,X,O,X,X
IJLSTOZ,X,O,X,X
IJLSZTO,O,X,X,X
IJLSZOT,O,O,X,X
IJLSOTZ,X,O,X,X
IJLSOZT,O,O,X,X
IJLZTSO,O,X,O,X
IJLZTOS,O,X,O,X
IJLZSTO,O,X,X,X
IJLZSOT,O,X,O,X
IJLZOTS,O,X,O,X
IJLZOST,O,X,O,X
IJLOTSZ,X,O,X,X
IJLOTZS,X,X,O,X
IJLOSTZ,X,O,X,X
IJLOSZT,O,O,X,X
IJLOZTS,O,X,O,X
IJLOZST,O,X,O,X
IJSTLZO,X,O,X,X
IJSTLOZ,X,O,X,X
IJSTZLO,X,O,O,X
IJSTZOL,X,O,O,X
IJSTOLZ,X,O,X,X
IJSTOZL,X,O,O,X
IJSLTZO,X,O,X,X
IJSLTOZ,X,O,X,X
IJSLZTO,O,X,X,X
IJSLZOT,O,O,X,X
IJSLOTZ,X,O,X,X
IJSLOZT,O,O,X,X
IJSZTLO,O,X,O,X
IJSZTOL,O,X,O,X
IJSZLTO,O,X,X,X
IJSZLOT,O,O,O,X
IJSZOTL,O,X,O,X
IJSZOLT,O,O,O,X
IJSOTLZ,X,O,X,X
IJSOTZL,X,O,O,X
IJSOLTZ,X,O,X,X
IJSOLZT,O,O,X,X
IJSOZTL,O,X,O,X
IJSOZLT,O,O,O,X
IJZTLSO,O,X,O,X
IJZTLOS,O,X,O,X
IJZTSLO,O,X,O,X
IJZTSOL,O,X,O,O
IJZTOLS,O,X,O,X
IJZTOSL,O,X,O,O
IJZLTSO,O,X,O,X
IJZLTOS,O,X,O,X
IJZLSTO,O,X,X,X
IJZLSOT,O,X,O,X
IJZLOTS,O,X,O,X
IJZLOST,O,X,O,X
IJZSTLO,O,X,O,X
IJZSTOL,O,X,O,X
IJZSLTO,O,X,X,X
IJZSLOT,O,X,O,X
IJZSOTL,O,X,O,O
IJZSOLT,O,X,O,O
IJZOTLS,O,X,O,X
IJZOTSL,O,X,O,O
IJZOLTS,O,X,O,X
IJZOLST,O,X,O,X
IJZOSTL,O,X,O,O
IJZOSLT,O,X,O,O
IJOTLSZ,X,O,X,X
IJOTLZS,X,X,O,X
IJOTSLZ,X,O,X,X
IJOTSZL,X,O,O,X
IJOTZLS,X,X,O,X
IJOTZSL,X,X,O,O
IJOLTSZ,X,O,X,X
IJOLTZS,X,X,O,X
IJOLSTZ,X,O,X,X
IJOLSZT,O,O,X,X
IJOLZTS,O,X,O,X
IJOLZST,O,X,O,X
IJOSTLZ,X,O,X,X
IJOSTZL,X,O,O,X
IJOSLTZ,X,O,X,X
IJOSLZT,O,O,X,X
IJOSZTL,O,X,O,X
IJOSZLT,O,O,O,X
IJOZTLS,O,X,O,X
IJOZTSL,O,X,O,O
IJOZLTS,O,X,O,X
IJOZLST,O,X,O,X
IJOZSTL,O,X,O,O
IJOZSLT,O,X,O,O
ISTLJZO,X,O,X,X
ISTLJOZ,X,O,X,X
ISTLZJO,O,O,X,X
ISTLZOJ,O,O,X,X
ISTLOJZ,X,O,X,X
ISTLOZJ,O,O,X,X
ISTJLZO,X,O,X,X
ISTJLOZ,X,O,X,X
ISTJZLO,X,O,O,X
ISTJZOL,X,O,O,X
ISTJOLZ,X,O,X,X
ISTJOZL,X,O,O,X
ISTZLJO,O,O,O,X
ISTZLOJ,O,O,O,O
ISTZJLO,O,O,O,X
ISTZJOL,O,O,O,O
ISTZOLJ,O,O,O,O
ISTZOJL,O,O,O,O
ISTOLJZ,X,O,X,X
ISTOLZJ,O,O,X,X
ISTOJLZ,X,O,X,X
ISTOJZL,X,O,O,X
ISTOZLJ,O,O,O,O
ISTOZJL,O,O,O,O
ISLTJZO,X,O,X,X
ISLTJOZ,X,O,X,X
ISLTZJO,O,O,X,X
ISLTZOJ,O,O,X,X
ISLTOJZ,X,O,X,X
ISLTOZJ,O,O,X,X
ISLJTZO,X,O,X,X
ISLJTOZ,X,O,X,X
ISLJZTO,O,X,X,X
ISLJZOT,O,O,X,X
ISLJOTZ,X,O,X,X
ISLJOZT,O,O,X,X
ISLZTJO,O,O,X,X
ISLZTOJ,O,O,X,X
ISLZJTO,O,X,X,X
ISLZJOT,O,O,X,X
ISLZOTJ,O,O,X,X
ISLZOJT,O,O,X,X
ISLOTJZ,X,O,X,X
ISLOTZJ,O,O,X,X
ISLOJTZ,X,O,X,X
ISLOJZT,O,O,X,X
ISLOZTJ,O,O,X,X
ISLOZJT,O,O,X,X
ISJTLZO,X,O,X,X
ISJTLOZ,X,O,X,X
ISJTZLO,X,O,O,X
ISJTZOL,X,O,O,X
ISJTOLZ,X,O,X,X
ISJTOZL,X,O,O,X
ISJLTZO,X,O,X,X
ISJLTOZ,X,O,X,X
ISJLZTO,O,X,X,X
ISJLZOT,O,O,X,X
ISJLOTZ,X,O,X,X
ISJLOZT,O,O,X,X
ISJZTLO,O,X,O,X
ISJZTOL,O,X,O,X
ISJZLTO,O,X,X,X
ISJZLOT,O,O,O,X
ISJZOTL,O,X,O,X
ISJZOLT,O,O,O,X
ISJOTLZ,X,O,X,X
ISJOTZL,X,O,O,X
ISJOLTZ,X,O,X,X
ISJOLZT,O,O,X,X
ISJOZTL,O,X,O,X
ISJOZLT,O,O,O,X
ISZTLJO,O,O,O,X
ISZTLOJ,O,O,O,O
ISZTJLO,O,O,O,X
ISZTJOL,O,O,O,O
ISZTOLJ,O,O,O,O
ISZTOJL,O,O,O,O
ISZLTJO,O,O,X,X
ISZLTOJ,O,O,X,X
ISZLJTO,O,X,X,X
ISZLJOT,O,O,O,X
ISZLOTJ,O,O,X,O
ISZLOJT,O,O,O,O
ISZJTLO,O,X,O,X
ISZJTOL,O,X,O,X
ISZJLTO,O,X,X,X
ISZJLOT,O,O,O,X
ISZJOTL,O,X,O,O
ISZJOLT,O,O,O,O
ISZOTLJ,O,O,O,O
ISZOTJL,O,O,O,O
ISZOLTJ,O,O,X,O
ISZOLJT,O,O,O,O
ISZOJTL,O,X,O,O
ISZOJLT,O,O,O,O
ISOTLJZ,X,O,X,X
ISOTLZJ,O,O,X,X
ISOTJLZ,X,O,X,X
ISOTJZL,X,O,O,X
ISOTZLJ,O,O,O,O
ISOTZJL,O,O,O,O
ISOLTJZ,X,O,X,X
ISOLTZJ,O,O,X,X
ISOLJTZ,X,O,X,X
ISOLJZT,O,O,X,X
ISOLZTJ,O,O,X,X
ISOLZJT,O,O,X,X
ISOJTLZ,X,O,X,X
ISOJTZL,X,O,O,X
ISOJLTZ,X,O,X,X
ISOJLZT,O,O,X,X
ISOJZTL,O,X,O,X
ISOJZLT,O,O,O,X
ISOZTLJ,O,O,O,O
ISOZTJL,O,O,O,O
ISOZLTJ,O,O,X,O
ISOZLJT,O,O,O,O
ISOZJTL,O,X,O,O
ISOZJLT,O,O,O,O
IZTLJSO,O,X,O,X
IZTLJOS,O,X,O,X
IZTLSJO,O,O,O,X
IZTLSOJ,O,O,O,O
IZTLOJS,O,X,O,X
IZTLOSJ,O,O,O,O
IZTJLSO,O,X,O,X
IZTJLOS,O,X,O,X
IZTJSLO,O,X,O,X
IZTJSOL,O,X,O,O
IZTJOLS,O,X,O,X
IZTJOSL,O,X,O,O
IZTSLJO,O,O,O,X
IZTSLOJ,O,O,O,O
IZTSJLO,O,O,O,X
IZTSJOL,O,O,O,O
IZTSOLJ,O,O,O,O
IZTSOJL,O,O,O,O
IZTOLJS,O,X,O,X
IZTOLSJ,O,O,O,O
IZTOJLS,O,X,O,X
IZTOJSL,O,X,O,O
IZTOSLJ,O,O,O,O
IZTOSJL,O,O,O,O
IZLTJSO,O,X,O,X
IZLTJOS,O,X,O,X
IZLTSJO,O,O,O,X
IZLTSOJ,O,O,O,O
IZLTOJS,O,X,O,X
IZLTOSJ,O,O,O,O
IZLJTSO,O,X,O,X
IZLJTOS,O,X,O,X
IZLJSTO,O,X,X,X
IZLJSOT,O,X,O,X
IZLJOTS,O,X,O,X
IZLJOST,O,X,O,X
IZLSTJO,O,O,X,X
IZLSTOJ,O,O,X,X
IZLSJTO,O,X,X,X
IZLSJOT,O,O,O,X
IZLSOTJ,O,O,X,O
IZLSOJT,O,O,O,O
IZLOTJS,O,X,O,X
IZLOTSJ,O,O,O,O
IZLOJTS,O,X,O,X
IZLOJST,O,X,O,X
IZLOSTJ,O,O,X,O
IZLOSJT,O,O,O,O
IZJTLSO,O,X,O,X
IZJTLOS,O,X,O,X
IZJTSLO,O,X,O,X
IZJTSOL,O,X,O,O
IZJTOLS,O,X,O,X
IZJTOSL,O,X,O,O
IZJLTSO,O,X,O,X
IZJLTOS,O,X,O,X
IZJLSTO,O,X,X,X
IZJLSOT,O,X,O,X
IZJLOTS,O,X,O,X
IZJLOST,O,X,O,X
IZJSTLO,O,X,O,X
IZJSTOL,O,X,O,X
IZJSLTO,O,X,X,X
IZJSLOT,O,X,O,X
IZJSOTL,O,X,O,O
IZJSOLT,O,X,O,O
IZJOTLS,O,X,O,X
IZJOTSL,O,X,O,O
IZJOLTS,O,X,O,X
IZJOLST,O,X,O,X
IZJOSTL,O,X,O,O
IZJOSLT,O,X,O,O
IZSTLJO,O,O,O,X
IZSTLOJ,O,O,O,O
IZSTJLO,O,O,O,X
IZSTJOL,O,O,O,O
IZSTOLJ,O,O,O,O
IZSTOJL,O,O,O,O
IZSLTJO,O,O,X,X
IZSLTOJ,O,O,X,X
IZSLJTO,O,X,X,X
IZSLJOT,O,O,O,X
IZSLOTJ,O,O,X,O
IZSLOJT,O,O,O,O
IZSJTLO,O,X,O,X
IZSJTOL,O,X,O,X
IZSJLTO,O,X,X,X
IZSJLOT,O,O,O,X
IZSJOTL,O,X,O,O
IZSJOLT,O,O,O,O
IZSOTLJ,O,O,O,O
IZSOTJL,O,O,O,O
IZSOLTJ,O,O,X,O
IZSOLJT,O,O,O,O
IZSOJTL,O,X,O,O
IZSOJLT,O,O,O,O
IZOTLJS,O,X,O,X
IZOTLSJ,O,O,O,O
IZOTJLS,O,X,O,X
IZOTJSL,O,X,O,O
IZOTSLJ,O,O,O,O
IZOTSJL,O,O,O,O
IZOLTJS,O,X,O,X
IZOLTSJ,O,O,O,O
IZOLJTS,O,X,O,X
IZOLJST,O,X,O,X
IZOLSTJ,O,O,X,O
IZOLSJT,O,O,O,O
IZOJTLS,O,X,O,X
IZOJTSL,O,X,O,O
IZOJLTS,O,X,O,X
IZOJLST,O,X,O,X
IZOJSTL,O,X,O,O
IZOJSLT,O,X,O,O
IZOSTLJ,O,O,O,O
IZOSTJL,O,O,O,O
IZOSLTJ,O,O,X,O
IZOSLJT,O,O,O,O
IZOSJTL,O,X,O,O
IZOSJLT,O,O,O,O
IOTLJSZ,X,O,X,X
IOTLJZS,X,X,O,X
IOTLSJZ,X,O,X,X
IOTLSZJ,O,O,X,X
IOTLZJS,O,X,O,X
IOTLZSJ,O,O,O,O
IOTJLSZ,X,O,X,X
IOTJLZS,X,X,O,X
IOTJSLZ,X,O,X,X
IOTJSZL,X,O,O,X
IOTJZLS,X,X,O,X
IOTJZSL,X,X,O,O
IOTSLJZ,X,O,X,X
IOTSLZJ,O,O,X,X
IOTSJLZ,X,O,X,X
IOTSJZL,X,O,O,X
IOTSZLJ,O,O,O,O
IOTSZJL,O,O,O,O
IOTZLJS,O,X,O,X
IOTZLSJ,O,O,O,O
IOTZJLS,O,X,O,X
IOTZJSL,O,X,O,O
IOTZSLJ,O,O,O,O
IOTZSJL,O,O,O,O
IOLTJSZ,X,O,X,X
IOLTJZS,X,X,O,X
IOLTSJZ,X,O,X,X
IOLTSZJ,O,O,X,X
IOLTZJS,O,X,O,X
IOLTZSJ,O,O,O,O
IOLJTSZ,X,O,X,X
IOLJTZS,X,X,O,X
IOLJSTZ,X,O,X,X
IOLJSZT,O,O,X,X
IOLJZTS,O,X,O,X
IOLJZST,O,X,O,X
IOLSTJZ,X,O,X,X
IOLSTZJ,O,O,X,X
IOLSJTZ,X,O,X,X
IOLSJZT,O,O,X,X
IOLSZTJ,O,O,X,X
IOLSZJT,O,O,X,X
IOLZTJS,O,X,O,X
IOLZTSJ,O,O,O,O
IOLZJTS,O,X,O,X
IOLZJST,O,X,O,X
IOLZSTJ,O,O,X,O
IOLZSJT,O,O,O,O
IOJTLSZ,X,O,X,X
IOJTLZS,X,X,O,X
IOJTSLZ,X,O,X,X
IOJTSZL,X,O,O,X
IOJTZLS,X,X,O,X
IOJTZSL,X,X,O,O
IOJLTSZ,X,O,X,X
IOJLTZS,X,X,O,X
IOJLSTZ,X,O,X,X
IOJLSZT,O,O,X,X
IOJLZTS,O,X,O,X
IOJLZST,O,X,O,X
IOJSTLZ,X,O,X,X
IOJSTZL,X,O,O,X
IOJSLTZ,X,O,X,X
IOJSLZT,O,O,X,X
IOJSZTL,O,X,O,X
IOJSZLT,O,O,O,X
IOJZTLS,O,X,O,X
IOJZTSL,O,X,O,O
IOJZLTS,O,X,O,X
IOJZLST,O,X,O,X
IOJZSTL,O,X,O,O
IOJZSLT,O,X,O,O
IOSTLJZ,X,O,X,X
IOSTLZJ,O,O,X,X
IOSTJLZ,X,O,X,X
IOSTJZL,X,O,O,X
IOSTZLJ,O,O,O,O
IOSTZJL,O,O,O,O
IOSLTJZ,X,O,X,X
IOSLTZJ,O,O,X,X
IOSLJTZ,X,O,X,X
IOSLJZT,O,O,X,X
IOSLZTJ,O,O,X,X
IOSLZJT,O,O,X,X
IOSJTLZ,X,O,X,X
IOSJTZL,X,O,O,X
IOSJLTZ,X,O,X,X
IOSJLZT,O,O,X,X
IOSJZTL,O,X,O,X
IOSJZLT,O,O,O,X
IOSZTLJ,O,O,O,O
IOSZTJL,O,O,O,O
IOSZLTJ,O,O,X,O
IOSZLJT,O,O,O,O
IOSZJTL,O,X,O,O
IOSZJLT,O,O,O,O
IOZTLJS,O,X,O,X
IOZTLSJ,O,O,O,O
IOZTJLS,O,X,O,X
IOZTJSL,O,X,O,O
IOZTSLJ,O,O,O,O
IOZTSJL,O,O,O,O
IOZLTJS,O,X,O,X
IOZLTSJ,O,O,O,O
IOZLJTS,O,X,O,X
IOZLJST,O,X,O,X
IOZLSTJ,O,O,X,O
IOZLSJT,O,O,O,O
IOZJTLS,O,X,O,X
IOZJTSL,O,X,O,O
IOZJLTS,O,X,O,X
IOZJLST,O,X,O,X
IOZJSTL,O,X,O,O
IOZJSLT,O,X,O,O
IOZSTLJ,O,O,O,O
IOZSTJL,O,O,O,O
IOZSLTJ,O,O,X,O
IOZSLJT,O,O,O,O
IOZSJTL,O,X,O,O
IOZSJLT,O,O,O,O
LTIJSZO,X,O,X,X
LTIJSOZ,X,O,X,X
LTIJZSO,X,X,O,X
LTIJZOS,X,X,O,X
LTIJOSZ,X,O,X,X
LTIJOZS,X,X,O,X
LTISJZO,X,O,X,X
LTISJOZ,X,O,X,X
LTISZJO,O,O,X,X
LTISZOJ,O,O,X,X
LTISOJZ,X,O,X,X
LTISOZJ,O,O,X,X
LTIZJSO,O,X,O,X
LTIZJOS,O,X,O,X
LTIZSJO,O,O,O,X
LTIZSOJ,O,O,O,O
LTIZOJS,O,X,O,X
LTIZOSJ,O,O,O,O
LTIOJSZ,X,O,X,X
LTIOJZS,X,X,O,X
LTIOSJZ,X,O,X,X
LTIOSZJ,O,O,X,X
LTIOZJS,O,X,O,X
LTIOZSJ,O,O,O,O
LTJISZO,X,O,X,X
LTJISOZ,X,O,X,X
LTJIZSO,X,X,O,X
LTJIZOS,X,X,O,X
LTJIOSZ,X,O,X,X
LTJIOZS,X,X,O,X
LTJSIZO,X,O,X,X
LTJSIOZ,X,O,X,X
LTJSZIO,X,O,X,X
LTJSZOI,X,O,X,X
LTJSOIZ,X,O,X,X
LTJSOZI,X,O,X,X
LTJZISO,X,X,O,X
LTJZIOS,X,X,O,X
LTJZSIO,X,X,O,X
LTJZSOI,X,X,O,X
LTJZOIS,X,X,O,X
LTJZOSI,X,X,O,X
LTJOISZ,X,O,X,X
LTJOIZS,X,X,O,X
LTJOSIZ,X,O,X,X
LTJOSZI,X,O,X,X
LTJOZIS,X,X,O,X
LTJOZSI,X,X,O,X
LTSIJZO,X,O,X,X
LTSIJOZ,X,O,X,X
LTSIZJO,O,O,X,X
LTSIZOJ,O,O,X,X
LTSIOJZ,X,O,X,X
LTSIOZJ,O,O,X,X
LTSJIZO,X,O,X,X
LTSJIOZ,X,O,X,X
LTSJZIO,X,O,X,X
LTSJZOI,X,O,X,X
LTSJOIZ,X,O,X,X
LTSJOZI,X,O,X,X
LTSZIJO,O,O,X,X
LTSZIOJ,O,O,X,X
LTSZJIO,O,O,X,X
LTSZJOI,O,O,X,X
LTSZOIJ,O,O,X,X
LTSZOJI,O,O,X,X
LTSOIJZ,X,O,X,X
LTSOIZJ,O,O,X,X
LTSOJIZ,X,O,X,X
LTSOJZI,X,O,X,X
LTSOZIJ,O,O,X,X
LTSOZJI,O,O,X,X
LTZIJSO,O,X,O,X
LTZIJOS,O,X,O,X
LTZISJO,O,O,O,X
LTZISOJ,O,O,O,O
LTZIOJS,O,X,O,X
LTZIOSJ,O,O,O,O
LTZJISO,O,X,O,X
LTZJIOS,O,X,O,X
LTZJSIO,O,X,O,X
LTZJSOI,O,X,O,X
LTZJOIS,O,X,O,X
LTZJOSI,O,X,O,X
LTZSIJO,O,O,O,X
LTZSIOJ,O,O,O,O
LTZSJIO,O,O,O,X
LTZSJOI,O,O,O,X
LTZSOIJ,O,O,O,O
LTZSOJI,O,O,O,X
LTZOIJS,O,X,O,X
LTZOISJ,O,O,O,O
LTZOJIS,O,X,O,X
LTZOJSI,O,X,O,X
LTZOSIJ,O,O,O,O
LTZOSJI,O,O,O,X
LTOIJSZ,X,O,X,X
LTOIJZS,X,X,O,X
LTOISJZ,X,O,X,X
LTOISZJ,O,O,X,X
LTOIZJS,O,X,O,X
LTOIZSJ,O,O,O,O
LTOJISZ,X,O,X,X
LTOJIZS,X,X,O,X
LTOJSIZ,X,O,X,X
LTOJSZI,X,O,X,X
LTOJZIS,X,X,O,X
LTOJZSI,X,X,O,X
LTOSIJZ,X,O,X,X
LTOSIZJ,O,O,X,X
LTOSJIZ,X,O,X,X
LTOSJZI,X,O,X,X
LTOSZIJ,O,O,X,X
LTOSZJI,O,O,X,X
LTOZIJS,O,X,O,X
LTOZISJ,O,O,O,O
LTOZJIS,O,X,O,X
LTOZJSI,O,X,O,X
LTOZSIJ,O,O,O,O
LTOZSJI,O,O,O,X
LITJSZO,X,O,X,X
LITJSOZ,X,O,X,X
LITJZSO,X,X,O,X
LITJZOS,X,X,O,X
LITJOSZ,X,O,X,X
LITJOZS,X,X,O,X
LITSJZO,X,O,X,X
LITSJOZ,X,O,X,X
LITSZJO,O,O,X,X
LITSZOJ,O,O,X,X
LITSOJZ,X,O,X,X
LITSOZJ,O,O,X,X
LITZJSO,O,X,O,X
LITZJOS,O,X,O,X
LITZSJO,O,O,O,X
LITZSOJ,O,O,O,O
LITZOJS,O,X,O,X
LITZOSJ,O,O,O,O
LITOJSZ,X,O,X,X
LITOJZS,X,X,O,X
LITOSJZ,X,O,X,X
LITOSZJ,O,O,X,X
LITOZJS,O,X,O,X
LITOZSJ,O,O,O,O
LIJTSZO,X,O,X,X
LIJTSOZ,X,O,X,X
LIJTZSO,X,X,O,X
LIJTZOS,X,X,O,X
LIJTOSZ,X,O,X,X
LIJTOZS,X,X,O,X
LIJSTZO,X,O,X,X
LIJSTOZ,X,O,X,X
LIJSZTO,O,X,X,X
LIJSZOT,O,O,X,X
LIJSOTZ,X,O,X,X
LIJSOZT,O,O,X,X
LIJZTSO,O,X,O,X
LIJZTOS,O,X,O,X
LIJZSTO,O,X,X,X
LIJZSOT,O,X,O,X
LIJZOTS,O,X,O,X
LIJZOST,O,X,O,X
LIJOTSZ,X,O,X,X
LIJOTZS,X,X,O,X
LIJOSTZ,X,O,X,X
LIJOSZT,O,O,X,X
LIJOZTS,O,X,O,X
LIJOZST,O,X,O,X
LISTJZO,X,O,X,X
LISTJOZ,X,O,X,X
LISTZJO,O,O,X,X
LISTZOJ,O,O,X,X
LISTOJZ,X,O,X,X
LISTOZJ,O,O,X,X
LISJTZO,X,O,X,X
LISJTOZ,X,O,X,X
LISJZTO,O,X,X,X
LISJZOT,O,O,X,X
LISJOTZ,X,O,X,X
LISJOZT,O,O,X,X
LISZTJO,O,O,X,X
LISZTOJ,O,O,X,X
LISZJTO,O,X,X,X
LISZJOT,O,O,X,X
LISZOTJ,O,O,X,X
LISZOJT,O,O,X,X
LISOTJZ,X,O,X,X
LISOTZJ,O,O,X,X
LISOJTZ,X,O,X,X
LISOJZT,O,O,X,X
LISOZTJ,O,O,X,X
LISOZJT,O,O,X,X
LIZTJSO,O,X,O,X
LIZTJOS,O,X,O,X
LIZTSJO,O,O,O,X
LIZTSOJ,O,O,O,O
LIZTOJS,O,X,O,X
LIZTOSJ,O,O,O,O
LIZJTSO,O,X,O,X
LIZJTOS,O,X,O,X
LIZJSTO,O,X,X,X
LIZJSOT,O,X,O,X
LIZJOTS,O,X,O,X
LIZJOST,O,X,O,X
LIZSTJO,O,O,X,X
LIZSTOJ,O,O,X,X
LIZSJTO,O,X,X,X
LIZSJOT,O,O,O,X
LIZSOTJ,O,O,X,O
LIZSOJT,O,O,O,O
LIZOTJS,O,X,O,X
LIZOTSJ,O,O,O,O
LIZOJTS,O,X,O,X
LIZOJST,O,X,O,X
LIZOSTJ,O,O,X,O
LIZOSJT,O,O,O,O
LIOTJSZ,X,O,X,X
LIOTJZS,X,X,O,X
LIOTSJZ,X,O,X,X
LIOTSZJ,O,O,X,X
LIOTZJS,O,X,O,X
LIOTZSJ,O,O,O,O
LIOJTSZ,X,O,X,X
LIOJTZS,X,X,O,X
LIOJSTZ,X,O,X,X
LIOJSZT,O,O,X,X
LIOJZTS,O,X,O,X
LIOJZST,O,X,O,X
LIOSTJZ,X,O,X,X
LIOSTZJ,O,O,X,X
LIOSJTZ,X,O,X,X
LIOSJZT,O,O,X,X
LIOSZTJ,O,O,X,X
LIOSZJT,O,O,X,X
LIOZTJS,O,X,O,X
LIOZTSJ,O,O,O,O
LIOZJTS,O,X,O,X
LIOZJST,O,X,O,X
LIOZSTJ,O,O,X,O
LIOZSJT,O,O,O,O
LJTISZO,X,O,X,X
LJTISOZ,X,O,X,X
LJTIZSO,X,X,O,X
LJTIZOS,X,X,O,X
LJTIOSZ,X,O,X,X
LJTIOZS,X,X,O,X
LJTSIZO,X,O,X,X
LJTSIOZ,X,O,X,X
LJTSZIO,X,O,X,X
LJTSZOI,X,O,X,X
LJTSOIZ,X,O,X,X
LJTSOZI,X,O,X,X
LJTZISO,X,X,O,X
LJTZIOS,X,X,O,X
LJTZSIO,X,X,O,X
LJTZSOI,X,X,O,X
LJTZOIS,X,X,O,X
