sequence,v115@9gA8IeA8IeA8EeA8CeD8BeD8JeRAJvhFUiBGjBzkBf?rB6rBVyB,v115@9gA8IeA8IeA8EeA8CeD8BeD8JeCAJvhFxhBTjBXlBl?mBWtBUrB,v115@9gA8IeA8IeA8EeA8CeD8BeD8JeuEJvhF3gBUiBFjBS?tBxqBTrB,v115@9gA8IeA8IeA8EeA8CeD8BeD8JeuEJvhFUiBFjBxlBS?tB3lBTrB,v115@9gA8IeA8IeA8EeA8CeD8BeD8Jez/IvhFFiBXjBGmBS?tBRqBUrB,v115@9gA8IeA8IeA8EeA8CeD8BeD8Je/GJvhFFlBxnBClBG?nBToBUrB
TOJSZIL,O,O,X,X,X,X
TOJSZLI,O,O,X,X,X,X
TOJZILS,O,X,X,O,X,X
TOJZISL,O,O,X,X,X,X
TOJZLIS,O,X,X,O,X,X
TOJZLSI,O,X,X,O,X,X
TOJZSIL,O,O,X,X,X,X
TOJZSLI,O,O,X,X,X,X
TOSILJZ,O,O,X,X,X,X
TOSILZJ,O,X,X,X,X,X
TOSIJLZ,O,O,X,X,X,X
TOSIJZL,O,O,X,X,X,X
TOSIZLJ,O,X,X,X,X,X
TOSIZJL,O,X,X,X,X,X
TOSLIJZ,O,O,X,X,X,X
TOSLIZJ,O,X,X,X,X,X
TOSLJIZ,O,O,X,X,X,X
TOSLJZI,O,O,X,X,X,X
TOSLZIJ,O,X,X,X,X,X
TOSLZJI,O,X,X,X,X,X
TOSJILZ,O,O,X,X,X,X
TOSJIZL,O,O,X,X,X,X
TOSJLIZ,O,O,X,X,X,X
TOSJLZI,O,O,X,X,X,X
TOSJZIL,O,O,X,X,X,X
TOSJZLI,O,O,X,X,X,X
TOSZILJ,O,X,X,X,X,X
TOSZIJL,O,X,X,X,X,X
TOSZLIJ,O,X,X,X,X,X
TOSZLJI,O,X,X,X,X,X
TOSZJIL,O,X,X,X,X,X
TOSZJLI,O,X,X,X,X,X
TOZILJS,O,X,X,O,X,X
TOZILSJ,O,X,X,O,X,X
TOZIJLS,O,X,X,O,X,X
TOZIJSL,O,X,X,X,X,X
TOZISLJ,O,X,X,X,X,O
TOZISJL,O,X,X,X,X,O
TOZLIJS,O,X,X,O,X,X
TOZLISJ,O,X,X,O,X,X
TOZLJIS,O,X,X,O,X,X
TOZLJSI,O,X,X,O,X,X
TOZLSIJ,O,X,X,O,X,X
TOZLSJI,O,X,X,O,X,X
TOZJILS,O,X,X,O,X,X
TOZJISL,O,X,X,X,X,X
TOZJLIS,O,X,X,O,X,X
TOZJLSI,O,X,X,O,X,X
TOZJSIL,O,X,X,X,X,X
TOZJSLI,O,X,X,X,X,X
TOZSILJ,O,X,X,X,X,O
TOZSIJL,O,X,X,X,X,O
TOZSLIJ,O,X,X,X,X,X
TOZSLJI,O,X,X,X,X,X
TOZSJIL,O,X,X,X,X,X
TOZSJLI,O,X,X,X,X,X
ITLJSZO,X,O,O,X,O,X
ITLJSOZ,X,O,O,X,O,X
ITLJZSO,O,X,O,X,O,X
ITLJZOS,O,X,O,X,O,X
ITLJOSZ,X,O,O,X,O,X
ITLJOZS,O,X,O,X,O,X
ITLSJZO,X,O,O,X,O,X
ITLSJOZ,X,O,O,X,O,X
ITLSZJO,X,O,O,X,O,X
ITLSZOJ,X,X,O,X,O,X
ITLSOJZ,X,O,O,X,O,X
ITLSOZJ,X,X,O,X,O,X
ITLZJSO,O,X,O,X,O,X
ITLZJOS,O,X,O,X,O,X
ITLZSJO,O,X,O,X,O,O
ITLZSOJ,O,X,O,X,O,O
ITLZOJS,O,X,O,X,O,X
ITLZOSJ,O,X,O,X,O,X
ITLOJSZ,X,X,O,X,O,X
ITLOJZS,O,X,O,X,O,X
ITLOSJZ,X,X,O,X,O,X
ITLOSZJ,X,X,O,X,O,X
ITLOZJS,O,X,O,X,O,X
ITLOZSJ,O,X,O,X,O,X
ITJLSZO,X,O,O,X,O,X
ITJLSOZ,X,O,O,X,O,X
ITJLZSO,O,X,O,X,O,X
ITJLZOS,O,X,O,X,O,X
ITJLOSZ,X,O,O,X,O,X
ITJLOZS,O,X,O,X,O,X
ITJSLZO,O,O,O,X,O,X
ITJSLOZ,O,O,O,X,O,X
ITJSZLO,O,O,O,X,X,X
ITJSZOL,O,O,O,X,X,X
ITJSOLZ,O,O,X,X,O,X
ITJSOZL,O,O,X,X,X,X
ITJZLSO,O,X,O,X,O,X
ITJZLOS,O,X,O,X,O,X
ITJZSLO,O,O,O,X,X,O
ITJZSOL,O,O,O,X,X,O
ITJZOLS,O,X,X,X,O,X
ITJZOSL,O,O,O,X,X,X
ITJOLSZ,O,O,X,X,O,X
ITJOLZS,O,X,X,X,O,X
ITJOSLZ,O,O,X,X,O,X
ITJOSZL,O,O,X,X,X,X
ITJOZLS,O,X,X,X,O,X
ITJOZSL,O,O,X,X,X,X
ITSLJZO,O,O,O,X,O,X
ITSLJOZ,O,O,O,X,O,X
ITSLZJO,O,O,O,X,O,X
ITSLZOJ,O,X,O,X,O,X
ITSLOJZ,O,O,O,X,O,X
ITSLOZJ,O,X,O,X,O,X
ITSJLZO,O,O,O,X,O,X
ITSJLOZ,O,O,O,X,O,X
ITSJZLO,O,O,O,X,X,X
ITSJZOL,O,O,O,X,X,X
ITSJOLZ,O,O,X,X,O,X
ITSJOZL,O,O,X,X,X,X
ITSZLJO,O,O,O,X,X,O
ITSZLOJ,X,X,O,X,X,O
ITSZJLO,O,O,O,X,X,O
ITSZJOL,O,O,O,X,X,O
ITSZOLJ,O,X,X,X,X,O
ITSZOJL,O,X,O,X,X,O
ITSOLJZ,O,O,X,X,O,X
ITSOLZJ,O,X,X,X,O,X
ITSOJLZ,O,O,X,X,O,X
ITSOJZL,O,O,X,X,X,X
ITSOZLJ,O,X,X,X,X,X
ITSOZJL,O,X,X,X,X,X
ITZLJSO,O,X,O,X,O,X
ITZLJOS,O,X,O,X,O,X
ITZLSJO,O,X,O,X,O,O
ITZLSOJ,O,X,O,X,O,O
ITZLOJS,O,X,O,X,O,X
ITZLOSJ,O,X,O,X,O,X
ITZJLSO,O,X,O,X,O,X
ITZJLOS,O,X,O,X,O,X
ITZJSLO,O,O,O,X,X,O
ITZJSOL,O,O,O,X,X,O
ITZJOLS,O,X,X,X,O,X
ITZJOSL,O,O,O,X,X,X
ITZSLJO,O,O,O,X,X,O
ITZSLOJ,X,X,O,X,X,O
ITZSJLO,O,O,O,X,X,O
ITZSJOL,O,O,O,X,X,O
ITZSOLJ,O,X,X,X,X,O
ITZSOJL,O,X,O,X,X,O
ITZOLJS,O,X,X,X,O,X
ITZOLSJ,O,X,X,X,O,X
ITZOJLS,O,X,X,X,O,X
ITZOJSL,O,X,O,X,X,X
ITZOSLJ,O,X,X,X,X,O
ITZOSJL,O,X,O,X,X,O
ITOLJSZ,O,X,X,X,O,X
ITOLJZS,O,X,X,X,O,X
ITOLSJZ,O,X,X,X,O,X
ITOLSZJ,O,X,X,X,O,X
ITOLZJS,O,X,X,X,O,X
ITOLZSJ,O,X,X,X,O,X
ITOJLSZ,O,O,X,X,O,X
ITOJLZS,O,X,X,X,O,X
ITOJSLZ,O,O,X,X,O,X
ITOJSZL,O,O,X,X,X,X
ITOJZLS,O,X,X,X,O,X
ITOJZSL,O,O,X,X,X,X
ITOSLJZ,O,O,X,X,O,X
ITOSLZJ,O,X,X,X,O,X
ITOSJLZ,O,O,X,X,O,X
ITOSJZL,O,O,X,X,X,X
ITOSZLJ,O,X,X,X,X,X
ITOSZJL,O,X,X,X,X,X
ITOZLJS,O,X,X,X,O,X
ITOZLSJ,O,X,X,X,O,X
ITOZJLS,O,X,X,X,O,X
ITOZJSL,O,X,X,X,X,X
ITOZSLJ,O,X,X,X,X,O
ITOZSJL,O,X,X,X,X,O
ILTJSZO,X,X,O,X,O,X
ILTJSOZ,X,X,O,X,O,X
ILTJZSO,O,X,O,X,O,X
ILTJZOS,O,X,O,O,O,X
ILTJOSZ,X,X,O,O,O,X
ILTJOZS,O,X,O,O,O,X
ILTSJZO,X,X,O,X,O,X
ILTSJOZ,X,X,O,X,O,X
ILTSZJO,X,X,O,X,O,X
ILTSZOJ,X,X,O,X,O,X
ILTSOJZ,X,X,O,X,O,X
ILTSOZJ,X,X,O,X,O,X
ILTZJSO,O,X,O,X,O,X
ILTZJOS,O,X,O,O,O,X
ILTZSJO,O,X,O,X,O,O
ILTZSOJ,O,X,O,X,O,O
ILTZOJS,O,X,O,O,O,X
ILTZOSJ,O,X,O,O,O,X
ILTOJSZ,X,X,O,O,O,X
ILTOJZS,O,X,O,O,O,X
ILTOSJZ,X,X,O,O,O,X
ILTOSZJ,X,X,O,O,O,X
ILTOZJS,O,X,O,O,O,X
ILTOZSJ,O,X,O,O,O,X
ILJTSZO,X,X,O,X,O,X
ILJTSOZ,X,X,O,X,O,X
ILJTZSO,X,X,O,X,O,X
ILJTZOS,X,X,O,O,O,X
ILJTOSZ,X,X,O,O,O,X
ILJTOZS,X,X,O,O,O,X
ILJSTZO,X,X,O,X,O,X
ILJSTOZ,X,X,O,X,O,X
ILJSZTO,X,X,O,X,O,X
ILJSZOT,X,X,O,X,O,X
ILJSOTZ,X,X,O,X,O,X
ILJSOZT,X,X,O,X,O,X
ILJZTSO,X,X,O,X,O,X
ILJZTOS,X,X,O,O,O,X
ILJZSTO,X,X,O,X,O,X
ILJZSOT,X,X,O,X,O,X
ILJZOTS,X,X,O,O,O,X
ILJZOST,X,X,O,O,O,X
ILJOTSZ,X,X,O,O,O,X
ILJOTZS,X,X,O,O,O,X
ILJOSTZ,X,X,O,O,O,X
ILJOSZT,X,X,O,O,O,X
ILJOZTS,X,X,O,O,O,X
ILJOZST,X,X,O,O,O,X
ILSTJZO,X,X,O,X,O,X
ILSTJOZ,X,X,O,X,O,X
ILSTZJO,X,X,O,X,O,X
ILSTZOJ,X,X,O,X,O,X
ILSTOJZ,X,X,O,X,O,X
ILSTOZJ,X,X,O,X,O,X
ILSJTZO,X,X,O,X,O,X
ILSJTOZ,X,X,O,X,O,X
ILSJZTO,X,X,O,X,O,X
ILSJZOT,X,X,O,X,O,X
ILSJOTZ,X,X,O,X,O,X
ILSJOZT,X,X,O,X,O,X
ILSZTJO,X,X,O,X,O,X
ILSZTOJ,X,X,O,X,O,X
ILSZJTO,X,X,O,X,O,X
ILSZJOT,X,X,O,X,O,X
ILSZOTJ,X,X,O,X,O,X
ILSZOJT,X,X,O,X,O,X
ILSOTJZ,X,X,O,X,O,X
ILSOTZJ,X,X,O,X,O,X
ILSOJTZ,X,X,O,X,O,X
ILSOJZT,X,X,O,X,O,X
ILSOZTJ,X,X,O,X,O,X
ILSOZJT,X,X,O,X,O,X
ILZTJSO,O,X,O,X,O,X
ILZTJOS,O,X,O,O,O,X
ILZTSJO,O,X,O,X,O,O
ILZTSOJ,O,X,O,X,O,O
ILZTOJS,O,X,O,O,O,X
ILZTOSJ,O,X,O,O,O,X
ILZJTSO,X,X,O,X,O,X
ILZJTOS,X,X,O,O,O,X
ILZJSTO,X,X,O,X,O,X
ILZJSOT,X,X,O,X,O,X
ILZJOTS,X,X,O,O,O,X
ILZJOST,X,X,O,O,O,X
ILZSTJO,O,X,O,X,O,O
ILZSTOJ,O,X,O,X,O,O
ILZSJTO,O,X,O,X,O,X
ILZSJOT,X,X,O,X,O,X
ILZSOTJ,O,X,O,X,O,X
ILZSOJT,O,X,O,X,O,X
ILZOTJS,O,X,O,O,O,X
ILZOTSJ,O,X,O,O,O,X
ILZOJTS,X,X,O,O,O,X
ILZOJST,X,X,O,O,O,X
ILZOSTJ,O,X,O,O,O,X
ILZOSJT,O,X,O,O,O,X
ILOTJSZ,X,X,O,O,O,X
ILOTJZS,O,X,O,O,O,X
ILOTSJZ,X,X,O,O,O,X
ILOTSZJ,X,X,O,O,O,X
ILOTZJS,O,X,O,O,O,X
ILOTZSJ,O,X,O,O,O,X
ILOJTSZ,X,X,O,O,O,X
ILOJTZS,X,X,O,O,O,X
ILOJSTZ,X,X,O,O,O,X
ILOJSZT,X,X,O,O,O,X
ILOJZTS,X,X,O,O,O,X
ILOJZST,X,X,O,O,O,X
ILOSTJZ,X,X,O,O,O,X
ILOSTZJ,X,X,O,O,O,X
ILOSJTZ,X,X,O,O,O,X
ILOSJZT,X,X,O,O,O,X
ILOSZTJ,X,X,O,O,O,X
ILOSZJT,X,X,O,O,O,X
ILOZTJS,O,X,O,O,O,X
ILOZTSJ,O,X,O,O,O,X
ILOZJTS,X,X,O,O,O,X
ILOZJST,X,X,O,O,O,X
ILOZSTJ,O,X,O,O,O,X
ILOZSJT,O,X,O,O,O,X
IJTLSZO,X,O,O,X,O,X
IJTLSOZ,X,O,O,X,O,X
IJTLZSO,X,X,O,X,O,X
IJTLZOS,X,X,O,X,O,X
IJTLOSZ,X,O,O,X,O,X
IJTLOZS,X,X,O,X,O,X
IJTSLZO,X,O,O,X,O,X
IJTSLOZ,X,O,O,X,O,X
IJTSZLO,X,O,O,X,X,X
IJTSZOL,X,O,O,X,X,X
IJTSOLZ,X,O,X,X,O,X
IJTSOZL,X,O,X,X,X,X
IJTZLSO,X,X,O,X,O,X
IJTZLOS,X,X,O,X,O,X
IJTZSLO,X,O,O,X,X,O
IJTZSOL,X,O,O,X,X,O
IJTZOLS,X,X,X,X,O,X
IJTZOSL,X,O,O,X,X,X
IJTOLSZ,X,O,X,X,O,X
IJTOLZS,X,X,X,X,O,X
IJTOSLZ,X,O,X,X,O,X
IJTOSZL,X,O,X,X,X,X
IJTOZLS,X,X,X,X,O,X
IJTOZSL,X,O,X,X,X,X
IJLTSZO,X,O,O,X,O,X
IJLTSOZ,X,O,O,X,O,X
IJLTZSO,X,X,O,X,O,X
IJLTZOS,X,X,O,O,O,X
IJLTOSZ,X,O,O,O,O,X
IJLTOZS,X,X,O,O,O,X
IJLSTZO,X,X,O,X,O,X
IJLSTOZ,X,O,O,X,O,X
IJLSZTO,X,X,O,X,O,X
IJLSZOT,X,O,O,X,O,X
IJLSOTZ,X,O,O,X,O,X
IJLSOZT,X,O,O,X,O,X
IJLZTSO,X,X,O,X,O,X
IJLZTOS,X,X,O,O,O,X
IJLZSTO,X,O,O,X,O,X
IJLZSOT,X,O,O,X,O,X
IJLZOTS,X,X,O,O,O,X
IJLZOST,X,O,O,O,O,X
IJLOTSZ,X,O,O,O,O,X
IJLOTZS,X,X,O,O,O,X
IJLOSTZ,X,O,O,O,O,X
IJLOSZT,X,O,O,O,O,X
IJLOZTS,X,X,O,O,O,X
IJLOZST,X,O,O,O,O,X
IJSTLZO,X,O,O,X,O,X
IJSTLOZ,X,O,O,X,O,X
IJSTZLO,X,O,O,X,X,X
IJSTZOL,X,O,O,X,X,X
IJSTOLZ,X,O,X,X,O,X
IJSTOZL,X,O,X,X,X,X
IJSLTZO,X,O,O,X,O,X
IJSLTOZ,X,O,O,X,O,X
IJSLZTO,X,O,O,X,O,X
IJSLZOT,X,O,O,X,O,X
IJSLOTZ,X,O,O,X,O,X
IJSLOZT,X,O,O,X,O,X
IJSZTLO,X,O,O,X,X,X
IJSZTOL,X,O,O,X,X,X
IJSZLTO,X,O,O,X,X,X
IJSZLOT,X,O,O,X,X,X
IJSZOTL,X,O,O,X,X,X
IJSZOLT,X,O,O,X,X,X
IJSOTLZ,X,O,X,X,O,X
IJSOTZL,X,O,X,X,X,X
IJSOLTZ,X,O,O,X,O,X
IJSOLZT,X,O,O,X,O,X
IJSOZTL,X,O,O,X,X,X
IJSOZLT,X,O,O,X,X,X
IJZTLSO,X,O,O,X,O,X
IJZTLOS,X,O,O,X,O,X
IJZTSLO,X,O,O,X,X,O
IJZTSOL,X,O,O,X,X,O
IJZTOLS,X,O,X,X,O,X
IJZTOSL,X,O,O,X,X,X
IJZLTSO,X,X,O,X,O,X
IJZLTOS,X,X,O,O,O,X
IJZLSTO,X,O,O,X,O,X
IJZLSOT,X,O,O,X,O,X
IJZLOTS,X,X,O,O,O,X
IJZLOST,X,O,O,O,O,X
IJZSTLO,X,O,O,X,X,O
IJZSTOL,X,O,O,X,X,O
IJZSLTO,X,O,O,X,X,X
IJZSLOT,X,O,O,X,X,X
IJZSOTL,X,O,O,X,X,X
IJZSOLT,X,O,O,X,X,X
IJZOTLS,X,O,X,O,O,X
IJZOTSL,X,O,O,X,X,X
IJZOLTS,X,X,O,O,O,X
IJZOLST,X,O,O,O,O,X
IJZOSTL,X,O,O,X,X,X
IJZOSLT,X,O,O,O,X,X
IJOTLSZ,X,O,X,O,O,X
IJOTLZS,X,X,X,O,O,X
IJOTSLZ,X,O,X,X,O,X
IJOTSZL,X,O,X,X,X,X
IJOTZLS,X,X,X,O,O,X
IJOTZSL,X,O,X,X,X,X
IJOLTSZ,X,O,O,O,O,X
IJOLTZS,X,X,O,O,O,X
IJOLSTZ,X,O,O,O,O,X
IJOLSZT,X,O,O,O,O,X
IJOLZTS,X,X,O,O,O,X
IJOLZST,X,O,O,O,O,X
IJOSTLZ,X,O,X,X,O,X
IJOSTZL,X,O,X,X,X,X
IJOSLTZ,X,O,O,O,O,X
IJOSLZT,X,O,O,O,O,X
IJOSZTL,X,O,O,X,X,X
IJOSZLT,X,O,O,O,X,X
IJOZTLS,X,O,X,O,O,X
IJOZTSL,X,O,O,X,X,X
IJOZLTS,X,X,O,O,O,X
IJOZLST,X,O,O,O,O,X
IJOZSTL,X,O,O,X,X,X
IJOZSLT,X,O,O,O,X,X
ISTLJZO,O,O,O,X,O,X
ISTLJOZ,O,O,O,X,O,X
ISTLZJO,O,O,O,X,O,X
ISTLZOJ,O,X,O,X,O,X
ISTLOJZ,O,O,O,X,O,X
ISTLOZJ,O,X,O,X,O,X
ISTJLZO,O,O,O,X,O,X
ISTJLOZ,O,O,O,X,O,X
ISTJZLO,O,O,O,X,X,X
ISTJZOL,O,O,O,X,X,X
ISTJOLZ,O,O,X,X,O,X
ISTJOZL,O,O,X,X,X,X
ISTZLJO,O,O,O,X,X,O
ISTZLOJ,X,X,O,X,X,O
ISTZJLO,O,O,O,X,X,O
ISTZJOL,O,O,O,X,X,O
ISTZOLJ,O,X,X,X,X,O
ISTZOJL,O,X,O,X,X,O
ISTOLJZ,O,O,X,X,O,X
ISTOLZJ,O,X,X,X,O,X
ISTOJLZ,O,O,X,X,O,X
ISTOJZL,O,O,X,X,X,X
ISTOZLJ,O,X,X,X,X,X
ISTOZJL,O,X,X,X,X,X
ISLTJZO,O,O,O,X,O,X
ISLTJOZ,O,O,O,X,O,X
ISLTZJO,O,O,O,X,O,X
ISLTZOJ,O,X,O,X,O,X
ISLTOJZ,O,O,O,X,O,X
ISLTOZJ,O,X,O,X,O,X
ISLJTZO,O,O,O,X,O,X
ISLJTOZ,O,O,O,X,O,X
ISLJZTO,O,O,O,X,O,X
ISLJZOT,X,O,O,X,O,X
ISLJOTZ,X,O,O,X,O,X
ISLJOZT,X,O,O,X,O,X
ISLZTJO,O,O,O,X,O,X
ISLZTOJ,O,O,O,X,O,X
ISLZJTO,O,O,O,X,O,X
ISLZJOT,X,O,O,X,O,X
ISLZOTJ,O,X,O,X,O,X
ISLZOJT,O,X,O,X,O,X
ISLOTJZ,O,X,O,X,O,X
ISLOTZJ,O,X,O,X,O,X
ISLOJTZ,O,X,O,X,O,X
ISLOJZT,O,X,O,X,O,X
ISLOZTJ,O,X,O,X,O,X
ISLOZJT,O,X,O,X,O,X
ISJTLZO,O,O,O,X,O,X
ISJTLOZ,X,O,O,X,O,X
ISJTZLO,O,O,O,X,X,X
ISJTZOL,O,O,O,X,X,X
ISJTOLZ,X,O,X,X,O,X
ISJTOZL,O,O,X,X,X,X
ISJLTZO,X,O,O,X,O,X
ISJLTOZ,X,O,O,X,O,X
ISJLZTO,X,O,O,X,O,X
ISJLZOT,X,O,O,X,O,X
ISJLOTZ,X,O,O,X,O,X
ISJLOZT,X,O,O,X,O,X
ISJZTLO,O,O,O,X,X,X
ISJZTOL,O,O,O,X,X,X
ISJZLTO,X,O,O,X,X,X
ISJZLOT,X,O,O,X,X,X
ISJZOTL,X,O,O,X,X,X
ISJZOLT,X,O,O,X,X,X
ISJOTLZ,X,O,X,X,O,X
ISJOTZL,X,O,X,X,X,X
ISJOLTZ,X,O,O,X,O,X
ISJOLZT,X,O,O,X,O,X
ISJOZTL,X,O,O,X,X,X
ISJOZLT,X,O,O,X,X,X
ISZTLJO,O,O,O,X,X,O
ISZTLOJ,X,O,O,X,X,O
ISZTJLO,O,O,O,X,X,O
ISZTJOL,O,O,O,X,X,O
ISZTOLJ,O,O,X,X,X,O
ISZTOJL,O,O,O,X,X,O
ISZLTJO,O,O,O,X,X,O
ISZLTOJ,X,O,O,X,X,O
ISZLJTO,X,O,O,X,X,X
ISZLJOT,X,O,O,X,X,X
ISZLOTJ,X,X,O,X,X,X
ISZLOJT,X,X,O,X,X,X
ISZJTLO,O,O,O,X,X,O
ISZJTOL,O,O,O,X,X,O
ISZJLTO,X,O,O,X,X,X
ISZJLOT,X,O,O,X,X,X
ISZJOTL,X,O,O,X,X,X
ISZJOLT,X,O,O,X,X,X
ISZOTLJ,O,X,X,X,X,O
ISZOTJL,O,X,O,X,X,O
ISZOLTJ,O,X,O,X,X,X
ISZOLJT,X,X,O,X,X,X
ISZOJTL,O,X,O,X,X,X
ISZOJLT,X,X,O,X,X,X
ISOTLJZ,O,X,X,X,O,X
ISOTLZJ,O,X,X,X,O,X
ISOTJLZ,O,X,X,X,O,X
ISOTJZL,O,X,X,X,X,X
ISOTZLJ,O,X,X,X,X,X
ISOTZJL,O,X,X,X,X,X
ISOLTJZ,O,X,O,X,O,X
ISOLTZJ,O,X,O,X,O,X
ISOLJTZ,O,X,O,X,O,X
ISOLJZT,O,X,O,X,O,X
ISOLZTJ,O,X,O,X,O,X
ISOLZJT,O,X,O,X,O,X
ISOJTLZ,O,X,X,X,O,X
ISOJTZL,O,X,X,X,X,X
ISOJLTZ,X,X,O,X,O,X
ISOJLZT,X,X,O,X,O,X
ISOJZTL,O,X,O,X,X,X
ISOJZLT,X,X,O,X,X,X
ISOZTLJ,O,X,X,X,X,X
ISOZTJL,O,X,O,X,X,X
ISOZLTJ,O,X,O,X,X,X
ISOZLJT,X,X,O,X,X,X
ISOZJTL,O,X,O,X,X,X
ISOZJLT,X,X,O,X,X,X
IZTLJSO,O,O,O,X,O,X
IZTLJOS,O,O,O,X,O,X
IZTLSJO,O,O,O,X,O,O
IZTLSOJ,O,O,O,X,O,O
IZTLOJS,O,X,O,X,O,X
IZTLOSJ,O,X,O,X,O,X
IZTJLSO,O,O,O,X,O,X
IZTJLOS,O,O,O,X,O,X
IZTJSLO,O,O,O,X,X,O
IZTJSOL,O,O,O,X,X,O
IZTJOLS,O,O,X,X,O,X
IZTJOSL,O,O,O,X,X,X
IZTSLJO,O,O,O,X,X,O
IZTSLOJ,X,O,O,X,X,O
IZTSJLO,O,O,O,X,X,O
IZTSJOL,O,O,O,X,X,O
IZTSOLJ,O,O,X,X,X,O
IZTSOJL,O,O,O,X,X,O
IZTOLJS,O,X,X,X,O,X
IZTOLSJ,O,X,X,X,O,X
IZTOJLS,O,O,X,X,O,X
IZTOJSL,O,O,O,X,X,X
IZTOSLJ,O,O,X,X,X,O
IZTOSJL,O,O,O,X,X,O
IZLTJSO,O,X,O,X,O,X
IZLTJOS,O,X,O,O,O,X
IZLTSJO,O,X,O,X,O,O
IZLTSOJ,O,X,O,X,O,O
IZLTOJS,O,X,O,O,O,X
IZLTOSJ,O,X,O,O,O,X
IZLJTSO,X,X,O,X,O,X
IZLJTOS,X,X,O,O,O,X
IZLJSTO,X,X,O,X,O,X
IZLJSOT,X,X,O,X,O,X
IZLJOTS,X,X,O,O,O,X
IZLJOST,X,X,O,O,O,X
IZLSTJO,O,X,O,X,O,O
IZLSTOJ,O,X,O,X,O,O
IZLSJTO,O,X,O,X,O,X
IZLSJOT,X,X,O,X,O,X
IZLSOTJ,O,X,O,X,O,X
IZLSOJT,O,X,O,X,O,X
IZLOTJS,O,X,O,O,O,X
IZLOTSJ,O,X,O,O,O,X
IZLOJTS,X,X,O,O,O,X
IZLOJST,X,X,O,O,O,X
IZLOSTJ,O,X,O,O,O,X
IZLOSJT,O,X,O,O,O,X
IZJTLSO,X,O,O,X,O,X
IZJTLOS,X,O,O,X,O,X
IZJTSLO,X,O,O,X,X,O
IZJTSOL,X,O,O,X,X,O
IZJTOLS,X,O,X,X,O,X
IZJTOSL,X,O,O,X,X,X
IZJLTSO,X,X,O,X,O,X
IZJLTOS,X,X,O,O,O,X
IZJLSTO,X,O,O,X,O,X
IZJLSOT,X,O,O,X,O,X
IZJLOTS,X,X,O,O,O,X
IZJLOST,X,O,O,O,O,X
IZJSTLO,X,O,O,X,X,O
IZJSTOL,X,O,O,X,X,O
IZJSLTO,X,O,O,X,X,X
IZJSLOT,X,O,O,X,X,X
IZJSOTL,X,O,O,X,X,X
IZJSOLT,X,O,O,X,X,X
IZJOTLS,X,O,X,O,O,X
IZJOTSL,X,O,O,X,X,X
IZJOLTS,X,X,O,O,O,X
IZJOLST,X,O,O,O,O,X
IZJOSTL,X,O,O,X,X,X
IZJOSLT,X,O,O,O,X,X
IZSTLJO,O,O,O,X,X,O
IZSTLOJ,X,O,O,X,X,O
IZSTJLO,O,O,O,X,X,O
IZSTJOL,O,O,O,X,X,O
IZSTOLJ,O,O,X,X,X,O
IZSTOJL,O,O,O,X,X,O
IZSLTJO,O,O,O,X,X,O
IZSLTOJ,X,O,O,X,X,O
IZSLJTO,X,O,O,X,X,X
IZSLJOT,X,O,O,X,X,X
IZSLOTJ,X,X,O,X,X,X
IZSLOJT,X,X,O,X,X,X
IZSJTLO,O,O,O,X,X,O
IZSJTOL,O,O,O,X,X,O
IZSJLTO,X,O,O,X,X,X
IZSJLOT,X,O,O,X,X,X
IZSJOTL,X,O,O,X,X,X
IZSJOLT,X,O,O,X,X,X
IZSOTLJ,O,X,X,X,X,O
IZSOTJL,O,X,O,X,X,O
IZSOLTJ,O,X,O,X,X,X
IZSOLJT,X,X,O,X,X,X
IZSOJTL,O,X,O,X,X,X
IZSOJLT,X,X,O,X,X,X
IZOTLJS,O,X,X,O,O,X
IZOTLSJ,O,X,X,O,O,X
IZOTJLS,O,X,X,O,O,X
IZOTJSL,O,X,O,X,X,X
IZOTSLJ,O,X,X,X,X,O
IZOTSJL,O,X,O,X,X,O
IZOLTJS,O,X,O,O,O,X
IZOLTSJ,O,X,O,O,O,X
IZOLJTS,X,X,O,O,O,X
IZOLJST,X,X,O,O,O,X
IZOLSTJ,O,X,O,O,O,X
IZOLSJT,O,X,O,O,O,X
IZOJTLS,O,X,X,O,O,X
IZOJTSL,O,X,O,X,X,X
IZOJLTS,X,X,O,O,O,X
IZOJLST,X,X,O,O,O,X
IZOJSTL,X,X,O,X,X,X
IZOJSLT,X,X,O,O,X,X
IZOSTLJ,O,X,X,X,X,O
IZOSTJL,O,X,O,X,X,O
IZOSLTJ,O,X,O,O,X,X
IZOSLJT,X,X,O,O,X,X
IZOSJTL,O,X,O,X,X,X
IZOSJLT,X,X,O,O,X,X
IOTLJSZ,O,X,X,O,O,X
IOTLJZS,O,X,X,O,O,X
IOTLSJZ,O,X,X,O,O,X
IOTLSZJ,O,X,X,O,O,X
IOTLZJS,O,X,X,O,O,X
IOTLZSJ,O,X,X,O,O,X
IOTJLSZ,O,X,X,O,O,X
IOTJLZS,O,X,X,O,O,X
IOTJSLZ,O,X,X,X,O,X
IOTJSZL,O,X,X,X,X,X
IOTJZLS,O,X,X,O,O,X
IOTJZSL,O,X,X,X,X,X
IOTSLJZ,O,X,X,X,O,X
IOTSLZJ,O,X,X,X,O,X
IOTSJLZ,O,X,X,X,O,X
IOTSJZL,O,X,X,X,X,X
IOTSZLJ,O,X,X,X,X,X
IOTSZJL,O,X,X,X,X,X
