sequence,v115@HhA8IeA8CeB8DeA8AeG8Ke0/IvhFlgB3hBziB5oB2s?BCqB,v115@HhA8IeA8CeB8DeA8AeG8Kel/IvhFulB3hBaoB5oB8p?BTsB
TZILOSJ,O,O
TZIJLSO,O,O
TZIJLOS,O,O
TZIJSLO,O,O
TZIJSOL,O,O
TZIJOLS,O,O
TZIJOSL,O,O
TZISLJO,O,O
TZISLOJ,O,O
TZISJLO,O,O
TZISJOL,O,O
TZISOLJ,X,O
TZISOJL,O,O
TZIOLJS,X,O
TZIOLSJ,X,O
TZIOJLS,O,O
TZIOJSL,O,O
TZIOSLJ,X,O
TZIOSJL,O,O
TZLIJSO,O,O
TZLIJOS,O,O
TZLISJO,O,O
TZLISOJ,O,O
TZLIOJS,O,O
TZLIOSJ,O,O
TZLJISO,O,O
TZLJIOS,O,O
TZLJSIO,O,O
TZLJSOI,O,O
TZLJOIS,O,O
TZLJOSI,O,O
TZLSIJO,O,O
TZLSIOJ,O,O
TZLSJIO,O,O
TZLSJOI,O,O
TZLSOIJ,O,O
TZLSOJI,O,O
TZLOIJS,O,O
TZLOISJ,O,O
TZLOJIS,O,O
TZLOJSI,O,O
TZLOSIJ,O,O
TZLOSJI,O,O
TZJILSO,O,O
TZJILOS,O,O
TZJISLO,O,O
TZJISOL,O,O
TZJIOLS,O,O
TZJIOSL,O,O
TZJLISO,O,O
TZJLIOS,O,O
TZJLSIO,O,O
TZJLSOI,O,O
TZJLOIS,O,O
TZJLOSI,O,O
TZJSILO,O,O
TZJSIOL,O,O
TZJSLIO,O,O
TZJSLOI,O,O
TZJSOIL,O,O
TZJSOLI,O,O
TZJOILS,O,O
TZJOISL,O,O
TZJOLIS,O,O
TZJOLSI,O,O
TZJOSIL,O,O
TZJOSLI,O,O
TZSILJO,O,O
TZSILOJ,O,O
TZSIJLO,O,O
TZSIJOL,O,O
TZSIOLJ,X,O
TZSIOJL,O,O
TZSLIJO,O,O
TZSLIOJ,O,O
TZSLJIO,O,O
TZSLJOI,O,O
TZSLOIJ,O,O
TZSLOJI,O,O
TZSJILO,O,O
TZSJIOL,O,O
TZSJLIO,O,O
TZSJLOI,O,O
TZSJOIL,O,O
TZSJOLI,O,O
TZSOILJ,X,O
TZSOIJL,O,O
TZSOLIJ,X,O
TZSOLJI,X,O
TZSOJIL,O,O
TZSOJLI,O,O
TZOILJS,X,O
TZOILSJ,X,O
TZOIJLS,O,O
TZOIJSL,O,O
TZOISLJ,X,O
TZOISJL,O,O
TZOLIJS,X,O
TZOLISJ,X,O
TZOLJIS,X,O
TZOLJSI,X,O
TZOLSIJ,X,O
TZOLSJI,X,O
TZOJILS,O,O
TZOJISL,O,O
TZOJLIS,O,O
TZOJLSI,O,O
TZOJSIL,O,O
