sequence,v115@vhGfDJ5jBcpBeqBzqBCsBVyB,v115@vhGZEJXiBzkBUmBSvBVxBGtB,v115@vhG0AJ5oB3mBznBipB1vB2xB,v115@vhGZEJukB/oBcrBTnBVvByxB,v115@vhGcEJaoB5oBTlB/rBWvB1xB,v115@vhG5DJ6mBcpBTnBXqB2wBVyB,v115@vhGZ/IOmBTlB/tB1uBSwB0sB
ITLOJZS,O,O,X,O,X,X,O
ITLOSJZ,O,O,X,O,X,X,O
ITLOSZJ,O,O,X,O,X,X,O
ITLOZJS,O,O,X,O,X,X,O
ITLOZSJ,O,O,X,O,X,X,O
ITJLSZO,O,O,O,O,O,O,X
ITJLSOZ,O,O,O,O,O,O,X
ITJLZSO,O,O,O,O,O,O,X
ITJLZOS,O,O,O,O,O,O,X
ITJLOSZ,O,O,O,O,O,O,X
ITJLOZS,O,O,O,O,O,O,X
ITJSLZO,O,O,O,X,O,O,X
ITJSLOZ,O,O,O,X,O,O,X
ITJSZLO,O,O,O,X,O,O,X
ITJSZOL,O,X,O,X,O,O,X
ITJSOLZ,O,X,O,X,O,O,X
ITJSOZL,O,X,O,X,O,O,X
ITJZLSO,O,O,O,O,O,O,X
ITJZLOS,O,O,O,O,O,O,X
ITJZSLO,O,O,O,X,O,O,X
ITJZSOL,O,X,O,X,O,O,X
ITJZOLS,O,X,O,X,O,O,X
ITJZOSL,O,X,O,X,O,O,X
ITJOLSZ,O,X,O,X,O,O,X
ITJOLZS,O,X,O,X,O,O,X
ITJOSLZ,O,X,O,X,O,O,X
ITJOSZL,O,X,O,X,O,O,X
ITJOZLS,O,X,O,X,O,O,X
ITJOZSL,O,X,O,X,O,O,X
ITSLJZO,O,O,O,X,O,X,O
ITSLJOZ,O,O,O,X,O,X,O
ITSLZJO,O,O,O,X,X,X,O
ITSLZOJ,O,O,X,X,X,X,O
ITSLOJZ,O,O,X,X,X,X,O
ITSLOZJ,O,O,X,X,X,X,O
ITSJLZO,O,O,O,X,O,O,X
ITSJLOZ,O,O,O,X,O,O,X
ITSJZLO,O,O,O,X,O,O,X
ITSJZOL,O,X,O,X,O,O,X
ITSJOLZ,O,X,O,X,O,O,X
ITSJOZL,O,X,O,X,O,O,X
ITSZLJO,O,O,O,X,X,X,O
ITSZLOJ,O,O,X,X,X,X,O
ITSZJLO,O,O,O,X,X,O,X
ITSZJOL,O,X,O,X,X,O,X
ITSZOLJ,O,X,X,X,X,X,O
ITSZOJL,O,X,X,X,X,O,X
ITSOLJZ,O,X,X,X,X,X,O
ITSOLZJ,O,X,X,X,X,X,O
ITSOJLZ,O,X,X,X,X,O,X
ITSOJZL,O,X,X,X,X,O,X
ITSOZLJ,O,X,X,X,X,X,O
ITSOZJL,O,X,X,X,X,O,X
ITZLJSO,O,O,O,O,X,X,O
ITZLJOS,O,O,O,O,X,X,O
ITZLSJO,O,O,O,O,X,X,O
ITZLSOJ,O,O,X,O,X,X,O
ITZLOJS,O,O,X,O,X,X,O
ITZLOSJ,O,O,X,O,X,X,O
ITZJLSO,O,O,O,O,X,O,X
ITZJLOS,O,O,O,O,X,O,X
ITZJSLO,O,O,O,X,X,O,X
ITZJSOL,O,X,O,X,X,O,X
ITZJOLS,O,X,O,X,X,O,X
ITZJOSL,O,X,O,X,X,O,X
ITZSLJO,O,O,O,X,X,X,O
ITZSLOJ,O,O,X,X,X,X,O
ITZSJLO,O,O,O,X,X,O,X
ITZSJOL,O,X,O,X,X,O,X
ITZSOLJ,O,X,X,X,X,X,O
ITZSOJL,O,X,X,X,X,O,X
ITZOLJS,O,X,X,X,X,X,O
ITZOLSJ,O,X,X,X,X,X,O
ITZOJLS,O,X,X,X,X,O,X
ITZOJSL,O,X,X,X,X,O,X
ITZOSLJ,O,X,X,X,X,X,O
ITZOSJL,O,X,X,X,X,O,X
ITOLJSZ,O,X,X,X,X,X,O
ITOLJZS,O,X,X,X,X,X,O
ITOLSJZ,O,X,X,X,X,X,O
ITOLSZJ,O,X,X,X,X,X,O
ITOLZJS,O,X,X,X,X,X,O
ITOLZSJ,O,X,X,X,X,X,O
ITOJLSZ,O,X,X,X,X,O,X
ITOJLZS,O,X,X,X,X,O,X
ITOJSLZ,O,X,X,X,X,O,X
ITOJSZL,O,X,X,X,X,O,X
ITOJZLS,O,X,X,X,X,O,X
ITOJZSL,O,X,X,X,X,O,X
ITOSLJZ,O,X,X,X,X,X,O
ITOSLZJ,O,X,X,X,X,X,O
ITOSJLZ,O,X,X,X,X,O,X
ITOSJZL,O,X,X,X,X,O,X
ITOSZLJ,O,X,X,X,X,X,O
ITOSZJL,O,X,X,X,X,O,X
ITOZLJS,O,X,X,X,X,X,O
ITOZLSJ,O,X,X,X,X,X,O
ITOZJLS,O,X,X,X,X,O,X
ITOZJSL,O,X,X,X,X,O,X
ITOZSLJ,O,X,X,X,X,X,O
ITOZSJL,O,X,X,X,X,O,X
ILTJSZO,O,O,O,O,O,X,O
ILTJSOZ,O,O,O,O,O,X,O
ILTJZSO,O,O,O,O,O,X,O
ILTJZOS,O,O,O,O,O,X,O
ILTJOSZ,O,O,O,O,O,X,O
ILTJOZS,O,O,O,O,O,X,O
ILTSJZO,O,O,O,O,O,X,O
ILTSJOZ,O,O,O,O,O,X,O
ILTSZJO,O,O,O,O,X,X,O
ILTSZOJ,O,O,X,O,X,X,O
ILTSOJZ,O,O,X,O,X,X,O
ILTSOZJ,O,O,X,O,X,X,O
ILTZJSO,O,O,O,O,X,X,O
ILTZJOS,O,O,O,O,X,X,O
ILTZSJO,O,O,O,O,X,X,O
ILTZSOJ,O,O,X,O,X,X,O
ILTZOJS,O,O,X,O,X,X,O
ILTZOSJ,O,O,X,O,X,X,O
ILTOJSZ,O,O,X,O,X,X,O
ILTOJZS,O,O,X,O,X,X,O
ILTOSJZ,O,O,X,O,X,X,O
ILTOSZJ,O,O,X,O,X,X,O
ILTOZJS,O,O,X,O,X,X,O
ILTOZSJ,O,O,X,O,X,X,O
ILJTSZO,O,O,O,O,O,O,O
ILJTSOZ,O,O,O,O,O,O,O
ILJTZSO,O,O,O,O,O,O,O
ILJTZOS,O,O,O,O,O,O,O
ILJTOSZ,O,O,O,O,O,O,O
ILJTOZS,O,O,O,O,O,O,O
ILJSTZO,O,O,O,O,O,O,O
ILJSTOZ,O,O,O,O,O,O,O
ILJSZTO,O,O,O,O,O,O,O
ILJSZOT,O,O,O,O,O,O,O
ILJSOTZ,O,O,O,O,O,O,O
ILJSOZT,O,O,O,O,O,O,O
ILJZTSO,O,O,O,O,O,O,O
ILJZTOS,O,O,O,O,O,O,O
ILJZSTO,O,O,O,O,O,O,O
ILJZSOT,O,O,O,O,O,O,O
ILJZOTS,O,O,O,O,O,O,O
ILJZOST,O,O,O,O,O,O,O
ILJOTSZ,O,O,O,O,O,O,O
ILJOTZS,O,O,O,O,O,O,O
ILJOSTZ,O,O,O,O,O,O,O
ILJOSZT,O,O,O,O,O,O,O
ILJOZTS,O,O,O,O,O,O,O
ILJOZST,O,O,O,O,O,O,O
ILSTJZO,O,O,O,O,O,X,O
ILSTJOZ,O,O,O,O,O,X,O
ILSTZJO,O,O,O,O,X,X,O
ILSTZOJ,O,O,X,O,X,X,O
ILSTOJZ,O,O,X,O,X,X,O
ILSTOZJ,O,O,X,O,X,X,O
ILSJTZO,O,O,O,O,O,O,O
ILSJTOZ,O,O,O,O,O,O,O
ILSJZTO,O,O,O,O,O,O,O
ILSJZOT,O,O,O,O,O,O,O
ILSJOTZ,O,O,O,O,O,O,O
ILSJOZT,O,O,O,O,O,O,O
ILSZTJO,O,O,O,O,X,X,O
ILSZTOJ,O,O,X,O,X,X,O
ILSZJTO,O,O,O,O,O,O,O
ILSZJOT,O,O,O,O,O,O,O
ILSZOTJ,O,O,X,O,X,X,O
ILSZOJT,O,O,O,O,X,O,O
ILSOTJZ,O,O,X,O,X,X,O
ILSOTZJ,O,O,X,O,X,X,O
ILSOJTZ,O,O,O,O,O,O,O
ILSOJZT,O,O,O,O,O,O,O
ILSOZTJ,O,O,X,O,X,X,O
ILSOZJT,O,O,O,O,X,O,O
ILZTJSO,O,O,O,O,X,X,O
ILZTJOS,O,O,O,O,X,X,O
ILZTSJO,O,O,O,O,X,X,O
ILZTSOJ,O,O,X,O,X,X,O
ILZTOJS,O,O,X,O,X,X,O
ILZTOSJ,O,O,X,O,X,X,O
ILZJTSO,O,O,O,O,O,O,O
ILZJTOS,O,O,O,O,O,O,O
ILZJSTO,O,O,O,O,O,O,O
ILZJSOT,O,O,O,O,O,O,O
ILZJOTS,O,O,O,O,O,O,O
ILZJOST,O,O,O,O,O,O,O
ILZSTJO,O,O,O,O,X,X,O
ILZSTOJ,O,O,X,O,X,X,O
ILZSJTO,O,O,O,O,O,O,O
ILZSJOT,O,O,O,O,O,O,O
ILZSOTJ,O,O,X,O,X,X,O
ILZSOJT,O,O,O,O,X,O,O
ILZOTJS,O,O,X,O,X,X,O
ILZOTSJ,O,O,X,O,X,X,O
ILZOJTS,O,O,O,O,X,O,O
ILZOJST,O,O,O,O,X,O,O
ILZOSTJ,O,O,X,O,X,X,O
ILZOSJT,O,O,O,O,X,O,O
ILOTJSZ,O,O,X,O,X,X,O
ILOTJZS,O,O,X,O,X,X,O
ILOTSJZ,O,O,X,O,X,X,O
ILOTSZJ,O,O,X,O,X,X,O
ILOTZJS,O,O,X,O,X,X,O
ILOTZSJ,O,O,X,O,X,X,O
ILOJTSZ,O,O,O,O,O,O,O
ILOJTZS,O,O,O,O,O,O,O
ILOJSTZ,O,O,O,O,O,O,O
ILOJSZT,O,O,O,O,O,O,O
ILOJZTS,O,O,O,O,O,O,O
ILOJZST,O,O,O,O,O,O,O
ILOSTJZ,O,O,X,O,X,X,O
ILOSTZJ,O,O,X,O,X,X,O
ILOSJTZ,O,O,O,O,O,O,O
ILOSJZT,O,O,O,O,O,O,O
ILOSZTJ,O,O,X,O,X,X,O
ILOSZJT,O,O,O,O,X,O,O
ILOZTJS,O,O,X,O,X,X,O
ILOZTSJ,O,O,X,O,X,X,O
ILOZJTS,O,O,O,O,X,O,O
ILOZJST,O,O,O,O,X,O,O
ILOZSTJ,O,O,X,O,X,X,O
ILOZSJT,O,O,O,O,X,O,O
IJTLSZO,O,O,O,O,O,O,X
IJTLSOZ,O,O,O,O,O,O,X
IJTLZSO,O,O,O,O,O,O,X
IJTLZOS,O,O,O,O,O,O,X
IJTLOSZ,O,O,O,O,O,O,X
IJTLOZS,O,O,O,O,O,O,X
IJTSLZO,O,O,O,X,O,O,X
IJTSLOZ,O,O,O,X,O,O,X
IJTSZLO,O,O,O,X,O,O,X
IJTSZOL,O,X,O,X,O,O,X
IJTSOLZ,O,X,O,X,O,O,X
IJTSOZL,O,X,O,X,O,O,X
IJTZLSO,O,O,O,O,O,O,X
IJTZLOS,O,O,O,O,O,O,X
IJTZSLO,O,O,O,X,O,O,X
IJTZSOL,O,X,O,X,O,O,X
IJTZOLS,O,X,O,X,O,O,X
IJTZOSL,O,X,O,X,O,O,X
IJTOLSZ,O,X,O,X,O,O,X
IJTOLZS,O,X,O,X,O,O,X
IJTOSLZ,O,X,O,X,O,O,X
IJTOSZL,O,X,O,X,O,O,X
IJTOZLS,O,X,O,X,O,O,X
IJTOZSL,O,X,O,X,O,O,X
IJLTSZO,O,O,O,O,O,O,O
IJLTSOZ,O,O,O,O,O,O,O
IJLTZSO,O,O,O,O,O,O,O
IJLTZOS,O,O,O,O,O,O,O
IJLTOSZ,O,O,O,O,O,O,O
IJLTOZS,O,O,O,O,O,O,O
IJLSTZO,O,O,O,O,O,O,O
IJLSTOZ,O,O,O,O,O,O,O
IJLSZTO,O,O,O,O,O,O,O
IJLSZOT,O,O,O,O,O,O,O
IJLSOTZ,O,O,O,O,O,O,O
IJLSOZT,O,O,O,O,O,O,O
IJLZTSO,O,O,O,O,O,O,O
IJLZTOS,O,O,O,O,O,O,O
IJLZSTO,O,O,O,O,O,O,O
IJLZSOT,O,O,O,O,O,O,O
IJLZOTS,O,O,O,O,O,O,O
IJLZOST,O,O,O,O,O,O,O
IJLOTSZ,O,O,O,O,O,O,O
IJLOTZS,O,O,O,O,O,O,O
IJLOSTZ,O,O,O,O,O,O,O
IJLOSZT,O,O,O,O,O,O,O
IJLOZTS,O,O,O,O,O,O,O
IJLOZST,O,O,O,O,O,O,O
IJSTLZO,O,O,O,X,O,O,X
IJSTLOZ,O,O,O,X,O,O,X
IJSTZLO,O,O,O,X,O,O,X
IJSTZOL,O,X,O,X,O,O,X
IJSTOLZ,O,X,O,X,O,O,X
IJSTOZL,O,X,O,X,O,O,X
IJSLTZO,O,O,O,O,O,O,O
IJSLTOZ,O,O,O,O,O,O,O
IJSLZTO,O,O,O,O,O,O,O
IJSLZOT,O,O,O,O,O,O,O
IJSLOTZ,O,O,O,O,O,O,O
IJSLOZT,O,O,O,O,O,O,O
IJSZTLO,O,O,O,X,O,O,X
IJSZTOL,O,X,O,X,O,O,X
IJSZLTO,O,O,O,O,O,O,O
IJSZLOT,O,O,O,O,O,O,O
IJSZOTL,O,X,O,X,O,O,X
IJSZOLT,O,O,O,X,O,O,O
IJSOTLZ,O,X,O,X,O,O,X
IJSOTZL,O,X,O,X,O,O,X
IJSOLTZ,O,O,O,X,O,O,O
IJSOLZT,O,O,O,X,O,O,O
IJSOZTL,O,X,O,X,O,O,X
IJSOZLT,O,O,O,X,O,O,O
IJZTLSO,O,O,O,O,O,O,X
IJZTLOS,O,O,O,O,O,O,X
IJZTSLO,O,O,O,X,O,O,X
IJZTSOL,O,X,O,X,O,O,X
IJZTOLS,O,X,O,X,O,O,X
IJZTOSL,O,X,O,X,O,O,X
IJZLTSO,O,O,O,O,O,O,O
IJZLTOS,O,O,O,O,O,O,O
IJZLSTO,O,O,O,O,O,O,O
IJZLSOT,O,O,O,O,O,O,O
IJZLOTS,O,O,O,O,O,O,O
IJZLOST,O,O,O,O,O,O,O
IJZSTLO,O,O,O,X,O,O,X
IJZSTOL,O,X,O,X,O,O,X
IJZSLTO,O,O,O,O,O,O,O
IJZSLOT,O,O,O,O,O,O,O
IJZSOTL,O,X,O,X,O,O,X
IJZSOLT,O,O,O,X,O,O,O
IJZOTLS,O,X,O,X,O,O,X
IJZOTSL,O,X,O,X,O,O,X
IJZOLTS,O,O,O,O,O,O,O
IJZOLST,O,O,O,O,O,O,O
IJZOSTL,O,X,O,X,O,O,X
IJZOSLT,O,O,O,X,O,O,O
IJOTLSZ,O,X,O,X,O,O,X
IJOTLZS,O,X,O,X,O,O,X
IJOTSLZ,O,X,O,X,O,O,X
IJOTSZL,O,X,O,X,O,O,X
IJOTZLS,O,X,O,X,O,O,X
IJOTZSL,O,X,O,X,O,O,X
IJOLTSZ,O,O,O,O,O,O,O
IJOLTZS,O,O,O,O,O,O,O
IJOLSTZ,O,O,O,O,O,O,O
IJOLSZT,O,O,O,O,O,O,O
IJOLZTS,O,O,O,O,O,O,O
IJOLZST,O,O,O,O,O,O,O
IJOSTLZ,O,X,O,X,O,O,X
IJOSTZL,O,X,O,X,O,O,X
IJOSLTZ,O,O,O,X,O,O,O
IJOSLZT,O,O,O,X,O,O,O
IJOSZTL,O,X,O,X,O,O,X
IJOSZLT,O,O,O,X,O,O,O
IJOZTLS,O,X,O,X,O,O,X
IJOZTSL,O,X,O,X,O,O,X
IJOZLTS,O,O,O,O,O,O,O
IJOZLST,O,O,O,O,O,O,O
IJOZSTL,O,X,O,X,O,O,X
IJOZSLT,O,O,O,X,O,O,O
ISTLJZO,O,O,O,X,O,X,O
ISTLJOZ,O,O,O,X,O,X,O
ISTLZJO,O,O,O,X,X,X,O
ISTLZOJ,O,O,X,X,X,X,O
ISTLOJZ,O,O,X,X,X,X,O
ISTLOZJ,O,O,X,X,X,X,O
ISTJLZO,O,O,O,X,O,O,X
ISTJLOZ,O,O,O,X,O,O,X
ISTJZLO,O,O,O,X,O,O,X
ISTJZOL,O,X,O,X,O,O,X
ISTJOLZ,O,X,O,X,O,O,X
ISTJOZL,O,X,O,X,O,O,X
ISTZLJO,O,O,O,X,X,X,O
ISTZLOJ,O,O,X,X,X,X,O
ISTZJLO,O,O,O,X,X,O,X
ISTZJOL,O,X,O,X,X,O,X
ISTZOLJ,O,X,X,X,X,X,O
ISTZOJL,O,X,X,X,X,O,X
ISTOLJZ,O,X,X,X,X,X,O
ISTOLZJ,O,X,X,X,X,X,O
ISTOJLZ,O,X,X,X,X,O,X
ISTOJZL,O,X,X,X,X,O,X
ISTOZLJ,O,X,X,X,X,X,O
ISTOZJL,O,X,X,X,X,O,X
ISLTJZO,O,O,O,O,O,X,O
ISLTJOZ,O,O,O,O,O,X,O
ISLTZJO,O,O,O,O,X,X,O
ISLTZOJ,O,O,X,O,X,X,O
ISLTOJZ,O,O,X,O,X,X,O
ISLTOZJ,O,O,X,O,X,X,O
ISLJTZO,O,O,O,O,O,O,O
ISLJTOZ,O,O,O,O,O,O,O
ISLJZTO,O,O,O,O,O,O,O
ISLJZOT,O,O,O,O,O,O,O
ISLJOTZ,O,O,O,O,O,O,O
ISLJOZT,O,O,O,O,O,O,O
ISLZTJO,O,O,O,O,X,X,O
ISLZTOJ,O,O,X,O,X,X,O
ISLZJTO,O,O,O,O,O,O,O
ISLZJOT,O,O,O,O,O,O,O
ISLZOTJ,O,O,X,O,X,X,O
ISLZOJT,O,O,O,O,X,O,O
ISLOTJZ,O,O,X,O,X,X,O
ISLOTZJ,O,O,X,O,X,X,O
ISLOJTZ,O,O,O,O,O,O,O
ISLOJZT,O,O,O,O,O,O,O
ISLOZTJ,O,O,X,O,X,X,O
ISLOZJT,O,O,O,O,X,O,O
ISJTLZO,O,O,O,X,O,O,X
ISJTLOZ,O,O,O,X,O,O,X
ISJTZLO,O,O,O,X,O,O,X
ISJTZOL,O,X,O,X,O,O,X
ISJTOLZ,O,X,O,X,O,O,X
ISJTOZL,O,X,O,X,O,O,X
ISJLTZO,O,O,O,O,O,O,O
ISJLTOZ,O,O,O,O,O,O,O
ISJLZTO,O,O,O,O,O,O,O
ISJLZOT,O,O,O,O,O,O,O
ISJLOTZ,O,O,O,O,O,O,O
ISJLOZT,O,O,O,O,O,O,O
ISJZTLO,O,O,O,X,O,O,X
ISJZTOL,O,X,O,X,O,O,X
ISJZLTO,O,O,O,O,O,O,O
ISJZLOT,O,O,O,O,O,O,O
ISJZOTL,O,X,O,X,O,O,X
ISJZOLT,O,O,O,X,O,O,O
ISJOTLZ,O,X,O,X,O,O,X
ISJOTZL,O,X,O,X,O,O,X
ISJOLTZ,O,O,O,X,O,O,O
ISJOLZT,O,O,O,X,O,O,O
ISJOZTL,O,X,O,X,O,O,X
ISJOZLT,O,O,O,X,O,O,O
ISZTLJO,O,O,O,X,X,X,O
ISZTLOJ,O,O,X,X,X,X,O
ISZTJLO,O,O,O,X,X,O,X
ISZTJOL,O,X,O,X,X,O,X
ISZTOLJ,O,X,X,X,X,X,O
ISZTOJL,O,X,X,X,X,O,X
ISZLTJO,O,O,O,O,X,X,O
ISZLTOJ,O,O,X,O,X,X,O
ISZLJTO,O,O,O,O,O,O,O
ISZLJOT,O,O,O,O,O,O,O
ISZLOTJ,O,O,X,O,X,X,O
ISZLOJT,O,O,O,O,X,O,O
ISZJTLO,O,O,O,X,O,O,X
ISZJTOL,O,X,O,X,O,O,X
ISZJLTO,O,O,O,O,O,O,O
ISZJLOT,O,O,O,O,O,O,O
ISZJOTL,O,X,O,X,O,O,X
ISZJOLT,O,O,O,X,O,O,O
ISZOTLJ,O,X,X,X,X,X,O
ISZOTJL,O,X,X,X,X,O,X
ISZOLTJ,O,O,X,X,X,X,O
ISZOLJT,O,O,O,X,X,O,O
ISZOJTL,O,X,O,X,X,O,X
ISZOJLT,O,O,O,X,X,O,O
ISOTLJZ,O,X,X,X,X,X,O
ISOTLZJ,O,X,X,X,X,X,O
ISOTJLZ,O,X,X,X,X,O,X
ISOTJZL,O,X,X,X,X,O,X
ISOTZLJ,O,X,X,X,X,X,O
ISOTZJL,O,X,X,X,X,O,X
ISOLTJZ,O,O,X,X,X,X,O
ISOLTZJ,O,O,X,X,X,X,O
ISOLJTZ,O,O,O,X,O,O,O
ISOLJZT,O,O,O,X,O,O,O
ISOLZTJ,O,O,X,X,X,X,O
ISOLZJT,O,O,O,X,X,O,O
ISOJTLZ,O,X,O,X,O,O,X
ISOJTZL,O,X,O,X,O,O,X
ISOJLTZ,O,O,O,X,O,O,O
ISOJLZT,O,O,O,X,O,O,O
ISOJZTL,O,X,O,X,O,O,X
ISOJZLT,O,O,O,X,O,O,O
ISOZTLJ,O,X,X,X,X,X,O
ISOZTJL,O,X,X,X,X,O,X
ISOZLTJ,O,O,X,X,X,X,O
ISOZLJT,O,O,O,X,X,O,O
ISOZJTL,O,X,O,X,X,O,X
ISOZJLT,O,O,O,X,X,O,O
IZTLJSO,O,O,O,O,X,X,O
IZTLJOS,O,O,O,O,X,X,O
IZTLSJO,O,O,O,O,X,X,O
IZTLSOJ,O,O,X,O,X,X,O
IZTLOJS,O,O,X,O,X,X,O
IZTLOSJ,O,O,X,O,X,X,O
IZTJLSO,O,O,O,O,X,O,X
IZTJLOS,O,O,O,O,X,O,X
IZTJSLO,O,O,O,X,X,O,X
IZTJSOL,O,X,O,X,X,O,X
IZTJOLS,O,X,O,X,X,O,X
IZTJOSL,O,X,O,X,X,O,X
IZTSLJO,O,O,O,X,X,X,O
IZTSLOJ,O,O,X,X,X,X,O
IZTSJLO,O,O,O,X,X,O,X
IZTSJOL,O,X,O,X,X,O,X
IZTSOLJ,O,X,X,X,X,X,O
IZTSOJL,O,X,X,X,X,O,X
IZTOLJS,O,X,X,X,X,X,O
IZTOLSJ,O,X,X,X,X,X,O
IZTOJLS,O,X,X,X,X,O,X
IZTOJSL,O,X,X,X,X,O,X
IZTOSLJ,O,X,X,X,X,X,O
IZTOSJL,O,X,X,X,X,O,X
IZLTJSO,O,O,O,O,X,X,O
IZLTJOS,O,O,O,O,X,X,O
IZLTSJO,O,O,O,O,X,X,O
IZLTSOJ,O,O,X,O,X,X,O
IZLTOJS,O,O,X,O,X,X,O
IZLTOSJ,O,O,X,O,X,X,O
IZLJTSO,O,O,O,O,O,O,O
IZLJTOS,O,O,O,O,O,O,O
IZLJSTO,O,O,O,O,O,O,O
IZLJSOT,O,O,O,O,O,O,O
IZLJOTS,O,O,O,O,O,O,O
IZLJOST,O,O,O,O,O,O,O
IZLSTJO,O,O,O,O,X,X,O
IZLSTOJ,O,O,X,O,X,X,O
IZLSJTO,O,O,O,O,O,O,O
IZLSJOT,O,O,O,O,O,O,O
IZLSOTJ,O,O,X,O,X,X,O
IZLSOJT,O,O,O,O,X,O,O
IZLOTJS,O,O,X,O,X,X,O
IZLOTSJ,O,O,X,O,X,X,O
IZLOJTS,O,O,O,O,X,O,O
IZLOJST,O,O,O,O,X,O,O
IZLOSTJ,O,O,X,O,X,X,O
IZLOSJT,O,O,O,O,X,O,O
IZJTLSO,O,O,O,O,O,O,X
IZJTLOS,O,O,O,O,O,O,X
IZJTSLO,O,O,O,X,O,O,X
IZJTSOL,O,X,O,X,O,O,X
IZJTOLS,O,X,O,X,O,O,X
IZJTOSL,O,X,O,X,O,O,X
IZJLTSO,O,O,O,O,O,O,O
IZJLTOS,O,O,O,O,O,O,O
IZJLSTO,O,O,O,O,O,O,O
IZJLSOT,O,O,O,O,O,O,O
IZJLOTS,O,O,O,O,O,O,O
IZJLOST,O,O,O,O,O,O,O
IZJSTLO,O,O,O,X,O,O,X
IZJSTOL,O,X,O,X,O,O,X
IZJSLTO,O,O,O,O,O,O,O
IZJSLOT,O,O,O,O,O,O,O
IZJSOTL,O,X,O,X,O,O,X
IZJSOLT,O,O,O,X,O,O,O
IZJOTLS,O,X,O,X,O,O,X
IZJOTSL,O,X,O,X,O,O,X
IZJOLTS,O,O,O,O,O,O,O
IZJOLST,O,O,O,O,O,O,O
IZJOSTL,O,X,O,X,O,O,X
IZJOSLT,O,O,O,X,O,O,O
IZSTLJO,O,O,O,X,X,X,O
IZSTLOJ,O,O,X,X,X,X,O
IZSTJLO,O,O,O,X,X,O,X
IZSTJOL,O,X,O,X,X,O,X
IZSTOLJ,O,X,X,X,X,X,O
IZSTOJL,O,X,X,X,X,O,X
IZSLTJO,O,O,O,O,X,X,O
IZSLTOJ,O,O,X,O,X,X,O
IZSLJTO,O,O,O,O,O,O,O
IZSLJOT,O,O,O,O,O,O,O
IZSLOTJ,O,O,X,O,X,X,O
IZSLOJT,O,O,O,O,X,O,O
IZSJTLO,O,O,O,X,O,O,X
IZSJTOL,O,X,O,X,O,O,X
IZSJLTO,O,O,O,O,O,O,O
IZSJLOT,O,O,O,O,O,O,O
IZSJOTL,O,X,O,X,O,O,X
IZSJOLT,O,O,O,X,O,O,O
IZSOTLJ,O,X,X,X,X,X,O
IZSOTJL,O,X,X,X,X,O,X
IZSOLTJ,O,O,X,X,X,X,O
IZSOLJT,O,O,O,X,X,O,O
IZSOJTL,O,X,O,X,X,O,X
IZSOJLT,O,O,O,X,X,O,O
IZOTLJS,O,X,X,X,X,X,O
IZOTLSJ,O,X,X,X,X,X,O
IZOTJLS,O,X,X,X,X,O,X
IZOTJSL,O,X,X,X,X,O,X
IZOTSLJ,O,X,X,X,X,X,O
IZOTSJL,O,X,X,X,X,O,X
IZOLTJS,O,O,X,O,X,X,O
IZOLTSJ,O,O,X,O,X,X,O
IZOLJTS,O,O,O,O,X,O,O
IZOLJST,O,O,O,O,X,O,O
IZOLSTJ,O,O,X,O,X,X,O
IZOLSJT,O,O,O,O,X,O,O
IZOJTLS,O,X,O,X,X,O,X
IZOJTSL,O,X,O,X,X,O,X
IZOJLTS,O,O,O,O,X,O,O
IZOJLST,O,O,O,O,X,O,O
IZOJSTL,O,X,O,X,X,O,X
IZOJSLT,O,O,O,X,X,O,O
IZOSTLJ,O,X,X,X,X,X,O
IZOSTJL,O,X,X,X,X,O,X
IZOSLTJ,O,O,X,X,X,X,O
IZOSLJT,O,O,O,X,X,O,O
IZOSJTL,O,X,O,X,X,O,X
IZOSJLT,O,O,O,X,X,O,O
IOTLJSZ,O,X,X,X,X,X,O
IOTLJZS,O,X,X,X,X,X,O
IOTLSJZ,O,X,X,X,X,X,O
IOTLSZJ,O,X,X,X,X,X,O
IOTLZJS,O,X,X,X,X,X,O
IOTLZSJ,O,X,X,X,X,X,O
IOTJLSZ,O,X,X,X,X,O,X
IOTJLZS,O,X,X,X,X,O,X
IOTJSLZ,O,X,X,X,X,O,X
IOTJSZL,O,X,X,X,X,O,X
IOTJZLS,O,X,X,X,X,O,X
IOTJZSL,O,X,X,X,X,O,X
IOTSLJZ,O,X,X,X,X,X,O
IOTSLZJ,O,X,X,X,X,X,O
IOTSJLZ,O,X,X,X,X,O,X
IOTSJZL,O,X,X,X,X,O,X
IOTSZLJ,O,X,X,X,X,X,O
IOTSZJL,O,X,X,X,X,O,X
IOTZLJS,O,X,X,X,X,X,O
IOTZLSJ,O,X,X,X,X,X,O
IOTZJLS,O,X,X,X,X,O,X
IOTZJSL,O,X,X,X,X,O,X
IOTZSLJ,O,X,X,X,X,X,O
IOTZSJL,O,X,X,X,X,O,X
IOLTJSZ,O,O,X,O,X,X,O
IOLTJZS,O,O,X,O,X,X,O
IOLTSJZ,O,O,X,O,X,X,O
IOLTSZJ,O,O,X,O,X,X,O
IOLTZJS,O,O,X,O,X,X,O
IOLTZSJ,O,O,X,O,X,X,O
IOLJTSZ,O,O,O,O,O,O,O
IOLJTZS,O,O,O,O,O,O,O
IOLJSTZ,O,O,O,O,O,O,O
IOLJSZT,O,O,O,O,O,O,O
IOLJZTS,O,O,O,O,O,O,O
IOLJZST,O,O,O,O,O,O,O
IOLSTJZ,O,O,X,O,X,X,O
