sequence,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeZ/IvhFufBcgBzcBC?eBXjBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeZ/IvhFCbBzcBuiBc?jBXgBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8Jex6IvhFCdBTeBOkBX?gB0iBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeZ/IvhFWgBCdBTeB0?iBXgBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeZ/IvhFCbBWiBTeBX?gB0iBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeT7IvhFCdB0fBxiBO?kBXjBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JecAJvhFWiBxdBTfBX?jBikBFqB
TJLZIOS,X,X,O,O,X,O,X
TJLZSIO,X,X,O,O,X,X,O
TJLZSOI,X,X,O,O,X,X,O
TJLZOIS,X,X,O,O,X,O,X
TJLZOSI,X,X,O,O,X,X,O
TJLOISZ,X,X,O,X,O,X,X
TJLOIZS,X,X,O,O,X,O,X
TJLOSIZ,X,X,O,X,O,X,O
TJLOSZI,X,X,O,X,O,X,O
TJLOZIS,X,X,O,O,X,O,X
TJLOZSI,X,X,O,O,X,X,O
TJSILZO,O,O,O,O,O,X,O
TJSILOZ,O,O,O,X,O,X,O
TJSIZLO,O,O,O,O,O,X,O
TJSIZOL,O,O,O,O,O,X,O
TJSIOLZ,O,O,O,X,O,X,O
TJSIOZL,O,O,O,X,O,X,O
TJSLIZO,O,O,O,O,O,X,O
TJSLIOZ,O,O,O,X,O,X,O
TJSLZIO,O,O,O,O,O,X,O
TJSLZOI,O,O,O,O,O,X,O
TJSLOIZ,O,O,O,X,O,X,O
TJSLOZI,O,O,O,X,O,X,O
TJSZILO,O,O,O,O,O,X,O
TJSZIOL,O,O,O,O,O,X,O
TJSZLIO,O,O,O,O,O,X,O
TJSZLOI,O,O,O,O,O,X,O
TJSZOIL,O,O,O,O,O,X,O
TJSZOLI,O,O,O,O,O,X,O
TJSOILZ,O,O,O,X,O,X,O
TJSOIZL,O,O,O,X,O,X,O
TJSOLIZ,O,O,O,X,O,X,O
TJSOLZI,O,O,O,X,O,X,O
TJSOZIL,O,O,O,X,O,X,O
TJSOZLI,O,O,O,X,O,X,O
TJZILSO,O,O,O,O,X,X,X
TJZILOS,O,O,O,O,X,O,X
TJZISLO,O,O,O,O,O,X,O
TJZISOL,O,O,O,O,O,X,O
TJZIOLS,O,O,O,O,X,O,X
TJZIOSL,O,O,O,O,O,X,O
TJZLISO,O,O,O,O,X,X,X
TJZLIOS,O,O,O,O,X,O,X
TJZLSIO,O,O,O,O,X,X,O
TJZLSOI,O,O,O,O,X,X,O
TJZLOIS,O,O,O,O,X,O,X
TJZLOSI,O,O,O,O,X,X,O
TJZSILO,O,O,O,O,O,X,O
TJZSIOL,O,O,O,O,O,X,O
TJZSLIO,O,O,O,O,O,X,O
TJZSLOI,O,O,O,O,O,X,O
TJZSOIL,O,O,O,O,O,X,O
TJZSOLI,O,O,O,O,O,X,O
TJZOILS,O,O,O,O,X,O,X
TJZOISL,O,O,O,O,O,X,O
TJZOLIS,O,O,O,O,X,O,X
TJZOLSI,O,O,O,O,X,X,O
TJZOSIL,O,O,O,O,O,X,O
TJZOSLI,O,O,O,O,O,X,O
TJOILSZ,X,X,O,X,O,X,X
TJOILZS,X,X,O,O,X,O,X
TJOISLZ,O,O,O,X,O,X,O
TJOISZL,O,O,O,X,O,X,O
TJOIZLS,O,O,O,O,X,O,X
TJOIZSL,O,O,O,O,O,X,O
TJOLISZ,X,X,O,X,O,X,X
TJOLIZS,X,X,O,O,X,O,X
TJOLSIZ,X,X,O,X,O,X,O
TJOLSZI,X,X,O,X,O,X,O
TJOLZIS,X,X,O,O,X,O,X
TJOLZSI,X,X,O,O,X,X,O
TJOSILZ,O,O,O,X,O,X,O
TJOSIZL,O,O,O,X,O,X,O
TJOSLIZ,O,O,O,X,O,X,O
TJOSLZI,O,O,O,X,O,X,O
TJOSZIL,O,O,O,X,O,X,O
TJOSZLI,O,O,O,X,O,X,O
TJOZILS,O,O,O,O,X,O,X
TJOZISL,O,O,O,O,O,X,O
TJOZLIS,O,O,O,O,X,O,X
TJOZLSI,O,O,O,O,X,X,O
TJOZSIL,O,O,O,O,O,X,O
TJOZSLI,O,O,O,O,O,X,O
TSILJZO,O,O,O,O,O,X,O
TSILJOZ,O,O,O,X,O,X,O
TSILZJO,O,O,O,O,O,X,O
TSILZOJ,O,O,O,O,O,O,O
TSILOJZ,O,O,O,X,O,X,O
TSILOZJ,O,O,O,X,O,O,O
TSIJLZO,O,O,O,O,O,X,O
TSIJLOZ,O,O,O,X,O,X,O
TSIJZLO,O,O,O,O,O,X,O
TSIJZOL,O,O,O,O,O,X,O
TSIJOLZ,O,O,O,X,O,X,O
TSIJOZL,O,O,O,X,O,X,O
TSIZLJO,O,O,O,O,O,X,O
TSIZLOJ,O,O,O,O,O,O,O
TSIZJLO,O,O,O,O,O,X,O
TSIZJOL,O,O,O,O,O,X,O
TSIZOLJ,O,O,O,O,O,O,O
TSIZOJL,O,O,O,O,O,X,O
TSIOLJZ,O,O,O,X,O,X,O
TSIOLZJ,O,O,O,X,O,O,O
TSIOJLZ,O,O,O,X,O,X,O
TSIOJZL,O,O,O,X,O,X,O
TSIOZLJ,O,O,O,X,O,O,O
TSIOZJL,O,O,O,X,O,X,O
TSLIJZO,O,O,O,O,O,X,O
TSLIJOZ,O,O,O,X,O,X,O
TSLIZJO,O,O,O,O,O,X,O
TSLIZOJ,O,O,O,O,O,O,O
TSLIOJZ,O,O,O,X,O,X,O
TSLIOZJ,O,O,O,X,O,O,O
TSLJIZO,O,O,O,O,O,X,O
TSLJIOZ,O,O,O,X,O,X,O
TSLJZIO,O,O,O,O,O,X,O
TSLJZOI,O,O,O,O,O,X,O
TSLJOIZ,O,O,O,X,O,X,O
TSLJOZI,O,O,O,X,O,X,O
TSLZIJO,O,O,O,O,O,X,O
TSLZIOJ,O,O,O,O,O,O,O
TSLZJIO,O,O,O,O,O,X,O
TSLZJOI,O,O,O,O,O,X,O
TSLZOIJ,O,O,O,O,O,O,O
TSLZOJI,O,O,O,O,O,X,O
TSLOIJZ,O,O,O,X,O,X,O
TSLOIZJ,O,O,O,X,O,O,O
TSLOJIZ,O,O,O,X,O,X,O
TSLOJZI,O,O,O,X,O,X,O
TSLOZIJ,O,O,O,X,O,O,O
TSLOZJI,O,O,O,X,O,X,O
TSJILZO,O,O,O,O,O,X,O
TSJILOZ,O,O,O,X,O,X,O
TSJIZLO,O,O,O,O,O,X,O
TSJIZOL,O,O,O,O,O,X,O
TSJIOLZ,O,O,O,X,O,X,O
TSJIOZL,O,O,O,X,O,X,O
TSJLIZO,O,O,O,O,O,X,O
TSJLIOZ,O,O,O,X,O,X,O
TSJLZIO,O,O,O,O,O,X,O
TSJLZOI,O,O,O,O,O,X,O
TSJLOIZ,O,O,O,X,O,X,O
TSJLOZI,O,O,O,X,O,X,O
TSJZILO,O,O,O,O,O,X,O
TSJZIOL,O,O,O,O,O,X,O
TSJZLIO,O,O,O,O,O,X,O
TSJZLOI,O,O,O,O,O,X,O
TSJZOIL,O,O,O,O,O,X,O
TSJZOLI,O,O,O,O,O,X,O
TSJOILZ,O,O,O,X,O,X,O
TSJOIZL,O,O,O,X,O,X,O
TSJOLIZ,O,O,O,X,O,X,O
TSJOLZI,O,O,O,X,O,X,O
TSJOZIL,O,O,O,X,O,X,O
TSJOZLI,O,O,O,X,O,X,O
TSZILJO,O,O,O,O,O,X,O
TSZILOJ,O,O,O,O,O,O,O
TSZIJLO,O,O,O,O,O,X,O
TSZIJOL,O,O,O,O,O,X,O
TSZIOLJ,O,O,O,O,O,O,O
TSZIOJL,O,O,O,O,O,X,O
TSZLIJO,O,O,O,O,O,X,O
TSZLIOJ,O,O,O,O,O,O,O
TSZLJIO,O,O,O,O,O,X,O
TSZLJOI,O,O,O,O,O,X,O
TSZLOIJ,O,O,O,O,O,O,O
TSZLOJI,O,O,O,O,O,X,O
TSZJILO,O,O,O,O,O,X,O
TSZJIOL,O,O,O,O,O,X,O
TSZJLIO,O,O,O,O,O,X,O
TSZJLOI,O,O,O,O,O,X,O
TSZJOIL,O,O,O,O,O,X,O
TSZJOLI,O,O,O,O,O,X,O
TSZOILJ,O,O,O,O,O,O,O
TSZOIJL,O,O,O,O,O,X,O
TSZOLIJ,O,O,O,O,O,O,O
TSZOLJI,O,O,O,O,O,X,O
TSZOJIL,O,O,O,O,O,X,O
TSZOJLI,O,O,O,O,O,X,O
TSOILJZ,O,O,O,X,O,X,O
TSOILZJ,O,O,O,X,O,O,O
TSOIJLZ,O,O,O,X,O,X,O
TSOIJZL,O,O,O,X,O,X,O
TSOIZLJ,O,O,O,X,O,O,O
TSOIZJL,O,O,O,X,O,X,O
TSOLIJZ,O,O,O,X,O,X,O
TSOLIZJ,O,O,O,X,O,O,O
TSOLJIZ,O,O,O,X,O,X,O
TSOLJZI,O,O,O,X,O,X,O
TSOLZIJ,O,O,O,X,O,O,O
TSOLZJI,O,O,O,X,O,X,O
TSOJILZ,O,O,O,X,O,X,O
TSOJIZL,O,O,O,X,O,X,O
TSOJLIZ,O,O,O,X,O,X,O
TSOJLZI,O,O,O,X,O,X,O
TSOJZIL,O,O,O,X,O,X,O
TSOJZLI,O,O,O,X,O,X,O
TSOZILJ,O,O,O,X,O,O,O
TSOZIJL,O,O,O,X,O,X,O
TSOZLIJ,O,O,O,X,O,O,O
TSOZLJI,O,O,O,X,O,X,O
TSOZJIL,O,O,O,X,O,X,O
TSOZJLI,O,O,O,X,O,X,O
TZILJSO,O,O,O,O,X,X,X
TZILJOS,O,O,O,O,X,O,X
TZILSJO,O,O,O,O,X,X,X
TZILSOJ,O,O,O,O,X,O,X
TZILOJS,O,O,O,O,X,O,X
TZILOSJ,O,O,O,O,X,O,X
TZIJLSO,O,O,O,O,X,X,X
TZIJLOS,O,O,O,O,X,O,X
TZIJSLO,O,O,O,O,O,X,O
TZIJSOL,O,O,O,O,O,X,O
TZIJOLS,O,O,O,O,X,O,X
TZIJOSL,O,O,O,O,O,X,O
TZISLJO,O,O,O,O,O,X,O
TZISLOJ,O,O,O,O,O,O,O
TZISJLO,O,O,O,O,O,X,O
TZISJOL,O,O,O,O,O,X,O
TZISOLJ,O,O,O,O,O,O,O
TZISOJL,O,O,O,O,O,X,O
TZIOLJS,O,O,O,O,X,O,X
TZIOLSJ,O,O,O,O,X,O,X
TZIOJLS,O,O,O,O,X,O,X
TZIOJSL,O,O,O,O,O,X,O
TZIOSLJ,O,O,O,O,O,O,O
TZIOSJL,O,O,O,O,O,X,O
TZLIJSO,O,O,O,O,X,X,X
TZLIJOS,O,O,O,O,X,O,X
TZLISJO,O,O,O,O,X,X,X
TZLISOJ,O,O,O,O,X,O,X
TZLIOJS,O,O,O,O,X,O,X
TZLIOSJ,O,O,O,O,X,O,X
TZLJISO,O,O,O,O,X,X,X
TZLJIOS,O,O,O,O,X,O,X
TZLJSIO,O,O,O,O,X,X,O
TZLJSOI,O,O,O,O,X,X,O
TZLJOIS,O,O,O,O,X,O,X
TZLJOSI,O,O,O,O,X,X,O
TZLSIJO,O,O,O,O,X,X,O
TZLSIOJ,O,O,O,O,X,O,O
TZLSJIO,O,O,O,O,X,X,O
TZLSJOI,O,O,O,O,X,X,O
TZLSOIJ,O,O,O,O,X,O,O
TZLSOJI,O,O,O,O,X,X,O
TZLOIJS,O,O,O,O,X,O,X
TZLOISJ,O,O,O,O,X,O,X
TZLOJIS,O,O,O,O,X,O,X
TZLOJSI,O,O,O,O,X,X,O
TZLOSIJ,O,O,O,O,X,O,O
TZLOSJI,O,O,O,O,X,X,O
TZJILSO,O,O,O,O,X,X,X
TZJILOS,O,O,O,O,X,O,X
TZJISLO,O,O,O,O,O,X,O
TZJISOL,O,O,O,O,O,X,O
TZJIOLS,O,O,O,O,X,O,X
TZJIOSL,O,O,O,O,O,X,O
TZJLISO,O,O,O,O,X,X,X
TZJLIOS,O,O,O,O,X,O,X
TZJLSIO,O,O,O,O,X,X,O
TZJLSOI,O,O,O,O,X,X,O
TZJLOIS,O,O,O,O,X,O,X
TZJLOSI,O,O,O,O,X,X,O
TZJSILO,O,O,O,O,O,X,O
TZJSIOL,O,O,O,O,O,X,O
TZJSLIO,O,O,O,O,O,X,O
TZJSLOI,O,O,O,O,O,X,O
TZJSOIL,O,O,O,O,O,X,O
TZJSOLI,O,O,O,O,O,X,O
TZJOILS,O,O,O,O,X,O,X
TZJOISL,O,O,O,O,O,X,O
TZJOLIS,O,O,O,O,X,O,X
TZJOLSI,O,O,O,O,X,X,O
TZJOSIL,O,O,O,O,O,X,O
TZJOSLI,O,O,O,O,O,X,O
TZSILJO,O,O,O,O,O,X,O
TZSILOJ,O,O,O,O,O,O,O
TZSIJLO,O,O,O,O,O,X,O
TZSIJOL,O,O,O,O,O,X,O
TZSIOLJ,O,O,O,O,O,O,O
TZSIOJL,O,O,O,O,O,X,O
TZSLIJO,O,O,O,O,O,X,O
TZSLIOJ,O,O,O,O,O,O,O
TZSLJIO,O,O,O,O,O,X,O
TZSLJOI,O,O,O,O,O,X,O
TZSLOIJ,O,O,O,O,O,O,O
TZSLOJI,O,O,O,O,O,X,O
TZSJILO,O,O,O,O,O,X,O
TZSJIOL,O,O,O,O,O,X,O
TZSJLIO,O,O,O,O,O,X,O
TZSJLOI,O,O,O,O,O,X,O
TZSJOIL,O,O,O,O,O,X,O
TZSJOLI,O,O,O,O,O,X,O
TZSOILJ,O,O,O,O,O,O,O
TZSOIJL,O,O,O,O,O,X,O
TZSOLIJ,O,O,O,O,O,O,O
TZSOLJI,O,O,O,O,O,X,O
TZSOJIL,O,O,O,O,O,X,O
TZSOJLI,O,O,O,O,O,X,O
TZOILJS,O,O,O,O,X,O,X
TZOILSJ,O,O,O,O,X,O,X
TZOIJLS,O,O,O,O,X,O,X
TZOIJSL,O,O,O,O,O,X,O
TZOISLJ,O,O,O,O,O,O,O
