sequence,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeZ/IvhFufBcgBzcBC?eBXjBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeZ/IvhFCbBzcBuiBc?jBXgBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8Jex6IvhFCdBTeBOkBX?gB0iBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeZ/IvhFWgBCdBTeB0?iBXgBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeZ/IvhFCbBWiBTeBX?gB0iBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeT7IvhFCdB0fBxiBO?kBXjBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JecAJvhFWiBxdBTfBX?jBikBFqB
ISOJZTL,O,O,X,X,X,X,O
ISOJZLT,O,O,O,X,O,X,X
ISOZTLJ,O,O,O,X,X,X,O
ISOZTJL,O,O,X,X,X,X,O
ISOZLTJ,O,O,O,X,X,X,X
ISOZLJT,O,O,O,X,O,X,X
ISOZJTL,O,O,X,X,X,X,O
ISOZJLT,O,O,O,X,O,X,X
IZTLJSO,O,O,O,O,X,X,X
IZTLJOS,O,O,O,O,X,O,X
IZTLSJO,O,O,O,O,X,X,X
IZTLSOJ,O,O,O,O,X,O,X
IZTLOJS,O,O,O,O,X,O,X
IZTLOSJ,O,O,O,O,X,O,X
IZTJLSO,O,O,O,O,X,X,X
IZTJLOS,O,O,O,O,X,O,X
IZTJSLO,O,O,O,O,O,X,O
IZTJSOL,O,O,O,O,O,X,O
IZTJOLS,O,O,O,O,X,O,X
IZTJOSL,O,O,O,O,O,X,O
IZTSLJO,O,O,O,O,O,X,O
IZTSLOJ,O,O,O,O,O,O,O
IZTSJLO,O,O,O,O,O,X,O
IZTSJOL,O,O,O,O,O,X,O
IZTSOLJ,O,O,O,O,O,O,O
IZTSOJL,O,O,O,O,O,X,O
IZTOLJS,O,O,O,O,X,O,X
IZTOLSJ,O,O,O,O,X,O,X
IZTOJLS,O,O,O,O,X,O,X
IZTOJSL,O,O,O,O,O,X,O
IZTOSLJ,O,O,O,O,O,O,O
IZTOSJL,O,O,O,O,O,X,O
IZLTJSO,X,O,O,O,X,X,X
IZLTJOS,X,O,O,O,X,O,X
IZLTSJO,X,O,O,O,X,X,X
IZLTSOJ,X,O,O,O,X,O,X
IZLTOJS,X,O,O,O,X,O,X
IZLTOSJ,X,O,O,O,X,O,X
IZLJTSO,X,O,X,O,X,X,X
IZLJTOS,X,O,O,O,X,X,X
IZLJSTO,O,O,O,X,X,X,X
IZLJSOT,O,O,O,O,X,X,X
IZLJOTS,X,O,O,O,X,X,X
IZLJOST,O,O,O,O,X,X,X
IZLSTJO,O,O,X,O,X,X,X
IZLSTOJ,O,O,O,O,X,X,X
IZLSJTO,O,O,O,X,X,X,X
IZLSJOT,O,O,O,O,X,X,X
IZLSOTJ,O,O,O,O,X,X,X
IZLSOJT,O,O,O,O,X,X,X
IZLOTJS,X,O,O,O,X,O,X
IZLOTSJ,X,O,O,O,X,O,X
IZLOJTS,X,O,O,O,X,X,X
IZLOJST,O,O,O,O,X,X,X
IZLOSTJ,O,O,O,O,X,X,X
IZLOSJT,O,O,O,O,X,X,X
IZJTLSO,X,O,X,O,X,X,X
IZJTLOS,X,O,O,O,X,X,X
IZJTSLO,O,O,X,O,O,X,O
IZJTSOL,O,O,X,O,O,X,O
IZJTOLS,X,O,O,O,X,X,X
IZJTOSL,O,O,X,O,O,X,O
IZJLTSO,X,O,X,O,X,X,X
IZJLTOS,X,O,O,O,X,X,X
IZJLSTO,O,O,O,X,X,X,X
IZJLSOT,O,O,O,O,X,X,X
IZJLOTS,X,O,O,O,X,X,X
IZJLOST,O,O,O,O,X,X,X
IZJSTLO,O,O,O,X,X,X,O
IZJSTOL,O,O,O,X,X,X,O
IZJSLTO,O,O,O,X,X,X,O
IZJSLOT,O,O,O,O,O,X,X
IZJSOTL,O,O,O,X,X,X,O
IZJSOLT,O,O,O,O,O,X,X
IZJOTLS,X,O,O,O,X,X,X
IZJOTSL,O,O,X,O,O,X,X
IZJOLTS,X,O,O,O,X,X,X
IZJOLST,O,O,O,O,X,X,X
IZJOSTL,O,O,O,X,X,X,X
IZJOSLT,O,O,O,O,O,X,X
IZSTLJO,O,O,X,O,X,X,O
IZSTLOJ,O,O,O,O,X,X,O
IZSTJLO,O,O,X,O,X,X,O
IZSTJOL,O,O,X,O,X,X,O
IZSTOLJ,O,O,O,O,X,X,O
IZSTOJL,O,O,X,O,X,X,O
IZSLTJO,O,O,X,O,X,X,O
IZSLTOJ,O,O,O,O,X,X,O
IZSLJTO,O,O,O,X,X,X,O
IZSLJOT,O,O,O,O,O,X,X
IZSLOTJ,O,O,O,O,X,X,X
IZSLOJT,O,O,O,O,O,X,X
IZSJTLO,O,O,O,X,X,X,O
IZSJTOL,O,O,O,X,X,X,O
IZSJLTO,O,O,O,X,X,X,O
IZSJLOT,O,O,O,O,O,X,X
IZSJOTL,O,O,O,X,X,X,O
IZSJOLT,O,O,O,O,O,X,X
IZSOTLJ,O,O,O,O,X,X,O
IZSOTJL,O,O,X,O,X,X,O
IZSOLTJ,O,O,O,O,X,X,X
IZSOLJT,O,O,O,O,O,X,X
IZSOJTL,O,O,O,X,X,X,O
IZSOJLT,O,O,O,O,O,X,X
IZOTLJS,O,O,O,O,X,O,X
IZOTLSJ,O,O,O,O,X,O,X
IZOTJLS,O,O,O,O,X,O,X
IZOTJSL,O,O,O,O,O,X,X
IZOTSLJ,O,O,O,O,O,O,X
IZOTSJL,O,O,O,O,O,X,X
IZOLTJS,X,O,O,O,X,O,X
IZOLTSJ,X,O,O,O,X,O,X
IZOLJTS,X,O,O,O,X,X,X
IZOLJST,O,O,O,O,X,X,X
IZOLSTJ,O,O,O,O,X,X,X
IZOLSJT,O,O,O,O,X,X,X
IZOJTLS,X,O,O,O,X,X,X
IZOJTSL,O,O,X,O,O,X,X
IZOJLTS,X,O,O,O,X,X,X
IZOJLST,O,O,O,O,X,X,X
IZOJSTL,O,O,O,X,X,X,X
IZOJSLT,O,O,O,O,O,X,X
IZOSTLJ,O,O,O,O,X,X,X
IZOSTJL,O,O,X,O,X,X,X
IZOSLTJ,O,O,O,O,X,X,X
IZOSLJT,O,O,O,O,O,X,X
IZOSJTL,O,O,O,X,X,X,X
IZOSJLT,O,O,O,O,O,X,X
IOTLJSZ,X,X,O,X,O,X,X
IOTLJZS,X,X,O,O,X,O,X
IOTLSJZ,O,O,O,X,O,X,X
IOTLSZJ,O,O,O,X,O,O,X
IOTLZJS,O,O,X,O,X,O,X
IOTLZSJ,O,O,X,O,X,O,X
IOTJLSZ,X,X,O,X,O,X,X
IOTJLZS,X,X,O,O,X,O,X
IOTJSLZ,O,O,O,X,O,X,X
IOTJSZL,O,O,O,X,O,X,X
IOTJZLS,O,O,O,O,X,O,X
IOTJZSL,O,O,X,O,O,X,X
IOTSLJZ,O,O,O,X,O,X,X
IOTSLZJ,O,O,O,X,O,O,X
IOTSJLZ,O,O,O,X,O,X,X
IOTSJZL,O,O,O,X,O,X,X
IOTSZLJ,O,O,O,X,O,O,X
IOTSZJL,O,O,X,X,O,X,X
IOTZLJS,O,O,X,O,X,O,X
IOTZLSJ,O,O,X,O,X,O,X
IOTZJLS,O,O,X,O,X,O,X
IOTZJSL,O,O,X,O,O,X,X
IOTZSLJ,O,O,X,O,O,O,X
IOTZSJL,O,O,X,O,O,X,X
IOLTJSZ,X,X,O,X,O,X,X
IOLTJZS,X,X,O,O,X,O,X
IOLTSJZ,O,O,O,X,O,X,X
IOLTSZJ,O,O,O,X,O,O,X
IOLTZJS,O,O,X,O,X,O,X
IOLTZSJ,O,O,X,O,X,O,X
IOLJTSZ,X,X,O,X,O,X,X
IOLJTZS,X,X,O,X,X,O,X
IOLJSTZ,X,X,O,X,O,X,X
IOLJSZT,X,X,O,X,O,X,X
IOLJZTS,X,X,O,O,X,X,X
IOLJZST,X,X,O,O,X,X,X
IOLSTJZ,O,X,O,X,O,X,X
IOLSTZJ,O,O,O,X,X,O,X
IOLSJTZ,O,X,O,X,O,X,X
IOLSJZT,O,O,O,X,O,X,X
IOLSZTJ,O,O,O,X,X,X,X
IOLSZJT,O,O,O,X,O,X,X
IOLZTJS,X,O,X,O,X,O,X
IOLZTSJ,X,O,X,O,X,O,X
IOLZJTS,X,O,X,O,X,X,X
IOLZJST,O,O,X,O,X,X,X
IOLZSTJ,O,O,X,O,X,X,X
IOLZSJT,O,O,X,O,X,X,X
IOJTLSZ,X,X,O,X,O,X,X
IOJTLZS,X,X,O,X,X,O,X
IOJTSLZ,O,O,X,X,O,X,X
IOJTSZL,O,O,X,X,O,X,X
IOJTZLS,O,O,X,X,X,O,X
IOJTZSL,O,O,X,X,O,X,X
IOJLTSZ,X,X,O,X,O,X,X
IOJLTZS,X,X,O,X,X,O,X
IOJLSTZ,X,X,O,X,O,X,X
IOJLSZT,X,X,O,X,O,X,X
IOJLZTS,X,X,O,O,X,X,X
IOJLZST,X,X,O,O,X,X,X
IOJSTLZ,O,X,O,X,O,X,X
IOJSTZL,O,X,X,X,O,X,X
IOJSLTZ,O,X,O,X,O,X,X
IOJSLZT,O,O,O,X,O,X,X
IOJSZTL,O,O,X,X,X,X,X
IOJSZLT,O,O,O,X,O,X,X
IOJZTLS,X,O,X,O,X,X,X
IOJZTSL,O,O,X,X,O,X,X
IOJZLTS,X,O,O,O,X,X,X
IOJZLST,O,O,O,O,X,X,X
IOJZSTL,O,O,X,X,X,X,X
IOJZSLT,O,O,X,O,O,X,X
IOSTLJZ,O,O,O,X,O,X,X
IOSTLZJ,O,O,O,X,O,O,X
IOSTJLZ,O,O,X,X,O,X,X
IOSTJZL,O,O,X,X,O,X,X
IOSTZLJ,O,O,X,X,O,O,X
IOSTZJL,O,O,X,X,O,X,X
IOSLTJZ,O,X,O,X,O,X,X
IOSLTZJ,O,O,O,X,X,O,X
IOSLJTZ,O,X,O,X,O,X,X
IOSLJZT,O,O,O,X,O,X,X
IOSLZTJ,O,O,O,X,X,X,X
IOSLZJT,O,O,O,X,O,X,X
IOSJTLZ,O,X,O,X,O,X,X
IOSJTZL,O,X,X,X,O,X,X
IOSJLTZ,O,X,O,X,O,X,X
IOSJLZT,O,O,O,X,O,X,X
IOSJZTL,O,O,X,X,X,X,X
IOSJZLT,O,O,O,X,O,X,X
IOSZTLJ,O,O,X,X,X,X,X
IOSZTJL,O,O,X,X,X,X,X
IOSZLTJ,O,O,O,X,X,X,X
IOSZLJT,O,O,O,X,O,X,X
IOSZJTL,O,O,X,X,X,X,X
IOSZJLT,O,O,X,X,O,X,X
IOZTLJS,O,O,X,O,X,O,X
IOZTLSJ,O,O,X,O,X,O,X
IOZTJLS,O,O,X,O,X,O,X
IOZTJSL,O,O,X,O,O,X,X
IOZTSLJ,O,O,X,O,O,O,X
IOZTSJL,O,O,X,O,O,X,X
IOZLTJS,X,O,X,O,X,O,X
IOZLTSJ,X,O,X,O,X,O,X
IOZLJTS,X,O,X,O,X,X,X
IOZLJST,O,O,X,O,X,X,X
IOZLSTJ,O,O,X,O,X,X,X
IOZLSJT,O,O,X,O,X,X,X
IOZJTLS,X,O,X,O,X,X,X
IOZJTSL,O,O,X,O,O,X,X
IOZJLTS,X,O,X,O,X,X,X
IOZJLST,O,O,X,O,X,X,X
IOZJSTL,O,O,X,X,X,X,X
IOZJSLT,O,O,X,O,O,X,X
IOZSTLJ,O,O,X,O,X,X,X
IOZSTJL,O,O,X,O,X,X,X
IOZSLTJ,O,O,X,O,X,X,X
IOZSLJT,O,O,X,O,O,X,X
IOZSJTL,O,O,X,X,X,X,X
IOZSJLT,O,O,X,O,O,X,X
LTIJSZO,X,X,O,O,O,X,X
LTIJSOZ,X,X,O,X,O,X,X
LTIJZSO,X,X,O,O,X,X,X
LTIJZOS,X,X,O,O,X,O,X
LTIJOSZ,X,X,O,X,O,X,X
LTIJOZS,X,X,O,O,X,O,X
LTISJZO,O,O,O,O,O,X,X
LTISJOZ,O,O,O,X,O,X,X
LTISZJO,O,O,O,O,O,X,X
LTISZOJ,O,O,O,O,O,O,X
LTISOJZ,O,O,O,X,O,X,X
LTISOZJ,O,O,O,X,O,O,X
LTIZJSO,O,O,O,O,X,X,X
LTIZJOS,O,O,O,O,X,O,X
LTIZSJO,O,O,O,O,X,X,X
LTIZSOJ,O,O,O,O,X,O,X
LTIZOJS,O,O,O,O,X,O,X
LTIZOSJ,O,O,O,O,X,O,X
LTIOJSZ,X,X,O,X,O,X,X
LTIOJZS,X,X,O,O,X,O,X
LTIOSJZ,O,O,O,X,O,X,X
LTIOSZJ,O,O,O,X,O,O,X
LTIOZJS,O,O,X,O,X,O,X
LTIOZSJ,O,O,X,O,X,O,X
LTJISZO,X,X,O,O,O,X,X
LTJISOZ,X,X,O,X,O,X,X
LTJIZSO,X,X,O,O,X,X,X
LTJIZOS,X,X,O,O,X,O,X
LTJIOSZ,X,X,O,X,O,X,X
LTJIOZS,X,X,O,O,X,O,X
LTJSIZO,X,X,O,O,O,X,O
LTJSIOZ,X,X,O,X,O,X,O
LTJSZIO,X,X,O,O,O,X,O
LTJSZOI,X,X,O,O,O,X,O
LTJSOIZ,X,X,O,X,O,X,O
LTJSOZI,X,X,O,X,O,X,O
LTJZISO,X,X,O,O,X,X,X
LTJZIOS,X,X,O,O,X,O,X
LTJZSIO,X,X,O,O,X,X,O
LTJZSOI,X,X,O,O,X,X,O
LTJZOIS,X,X,O,O,X,O,X
LTJZOSI,X,X,O,O,X,X,O
LTJOISZ,X,X,O,X,O,X,X
LTJOIZS,X,X,O,O,X,O,X
LTJOSIZ,X,X,O,X,O,X,O
LTJOSZI,X,X,O,X,O,X,O
LTJOZIS,X,X,O,O,X,O,X
LTJOZSI,X,X,O,O,X,X,O
LTSIJZO,O,O,O,O,O,X,O
LTSIJOZ,O,O,O,X,O,X,O
LTSIZJO,O,O,O,O,O,X,O
LTSIZOJ,O,O,O,O,O,O,O
LTSIOJZ,O,O,O,X,O,X,O
LTSIOZJ,O,O,O,X,O,O,O
LTSJIZO,O,O,O,O,O,X,O
LTSJIOZ,O,O,O,X,O,X,O
LTSJZIO,O,O,O,O,O,X,O
LTSJZOI,O,O,O,O,O,X,O
LTSJOIZ,O,O,O,X,O,X,O
LTSJOZI,O,O,O,X,O,X,O
LTSZIJO,O,O,O,O,O,X,O
LTSZIOJ,O,O,O,O,O,O,O
LTSZJIO,O,O,O,O,O,X,O
LTSZJOI,O,O,O,O,O,X,O
LTSZOIJ,O,O,O,O,O,O,O
LTSZOJI,O,O,O,O,O,X,O
LTSOIJZ,O,O,O,X,O,X,O
LTSOIZJ,O,O,O,X,O,O,O
LTSOJIZ,O,O,O,X,O,X,O
LTSOJZI,O,O,O,X,O,X,O
LTSOZIJ,O,O,O,X,O,O,O
LTSOZJI,O,O,O,X,O,X,O
LTZIJSO,O,O,O,O,X,X,X
LTZIJOS,O,O,O,O,X,O,X
LTZISJO,O,O,O,O,X,X,X
LTZISOJ,O,O,O,O,X,O,X
LTZIOJS,O,O,O,O,X,O,X
LTZIOSJ,O,O,O,O,X,O,X
LTZJISO,O,O,O,O,X,X,X
LTZJIOS,O,O,O,O,X,O,X
LTZJSIO,O,O,O,O,X,X,O
LTZJSOI,O,O,O,O,X,X,O
LTZJOIS,O,O,O,O,X,O,X
LTZJOSI,O,O,O,O,X,X,O
LTZSIJO,O,O,O,O,X,X,O
LTZSIOJ,O,O,O,O,X,O,O
LTZSJIO,O,O,O,O,X,X,O
LTZSJOI,O,O,O,O,X,X,O
LTZSOIJ,O,O,O,O,X,O,O
LTZSOJI,O,O,O,O,X,X,O
LTZOIJS,O,O,O,O,X,O,X
LTZOISJ,O,O,O,O,X,O,X
LTZOJIS,O,O,O,O,X,O,X
LTZOJSI,O,O,O,O,X,X,O
LTZOSIJ,O,O,O,O,X,O,O
LTZOSJI,O,O,O,O,X,X,O
LTOIJSZ,X,X,O,X,O,X,X
LTOIJZS,X,X,O,O,X,O,X
LTOISJZ,O,O,O,X,O,X,X
LTOISZJ,O,O,O,X,O,O,X
LTOIZJS,O,O,X,O,X,O,X
LTOIZSJ,O,O,X,O,X,O,X
LTOJISZ,X,X,O,X,O,X,X
LTOJIZS,X,X,O,O,X,O,X
LTOJSIZ,X,X,O,X,O,X,O
LTOJSZI,X,X,O,X,O,X,O
LTOJZIS,X,X,O,O,X,O,X
LTOJZSI,X,X,O,O,X,X,O
LTOSIJZ,O,O,O,X,O,X,O
LTOSIZJ,O,O,O,X,O,O,O
LTOSJIZ,O,O,O,X,O,X,O
LTOSJZI,O,O,O,X,O,X,O
LTOSZIJ,O,O,O,X,O,O,O
LTOSZJI,O,O,O,X,O,X,O
LTOZIJS,O,O,O,O,X,O,X
LTOZISJ,O,O,O,O,X,O,X
LTOZJIS,O,O,O,O,X,O,X
LTOZJSI,O,O,O,O,X,X,O
LTOZSIJ,O,O,O,O,X,O,O
LTOZSJI,O,O,O,O,X,X,O
LITJSZO,X,X,O,O,O,X,X
LITJSOZ,X,X,O,X,O,X,X
LITJZSO,X,X,O,O,X,X,X
LITJZOS,X,X,O,O,X,O,X
LITJOSZ,X,X,O,X,O,X,X
LITJOZS,X,X,O,O,X,O,X
LITSJZO,O,O,O,O,O,X,X
LITSJOZ,O,O,O,X,O,X,X
LITSZJO,O,O,O,O,O,X,X
LITSZOJ,O,O,O,O,O,O,X
LITSOJZ,O,O,O,X,O,X,X
LITSOZJ,O,O,O,X,O,O,X
LITZJSO,O,O,O,O,X,X,X
LITZJOS,O,O,O,O,X,O,X
LITZSJO,O,O,O,O,X,X,X
LITZSOJ,O,O,O,O,X,O,X
LITZOJS,O,O,O,O,X,O,X
LITZOSJ,O,O,O,O,X,O,X
LITOJSZ,X,X,O,X,O,X,X
LITOJZS,X,X,O,O,X,O,X
LITOSJZ,O,O,O,X,O,X,X
LITOSZJ,O,O,O,X,O,O,X
LITOZJS,O,O,X,O,X,O,X
LITOZSJ,O,O,X,O,X,O,X
LIJTSZO,X,X,X,O,O,X,X
LIJTSOZ,X,X,X,X,O,X,X
LIJTZSO,X,X,X,O,X,X,X
LIJTZOS,X,X,O,O,X,O,X
LIJTOSZ,X,X,O,X,O,X,X
LIJTOZS,X,X,O,O,X,O,X
LIJSTZO,X,X,O,X,X,X,X
LIJSTOZ,X,X,O,X,O,X,X
LIJSZTO,X,X,O,X,X,X,X
LIJSZOT,X,X,O,O,O,X,X
LIJSOTZ,X,X,O,X,O,X,X
LIJSOZT,X,X,O,X,O,X,X
LIJZTSO,X,X,X,O,X,X,X
LIJZTOS,X,X,O,O,X,X,X
LIJZSTO,X,X,O,X,X,X,X
LIJZSOT,X,X,O,O,X,X,X
LIJZOTS,X,X,O,O,X,X,X
LIJZOST,X,X,O,O,X,X,X
LIJOTSZ,X,X,O,X,O,X,X
LIJOTZS,X,X,O,X,X,O,X
LIJOSTZ,X,X,O,X,O,X,X
LIJOSZT,X,X,O,X,O,X,X
LIJOZTS,X,X,O,O,X,X,X
LIJOZST,X,X,O,O,X,X,X
LISTJZO,O,X,X,O,X,X,X
LISTJOZ,O,X,X,X,O,X,X
LISTZJO,O,O,X,O,X,X,X
LISTZOJ,O,O,O,O,X,O,X
LISTOJZ,O,X,O,X,O,X,X
LISTOZJ,O,O,O,X,X,O,X
LISJTZO,O,X,O,X,X,X,X
LISJTOZ,O,X,O,X,O,X,X
LISJZTO,O,O,O,X,X,X,X
LISJZOT,O,O,O,O,O,X,X
LISJOTZ,O,X,O,X,O,X,X
LISJOZT,O,O,O,X,O,X,X
LISZTJO,O,O,X,O,X,X,X
LISZTOJ,O,O,O,O,X,X,X
LISZJTO,O,O,O,X,X,X,X
LISZJOT,O,O,O,O,O,X,X
LISZOTJ,O,O,O,O,X,X,X
LISZOJT,O,O,O,O,O,X,X
LISOTJZ,O,X,O,X,O,X,X
LISOTZJ,O,O,O,X,X,O,X
LISOJTZ,O,X,O,X,O,X,X
LISOJZT,O,O,O,X,O,X,X
LISOZTJ,O,O,O,X,X,X,X
LISOZJT,O,O,O,X,O,X,X
LIZTJSO,X,O,O,O,X,X,X
LIZTJOS,X,O,O,O,X,O,X
LIZTSJO,X,O,O,O,X,X,X
LIZTSOJ,X,O,O,O,X,O,X
LIZTOJS,X,O,O,O,X,O,X
LIZTOSJ,X,O,O,O,X,O,X
LIZJTSO,X,O,X,O,X,X,X
LIZJTOS,X,O,O,O,X,X,X
LIZJSTO,O,O,O,X,X,X,X
LIZJSOT,O,O,O,O,X,X,X
LIZJOTS,X,O,O,O,X,X,X
LIZJOST,O,O,O,O,X,X,X
LIZSTJO,O,O,X,O,X,X,X
LIZSTOJ,O,O,O,O,X,X,X
LIZSJTO,O,O,O,X,X,X,X
LIZSJOT,O,O,O,O,X,X,X
LIZSOTJ,O,O,O,O,X,X,X
LIZSOJT,O,O,O,O,X,X,X
LIZOTJS,X,O,O,O,X,O,X
LIZOTSJ,X,O,O,O,X,O,X
LIZOJTS,X,O,O,O,X,X,X
LIZOJST,O,O,O,O,X,X,X
LIZOSTJ,O,O,O,O,X,X,X
LIZOSJT,O,O,O,O,X,X,X
LIOTJSZ,X,X,O,X,O,X,X
LIOTJZS,X,X,O,O,X,O,X
LIOTSJZ,O,O,O,X,O,X,X
LIOTSZJ,O,O,O,X,O,O,X
LIOTZJS,O,O,X,O,X,O,X
LIOTZSJ,O,O,X,O,X,O,X
LIOJTSZ,X,X,O,X,O,X,X
LIOJTZS,X,X,O,X,X,O,X
LIOJSTZ,X,X,O,X,O,X,X
LIOJSZT,X,X,O,X,O,X,X
LIOJZTS,X,X,O,O,X,X,X
LIOJZST,X,X,O,O,X,X,X
LIOSTJZ,O,X,O,X,O,X,X
LIOSTZJ,O,O,O,X,X,O,X
LIOSJTZ,O,X,O,X,O,X,X
LIOSJZT,O,O,O,X,O,X,X
LIOSZTJ,O,O,O,X,X,X,X
LIOSZJT,O,O,O,X,O,X,X
LIOZTJS,X,O,X,O,X,O,X
LIOZTSJ,X,O,X,O,X,O,X
LIOZJTS,X,O,X,O,X,X,X
LIOZJST,O,O,X,O,X,X,X
LIOZSTJ,O,O,X,O,X,X,X
LIOZSJT,O,O,X,O,X,X,X
LJTISZO,X,X,O,O,O,X,X
LJTISOZ,X,X,O,X,O,X,X
LJTIZSO,X,X,O,O,X,X,X
LJTIZOS,X,X,O,O,X,O,X
LJTIOSZ,X,X,O,X,O,X,X
LJTIOZS,X,X,O,O,X,O,X
LJTSIZO,X,X,O,O,O,X,O
LJTSIOZ,X,X,O,X,O,X,O
LJTSZIO,X,X,O,O,O,X,O
LJTSZOI,X,X,O,O,O,X,O
LJTSOIZ,X,X,O,X,O,X,O
LJTSOZI,X,X,O,X,O,X,O
LJTZISO,X,X,O,O,X,X,X
LJTZIOS,X,X,O,O,X,O,X
LJTZSIO,X,X,O,O,X,X,O
LJTZSOI,X,X,O,O,X,X,O
LJTZOIS,X,X,O,O,X,O,X
LJTZOSI,X,X,O,O,X,X,O
LJTOISZ,X,X,O,X,O,X,X
LJTOIZS,X,X,O,O,X,O,X
LJTOSIZ,X,X,O,X,O,X,O
LJTOSZI,X,X,O,X,O,X,O
LJTOZIS,X,X,O,O,X,O,X
LJTOZSI,X,X,O,O,X,X,O
LJITSZO,X,X,X,O,O,X,X
LJITSOZ,X,X,X,X,O,X,X
LJITZSO,X,X,X,O,X,X,X
LJITZOS,X,X,O,O,X,O,X
LJITOSZ,X,X,O,X,O,X,X
LJITOZS,X,X,O,O,X,O,X
LJISTZO,X,X,O,X,X,X,X
LJISTOZ,X,X,O,X,O,X,X
LJISZTO,X,X,O,X,X,X,X
LJISZOT,X,X,O,O,O,X,X
LJISOTZ,X,X,O,X,O,X,X
LJISOZT,X,X,O,X,O,X,X
LJIZTSO,X,X,X,O,X,X,X
LJIZTOS,X,X,O,O,X,X,X
LJIZSTO,X,X,O,X,X,X,X
LJIZSOT,X,X,O,O,X,X,X
LJIZOTS,X,X,O,O,X,X,X
LJIZOST,X,X,O,O,X,X,X
LJIOTSZ,X,X,O,X,O,X,X
LJIOTZS,X,X,O,X,X,O,X
LJIOSTZ,X,X,O,X,O,X,X
LJIOSZT,X,X,O,X,O,X,X
LJIOZTS,X,X,O,O,X,X,X
LJIOZST,X,X,O,O,X,X,X
LJSTIZO,X,X,O,X,X,X,O
LJSTIOZ,X,X,O,X,O,X,O
LJSTZIO,X,X,O,X,X,X,O
LJSTZOI,X,X,O,X,X,X,O
LJSTOIZ,X,X,O,X,O,X,O
LJSTOZI,X,X,X,X,X,X,O
LJSITZO,X,X,O,X,X,X,O
LJSITOZ,X,X,O,X,O,X,O
LJSIZTO,X,X,O,X,X,X,O
LJSIZOT,X,X,O,O,O,X,X
LJSIOTZ,X,X,O,X,O,X,X
LJSIOZT,X,X,O,X,O,X,X
LJSZTIO,X,X,O,X,X,X,O
LJSZTOI,X,X,O,X,X,X,O
LJSZITO,X,X,O,X,X,X,O
LJSZIOT,X,X,O,O,O,X,X
LJSZOTI,X,X,O,X,X,X,X
LJSZOIT,X,X,O,O,O,X,X
LJSOTIZ,X,X,O,X,O,X,X
LJSOTZI,X,X,X,X,X,X,X
LJSOITZ,X,X,O,X,O,X,X
LJSOIZT,X,X,O,X,O,X,X
LJSOZTI,X,X,O,X,X,X,X
LJSOZIT,X,X,O,X,O,X,X
LJZTISO,X,X,O,O,X,X,X
LJZTIOS,X,X,O,O,X,X,X
LJZTSIO,X,X,O,O,X,X,O
LJZTSOI,X,X,O,O,X,X,O
LJZTOIS,X,X,O,O,X,X,X
LJZTOSI,X,X,O,O,X,X,O
LJZITSO,X,X,X,O,X,X,X
LJZITOS,X,X,O,O,X,X,X
LJZISTO,X,X,O,X,X,X,X
LJZISOT,X,X,O,O,X,X,X
LJZIOTS,X,X,O,O,X,X,X
LJZIOST,X,X,O,O,X,X,X
LJZSTIO,X,X,O,X,X,X,O
LJZSTOI,X,X,O,X,X,X,O
LJZSITO,X,X,O,X,X,X,O
LJZSIOT,X,X,O,O,X,X,X
LJZSOTI,X,X,O,X,X,X,X
LJZSOIT,X,X,O,O,X,X,X
LJZOTIS,X,X,O,O,X,X,X
LJZOTSI,X,X,O,O,X,X,X
LJZOITS,X,X,O,O,X,X,X
LJZOIST,X,X,O,O,X,X,X
LJZOSTI,X,X,O,X,X,X,X
LJZOSIT,X,X,O,O,X,X,X
LJOTISZ,X,X,O,X,O,X,X
LJOTIZS,X,X,O,X,X,O,X
LJOTSIZ,X,X,O,X,O,X,X
LJOTSZI,X,X,O,X,O,X,X
LJOTZIS,X,X,O,X,X,O,X
LJOTZSI,X,X,O,X,X,X,X
LJOITSZ,X,X,O,X,O,X,X
LJOITZS,X,X,O,X,X,O,X
LJOISTZ,X,X,O,X,O,X,X
LJOISZT,X,X,O,X,O,X,X
LJOIZTS,X,X,O,O,X,X,X
LJOIZST,X,X,O,O,X,X,X
LJOSTIZ,X,X,O,X,O,X,X
LJOSTZI,X,X,X,X,X,X,X
LJOSITZ,X,X,O,X,O,X,X
LJOSIZT,X,X,O,X,O,X,X
LJOSZTI,X,X,O,X,X,X,X
LJOSZIT,X,X,O,X,O,X,X
LJOZTIS,X,X,O,O,X,X,X
LJOZTSI,X,X,O,X,X,X,X
LJOZITS,X,X,O,O,X,X,X
LJOZIST,X,X,O,O,X,X,X
LJOZSTI,X,X,O,X,X,X,X
LJOZSIT,X,X,O,O,X,X,X
LSTIJZO,O,X,O,O,X,X,O
LSTIJOZ,O,X,O,X,O,X,O
LSTIZJO,O,O,O,O,X,X,O
LSTIZOJ,O,O,O,O,X,O,O
LSTIOJZ,O,X,O,X,O,X,O
LSTIOZJ,O,O,O,X,X,O,O
LSTJIZO,O,X,O,O,X,X,O
