sequence,v115@VhA8AeB8CeI8JeZEJvhFupBFmB8rBftB6tBTqB,v115@VhA8AeB8CeI8JeZEJvhFClBXmB8rBznB+tBVvB,v115@VhA8AeB8CeI8Je/FJvhFFhBxiBOpBCsBTtB0pB,v115@VhA8AeB8CeI8Je/FJvhFRhBCjB0kBlmBToBOpB,v115@VhA8AeB8CeI8JeZEJvhFFlBXmB8rBCoBWvBTtB,v115@VhA8AeB8CeI8JeZEJvhFqpB/qBFmB8rBznB+tB
TJOSILZ,X,X,X,X,X,X
TJOSIZL,X,X,X,X,X,X
TJOSLIZ,X,X,X,X,X,X
TJOSLZI,X,X,X,X,X,X
TJOSZIL,X,X,X,X,X,X
TJOSZLI,X,X,X,X,X,X
TJOZILS,X,O,X,X,X,X
TJOZISL,X,O,X,X,X,X
TJOZLIS,X,O,X,X,X,X
TJOZLSI,X,O,X,X,X,X
TJOZSIL,X,O,X,X,X,X
TJOZSLI,X,O,X,X,X,X
TSILJZO,X,X,X,X,X,X
TSILJOZ,X,X,X,X,X,X
TSILZJO,X,X,X,X,X,X
TSILZOJ,X,X,X,X,X,X
TSILOJZ,X,X,X,X,X,X
TSILOZJ,X,X,X,X,X,X
TSIJLZO,X,X,X,X,X,X
TSIJLOZ,X,X,X,X,X,X
TSIJZLO,X,X,X,X,X,X
TSIJZOL,X,X,X,X,X,X
TSIJOLZ,X,X,X,X,X,X
TSIJOZL,X,X,X,X,X,X
TSIZLJO,X,X,X,X,X,X
TSIZLOJ,X,X,X,X,X,X
TSIZJLO,X,X,X,X,X,X
TSIZJOL,X,X,X,X,X,X
TSIZOLJ,X,X,X,O,X,X
TSIZOJL,X,X,X,X,X,X
TSIOLJZ,X,X,X,X,X,X
TSIOLZJ,X,X,X,O,X,X
TSIOJLZ,X,X,X,X,X,X
TSIOJZL,X,X,X,X,X,X
TSIOZLJ,X,X,X,O,X,X
TSIOZJL,X,X,X,X,X,X
TSLIJZO,X,X,X,X,X,X
TSLIJOZ,X,X,X,X,X,X
TSLIZJO,X,X,X,X,X,X
TSLIZOJ,X,X,X,X,X,X
TSLIOJZ,X,X,X,X,X,X
TSLIOZJ,X,X,X,X,X,X
TSLJIZO,X,X,X,X,X,X
TSLJIOZ,X,X,X,X,X,X
TSLJZIO,X,X,X,X,X,X
TSLJZOI,X,X,X,X,X,X
TSLJOIZ,X,X,O,X,X,X
TSLJOZI,X,X,O,X,X,X
TSLZIJO,X,X,X,X,X,X
TSLZIOJ,X,X,X,X,X,X
TSLZJIO,X,X,X,X,X,X
TSLZJOI,X,X,X,X,X,X
TSLZOIJ,X,X,X,X,X,X
TSLZOJI,X,X,X,X,X,X
TSLOIJZ,X,X,O,X,X,X
TSLOIZJ,X,X,X,X,X,X
TSLOJIZ,X,X,O,X,X,X
TSLOJZI,X,X,O,X,X,X
TSLOZIJ,X,X,X,X,X,X
TSLOZJI,X,X,X,X,X,X
TSJILZO,X,X,X,X,X,X
TSJILOZ,X,X,X,X,X,X
TSJIZLO,X,X,X,X,X,X
TSJIZOL,X,X,X,X,X,X
TSJIOLZ,X,X,X,X,X,X
TSJIOZL,X,X,X,X,X,X
TSJLIZO,X,X,X,X,X,X
TSJLIOZ,X,X,X,X,X,X
TSJLZIO,X,X,X,X,X,X
TSJLZOI,X,X,X,X,X,X
TSJLOIZ,X,X,O,X,X,X
TSJLOZI,X,X,O,X,X,X
TSJZILO,X,X,X,X,X,X
TSJZIOL,X,X,X,X,X,X
TSJZLIO,X,X,X,X,X,X
TSJZLOI,X,X,X,X,X,X
TSJZOIL,X,X,X,X,X,X
TSJZOLI,X,X,X,X,X,X
TSJOILZ,X,X,X,X,X,X
TSJOIZL,X,X,X,X,X,X
TSJOLIZ,X,X,X,X,X,X
TSJOLZI,X,X,X,X,X,X
TSJOZIL,X,X,X,X,X,X
TSJOZLI,X,X,X,X,X,X
TSZILJO,X,X,X,X,X,X
TSZILOJ,X,X,X,X,X,X
TSZIJLO,X,X,X,X,X,X
TSZIJOL,X,X,X,X,X,X
TSZIOLJ,X,X,X,O,X,X
TSZIOJL,X,X,X,X,X,X
TSZLIJO,X,X,X,X,X,X
TSZLIOJ,X,X,X,X,X,X
TSZLJIO,X,X,X,X,X,X
TSZLJOI,X,X,X,X,X,X
TSZLOIJ,X,X,X,X,X,X
TSZLOJI,X,X,X,X,X,X
TSZJILO,X,X,X,X,X,X
TSZJIOL,X,X,X,X,X,X
TSZJLIO,X,X,X,X,X,X
TSZJLOI,X,X,X,X,X,X
TSZJOIL,X,X,X,X,X,X
TSZJOLI,X,X,X,X,X,X
TSZOILJ,X,X,X,O,X,X
TSZOIJL,X,X,X,X,X,X
TSZOLIJ,X,X,X,O,X,X
TSZOLJI,X,X,X,O,X,X
TSZOJIL,X,X,X,X,X,X
TSZOJLI,X,X,X,X,X,X
TSOILJZ,X,X,X,X,X,X
TSOILZJ,X,X,X,O,X,X
TSOIJLZ,X,X,X,X,X,X
TSOIJZL,X,X,X,X,X,X
TSOIZLJ,X,X,X,O,X,X
TSOIZJL,X,X,X,X,X,X
TSOLIJZ,X,X,X,X,X,X
TSOLIZJ,X,X,X,O,X,X
TSOLJIZ,X,X,X,X,X,X
TSOLJZI,X,X,X,X,X,X
TSOLZIJ,X,X,X,O,X,X
TSOLZJI,X,X,X,O,X,X
TSOJILZ,X,X,X,X,X,X
TSOJIZL,X,X,X,X,X,X
TSOJLIZ,X,X,X,X,X,X
TSOJLZI,X,X,X,X,X,X
TSOJZIL,X,X,X,X,X,X
TSOJZLI,X,X,X,X,X,X
TSOZILJ,X,X,X,O,X,X
TSOZIJL,X,X,X,X,X,X
TSOZLIJ,X,X,X,O,X,X
TSOZLJI,X,X,X,O,X,X
TSOZJIL,X,X,X,X,X,X
TSOZJLI,X,X,X,X,X,X
TZILJSO,X,O,X,X,X,X
TZILJOS,X,O,X,X,X,X
TZILSJO,X,O,X,X,X,X
TZILSOJ,X,X,X,X,X,X
TZILOJS,X,X,X,X,X,X
TZILOSJ,X,X,X,X,X,X
TZIJLSO,X,O,X,X,X,X
TZIJLOS,X,O,X,X,X,X
TZIJSLO,X,O,X,X,X,X
TZIJSOL,X,O,X,X,X,X
TZIJOLS,X,O,X,X,X,X
TZIJOSL,X,O,X,X,X,X
TZISLJO,X,O,X,X,X,X
TZISLOJ,X,X,X,X,X,X
TZISJLO,X,O,X,X,X,X
TZISJOL,X,O,X,X,X,X
TZISOLJ,X,X,X,X,X,X
TZISOJL,X,X,X,X,X,X
TZIOLJS,X,X,X,X,X,X
TZIOLSJ,X,X,X,X,X,X
TZIOJLS,X,X,X,X,X,X
TZIOJSL,X,X,X,X,X,X
TZIOSLJ,X,X,X,X,X,X
TZIOSJL,X,X,X,X,X,X
TZLIJSO,X,O,X,X,X,X
TZLIJOS,X,O,X,X,X,X
TZLISJO,X,O,X,X,X,X
TZLISOJ,X,X,X,X,X,X
TZLIOJS,X,X,X,X,X,X
TZLIOSJ,X,X,X,X,X,X
TZLJISO,X,O,X,X,X,X
TZLJIOS,X,O,X,X,X,X
TZLJSIO,X,O,X,X,X,X
TZLJSOI,X,O,X,X,X,X
TZLJOIS,X,O,X,X,X,X
TZLJOSI,X,O,X,X,X,X
TZLSIJO,X,O,X,X,X,X
TZLSIOJ,X,X,X,X,X,X
TZLSJIO,X,O,X,X,X,X
TZLSJOI,X,O,X,X,X,X
TZLSOIJ,X,X,X,X,X,X
TZLSOJI,X,X,X,X,X,X
TZLOIJS,X,X,X,X,X,X
TZLOISJ,X,X,X,X,X,X
TZLOJIS,X,X,X,X,X,X
TZLOJSI,X,X,X,X,X,X
TZLOSIJ,X,X,X,X,X,X
TZLOSJI,X,X,X,X,X,X
TZJILSO,X,O,X,X,X,X
TZJILOS,X,O,X,X,X,X
TZJISLO,X,O,X,X,X,X
TZJISOL,X,O,X,X,X,X
TZJIOLS,X,O,X,X,X,X
TZJIOSL,X,O,X,X,X,X
TZJLISO,X,O,X,X,X,X
TZJLIOS,X,O,X,X,X,X
TZJLSIO,X,O,X,X,X,X
TZJLSOI,X,O,X,X,X,X
TZJLOIS,X,O,X,X,X,X
TZJLOSI,X,O,X,X,X,X
TZJSILO,X,O,X,X,X,X
TZJSIOL,X,O,X,X,X,X
TZJSLIO,X,O,X,X,X,X
TZJSLOI,X,O,X,X,X,X
TZJSOIL,X,O,X,X,X,X
TZJSOLI,X,O,X,X,X,X
TZJOILS,X,O,X,X,X,X
TZJOISL,X,O,X,X,X,X
TZJOLIS,X,O,X,X,X,X
TZJOLSI,X,O,X,X,X,X
TZJOSIL,X,O,X,X,X,X
TZJOSLI,X,O,X,X,X,X
TZSILJO,X,O,X,X,X,X
TZSILOJ,X,X,X,X,X,X
TZSIJLO,X,O,X,X,X,X
TZSIJOL,X,O,X,X,X,X
TZSIOLJ,X,X,X,O,X,X
TZSIOJL,X,X,X,X,X,X
TZSLIJO,X,O,X,X,X,X
TZSLIOJ,X,X,X,X,X,X
TZSLJIO,X,O,X,X,X,X
TZSLJOI,X,O,X,X,X,X
TZSLOIJ,X,X,X,X,X,X
TZSLOJI,X,X,X,X,X,X
TZSJILO,X,O,X,X,X,X
TZSJIOL,X,O,X,X,X,X
TZSJLIO,X,O,X,X,X,X
TZSJLOI,X,O,X,X,X,X
TZSJOIL,X,O,X,X,X,X
TZSJOLI,X,O,X,X,X,X
TZSOILJ,X,X,X,O,X,X
TZSOIJL,X,X,X,X,X,X
TZSOLIJ,X,X,X,O,X,X
TZSOLJI,X,X,X,O,X,X
TZSOJIL,X,X,X,X,X,X
TZSOJLI,X,X,X,X,X,X
TZOILJS,X,X,X,X,X,X
TZOILSJ,X,X,X,X,X,X
TZOIJLS,X,X,X,X,X,X
TZOIJSL,X,X,X,X,X,X
TZOISLJ,X,X,X,X,X,X
TZOISJL,X,X,X,X,X,X
TZOLIJS,X,X,X,X,X,X
TZOLISJ,X,X,X,X,X,X
TZOLJIS,X,X,X,X,X,X
TZOLJSI,X,X,X,X,X,X
TZOLSIJ,X,X,X,O,X,X
TZOLSJI,X,X,X,O,X,X
TZOJILS,X,X,X,X,X,X
TZOJISL,X,X,X,X,X,X
TZOJLIS,X,X,X,X,X,X
TZOJLSI,X,X,X,X,X,X
TZOJSIL,X,X,X,X,X,X
TZOJSLI,X,X,X,X,X,X
TZOSILJ,X,X,X,O,X,X
TZOSIJL,X,X,X,X,X,X
TZOSLIJ,X,X,X,O,X,X
TZOSLJI,X,X,X,O,X,X
TZOSJIL,X,X,X,X,X,X
TZOSJLI,X,X,X,X,X,X
TOILJSZ,X,X,X,X,X,X
TOILJZS,X,X,X,X,X,X
TOILSJZ,X,X,X,X,X,X
TOILSZJ,X,X,X,O,X,X
TOILZJS,X,X,X,X,X,X
TOILZSJ,X,X,X,X,X,X
TOIJLSZ,X,X,X,X,X,X
TOIJLZS,X,X,X,X,X,X
TOIJSLZ,X,X,X,X,X,X
TOIJSZL,X,X,X,X,X,X
TOIJZLS,X,X,X,X,X,X
TOIJZSL,X,X,X,X,X,X
TOISLJZ,X,X,X,X,X,X
TOISLZJ,X,X,X,O,X,X
TOISJLZ,X,X,X,X,X,X
TOISJZL,X,X,X,X,X,X
TOISZLJ,X,X,X,O,X,X
TOISZJL,X,X,X,X,X,X
TOIZLJS,X,X,X,X,X,X
TOIZLSJ,X,X,X,X,X,X
TOIZJLS,X,X,X,X,X,X
TOIZJSL,X,X,X,X,X,X
TOIZSLJ,X,X,X,X,X,X
TOIZSJL,X,X,X,X,X,X
TOLIJSZ,X,X,X,X,X,X
TOLIJZS,X,X,X,X,X,X
TOLISJZ,X,X,X,X,X,X
TOLISZJ,X,X,X,O,X,X
TOLIZJS,X,X,X,X,X,X
TOLIZSJ,X,X,X,X,X,X
TOLJISZ,X,X,X,X,X,X
TOLJIZS,X,X,X,X,X,X
TOLJSIZ,X,X,X,X,X,X
TOLJSZI,X,X,X,X,X,X
TOLJZIS,X,X,X,X,X,X
TOLJZSI,X,X,X,X,X,X
TOLSIJZ,X,X,X,X,X,X
TOLSIZJ,X,X,X,O,X,X
TOLSJIZ,X,X,X,X,X,X
TOLSJZI,X,X,X,X,X,X
TOLSZIJ,X,X,X,O,X,X
TOLSZJI,X,X,X,O,X,X
TOLZIJS,X,X,X,X,X,X
TOLZISJ,X,X,X,X,X,X
TOLZJIS,X,X,X,X,X,X
TOLZJSI,X,X,X,X,X,X
TOLZSIJ,X,X,X,O,X,X
TOLZSJI,X,X,X,O,X,X
TOJILSZ,X,X,X,X,X,X
TOJILZS,X,X,X,X,X,X
TOJISLZ,X,X,X,X,X,X
TOJISZL,X,X,X,X,X,X
TOJIZLS,X,X,X,X,X,X
TOJIZSL,X,X,X,X,X,X
TOJLISZ,X,X,X,X,X,X
TOJLIZS,X,X,X,X,X,X
TOJLSIZ,X,X,X,X,X,X
TOJLSZI,X,X,X,X,X,X
TOJLZIS,X,X,X,X,X,X
TOJLZSI,X,X,X,X,X,X
