sequence,v115@vhG8/IZkBasBGoBzpBXrBzsB,v115@vhGfDJ5oBikBuqBzpB0rBzsB,v115@vhGc/I5oB6rBTnBetBTpB3qB,v115@vhG/DJZkBqpBTlBOrBUsBTtB,v115@vhGT/IihBcqB3mB+tBTpBRwB,v115@vhGGBJTjBKpBUmB/sBTtBRwB,v115@vhGT/IXhB8mB+tBTpBiqBRwB,v115@vhGfGJ0hBTjBKpBGsBTtBRwB,v115@vhGz/IihBcqB3mB+tBTpBRwB,v115@vhGGBJziBKpBUmB/sBTtBRwB,v115@vhGz/IXhB8mB+tBTpBiqBRwB,v115@vhGfGJ0hBziBKpBGsBTtBRwB,v115@vhGSDJxkB/rB8sB+tBTpBTqB,v115@vhG2/IKpBfqBcrBxnBTsBTtB
TIOJZLS,O,O,X,X,X,X,O,O,X,X,O,O,O,X
TIOJZSL,O,O,X,X,O,X,X,O,X,X,X,O,O,X
TIOSLJZ,O,O,X,X,O,X,X,O,X,X,X,O,X,X
TIOSLZJ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TIOSJLZ,O,O,X,X,O,X,X,O,X,X,X,O,O,X
TIOSJZL,O,O,X,X,O,X,X,O,X,X,X,O,O,X
TIOSZLJ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TIOSZJL,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TIOZLJS,O,O,X,X,X,O,O,X,X,X,O,X,X,O
TIOZLSJ,O,O,X,X,X,O,O,X,X,X,O,X,X,O
TIOZJLS,O,O,X,X,X,O,O,X,X,X,O,X,X,X
TIOZJSL,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TIOZSLJ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TIOZSJL,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLIJSZO,X,X,O,O,X,X,O,O,X,X,O,O,X,X
TLIJSOZ,O,X,O,O,X,X,O,O,X,X,O,O,X,O
TLIJZSO,X,X,O,O,X,X,O,O,X,X,O,O,X,X
TLIJZOS,X,O,O,O,X,X,O,O,X,X,O,O,X,X
TLIJOSZ,O,O,O,O,X,X,O,O,X,X,O,O,X,O
TLIJOZS,O,O,O,O,X,X,O,O,X,X,O,O,X,O
TLISJZO,X,X,O,O,X,X,O,O,X,X,O,O,X,X
TLISJOZ,O,X,O,O,X,X,O,O,X,X,O,O,X,O
TLISZJO,X,X,O,O,X,O,O,O,X,O,O,O,X,X
TLISZOJ,O,X,X,O,X,O,O,X,X,O,O,X,X,X
TLISOJZ,O,X,X,O,X,X,O,O,X,X,O,O,X,O
TLISOZJ,O,X,X,O,X,O,O,X,X,O,O,X,X,O
TLIZJSO,X,X,O,O,X,O,O,X,X,O,O,X,X,X
TLIZJOS,X,O,O,O,X,O,O,X,X,X,O,X,X,X
TLIZSJO,X,X,O,O,X,O,O,X,X,O,O,X,X,X
TLIZSOJ,O,X,X,O,X,O,O,X,X,O,O,X,X,X
TLIZOJS,O,O,X,O,X,O,O,X,X,X,O,X,X,X
TLIZOSJ,O,O,X,O,X,O,O,X,X,X,O,X,X,X
TLIOJSZ,O,O,X,O,X,X,O,O,X,X,O,O,X,O
TLIOJZS,O,O,X,O,X,X,O,O,X,X,O,O,X,O
TLIOSJZ,O,O,X,O,X,X,O,O,X,X,O,O,X,O
TLIOSZJ,O,O,X,O,X,O,O,X,X,X,O,X,X,O
TLIOZJS,O,O,X,O,X,O,O,X,X,X,O,X,X,O
TLIOZSJ,O,O,X,O,X,O,O,X,X,X,O,X,X,O
TLJISZO,X,X,O,O,X,X,O,O,X,X,O,O,X,X
TLJISOZ,O,X,O,O,X,X,O,O,X,X,O,O,X,O
TLJIZSO,X,X,O,O,X,X,O,O,X,X,O,O,X,X
TLJIZOS,X,O,O,O,X,X,O,O,X,X,O,O,X,X
TLJIOSZ,O,O,O,O,X,X,O,O,X,X,O,O,X,O
TLJIOZS,O,O,O,O,X,X,O,O,X,X,O,O,X,O
TLJSIZO,X,X,O,O,X,X,O,X,X,X,O,X,X,X
TLJSIOZ,O,X,O,O,X,X,O,X,X,X,O,X,X,O
TLJSZIO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLJSZOI,X,X,O,O,X,X,X,X,X,X,X,X,X,O
TLJSOIZ,O,X,O,O,X,X,O,X,X,X,O,X,X,O
TLJSOZI,O,X,O,O,X,X,X,X,X,X,X,X,X,O
TLJZISO,X,X,O,O,X,X,X,O,X,X,X,O,X,X
TLJZIOS,X,O,O,O,X,X,X,O,X,X,X,O,X,X
TLJZSIO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLJZSOI,X,X,O,O,X,X,X,X,X,X,X,X,X,O
TLJZOIS,X,O,O,O,X,X,X,O,X,X,X,O,X,O
TLJZOSI,X,O,O,O,X,X,X,X,X,X,X,X,X,O
TLJOISZ,O,O,O,O,X,X,O,O,X,X,O,O,X,O
TLJOIZS,O,O,O,O,X,X,O,O,X,X,O,O,X,O
TLJOSIZ,O,O,O,O,X,X,O,X,X,X,O,X,X,O
TLJOSZI,O,O,O,O,X,X,X,X,X,X,X,X,X,O
TLJOZIS,O,O,O,O,X,X,X,O,X,X,X,O,X,O
TLJOZSI,O,O,O,O,X,X,X,X,X,X,X,X,X,O
TLSIJZO,X,X,O,O,X,X,O,X,X,X,O,X,X,X
TLSIJOZ,O,X,O,O,X,X,O,X,X,X,O,X,X,O
TLSIZJO,X,X,O,O,X,O,O,X,X,O,O,X,X,X
TLSIZOJ,O,X,X,O,X,O,O,X,X,O,O,X,X,X
TLSIOJZ,O,X,X,O,X,X,O,X,X,X,O,X,X,O
TLSIOZJ,O,X,X,O,X,O,O,X,X,O,O,X,X,O
TLSJIZO,X,X,O,O,X,X,O,X,X,X,O,X,X,X
TLSJIOZ,O,X,O,O,X,X,O,X,X,X,O,X,X,O
TLSJZIO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLSJZOI,X,X,O,O,X,X,X,X,X,X,X,X,X,O
TLSJOIZ,O,X,O,O,X,X,O,X,X,X,O,X,X,O
TLSJOZI,O,X,O,O,X,X,X,X,X,X,X,X,X,O
TLSZIJO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLSZIOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSZJIO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLSZJOI,X,X,O,O,X,X,X,X,X,X,X,X,X,O
TLSZOIJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O
TLSZOJI,O,X,X,O,X,X,X,X,X,X,X,X,X,O
TLSOIJZ,O,X,X,O,X,X,O,X,X,X,O,X,X,O
TLSOIZJ,O,X,X,O,X,O,O,X,X,O,O,X,X,O
TLSOJIZ,O,X,X,O,X,X,O,X,X,X,O,X,X,O
TLSOJZI,O,X,X,O,X,X,X,X,X,X,X,X,X,O
TLSOZIJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O
TLSOZJI,O,X,X,O,X,X,X,X,X,X,X,X,X,O
TLZIJSO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLZIJOS,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZISJO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLZISOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZIOJS,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZIOSJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZJISO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLZJIOS,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZJSIO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLZJSOI,X,X,O,O,X,X,X,X,X,X,X,X,X,O
TLZJOIS,X,O,O,O,X,X,X,X,X,X,X,X,X,O
TLZJOSI,X,O,O,O,X,X,X,X,X,X,X,X,X,O
TLZSIJO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLZSIOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZSJIO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLZSJOI,X,X,O,O,X,X,X,X,X,X,X,X,X,O
TLZSOIJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O
TLZSOJI,O,X,X,O,X,X,X,X,X,X,X,X,X,O
TLZOIJS,O,O,X,O,X,X,X,X,X,X,X,X,X,O
TLZOISJ,O,O,X,O,X,X,X,X,X,X,X,X,X,O
TLZOJIS,O,O,X,O,X,X,X,X,X,X,X,X,X,O
TLZOJSI,O,O,X,O,X,X,X,X,X,X,X,X,X,O
TLZOSIJ,O,O,X,O,X,X,X,X,X,X,X,X,X,O
TLZOSJI,O,O,X,O,X,X,X,X,X,X,X,X,X,O
TLOIJSZ,O,O,X,O,X,X,O,O,X,X,O,O,X,O
TLOIJZS,O,O,X,O,X,X,O,O,X,X,O,O,X,O
TLOISJZ,O,O,X,O,X,X,O,O,X,X,O,O,X,O
TLOISZJ,O,O,X,O,X,O,O,X,X,X,O,X,X,O
TLOIZJS,O,O,X,O,X,O,O,X,X,X,O,X,X,O
TLOIZSJ,O,O,X,O,X,O,O,X,X,X,O,X,X,O
TLOJISZ,O,O,X,O,X,X,O,O,X,X,O,O,X,O
TLOJIZS,O,O,X,O,X,X,O,O,X,X,O,O,X,O
TLOJSIZ,O,O,X,O,X,X,O,X,X,X,O,X,X,O
TLOJSZI,O,O,X,O,X,X,X,X,X,X,X,X,X,O
TLOJZIS,O,O,X,O,X,X,X,O,X,X,X,O,X,O
TLOJZSI,O,O,X,O,X,X,X,X,X,X,X,X,X,O
TLOSIJZ,O,O,X,O,X,X,O,X,X,X,O,X,X,O
TLOSIZJ,O,O,X,O,X,O,O,X,X,O,O,X,X,O
TLOSJIZ,O,O,X,O,X,X,O,X,X,X,O,X,X,O
TLOSJZI,O,O,X,O,X,X,X,X,X,X,X,X,X,O
TLOSZIJ,O,O,X,O,X,X,X,X,X,X,X,X,X,O
TLOSZJI,O,O,X,O,X,X,X,X,X,X,X,X,X,O
TLOZIJS,O,O,X,O,X,X,X,X,X,X,X,X,X,O
TLOZISJ,O,O,X,O,X,X,X,X,X,X,X,X,X,O
TLOZJIS,O,O,X,O,X,X,X,X,X,X,X,X,X,O
TLOZJSI,O,O,X,O,X,X,X,X,X,X,X,X,X,O
TLOZSIJ,O,O,X,O,X,X,X,X,X,X,X,X,X,O
TLOZSJI,O,O,X,O,X,X,X,X,X,X,X,X,X,O
TJILSZO,X,X,O,O,X,X,O,O,X,X,O,O,X,X
TJILSOZ,O,X,O,O,X,X,O,O,X,X,O,O,X,X
TJILZSO,X,X,O,O,X,X,O,O,X,X,O,O,X,X
TJILZOS,X,O,O,O,X,X,O,O,X,X,O,O,O,X
TJILOSZ,O,O,O,O,X,X,O,O,X,X,O,O,O,X
TJILOZS,O,O,O,O,X,X,O,O,X,X,O,O,O,X
TJISLZO,X,X,O,O,O,X,X,O,O,X,X,O,X,X
TJISLOZ,O,X,O,O,O,X,X,O,X,X,X,O,X,X
TJISZLO,X,X,O,O,O,X,X,O,O,X,X,O,X,X
TJISZOL,X,O,O,X,O,X,X,O,O,X,X,O,X,X
TJISOLZ,O,O,O,X,O,X,X,O,X,X,X,O,X,X
TJISOZL,O,O,O,X,O,X,X,O,X,X,X,O,X,X
TJIZLSO,X,X,O,O,X,X,O,O,X,X,O,O,X,X
TJIZLOS,X,O,O,O,X,X,O,O,X,X,O,O,O,X
TJIZSLO,X,X,O,O,O,X,O,O,O,X,O,O,X,X
TJIZSOL,X,O,O,X,O,X,X,O,O,X,X,O,X,X
TJIZOLS,X,O,O,X,X,X,O,O,X,X,O,O,O,X
TJIZOSL,X,O,O,X,O,X,X,O,O,X,X,O,O,X
TJIOLSZ,O,O,O,X,X,X,O,O,X,X,O,O,O,X
TJIOLZS,O,O,O,X,X,X,O,O,X,X,O,O,O,X
TJIOSLZ,O,O,O,X,O,X,X,O,X,X,X,O,O,X
TJIOSZL,O,O,O,X,O,X,X,O,X,X,X,O,O,X
TJIOZLS,O,O,O,X,X,X,O,O,X,X,O,O,O,X
TJIOZSL,O,O,O,X,O,X,X,O,X,X,X,O,O,X
TJLISZO,X,X,O,O,X,X,O,O,X,X,O,O,X,X
TJLISOZ,O,X,O,O,X,X,O,O,X,X,O,O,X,X
TJLIZSO,X,X,O,O,X,X,O,O,X,X,O,O,X,X
TJLIZOS,X,O,O,O,X,X,O,O,X,X,O,O,O,X
TJLIOSZ,O,O,O,O,X,X,O,O,X,X,O,O,O,X
TJLIOZS,O,O,O,O,X,X,O,O,X,X,O,O,O,X
TJLSIZO,X,X,O,O,X,X,O,X,X,X,O,X,X,X
TJLSIOZ,O,X,O,O,X,X,O,X,X,X,O,X,X,X
TJLSZIO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TJLSZOI,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TJLSOIZ,O,X,O,O,X,X,O,X,X,X,O,X,O,X
TJLSOZI,O,X,O,O,X,X,X,X,X,X,X,X,O,X
TJLZISO,X,X,O,O,X,X,X,O,X,X,X,O,X,X
TJLZIOS,X,O,O,O,X,X,X,O,X,X,X,O,O,X
TJLZSIO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TJLZSOI,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TJLZOIS,X,O,O,O,X,X,X,O,X,X,X,O,O,X
TJLZOSI,X,O,O,O,X,X,X,X,X,X,X,X,O,X
TJLOISZ,O,O,O,O,X,X,O,O,X,X,O,O,O,X
TJLOIZS,O,O,O,O,X,X,O,O,X,X,O,O,O,X
TJLOSIZ,O,O,O,O,X,X,O,X,X,X,O,X,O,X
TJLOSZI,O,O,O,O,X,X,X,X,X,X,X,X,O,X
TJLOZIS,O,O,O,O,X,X,X,O,X,X,X,O,O,X
TJLOZSI,O,O,O,O,X,X,X,X,X,X,X,X,O,X
TJSILZO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TJSILOZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TJSIZLO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TJSIZOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJSIOLZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJSIOZL,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJSLIZO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TJSLIOZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TJSLZIO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TJSLZOI,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TJSLOIZ,O,X,O,O,X,X,X,X,X,X,X,X,O,X
TJSLOZI,O,X,O,O,X,X,X,X,X,X,X,X,O,X
TJSZILO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TJSZIOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJSZLIO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TJSZLOI,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TJSZOIL,X,O,O,X,X,X,X,X,X,X,X,X,O,X
TJSZOLI,X,O,O,X,X,X,X,X,X,X,X,X,O,X
TJSOILZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TJSOIZL,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TJSOLIZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TJSOLZI,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TJSOZIL,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TJSOZLI,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TJZILSO,X,X,O,O,X,X,X,O,X,X,X,O,X,X
TJZILOS,X,O,O,O,X,X,X,O,X,X,X,O,O,X
TJZISLO,X,X,O,O,O,X,X,O,O,X,X,O,X,X
TJZISOL,X,O,O,X,O,X,X,O,O,X,X,O,X,X
TJZIOLS,X,O,O,X,X,X,X,O,X,X,X,O,O,X
TJZIOSL,X,O,O,X,O,X,X,O,O,X,X,O,O,X
TJZLISO,X,X,O,O,X,X,X,O,X,X,X,O,X,X
TJZLIOS,X,O,O,O,X,X,X,O,X,X,X,O,O,X
TJZLSIO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TJZLSOI,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TJZLOIS,X,O,O,O,X,X,X,O,X,X,X,O,O,X
TJZLOSI,X,O,O,O,X,X,X,X,X,X,X,X,O,X
TJZSILO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TJZSIOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJZSLIO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TJZSLOI,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TJZSOIL,X,O,O,X,X,X,X,X,X,X,X,X,O,X
TJZSOLI,X,O,O,X,X,X,X,X,X,X,X,X,O,X
TJZOILS,X,O,O,X,X,X,X,O,X,X,X,O,O,X
TJZOISL,X,O,O,X,O,X,X,O,O,X,X,O,O,X
TJZOLIS,X,O,O,X,X,X,X,O,X,X,X,O,O,X
TJZOLSI,X,O,O,X,X,X,X,X,X,X,X,X,O,X
TJZOSIL,X,O,O,X,X,X,X,X,X,X,X,X,O,X
TJZOSLI,X,O,O,X,X,X,X,X,X,X,X,X,O,X
TJOILSZ,O,O,O,X,X,X,O,O,X,X,O,O,O,X
TJOILZS,O,O,O,X,X,X,O,O,X,X,O,O,O,X
TJOISLZ,O,O,O,X,O,X,X,O,X,X,X,O,O,X
TJOISZL,O,O,O,X,O,X,X,O,X,X,X,O,O,X
TJOIZLS,O,O,O,X,X,X,O,O,X,X,O,O,O,X
TJOIZSL,O,O,O,X,O,X,X,O,X,X,X,O,O,X
TJOLISZ,O,O,O,X,X,X,O,O,X,X,O,O,O,X
TJOLIZS,O,O,O,X,X,X,O,O,X,X,O,O,O,X
TJOLSIZ,O,O,O,X,X,X,O,X,X,X,O,X,O,X
TJOLSZI,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TJOLZIS,O,O,O,X,X,X,X,O,X,X,X,O,O,X
TJOLZSI,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TJOSILZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TJOSIZL,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TJOSLIZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TJOSLZI,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TJOSZIL,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TJOSZLI,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TJOZILS,O,O,O,X,X,X,X,O,X,X,X,O,O,X
TJOZISL,O,O,O,X,O,X,X,O,O,X,X,O,O,X
TJOZLIS,O,O,O,X,X,X,X,O,X,X,X,O,O,X
TJOZLSI,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TJOZSIL,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TJOZSLI,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TSILJZO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TSILJOZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X
