sequence,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhFXgBxhBzlBCnBUq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhF8kBfmBxhBCnBTq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhF0gBxhBzkBCnB3q?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhFTgBxhBfqB8qBCn?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JexAJvhFTiBikBGmB0kB3q?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Jex/IvhFTiBikBGmBXmBUq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Jex/IvhF8lBGiBTkBKqB3m?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Je0/IvhFxgBTiB2pBSrBls?B3qB,v115@FhB8HeB8IeC8BeC8AeB8Jex/IvhFXhBTiB2pBSrBls?BUqB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhF8kBSmBTiBxqBls?B3qB,v115@FhB8HeB8IeC8BeC8AeB8Je2EJvhFfmB6mBTiBxpBls?BUqB,v115@FhB8HeB8IeC8BeC8AeB8Jei/IvhFGiB3kBRmBUmBTq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Je2EJvhFRhBSnBUmB3kBTq?BlsB
TILOJZS,O,X,O,O,O,O,O,O,O,O,X,X,O
TILOSJZ,O,O,O,O,O,O,O,O,O,X,O,X,X
TILOSZJ,O,O,O,O,X,O,O,X,O,O,O,X,X
TILOZJS,O,O,O,O,X,O,O,O,X,O,X,X,O
TILOZSJ,O,O,O,O,X,O,O,X,X,O,X,X,O
TIJLSZO,O,X,O,O,O,X,O,O,O,X,O,O,X
TIJLSOZ,O,X,O,O,O,O,O,O,O,X,O,O,X
TIJLZSO,O,O,O,O,X,X,O,O,O,O,X,X,X
TIJLZOS,O,X,O,O,O,O,O,O,O,O,X,X,X
TIJLOSZ,O,X,O,O,O,O,O,O,O,X,O,X,X
TIJLOZS,O,X,O,O,O,O,O,O,O,O,X,X,X
TIJSLZO,X,X,O,O,O,X,O,X,O,X,O,O,X
TIJSLOZ,X,X,O,O,O,X,O,X,O,X,O,O,X
TIJSZLO,X,X,O,O,O,X,O,X,X,X,O,O,X
TIJSZOL,X,X,O,O,O,X,O,X,X,X,O,X,X
TIJSOLZ,X,X,X,X,O,X,O,X,O,X,O,O,X
TIJSOZL,X,X,X,X,O,X,X,X,X,X,O,X,X
TIJZLSO,O,O,X,O,X,O,X,O,O,O,X,X,X
TIJZLOS,O,X,X,O,O,O,X,O,O,O,X,X,X
TIJZSLO,O,O,X,O,O,X,X,O,X,O,O,O,X
TIJZSOL,O,O,X,O,O,X,X,O,X,O,O,X,X
TIJZOLS,O,X,X,X,O,O,X,O,O,O,X,X,X
TIJZOSL,O,X,X,O,O,X,X,O,X,O,O,X,X
TIJOLSZ,O,X,O,X,O,O,O,O,O,X,O,O,X
TIJOLZS,O,X,O,X,O,O,O,O,O,O,X,X,X
TIJOSLZ,O,X,X,X,O,X,O,X,O,X,O,O,X
TIJOSZL,O,X,X,X,O,X,X,X,X,X,O,O,X
TIJOZLS,X,X,O,X,O,O,X,O,O,O,X,X,X
TIJOZSL,O,X,O,X,O,X,X,O,X,O,O,O,X
TISLJZO,X,O,O,O,O,X,O,X,X,X,O,O,X
TISLJOZ,X,X,O,O,O,X,O,X,X,X,O,O,X
TISLZJO,X,O,O,O,X,X,O,X,X,O,O,O,X
TISLZOJ,X,O,O,O,X,X,O,X,X,O,O,X,X
TISLOJZ,X,X,O,O,O,X,O,X,X,X,O,O,X
TISLOZJ,X,O,O,O,X,X,O,X,X,O,O,X,X
TISJLZO,X,X,O,O,O,X,O,X,X,X,O,O,X
TISJLOZ,X,X,O,O,O,X,O,X,X,X,O,O,X
TISJZLO,X,O,O,O,O,X,O,X,X,X,O,O,X
TISJZOL,X,O,O,O,O,X,O,X,X,X,O,X,X
TISJOLZ,X,X,X,X,O,X,O,X,X,X,O,O,X
TISJOZL,X,X,X,X,O,X,X,X,X,X,O,X,X
TISZLJO,X,O,O,O,X,X,O,X,X,O,O,O,X
TISZLOJ,X,O,O,O,X,X,O,X,X,O,O,X,X
TISZJLO,X,O,O,O,X,X,O,X,X,O,O,O,X
TISZJOL,X,O,O,O,X,X,O,X,X,O,O,X,X
TISZOLJ,X,X,O,O,X,X,X,X,X,O,O,X,X
TISZOJL,X,O,O,O,X,X,O,X,X,O,O,X,X
TISOLJZ,X,X,O,X,O,X,O,X,X,X,O,O,X
TISOLZJ,X,X,O,X,X,X,O,X,X,O,O,X,X
TISOJLZ,X,X,O,X,O,X,O,X,X,X,O,O,X
TISOJZL,X,X,O,X,O,X,X,X,X,X,O,X,X
TISOZLJ,X,X,O,X,X,X,X,X,X,O,O,X,X
TISOZJL,X,O,O,X,X,X,X,X,X,O,O,X,X
TIZLJSO,O,O,X,O,X,O,X,X,X,O,X,X,X
TIZLJOS,O,X,X,O,X,O,X,X,X,O,X,X,X
TIZLSJO,O,O,X,O,X,O,X,X,X,O,X,X,X
TIZLSOJ,O,O,X,O,X,O,X,X,X,O,X,X,X
TIZLOJS,O,X,X,O,X,O,X,X,X,O,X,X,X
TIZLOSJ,O,X,X,O,X,O,X,X,X,O,X,X,X
TIZJLSO,O,O,X,O,X,O,X,X,X,O,X,X,X
TIZJLOS,O,X,X,O,X,O,X,X,X,O,X,X,X
TIZJSLO,O,O,X,O,X,X,X,X,X,O,O,O,X
TIZJSOL,O,O,X,O,X,X,X,X,X,O,O,X,X
TIZJOLS,O,X,X,X,X,O,X,X,X,O,X,X,X
TIZJOSL,O,X,X,O,X,X,X,X,X,O,O,X,X
TIZSLJO,O,O,X,O,X,X,X,X,X,O,O,O,X
TIZSLOJ,O,O,X,O,X,X,X,X,X,O,O,X,X
TIZSJLO,O,O,X,O,X,X,X,X,X,O,O,O,X
TIZSJOL,O,O,X,O,X,X,X,X,X,O,O,X,X
TIZSOLJ,O,X,X,O,X,X,X,X,X,O,O,X,X
TIZSOJL,O,O,X,O,X,X,X,X,X,O,O,X,X
TIZOLJS,O,X,X,X,X,O,X,X,X,O,X,X,X
TIZOLSJ,O,X,X,X,X,O,X,X,X,O,X,X,X
TIZOJLS,O,X,X,X,X,O,X,X,X,O,X,X,X
TIZOJSL,O,X,X,O,X,X,X,X,X,O,O,X,X
TIZOSLJ,O,X,X,O,X,X,X,X,X,O,O,X,X
TIZOSJL,O,X,X,O,X,X,X,X,X,O,O,X,X
TIOLJSZ,O,X,O,X,O,O,O,O,O,X,O,O,X
TIOLJZS,O,X,O,X,O,O,O,O,O,O,X,X,O
TIOLSJZ,O,O,O,X,O,O,O,O,O,X,O,O,X
TIOLSZJ,O,O,O,X,X,O,O,X,O,O,O,O,X
TIOLZJS,O,O,O,X,X,O,O,O,X,O,X,X,O
TIOLZSJ,O,O,O,X,X,O,O,X,X,O,X,X,O
TIOJLSZ,O,X,O,X,O,O,O,O,O,X,O,O,X
TIOJLZS,O,X,O,X,O,O,O,O,O,O,X,X,O
TIOJSLZ,O,X,X,X,O,X,O,X,O,X,O,O,X
TIOJSZL,O,X,X,X,O,X,X,X,X,X,O,O,X
TIOJZLS,X,X,O,X,O,O,X,O,O,O,X,X,O
TIOJZSL,O,X,O,X,O,X,X,O,X,O,O,O,O
TIOSLJZ,O,O,X,X,O,X,O,X,X,X,O,O,X
TIOSLZJ,O,O,X,X,X,X,O,X,X,O,O,O,X
TIOSJLZ,O,X,X,X,O,X,O,X,X,X,O,O,X
TIOSJZL,O,O,X,X,O,X,X,X,X,X,O,O,X
TIOSZLJ,X,O,X,X,X,X,X,X,X,O,O,O,X
TIOSZJL,O,O,X,X,X,X,X,X,X,O,O,O,X
TIOZLJS,X,O,O,X,X,O,O,X,X,O,X,X,O
TIOZLSJ,X,O,O,X,X,O,O,X,X,O,X,X,O
TIOZJLS,X,O,O,X,X,O,X,X,X,O,X,X,O
TIOZJSL,O,O,O,X,X,X,X,X,X,O,O,O,O
TIOZSLJ,X,O,X,X,X,X,X,X,X,O,O,O,O
TIOZSJL,O,O,O,X,X,X,X,X,X,O,O,O,O
TLIJSZO,O,O,O,O,X,X,O,O,O,X,O,O,X
TLIJSOZ,O,X,O,O,O,O,O,O,O,X,O,O,X
TLIJZSO,O,O,O,O,X,O,O,O,O,O,X,X,X
TLIJZOS,O,X,O,O,O,O,O,O,O,O,X,X,X
TLIJOSZ,O,X,O,O,O,O,O,O,O,X,O,X,X
TLIJOZS,O,X,O,O,O,O,O,O,O,O,X,X,X
TLISJZO,O,O,O,O,O,X,O,O,O,X,O,O,X
TLISJOZ,O,X,O,O,O,O,O,O,O,X,O,O,X
TLISZJO,O,O,O,O,X,O,O,X,X,O,O,O,X
TLISZOJ,O,O,O,O,X,O,O,X,O,O,O,X,X
TLISOJZ,O,X,O,O,O,O,O,O,O,X,O,O,X
TLISOZJ,O,O,O,O,X,O,O,X,O,O,O,X,X
TLIZJSO,O,O,O,O,X,O,O,O,X,O,X,X,X
TLIZJOS,O,X,O,O,X,O,O,O,X,O,X,X,X
TLIZSJO,O,O,O,O,X,O,O,X,X,O,X,X,X
TLIZSOJ,O,O,O,O,X,O,X,X,X,O,X,X,X
TLIZOJS,O,X,O,O,X,O,O,O,X,O,X,X,X
TLIZOSJ,O,X,O,O,X,O,O,X,X,O,X,X,X
TLIOJSZ,O,X,O,O,O,O,O,O,O,X,O,X,X
TLIOJZS,O,X,O,O,O,O,O,O,O,O,X,X,O
TLIOSJZ,O,O,O,O,O,O,O,O,O,X,O,X,X
TLIOSZJ,O,O,O,O,X,O,O,X,O,O,O,X,X
TLIOZJS,O,O,O,O,X,O,O,O,X,O,X,X,O
TLIOZSJ,O,O,O,O,X,O,O,X,X,O,X,X,O
TLJISZO,O,O,O,O,O,X,O,O,O,X,X,O,X
TLJISOZ,O,X,O,O,O,O,O,O,O,X,X,O,X
TLJIZSO,O,O,O,O,X,O,O,O,O,X,X,X,X
TLJIZOS,O,X,O,O,O,O,O,O,O,X,X,X,X
TLJIOSZ,O,X,O,O,O,O,O,O,O,X,X,X,X
TLJIOZS,O,X,O,O,O,O,O,O,O,X,X,X,X
TLJSIZO,O,O,O,O,O,X,O,O,O,X,O,O,X
TLJSIOZ,O,X,O,O,O,O,O,O,O,X,O,O,X
TLJSZIO,O,O,O,O,O,X,O,O,O,X,X,O,X
TLJSZOI,O,O,O,O,O,X,O,O,O,X,X,X,X
TLJSOIZ,O,X,O,O,O,O,O,O,O,X,O,O,X
TLJSOZI,O,X,O,O,O,O,O,O,O,X,X,X,X
TLJZISO,O,O,O,O,X,O,O,O,O,O,X,X,X
TLJZIOS,O,X,O,O,O,O,O,O,O,O,X,X,X
TLJZSIO,O,O,O,O,X,O,O,O,O,X,X,X,X
TLJZSOI,O,O,O,O,X,O,O,O,O,X,X,X,X
TLJZOIS,O,X,O,O,O,O,O,O,O,O,X,X,X
TLJZOSI,O,O,O,O,O,O,O,O,O,X,X,X,X
TLJOISZ,O,X,O,O,O,O,O,O,O,X,X,O,X
TLJOIZS,O,X,O,O,O,O,O,O,O,X,X,X,O
TLJOSIZ,O,O,O,O,O,O,O,O,O,X,O,O,X
TLJOSZI,O,O,O,O,O,O,O,O,O,X,X,O,O
TLJOZIS,O,O,O,O,O,O,O,O,O,O,X,X,O
TLJOZSI,O,O,O,O,O,O,O,O,O,X,X,X,O
TLSIJZO,O,O,O,O,O,X,O,O,O,X,O,O,X
TLSIJOZ,O,X,O,O,O,O,O,O,O,X,O,O,X
TLSIZJO,O,O,O,O,X,O,O,X,X,X,O,O,X
TLSIZOJ,O,O,O,O,X,O,O,X,O,X,O,X,X
TLSIOJZ,O,X,O,O,O,O,O,O,O,X,O,O,X
TLSIOZJ,O,O,O,O,X,O,O,X,O,X,O,X,X
TLSJIZO,O,O,O,O,O,X,O,O,O,X,O,O,X
TLSJIOZ,O,X,O,O,O,O,O,O,O,X,O,O,X
TLSJZIO,O,O,O,O,O,X,O,O,O,X,X,O,X
TLSJZOI,O,O,O,O,O,X,O,O,O,X,X,X,X
TLSJOIZ,O,X,O,O,O,O,O,O,O,X,O,O,X
TLSJOZI,O,X,O,O,O,O,O,O,O,X,X,X,X
TLSZIJO,O,O,O,O,X,O,O,X,X,X,O,O,X
TLSZIOJ,O,O,O,O,X,O,O,X,O,X,O,X,X
TLSZJIO,O,O,O,O,O,O,O,X,O,X,X,O,X
TLSZJOI,O,O,O,O,O,O,O,X,O,X,X,X,X
TLSZOIJ,O,O,O,O,X,O,O,X,O,X,O,X,X
TLSZOJI,O,O,O,O,O,O,O,X,O,X,X,X,X
TLSOIJZ,O,O,O,O,O,O,O,O,O,X,O,O,X
TLSOIZJ,O,O,O,O,X,O,O,X,O,X,O,X,X
TLSOJIZ,O,O,O,O,O,O,O,O,O,X,O,O,X
TLSOJZI,O,O,O,O,O,O,O,O,O,X,X,X,O
TLSOZIJ,O,O,O,O,X,O,O,X,O,X,O,X,O
TLSOZJI,O,O,O,O,O,O,O,X,O,X,X,X,O
TLZIJSO,O,O,O,O,X,O,O,O,X,O,X,X,X
TLZIJOS,O,X,O,O,X,O,O,O,X,O,X,X,X
TLZISJO,O,O,O,O,X,O,O,X,X,O,X,X,X
TLZISOJ,O,O,O,O,X,O,X,X,X,O,X,X,X
TLZIOJS,O,X,O,O,X,O,O,O,X,O,X,X,X
TLZIOSJ,O,X,O,O,X,O,O,X,X,O,X,X,X
TLZJISO,O,O,O,O,X,O,O,O,O,O,X,X,X
TLZJIOS,O,X,O,O,O,O,O,O,O,O,X,X,X
TLZJSIO,O,O,O,O,X,O,O,O,O,X,X,X,X
TLZJSOI,O,O,O,O,X,O,O,O,O,X,X,X,X
TLZJOIS,O,X,O,O,O,O,O,O,O,O,X,X,X
TLZJOSI,O,O,O,O,O,O,O,O,O,X,X,X,X
TLZSIJO,O,O,O,O,X,O,O,X,X,X,O,X,X
TLZSIOJ,O,O,O,O,X,O,O,X,O,X,O,X,X
TLZSJIO,O,O,O,O,O,O,O,X,O,X,X,X,X
TLZSJOI,O,O,O,O,O,O,O,X,O,X,X,X,X
TLZSOIJ,O,O,O,O,X,O,O,X,O,X,O,X,X
TLZSOJI,O,O,O,O,O,O,O,X,O,X,X,X,X
TLZOIJS,O,O,O,O,X,O,O,O,X,O,X,X,O
TLZOISJ,O,O,O,O,X,O,O,X,X,O,X,X,O
TLZOJIS,O,O,O,O,O,O,O,O,O,O,X,X,O
TLZOJSI,O,O,O,O,O,O,O,O,O,X,X,X,O
TLZOSIJ,O,O,O,O,X,O,O,X,O,X,O,X,O
TLZOSJI,O,O,O,O,O,O,O,X,O,X,X,X,O
TLOIJSZ,O,X,O,O,O,O,O,O,O,X,O,O,X
TLOIJZS,O,X,O,O,O,O,O,O,O,O,X,X,O
TLOISJZ,O,O,O,O,O,O,O,O,O,X,O,O,X
TLOISZJ,O,O,O,O,X,O,O,X,O,O,O,O,X
TLOIZJS,O,O,O,O,X,O,O,O,X,O,X,X,O
TLOIZSJ,O,O,O,O,X,O,O,X,X,O,X,X,O
TLOJISZ,O,X,O,O,O,O,O,O,O,X,X,O,X
TLOJIZS,O,X,O,O,O,O,O,O,O,X,X,X,O
TLOJSIZ,O,O,O,O,O,O,O,O,O,X,O,O,X
TLOJSZI,O,O,O,O,O,O,O,O,O,X,X,O,O
TLOJZIS,O,O,O,O,O,O,O,O,O,O,X,X,O
TLOJZSI,O,O,O,O,O,O,O,O,O,X,X,X,O
TLOSIJZ,O,O,O,O,O,O,O,O,O,X,O,O,X
TLOSIZJ,O,O,O,O,X,O,O,X,O,X,O,O,X
TLOSJIZ,O,O,O,O,O,O,O,O,O,X,O,O,X
TLOSJZI,O,O,O,O,O,O,O,O,O,X,X,O,O
TLOSZIJ,O,O,O,O,X,O,O,X,O,X,O,O,O
TLOSZJI,O,O,O,O,O,O,O,X,O,X,X,O,O
TLOZIJS,O,O,O,O,X,O,O,O,X,O,X,X,O
TLOZISJ,O,O,O,O,X,O,O,X,X,O,X,X,O
TLOZJIS,O,O,O,O,O,O,O,O,O,O,X,X,O
TLOZJSI,O,O,O,O,O,O,O,O,O,X,X,X,O
TLOZSIJ,O,O,O,O,X,O,O,X,O,X,O,X,O
TLOZSJI,O,O,O,O,O,O,O,X,O,X,X,X,O
TJILSZO,O,X,O,O,O,X,O,O,O,X,O,O,X
TJILSOZ,O,X,O,O,O,O,O,O,O,X,O,O,X
TJILZSO,O,O,O,O,X,X,O,O,O,O,X,X,X
TJILZOS,O,X,O,O,O,O,O,O,O,O,X,X,X
TJILOSZ,O,X,O,O,O,O,O,O,O,X,O,X,X
TJILOZS,O,X,O,O,O,O,O,O,O,O,X,X,X
TJISLZO,X,X,O,O,O,X,O,X,O,X,O,O,X
TJISLOZ,X,X,O,O,O,X,O,X,O,X,O,O,X
TJISZLO,X,X,O,O,O,X,O,X,X,X,O,O,X
TJISZOL,X,X,O,O,O,X,O,X,X,X,O,X,X
TJISOLZ,X,X,X,X,O,X,O,X,O,X,O,O,X
TJISOZL,X,X,X,X,O,X,X,X,X,X,O,X,X
TJIZLSO,O,O,X,O,X,O,X,O,O,O,X,X,X
TJIZLOS,O,X,X,O,O,O,X,O,O,O,X,X,X
TJIZSLO,O,O,X,O,O,X,X,O,X,O,O,O,X
TJIZSOL,O,O,X,O,O,X,X,O,X,O,O,X,X
TJIZOLS,O,X,X,X,O,O,X,O,O,O,X,X,X
TJIZOSL,O,X,X,O,O,X,X,O,X,O,O,X,X
TJIOLSZ,O,X,O,X,O,O,O,O,O,X,O,O,X
TJIOLZS,O,X,O,X,O,O,O,O,O,O,X,X,X
TJIOSLZ,O,X,X,X,O,X,O,X,O,X,O,O,X
TJIOSZL,O,X,X,X,O,X,X,X,X,X,O,O,X
TJIOZLS,X,X,O,X,O,O,X,O,O,O,X,X,X
TJIOZSL,O,X,O,X,O,X,X,O,X,O,O,O,X
TJLISZO,O,O,O,O,O,X,O,O,O,X,X,O,X
TJLISOZ,O,X,O,O,O,O,O,O,O,X,X,O,X
TJLIZSO,O,O,O,O,X,O,O,O,O,X,X,X,X
TJLIZOS,O,X,O,O,O,O,O,O,O,X,X,X,X
TJLIOSZ,O,X,O,O,O,O,O,O,O,X,X,X,X
TJLIOZS,O,X,O,O,O,O,O,O,O,X,X,X,X
TJLSIZO,O,O,O,O,O,X,O,O,O,X,O,O,X
TJLSIOZ,O,X,O,O,O,O,O,O,O,X,O,O,X
TJLSZIO,O,O,O,O,O,X,O,O,O,X,X,O,X
TJLSZOI,O,O,O,O,O,X,O,O,O,X,X,X,X
TJLSOIZ,O,X,O,O,O,O,O,O,O,X,O,O,X
TJLSOZI,O,X,O,O,O,O,O,O,O,X,X,X,X
TJLZISO,O,O,O,O,X,O,O,O,O,O,X,X,X
TJLZIOS,O,X,O,O,O,O,O,O,O,O,X,X,X
TJLZSIO,O,O,O,O,X,O,O,O,O,X,X,X,X
TJLZSOI,O,O,O,O,X,O,O,O,O,X,X,X,X
TJLZOIS,O,X,O,O,O,O,O,O,O,O,X,X,X
TJLZOSI,O,O,O,O,O,O,O,O,O,X,X,X,X
TJLOISZ,O,X,O,O,O,O,O,O,O,X,X,O,X
TJLOIZS,O,X,O,O,O,O,O,O,O,X,X,X,O
TJLOSIZ,O,O,O,O,O,O,O,O,O,X,O,O,X
TJLOSZI,O,O,O,O,O,O,O,O,O,X,X,O,O
TJLOZIS,O,O,O,O,O,O,O,O,O,O,X,X,O
TJLOZSI,O,O,O,O,O,O,O,O,O,X,X,X,O
TJSILZO,X,X,O,O,O,X,O,X,O,X,O,O,X
TJSILOZ,X,X,O,O,O,X,O,X,O,X,O,O,X
TJSIZLO,X,O,O,O,O,X,O,X,X,X,O,O,X
TJSIZOL,X,O,O,O,O,X,O,X,X,X,O,X,X
TJSIOLZ,X,X,X,X,O,X,O,X,O,X,O,O,X
TJSIOZL,X,X,X,X,O,X,X,X,X,X,O,X,X
TJSLIZO,O,O,O,O,O,X,O,O,O,X,O,O,X
TJSLIOZ,O,X,O,O,O,O,O,O,O,X,O,O,X
TJSLZIO,O,O,O,O,O,X,O,O,O,X,X,O,X
TJSLZOI,O,O,O,O,O,X,O,O,O,X,X,X,X
TJSLOIZ,O,X,O,O,O,O,O,O,O,X,O,O,X
TJSLOZI,O,X,O,O,O,O,O,O,O,X,X,X,X
TJSZILO,O,O,O,O,O,X,O,O,X,O,X,O,X
TJSZIOL,O,O,O,O,O,X,O,O,X,O,X,X,X
TJSZLIO,O,O,O,O,O,O,O,O,X,X,X,O,X
TJSZLOI,O,O,O,O,O,O,O,O,X,X,X,X,X
TJSZOIL,O,O,O,O,O,X,O,O,X,O,X,X,X
TJSZOLI,O,O,O,O,O,O,O,O,X,X,X,X,X
TJSOILZ,O,X,O,X,O,X,O,X,O,X,O,O,X
TJSOIZL,O,X,O,X,O,X,X,X,X,X,O,O,X
TJSOLIZ,O,X,O,O,O,O,O,O,O,X,O,O,X
TJSOLZI,O,X,O,O,O,O,O,O,O,X,X,O,X
TJSOZIL,O,X,O,O,O,X,O,O,X,O,X,O,X
TJSOZLI,O,X,O,O,O,O,O,O,X,X,X,O,X
TJZILSO,O,O,X,O,X,O,X,O,O,O,X,X,X
TJZILOS,O,X,X,O,O,O,X,O,O,O,X,X,X
TJZISLO,O,O,X,O,O,X,X,O,X,O,X,O,X
TJZISOL,O,O,X,O,O,X,X,O,X,O,X,X,X
TJZIOLS,O,X,X,X,O,O,X,O,O,O,X,X,X
TJZIOSL,O,X,X,O,O,X,X,O,X,O,X,X,X
TJZLISO,O,O,O,O,X,O,O,O,O,O,X,X,X
TJZLIOS,O,X,O,O,O,O,O,O,O,O,X,X,X
TJZLSIO,O,O,O,O,X,O,O,O,O,X,X,X,X
TJZLSOI,O,O,O,O,X,O,O,O,O,X,X,X,X
TJZLOIS,O,X,O,O,O,O,O,O,O,O,X,X,X
TJZLOSI,O,O,O,O,O,O,O,O,O,X,X,X,X
TJZSILO,O,O,O,O,O,X,O,O,X,O,X,O,X
TJZSIOL,O,O,O,O,O,X,O,O,X,O,X,X,X
TJZSLIO,O,O,O,O,O,O,O,O,X,X,X,O,X
TJZSLOI,O,O,O,O,O,O,O,O,X,X,X,X,X
TJZSOIL,O,O,O,O,O,X,O,O,X,O,X,X,X
TJZSOLI,O,O,O,O,O,O,O,O,X,X,X,X,X
TJZOILS,O,X,O,X,O,O,X,O,O,O,X,X,X
TJZOISL,O,X,O,O,O,X,X,O,X,O,X,O,X
TJZOLIS,O,X,O,O,O,O,O,O,O,O,X,X,X
TJZOLSI,O,O,O,O,O,O,O,O,O,X,X,X,X
TJZOSIL,O,O,O,O,O,X,X,O,X,O,X,O,X
TJZOSLI,O,O,O,O,O,O,O,O,X,X,X,O,X
TJOILSZ,O,X,O,X,O,O,O,O,O,X,O,O,X
TJOILZS,O,X,O,X,O,O,O,O,O,O,X,X,O
TJOISLZ,O,X,X,X,O,X,O,X,O,X,O,O,X
TJOISZL,O,X,X,X,O,X,X,X,X,X,O,O,X
TJOIZLS,X,X,O,X,O,O,X,O,O,O,X,X,O
TJOIZSL,O,X,O,X,O,X,X,O,X,O,O,O,O
TJOLISZ,O,X,O,O,O,O,O,O,O,X,X,O,X
TJOLIZS,O,X,O,O,O,O,O,O,O,X,X,X,O
TJOLSIZ,O,O,O,O,O,O,O,O,O,X,O,O,X
TJOLSZI,O,O,O,O,O,O,O,O,O,X,X,O,O
TJOLZIS,O,O,O,O,O,O,O,O,O,O,X,X,O
TJOLZSI,O,O,O,O,O,O,O,O,O,X,X,X,O
TJOSILZ,O,X,X,X,O,X,O,X,O,X,O,O,X
TJOSIZL,O,O,X,X,O,X,X,X,X,X,O,O,X
TJOSLIZ,O,O,O,O,O,O,O,O,O,X,O,O,X
TJOSLZI,O,O,O,O,O,O,O,O,O,X,X,O,O
TJOSZIL,O,O,O,O,O,X,O,O,X,O,X,O,O
TJOSZLI,O,O,O,O,O,O,O,O,X,X,X,O,O
TJOZILS,O,O,O,X,O,O,X,O,O,O,X,X,O
TJOZISL,O,O,O,O,O,X,X,O,X,O,X,O,O
TJOZLIS,O,O,O,O,O,O,O,O,O,O,X,X,O
TJOZLSI,O,O,O,O,O,O,O,O,O,X,X,X,O
TJOZSIL,O,O,O,O,O,X,X,O,X,O,X,O,O
TJOZSLI,O,O,O,O,O,O,O,O,X,X,X,O,O
TSILJZO,X,O,O,O,O,X,O,X,X,X,O,O,X
TSILJOZ,X,X,O,O,O,X,O,X,X,X,O,O,X
TSILZJO,X,O,O,O,X,X,O,X,X,O,O,O,X
TSILZOJ,X,O,O,O,X,X,O,X,X,O,O,X,X
TSILOJZ,X,X,O,O,O,X,O,X,X,X,O,O,X
TSILOZJ,X,O,O,O,X,X,O,X,X,O,O,X,X
TSIJLZO,X,X,O,O,O,X,O,X,X,X,O,O,X
TSIJLOZ,X,X,O,O,O,X,O,X,X,X,O,O,X
TSIJZLO,X,O,O,O,O,X,O,X,X,X,O,O,X
TSIJZOL,X,O,O,O,O,X,O,X,X,X,O,X,X
TSIJOLZ,X,X,X,X,O,X,O,X,X,X,O,O,X
TSIJOZL,X,X,X,X,O,X,X,X,X,X,O,X,X
