sequence,v115@vhG/DJZkBClBOrBXqBUsBTtB,v115@vhGfDJ5oB/pBaqBuqB0rBzsB,v115@vhGz7IZkBXmB0nB6tBWvB3rB,v115@vhHKAJziBcpB3mB+tBXqBlsBRwB,v115@vhGz8IylBcpB3mB+tBXqBRwB,v115@vhGZEJXiBupBUmBTqBXsBSyB,v115@vhGfCJ5oB/pBaqBznBWwBUsB
TJSZIOL,X,X,O,X,X,X,X
TJSZLIO,X,X,O,X,X,X,X
TJSZLOI,X,X,O,X,X,X,X
TJSZOIL,X,X,O,X,X,X,X
TJSZOLI,X,X,O,X,X,X,X
TJSOILZ,X,X,O,X,X,O,X
TJSOIZL,X,X,O,X,X,O,X
TJSOLIZ,X,X,O,X,X,O,X
TJSOLZI,X,X,O,X,X,O,X
TJSOZIL,X,X,O,X,X,O,X
TJSOZLI,X,X,O,X,X,O,X
TJZILSO,X,X,O,O,O,X,O
TJZILOS,O,O,X,X,X,X,O
TJZISLO,X,X,O,O,O,X,O
TJZISOL,X,X,O,X,O,X,O
TJZIOLS,O,O,X,X,X,X,O
TJZIOSL,O,O,X,X,X,X,O
TJZLISO,X,X,O,O,O,X,O
TJZLIOS,O,O,X,X,X,X,O
TJZLSIO,X,X,O,X,X,X,O
TJZLSOI,X,X,O,X,X,X,O
TJZLOIS,O,O,X,X,X,X,O
TJZLOSI,O,O,X,X,X,X,O
TJZSILO,X,X,O,X,X,X,O
TJZSIOL,X,X,O,X,X,X,O
TJZSLIO,X,X,O,X,X,X,O
TJZSLOI,X,X,O,X,X,X,O
TJZSOIL,X,X,O,X,X,X,O
TJZSOLI,X,X,O,X,X,X,O
TJZOILS,O,O,X,X,X,X,O
TJZOISL,O,O,X,X,X,X,O
TJZOLIS,O,O,X,X,X,X,O
TJZOLSI,O,O,X,X,X,X,O
TJZOSIL,O,O,X,X,X,X,O
TJZOSLI,O,O,X,X,X,X,O
TJOILSZ,O,O,X,X,X,O,X
TJOILZS,O,O,X,X,X,O,X
TJOISLZ,O,O,X,X,X,O,X
TJOISZL,O,O,X,X,X,O,X
TJOIZLS,O,O,X,X,X,O,X
TJOIZSL,O,O,X,X,X,O,X
TJOLISZ,O,O,X,X,X,O,X
TJOLIZS,O,O,X,X,X,O,X
TJOLSIZ,O,O,X,X,X,O,X
TJOLSZI,O,O,X,X,X,O,X
TJOLZIS,O,O,X,X,X,O,X
TJOLZSI,O,O,X,X,X,O,X
TJOSILZ,O,O,X,X,X,O,X
TJOSIZL,O,O,X,X,X,O,X
TJOSLIZ,O,O,X,X,X,O,X
TJOSLZI,O,O,X,X,X,O,X
TJOSZIL,O,O,X,X,X,O,X
TJOSZLI,O,O,X,X,X,O,X
TJOZILS,O,O,X,X,X,O,X
TJOZISL,O,O,X,X,X,O,X
TJOZLIS,O,O,X,X,X,O,X
TJOZLSI,O,O,X,X,X,O,X
TJOZSIL,O,O,X,X,X,O,X
TJOZSLI,O,O,X,X,X,O,X
TSILJZO,X,X,O,X,X,X,X
TSILJOZ,X,X,O,X,X,O,X
TSILZJO,X,X,O,X,X,X,X
TSILZOJ,X,X,O,X,X,O,X
TSILOJZ,X,X,O,X,X,O,X
TSILOZJ,X,X,O,X,X,O,X
TSIJLZO,X,X,O,X,X,X,X
TSIJLOZ,X,X,O,X,X,O,X
TSIJZLO,X,X,O,X,X,X,X
TSIJZOL,X,X,O,X,X,X,X
TSIJOLZ,X,X,O,X,X,O,X
TSIJOZL,X,X,O,X,X,O,X
TSIZLJO,X,X,O,X,X,X,X
TSIZLOJ,X,X,O,X,X,O,X
TSIZJLO,X,X,O,X,X,X,X
TSIZJOL,X,X,O,X,X,X,X
TSIZOLJ,X,X,O,X,X,O,X
TSIZOJL,X,X,O,X,X,O,X
TSIOLJZ,X,X,O,X,X,O,X
TSIOLZJ,X,X,O,X,X,O,X
TSIOJLZ,X,X,O,X,X,O,X
TSIOJZL,X,X,O,X,X,O,X
TSIOZLJ,X,X,O,X,X,O,X
TSIOZJL,X,X,O,X,X,O,X
TSLIJZO,X,X,O,X,X,X,X
TSLIJOZ,X,X,O,X,X,O,X
TSLIZJO,X,X,O,X,X,X,X
TSLIZOJ,X,X,O,X,X,O,X
TSLIOJZ,X,X,O,X,X,O,X
TSLIOZJ,X,X,O,X,X,O,X
TSLJIZO,X,X,O,X,X,X,X
TSLJIOZ,X,X,O,X,X,O,X
TSLJZIO,X,X,O,X,X,X,X
TSLJZOI,X,X,O,X,X,X,X
TSLJOIZ,X,X,O,X,X,O,X
TSLJOZI,X,X,O,X,X,O,X
TSLZIJO,X,X,O,X,X,X,X
TSLZIOJ,X,X,O,X,X,O,X
TSLZJIO,X,X,O,X,X,X,X
TSLZJOI,X,X,O,X,X,X,X
TSLZOIJ,X,X,O,X,X,O,X
TSLZOJI,X,X,O,X,X,O,X
TSLOIJZ,X,X,O,X,X,O,X
TSLOIZJ,X,X,O,X,X,O,X
TSLOJIZ,X,X,O,X,X,O,X
TSLOJZI,X,X,O,X,X,O,X
TSLOZIJ,X,X,O,X,X,O,X
TSLOZJI,X,X,O,X,X,O,X
TSJILZO,X,X,O,X,X,X,X
TSJILOZ,X,X,O,X,X,O,X
TSJIZLO,X,X,O,X,X,X,X
TSJIZOL,X,X,O,X,X,X,X
TSJIOLZ,X,X,O,X,X,O,X
TSJIOZL,X,X,O,X,X,O,X
TSJLIZO,X,X,O,X,X,X,X
TSJLIOZ,X,X,O,X,X,O,X
TSJLZIO,X,X,O,X,X,X,X
TSJLZOI,X,X,O,X,X,X,X
TSJLOIZ,X,X,O,X,X,O,X
TSJLOZI,X,X,O,X,X,O,X
TSJZILO,X,X,O,X,X,X,X
TSJZIOL,X,X,O,X,X,X,X
TSJZLIO,X,X,O,X,X,X,X
TSJZLOI,X,X,O,X,X,X,X
TSJZOIL,X,X,O,X,X,X,X
TSJZOLI,X,X,O,X,X,X,X
TSJOILZ,X,X,O,X,X,O,X
TSJOIZL,X,X,O,X,X,O,X
TSJOLIZ,X,X,O,X,X,O,X
TSJOLZI,X,X,O,X,X,O,X
TSJOZIL,X,X,O,X,X,O,X
TSJOZLI,X,X,O,X,X,O,X
TSZILJO,X,X,O,X,X,X,X
TSZILOJ,X,X,O,X,X,O,X
TSZIJLO,X,X,O,X,X,X,X
TSZIJOL,X,X,O,X,X,X,X
TSZIOLJ,X,X,O,X,X,O,X
TSZIOJL,X,X,O,X,X,O,X
TSZLIJO,X,X,O,X,X,X,X
TSZLIOJ,X,X,O,X,X,O,X
TSZLJIO,X,X,O,X,X,X,X
TSZLJOI,X,X,O,X,X,X,X
TSZLOIJ,X,X,O,X,X,O,X
TSZLOJI,X,X,O,X,X,O,X
TSZJILO,X,X,O,X,X,X,X
TSZJIOL,X,X,O,X,X,X,X
TSZJLIO,X,X,O,X,X,X,X
TSZJLOI,X,X,O,X,X,X,X
TSZJOIL,X,X,O,X,X,X,X
TSZJOLI,X,X,O,X,X,X,X
TSZOILJ,X,X,O,X,X,O,X
TSZOIJL,X,X,O,X,X,O,X
TSZOLIJ,X,X,O,X,X,O,X
TSZOLJI,X,X,O,X,X,O,X
TSZOJIL,X,X,O,X,X,O,X
TSZOJLI,X,X,O,X,X,O,X
TSOILJZ,X,X,O,X,X,O,X
TSOILZJ,X,X,O,X,X,O,X
TSOIJLZ,X,X,O,X,X,O,X
TSOIJZL,X,X,O,X,X,O,X
TSOIZLJ,X,X,O,X,X,O,X
TSOIZJL,X,X,O,X,X,O,X
TSOLIJZ,X,X,O,X,X,O,X
TSOLIZJ,X,X,O,X,X,O,X
TSOLJIZ,X,X,O,X,X,O,X
TSOLJZI,X,X,O,X,X,O,X
TSOLZIJ,X,X,O,X,X,O,X
TSOLZJI,X,X,O,X,X,O,X
TSOJILZ,X,X,O,X,X,O,X
TSOJIZL,X,X,O,X,X,O,X
TSOJLIZ,X,X,O,X,X,O,X
TSOJLZI,X,X,O,X,X,O,X
TSOJZIL,X,X,O,X,X,O,X
TSOJZLI,X,X,O,X,X,O,X
TSOZILJ,X,X,O,X,X,O,X
TSOZIJL,X,X,O,X,X,O,X
TSOZLIJ,X,X,O,X,X,O,X
TSOZLJI,X,X,O,X,X,O,X
TSOZJIL,X,X,O,X,X,O,X
TSOZJLI,X,X,O,X,X,O,X
TZILJSO,X,X,O,O,O,X,O
TZILJOS,O,O,X,X,X,X,O
TZILSJO,X,X,O,O,O,X,O
TZILSOJ,X,X,O,X,O,O,O
TZILOJS,O,O,X,X,X,O,O
TZILOSJ,O,O,X,X,X,O,O
TZIJLSO,X,X,O,O,O,X,O
TZIJLOS,O,O,X,X,X,X,O
TZIJSLO,X,X,O,O,O,X,O
TZIJSOL,X,X,O,X,O,X,O
TZIJOLS,O,O,X,X,X,X,O
TZIJOSL,O,O,X,X,X,X,O
TZISLJO,X,X,O,O,O,X,O
TZISLOJ,X,X,O,X,O,O,O
TZISJLO,X,X,O,O,O,X,O
TZISJOL,X,X,O,X,O,X,O
TZISOLJ,X,X,O,X,O,O,O
TZISOJL,X,X,O,X,O,O,O
TZIOLJS,O,O,X,X,X,O,O
TZIOLSJ,O,O,X,X,X,O,O
TZIOJLS,O,O,X,X,X,O,O
TZIOJSL,O,O,X,X,X,O,O
TZIOSLJ,O,O,X,X,X,O,O
TZIOSJL,O,O,X,X,X,O,O
TZLIJSO,X,X,O,O,O,X,O
TZLIJOS,O,O,X,X,X,X,O
TZLISJO,X,X,O,O,O,X,O
TZLISOJ,X,X,O,X,O,O,O
TZLIOJS,O,O,X,X,X,O,O
TZLIOSJ,O,O,X,X,X,O,O
TZLJISO,X,X,O,O,O,X,O
TZLJIOS,O,O,X,X,X,X,O
TZLJSIO,X,X,O,X,X,X,O
TZLJSOI,X,X,O,X,X,X,O
TZLJOIS,O,O,X,X,X,X,O
TZLJOSI,O,O,X,X,X,X,O
TZLSIJO,X,X,O,X,X,X,O
TZLSIOJ,X,X,O,X,X,O,O
TZLSJIO,X,X,O,X,X,X,O
TZLSJOI,X,X,O,X,X,X,O
TZLSOIJ,X,X,O,X,X,O,O
TZLSOJI,X,X,O,X,X,O,O
TZLOIJS,O,O,X,X,X,O,O
TZLOISJ,O,O,X,X,X,O,O
TZLOJIS,O,O,X,X,X,O,O
TZLOJSI,O,O,X,X,X,O,O
TZLOSIJ,O,O,X,X,X,O,O
TZLOSJI,O,O,X,X,X,O,O
TZJILSO,X,X,O,O,O,X,O
TZJILOS,O,O,X,X,X,X,O
TZJISLO,X,X,O,O,O,X,O
TZJISOL,X,X,O,X,O,X,O
TZJIOLS,O,O,X,X,X,X,O
TZJIOSL,O,O,X,X,X,X,O
TZJLISO,X,X,O,O,O,X,O
TZJLIOS,O,O,X,X,X,X,O
TZJLSIO,X,X,O,X,X,X,O
TZJLSOI,X,X,O,X,X,X,O
TZJLOIS,O,O,X,X,X,X,O
TZJLOSI,O,O,X,X,X,X,O
TZJSILO,X,X,O,X,X,X,O
TZJSIOL,X,X,O,X,X,X,O
TZJSLIO,X,X,O,X,X,X,O
TZJSLOI,X,X,O,X,X,X,O
TZJSOIL,X,X,O,X,X,X,O
TZJSOLI,X,X,O,X,X,X,O
TZJOILS,O,O,X,X,X,X,O
TZJOISL,O,O,X,X,X,X,O
TZJOLIS,O,O,X,X,X,X,O
TZJOLSI,O,O,X,X,X,X,O
TZJOSIL,O,O,X,X,X,X,O
TZJOSLI,O,O,X,X,X,X,O
TZSILJO,X,X,O,X,X,X,O
TZSILOJ,X,X,O,X,X,O,O
TZSIJLO,X,X,O,X,X,X,O
TZSIJOL,X,X,O,X,X,X,O
TZSIOLJ,X,X,O,X,X,O,O
TZSIOJL,X,X,O,X,X,O,O
TZSLIJO,X,X,O,X,X,X,O
TZSLIOJ,X,X,O,X,X,O,O
TZSLJIO,X,X,O,X,X,X,O
TZSLJOI,X,X,O,X,X,X,O
TZSLOIJ,X,X,O,X,X,O,O
TZSLOJI,X,X,O,X,X,O,O
TZSJILO,X,X,O,X,X,X,O
TZSJIOL,X,X,O,X,X,X,O
TZSJLIO,X,X,O,X,X,X,O
TZSJLOI,X,X,O,X,X,X,O
TZSJOIL,X,X,O,X,X,X,O
TZSJOLI,X,X,O,X,X,X,O
TZSOILJ,X,X,O,X,X,O,O
TZSOIJL,X,X,O,X,X,O,O
TZSOLIJ,X,X,O,X,X,O,O
TZSOLJI,X,X,O,X,X,O,O
TZSOJIL,X,X,O,X,X,O,O
TZSOJLI,X,X,O,X,X,O,O
TZOILJS,O,O,X,X,X,O,O
TZOILSJ,O,O,X,X,X,O,O
TZOIJLS,O,O,X,X,X,O,O
TZOIJSL,O,O,X,X,X,O,O
TZOISLJ,O,O,X,X,X,O,O
TZOISJL,O,O,X,X,X,O,O
TZOLIJS,O,O,X,X,X,O,O
TZOLISJ,O,O,X,X,X,O,O
TZOLJIS,O,O,X,X,X,O,O
TZOLJSI,O,O,X,X,X,O,O
TZOLSIJ,O,O,X,X,X,O,O
TZOLSJI,O,O,X,X,X,O,O
TZOJILS,O,O,X,X,X,O,O
TZOJISL,O,O,X,X,X,O,O
TZOJLIS,O,O,X,X,X,O,O
TZOJLSI,O,O,X,X,X,O,O
TZOJSIL,O,O,X,X,X,O,O
TZOJSLI,O,O,X,X,X,O,O
TZOSILJ,O,O,X,X,X,O,O
TZOSIJL,O,O,X,X,X,O,O
TZOSLIJ,O,O,X,X,X,O,O
TZOSLJI,O,O,X,X,X,O,O
TZOSJIL,O,O,X,X,X,O,O
TZOSJLI,O,O,X,X,X,O,O
TOILJSZ,O,O,X,X,X,O,X
TOILJZS,O,O,X,X,X,O,X
TOILSJZ,O,O,X,X,X,O,X
TOILSZJ,O,O,X,X,X,O,X
TOILZJS,O,O,X,X,X,O,X
TOILZSJ,O,O,X,X,X,O,X
TOIJLSZ,O,O,X,X,X,O,X
TOIJLZS,O,O,X,X,X,O,X
TOIJSLZ,O,O,X,X,X,O,X
TOIJSZL,O,O,X,X,X,O,X
TOIJZLS,O,O,X,X,X,O,X
TOIJZSL,O,O,X,X,X,O,X
TOISLJZ,O,O,X,X,X,O,X
