sequence,v115@RhA8EeA8CeC8BeB8BeA8Je/EJvhGGgBZmBtmB0iB6o?B/qBzsB,v115@RhA8EeA8CeC8BeB8BeA8Je/EJvhGalBtlB0hBxiBGo?BXrBzsB,v115@RhA8EeA8CeC8BeB8BeA8Je2EJvhGRgB3hB9oBSqB0n?BXrBzsB,v115@RhA8EeA8CeC8BeB8BeA8Jem/IvhGRhB3iB9oB0kBCm?BXrBzsB,v115@RhA8EeA8CeC8BeB8BeA8Je/EJvhGRgBtmBXjBTlBer?BctB6sB,v115@RhA8EeA8CeC8BeB8BeA8Je/EJvhGRgBumB9nBTjByq?BXtB0qB,v115@RhA8EeA8CeC8BeB8BeA8Je/EJvhGRgBtmB0iB2qBSt?BzqBXtB,v115@RhA8EeA8CeC8BeB8BeA8Jem/IvhGRhB9nBTjB0kBCm?BXrBXtB,v115@RhA8EeA8CeC8BeB8BeA8Je/EJvhGalBRhB9nBTjBuq?BcrBXtB
STLIJZOS,X,X,O,O,X,X,O,O,X
STLIJOSZ,X,X,O,X,X,O,O,X,X
STLIJOZS,X,X,O,X,X,X,O,X,X
STLISJZO,O,X,O,O,X,O,X,O,X
STLISJOZ,O,X,O,X,X,O,X,O,O
STLISZJO,O,X,O,O,X,O,X,O,O
STLISZOJ,O,X,O,O,X,O,X,O,O
STLISOJZ,O,X,O,X,X,O,X,O,O
STLISOZJ,O,X,O,O,X,O,X,O,O
STLIZJSO,O,X,O,O,X,O,X,O,O
STLIZJOS,X,X,O,O,X,X,O,O,O
STLIZSJO,O,X,O,O,X,O,X,O,O
STLIZSOJ,O,X,O,O,X,O,X,O,O
STLIZOJS,X,X,O,O,X,X,X,O,X
STLIZOSJ,O,X,O,O,X,X,X,O,O
STLIOJSZ,O,X,O,O,X,O,X,X,X
STLIOJZS,O,X,O,O,X,X,X,X,X
STLIOSJZ,O,X,O,O,X,O,X,O,O
STLIOSZJ,O,X,O,O,X,O,X,O,O
STLIOZJS,O,X,O,O,X,X,X,O,X
STLIOZSJ,O,X,O,O,X,X,X,O,O
STLJISZO,O,O,O,O,X,O,X,O,X
STLJISOZ,O,O,O,X,X,O,X,O,O
STLJIZSO,O,O,O,O,X,O,X,O,X
STLJIZOS,X,X,O,O,X,X,O,O,X
STLJIOSZ,X,X,O,X,X,O,O,X,X
STLJIOZS,X,X,O,X,X,X,O,X,X
STLJSIZO,O,O,O,O,X,O,X,O,X
STLJSIOZ,O,O,O,X,X,O,X,O,O
STLJSZIO,O,O,O,O,X,O,X,O,O
STLJSZOI,O,O,O,O,X,O,O,O,O
STLJSOIZ,O,O,O,X,X,O,O,O,O
STLJSOZI,O,O,O,X,X,O,O,O,O
STLJZISO,O,O,O,O,X,O,X,O,O
STLJZIOS,X,X,O,O,X,X,O,O,O
STLJZSIO,O,O,O,O,X,O,X,O,O
STLJZSOI,O,O,O,O,O,O,O,O,O
STLJZOIS,X,X,O,O,O,X,O,O,O
STLJZOSI,X,X,O,O,O,O,O,O,O
STLJOISZ,X,X,O,X,X,O,O,X,X
STLJOIZS,X,X,O,X,O,X,O,X,X
STLJOSIZ,X,X,O,X,X,O,O,X,X
STLJOSZI,X,X,O,X,X,O,O,X,X
STLJOZIS,X,X,O,X,O,X,O,X,X
STLJOZSI,X,X,O,X,O,O,O,X,X
STLSIJZO,O,O,O,O,X,O,X,O,X
STLSIJOZ,O,O,O,X,X,O,X,O,O
STLSIZJO,O,O,O,O,X,O,X,O,O
STLSIZOJ,O,O,O,O,X,O,X,O,O
STLSIOJZ,O,O,O,X,X,O,X,O,O
STLSIOZJ,O,O,O,O,X,O,X,O,O
STLSJIZO,O,O,O,O,X,O,X,O,X
STLSJIOZ,O,O,O,X,X,O,X,O,O
STLSJZIO,O,O,O,O,X,O,X,O,O
STLSJZOI,O,O,O,O,X,O,O,O,O
STLSJOIZ,O,O,O,X,X,O,O,O,O
STLSJOZI,O,O,O,X,X,O,O,O,O
STLSZIJO,O,O,O,O,X,O,X,O,O
STLSZIOJ,O,O,O,O,X,O,X,O,O
STLSZJIO,O,O,O,O,X,O,X,O,O
STLSZJOI,O,O,O,O,X,O,O,O,O
STLSZOIJ,O,O,O,O,X,O,X,O,O
STLSZOJI,O,O,O,O,X,O,X,O,O
STLSOIJZ,O,O,O,X,X,O,X,O,O
STLSOIZJ,O,O,O,O,X,O,X,O,O
STLSOJIZ,O,O,O,X,X,O,X,O,O
STLSOJZI,O,O,O,X,X,O,X,O,O
STLSOZIJ,O,O,O,O,X,O,X,O,O
STLSOZJI,O,O,O,O,X,O,X,O,O
STLZIJSO,O,X,O,O,X,O,X,O,O
STLZIJOS,X,X,O,O,X,X,O,O,O
STLZISJO,O,O,O,O,X,O,X,O,O
STLZISOJ,O,O,O,O,X,O,X,O,O
STLZIOJS,X,X,O,O,X,X,X,O,X
STLZIOSJ,O,X,O,O,X,X,X,O,O
STLZJISO,O,O,O,O,X,O,X,O,O
STLZJIOS,X,X,O,O,X,X,O,O,O
STLZJSIO,O,O,O,O,X,O,X,O,O
STLZJSOI,O,O,O,O,O,O,O,O,O
STLZJOIS,X,X,O,O,O,X,O,O,O
STLZJOSI,X,X,O,O,O,O,O,O,O
STLZSIJO,O,O,O,O,X,O,X,O,O
STLZSIOJ,O,O,O,O,X,O,X,O,O
STLZSJIO,O,O,O,O,X,O,X,O,O
STLZSJOI,O,O,O,O,O,O,O,O,O
STLZSOIJ,O,O,O,O,X,O,X,O,O
STLZSOJI,O,O,O,O,X,O,X,O,O
STLZOIJS,X,X,O,O,X,X,X,O,X
STLZOISJ,O,O,O,O,X,X,X,O,O
STLZOJIS,X,O,O,O,X,X,O,O,O
STLZOJSI,X,O,O,O,X,O,O,O,O
STLZOSIJ,O,O,O,O,X,O,X,O,O
STLZOSJI,O,O,O,O,X,O,X,O,O
STLOIJSZ,O,X,O,O,X,O,X,X,X
STLOIJZS,O,X,O,O,X,X,X,X,X
STLOISJZ,O,X,O,O,X,O,X,O,O
STLOISZJ,O,X,O,O,X,O,X,O,O
STLOIZJS,O,X,O,O,X,X,X,O,X
STLOIZSJ,O,X,O,O,X,X,X,O,O
STLOJISZ,O,O,O,O,X,O,O,X,X
STLOJIZS,O,O,O,O,X,X,O,X,X
STLOJSIZ,O,O,O,O,X,O,O,X,X
STLOJSZI,O,O,O,O,X,O,O,X,X
STLOJZIS,O,O,O,O,X,X,O,X,X
STLOJZSI,O,O,O,O,X,O,O,X,X
STLOSIJZ,O,O,O,O,X,O,X,O,O
STLOSIZJ,O,O,O,O,X,O,X,O,O
STLOSJIZ,O,O,O,O,X,O,X,O,O
STLOSJZI,O,O,O,O,X,O,X,O,O
STLOSZIJ,O,O,O,O,X,O,X,O,O
STLOSZJI,O,O,O,O,X,O,X,O,O
STLOZIJS,O,X,O,O,X,X,X,O,X
STLOZISJ,O,O,O,O,X,X,X,O,O
STLOZJIS,O,O,O,O,X,X,O,O,O
STLOZJSI,O,O,O,O,X,O,O,O,O
STLOZSIJ,O,O,O,O,X,O,X,O,O
STLOZSJI,O,O,O,O,X,O,X,O,O
STJILSZO,O,O,O,X,X,O,X,O,X
STJILSOZ,O,O,O,X,X,O,X,O,O
STJILZSO,O,O,O,X,X,O,X,O,X
STJILZOS,X,X,O,X,X,X,O,O,X
STJILOSZ,X,X,O,X,X,O,O,X,X
STJILOZS,X,X,O,X,X,X,O,X,X
STJISLZO,O,O,O,O,X,O,X,O,X
STJISLOZ,O,O,O,X,X,O,X,O,O
STJISZLO,O,O,O,O,X,X,X,O,X
STJISZOL,O,O,X,O,X,O,X,O,X
STJISOLZ,O,O,X,X,X,O,X,O,O
STJISOZL,O,O,X,X,X,O,X,O,X
STJIZLSO,O,O,O,O,X,X,X,O,X
STJIZLOS,X,X,O,X,X,X,O,O,X
STJIZSLO,O,O,O,O,X,X,X,O,O
STJIZSOL,O,O,X,O,O,O,X,O,O
STJIZOLS,X,X,X,X,O,X,X,O,X
STJIZOSL,X,O,X,O,O,X,X,O,O
STJIOLSZ,O,X,X,X,X,O,X,X,X
STJIOLZS,O,X,X,X,O,X,X,X,X
STJIOSLZ,O,O,X,X,X,O,X,O,O
STJIOSZL,O,O,X,X,O,O,X,O,X
STJIOZLS,O,X,X,X,O,X,X,O,X
STJIOZSL,O,O,X,X,O,X,X,O,O
STJLISZO,O,O,O,O,X,O,X,O,X
STJLISOZ,O,O,O,X,X,O,X,O,O
STJLIZSO,O,O,O,O,X,O,X,O,X
STJLIZOS,X,X,O,O,X,X,O,O,X
STJLIOSZ,X,X,O,X,X,O,O,X,X
STJLIOZS,X,X,O,X,X,X,O,X,X
STJLSIZO,O,O,O,O,X,O,X,O,X
STJLSIOZ,O,O,O,X,X,O,X,O,O
STJLSZIO,O,O,O,O,X,O,X,O,O
STJLSZOI,O,O,O,O,X,O,O,O,O
STJLSOIZ,O,O,O,X,X,O,O,O,O
STJLSOZI,O,O,O,X,X,O,O,O,O
STJLZISO,O,O,O,O,X,O,X,O,O
STJLZIOS,X,X,O,O,X,X,O,O,O
STJLZSIO,O,O,O,O,X,O,X,O,O
STJLZSOI,O,O,O,O,O,O,O,O,O
STJLZOIS,X,X,O,O,O,X,O,O,O
STJLZOSI,X,X,O,O,O,O,O,O,O
STJLOISZ,X,X,O,X,X,O,O,X,X
STJLOIZS,X,X,O,X,O,X,O,X,X
STJLOSIZ,X,X,O,X,X,O,O,X,X
STJLOSZI,X,X,O,X,X,O,O,X,X
STJLOZIS,X,X,O,X,O,X,O,X,X
STJLOZSI,X,X,O,X,O,O,O,X,X
STJSILZO,O,O,O,O,X,O,X,O,X
STJSILOZ,O,O,O,X,X,O,X,O,O
STJSIZLO,O,O,O,O,X,X,X,O,X
STJSIZOL,O,O,X,O,X,O,X,O,X
STJSIOLZ,O,O,X,X,X,O,X,O,O
STJSIOZL,O,O,X,X,X,O,X,O,X
STJSLIZO,O,O,O,O,X,O,X,O,X
STJSLIOZ,O,O,O,X,X,O,X,O,O
STJSLZIO,O,O,O,O,X,O,X,O,O
STJSLZOI,O,O,O,O,X,O,O,O,O
STJSLOIZ,O,O,O,X,X,O,O,O,O
STJSLOZI,O,O,O,X,X,O,O,O,O
STJSZILO,O,O,O,O,X,X,X,O,O
STJSZIOL,O,O,X,O,O,O,X,O,O
STJSZLIO,O,O,O,O,X,O,X,O,O
STJSZLOI,O,O,O,O,O,O,O,O,O
STJSZOIL,O,O,X,O,O,O,X,O,O
STJSZOLI,O,O,O,O,O,O,X,O,O
STJSOILZ,O,O,X,X,X,O,X,O,O
STJSOIZL,O,O,X,X,O,O,X,O,X
STJSOLIZ,O,O,O,X,X,O,X,O,O
STJSOLZI,O,O,O,X,X,O,X,O,O
STJSOZIL,O,O,X,X,O,O,X,O,O
STJSOZLI,O,O,O,X,O,O,X,O,O
STJZILSO,O,O,O,O,X,X,X,O,O
STJZILOS,X,X,O,O,X,X,O,O,O
STJZISLO,O,O,O,O,X,X,X,O,O
STJZISOL,O,O,X,O,O,O,X,O,O
STJZIOLS,X,X,X,X,O,X,X,O,O
STJZIOSL,X,O,X,O,O,X,X,O,O
STJZLISO,O,O,O,O,X,O,X,O,O
STJZLIOS,X,X,O,O,X,X,O,O,O
STJZLSIO,O,O,O,O,X,O,X,O,O
STJZLSOI,O,O,O,O,O,O,O,O,O
STJZLOIS,X,X,O,O,O,X,O,O,O
STJZLOSI,X,X,O,O,O,O,O,O,O
STJZSILO,O,O,O,O,X,X,X,O,O
STJZSIOL,O,O,X,O,O,O,X,O,O
STJZSLIO,O,O,O,O,X,O,X,O,O
STJZSLOI,O,O,O,O,O,O,O,O,O
STJZSOIL,O,O,X,O,O,O,X,O,O
STJZSOLI,O,O,O,O,O,O,X,O,O
STJZOILS,X,O,X,X,O,X,X,O,O
STJZOISL,X,O,X,O,O,X,X,O,O
STJZOLIS,X,O,O,O,O,X,O,O,O
STJZOLSI,X,O,O,O,O,O,O,O,O
STJZOSIL,X,O,X,O,O,O,X,O,O
STJZOSLI,X,O,O,O,O,O,X,O,O
STJOILSZ,O,O,X,X,X,O,X,X,X
STJOILZS,O,O,X,X,O,X,X,X,X
STJOISLZ,O,O,X,X,X,O,X,O,O
STJOISZL,O,O,X,X,O,O,X,O,X
STJOIZLS,O,O,X,X,O,X,X,O,X
STJOIZSL,O,O,X,X,O,X,X,O,O
STJOLISZ,O,O,O,X,X,O,O,X,X
STJOLIZS,O,O,O,X,O,X,O,X,X
STJOLSIZ,O,O,O,X,X,O,O,X,X
STJOLSZI,O,O,O,X,X,O,O,X,X
STJOLZIS,O,O,O,X,O,X,O,X,X
STJOLZSI,O,O,O,X,O,O,O,X,X
STJOSILZ,O,O,X,X,X,O,X,O,O
STJOSIZL,O,O,X,X,O,O,X,O,X
STJOSLIZ,O,O,O,X,X,O,X,O,O
STJOSLZI,O,O,O,X,X,O,X,O,O
STJOSZIL,O,O,X,X,O,O,X,O,O
STJOSZLI,O,O,O,X,O,O,X,O,O
STJOZILS,O,O,X,X,O,X,X,O,O
STJOZISL,O,O,X,X,O,X,X,O,O
STJOZLIS,O,O,O,X,O,X,O,O,O
STJOZLSI,O,O,O,X,O,O,O,O,O
STJOZSIL,O,O,X,X,O,O,X,O,O
STJOZSLI,O,O,O,X,O,O,X,O,O
STSILJZO,O,O,O,O,X,O,X,O,X
STSILJOZ,O,O,O,X,X,O,X,O,O
STSILZJO,O,O,O,O,X,O,X,O,O
STSILZOJ,O,O,O,O,X,O,X,O,O
STSILOJZ,O,O,O,X,X,O,X,O,O
STSILOZJ,O,O,O,O,X,O,X,O,O
STSIJLZO,O,O,O,O,X,O,X,O,X
STSIJLOZ,O,O,O,X,X,O,X,O,O
STSIJZLO,O,O,O,O,X,X,X,O,X
STSIJZOL,O,O,X,O,X,O,X,O,X
STSIJOLZ,O,O,X,X,X,O,X,O,O
STSIJOZL,O,O,X,X,X,O,X,O,X
STSIZLJO,O,O,O,O,X,O,X,O,O
STSIZLOJ,O,O,O,O,X,O,X,O,O
STSIZJLO,O,O,O,O,X,X,X,O,O
STSIZJOL,O,O,X,O,X,O,X,O,O
STSIZOLJ,O,O,X,X,X,O,X,O,O
STSIZOJL,O,O,X,O,X,O,X,O,O
STSIOLJZ,O,O,X,X,X,O,X,O,O
STSIOLZJ,O,O,X,O,X,O,X,O,O
STSIOJLZ,O,O,X,X,X,O,X,O,O
STSIOJZL,O,O,X,X,X,O,X,O,X
STSIOZLJ,O,O,X,X,X,O,X,O,O
STSIOZJL,O,O,X,O,X,O,X,O,O
STSLIJZO,O,O,O,O,X,O,X,O,X
STSLIJOZ,O,O,O,X,X,O,X,O,O
STSLIZJO,O,O,O,O,X,O,X,O,O
STSLIZOJ,O,O,O,O,X,O,X,O,O
STSLIOJZ,O,O,O,X,X,O,X,O,O
STSLIOZJ,O,O,O,O,X,O,X,O,O
STSLJIZO,O,O,O,O,X,O,X,O,X
STSLJIOZ,O,O,O,X,X,O,X,O,O
STSLJZIO,O,O,O,O,X,O,X,O,O
STSLJZOI,O,O,O,O,X,O,O,O,O
STSLJOIZ,O,O,O,X,X,O,O,O,O
STSLJOZI,O,O,O,X,X,O,O,O,O
STSLZIJO,O,O,O,O,X,O,X,O,O
STSLZIOJ,O,O,O,O,X,O,X,O,O
STSLZJIO,O,O,O,O,X,O,X,O,O
STSLZJOI,O,O,O,O,X,O,O,O,O
STSLZOIJ,O,O,O,O,X,O,X,O,O
STSLZOJI,O,O,O,O,X,O,X,O,O
STSLOIJZ,O,O,O,X,X,O,X,O,O
STSLOIZJ,O,O,O,O,X,O,X,O,O
STSLOJIZ,O,O,O,X,X,O,X,O,O
STSLOJZI,O,O,O,X,X,O,X,O,O
STSLOZIJ,O,O,O,O,X,O,X,O,O
STSLOZJI,O,O,O,O,X,O,X,O,O
STSJILZO,O,O,O,O,X,O,X,O,X
STSJILOZ,O,O,O,X,X,O,X,O,O
STSJIZLO,O,O,O,O,X,X,X,O,X
STSJIZOL,O,O,X,O,X,O,X,O,X
STSJIOLZ,O,O,X,X,X,O,X,O,O
STSJIOZL,O,O,X,X,X,O,X,O,X
STSJLIZO,O,O,O,O,X,O,X,O,X
STSJLIOZ,O,O,O,X,X,O,X,O,O
STSJLZIO,O,O,O,O,X,O,X,O,O
STSJLZOI,O,O,O,O,X,O,O,O,O
STSJLOIZ,O,O,O,X,X,O,O,O,O
STSJLOZI,O,O,O,X,X,O,O,O,O
STSJZILO,O,O,O,O,X,X,X,O,O
STSJZIOL,O,O,X,O,O,O,X,O,O
STSJZLIO,O,O,O,O,X,O,X,O,O
STSJZLOI,O,O,O,O,O,O,O,O,O
STSJZOIL,O,O,X,O,O,O,X,O,O
STSJZOLI,O,O,O,O,O,O,X,O,O
STSJOILZ,O,O,X,X,X,O,X,O,O
STSJOIZL,O,O,X,X,O,O,X,O,X
STSJOLIZ,O,O,O,X,X,O,X,O,O
STSJOLZI,O,O,O,X,X,O,X,O,O
STSJOZIL,O,O,X,X,O,O,X,O,O
STSJOZLI,O,O,O,X,O,O,X,O,O
STSZILJO,O,O,O,O,X,O,X,O,O
STSZILOJ,O,O,O,O,X,O,X,O,O
STSZIJLO,O,O,O,O,X,X,X,O,O
STSZIJOL,O,O,X,O,O,O,X,O,O
STSZIOLJ,O,O,X,X,X,O,X,O,O
STSZIOJL,O,O,X,O,X,O,X,O,O
STSZLIJO,O,O,O,O,X,O,X,O,O
STSZLIOJ,O,O,O,O,X,O,X,O,O
STSZLJIO,O,O,O,O,X,O,X,O,O
STSZLJOI,O,O,O,O,O,O,O,O,O
STSZLOIJ,O,O,O,O,X,O,X,O,O
STSZLOJI,O,O,O,O,X,O,X,O,O
STSZJILO,O,O,O,O,X,X,X,O,O
STSZJIOL,O,O,X,O,O,O,X,O,O
STSZJLIO,O,O,O,O,X,O,X,O,O
STSZJLOI,O,O,O,O,O,O,O,O,O
STSZJOIL,O,O,X,O,O,O,X,O,O
STSZJOLI,O,O,O,O,O,O,X,O,O
STSZOILJ,O,O,X,X,X,O,X,O,O
STSZOIJL,O,O,X,O,X,O,X,O,O
STSZOLIJ,O,O,O,O,X,O,X,O,O
STSZOLJI,O,O,O,O,X,O,X,O,O
STSZOJIL,O,O,X,O,O,O,X,O,O
STSZOJLI,O,O,O,O,O,O,X,O,O
STSOILJZ,O,O,X,X,X,O,X,O,O
STSOILZJ,O,O,X,O,X,O,X,O,O
STSOIJLZ,O,O,X,X,X,O,X,O,O
STSOIJZL,O,O,X,X,X,O,X,O,X
STSOIZLJ,O,O,X,X,X,O,X,O,O
STSOIZJL,O,O,X,O,X,O,X,O,O
STSOLIJZ,O,O,O,X,X,O,X,O,O
STSOLIZJ,O,O,O,O,X,O,X,O,O
STSOLJIZ,O,O,O,X,X,O,X,O,O
STSOLJZI,O,O,O,X,X,O,X,O,O
STSOLZIJ,O,O,O,O,X,O,X,O,O
STSOLZJI,O,O,O,O,X,O,X,O,O
STSOJILZ,O,O,X,X,X,O,X,O,O
STSOJIZL,O,O,X,X,X,O,X,O,X
STSOJLIZ,O,O,O,X,X,O,X,O,O
STSOJLZI,O,O,O,X,X,O,X,O,O
STSOJZIL,O,O,X,X,X,O,X,O,O
STSOJZLI,O,O,O,X,X,O,X,O,O
STSOZILJ,O,O,X,X,X,O,X,O,O
STSOZIJL,O,O,X,O,X,O,X,O,O
STSOZLIJ,O,O,O,O,X,O,X,O,O
STSOZLJI,O,O,O,O,X,O,X,O,O
STSOZJIL,O,O,X,O,X,O,X,O,O
STSOZJLI,O,O,O,O,X,O,X,O,O
STZILJSO,O,X,O,O,X,O,X,O,O
STZILJOS,X,X,O,O,X,X,O,O,O
STZILSJO,O,O,O,O,X,O,X,O,O
STZILSOJ,O,O,O,O,X,O,X,O,O
STZILOJS,X,X,O,O,X,X,X,O,X
STZILOSJ,O,X,O,O,X,X,X,O,O
STZIJLSO,O,O,O,O,X,X,X,O,O
STZIJLOS,X,X,O,O,X,X,O,O,O
STZIJSLO,O,O,O,O,X,X,X,O,O
STZIJSOL,O,O,X,O,O,O,X,O,O
STZIJOLS,X,X,X,X,O,X,X,O,O
STZIJOSL,X,O,X,O,O,X,X,O,O
STZISLJO,O,O,O,O,X,O,X,O,O
STZISLOJ,O,O,O,O,X,O,X,O,O
STZISJLO,O,O,O,O,X,X,X,O,O
STZISJOL,O,O,X,O,O,O,X,O,O
STZISOLJ,O,O,X,X,X,O,X,O,O
STZISOJL,O,O,X,O,X,O,X,O,O
STZIOLJS,O,X,X,X,X,X,X,O,X
