sequence,v115@9gB8HeB8HeB8HeB8AeA8AeB8BeA8JeZFJvhFulBfnB?0iB6oBNrBzsB,v115@9gB8HeB8HeB8HeB8AeA8AeB8BeA8JeZFJvhFulBzhB?foB6oBNrB0sB,v115@9gB8HeB8HeB8HeB8AeA8AeB8BeA8JeZFJvhFChB8mB?+nBTjBdrBXtB,v115@9gB8HeB8HeB8HeB8AeA8AeB8BeA8JeiAJvhFRiB9oB?cqBOrBXnBzsB,v115@9gB8HeB8HeB8HeB8AeA8AeB8BeA8JeZFJvhFulB3hB?9oB0nBirBzsB
LTSIZJO,O,X,O,O,O
LTSIZOJ,O,X,O,O,O
LTSIOJZ,O,X,O,X,O
LTSIOZJ,O,X,O,X,O
LTSJIZO,O,X,O,O,O
LTSJIOZ,O,X,O,X,O
LTSJZIO,O,X,O,O,O
LTSJZOI,O,X,O,O,O
LTSJOIZ,O,X,O,X,O
LTSJOZI,O,X,O,X,O
LTSZIJO,O,X,O,O,O
LTSZIOJ,O,X,O,O,O
LTSZJIO,O,X,O,O,O
LTSZJOI,O,X,O,O,O
LTSZOIJ,O,X,O,O,O
LTSZOJI,O,X,O,X,O
LTSOIJZ,O,X,O,X,O
LTSOIZJ,O,X,O,X,O
LTSOJIZ,O,X,O,X,O
LTSOJZI,O,X,O,X,O
LTSOZIJ,O,X,O,X,O
LTSOZJI,O,X,O,X,O
LTZIJSO,O,O,O,O,O
LTZIJOS,O,O,O,O,O
LTZISJO,O,O,O,O,O
LTZISOJ,O,O,O,O,O
LTZIOJS,O,O,O,O,O
LTZIOSJ,O,O,O,O,O
LTZJISO,O,O,O,O,O
LTZJIOS,O,O,O,O,O
LTZJSIO,O,O,O,O,O
LTZJSOI,O,O,O,O,O
LTZJOIS,O,O,O,O,O
LTZJOSI,O,O,O,O,O
LTZSIJO,O,O,O,O,O
LTZSIOJ,O,O,O,O,O
LTZSJIO,O,O,O,O,O
LTZSJOI,O,O,O,O,O
LTZSOIJ,O,O,O,O,O
LTZSOJI,O,O,O,X,O
LTZOIJS,O,O,O,O,O
LTZOISJ,O,O,O,O,O
LTZOJIS,O,O,O,O,O
LTZOJSI,O,O,O,O,O
LTZOSIJ,O,O,O,O,O
LTZOSJI,O,O,O,X,O
LTOIJSZ,O,X,X,X,O
LTOIJZS,O,O,X,X,O
LTOISJZ,O,X,X,X,O
LTOISZJ,O,X,O,X,O
LTOIZJS,O,O,O,X,O
LTOIZSJ,O,O,O,X,O
LTOJISZ,O,X,X,X,O
LTOJIZS,O,O,X,X,O
LTOJSIZ,O,X,X,X,O
LTOJSZI,O,X,X,X,O
LTOJZIS,O,O,X,X,O
LTOJZSI,O,O,X,X,O
LTOSIJZ,O,X,X,X,O
LTOSIZJ,O,X,O,X,O
LTOSJIZ,O,X,X,X,O
LTOSJZI,O,X,X,X,O
LTOSZIJ,O,X,O,X,O
LTOSZJI,O,X,O,X,O
LTOZIJS,O,O,O,X,O
LTOZISJ,O,O,O,X,O
LTOZJIS,O,O,O,X,O
LTOZJSI,O,O,O,X,O
LTOZSIJ,O,O,O,X,O
LTOZSJI,O,O,O,X,O
LITJSZO,O,X,O,X,O
LITJSOZ,O,X,O,X,O
LITJZSO,O,O,O,X,O
LITJZOS,O,O,O,X,O
LITJOSZ,O,X,X,X,O
LITJOZS,O,O,X,X,O
LITSJZO,O,X,O,X,O
LITSJOZ,O,X,O,X,O
LITSZJO,O,X,O,X,O
LITSZOJ,O,X,O,X,O
LITSOJZ,O,X,O,X,O
LITSOZJ,O,X,O,X,O
LITZJSO,O,O,O,X,O
LITZJOS,O,O,O,X,O
LITZSJO,O,O,O,X,O
LITZSOJ,O,O,O,X,O
LITZOJS,O,O,O,X,O
LITZOSJ,O,O,O,X,O
LITOJSZ,O,X,X,X,O
LITOJZS,O,O,X,X,O
LITOSJZ,O,X,X,X,O
LITOSZJ,O,X,O,X,O
LITOZJS,O,O,O,X,O
LITOZSJ,O,O,O,X,O
LIJTSZO,O,X,O,X,O
LIJTSOZ,O,X,O,X,O
LIJTZSO,O,O,O,X,O
LIJTZOS,O,O,O,X,O
LIJTOSZ,O,X,X,X,O
LIJTOZS,O,O,X,X,O
LIJSTZO,O,X,O,X,O
LIJSTOZ,O,X,O,X,O
LIJSZTO,O,X,O,X,O
LIJSZOT,X,X,O,X,O
LIJSOTZ,O,X,O,X,O
LIJSOZT,X,X,O,X,O
LIJZTSO,O,X,O,X,O
LIJZTOS,O,X,O,X,O
LIJZSTO,X,X,O,X,O
LIJZSOT,X,X,O,X,O
LIJZOTS,O,X,X,X,O
LIJZOST,X,X,X,X,O
LIJOTSZ,O,X,X,X,O
LIJOTZS,O,X,X,X,O
LIJOSTZ,O,X,X,X,O
LIJOSZT,O,X,X,X,O
LIJOZTS,O,X,X,X,O
LIJOZST,O,X,X,X,O
LISTJZO,O,X,O,X,O
LISTJOZ,O,X,O,X,O
LISTZJO,O,X,O,X,O
LISTZOJ,O,X,O,X,O
LISTOJZ,O,X,O,X,O
LISTOZJ,O,X,O,X,O
LISJTZO,O,X,O,X,O
LISJTOZ,O,X,O,X,O
LISJZTO,O,X,O,X,O
LISJZOT,X,X,O,X,O
LISJOTZ,O,X,O,X,O
LISJOZT,X,X,O,X,O
LISZTJO,O,X,O,X,O
LISZTOJ,O,X,O,X,O
LISZJTO,O,X,O,X,O
LISZJOT,X,X,O,X,O
LISZOTJ,O,X,X,X,O
LISZOJT,X,X,X,X,O
LISOTJZ,O,X,O,X,O
LISOTZJ,O,X,X,X,O
LISOJTZ,O,X,O,X,O
LISOJZT,O,X,O,X,O
LISOZTJ,O,X,X,X,O
LISOZJT,O,X,X,X,O
LIZTJSO,O,O,O,X,O
LIZTJOS,O,O,O,X,O
LIZTSJO,O,O,O,X,O
LIZTSOJ,O,O,O,X,O
LIZTOJS,O,O,O,X,O
LIZTOSJ,O,O,O,X,O
LIZJTSO,O,X,O,X,O
LIZJTOS,O,X,O,X,O
LIZJSTO,X,X,O,X,O
LIZJSOT,X,X,O,X,O
LIZJOTS,O,X,X,X,O
LIZJOST,X,X,X,X,O
LIZSTJO,O,O,O,X,O
LIZSTOJ,O,O,O,X,O
LIZSJTO,O,O,O,X,O
LIZSJOT,X,O,O,X,O
LIZSOTJ,O,O,X,X,O
LIZSOJT,X,O,X,X,O
LIZOTJS,O,O,X,X,O
LIZOTSJ,O,O,X,X,O
LIZOJTS,O,X,X,X,O
LIZOJST,O,X,X,X,O
LIZOSTJ,O,O,X,X,O
LIZOSJT,O,O,X,X,O
LIOTJSZ,O,X,X,X,O
LIOTJZS,O,X,X,X,O
LIOTSJZ,O,X,X,X,O
LIOTSZJ,O,X,X,X,O
LIOTZJS,O,X,X,X,O
LIOTZSJ,O,X,X,X,O
LIOJTSZ,O,X,X,X,O
LIOJTZS,O,X,X,X,O
LIOJSTZ,O,X,X,X,O
LIOJSZT,O,X,X,X,O
LIOJZTS,O,X,X,X,O
LIOJZST,O,X,X,X,O
LIOSTJZ,O,X,X,X,O
LIOSTZJ,O,X,X,X,O
LIOSJTZ,O,X,X,X,O
LIOSJZT,O,X,X,X,O
LIOSZTJ,O,X,X,X,O
LIOSZJT,O,X,X,X,O
LIOZTJS,O,X,X,X,O
LIOZTSJ,O,X,X,X,O
LIOZJTS,O,X,X,X,O
LIOZJST,O,X,X,X,O
LIOZSTJ,O,X,X,X,O
LIOZSJT,O,X,X,X,O
LJTISZO,O,X,O,X,O
LJTISOZ,O,X,O,X,O
LJTIZSO,O,O,O,O,O
LJTIZOS,O,O,O,O,O
LJTIOSZ,O,X,X,X,O
LJTIOZS,O,O,X,X,O
LJTSIZO,O,X,O,O,O
LJTSIOZ,O,X,O,X,O
LJTSZIO,O,X,O,O,O
LJTSZOI,O,X,O,O,O
LJTSOIZ,O,X,O,X,O
LJTSOZI,O,X,O,X,O
LJTZISO,O,O,O,O,O
LJTZIOS,O,O,O,O,O
LJTZSIO,O,O,O,O,O
LJTZSOI,O,O,O,O,O
LJTZOIS,O,O,O,O,O
LJTZOSI,O,O,O,O,O
LJTOISZ,O,X,X,X,O
LJTOIZS,O,O,X,X,O
LJTOSIZ,O,X,X,X,O
LJTOSZI,O,X,X,X,O
LJTOZIS,O,O,X,X,O
LJTOZSI,O,O,X,X,O
LJITSZO,O,X,O,X,O
LJITSOZ,O,X,O,X,O
LJITZSO,O,O,O,X,O
LJITZOS,O,O,O,X,O
LJITOSZ,O,X,X,X,O
LJITOZS,O,O,X,X,O
LJISTZO,O,X,O,X,O
LJISTOZ,O,X,O,X,O
LJISZTO,O,X,O,X,O
LJISZOT,X,X,O,X,O
LJISOTZ,O,X,O,X,O
LJISOZT,X,X,O,X,O
LJIZTSO,O,X,O,X,O
LJIZTOS,O,X,O,X,O
LJIZSTO,X,X,O,X,O
LJIZSOT,X,X,O,X,O
LJIZOTS,O,X,X,X,O
LJIZOST,X,X,X,X,O
LJIOTSZ,O,X,X,X,O
LJIOTZS,O,X,X,X,O
LJIOSTZ,O,X,X,X,O
LJIOSZT,O,X,X,X,O
LJIOZTS,O,X,X,X,O
LJIOZST,O,X,X,X,O
LJSTIZO,O,X,O,O,O
LJSTIOZ,O,X,O,X,O
LJSTZIO,O,X,O,O,O
LJSTZOI,O,X,O,O,O
LJSTOIZ,O,X,O,X,O
LJSTOZI,O,X,O,X,O
LJSITZO,O,X,O,X,O
LJSITOZ,O,X,O,X,O
LJSIZTO,O,X,O,X,O
LJSIZOT,X,X,O,X,O
LJSIOTZ,O,X,O,X,O
LJSIOZT,X,X,O,X,O
LJSZTIO,O,X,O,O,O
LJSZTOI,O,X,O,O,O
LJSZITO,O,X,O,O,O
LJSZIOT,X,X,O,X,O
LJSZOTI,X,X,O,O,O
LJSZOIT,X,X,O,X,O
LJSOTIZ,O,X,O,X,O
LJSOTZI,O,X,O,X,O
LJSOITZ,O,X,O,X,O
LJSOIZT,X,X,O,X,O
LJSOZTI,X,X,O,X,O
LJSOZIT,X,X,O,X,O
LJZTISO,O,X,O,O,O
LJZTIOS,O,X,O,O,O
LJZTSIO,O,X,O,O,O
LJZTSOI,O,X,O,O,O
LJZTOIS,O,X,O,O,O
LJZTOSI,O,X,O,O,O
LJZITSO,O,X,O,O,O
LJZITOS,O,X,O,O,O
LJZISTO,X,X,O,O,O
LJZISOT,X,X,O,X,O
LJZIOTS,O,X,X,O,O
LJZIOST,X,X,X,O,O
LJZSTIO,X,X,O,O,O
LJZSTOI,X,X,O,O,O
LJZSITO,X,X,O,O,O
LJZSIOT,X,X,O,X,O
LJZSOTI,X,X,O,O,O
LJZSOIT,X,X,O,O,O
LJZOTIS,O,X,X,O,O
LJZOTSI,O,X,X,O,O
LJZOITS,O,X,X,O,O
LJZOIST,X,X,X,O,O
LJZOSTI,X,X,X,O,O
LJZOSIT,X,X,X,O,O
LJOTISZ,O,X,X,X,O
LJOTIZS,O,X,X,O,O
LJOTSIZ,O,X,X,O,O
LJOTSZI,O,X,X,O,O
LJOTZIS,O,X,X,O,O
LJOTZSI,O,X,X,O,O
LJOITSZ,O,X,X,X,O
LJOITZS,O,X,X,X,O
LJOISTZ,O,X,X,X,O
LJOISZT,O,X,X,X,O
LJOIZTS,O,X,X,X,O
LJOIZST,O,X,X,X,O
LJOSTIZ,O,X,X,O,O
LJOSTZI,O,X,X,O,O
LJOSITZ,O,X,X,X,O
LJOSIZT,O,X,X,X,O
LJOSZTI,O,X,X,O,O
LJOSZIT,O,X,X,O,O
LJOZTIS,O,X,X,O,O
LJOZTSI,O,X,X,O,O
LJOZITS,O,X,X,O,O
LJOZIST,O,X,X,O,O
LJOZSTI,O,X,X,O,O
LJOZSIT,O,X,X,O,O
LSTIJZO,O,X,O,X,O
LSTIJOZ,O,X,O,X,O
LSTIZJO,O,X,O,O,O
LSTIZOJ,O,X,O,O,O
LSTIOJZ,O,X,O,X,O
LSTIOZJ,O,X,O,X,O
LSTJIZO,O,X,O,O,O
LSTJIOZ,O,X,O,X,O
LSTJZIO,O,X,O,O,O
LSTJZOI,O,X,O,O,O
LSTJOIZ,O,X,O,X,O
LSTJOZI,O,X,O,X,O
LSTZIJO,O,X,O,O,O
LSTZIOJ,O,X,O,O,O
LSTZJIO,O,X,O,O,O
LSTZJOI,O,X,O,O,O
LSTZOIJ,O,X,O,O,O
LSTZOJI,O,X,O,X,O
LSTOIJZ,O,X,O,X,O
LSTOIZJ,O,X,O,X,O
LSTOJIZ,O,X,O,X,O
LSTOJZI,O,X,O,X,O
LSTOZIJ,O,X,O,X,O
LSTOZJI,O,X,O,X,O
LSITJZO,O,X,O,X,O
LSITJOZ,O,X,O,X,O
LSITZJO,O,X,O,X,O
LSITZOJ,O,X,O,X,O
LSITOJZ,O,X,O,X,O
LSITOZJ,O,X,O,X,O
LSIJTZO,O,X,O,X,O
LSIJTOZ,O,X,O,X,O
LSIJZTO,O,X,O,X,O
LSIJZOT,X,X,O,X,O
LSIJOTZ,O,X,O,X,O
LSIJOZT,X,X,O,X,O
LSIZTJO,O,X,O,X,O
LSIZTOJ,O,X,O,X,O
LSIZJTO,O,X,O,X,O
LSIZJOT,X,X,O,X,O
LSIZOTJ,O,X,X,X,O
LSIZOJT,X,X,X,X,O
LSIOTJZ,O,X,O,X,O
LSIOTZJ,O,X,X,X,O
LSIOJTZ,O,X,O,X,O
LSIOJZT,O,X,O,X,O
LSIOZTJ,O,X,X,X,O
LSIOZJT,O,X,X,X,O
LSJTIZO,O,X,O,O,O
LSJTIOZ,O,X,O,X,O
LSJTZIO,O,X,O,O,O
LSJTZOI,O,X,O,O,O
LSJTOIZ,O,X,O,X,O
LSJTOZI,O,X,O,X,O
LSJITZO,O,X,O,X,O
LSJITOZ,O,X,O,X,O
LSJIZTO,O,X,O,X,O
LSJIZOT,X,X,O,X,O
LSJIOTZ,O,X,O,X,O
LSJIOZT,X,X,O,X,O
LSJZTIO,O,X,O,O,O
LSJZTOI,O,X,O,O,O
LSJZITO,O,X,O,O,O
LSJZIOT,X,X,O,X,O
LSJZOTI,X,X,O,O,O
LSJZOIT,X,X,O,X,O
LSJOTIZ,O,X,O,X,O
LSJOTZI,O,X,O,X,O
LSJOITZ,O,X,O,X,O
LSJOIZT,X,X,O,X,O
LSJOZTI,X,X,O,X,O
LSJOZIT,X,X,O,X,O
LSZTIJO,O,X,O,O,O
LSZTIOJ,O,X,O,O,O
LSZTJIO,O,X,O,O,O
LSZTJOI,O,X,O,O,O
LSZTOIJ,O,X,O,O,O
LSZTOJI,O,X,O,X,O
LSZITJO,O,X,O,O,O
LSZITOJ,O,X,O,O,O
LSZIJTO,O,X,O,X,O
LSZIJOT,X,X,O,X,O
LSZIOTJ,O,X,X,X,O
LSZIOJT,X,X,X,X,O
LSZJTIO,O,X,O,O,O
LSZJTOI,O,X,O,O,O
LSZJITO,O,X,O,O,O
LSZJIOT,X,X,O,X,O
LSZJOTI,X,X,O,O,O
LSZJOIT,X,X,O,X,O
LSZOTIJ,O,X,X,O,O
LSZOTJI,O,X,X,X,O
LSZOITJ,O,X,X,X,O
LSZOIJT,X,X,X,X,O
LSZOJTI,X,X,X,X,O
LSZOJIT,X,X,X,X,O
LSOTIJZ,O,X,O,X,O
LSOTIZJ,O,X,X,X,O
LSOTJIZ,O,X,O,X,O
LSOTJZI,O,X,O,X,O
LSOTZIJ,O,X,X,X,O
LSOTZJI,O,X,X,X,O
LSOITJZ,O,X,O,X,O
LSOITZJ,O,X,X,X,O
LSOIJTZ,O,X,O,X,O
LSOIJZT,O,X,O,X,O
LSOIZTJ,O,X,X,X,O
LSOIZJT,O,X,X,X,O
LSOJTIZ,O,X,O,X,O
LSOJTZI,O,X,O,X,O
LSOJITZ,O,X,O,X,O
LSOJIZT,O,X,O,X,O
LSOJZTI,O,X,O,X,O
LSOJZIT,O,X,O,X,O
LSOZTIJ,O,X,X,X,O
LSOZTJI,O,X,X,X,O
LSOZITJ,O,X,X,X,O
LSOZIJT,O,X,X,X,O
LSOZJTI,O,X,X,X,O
LSOZJIT,O,X,X,X,O
LZTIJSO,O,O,O,O,O
LZTIJOS,O,O,O,O,O
LZTISJO,O,O,O,O,O
LZTISOJ,O,O,O,O,O
LZTIOJS,O,O,O,O,O
LZTIOSJ,O,O,O,O,O
LZTJISO,O,O,O,O,O
LZTJIOS,O,O,O,O,O
LZTJSIO,O,O,O,O,O
LZTJSOI,O,O,O,O,O
LZTJOIS,O,O,O,O,O
LZTJOSI,O,O,O,O,O
LZTSIJO,O,O,O,O,O
LZTSIOJ,O,O,O,O,O
LZTSJIO,O,O,O,O,O
LZTSJOI,O,O,O,O,O
LZTSOIJ,O,O,O,O,O
LZTSOJI,O,O,O,X,O
LZTOIJS,O,O,O,O,O
LZTOISJ,O,O,O,O,O
LZTOJIS,O,O,O,O,O
LZTOJSI,O,O,O,O,O
LZTOSIJ,O,O,O,O,O
LZTOSJI,O,O,O,O,O
LZITJSO,O,O,O,O,O
LZITJOS,O,O,O,O,O
LZITSJO,O,O,O,O,O
LZITSOJ,O,O,O,O,O
LZITOJS,O,O,O,O,O
LZITOSJ,O,O,O,O,O
LZIJTSO,O,X,O,O,O
LZIJTOS,O,X,O,O,O
LZIJSTO,X,X,O,O,O
LZIJSOT,X,X,O,X,O
LZIJOTS,O,X,X,O,O
LZIJOST,X,X,X,O,O
LZISTJO,O,O,O,O,O
LZISTOJ,O,O,O,O,O
LZISJTO,O,O,O,X,O
LZISJOT,X,O,O,X,O
LZISOTJ,O,O,X,X,O
LZISOJT,X,O,X,X,O
LZIOTJS,O,O,X,O,O
LZIOTSJ,O,O,X,O,O
LZIOJTS,O,X,X,O,O
LZIOJST,O,X,X,O,O
LZIOSTJ,O,O,X,O,O
LZIOSJT,O,O,X,X,O
LZJTISO,O,X,O,O,O
LZJTIOS,O,X,O,O,O
LZJTSIO,O,X,O,O,O
LZJTSOI,O,X,O,O,O
LZJTOIS,O,X,O,O,O
LZJTOSI,O,X,O,O,O
LZJITSO,O,X,O,O,O
LZJITOS,O,X,O,O,O
LZJISTO,X,X,O,O,O
LZJISOT,X,X,O,X,O
LZJIOTS,O,X,X,O,O
LZJIOST,X,X,X,O,O
LZJSTIO,X,X,O,O,O
LZJSTOI,X,X,O,O,O
LZJSITO,X,X,O,O,O
LZJSIOT,X,X,O,X,O
LZJSOTI,X,X,O,O,O
LZJSOIT,X,X,O,O,O
LZJOTIS,O,X,X,O,O
LZJOTSI,O,X,X,O,O
LZJOITS,O,X,X,O,O
LZJOIST,X,X,X,O,O
LZJOSTI,X,X,X,O,O
LZJOSIT,X,X,X,O,O
LZSTIJO,O,O,O,O,O
LZSTIOJ,O,O,O,O,O
LZSTJIO,O,O,O,O,O
LZSTJOI,O,O,O,O,O
LZSTOIJ,O,O,O,O,O
LZSTOJI,O,O,O,X,O
LZSITJO,O,O,O,O,O
LZSITOJ,O,O,O,O,O
LZSIJTO,O,O,O,X,O
LZSIJOT,X,O,O,X,O
LZSIOTJ,O,O,X,X,O
LZSIOJT,X,O,X,X,O
LZSJTIO,O,O,O,O,O
LZSJTOI,O,O,O,O,O
LZSJITO,O,O,O,O,O
LZSJIOT,X,O,O,X,O
LZSJOTI,X,O,O,O,O
LZSJOIT,X,O,O,O,O
LZSOTIJ,O,O,X,O,O
LZSOTJI,O,O,X,O,O
LZSOITJ,O,O,X,O,O
LZSOIJT,X,O,X,X,O
LZSOJTI,X,O,X,O,O
LZSOJIT,X,O,X,O,O
LZOTIJS,O,O,X,O,O
LZOTISJ,O,O,X,O,O
LZOTJIS,O,O,X,O,O
LZOTJSI,O,O,X,O,O
LZOTSIJ,O,O,X,O,O
LZOTSJI,O,O,X,O,O
LZOITJS,O,O,X,O,O
LZOITSJ,O,O,X,O,O
LZOIJTS,O,X,X,O,O
LZOIJST,O,X,X,O,O
LZOISTJ,O,O,X,O,O
LZOISJT,O,O,X,X,O
LZOJTIS,O,X,X,O,O
LZOJTSI,O,X,X,O,O
LZOJITS,O,X,X,O,O
LZOJIST,O,X,X,O,O
LZOJSTI,O,X,X,O,O
LZOJSIT,O,X,X,O,O
LZOSTIJ,O,O,X,O,O
LZOSTJI,O,O,X,O,O
LZOSITJ,O,O,X,O,O
LZOSIJT,O,O,X,X,O
LZOSJTI,O,O,X,O,O
LZOSJIT,O,O,X,O,O
LOTIJSZ,O,X,X,X,O
LOTIJZS,O,X,X,O,O
LOTISJZ,O,X,X,X,O
LOTISZJ,O,X,X,O,O
LOTIZJS,O,X,X,O,O
LOTIZSJ,O,X,X,O,O
LOTJISZ,O,X,X,X,O
LOTJIZS,O,X,X,O,O
LOTJSIZ,O,X,X,O,O
LOTJSZI,O,X,X,O,O
LOTJZIS,O,X,X,O,O
LOTJZSI,O,X,X,O,O
LOTSIJZ,O,X,X,X,O
LOTSIZJ,O,X,X,O,O
LOTSJIZ,O,X,X,O,O
LOTSJZI,O,X,X,O,O
LOTSZIJ,O,X,X,O,O
LOTSZJI,O,X,X,O,O
LOTZIJS,O,X,X,O,O
LOTZISJ,O,X,X,O,O
LOTZJIS,O,X,X,O,O
LOTZJSI,O,X,X,O,O
LOTZSIJ,O,X,X,O,O
LOTZSJI,O,X,X,O,O
LOITJSZ,O,X,X,X,O
LOITJZS,O,X,X,X,O
LOITSJZ,O,X,X,X,O
LOITSZJ,O,X,X,X,O
LOITZJS,O,X,X,X,O
LOITZSJ,O,X,X,X,O
LOIJTSZ,O,X,X,X,O
LOIJTZS,O,X,X,X,O
LOIJSTZ,O,X,X,X,O
LOIJSZT,O,X,X,X,O
LOIJZTS,O,X,X,X,O
LOIJZST,O,X,X,X,O
LOISTJZ,O,X,X,X,O
LOISTZJ,O,X,X,X,O
LOISJTZ,O,X,X,X,O
LOISJZT,O,X,X,X,O
LOISZTJ,O,X,X,X,O
LOISZJT,O,X,X,X,O
LOIZTJS,O,X,X,X,O
LOIZTSJ,O,X,X,X,O
LOIZJTS,O,X,X,X,O
LOIZJST,O,X,X,X,O
LOIZSTJ,O,X,X,X,O
LOIZSJT,O,X,X,X,O
LOJTISZ,O,X,X,X,O
LOJTIZS,O,X,X,O,O
LOJTSIZ,O,X,X,O,O
LOJTSZI,O,X,X,O,O
LOJTZIS,O,X,X,O,O
LOJTZSI,O,X,X,O,O
LOJITSZ,O,X,X,X,O
LOJITZS,O,X,X,X,O
LOJISTZ,O,X,X,X,O
LOJISZT,O,X,X,X,O
LOJIZTS,O,X,X,X,O
LOJIZST,O,X,X,X,O
LOJSTIZ,O,X,X,O,O
LOJSTZI,O,X,X,O,O
LOJSITZ,O,X,X,X,O
LOJSIZT,O,X,X,X,O
LOJSZTI,O,X,X,O,O
LOJSZIT,O,X,X,O,O
LOJZTIS,O,X,X,O,O
LOJZTSI,O,X,X,O,O
LOJZITS,O,X,X,O,O
LOJZIST,O,X,X,O,O
LOJZSTI,O,X,X,O,O
LOJZSIT,O,X,X,O,O
LOSTIJZ,O,X,X,X,O
LOSTIZJ,O,X,X,O,O
LOSTJIZ,O,X,X,O,O
LOSTJZI,O,X,X,O,O
LOSTZIJ,O,X,X,O,O
LOSTZJI,O,X,X,O,O
LOSITJZ,O,X,X,X,O
LOSITZJ,O,X,X,X,O
LOSIJTZ,O,X,X,X,O
LOSIJZT,O,X,X,X,O
LOSIZTJ,O,X,X,X,O
LOSIZJT,O,X,X,X,O
LOSJTIZ,O,X,X,O,O
LOSJTZI,O,X,X,O,O
LOSJITZ,O,X,X,X,O
LOSJIZT,O,X,X,X,O
LOSJZTI,O,X,X,O,O
LOSJZIT,O,X,X,O,O
LOSZTIJ,O,X,X,O,O
LOSZTJI,O,X,X,O,O
LOSZITJ,O,X,X,O,O
LOSZIJT,O,X,X,X,O
LOSZJTI,O,X,X,O,O
LOSZJIT,O,X,X,O,O
LOZTIJS,O,X,X,O,O
LOZTISJ,O,X,X,O,O
LOZTJIS,O,X,X,O,O
LOZTJSI,O,X,X,O,O
LOZTSIJ,O,X,X,O,O
LOZTSJI,O,X,X,O,O
LOZITJS,O,X,X,O,O
LOZITSJ,O,X,X,O,O
LOZIJTS,O,X,X,O,O
LOZIJST,O,X,X,O,O
LOZISTJ,O,X,X,O,O
LOZISJT,O,X,X,X,O
LOZJTIS,O,X,X,O,O
LOZJTSI,O,X,X,O,O
LOZJITS,O,X,X,O,O
LOZJIST,O,X,X,O,O
LOZJSTI,O,X,X,O,O
LOZJSIT,O,X,X,O,O
LOZSTIJ,O,X,X,O,O
LOZSTJI,O,X,X,O,O
LOZSITJ,O,X,X,O,O
LOZSIJT,O,X,X,X,O
LOZSJTI,O,X,X,O,O
LOZSJIT,O,X,X,O,O
JTILSZO,O,X,O,X,O
JTILSOZ,O,X,O,X,O
JTILZSO,O,O,O,O,O
JTILZOS,O,O,O,O,O
JTILOSZ,O,X,X,X,O
JTILOZS,O,O,X,X,O
JTISLZO,O,X,O,O,O
JTISLOZ,O,X,O,X,O
JTISZLO,O,O,O,O,X
JTISZOL,O,O,O,O,X
JTISOLZ,O,X,O,X,X
JTISOZL,O,O,O,O,X
JTIZLSO,O,O,O,O,O
JTIZLOS,O,O,O,O,O
JTIZSLO,O,O,O,O,X
JTIZSOL,O,O,O,O,X
JTIZOLS,O,O,O,O,X
JTIZOSL,O,O,O,X,X
JTIOLSZ,O,X,X,X,O
JTIOLZS,O,O,X,X,O
JTIOSLZ,O,X,O,X,X
JTIOSZL,O,O,O,X,X
JTIOZLS,O,O,O,O,X
JTIOZSL,O,O,O,X,X
JTLISZO,O,X,O,X,O
JTLISOZ,O,X,O,X,O
JTLIZSO,O,O,O,O,O
JTLIZOS,O,O,O,O,O
JTLIOSZ,O,X,X,X,O
JTLIOZS,O,O,X,X,O
JTLSIZO,O,X,O,O,O
JTLSIOZ,O,X,O,X,O
JTLSZIO,O,X,O,O,O
JTLSZOI,O,X,O,O,O
JTLSOIZ,O,X,O,X,O
JTLSOZI,O,X,O,X,O
JTLZISO,O,O,O,O,O
JTLZIOS,O,O,O,O,O
JTLZSIO,O,O,O,O,O
JTLZSOI,O,O,O,O,O
JTLZOIS,O,O,O,O,O
JTLZOSI,O,O,O,O,O
JTLOISZ,O,X,X,X,O
JTLOIZS,O,O,X,X,O
JTLOSIZ,O,X,X,X,O
JTLOSZI,O,X,X,X,O
JTLOZIS,O,O,X,X,O
JTLOZSI,O,O,X,X,O
JTSILZO,O,X,O,O,O
JTSILOZ,O,X,O,X,O
JTSIZLO,O,O,O,O,X
JTSIZOL,O,O,O,O,X
JTSIOLZ,O,X,O,X,X
JTSIOZL,O,O,O,O,X
JTSLIZO,O,X,O,O,O
JTSLIOZ,O,X,O,X,O
JTSLZIO,O,X,O,O,O
JTSLZOI,O,X,O,O,O
JTSLOIZ,O,X,O,X,O
JTSLOZI,O,X,O,X,O
JTSZILO,O,O,O,O,X
JTSZIOL,O,O,O,O,X
JTSZLIO,O,O,O,O,X
JTSZLOI,O,O,O,O,X
JTSZOIL,O,O,O,O,X
JTSZOLI,O,O,O,O,X
JTSOILZ,O,X,O,X,X
JTSOIZL,O,O,O,O,X
JTSOLIZ,O,X,O,X,X
JTSOLZI,O,X,O,X,X
JTSOZIL,O,O,O,O,X
JTSOZLI,O,O,O,O,X
JTZILSO,O,O,O,O,O
JTZILOS,O,O,O,O,O
JTZISLO,O,O,O,O,X
JTZISOL,O,O,O,O,X
JTZIOLS,O,O,O,O,X
JTZIOSL,O,O,O,X,X
JTZLISO,O,O,O,O,O
JTZLIOS,O,O,O,O,O
JTZLSIO,O,O,O,O,O
JTZLSOI,O,O,O,O,O
JTZLOIS,O,O,O,O,O
JTZLOSI,O,O,O,O,O
JTZSILO,O,O,O,O,X
JTZSIOL,O,O,O,O,X
JTZSLIO,O,O,O,O,X
JTZSLOI,O,O,O,O,X
JTZSOIL,O,O,O,O,X
JTZSOLI,O,O,O,O,X
