sequence,v115@RhC8EeA8AeE8AeC8KeT/IvhF/lBamB8nB5oBurBFsB,v115@RhC8EeA8AeE8AeC8KeT/IvhF2lBXiB8nB5oBCmBlrB,v115@RhC8EeA8AeE8AeC8KeT/IvhF/lBUhBynB5oBGnBlrB,v115@RhC8EeA8AeE8AeC8KeT/IvhF/lBUhBxnBGnB6tBlrB
ILTJOZS,X,O,X,X
ILTSJZO,X,X,O,X
ILTSJOZ,X,X,O,X
ILTSZJO,X,X,O,X
ILTSZOJ,X,X,O,O
ILTSOJZ,X,X,O,X
ILTSOZJ,X,X,O,O
ILTZJSO,X,O,X,X
ILTZJOS,X,O,X,X
ILTZSJO,X,O,O,X
ILTZSOJ,X,O,O,X
ILTZOJS,X,O,X,X
ILTZOSJ,X,O,O,X
ILTOJSZ,X,X,O,X
ILTOJZS,X,O,X,X
ILTOSJZ,X,X,O,X
ILTOSZJ,X,X,O,O
ILTOZJS,X,O,X,X
ILTOZSJ,X,O,O,X
ILJTSZO,X,X,O,X
ILJTSOZ,X,X,O,X
ILJTZSO,X,O,X,X
ILJTZOS,X,O,X,X
ILJTOSZ,X,X,O,X
ILJTOZS,X,O,X,X
ILJSTZO,O,X,O,X
ILJSTOZ,O,X,O,X
ILJSZTO,O,X,X,X
ILJSZOT,O,X,O,X
ILJSOTZ,O,X,O,X
ILJSOZT,O,X,O,X
ILJZTSO,X,O,X,X
ILJZTOS,X,O,X,X
ILJZSTO,O,X,X,X
ILJZSOT,O,O,X,X
ILJZOTS,X,O,X,X
ILJZOST,O,O,X,X
ILJOTSZ,X,X,O,X
ILJOTZS,X,O,X,X
ILJOSTZ,O,X,O,X
ILJOSZT,O,X,O,X
ILJOZTS,X,O,X,X
ILJOZST,O,O,X,X
ILSTJZO,O,X,O,X
ILSTJOZ,O,X,O,X
ILSTZJO,O,X,O,X
ILSTZOJ,O,X,O,O
ILSTOJZ,O,X,O,X
ILSTOZJ,O,X,O,O
ILSJTZO,O,X,O,X
ILSJTOZ,O,X,O,X
ILSJZTO,O,X,X,X
ILSJZOT,O,X,O,X
ILSJOTZ,O,X,O,X
ILSJOZT,O,X,O,X
ILSZTJO,O,X,O,X
ILSZTOJ,O,X,O,X
ILSZJTO,O,X,X,X
ILSZJOT,O,X,O,X
ILSZOTJ,O,X,O,O
ILSZOJT,O,X,O,O
ILSOTJZ,O,X,O,X
ILSOTZJ,O,X,O,O
ILSOJTZ,O,X,O,X
ILSOJZT,O,X,O,X
ILSOZTJ,O,X,O,O
ILSOZJT,O,X,O,O
ILZTJSO,X,O,X,X
ILZTJOS,X,O,X,X
ILZTSJO,X,O,O,X
ILZTSOJ,X,O,O,X
ILZTOJS,X,O,X,X
ILZTOSJ,X,O,O,X
ILZJTSO,X,O,X,X
ILZJTOS,X,O,X,X
ILZJSTO,O,X,X,X
ILZJSOT,O,O,X,X
ILZJOTS,X,O,X,X
ILZJOST,O,O,X,X
ILZSTJO,O,X,O,X
ILZSTOJ,O,X,O,X
ILZSJTO,O,X,X,X
ILZSJOT,O,O,O,X
ILZSOTJ,O,X,O,X
ILZSOJT,O,O,O,X
ILZOTJS,X,O,X,X
ILZOTSJ,X,O,O,X
ILZOJTS,X,O,X,X
ILZOJST,O,O,X,X
ILZOSTJ,O,X,O,X
ILZOSJT,O,O,O,X
ILOTJSZ,X,X,O,X
ILOTJZS,X,O,X,X
ILOTSJZ,X,X,O,X
ILOTSZJ,X,X,O,O
ILOTZJS,X,O,X,X
ILOTZSJ,X,O,O,X
ILOJTSZ,X,X,O,X
ILOJTZS,X,O,X,X
ILOJSTZ,O,X,O,X
ILOJSZT,O,X,O,X
ILOJZTS,X,O,X,X
ILOJZST,O,O,X,X
ILOSTJZ,O,X,O,X
ILOSTZJ,O,X,O,O
ILOSJTZ,O,X,O,X
ILOSJZT,O,X,O,X
ILOSZTJ,O,X,O,O
ILOSZJT,O,X,O,O
ILOZTJS,X,O,X,X
ILOZTSJ,X,O,O,X
ILOZJTS,X,O,X,X
ILOZJST,O,O,X,X
ILOZSTJ,O,X,O,X
ILOZSJT,O,O,O,X
IJTLSZO,X,X,O,X
IJTLSOZ,X,X,O,X
IJTLZSO,X,O,X,X
IJTLZOS,X,O,X,X
IJTLOSZ,X,X,O,X
IJTLOZS,X,O,X,X
IJTSLZO,O,X,O,X
IJTSLOZ,O,X,O,X
IJTSZLO,O,O,O,X
IJTSZOL,O,O,O,O
IJTSOLZ,O,X,O,X
IJTSOZL,O,O,O,O
IJTZLSO,X,O,X,X
IJTZLOS,X,O,X,X
IJTZSLO,O,O,X,X
IJTZSOL,O,O,X,X
IJTZOLS,X,O,X,X
IJTZOSL,O,O,X,X
IJTOLSZ,X,X,O,X
IJTOLZS,X,O,X,X
IJTOSLZ,O,X,O,X
IJTOSZL,O,O,O,O
IJTOZLS,X,O,X,X
IJTOZSL,O,O,X,X
IJLTSZO,X,X,O,X
IJLTSOZ,X,X,O,X
IJLTZSO,X,O,X,X
IJLTZOS,X,O,X,X
IJLTOSZ,X,X,O,X
IJLTOZS,X,O,X,X
IJLSTZO,O,X,O,X
IJLSTOZ,O,X,O,X
IJLSZTO,O,X,X,X
IJLSZOT,O,X,O,X
IJLSOTZ,O,X,O,X
IJLSOZT,O,X,O,X
IJLZTSO,X,O,X,X
IJLZTOS,X,O,X,X
IJLZSTO,O,X,X,X
IJLZSOT,O,O,X,X
IJLZOTS,X,O,X,X
IJLZOST,O,O,X,X
IJLOTSZ,X,X,O,X
IJLOTZS,X,O,X,X
IJLOSTZ,O,X,O,X
IJLOSZT,O,X,O,X
IJLOZTS,X,O,X,X
IJLOZST,O,O,X,X
IJSTLZO,O,X,O,X
IJSTLOZ,O,X,O,X
IJSTZLO,O,O,O,X
IJSTZOL,O,O,O,O
IJSTOLZ,O,X,O,X
IJSTOZL,O,O,O,O
IJSLTZO,O,X,O,X
IJSLTOZ,O,X,O,X
IJSLZTO,O,X,X,X
IJSLZOT,O,X,O,X
IJSLOTZ,O,X,O,X
IJSLOZT,O,X,O,X
IJSZTLO,O,O,X,X
IJSZTOL,O,O,X,X
IJSZLTO,O,X,X,X
IJSZLOT,O,O,O,X
IJSZOTL,O,O,X,O
IJSZOLT,O,O,O,O
IJSOTLZ,O,X,O,X
IJSOTZL,O,O,O,O
IJSOLTZ,O,X,O,X
IJSOLZT,O,X,O,X
IJSOZTL,O,O,X,O
IJSOZLT,O,O,O,O
IJZTLSO,X,O,X,X
IJZTLOS,X,O,X,X
IJZTSLO,O,O,X,X
IJZTSOL,O,O,X,X
IJZTOLS,X,O,X,X
IJZTOSL,O,O,X,X
IJZLTSO,X,O,X,X
IJZLTOS,X,O,X,X
IJZLSTO,O,X,X,X
IJZLSOT,O,O,X,X
IJZLOTS,X,O,X,X
IJZLOST,O,O,X,X
IJZSTLO,O,O,X,X
IJZSTOL,O,O,X,X
IJZSLTO,O,X,X,X
IJZSLOT,O,O,X,X
IJZSOTL,O,O,X,X
IJZSOLT,O,O,X,X
IJZOTLS,X,O,X,X
IJZOTSL,O,O,X,X
IJZOLTS,X,O,X,X
IJZOLST,O,O,X,X
IJZOSTL,O,O,X,X
IJZOSLT,O,O,X,X
IJOTLSZ,X,X,O,X
IJOTLZS,X,O,X,X
IJOTSLZ,O,X,O,X
IJOTSZL,O,O,O,O
IJOTZLS,X,O,X,X
IJOTZSL,O,O,X,X
IJOLTSZ,X,X,O,X
IJOLTZS,X,O,X,X
IJOLSTZ,O,X,O,X
IJOLSZT,O,X,O,X
IJOLZTS,X,O,X,X
IJOLZST,O,O,X,X
IJOSTLZ,O,X,O,X
IJOSTZL,O,O,O,O
IJOSLTZ,O,X,O,X
IJOSLZT,O,X,O,X
IJOSZTL,O,O,X,O
IJOSZLT,O,O,O,O
IJOZTLS,X,O,X,X
IJOZTSL,O,O,X,X
IJOZLTS,X,O,X,X
IJOZLST,O,O,X,X
IJOZSTL,O,O,X,X
IJOZSLT,O,O,X,X
ISTLJZO,O,X,O,X
ISTLJOZ,O,X,O,X
ISTLZJO,O,X,O,X
ISTLZOJ,O,X,O,O
ISTLOJZ,O,X,O,X
ISTLOZJ,O,X,O,O
ISTJLZO,O,X,O,X
ISTJLOZ,O,X,O,X
ISTJZLO,O,O,O,X
ISTJZOL,O,O,O,O
ISTJOLZ,O,X,O,X
ISTJOZL,O,O,O,O
ISTZLJO,O,O,O,X
ISTZLOJ,O,O,O,O
ISTZJLO,O,O,O,X
ISTZJOL,O,O,O,O
ISTZOLJ,O,O,O,O
ISTZOJL,O,O,O,O
ISTOLJZ,O,X,O,X
ISTOLZJ,O,X,O,O
ISTOJLZ,O,X,O,X
ISTOJZL,O,O,O,O
ISTOZLJ,O,O,O,O
ISTOZJL,O,O,O,O
ISLTJZO,O,X,O,X
ISLTJOZ,O,X,O,X
ISLTZJO,O,X,O,X
ISLTZOJ,O,X,O,O
ISLTOJZ,O,X,O,X
ISLTOZJ,O,X,O,O
ISLJTZO,O,X,O,X
ISLJTOZ,O,X,O,X
ISLJZTO,O,X,X,X
ISLJZOT,O,X,O,X
ISLJOTZ,O,X,O,X
ISLJOZT,O,X,O,X
ISLZTJO,O,X,O,X
ISLZTOJ,O,X,O,X
ISLZJTO,O,X,X,X
ISLZJOT,O,X,O,X
ISLZOTJ,O,X,O,O
ISLZOJT,O,X,O,O
ISLOTJZ,O,X,O,X
ISLOTZJ,O,X,O,O
ISLOJTZ,O,X,O,X
ISLOJZT,O,X,O,X
ISLOZTJ,O,X,O,O
ISLOZJT,O,X,O,O
ISJTLZO,O,X,O,X
ISJTLOZ,O,X,O,X
ISJTZLO,O,O,O,X
ISJTZOL,O,O,O,O
ISJTOLZ,O,X,O,X
ISJTOZL,O,O,O,O
ISJLTZO,O,X,O,X
ISJLTOZ,O,X,O,X
ISJLZTO,O,X,X,X
ISJLZOT,O,X,O,X
ISJLOTZ,O,X,O,X
ISJLOZT,O,X,O,X
ISJZTLO,O,O,X,X
ISJZTOL,O,O,X,X
ISJZLTO,O,X,X,X
ISJZLOT,O,O,O,X
ISJZOTL,O,O,X,O
ISJZOLT,O,O,O,O
ISJOTLZ,O,X,O,X
ISJOTZL,O,O,O,O
ISJOLTZ,O,X,O,X
ISJOLZT,O,X,O,X
ISJOZTL,O,O,X,O
ISJOZLT,O,O,O,O
ISZTLJO,O,O,O,X
ISZTLOJ,O,O,O,O
ISZTJLO,O,O,O,X
ISZTJOL,O,O,O,O
ISZTOLJ,O,O,O,O
ISZTOJL,O,O,O,O
ISZLTJO,O,X,O,X
ISZLTOJ,O,X,O,X
ISZLJTO,O,X,X,X
ISZLJOT,O,O,O,X
ISZLOTJ,O,X,O,O
ISZLOJT,O,O,O,O
ISZJTLO,O,O,X,X
ISZJTOL,O,O,X,X
ISZJLTO,O,X,X,X
ISZJLOT,O,O,O,X
ISZJOTL,O,O,X,O
ISZJOLT,O,O,O,O
ISZOTLJ,O,O,O,O
ISZOTJL,O,O,O,O
ISZOLTJ,O,X,O,O
ISZOLJT,O,O,O,O
ISZOJTL,O,O,X,O
ISZOJLT,O,O,O,O
ISOTLJZ,O,X,O,X
ISOTLZJ,O,X,O,O
ISOTJLZ,O,X,O,X
ISOTJZL,O,O,O,O
ISOTZLJ,O,O,O,O
ISOTZJL,O,O,O,O
ISOLTJZ,O,X,O,X
ISOLTZJ,O,X,O,O
ISOLJTZ,O,X,O,X
ISOLJZT,O,X,O,X
ISOLZTJ,O,X,O,O
ISOLZJT,O,X,O,O
ISOJTLZ,O,X,O,X
ISOJTZL,O,O,O,O
ISOJLTZ,O,X,O,X
ISOJLZT,O,X,O,X
ISOJZTL,O,O,X,O
ISOJZLT,O,O,O,O
ISOZTLJ,O,O,O,O
ISOZTJL,O,O,O,O
ISOZLTJ,O,X,O,O
ISOZLJT,O,O,O,O
ISOZJTL,O,O,X,O
ISOZJLT,O,O,O,O
IZTLJSO,X,O,X,X
IZTLJOS,X,O,X,X
IZTLSJO,X,O,O,X
IZTLSOJ,X,O,O,X
IZTLOJS,X,O,X,X
IZTLOSJ,X,O,O,X
IZTJLSO,X,O,X,X
IZTJLOS,X,O,X,X
IZTJSLO,O,O,X,X
IZTJSOL,O,O,X,X
IZTJOLS,X,O,X,X
IZTJOSL,O,O,X,X
IZTSLJO,O,O,O,X
IZTSLOJ,O,O,O,O
IZTSJLO,O,O,O,X
IZTSJOL,O,O,O,O
IZTSOLJ,O,O,O,O
IZTSOJL,O,O,O,O
IZTOLJS,X,O,X,X
IZTOLSJ,X,O,O,X
IZTOJLS,X,O,X,X
IZTOJSL,O,O,X,X
IZTOSLJ,O,O,O,O
IZTOSJL,O,O,O,O
IZLTJSO,X,O,X,X
IZLTJOS,X,O,X,X
IZLTSJO,X,O,O,X
IZLTSOJ,X,O,O,X
IZLTOJS,X,O,X,X
IZLTOSJ,X,O,O,X
IZLJTSO,X,O,X,X
IZLJTOS,X,O,X,X
IZLJSTO,O,X,X,X
IZLJSOT,O,O,X,X
IZLJOTS,X,O,X,X
IZLJOST,O,O,X,X
IZLSTJO,O,X,O,X
IZLSTOJ,O,X,O,X
IZLSJTO,O,X,X,X
IZLSJOT,O,O,O,X
IZLSOTJ,O,X,O,X
IZLSOJT,O,O,O,X
IZLOTJS,X,O,X,X
IZLOTSJ,X,O,O,X
IZLOJTS,X,O,X,X
IZLOJST,O,O,X,X
IZLOSTJ,O,X,O,X
IZLOSJT,O,O,O,X
IZJTLSO,X,O,X,X
IZJTLOS,X,O,X,X
IZJTSLO,O,O,X,X
IZJTSOL,O,O,X,X
IZJTOLS,X,O,X,X
IZJTOSL,O,O,X,X
IZJLTSO,X,O,X,X
IZJLTOS,X,O,X,X
IZJLSTO,O,X,X,X
IZJLSOT,O,O,X,X
IZJLOTS,X,O,X,X
IZJLOST,O,O,X,X
IZJSTLO,O,O,X,X
IZJSTOL,O,O,X,X
IZJSLTO,O,X,X,X
IZJSLOT,O,O,X,X
IZJSOTL,O,O,X,X
IZJSOLT,O,O,X,X
IZJOTLS,X,O,X,X
IZJOTSL,O,O,X,X
IZJOLTS,X,O,X,X
IZJOLST,O,O,X,X
IZJOSTL,O,O,X,X
IZJOSLT,O,O,X,X
IZSTLJO,O,O,O,X
IZSTLOJ,O,O,O,O
IZSTJLO,O,O,O,X
IZSTJOL,O,O,O,O
IZSTOLJ,O,O,O,O
IZSTOJL,O,O,O,O
IZSLTJO,O,X,O,X
IZSLTOJ,O,X,O,X
IZSLJTO,O,X,X,X
IZSLJOT,O,O,O,X
IZSLOTJ,O,X,O,O
IZSLOJT,O,O,O,O
IZSJTLO,O,O,X,X
IZSJTOL,O,O,X,X
IZSJLTO,O,X,X,X
IZSJLOT,O,O,O,X
IZSJOTL,O,O,X,O
IZSJOLT,O,O,O,O
IZSOTLJ,O,O,O,O
IZSOTJL,O,O,O,O
IZSOLTJ,O,X,O,O
IZSOLJT,O,O,O,O
IZSOJTL,O,O,X,O
IZSOJLT,O,O,O,O
IZOTLJS,X,O,X,X
IZOTLSJ,X,O,O,X
IZOTJLS,X,O,X,X
IZOTJSL,O,O,X,X
IZOTSLJ,O,O,O,O
IZOTSJL,O,O,O,O
IZOLTJS,X,O,X,X
IZOLTSJ,X,O,O,X
IZOLJTS,X,O,X,X
IZOLJST,O,O,X,X
IZOLSTJ,O,X,O,X
IZOLSJT,O,O,O,X
IZOJTLS,X,O,X,X
IZOJTSL,O,O,X,X
IZOJLTS,X,O,X,X
IZOJLST,O,O,X,X
IZOJSTL,O,O,X,X
IZOJSLT,O,O,X,X
IZOSTLJ,O,O,O,O
IZOSTJL,O,O,O,O
IZOSLTJ,O,X,O,O
IZOSLJT,O,O,O,O
IZOSJTL,O,O,X,O
IZOSJLT,O,O,O,O
IOTLJSZ,X,X,O,X
IOTLJZS,X,O,X,X
IOTLSJZ,X,X,O,X
IOTLSZJ,X,X,O,O
IOTLZJS,X,O,X,X
IOTLZSJ,X,O,O,X
IOTJLSZ,X,X,O,X
IOTJLZS,X,O,X,X
IOTJSLZ,O,X,O,X
IOTJSZL,O,O,O,O
IOTJZLS,X,O,X,X
IOTJZSL,O,O,X,X
IOTSLJZ,O,X,O,X
IOTSLZJ,O,X,O,O
IOTSJLZ,O,X,O,X
IOTSJZL,O,O,O,O
IOTSZLJ,O,O,O,O
IOTSZJL,O,O,O,O
IOTZLJS,X,O,X,X
IOTZLSJ,X,O,O,X
IOTZJLS,X,O,X,X
IOTZJSL,O,O,X,X
IOTZSLJ,O,O,O,O
IOTZSJL,O,O,O,O
IOLTJSZ,X,X,O,X
IOLTJZS,X,O,X,X
IOLTSJZ,X,X,O,X
IOLTSZJ,X,X,O,O
IOLTZJS,X,O,X,X
IOLTZSJ,X,O,O,X
IOLJTSZ,X,X,O,X
IOLJTZS,X,O,X,X
IOLJSTZ,O,X,O,X
IOLJSZT,O,X,O,X
IOLJZTS,X,O,X,X
IOLJZST,O,O,X,X
IOLSTJZ,O,X,O,X
IOLSTZJ,O,X,O,O
IOLSJTZ,O,X,O,X
IOLSJZT,O,X,O,X
IOLSZTJ,O,X,O,O
IOLSZJT,O,X,O,O
IOLZTJS,X,O,X,X
IOLZTSJ,X,O,O,X
IOLZJTS,X,O,X,X
IOLZJST,O,O,X,X
IOLZSTJ,O,X,O,X
IOLZSJT,O,O,O,X
IOJTLSZ,X,X,O,X
IOJTLZS,X,O,X,X
IOJTSLZ,O,X,O,X
IOJTSZL,O,O,O,O
IOJTZLS,X,O,X,X
IOJTZSL,O,O,X,X
IOJLTSZ,X,X,O,X
IOJLTZS,X,O,X,X
IOJLSTZ,O,X,O,X
IOJLSZT,O,X,O,X
IOJLZTS,X,O,X,X
IOJLZST,O,O,X,X
IOJSTLZ,O,X,O,X
IOJSTZL,O,O,O,O
IOJSLTZ,O,X,O,X
IOJSLZT,O,X,O,X
IOJSZTL,O,O,X,O
IOJSZLT,O,O,O,O
IOJZTLS,X,O,X,X
IOJZTSL,O,O,X,X
IOJZLTS,X,O,X,X
IOJZLST,O,O,X,X
IOJZSTL,O,O,X,X
IOJZSLT,O,O,X,X
IOSTLJZ,O,X,O,X
IOSTLZJ,O,X,O,O
IOSTJLZ,O,X,O,X
IOSTJZL,O,O,O,O
IOSTZLJ,O,O,O,O
IOSTZJL,O,O,O,O
IOSLTJZ,O,X,O,X
IOSLTZJ,O,X,O,O
IOSLJTZ,O,X,O,X
IOSLJZT,O,X,O,X
IOSLZTJ,O,X,O,O
IOSLZJT,O,X,O,O
IOSJTLZ,O,X,O,X
IOSJTZL,O,O,O,O
IOSJLTZ,O,X,O,X
IOSJLZT,O,X,O,X
IOSJZTL,O,O,X,O
IOSJZLT,O,O,O,O
IOSZTLJ,O,O,O,O
IOSZTJL,O,O,O,O
IOSZLTJ,O,X,O,O
IOSZLJT,O,O,O,O
IOSZJTL,O,O,X,O
IOSZJLT,O,O,O,O
IOZTLJS,X,O,X,X
IOZTLSJ,X,O,O,X
IOZTJLS,X,O,X,X
IOZTJSL,O,O,X,X
IOZTSLJ,O,O,O,O
IOZTSJL,O,O,O,O
IOZLTJS,X,O,X,X
IOZLTSJ,X,O,O,X
IOZLJTS,X,O,X,X
IOZLJST,O,O,X,X
IOZLSTJ,O,X,O,X
IOZLSJT,O,O,O,X
IOZJTLS,X,O,X,X
IOZJTSL,O,O,X,X
IOZJLTS,X,O,X,X
IOZJLST,O,O,X,X
IOZJSTL,O,O,X,X
IOZJSLT,O,O,X,X
IOZSTLJ,O,O,O,O
IOZSTJL,O,O,O,O
IOZSLTJ,O,X,O,O
IOZSLJT,O,O,O,O
IOZSJTL,O,O,X,O
IOZSJLT,O,O,O,O
LTIJSZO,X,X,O,X
LTIJSOZ,X,X,O,X
LTIJZSO,X,O,X,X
LTIJZOS,X,O,X,X
LTIJOSZ,X,X,O,X
LTIJOZS,X,O,X,X
LTISJZO,X,X,O,X
LTISJOZ,X,X,O,X
LTISZJO,X,X,O,X
LTISZOJ,X,X,O,O
LTISOJZ,X,X,O,X
LTISOZJ,X,X,O,O
LTIZJSO,X,O,X,X
LTIZJOS,X,O,X,X
LTIZSJO,X,O,O,X
LTIZSOJ,X,O,O,X
LTIZOJS,X,O,X,X
LTIZOSJ,X,O,O,X
LTIOJSZ,X,X,O,X
LTIOJZS,X,O,X,X
LTIOSJZ,X,X,O,X
LTIOSZJ,X,X,O,O
LTIOZJS,X,O,X,X
LTIOZSJ,X,O,O,X
LTJISZO,X,X,O,X
LTJISOZ,X,X,O,X
LTJIZSO,X,O,X,X
LTJIZOS,X,O,X,X
LTJIOSZ,X,X,O,X
LTJIOZS,X,O,X,X
LTJSIZO,X,X,O,X
LTJSIOZ,X,X,O,X
LTJSZIO,X,X,O,X
LTJSZOI,X,X,O,X
LTJSOIZ,X,X,O,X
LTJSOZI,X,X,O,X
LTJZISO,X,O,X,X
LTJZIOS,X,O,X,X
LTJZSIO,X,O,X,X
LTJZSOI,X,O,X,X
LTJZOIS,X,O,X,X
LTJZOSI,X,O,X,X
LTJOISZ,X,X,O,X
LTJOIZS,X,O,X,X
LTJOSIZ,X,X,O,X
LTJOSZI,X,X,O,X
LTJOZIS,X,O,X,X
LTJOZSI,X,O,X,X
LTSIJZO,X,X,O,X
LTSIJOZ,X,X,O,X
LTSIZJO,X,X,O,X
LTSIZOJ,X,X,O,O
LTSIOJZ,X,X,O,X
LTSIOZJ,X,X,O,O
LTSJIZO,X,X,O,X
LTSJIOZ,X,X,O,X
LTSJZIO,X,X,O,X
LTSJZOI,X,X,O,X
LTSJOIZ,X,X,O,X
LTSJOZI,X,X,O,X
LTSZIJO,X,X,O,X
LTSZIOJ,X,X,O,O
LTSZJIO,X,X,O,X
LTSZJOI,X,X,O,X
LTSZOIJ,X,X,O,O
LTSZOJI,X,X,O,X
LTSOIJZ,X,X,O,X
LTSOIZJ,X,X,O,O
LTSOJIZ,X,X,O,X
LTSOJZI,X,X,O,X
LTSOZIJ,X,X,O,O
LTSOZJI,X,X,O,X
LTZIJSO,X,O,X,X
LTZIJOS,X,O,X,X
LTZISJO,X,O,O,X
LTZISOJ,X,O,O,X
LTZIOJS,X,O,X,X
LTZIOSJ,X,O,O,X
LTZJISO,X,O,X,X
LTZJIOS,X,O,X,X
LTZJSIO,X,O,X,X
LTZJSOI,X,O,X,X
LTZJOIS,X,O,X,X
LTZJOSI,X,O,X,X
LTZSIJO,X,O,O,X
LTZSIOJ,X,O,O,X
LTZSJIO,X,O,O,X
LTZSJOI,X,O,O,X
LTZSOIJ,X,O,O,X
LTZSOJI,X,O,O,X
LTZOIJS,X,O,X,X
LTZOISJ,X,O,O,X
LTZOJIS,X,O,X,X
LTZOJSI,X,O,X,X
LTZOSIJ,X,O,O,X
LTZOSJI,X,O,O,X
LTOIJSZ,X,X,O,X
LTOIJZS,X,O,X,X
LTOISJZ,X,X,O,X
LTOISZJ,X,X,O,O
LTOIZJS,X,O,X,X
LTOIZSJ,X,O,O,X
LTOJISZ,X,X,O,X
LTOJIZS,X,O,X,X
LTOJSIZ,X,X,O,X
LTOJSZI,X,X,O,X
LTOJZIS,X,O,X,X
LTOJZSI,X,O,X,X
LTOSIJZ,X,X,O,X
LTOSIZJ,X,X,O,O
LTOSJIZ,X,X,O,X
LTOSJZI,X,X,O,X
LTOSZIJ,X,X,O,O
LTOSZJI,X,X,O,X
LTOZIJS,X,O,X,X
LTOZISJ,X,O,O,X
LTOZJIS,X,O,X,X
LTOZJSI,X,O,X,X
LTOZSIJ,X,O,O,X
LTOZSJI,X,O,O,X
LITJSZO,X,X,O,X
LITJSOZ,X,X,O,X
LITJZSO,X,O,X,X
LITJZOS,X,O,X,X
LITJOSZ,X,X,O,X
LITJOZS,X,O,X,X
LITSJZO,X,X,O,X
LITSJOZ,X,X,O,X
LITSZJO,X,X,O,X
LITSZOJ,X,X,O,O
LITSOJZ,X,X,O,X
LITSOZJ,X,X,O,O
LITZJSO,X,O,X,X
LITZJOS,X,O,X,X
LITZSJO,X,O,O,X
LITZSOJ,X,O,O,X
LITZOJS,X,O,X,X
LITZOSJ,X,O,O,X
LITOJSZ,X,X,O,X
LITOJZS,X,O,X,X
LITOSJZ,X,X,O,X
LITOSZJ,X,X,O,O
LITOZJS,X,O,X,X
LITOZSJ,X,O,O,X
LIJTSZO,X,X,O,X
LIJTSOZ,X,X,O,X
LIJTZSO,X,O,X,X
LIJTZOS,X,O,X,X
LIJTOSZ,X,X,O,X
LIJTOZS,X,O,X,X
LIJSTZO,O,X,O,X
LIJSTOZ,O,X,O,X
LIJSZTO,O,X,X,X
LIJSZOT,O,X,O,X
LIJSOTZ,O,X,O,X
LIJSOZT,O,X,O,X
LIJZTSO,X,O,X,X
LIJZTOS,X,O,X,X
LIJZSTO,O,X,X,X
LIJZSOT,O,O,X,X
LIJZOTS,X,O,X,X
LIJZOST,O,O,X,X
LIJOTSZ,X,X,O,X
LIJOTZS,X,O,X,X
LIJOSTZ,O,X,O,X
LIJOSZT,O,X,O,X
LIJOZTS,X,O,X,X
LIJOZST,O,O,X,X
LISTJZO,O,X,O,X
LISTJOZ,O,X,O,X
LISTZJO,O,X,O,X
LISTZOJ,O,X,O,O
LISTOJZ,O,X,O,X
LISTOZJ,O,X,O,O
LISJTZO,O,X,O,X
LISJTOZ,O,X,O,X
LISJZTO,O,X,X,X
LISJZOT,O,X,O,X
LISJOTZ,O,X,O,X
LISJOZT,O,X,O,X
LISZTJO,O,X,O,X
LISZTOJ,O,X,O,X
LISZJTO,O,X,X,X
LISZJOT,O,X,O,X
LISZOTJ,O,X,O,O
LISZOJT,O,X,O,O
LISOTJZ,O,X,O,X
LISOTZJ,O,X,O,O
LISOJTZ,O,X,O,X
LISOJZT,O,X,O,X
LISOZTJ,O,X,O,O
LISOZJT,O,X,O,O
LIZTJSO,X,O,X,X
LIZTJOS,X,O,X,X
LIZTSJO,X,O,O,X
LIZTSOJ,X,O,O,X
LIZTOJS,X,O,X,X
LIZTOSJ,X,O,O,X
LIZJTSO,X,O,X,X
LIZJTOS,X,O,X,X
LIZJSTO,O,X,X,X
LIZJSOT,O,O,X,X
LIZJOTS,X,O,X,X
LIZJOST,O,O,X,X
LIZSTJO,O,X,O,X
LIZSTOJ,O,X,O,X
LIZSJTO,O,X,X,X
LIZSJOT,O,O,O,X
LIZSOTJ,O,X,O,X
LIZSOJT,O,O,O,X
LIZOTJS,X,O,X,X
LIZOTSJ,X,O,O,X
LIZOJTS,X,O,X,X
LIZOJST,O,O,X,X
LIZOSTJ,O,X,O,X
LIZOSJT,O,O,O,X
LIOTJSZ,X,X,O,X
LIOTJZS,X,O,X,X
LIOTSJZ,X,X,O,X
LIOTSZJ,X,X,O,O
LIOTZJS,X,O,X,X
LIOTZSJ,X,O,O,X
LIOJTSZ,X,X,O,X
LIOJTZS,X,O,X,X
LIOJSTZ,O,X,O,X
LIOJSZT,O,X,O,X
LIOJZTS,X,O,X,X
LIOJZST,O,O,X,X
LIOSTJZ,O,X,O,X
LIOSTZJ,O,X,O,O
LIOSJTZ,O,X,O,X
LIOSJZT,O,X,O,X
LIOSZTJ,O,X,O,O
LIOSZJT,O,X,O,O
LIOZTJS,X,O,X,X
LIOZTSJ,X,O,O,X
LIOZJTS,X,O,X,X
LIOZJST,O,O,X,X
LIOZSTJ,O,X,O,X
LIOZSJT,O,O,O,X
LJTISZO,X,X,O,X
LJTISOZ,X,X,O,X
LJTIZSO,X,O,X,X
LJTIZOS,X,O,X,X
LJTIOSZ,X,X,O,X
LJTIOZS,X,O,X,X
LJTSIZO,X,X,O,X
LJTSIOZ,X,X,O,X
LJTSZIO,X,X,O,X
LJTSZOI,X,X,O,X
LJTSOIZ,X,X,O,X
LJTSOZI,X,X,O,X
LJTZISO,X,O,X,X
LJTZIOS,X,O,X,X
LJTZSIO,X,O,X,X
LJTZSOI,X,O,X,X
