sequence,v115@UhB8AeA8BeA8AeA8AeG8JeZEJvhFCgBXhB8mBGjBdq?BzsB,v115@UhB8AeA8BeA8AeA8AeG8Jex/IvhFXhB8mBGjBNpBaq?BzsB,v115@UhB8AeA8BeA8AeA8AeG8JeZEJvhFtkBXhB8mBqnBTj?BOqB,v115@UhB8AeA8BeA8AeA8AeG8Jex/IvhFXhBTjBOpBdqBCs?B0sB,v115@UhB8AeA8BeA8AeA8AeG8JeZEJvhFtkBXhBTjBCnBOq?B0sB
LTSJZIO,O,O,X,O,X
LTSJZOI,O,O,X,O,X
LTSJOIZ,X,X,X,O,O
LTSJOZI,X,X,X,O,X
LTSZIJO,O,O,O,X,X
LTSZIOJ,O,O,O,X,O
LTSZJIO,O,O,O,O,X
LTSZJOI,O,O,O,O,X
LTSZOIJ,O,O,O,X,O
LTSZOJI,O,O,O,O,X
LTSOIJZ,O,O,X,O,O
LTSOIZJ,O,O,O,X,O
LTSOJIZ,O,O,X,O,O
LTSOJZI,O,O,X,O,X
LTSOZIJ,O,O,O,X,O
LTSOZJI,O,O,O,O,X
LTZIJSO,O,O,O,X,X
LTZIJOS,O,O,O,X,X
LTZISJO,O,O,O,X,X
LTZISOJ,O,O,O,X,O
LTZIOJS,O,O,O,X,X
LTZIOSJ,O,O,O,X,O
LTZJISO,O,O,O,O,X
LTZJIOS,O,O,O,O,X
LTZJSIO,O,O,O,O,X
LTZJSOI,O,O,O,O,X
LTZJOIS,O,O,O,O,X
LTZJOSI,O,O,O,O,X
LTZSIJO,O,O,O,X,X
LTZSIOJ,O,O,O,X,O
LTZSJIO,O,O,O,O,X
LTZSJOI,O,O,O,O,X
LTZSOIJ,O,O,O,X,O
LTZSOJI,O,O,O,O,X
LTZOIJS,O,O,O,X,X
LTZOISJ,O,O,O,X,O
LTZOJIS,O,O,O,O,X
LTZOJSI,O,O,O,O,X
LTZOSIJ,O,O,O,X,O
LTZOSJI,O,O,O,O,X
LTOIJSZ,O,O,X,O,O
LTOIJZS,O,O,O,O,X
LTOISJZ,O,O,X,O,O
LTOISZJ,O,O,O,X,O
LTOIZJS,O,O,O,X,X
LTOIZSJ,O,O,O,X,O
LTOJISZ,O,O,X,O,O
LTOJIZS,O,O,O,O,X
LTOJSIZ,O,O,X,O,O
LTOJSZI,O,O,X,O,X
LTOJZIS,O,O,O,O,X
LTOJZSI,O,O,O,O,X
LTOSIJZ,O,O,X,O,O
LTOSIZJ,O,O,O,X,O
LTOSJIZ,O,O,X,O,O
LTOSJZI,O,O,X,O,X
LTOSZIJ,O,O,O,X,O
LTOSZJI,O,O,O,O,X
LTOZIJS,O,O,O,X,X
LTOZISJ,O,O,O,X,O
LTOZJIS,O,O,O,O,X
LTOZJSI,O,O,O,O,X
LTOZSIJ,O,O,O,X,O
LTOZSJI,O,O,O,O,X
LITJSZO,O,X,X,O,X
LITJSOZ,X,X,X,O,O
LITJZSO,O,X,O,O,X
LITJZOS,O,X,O,O,X
LITJOSZ,O,X,X,O,O
LITJOZS,O,X,O,O,X
LITSJZO,O,X,X,O,X
LITSJOZ,X,X,X,O,O
LITSZJO,O,X,O,X,X
LITSZOJ,O,X,O,X,O
LITSOJZ,O,X,X,O,O
LITSOZJ,O,X,O,X,O
LITZJSO,O,X,O,X,X
LITZJOS,O,X,O,X,X
LITZSJO,O,X,O,X,X
LITZSOJ,O,X,O,X,O
LITZOJS,O,X,O,X,X
LITZOSJ,O,X,O,X,O
LITOJSZ,O,X,X,O,O
LITOJZS,O,X,O,O,X
LITOSJZ,O,X,X,O,O
LITOSZJ,O,X,O,X,O
LITOZJS,O,X,O,X,X
LITOZSJ,O,X,O,X,O
LIJTSZO,O,X,X,X,X
LIJTSOZ,X,X,X,X,O
LIJTZSO,O,X,O,X,X
LIJTZOS,O,X,O,X,X
LIJTOSZ,X,X,X,X,O
LIJTOZS,O,X,O,X,X
LIJSTZO,X,X,X,X,X
LIJSTOZ,X,X,X,X,O
LIJSZTO,X,X,X,X,X
LIJSZOT,X,X,X,X,X
LIJSOTZ,X,X,X,X,O
LIJSOZT,X,X,X,X,X
LIJZTSO,O,X,O,X,X
LIJZTOS,O,X,O,X,X
LIJZSTO,O,X,O,X,X
LIJZSOT,X,X,O,X,X
LIJZOTS,X,X,O,X,X
LIJZOST,X,X,O,X,X
LIJOTSZ,X,X,X,X,O
LIJOTZS,X,X,O,X,X
LIJOSTZ,X,X,X,X,O
LIJOSZT,X,X,X,X,X
LIJOZTS,X,X,O,X,X
LIJOZST,X,X,O,X,X
LISTJZO,X,X,X,O,X
LISTJOZ,X,X,X,O,O
LISTZJO,X,X,O,X,X
LISTZOJ,X,X,O,X,O
LISTOJZ,X,X,X,O,O
LISTOZJ,X,X,O,X,O
LISJTZO,X,X,X,X,X
LISJTOZ,X,X,X,X,O
LISJZTO,X,X,X,X,X
LISJZOT,X,X,X,X,X
LISJOTZ,X,X,X,X,O
LISJOZT,X,X,X,X,X
LISZTJO,X,X,O,X,X
LISZTOJ,X,X,O,X,O
LISZJTO,X,X,O,X,X
LISZJOT,X,X,O,X,X
LISZOTJ,X,X,O,X,O
LISZOJT,X,X,O,X,X
LISOTJZ,X,X,X,O,O
LISOTZJ,X,X,O,X,O
LISOJTZ,X,X,X,X,O
LISOJZT,X,X,X,X,X
LISOZTJ,X,X,O,X,O
LISOZJT,X,X,O,X,X
LIZTJSO,O,X,O,X,X
LIZTJOS,O,X,O,X,X
LIZTSJO,O,X,O,X,X
LIZTSOJ,O,X,O,X,O
LIZTOJS,O,X,O,X,X
LIZTOSJ,O,X,O,X,O
LIZJTSO,O,X,O,X,X
LIZJTOS,O,X,O,X,X
LIZJSTO,O,X,O,X,X
LIZJSOT,X,X,O,X,X
LIZJOTS,X,X,O,X,X
LIZJOST,X,X,O,X,X
LIZSTJO,O,X,O,X,X
LIZSTOJ,O,X,O,X,O
LIZSJTO,O,X,O,X,X
LIZSJOT,X,X,O,X,X
LIZSOTJ,O,X,O,X,O
LIZSOJT,O,X,O,X,X
LIZOTJS,O,X,O,X,X
LIZOTSJ,O,X,O,X,O
LIZOJTS,O,X,O,X,X
LIZOJST,O,X,O,X,X
LIZOSTJ,O,X,O,X,O
LIZOSJT,O,X,O,X,X
LIOTJSZ,O,X,X,O,O
LIOTJZS,O,X,O,O,X
LIOTSJZ,O,X,X,O,O
LIOTSZJ,O,X,O,X,O
LIOTZJS,O,X,O,X,X
LIOTZSJ,O,X,O,X,O
LIOJTSZ,O,X,X,X,O
LIOJTZS,O,X,O,X,X
LIOJSTZ,X,X,X,X,O
LIOJSZT,X,X,X,X,X
LIOJZTS,O,X,O,X,X
LIOJZST,O,X,O,X,X
LIOSTJZ,X,X,X,O,O
LIOSTZJ,X,X,O,X,O
LIOSJTZ,X,X,X,X,O
LIOSJZT,X,X,X,X,X
LIOSZTJ,X,X,O,X,O
LIOSZJT,X,X,O,X,X
LIOZTJS,O,X,O,X,X
LIOZTSJ,O,X,O,X,O
LIOZJTS,O,X,O,X,X
LIOZJST,O,X,O,X,X
LIOZSTJ,O,X,O,X,O
LIOZSJT,O,X,O,X,X
LJTISZO,O,O,X,O,X
LJTISOZ,X,X,X,O,O
LJTIZSO,O,O,O,O,X
LJTIZOS,O,O,O,O,X
LJTIOSZ,X,X,X,O,O
LJTIOZS,O,O,O,O,X
LJTSIZO,O,O,X,O,X
LJTSIOZ,X,X,X,O,O
LJTSZIO,O,O,X,O,X
LJTSZOI,O,O,X,O,X
LJTSOIZ,X,X,X,O,O
LJTSOZI,X,X,X,O,X
LJTZISO,O,O,O,O,X
LJTZIOS,O,O,O,O,X
LJTZSIO,O,O,O,O,X
LJTZSOI,O,O,O,O,X
LJTZOIS,O,O,O,O,X
LJTZOSI,O,O,O,O,X
LJTOISZ,X,X,X,O,O
LJTOIZS,O,O,O,O,X
LJTOSIZ,X,X,X,O,O
LJTOSZI,X,X,X,O,X
LJTOZIS,O,O,O,O,X
LJTOZSI,O,O,O,O,X
LJITSZO,O,X,X,X,X
LJITSOZ,X,X,X,X,O
LJITZSO,O,X,O,X,X
LJITZOS,O,X,O,X,X
LJITOSZ,X,X,X,X,O
LJITOZS,O,X,O,X,X
LJISTZO,X,X,X,X,X
LJISTOZ,X,X,X,X,O
LJISZTO,X,X,X,X,X
LJISZOT,X,X,X,X,X
LJISOTZ,X,X,X,X,O
LJISOZT,X,X,X,X,X
LJIZTSO,O,X,O,X,X
LJIZTOS,O,X,O,X,X
LJIZSTO,O,X,O,X,X
LJIZSOT,X,X,O,X,X
LJIZOTS,X,X,O,X,X
LJIZOST,X,X,O,X,X
LJIOTSZ,X,X,X,X,O
LJIOTZS,X,X,O,X,X
LJIOSTZ,X,X,X,X,O
LJIOSZT,X,X,X,X,X
LJIOZTS,X,X,O,X,X
LJIOZST,X,X,O,X,X
LJSTIZO,X,X,X,O,X
LJSTIOZ,X,X,X,O,O
LJSTZIO,X,X,X,O,X
LJSTZOI,X,X,X,O,X
LJSTOIZ,X,X,X,O,O
LJSTOZI,X,X,X,O,X
LJSITZO,X,X,X,X,X
LJSITOZ,X,X,X,X,O
LJSIZTO,X,X,X,X,X
LJSIZOT,X,X,X,X,X
LJSIOTZ,X,X,X,X,O
LJSIOZT,X,X,X,X,X
LJSZTIO,X,X,X,X,X
LJSZTOI,X,X,X,X,X
LJSZITO,X,X,X,X,X
LJSZIOT,X,X,X,X,X
LJSZOTI,X,X,X,X,X
LJSZOIT,X,X,X,X,X
LJSOTIZ,X,X,X,O,O
LJSOTZI,X,X,X,O,X
LJSOITZ,X,X,X,X,O
LJSOIZT,X,X,X,X,X
LJSOZTI,X,X,X,X,X
LJSOZIT,X,X,X,X,X
LJZTISO,O,O,O,X,X
LJZTIOS,O,O,O,X,X
LJZTSIO,O,O,O,X,X
LJZTSOI,O,O,O,X,X
LJZTOIS,O,O,O,X,X
LJZTOSI,O,O,O,X,X
LJZITSO,O,X,O,X,X
LJZITOS,O,X,O,X,X
LJZISTO,O,X,O,X,X
LJZISOT,X,X,O,X,X
LJZIOTS,X,X,O,X,X
LJZIOST,X,X,O,X,X
LJZSTIO,O,O,O,X,X
LJZSTOI,O,O,O,X,X
LJZSITO,O,O,O,X,X
LJZSIOT,X,O,O,X,X
LJZSOTI,X,X,O,X,X
LJZSOIT,X,X,O,X,X
LJZOTIS,X,X,O,X,X
LJZOTSI,X,X,O,X,X
LJZOITS,X,X,O,X,X
LJZOIST,X,X,O,X,X
LJZOSTI,X,X,O,X,X
LJZOSIT,X,X,O,X,X
LJOTISZ,X,X,X,O,O
LJOTIZS,X,X,O,O,X
LJOTSIZ,X,X,X,O,O
LJOTSZI,X,X,X,O,X
LJOTZIS,X,X,O,O,X
LJOTZSI,X,X,O,O,X
LJOITSZ,X,X,X,X,O
LJOITZS,X,X,O,X,X
LJOISTZ,X,X,X,X,O
LJOISZT,X,X,X,X,X
LJOIZTS,X,X,O,X,X
LJOIZST,X,X,O,X,X
LJOSTIZ,X,X,X,O,O
LJOSTZI,X,X,X,O,X
LJOSITZ,X,X,X,X,O
LJOSIZT,X,X,X,X,X
LJOSZTI,X,X,X,X,X
LJOSZIT,X,X,X,X,X
LJOZTIS,X,X,O,X,X
LJOZTSI,X,X,O,X,X
LJOZITS,X,X,O,X,X
LJOZIST,X,X,O,X,X
LJOZSTI,X,X,O,X,X
LJOZSIT,X,X,O,X,X
LSTIJZO,X,X,X,O,X
LSTIJOZ,X,X,X,O,O
LSTIZJO,X,X,O,X,X
LSTIZOJ,X,X,O,X,O
LSTIOJZ,X,X,X,O,O
LSTIOZJ,X,X,O,X,O
LSTJIZO,X,X,X,O,X
LSTJIOZ,X,X,X,O,O
LSTJZIO,X,X,X,O,X
LSTJZOI,X,X,X,O,X
LSTJOIZ,X,X,X,O,O
LSTJOZI,X,X,X,O,X
LSTZIJO,X,X,O,X,X
LSTZIOJ,X,X,O,X,O
LSTZJIO,X,X,O,O,X
LSTZJOI,X,X,O,O,X
LSTZOIJ,X,X,O,X,O
LSTZOJI,X,X,O,O,X
LSTOIJZ,X,X,X,O,O
LSTOIZJ,X,X,O,X,O
LSTOJIZ,X,X,X,O,O
LSTOJZI,X,X,X,O,X
LSTOZIJ,X,X,O,X,O
LSTOZJI,X,X,O,O,X
LSITJZO,X,X,X,O,X
LSITJOZ,X,X,X,O,O
LSITZJO,X,X,O,X,X
LSITZOJ,X,X,O,X,O
LSITOJZ,X,X,X,O,O
LSITOZJ,X,X,O,X,O
LSIJTZO,X,X,X,X,X
LSIJTOZ,X,X,X,X,O
LSIJZTO,X,X,X,X,X
LSIJZOT,X,X,X,X,X
LSIJOTZ,X,X,X,X,O
LSIJOZT,X,X,X,X,X
LSIZTJO,X,X,O,X,X
LSIZTOJ,X,X,O,X,O
LSIZJTO,X,X,O,X,X
LSIZJOT,X,X,O,X,X
LSIZOTJ,X,X,O,X,O
LSIZOJT,X,X,O,X,X
LSIOTJZ,X,X,X,O,O
LSIOTZJ,X,X,O,X,O
LSIOJTZ,X,X,X,X,O
LSIOJZT,X,X,X,X,X
LSIOZTJ,X,X,O,X,O
LSIOZJT,X,X,O,X,X
LSJTIZO,X,X,X,O,X
LSJTIOZ,X,X,X,O,O
LSJTZIO,X,X,X,O,X
LSJTZOI,X,X,X,O,X
LSJTOIZ,X,X,X,O,O
LSJTOZI,X,X,X,O,X
LSJITZO,X,X,X,X,X
LSJITOZ,X,X,X,X,O
LSJIZTO,X,X,X,X,X
LSJIZOT,X,X,X,X,X
LSJIOTZ,X,X,X,X,O
LSJIOZT,X,X,X,X,X
LSJZTIO,X,X,X,X,X
LSJZTOI,X,X,X,X,X
LSJZITO,X,X,X,X,X
LSJZIOT,X,X,X,X,X
LSJZOTI,X,X,X,X,X
LSJZOIT,X,X,X,X,X
LSJOTIZ,X,X,X,O,O
LSJOTZI,X,X,X,O,X
LSJOITZ,X,X,X,X,O
LSJOIZT,X,X,X,X,X
LSJOZTI,X,X,X,X,X
LSJOZIT,X,X,X,X,X
LSZTIJO,X,X,O,X,X
LSZTIOJ,X,X,O,X,O
LSZTJIO,X,X,O,O,X
LSZTJOI,X,X,O,O,X
LSZTOIJ,X,X,O,X,O
LSZTOJI,X,X,O,O,X
LSZITJO,X,X,O,X,X
LSZITOJ,X,X,O,X,O
LSZIJTO,X,X,O,X,X
LSZIJOT,X,X,O,X,X
LSZIOTJ,X,X,O,X,O
LSZIOJT,X,X,O,X,X
LSZJTIO,X,X,O,X,X
LSZJTOI,X,X,O,X,X
LSZJITO,X,X,O,X,X
LSZJIOT,X,X,O,X,X
LSZJOTI,X,X,O,X,X
LSZJOIT,X,X,O,X,X
LSZOTIJ,X,X,O,X,O
LSZOTJI,X,X,O,O,X
LSZOITJ,X,X,O,X,O
LSZOIJT,X,X,O,X,X
LSZOJTI,X,X,O,X,X
LSZOJIT,X,X,O,X,X
LSOTIJZ,X,X,X,O,O
LSOTIZJ,X,X,O,X,O
LSOTJIZ,X,X,X,O,O
LSOTJZI,X,X,X,O,X
LSOTZIJ,X,X,O,X,O
LSOTZJI,X,X,O,O,X
LSOITJZ,X,X,X,O,O
LSOITZJ,X,X,O,X,O
LSOIJTZ,X,X,X,X,O
LSOIJZT,X,X,X,X,X
LSOIZTJ,X,X,O,X,O
LSOIZJT,X,X,O,X,X
LSOJTIZ,X,X,X,O,O
LSOJTZI,X,X,X,O,X
LSOJITZ,X,X,X,X,O
LSOJIZT,X,X,X,X,X
LSOJZTI,X,X,X,X,X
LSOJZIT,X,X,X,X,X
LSOZTIJ,X,X,O,X,O
LSOZTJI,X,X,O,O,X
LSOZITJ,X,X,O,X,O
LSOZIJT,X,X,O,X,X
LSOZJTI,X,X,O,X,X
LSOZJIT,X,X,O,X,X
LZTIJSO,O,O,O,X,X
LZTIJOS,O,O,O,X,X
LZTISJO,O,O,O,X,X
LZTISOJ,O,O,O,X,O
LZTIOJS,O,O,O,X,X
LZTIOSJ,O,O,O,X,O
LZTJISO,O,O,O,O,X
LZTJIOS,O,O,O,O,X
LZTJSIO,O,O,O,O,X
LZTJSOI,O,O,O,O,X
LZTJOIS,O,O,O,O,X
LZTJOSI,O,O,O,O,X
LZTSIJO,O,O,O,X,X
LZTSIOJ,O,O,O,X,O
LZTSJIO,O,O,O,O,X
LZTSJOI,O,O,O,O,X
LZTSOIJ,O,O,O,X,O
LZTSOJI,O,O,O,O,X
LZTOIJS,O,O,O,X,X
LZTOISJ,O,O,O,X,O
LZTOJIS,O,O,O,O,X
LZTOJSI,O,O,O,O,X
LZTOSIJ,O,O,O,X,O
LZTOSJI,O,O,O,O,X
LZITJSO,O,X,O,X,X
LZITJOS,O,X,O,X,X
LZITSJO,O,X,O,X,X
LZITSOJ,O,X,O,X,O
LZITOJS,O,X,O,X,X
LZITOSJ,O,X,O,X,O
LZIJTSO,O,X,O,X,X
LZIJTOS,O,X,O,X,X
LZIJSTO,O,X,O,X,X
LZIJSOT,X,X,O,X,X
LZIJOTS,X,X,O,X,X
LZIJOST,X,X,O,X,X
LZISTJO,O,X,O,X,X
LZISTOJ,O,X,O,X,O
LZISJTO,O,X,O,X,X
LZISJOT,X,X,O,X,X
LZISOTJ,O,X,O,X,O
LZISOJT,O,X,O,X,X
LZIOTJS,O,X,O,X,X
LZIOTSJ,O,X,O,X,O
LZIOJTS,O,X,O,X,X
LZIOJST,O,X,O,X,X
LZIOSTJ,O,X,O,X,O
LZIOSJT,O,X,O,X,X
LZJTISO,O,O,O,X,X
LZJTIOS,O,O,O,X,X
LZJTSIO,O,O,O,X,X
LZJTSOI,O,O,O,X,X
LZJTOIS,O,O,O,X,X
LZJTOSI,O,O,O,X,X
LZJITSO,O,X,O,X,X
LZJITOS,O,X,O,X,X
LZJISTO,O,X,O,X,X
LZJISOT,X,X,O,X,X
LZJIOTS,X,X,O,X,X
LZJIOST,X,X,O,X,X
LZJSTIO,O,O,O,X,X
LZJSTOI,O,O,O,X,X
LZJSITO,O,O,O,X,X
LZJSIOT,X,O,O,X,X
LZJSOTI,X,X,O,X,X
LZJSOIT,X,X,O,X,X
LZJOTIS,X,X,O,X,X
LZJOTSI,X,X,O,X,X
LZJOITS,X,X,O,X,X
LZJOIST,X,X,O,X,X
LZJOSTI,X,X,O,X,X
LZJOSIT,X,X,O,X,X
LZSTIJO,O,O,O,X,X
LZSTIOJ,O,O,O,X,O
LZSTJIO,O,O,O,O,X
LZSTJOI,O,O,O,O,X
LZSTOIJ,O,O,O,X,O
LZSTOJI,O,O,O,O,X
LZSITJO,O,X,O,X,X
LZSITOJ,O,X,O,X,O
LZSIJTO,O,O,O,X,X
LZSIJOT,X,O,O,X,X
LZSIOTJ,O,X,O,X,O
LZSIOJT,O,O,O,X,X
LZSJTIO,O,O,O,X,X
LZSJTOI,O,O,O,X,X
LZSJITO,O,O,O,X,X
LZSJIOT,X,O,O,X,X
LZSJOTI,X,X,O,X,X
LZSJOIT,X,X,O,X,X
LZSOTIJ,O,O,O,X,O
LZSOTJI,O,O,O,O,X
LZSOITJ,O,X,O,X,O
LZSOIJT,O,O,O,X,X
LZSOJTI,O,O,O,X,X
LZSOJIT,O,O,O,X,X
LZOTIJS,O,O,O,X,X
LZOTISJ,O,O,O,X,O
LZOTJIS,O,O,O,O,X
LZOTJSI,O,O,O,O,X
LZOTSIJ,O,O,O,X,O
LZOTSJI,O,O,O,O,X
LZOITJS,O,X,O,X,X
LZOITSJ,O,X,O,X,O
LZOIJTS,O,X,O,X,X
LZOIJST,O,X,O,X,X
LZOISTJ,O,X,O,X,O
LZOISJT,O,X,O,X,X
LZOJTIS,O,O,O,X,X
LZOJTSI,O,O,O,X,X
LZOJITS,O,X,O,X,X
LZOJIST,O,X,O,X,X
LZOJSTI,O,O,O,X,X
LZOJSIT,O,O,O,X,X
LZOSTIJ,O,O,O,X,O
LZOSTJI,O,O,O,O,X
LZOSITJ,O,X,O,X,O
LZOSIJT,O,O,O,X,X
LZOSJTI,O,O,O,X,X
LZOSJIT,O,O,O,X,X
LOTIJSZ,O,O,X,O,O
LOTIJZS,O,O,O,O,X
LOTISJZ,O,O,X,O,O
LOTISZJ,O,O,O,X,O
LOTIZJS,O,O,O,X,X
LOTIZSJ,O,O,O,X,O
LOTJISZ,O,O,X,O,O
LOTJIZS,O,O,O,O,X
LOTJSIZ,O,O,X,O,O
LOTJSZI,O,O,X,O,X
LOTJZIS,O,O,O,O,X
LOTJZSI,O,O,O,O,X
LOTSIJZ,O,O,X,O,O
LOTSIZJ,O,O,O,X,O
LOTSJIZ,O,O,X,O,O
LOTSJZI,O,O,X,O,X
LOTSZIJ,O,O,O,X,O
LOTSZJI,O,O,O,O,X
LOTZIJS,O,O,O,X,X
LOTZISJ,O,O,O,X,O
LOTZJIS,O,O,O,O,X
LOTZJSI,O,O,O,O,X
LOTZSIJ,O,O,O,X,O
LOTZSJI,O,O,O,O,X
LOITJSZ,O,X,X,O,O
LOITJZS,O,X,O,O,X
LOITSJZ,O,X,X,O,O
LOITSZJ,O,X,O,X,O
LOITZJS,O,X,O,X,X
LOITZSJ,O,X,O,X,O
LOIJTSZ,O,X,X,X,O
LOIJTZS,O,X,O,X,X
LOIJSTZ,X,X,X,X,O
LOIJSZT,X,X,X,X,X
LOIJZTS,O,X,O,X,X
LOIJZST,O,X,O,X,X
LOISTJZ,X,X,X,O,O
LOISTZJ,X,X,O,X,O
LOISJTZ,X,X,X,X,O
LOISJZT,X,X,X,X,X
LOISZTJ,X,X,O,X,O
LOISZJT,X,X,O,X,X
LOIZTJS,O,X,O,X,X
LOIZTSJ,O,X,O,X,O
LOIZJTS,O,X,O,X,X
LOIZJST,O,X,O,X,X
LOIZSTJ,O,X,O,X,O
LOIZSJT,O,X,O,X,X
LOJTISZ,O,O,X,O,O
LOJTIZS,O,O,O,O,X
LOJTSIZ,O,O,X,O,O
LOJTSZI,O,O,X,O,X
LOJTZIS,O,O,O,O,X
LOJTZSI,O,O,O,O,X
LOJITSZ,O,X,X,X,O
LOJITZS,O,X,O,X,X
LOJISTZ,X,X,X,X,O
LOJISZT,X,X,X,X,X
LOJIZTS,O,X,O,X,X
LOJIZST,O,X,O,X,X
LOJSTIZ,X,X,X,O,O
LOJSTZI,X,X,X,O,X
LOJSITZ,X,X,X,X,O
LOJSIZT,X,X,X,X,X
LOJSZTI,X,X,X,X,X
LOJSZIT,X,X,X,X,X
LOJZTIS,O,O,O,X,X
LOJZTSI,O,O,O,X,X
LOJZITS,O,X,O,X,X
LOJZIST,O,X,O,X,X
LOJZSTI,O,O,O,X,X
LOJZSIT,O,O,O,X,X
LOSTIJZ,X,X,X,O,O
LOSTIZJ,X,X,O,X,O
LOSTJIZ,X,X,X,O,O
LOSTJZI,X,X,X,O,X
LOSTZIJ,X,X,O,X,O
LOSTZJI,X,X,O,O,X
LOSITJZ,X,X,X,O,O
LOSITZJ,X,X,O,X,O
LOSIJTZ,X,X,X,X,O
LOSIJZT,X,X,X,X,X
LOSIZTJ,X,X,O,X,O
LOSIZJT,X,X,O,X,X
LOSJTIZ,X,X,X,O,O
LOSJTZI,X,X,X,O,X
LOSJITZ,X,X,X,X,O
LOSJIZT,X,X,X,X,X
LOSJZTI,X,X,X,X,X
LOSJZIT,X,X,X,X,X
LOSZTIJ,X,X,O,X,O
LOSZTJI,X,X,O,O,X
LOSZITJ,X,X,O,X,O
LOSZIJT,X,X,O,X,X
LOSZJTI,X,X,O,X,X
LOSZJIT,X,X,O,X,X
LOZTIJS,O,O,O,X,X
LOZTISJ,O,O,O,X,O
LOZTJIS,O,O,O,O,X
LOZTJSI,O,O,O,O,X
LOZTSIJ,O,O,O,X,O
LOZTSJI,O,O,O,O,X
LOZITJS,O,X,O,X,X
LOZITSJ,O,X,O,X,O
LOZIJTS,O,X,O,X,X
LOZIJST,O,X,O,X,X
LOZISTJ,O,X,O,X,O
LOZISJT,O,X,O,X,X
LOZJTIS,O,O,O,X,X
LOZJTSI,O,O,O,X,X
LOZJITS,O,X,O,X,X
LOZJIST,O,X,O,X,X
LOZJSTI,O,O,O,X,X
LOZJSIT,O,O,O,X,X
LOZSTIJ,O,O,O,X,O
LOZSTJI,O,O,O,O,X
LOZSITJ,O,X,O,X,O
LOZSIJT,O,O,O,X,X
LOZSJTI,O,O,O,X,X
LOZSJIT,O,O,O,X,X
JTILSZO,O,O,X,O,X
JTILSOZ,X,X,X,O,O
JTILZSO,O,O,O,O,X
JTILZOS,O,O,O,O,X
JTILOSZ,O,X,X,O,O
JTILOZS,O,O,O,O,X
JTISLZO,O,X,X,O,X
JTISLOZ,X,X,X,O,O
JTISZLO,O,O,X,O,X
JTISZOL,O,O,X,O,X
JTISOLZ,X,X,X,O,O
JTISOZL,X,X,X,O,X
JTIZLSO,O,O,O,O,X
JTIZLOS,O,O,O,O,X
JTIZSLO,O,O,O,O,X
JTIZSOL,O,O,X,O,X
JTIZOLS,O,O,X,O,X
JTIZOSL,O,O,X,O,X
JTIOLSZ,O,X,X,O,O
JTIOLZS,O,O,O,O,X
JTIOSLZ,O,X,X,O,O
JTIOSZL,O,O,X,O,X
JTIOZLS,O,O,X,O,X
JTIOZSL,O,O,X,O,X
JTLISZO,O,O,X,O,X
JTLISOZ,X,X,X,O,O
JTLIZSO,O,O,O,O,X
JTLIZOS,O,O,O,O,X
JTLIOSZ,O,O,X,O,O
JTLIOZS,O,O,O,O,X
JTLSIZO,O,O,X,O,X
JTLSIOZ,X,X,X,O,O
JTLSZIO,O,O,X,O,X
JTLSZOI,O,O,X,O,X
JTLSOIZ,X,X,X,O,O
JTLSOZI,X,X,X,O,X
JTLZISO,O,O,O,O,X
JTLZIOS,O,O,O,O,X
JTLZSIO,O,O,O,O,X
JTLZSOI,O,O,O,O,X
JTLZOIS,O,O,O,O,X
JTLZOSI,O,O,O,O,X
JTLOISZ,O,O,X,O,O
JTLOIZS,O,O,O,O,X
JTLOSIZ,O,O,X,O,O
JTLOSZI,O,O,X,O,X
JTLOZIS,O,O,O,O,X
JTLOZSI,O,O,O,O,X
JTSILZO,O,X,X,O,X
JTSILOZ,X,X,X,O,O
JTSIZLO,O,O,X,O,X
JTSIZOL,O,O,X,O,X
JTSIOLZ,X,X,X,O,O
JTSIOZL,X,X,X,O,X
JTSLIZO,O,O,X,O,X
JTSLIOZ,X,X,X,O,O
JTSLZIO,O,O,X,O,X
JTSLZOI,O,O,X,O,X
JTSLOIZ,X,X,X,O,O
JTSLOZI,X,X,X,O,X
JTSZILO,O,O,X,O,X
JTSZIOL,O,O,X,O,X
JTSZLIO,O,O,X,O,X
JTSZLOI,O,O,X,O,X
JTSZOIL,O,O,X,O,X
JTSZOLI,O,O,X,O,X
JTSOILZ,X,X,X,O,O
JTSOIZL,X,X,X,O,X
JTSOLIZ,X,X,X,O,O
JTSOLZI,X,X,X,O,X
JTSOZIL,X,X,X,O,X
JTSOZLI,X,X,X,O,X
JTZILSO,O,O,O,O,X
JTZILOS,O,O,O,O,X
JTZISLO,O,O,O,O,X
JTZISOL,O,O,X,O,X
JTZIOLS,O,O,X,O,X
JTZIOSL,O,O,X,O,X
JTZLISO,O,O,O,O,X
JTZLIOS,O,O,O,O,X
JTZLSIO,O,O,O,O,X
JTZLSOI,O,O,O,O,X
JTZLOIS,O,O,O,O,X
JTZLOSI,O,O,O,O,X
JTZSILO,O,O,O,O,X
JTZSIOL,O,O,X,O,X
JTZSLIO,O,O,O,O,X
JTZSLOI,O,O,O,O,X
JTZSOIL,O,O,X,O,X
JTZSOLI,O,O,X,O,X
JTZOILS,O,O,X,O,X
JTZOISL,O,O,X,O,X
JTZOLIS,O,O,X,O,X
JTZOLSI,O,O,X,O,X
JTZOSIL,O,O,X,O,X
JTZOSLI,O,O,X,O,X
JTOILSZ,O,O,X,O,O
JTOILZS,O,O,O,O,X
JTOISLZ,O,X,X,O,O
