sequence,v115@RhA8EeB8BeD8AeE8Je/EJvhFUgBRhBCjBlmBToBmqB,v115@RhA8EeB8BeD8AeE8Jex/IvhFXhB8mBCjBlkBToBmqB,v115@RhA8EeB8BeD8AeE8Je/EJvhFUgBFhBxiBCnBToBmqB,v115@RhA8EeB8BeD8AeE8Jem/IvhFFhBxiB0kBfrBCsBTtB,v115@RhA8EeB8BeD8AeE8JeT/IvhFelBSoBRmBfrBlrBUtB,v115@RhA8EeB8BeD8AeE8JeT/IvhFxgBymBGjBXlBUoBFrB,v115@RhA8EeB8BeD8AeE8Je/EJvhFRgBzhBGjBilBUoBFrB,v115@RhA8EeB8BeD8AeE8JemAJvhFzhBfoB6oBxkB0kBFrB
TLSZIOJ,O,O,O,O,X,O,O,O
TLSZJIO,O,O,O,O,X,O,O,O
TLSZJOI,O,O,O,O,X,O,O,O
TLSZOIJ,O,O,O,O,X,O,O,O
TLSZOJI,O,X,O,O,X,O,O,O
TLSOIJZ,O,X,O,O,X,O,O,O
TLSOIZJ,O,X,O,O,X,O,O,O
TLSOJIZ,O,X,O,O,X,O,O,O
TLSOJZI,O,X,O,O,X,O,O,O
TLSOZIJ,O,X,O,O,X,O,O,O
TLSOZJI,O,X,O,O,X,O,O,O
TLZIJSO,O,O,O,O,X,O,O,X
TLZIJOS,X,O,X,X,X,O,O,X
TLZISJO,O,O,O,O,X,O,O,X
TLZISOJ,O,O,O,O,X,O,O,X
TLZIOJS,X,O,X,X,X,O,O,X
TLZIOSJ,X,O,X,X,X,O,O,X
TLZJISO,O,O,O,O,X,O,O,X
TLZJIOS,X,O,X,X,X,O,O,X
TLZJSIO,O,O,O,O,X,O,O,X
TLZJSOI,O,O,O,O,X,O,O,X
TLZJOIS,X,O,O,O,X,O,O,X
TLZJOSI,X,O,O,O,X,O,O,X
TLZSIJO,O,O,O,O,X,O,O,X
TLZSIOJ,O,O,O,O,X,O,O,X
TLZSJIO,O,O,O,O,X,O,O,X
TLZSJOI,O,O,O,O,X,O,O,X
TLZSOIJ,O,O,O,O,X,O,O,X
TLZSOJI,X,O,O,O,X,O,O,X
TLZOIJS,X,O,O,O,X,O,O,X
TLZOISJ,X,O,O,O,X,O,O,X
TLZOJIS,X,O,O,O,X,O,O,X
TLZOJSI,X,O,O,O,X,O,O,X
TLZOSIJ,X,O,O,O,X,O,O,X
TLZOSJI,X,O,O,O,X,O,O,X
TLOIJSZ,O,X,O,X,O,X,X,O
TLOIJZS,O,O,O,X,O,O,X,X
TLOISJZ,O,X,O,O,X,O,O,O
TLOISZJ,O,O,O,O,X,O,O,O
TLOIZJS,O,O,O,O,X,O,O,X
TLOIZSJ,O,O,O,O,X,O,O,X
TLOJISZ,O,X,O,X,O,X,X,O
TLOJIZS,O,O,O,X,O,O,X,X
TLOJSIZ,O,X,O,X,X,X,O,O
TLOJSZI,O,X,O,X,X,X,O,O
TLOJZIS,O,O,O,X,X,O,O,X
TLOJZSI,O,O,O,X,X,O,O,X
TLOSIJZ,O,X,O,O,X,O,O,O
TLOSIZJ,O,O,O,O,X,O,O,O
TLOSJIZ,O,X,O,O,X,O,O,O
TLOSJZI,O,X,O,O,X,O,O,O
TLOSZIJ,O,O,O,O,X,O,O,O
TLOSZJI,O,O,O,O,X,O,O,O
TLOZIJS,O,O,O,O,X,O,O,X
TLOZISJ,O,O,O,O,X,O,O,X
TLOZJIS,O,O,O,O,X,O,O,X
TLOZJSI,O,O,O,O,X,O,O,X
TLOZSIJ,O,O,O,O,X,O,O,X
TLOZSJI,O,O,O,O,X,O,O,X
TJILSZO,O,O,O,X,X,X,X,O
TJILSOZ,O,X,O,X,X,X,X,O
TJILZSO,O,O,O,X,X,X,X,X
TJILZOS,X,O,X,X,X,X,X,X
TJILOSZ,O,O,O,X,O,X,X,O
TJILOZS,O,O,O,X,O,X,X,X
TJISLZO,O,O,O,X,X,X,X,O
TJISLOZ,O,X,O,X,X,X,X,O
TJISZLO,O,O,O,X,X,X,X,O
TJISZOL,O,O,O,X,X,X,X,O
TJISOLZ,O,O,O,X,X,X,X,O
TJISOZL,O,O,O,X,X,X,X,O
TJIZLSO,O,O,X,X,X,X,X,X
TJIZLOS,X,O,X,X,X,X,X,X
TJIZSLO,O,O,X,X,X,X,X,O
TJIZSOL,O,O,X,X,X,X,X,O
TJIZOLS,O,O,X,X,X,X,X,X
TJIZOSL,O,O,X,X,X,X,X,O
TJIOLSZ,O,O,O,X,O,X,X,O
TJIOLZS,O,O,X,X,O,X,X,X
TJIOSLZ,O,O,O,X,X,X,X,O
TJIOSZL,O,O,O,X,X,X,X,O
TJIOZLS,O,O,X,X,X,X,X,X
TJIOZSL,O,O,O,X,X,X,X,O
TJLISZO,O,O,O,X,X,O,X,O
TJLISOZ,O,X,O,X,X,O,X,O
TJLIZSO,O,O,O,X,X,O,X,X
TJLIZOS,X,O,X,X,X,O,X,X
TJLIOSZ,O,O,O,X,O,X,X,O
TJLIOZS,O,O,O,X,O,O,X,X
TJLSIZO,O,O,O,X,X,O,O,O
TJLSIOZ,O,X,O,X,X,O,O,O
TJLSZIO,O,O,O,X,X,O,O,O
TJLSZOI,O,O,O,X,X,O,O,O
TJLSOIZ,O,X,O,X,X,O,O,O
TJLSOZI,O,X,O,X,X,O,O,O
TJLZISO,O,O,O,X,X,O,O,X
TJLZIOS,X,O,X,X,X,O,O,X
TJLZSIO,O,O,O,X,X,O,O,X
TJLZSOI,O,O,O,X,X,O,O,X
TJLZOIS,X,O,O,X,X,O,O,X
TJLZOSI,X,O,O,X,X,O,O,X
TJLOISZ,O,O,O,X,O,X,X,O
TJLOIZS,O,O,O,X,O,O,X,X
TJLOSIZ,O,O,O,X,X,X,O,O
TJLOSZI,O,O,O,X,X,X,O,O
TJLOZIS,O,O,O,X,X,O,O,X
TJLOZSI,O,O,O,X,X,O,O,X
TJSILZO,O,O,O,X,X,O,O,O
TJSILOZ,O,X,O,X,X,O,O,O
TJSIZLO,O,O,O,X,X,O,O,O
TJSIZOL,O,O,O,X,X,O,O,O
