sequence,v115@ThB8EeF8AeD8Jem/IvhFRhB3iBcoBTkBFmBCsB,v115@ThB8EeF8AeD8Jem/IvhFfmB0hBxiBTkBFoBCsB,v115@ThB8EeF8AeD8Jex/IvhFlhB3iBcoBTkBmlBCsB,v115@ThB8EeF8AeD8Jex/IvhFlhBCjBTkBmlB8rBXtB,v115@ThB8EeF8AeD8Je2EJvhFqnBTjBRmB3kBFmB8rB,v115@ThB8EeF8AeD8Jei/IvhFWmBxhBTjB3kB0nBlrB,v115@ThB8EeF8AeD8Jei/IvhFzgBRiBcoB3kBGnBlrB,v115@ThB8EeF8AeD8JeOEJvhF8kBzgBCiBxnBXoBlrB
TIJZLOS,O,X,X,X,X,O,O,O
TIJZSLO,O,O,X,X,X,O,O,O
TIJZSOL,O,O,X,X,X,O,O,O
TIJZOLS,O,X,X,X,X,O,O,O
TIJZOSL,O,X,X,X,X,O,O,O
TIJOLSZ,O,O,X,X,O,O,X,X
TIJOLZS,O,X,X,X,O,X,X,O
TIJOSLZ,O,O,X,X,X,O,O,X
TIJOSZL,O,O,X,X,X,O,O,X
TIJOZLS,O,X,X,X,X,O,O,O
TIJOZSL,O,O,X,X,X,O,O,O
TISLJZO,O,O,X,X,X,O,O,X
TISLJOZ,X,O,X,X,X,O,O,X
TISLZJO,O,O,X,X,X,O,O,O
TISLZOJ,O,O,X,X,X,O,O,O
TISLOJZ,O,O,X,X,X,O,O,X
TISLOZJ,O,O,X,X,X,X,O,O
TISJLZO,O,O,X,X,X,O,O,X
TISJLOZ,X,O,X,X,X,O,O,X
TISJZLO,O,O,X,X,X,O,O,X
TISJZOL,O,O,X,X,X,O,O,X
TISJOLZ,X,O,X,X,X,O,O,X
TISJOZL,X,O,X,X,X,O,O,X
TISZLJO,O,O,X,X,X,O,O,O
TISZLOJ,O,O,X,X,X,O,O,O
TISZJLO,O,O,X,X,X,O,O,O
TISZJOL,O,O,X,X,X,O,O,O
TISZOLJ,O,O,X,X,X,O,O,O
TISZOJL,O,O,X,X,X,O,O,O
TISOLJZ,O,O,X,X,X,O,O,X
TISOLZJ,O,O,X,X,X,X,O,O
TISOJLZ,O,O,X,X,X,O,O,X
TISOJZL,O,O,X,X,X,O,O,X
TISOZLJ,O,O,X,X,X,X,O,O
TISOZJL,O,O,X,X,X,X,O,O
TIZLJSO,O,X,X,X,X,O,O,O
TIZLJOS,O,X,X,X,X,O,O,O
TIZLSJO,O,X,X,X,X,O,O,O
TIZLSOJ,O,X,X,X,X,O,O,O
TIZLOJS,O,X,X,X,X,O,X,O
TIZLOSJ,O,X,X,X,X,O,O,O
TIZJLSO,O,X,X,X,X,O,O,O
TIZJLOS,O,X,X,X,X,O,O,O
TIZJSLO,O,O,X,X,X,O,O,O
TIZJSOL,O,O,X,X,X,O,O,O
TIZJOLS,O,X,X,X,X,O,O,O
TIZJOSL,O,X,X,X,X,O,O,O
TIZSLJO,O,O,X,X,X,O,O,O
TIZSLOJ,O,O,X,X,X,O,O,O
TIZSJLO,O,O,X,X,X,O,O,O
TIZSJOL,O,O,X,X,X,O,O,O
TIZSOLJ,O,O,X,X,X,O,O,O
TIZSOJL,O,O,X,X,X,O,O,O
TIZOLJS,O,X,X,X,X,O,X,O
TIZOLSJ,O,X,X,X,X,O,O,O
TIZOJLS,O,X,X,X,X,O,O,O
TIZOJSL,O,O,X,X,X,O,O,O
TIZOSLJ,O,O,X,X,X,O,O,O
TIZOSJL,O,O,X,X,X,O,O,O
TIOLJSZ,O,O,X,X,O,X,X,X
TIOLJZS,O,X,X,X,O,X,X,O
TIOLSJZ,O,O,X,X,X,X,X,X
TIOLSZJ,O,O,X,X,X,X,X,O
TIOLZJS,O,X,X,X,X,X,X,O
TIOLZSJ,O,X,X,X,X,X,X,O
TIOJLSZ,O,O,X,X,O,O,X,X
TIOJLZS,O,X,X,X,O,X,X,O
TIOJSLZ,O,O,X,X,X,O,O,X
TIOJSZL,O,O,X,X,X,O,O,X
TIOJZLS,O,X,X,X,X,X,O,O
TIOJZSL,O,O,X,X,X,O,O,O
TIOSLJZ,O,O,X,X,X,O,O,X
TIOSLZJ,O,O,X,X,X,X,O,O
TIOSJLZ,O,O,X,X,X,O,O,X
TIOSJZL,O,O,X,X,X,O,O,X
TIOSZLJ,O,O,X,X,X,X,O,O
TIOSZJL,O,O,X,X,X,X,O,O
TIOZLJS,O,X,X,X,X,X,X,O
TIOZLSJ,O,X,X,X,X,X,O,O
TIOZJLS,O,X,X,X,X,X,O,O
TIOZJSL,O,O,X,X,X,X,O,O
TIOZSLJ,O,O,X,X,X,X,O,O
TIOZSJL,O,O,X,X,X,X,O,O
TLIJSZO,O,O,O,X,X,X,X,X
TLIJSOZ,X,O,X,X,X,X,X,X
TLIJZSO,O,O,O,X,X,X,X,O
TLIJZOS,O,X,O,X,X,X,X,O
TLIJOSZ,O,O,O,X,O,X,X,X
TLIJOZS,O,O,O,X,O,X,X,O
TLISJZO,O,O,X,X,X,X,X,X
TLISJOZ,X,O,X,X,X,X,X,X
TLISZJO,O,O,X,X,X,X,X,O
TLISZOJ,O,O,X,X,X,X,X,O
TLISOJZ,O,O,X,X,X,X,X,X
TLISOZJ,O,O,X,X,X,X,X,O
TLIZJSO,O,O,O,X,X,X,X,O
TLIZJOS,O,X,O,X,X,X,X,O
TLIZSJO,O,O,O,X,X,X,X,O
TLIZSOJ,O,O,O,X,X,X,X,O
TLIZOJS,O,O,O,X,X,X,X,O
TLIZOSJ,O,O,O,X,X,X,X,O
TLIOJSZ,O,O,X,X,O,X,X,X
TLIOJZS,O,O,O,X,O,X,X,O
TLIOSJZ,O,O,X,X,X,X,X,X
TLIOSZJ,O,O,O,X,X,X,X,O
TLIOZJS,O,O,O,X,X,X,X,O
TLIOZSJ,O,O,O,X,X,X,X,O
TLJISZO,O,O,O,X,X,O,X,X
TLJISOZ,X,O,X,X,X,O,X,X
TLJIZSO,O,O,O,X,X,O,X,O
TLJIZOS,O,X,O,X,X,O,X,O
TLJIOSZ,O,O,O,X,O,O,X,X
TLJIOZS,O,O,O,X,O,X,X,O
TLJSIZO,O,O,O,X,X,O,O,X
TLJSIOZ,X,O,X,X,X,O,O,X
TLJSZIO,O,O,O,X,X,O,O,X
TLJSZOI,O,O,O,X,X,O,O,X
TLJSOIZ,X,O,O,X,X,O,O,X
TLJSOZI,X,O,O,X,X,O,O,X
TLJZISO,O,O,O,X,X,O,O,O
TLJZIOS,O,X,O,X,X,O,O,O
TLJZSIO,O,O,O,X,X,O,O,O
TLJZSOI,O,O,O,X,X,O,O,O
TLJZOIS,O,X,O,X,X,O,O,O
TLJZOSI,O,X,O,X,X,O,O,O
TLJOISZ,O,O,O,X,O,O,X,X
TLJOIZS,O,O,O,X,O,X,X,O
TLJOSIZ,O,O,O,X,X,O,O,X
TLJOSZI,O,O,O,X,X,O,O,X
TLJOZIS,O,O,O,X,X,X,O,O
TLJOZSI,O,O,O,X,X,X,O,O
TLSIJZO,O,O,X,X,X,O,O,X
TLSIJOZ,X,O,X,X,X,O,O,X
TLSIZJO,O,O,X,X,X,O,O,O
TLSIZOJ,O,O,X,X,X,O,O,O
TLSIOJZ,O,O,X,X,X,O,O,X
TLSIOZJ,O,O,X,X,X,X,O,O
TLSJIZO,O,O,O,X,X,O,O,X
TLSJIOZ,X,O,X,X,X,O,O,X
TLSJZIO,O,O,O,X,X,O,O,X
TLSJZOI,O,O,O,X,X,O,O,X
TLSJOIZ,X,O,O,X,X,O,O,X
TLSJOZI,X,O,O,X,X,O,O,X
TLSZIJO,O,O,O,X,X,O,O,O
TLSZIOJ,O,O,O,X,X,O,O,O
TLSZJIO,O,O,O,X,X,O,O,O
TLSZJOI,O,O,O,X,X,O,O,O
TLSZOIJ,O,O,O,X,X,O,O,O
TLSZOJI,O,O,O,X,X,O,O,O
TLSOIJZ,O,O,X,X,X,O,O,X
TLSOIZJ,O,O,O,X,X,X,O,O
TLSOJIZ,O,O,X,X,X,O,O,X
TLSOJZI,O,O,X,X,X,O,O,X
TLSOZIJ,O,O,O,X,X,O,O,O
TLSOZJI,O,O,O,X,X,O,O,O
TLZIJSO,O,O,O,X,X,O,O,O
TLZIJOS,O,X,O,X,X,O,O,O
TLZISJO,O,O,O,X,X,O,O,O
TLZISOJ,O,O,O,X,X,O,O,O
TLZIOJS,O,O,O,X,X,O,X,O
TLZIOSJ,O,O,O,X,X,O,O,O
TLZJISO,O,O,O,X,X,O,O,O
TLZJIOS,O,X,O,X,X,O,O,O
TLZJSIO,O,O,O,X,X,O,O,O
TLZJSOI,O,O,O,X,X,O,O,O
TLZJOIS,O,X,O,X,X,O,O,O
TLZJOSI,O,X,O,X,X,O,O,O
TLZSIJO,O,O,O,X,X,O,O,O
TLZSIOJ,O,O,O,X,X,O,O,O
TLZSJIO,O,O,O,X,X,O,O,O
TLZSJOI,O,O,O,X,X,O,O,O
TLZSOIJ,O,O,O,X,X,O,O,O
TLZSOJI,O,O,O,X,X,O,O,O
TLZOIJS,O,O,O,X,X,O,X,O
TLZOISJ,O,O,O,X,X,O,O,O
TLZOJIS,O,O,O,X,X,O,O,O
TLZOJSI,O,O,O,X,X,O,O,O
TLZOSIJ,O,O,O,X,X,O,O,O
TLZOSJI,O,O,O,X,X,O,O,O
TLOIJSZ,O,O,O,X,O,X,X,X
TLOIJZS,O,O,O,X,O,X,X,O
TLOISJZ,O,O,X,X,X,X,X,X
TLOISZJ,O,O,O,X,X,X,X,O
TLOIZJS,O,O,O,X,X,X,X,O
TLOIZSJ,O,O,O,X,X,X,X,O
TLOJISZ,O,O,O,X,O,O,X,X
TLOJIZS,O,O,O,X,O,X,X,O
TLOJSIZ,O,O,O,X,X,O,O,X
TLOJSZI,O,O,O,X,X,O,O,X
TLOJZIS,O,O,O,X,X,X,O,O
TLOJZSI,O,O,O,X,X,X,O,O
TLOSIJZ,O,O,X,X,X,O,O,X
TLOSIZJ,O,O,O,X,X,X,O,O
TLOSJIZ,O,O,X,X,X,O,O,X
TLOSJZI,O,O,X,X,X,O,O,X
TLOSZIJ,O,O,O,X,X,X,O,O
TLOSZJI,O,O,O,X,X,O,O,O
TLOZIJS,O,O,O,X,X,X,X,O
TLOZISJ,O,O,O,X,X,X,O,O
TLOZJIS,O,O,O,X,X,X,O,O
TLOZJSI,O,O,O,X,X,X,O,O
TLOZSIJ,O,O,O,X,X,X,O,O
TLOZSJI,O,O,O,X,X,X,O,O
TJILSZO,O,O,O,X,X,O,X,X
TJILSOZ,X,O,X,X,X,O,X,X
TJILZSO,O,X,O,X,X,O,X,O
TJILZOS,O,X,O,X,X,O,X,O
TJILOSZ,O,X,O,X,O,O,X,X
TJILOZS,O,X,O,X,O,X,X,O
TJISLZO,O,O,O,O,X,O,O,X
TJISLOZ,X,O,X,X,X,O,O,X
TJISZLO,O,O,O,O,X,O,O,X
TJISZOL,O,O,O,O,X,O,O,X
TJISOLZ,X,O,X,X,X,O,O,X
TJISOZL,X,O,X,X,X,O,O,X
TJIZLSO,O,X,O,O,X,O,O,O
TJIZLOS,O,X,O,X,X,O,O,O
TJIZSLO,O,O,O,O,X,O,O,O
TJIZSOL,O,O,O,O,X,O,O,O
TJIZOLS,O,X,O,X,X,O,O,O
TJIZOSL,O,X,O,O,X,O,O,O
TJIOLSZ,O,O,O,X,O,O,X,X
TJIOLZS,O,X,O,X,O,X,X,O
TJIOSLZ,O,O,O,X,X,O,O,X
TJIOSZL,O,O,O,X,X,O,O,X
TJIOZLS,O,X,O,X,X,O,O,O
TJIOZSL,O,O,O,X,X,O,O,O
TJLISZO,O,O,O,X,X,O,X,X
TJLISOZ,X,O,X,X,X,O,X,X
TJLIZSO,O,O,O,X,X,O,X,O
TJLIZOS,O,X,O,X,X,O,X,O
TJLIOSZ,O,O,O,X,O,O,X,X
TJLIOZS,O,X,O,X,O,X,X,O
TJLSIZO,O,O,O,X,X,O,O,X
TJLSIOZ,X,O,X,X,X,O,O,X
TJLSZIO,O,O,O,X,X,O,O,X
TJLSZOI,O,O,O,X,X,O,O,X
TJLSOIZ,X,O,O,X,X,O,O,X
TJLSOZI,X,O,O,X,X,O,O,X
TJLZISO,O,O,O,X,X,O,O,O
TJLZIOS,O,X,O,X,X,O,O,O
TJLZSIO,O,O,O,X,X,O,O,O
TJLZSOI,O,O,O,X,X,O,O,O
TJLZOIS,O,X,O,X,X,O,O,O
TJLZOSI,O,X,O,X,X,O,O,O
TJLOISZ,O,O,O,X,O,O,X,X
TJLOIZS,O,X,O,X,O,X,X,O
TJLOSIZ,O,O,O,X,X,O,O,X
TJLOSZI,O,O,O,X,X,O,O,X
TJLOZIS,O,X,O,X,X,X,O,O
TJLOZSI,O,X,O,X,X,X,O,O
TJSILZO,O,O,O,O,X,O,O,X
TJSILOZ,X,O,X,X,X,O,O,X
TJSIZLO,O,O,O,O,X,O,O,X
TJSIZOL,O,O,O,O,X,O,O,X
TJSIOLZ,X,O,X,X,X,O,O,X
TJSIOZL,X,O,X,X,X,O,O,X
TJSLIZO,O,O,O,O,X,O,O,X
TJSLIOZ,X,O,X,X,X,O,O,X
TJSLZIO,O,O,O,O,X,O,O,X
TJSLZOI,O,O,O,O,X,O,O,X
TJSLOIZ,X,O,O,O,X,O,O,X
TJSLOZI,X,O,O,O,X,O,O,X
TJSZILO,O,O,O,O,X,O,O,X
TJSZIOL,O,O,O,O,X,O,O,X
TJSZLIO,O,O,O,O,X,O,O,X
TJSZLOI,O,O,O,O,X,O,O,X
TJSZOIL,O,O,O,O,X,O,O,X
TJSZOLI,X,O,O,O,X,O,O,X
TJSOILZ,X,O,O,O,X,O,O,X
TJSOIZL,X,O,O,O,X,O,O,X
TJSOLIZ,X,O,O,O,X,O,O,X
TJSOLZI,X,O,O,O,X,O,O,X
TJSOZIL,X,O,O,O,X,O,O,X
TJSOZLI,X,O,O,O,X,O,O,X
TJZILSO,O,X,O,O,X,O,O,O
TJZILOS,O,X,O,X,X,O,O,O
TJZISLO,O,O,O,O,X,O,O,O
TJZISOL,O,O,O,O,X,O,O,O
TJZIOLS,O,X,O,O,X,O,O,O
TJZIOSL,O,X,O,O,X,O,O,O
TJZLISO,O,X,O,O,X,O,O,O
TJZLIOS,O,X,O,X,X,O,O,O
TJZLSIO,O,X,O,O,X,O,O,O
TJZLSOI,O,X,O,O,X,O,O,O
TJZLOIS,O,X,O,O,X,O,O,O
TJZLOSI,O,X,O,O,X,O,O,O
TJZSILO,O,O,O,O,X,O,O,O
TJZSIOL,O,O,O,O,X,O,O,O
TJZSLIO,O,O,O,O,X,O,O,O
TJZSLOI,O,O,O,O,X,O,O,O
TJZSOIL,O,O,O,O,X,O,O,O
TJZSOLI,O,X,O,O,X,O,O,O
TJZOILS,O,X,O,O,X,O,O,O
TJZOISL,O,X,O,O,X,O,O,O
TJZOLIS,O,X,O,O,X,O,O,O
TJZOLSI,O,X,O,O,X,O,O,O
TJZOSIL,O,X,O,O,X,O,O,O
TJZOSLI,O,X,O,O,X,O,O,O
TJOILSZ,O,O,O,X,O,O,X,X
TJOILZS,O,X,O,X,O,X,X,O
TJOISLZ,O,O,O,O,X,O,O,X
TJOISZL,O,O,O,O,X,O,O,X
TJOIZLS,O,X,O,O,X,O,O,O
TJOIZSL,O,O,O,O,X,O,O,O
TJOLISZ,O,O,O,X,O,O,X,X
TJOLIZS,O,X,O,X,O,X,X,O
TJOLSIZ,O,O,O,X,X,O,O,X
TJOLSZI,O,O,O,X,X,O,O,X
TJOLZIS,O,X,O,X,X,X,O,O
TJOLZSI,O,X,O,X,X,X,O,O
TJOSILZ,O,O,O,O,X,O,O,X
TJOSIZL,O,O,O,O,X,O,O,X
TJOSLIZ,O,O,O,O,X,O,O,X
TJOSLZI,O,O,O,O,X,O,O,X
TJOSZIL,O,O,O,O,X,O,O,X
TJOSZLI,O,O,O,O,X,O,O,X
TJOZILS,O,X,O,O,X,O,O,O
TJOZISL,O,O,O,O,X,O,O,O
TJOZLIS,O,X,O,O,X,O,O,O
TJOZLSI,O,X,O,O,X,O,O,O
TJOZSIL,O,O,O,O,X,O,O,O
TJOZSLI,O,O,O,O,X,O,O,O
TSILJZO,O,O,X,X,X,O,O,X
TSILJOZ,X,O,X,X,X,O,O,X
TSILZJO,O,O,X,X,X,O,O,O
TSILZOJ,O,O,X,X,X,O,O,O
TSILOJZ,O,O,X,X,X,O,O,X
TSILOZJ,O,O,X,X,X,X,O,O
TSIJLZO,O,O,X,X,X,O,O,X
TSIJLOZ,X,O,X,X,X,O,O,X
TSIJZLO,O,O,X,X,X,O,O,X
TSIJZOL,O,O,X,X,X,O,O,X
TSIJOLZ,X,O,X,X,X,O,O,X
TSIJOZL,X,O,X,X,X,O,O,X
TSIZLJO,O,O,X,X,X,O,O,O
TSIZLOJ,O,O,X,X,X,O,O,O
TSIZJLO,O,O,X,X,X,O,O,O
TSIZJOL,O,O,X,X,X,O,O,O
TSIZOLJ,O,O,X,X,X,O,O,O
TSIZOJL,O,O,X,X,X,O,O,O
TSIOLJZ,O,O,X,X,X,O,O,X
TSIOLZJ,O,O,X,X,X,X,O,O
TSIOJLZ,O,O,X,X,X,O,O,X
TSIOJZL,O,O,X,X,X,O,O,X
TSIOZLJ,O,O,X,X,X,X,O,O
TSIOZJL,O,O,X,X,X,X,O,O
TSLIJZO,O,O,X,X,X,O,O,X
TSLIJOZ,X,O,X,X,X,O,O,X
TSLIZJO,O,O,X,X,X,O,O,O
TSLIZOJ,O,O,X,X,X,O,O,O
TSLIOJZ,O,O,X,X,X,O,O,X
TSLIOZJ,O,O,X,X,X,X,O,O
TSLJIZO,O,O,X,O,X,O,O,X
TSLJIOZ,X,O,X,X,X,O,O,X
TSLJZIO,O,O,X,O,X,O,O,X
TSLJZOI,O,O,X,O,X,O,O,X
TSLJOIZ,X,O,X,O,X,O,O,X
TSLJOZI,X,O,X,O,X,O,O,X
TSLZIJO,O,O,X,O,X,O,O,O
TSLZIOJ,O,O,X,O,X,O,O,O
TSLZJIO,O,O,X,O,X,O,O,O
TSLZJOI,O,O,X,O,X,O,O,O
TSLZOIJ,O,O,X,O,X,O,O,O
TSLZOJI,O,O,X,O,X,O,O,O
TSLOIJZ,O,O,X,O,X,O,O,X
TSLOIZJ,O,O,X,O,X,X,O,O
TSLOJIZ,O,O,X,O,X,O,O,X
TSLOJZI,O,O,X,O,X,O,O,X
TSLOZIJ,O,O,X,O,X,O,O,O
TSLOZJI,O,O,X,O,X,O,O,O
TSJILZO,O,O,X,O,X,O,O,X
TSJILOZ,X,O,X,X,X,O,O,X
TSJIZLO,O,O,X,O,X,O,O,X
TSJIZOL,O,O,X,O,X,O,O,X
TSJIOLZ,X,O,X,X,X,O,O,X
TSJIOZL,X,O,X,X,X,O,O,X
TSJLIZO,O,O,X,O,X,O,O,X
TSJLIOZ,X,O,X,X,X,O,O,X
TSJLZIO,O,O,X,O,X,O,O,X
TSJLZOI,O,O,X,O,X,O,O,X
TSJLOIZ,X,O,X,O,X,O,O,X
TSJLOZI,X,O,X,O,X,O,O,X
TSJZILO,O,O,X,O,X,O,O,X
TSJZIOL,O,O,X,O,X,O,O,X
TSJZLIO,O,O,X,O,X,O,O,X
TSJZLOI,O,O,X,O,X,O,O,X
TSJZOIL,O,O,X,O,X,O,O,X
TSJZOLI,X,O,X,O,X,O,O,X
TSJOILZ,X,O,X,O,X,O,O,X
TSJOIZL,X,O,X,O,X,O,O,X
TSJOLIZ,X,O,X,O,X,O,O,X
TSJOLZI,X,O,X,O,X,O,O,X
TSJOZIL,X,O,X,O,X,O,O,X
TSJOZLI,X,O,X,O,X,O,O,X
TSZILJO,O,O,X,O,X,O,O,O
TSZILOJ,O,O,X,O,X,O,O,O
TSZIJLO,O,O,X,O,X,O,O,O
TSZIJOL,O,O,X,O,X,O,O,O
TSZIOLJ,O,O,X,O,X,O,O,O
TSZIOJL,O,O,X,O,X,O,O,O
TSZLIJO,O,O,X,O,X,O,O,O
TSZLIOJ,O,O,X,O,X,O,O,O
TSZLJIO,O,O,X,O,X,O,O,O
TSZLJOI,O,O,X,O,X,O,O,O
TSZLOIJ,O,O,X,O,X,O,O,O
TSZLOJI,O,O,X,O,X,O,O,O
TSZJILO,O,O,X,O,X,O,O,O
TSZJIOL,O,O,X,O,X,O,O,O
TSZJLIO,O,O,X,O,X,O,O,O
TSZJLOI,O,O,X,O,X,O,O,O
TSZJOIL,O,O,X,O,X,O,O,O
TSZJOLI,O,O,X,O,X,O,O,O
TSZOILJ,O,O,X,O,X,O,O,O
TSZOIJL,O,O,X,O,X,O,O,O
TSZOLIJ,O,O,X,O,X,O,O,O
TSZOLJI,O,O,X,O,X,O,O,O
TSZOJIL,O,O,X,O,X,O,O,O
TSZOJLI,O,O,X,O,X,O,O,O
TSOILJZ,O,O,X,O,X,O,O,X
TSOILZJ,O,O,X,O,X,X,O,O
TSOIJLZ,O,O,X,O,X,O,O,X
TSOIJZL,O,O,X,O,X,O,O,X
TSOIZLJ,O,O,X,O,X,X,O,O
TSOIZJL,O,O,X,O,X,X,O,O
TSOLIJZ,O,O,X,O,X,O,O,X
TSOLIZJ,O,O,X,O,X,X,O,O
TSOLJIZ,O,O,X,O,X,O,O,X
TSOLJZI,O,O,X,O,X,O,O,X
TSOLZIJ,O,O,X,O,X,O,O,O
TSOLZJI,O,O,X,O,X,O,O,O
TSOJILZ,O,O,X,O,X,O,O,X
TSOJIZL,O,O,X,O,X,O,O,X
TSOJLIZ,O,O,X,O,X,O,O,X
TSOJLZI,O,O,X,O,X,O,O,X
TSOJZIL,O,O,X,O,X,O,O,X
TSOJZLI,O,O,X,O,X,O,O,X
TSOZILJ,O,O,X,O,X,O,O,O
TSOZIJL,O,O,X,O,X,O,O,O
TSOZLIJ,O,O,X,O,X,O,O,O
TSOZLJI,O,O,X,O,X,O,O,O
TSOZJIL,O,O,X,O,X,O,O,O
TSOZJLI,O,O,X,O,X,O,O,O
TZILJSO,O,X,X,X,X,O,O,O
TZILJOS,O,X,X,X,X,O,O,O
TZILSJO,O,X,X,X,X,O,O,O
TZILSOJ,O,X,X,X,X,O,O,O
TZILOJS,O,X,X,X,X,O,X,O
TZILOSJ,O,X,X,X,X,O,O,O
TZIJLSO,O,X,X,O,X,O,O,O
TZIJLOS,O,X,X,X,X,O,O,O
TZIJSLO,O,O,X,O,X,O,O,O
TZIJSOL,O,O,X,O,X,O,O,O
TZIJOLS,O,X,X,O,X,O,O,O
TZIJOSL,O,X,X,O,X,O,O,O
TZISLJO,O,O,X,O,X,O,O,O
TZISLOJ,O,O,X,O,X,O,O,O
TZISJLO,O,O,X,O,X,O,O,O
TZISJOL,O,O,X,O,X,O,O,O
TZISOLJ,O,O,X,O,X,O,O,O
TZISOJL,O,O,X,O,X,O,O,O
TZIOLJS,O,X,X,X,X,O,X,O
TZIOLSJ,O,X,X,O,X,O,O,O
TZIOJLS,O,X,X,X,X,O,O,O
TZIOJSL,O,O,X,O,X,O,O,O
TZIOSLJ,O,O,X,O,X,O,O,O
TZIOSJL,O,O,X,O,X,O,O,O
TZLIJSO,O,X,O,X,X,O,O,O
TZLIJOS,O,X,O,X,X,O,O,O
TZLISJO,O,X,O,X,X,O,O,O
TZLISOJ,O,X,O,X,X,O,O,O
TZLIOJS,O,X,O,X,X,O,X,O
TZLIOSJ,O,X,O,X,X,O,O,O
TZLJISO,O,X,O,O,X,O,O,O
TZLJIOS,O,X,O,X,X,O,O,O
TZLJSIO,O,X,O,O,X,O,O,O
TZLJSOI,O,X,O,O,X,O,O,O
TZLJOIS,O,X,O,O,X,O,O,O
TZLJOSI,O,X,O,O,X,O,O,O
TZLSIJO,O,X,O,O,X,O,O,O
TZLSIOJ,O,X,O,O,X,O,O,O
TZLSJIO,O,X,O,O,X,O,O,O
TZLSJOI,O,X,O,O,X,O,O,O
TZLSOIJ,O,X,O,O,X,O,O,O
TZLSOJI,O,X,O,O,X,O,O,O
TZLOIJS,O,X,O,X,X,O,X,O
TZLOISJ,O,X,O,O,X,O,O,O
TZLOJIS,O,X,O,X,X,O,O,O
TZLOJSI,O,X,O,X,X,O,O,O
TZLOSIJ,O,X,O,O,X,O,O,O
TZLOSJI,O,X,O,O,X,O,O,O
TZJILSO,O,X,O,O,X,O,O,O
TZJILOS,O,X,O,X,X,O,O,O
TZJISLO,O,O,O,O,X,O,O,O
TZJISOL,O,O,O,O,X,O,O,O
TZJIOLS,O,X,O,O,X,O,O,O
TZJIOSL,O,X,O,O,X,O,O,O
TZJLISO,O,X,O,O,X,O,O,O
TZJLIOS,O,X,O,X,X,O,O,O
TZJLSIO,O,X,O,O,X,O,O,O
TZJLSOI,O,X,O,O,X,O,O,O
TZJLOIS,O,X,O,O,X,O,O,O
TZJLOSI,O,X,O,O,X,O,O,O
TZJSILO,O,O,O,O,X,O,O,O
TZJSIOL,O,O,O,O,X,O,O,O
TZJSLIO,O,O,O,O,X,O,O,O
TZJSLOI,O,O,O,O,X,O,O,O
TZJSOIL,O,O,O,O,X,O,O,O
TZJSOLI,O,X,O,O,X,O,O,O
TZJOILS,O,X,O,O,X,O,O,O
TZJOISL,O,X,O,O,X,O,O,O
TZJOLIS,O,X,O,O,X,O,O,O
TZJOLSI,O,X,O,O,X,O,O,O
TZJOSIL,O,X,O,O,X,O,O,O
TZJOSLI,O,X,O,O,X,O,O,O
TZSILJO,O,O,X,O,X,O,O,O
