sequence,v115@GhA8IeA8CeA8EeE8BeD8Jei/IvhF3gBRiB1pBOrB8r?BzsB,v115@GhA8IeA8CeA8EeE8BeD8JeT/IvhFxgBmiBypBFmB0n?B3rB,v115@GhA8IeA8CeA8EeE8BeD8Jel/IvhF3gBUiBaoB2pBxr?BTrB,v115@GhA8IeA8CeA8EeE8BeD8Jel/IvhF3gBaoB2pBxmBUn?BTrB,v115@GhA8IeA8CeA8EeE8BeD8Je0/IvhFlgBziB2pBimBRs?B3rB,v115@GhA8IeA8CeA8EeE8BeD8JecGJvhFxkBlnBTkBilBmn?B3rB
TZLJSOI,O,O,X,X,X,X
TZLJOIS,O,O,X,X,X,X
TZLJOSI,O,O,X,X,X,X
TZLSIJO,O,O,X,X,X,X
TZLSIOJ,O,O,X,X,X,X
TZLSJIO,O,O,X,X,X,X
TZLSJOI,O,O,X,X,X,X
TZLSOIJ,O,O,X,X,X,X
TZLSOJI,O,O,X,X,X,X
TZLOIJS,O,O,X,X,X,X
TZLOISJ,O,O,X,X,X,X
TZLOJIS,O,O,X,X,X,X
TZLOJSI,O,O,X,X,X,X
TZLOSIJ,O,O,X,X,X,X
TZLOSJI,O,O,X,X,X,X
TZJILSO,O,O,X,X,O,X
TZJILOS,O,O,X,X,O,X
TZJISLO,O,O,X,X,O,X
TZJISOL,O,X,X,X,O,X
TZJIOLS,O,O,X,X,O,X
TZJIOSL,O,X,X,X,O,X
TZJLISO,O,O,X,X,O,X
TZJLIOS,O,O,X,X,O,X
TZJLSIO,O,O,X,X,X,X
TZJLSOI,O,O,X,X,X,X
TZJLOIS,O,O,X,X,X,X
TZJLOSI,O,O,X,X,X,X
TZJSILO,O,O,X,X,O,X
TZJSIOL,O,O,X,X,O,X
TZJSLIO,O,O,X,X,X,X
TZJSLOI,O,O,X,X,X,X
TZJSOIL,O,O,X,X,X,X
TZJSOLI,O,O,X,X,X,X
TZJOILS,O,O,X,X,O,X
TZJOISL,O,X,X,X,O,X
TZJOLIS,O,O,X,X,X,X
TZJOLSI,O,O,X,X,X,X
TZJOSIL,O,X,X,X,X,X
TZJOSLI,O,X,X,X,X,X
TZSILJO,O,O,X,X,X,O
TZSILOJ,O,O,X,X,X,O
TZSIJLO,O,O,X,X,X,O
TZSIJOL,X,O,X,X,X,O
TZSIOLJ,O,O,X,X,X,O
TZSIOJL,O,O,X,X,X,O
TZSLIJO,O,O,X,X,X,O
TZSLIOJ,O,O,X,X,X,O
TZSLJIO,O,O,X,X,X,X
TZSLJOI,O,O,X,X,X,X
TZSLOIJ,O,O,X,X,X,X
TZSLOJI,O,O,X,X,X,X
TZSJILO,O,O,X,X,X,O
TZSJIOL,O,O,X,X,X,O
TZSJLIO,O,O,X,X,X,X
TZSJLOI,O,O,X,X,X,X
TZSJOIL,O,O,X,X,X,X
TZSJOLI,O,O,X,X,X,X
TZSOILJ,O,O,X,X,X,O
TZSOIJL,O,O,X,X,X,O
TZSOLIJ,O,O,X,X,X,X
TZSOLJI,O,O,X,X,X,X
TZSOJIL,O,O,X,X,X,X
TZSOJLI,O,O,X,X,X,X
TZOILJS,O,O,X,X,X,X
TZOILSJ,O,O,X,X,X,X
TZOIJLS,O,O,X,X,X,X
TZOIJSL,O,X,X,X,X,X
TZOISLJ,O,X,X,X,X,X
TZOISJL,O,X,X,X,X,X
TZOLIJS,O,O,X,X,X,X
TZOLISJ,O,O,X,X,X,X
TZOLJIS,O,O,X,X,X,X
TZOLJSI,O,O,X,X,X,X
TZOLSIJ,O,O,X,X,X,X
TZOLSJI,O,O,X,X,X,X
TZOJILS,O,O,X,X,X,X
TZOJISL,O,X,X,X,X,X
TZOJLIS,O,O,X,X,X,X
TZOJLSI,O,O,X,X,X,X
TZOJSIL,O,X,X,X,X,X
TZOJSLI,O,X,X,X,X,X
TZOSILJ,O,X,X,X,X,X
TZOSIJL,O,X,X,X,X,X
TZOSLIJ,O,X,X,X,X,X
TZOSLJI,O,X,X,X,X,X
TZOSJIL,O,X,X,X,X,X
TZOSJLI,O,X,X,X,X,X
TOILJSZ,O,X,X,O,O,X
TOILJZS,O,O,X,O,O,X
TOILSJZ,O,X,X,O,O,X
TOILSZJ,O,O,X,X,X,X
TOILZJS,O,O,X,X,O,X
TOILZSJ,O,O,X,X,X,X
TOIJLSZ,O,X,X,O,O,X
TOIJLZS,O,X,X,O,O,X
TOIJSLZ,O,X,X,O,O,X
TOIJSZL,O,X,X,O,O,X
TOIJZLS,O,X,X,O,O,X
TOIJZSL,O,X,X,O,O,X
TOISLJZ,O,X,X,O,O,X
TOISLZJ,O,X,X,X,X,X
TOISJLZ,O,X,X,O,O,X
TOISJZL,O,X,X,O,O,X
TOISZLJ,O,X,X,X,X,O
TOISZJL,O,X,X,X,X,O
TOIZLJS,O,O,X,X,O,X
TOIZLSJ,O,O,X,X,X,X
TOIZJLS,O,O,X,X,O,X
TOIZJSL,O,X,X,X,O,X
TOIZSLJ,O,X,X,X,X,X
