sequence,v115@RhA8EeA8CeC8BeB8BeA8Je/EJvhGGgBZmBtmB0iB6o?B/qBzsB,v115@RhA8EeA8CeC8BeB8BeA8Je/EJvhGalBtlB0hBxiBGo?BXrBzsB,v115@RhA8EeA8CeC8BeB8BeA8Je2EJvhGRgB3hB9oBSqB0n?BXrBzsB,v115@RhA8EeA8CeC8BeB8BeA8Jem/IvhGRhB3iB9oB0kBCm?BXrBzsB,v115@RhA8EeA8CeC8BeB8BeA8Je/EJvhGRgBtmBXjBTlBer?BctB6sB,v115@RhA8EeA8CeC8BeB8BeA8Je/EJvhGRgBumB9nBTjByq?BXtB0qB,v115@RhA8EeA8CeC8BeB8BeA8Je/EJvhGRgBtmB0iB2qBSt?BzqBXtB,v115@RhA8EeA8CeC8BeB8BeA8Jem/IvhGRhB9nBTjB0kBCm?BXrBXtB,v115@RhA8EeA8CeC8BeB8BeA8Je/EJvhGalBRhB9nBTjBuq?BcrBXtB
STJLIOSZ,X,X,X,X,X,X,X,X,X
STJLIOZS,X,X,X,X,X,X,X,X,X
STJLSIZO,X,X,O,X,X,X,X,X,X
STJLSIOZ,X,X,X,X,X,O,X,X,X
STJLSZIO,X,X,O,X,X,O,X,X,X
STJLSZOI,X,X,O,X,X,O,X,X,X
STJLSOIZ,X,X,X,X,X,O,X,X,X
STJLSOZI,X,X,X,X,X,O,X,X,X
STJLZISO,X,X,O,X,X,X,X,X,X
STJLZIOS,X,X,X,X,X,X,X,X,X
STJLZSIO,X,X,O,X,X,X,X,X,X
STJLZSOI,X,X,O,X,X,X,X,X,X
STJLZOIS,X,X,X,X,X,X,O,X,X
STJLZOSI,X,X,X,X,X,X,O,X,X
STJLOISZ,X,X,X,X,X,X,X,X,X
STJLOIZS,X,X,X,X,X,X,O,X,X
STJLOSIZ,X,X,X,X,X,O,X,X,X
STJLOSZI,X,X,X,X,X,O,X,X,X
STJLOZIS,X,X,X,X,X,X,O,X,X
STJLOZSI,X,X,X,X,X,X,O,X,X
STJSILZO,X,O,X,X,X,X,X,X,X
STJSILOZ,X,X,X,X,X,X,X,X,X
STJSIZLO,X,O,X,X,X,X,X,X,X
STJSIZOL,X,X,X,X,X,X,X,X,X
STJSIOLZ,X,X,X,X,X,O,X,X,X
STJSIOZL,X,X,X,X,X,X,X,X,X
STJSLIZO,X,O,O,X,X,X,X,X,X
STJSLIOZ,X,X,X,X,X,O,X,X,X
STJSLZIO,X,O,O,X,X,O,X,X,X
STJSLZOI,X,O,O,X,X,O,X,X,X
STJSLOIZ,X,X,X,X,X,O,X,X,X
STJSLOZI,X,X,X,X,X,O,X,X,X
STJSZILO,X,O,X,X,X,X,X,X,X
STJSZIOL,X,X,X,X,X,X,X,X,X
STJSZLIO,X,O,O,X,X,X,X,X,X
STJSZLOI,X,O,O,X,X,X,X,X,X
STJSZOIL,X,X,X,X,X,X,X,X,X
STJSZOLI,X,X,X,X,X,X,X,X,X
STJSOILZ,X,X,X,X,X,O,X,X,X
STJSOIZL,X,X,X,X,X,X,X,X,X
STJSOLIZ,X,X,X,X,X,O,X,X,X
