sequence,v115@UhA8EeB8BeB8BeC8JeOEJvhGXgBdmB5mBiiBcoBcsB?zpB,v115@UhA8EeB8BeB8BeC8Jex/IvhGXhBdnBunBcoBikBzpB?0rB,v115@UhA8EeB8BeB8BeC8JeNEJvhGUhBRiBSoBXlB2sB0rB?zpB,v115@UhA8EeB8BeB8BeC8JeNEJvhGUgBRhBCjBmmBXoBzpB?0rB,v115@UhA8EeB8BeB8BeC8Je0/IvhGdmBRiBcoB/pBqrBTnB?OqB,v115@UhA8EeB8BeB8BeC8JeT/IvhGNlBamBRiBcoBWsB0pB?XsB,v115@UhA8EeB8BeB8BeC8JeXAJvhGdmBRiBcoB2pBSsBzrB?0pB,v115@UhA8EeB8BeB8BeC8JeT/IvhGNlBRhBCjBmmBXoB0pB?0rB,v115@UhA8EeB8BeB8BeC8JeT/IvhGNlBRhBunBcoB/rBasB?0pB
ZTLISOZJ,X,X,X,X,X,X,X,X,X
ZTLIZJSO,X,O,X,X,X,X,X,X,X
ZTLIZJOS,X,X,X,X,X,X,X,X,X
ZTLIZSJO,X,O,X,X,X,X,X,X,X
ZTLIZSOJ,X,X,X,X,X,X,X,X,X
ZTLIZOJS,X,X,X,X,X,O,X,X,X
ZTLIZOSJ,X,X,X,X,X,X,X,X,X
ZTLIOJSZ,X,X,X,X,X,X,X,X,X
ZTLIOJZS,X,X,X,X,X,X,X,X,X
ZTLIOSJZ,X,X,X,X,X,X,X,X,X
ZTLIOSZJ,X,X,X,X,X,X,X,X,X
ZTLIOZJS,X,X,X,X,X,X,X,X,X
ZTLIOZSJ,X,X,X,X,X,X,X,X,X
ZTLJISZO,X,X,O,X,X,X,X,X,X
ZTLJISOZ,X,X,X,X,X,X,X,X,X
ZTLJIZSO,X,X,O,X,X,X,X,X,X
ZTLJIZOS,X,X,X,X,X,O,X,X,X
ZTLJIOSZ,X,X,X,X,X,X,X,X,X
ZTLJIOZS,X,X,X,X,X,X,X,X,X
ZTLJSIZO,X,X,O,X,X,X,X,X,X
ZTLJSIOZ,X,X,X,X,X,X,X,X,X
ZTLJSZIO,X,X,O,X,X,X,X,X,X
ZTLJSZOI,X,X,O,X,X,X,X,X,X
ZTLJSOIZ,X,X,X,X,X,X,O,X,X
ZTLJSOZI,X,X,X,X,X,X,O,X,X
ZTLJZISO,X,X,O,X,X,X,X,X,X
ZTLJZIOS,X,X,X,X,X,O,X,X,X
ZTLJZSIO,X,X,O,X,X,O,X,X,X
ZTLJZSOI,X,X,O,X,X,O,X,X,X
ZTLJZOIS,X,X,X,X,X,O,X,X,X
ZTLJZOSI,X,X,X,X,X,O,X,X,X
ZTLJOISZ,X,X,X,X,X,X,O,X,X
ZTLJOIZS,X,X,X,X,X,X,X,X,X
ZTLJOSIZ,X,X,X,X,X,X,O,X,X
ZTLJOSZI,X,X,X,X,X,X,O,X,X
ZTLJOZIS,X,X,X,X,X,O,X,X,X
ZTLJOZSI,X,X,X,X,X,O,X,X,X
ZTLSIJZO,X,X,X,X,X,X,X,X,X
ZTLSIJOZ,X,X,X,X,X,X,X,X,X
ZTLSIZJO,X,O,X,X,X,X,X,X,X
ZTLSIZOJ,X,X,X,X,X,X,X,X,X
ZTLSIOJZ,X,X,X,X,X,X,X,X,X
ZTLSIOZJ,X,X,X,X,X,X,X,X,X
ZTLSJIZO,X,X,O,X,X,X,X,X,X
ZTLSJIOZ,X,X,X,X,X,X,X,X,X
ZTLSJZIO,X,X,O,X,X,X,X,X,X
ZTLSJZOI,X,X,O,X,X,X,X,X,X
ZTLSJOIZ,X,X,X,X,X,X,O,X,X
ZTLSJOZI,X,X,X,X,X,X,O,X,X
ZTLSZIJO,X,O,X,X,X,X,X,X,X
ZTLSZIOJ,X,X,X,X,X,X,X,X,X
ZTLSZJIO,X,O,O,X,X,X,X,X,X
ZTLSZJOI,X,O,O,X,X,X,X,X,X
ZTLSZOIJ,X,X,X,X,O,X,X,X,X
ZTLSZOJI,X,X,X,X,O,X,X,X,X
ZTLSOIJZ,X,X,X,X,X,X,X,X,X
ZTLSOIZJ,X,X,X,X,O,X,X,X,X
ZTLSOJIZ,X,X,X,X,X,X,X,X,X
ZTLSOJZI,X,X,X,X,X,X,X,X,X
ZTLSOZIJ,X,X,X,X,O,X,X,X,X
ZTLSOZJI,X,X,X,X,O,X,X,X,X
ZTLZIJSO,X,O,X,X,X,X,X,X,X
ZTLZIJOS,X,X,X,X,X,X,X,X,X
ZTLZISJO,X,O,X,X,X,X,X,X,X
ZTLZISOJ,X,X,X,X,X,X,X,X,X
ZTLZIOJS,X,X,X,X,X,O,X,X,X
ZTLZIOSJ,X,X,X,X,X,X,X,X,X
ZTLZJISO,X,O,O,X,X,X,X,X,X
ZTLZJIOS,X,X,X,X,X,O,X,X,X
ZTLZJSIO,X,O,O,X,X,O,X,X,X
ZTLZJSOI,X,O,O,X,X,O,X,X,X
ZTLZJOIS,X,X,X,X,X,O,X,X,X
ZTLZJOSI,X,X,X,X,X,O,X,X,X
