sequence,v115@RhA8BeA8AeB8CeG8AeA8Kei/IvhFfmB0hBmiB5oBzk?BtsB,v115@RhA8BeA8AeB8CeG8AeA8Kei/IvhFfmB0hBxiBzkBus?B9tB,v115@RhA8BeA8AeB8CeG8AeA8KeT/IvhFelBfmB0hBdoB5o?B6sB,v115@RhA8BeA8AeB8CeG8AeA8KeT/IvhF0hBxiBmlBtsB6t?BXqB,v115@RhA8BeA8AeB8CeG8AeA8KeT/IvhF0hBdoB5oBmlBXl?B6sB
LTSJZIO,O,O,O,O,X
LTSJZOI,O,O,O,O,X
LTSJOIZ,O,O,O,O,X
LTSJOZI,O,O,O,O,X
LTSZIJO,O,O,O,O,X
LTSZIOJ,O,O,X,O,X
LTSZJIO,O,O,O,O,X
LTSZJOI,O,O,O,O,X
LTSZOIJ,O,O,X,O,X
LTSZOJI,O,O,X,O,X
LTSOIJZ,O,O,X,O,X
LTSOIZJ,O,O,X,O,X
LTSOJIZ,O,O,X,O,X
LTSOJZI,O,O,X,O,X
LTSOZIJ,O,O,X,O,X
LTSOZJI,O,O,X,O,X
LTZIJSO,O,X,X,O,X
LTZIJOS,X,X,X,O,O
LTZISJO,O,O,X,O,X
LTZISOJ,O,O,X,O,X
LTZIOJS,X,X,X,O,O
LTZIOSJ,X,X,X,O,X
LTZJISO,O,O,X,O,X
LTZJIOS,X,X,X,O,O
LTZJSIO,O,O,X,O,X
LTZJSOI,O,O,X,O,X
LTZJOIS,X,X,X,O,O
LTZJOSI,X,X,X,O,X
LTZSIJO,O,O,X,O,X
LTZSIOJ,O,O,X,O,X
LTZSJIO,O,O,X,O,X
LTZSJOI,O,O,X,O,X
LTZSOIJ,O,O,X,O,X
LTZSOJI,O,O,X,O,X
LTZOIJS,X,X,X,O,O
LTZOISJ,X,X,X,O,X
LTZOJIS,X,X,X,O,O
LTZOJSI,X,X,X,O,X
LTZOSIJ,X,X,X,O,X
LTZOSJI,X,X,X,O,X
LTOIJSZ,O,O,O,O,X
LTOIJZS,O,O,X,O,O
LTOISJZ,O,O,X,O,X
LTOISZJ,O,O,X,O,X
LTOIZJS,O,X,X,O,O
LTOIZSJ,O,O,X,O,X
LTOJISZ,O,O,O,O,X
LTOJIZS,O,O,X,O,O
LTOJSIZ,O,O,O,O,X
LTOJSZI,O,O,O,O,X
LTOJZIS,O,O,X,O,O
LTOJZSI,O,O,X,O,X
LTOSIJZ,O,O,X,O,X
LTOSIZJ,O,O,X,O,X
LTOSJIZ,O,O,X,O,X
LTOSJZI,O,O,X,O,X
LTOSZIJ,O,O,X,O,X
LTOSZJI,O,O,X,O,X
LTOZIJS,O,X,X,O,O
LTOZISJ,O,O,X,O,X
LTOZJIS,O,O,X,O,O
LTOZJSI,O,O,X,O,X
LTOZSIJ,O,O,X,O,X
LTOZSJI,O,O,X,O,X
LITJSZO,O,O,O,X,X
LITJSOZ,O,O,O,X,X
LITJZSO,O,O,X,X,X
LITJZOS,X,X,X,X,O
LITJOSZ,O,O,O,X,X
LITJOZS,O,X,X,X,O
LITSJZO,O,O,O,X,X
LITSJOZ,O,O,O,X,X
LITSZJO,O,O,O,X,X
LITSZOJ,O,O,X,X,X
LITSOJZ,O,X,X,X,X
LITSOZJ,O,O,X,X,X
LITZJSO,O,X,X,X,X
LITZJOS,X,X,X,X,O
LITZSJO,O,O,X,X,X
LITZSOJ,O,O,X,X,X
LITZOJS,X,X,X,X,O
LITZOSJ,X,X,X,X,X
LITOJSZ,O,X,O,X,X
LITOJZS,O,X,X,X,O
LITOSJZ,O,X,X,X,X
LITOSZJ,O,O,X,X,X
LITOZJS,O,X,X,X,O
LITOZSJ,O,X,X,X,X
LIJTSZO,O,X,O,X,X
LIJTSOZ,O,X,O,X,X
LIJTZSO,O,X,X,X,X
LIJTZOS,X,X,X,X,O
LIJTOSZ,O,X,O,X,X
LIJTOZS,X,X,X,X,O
LIJSTZO,O,X,O,X,X
LIJSTOZ,O,X,O,X,X
LIJSZTO,O,X,O,X,X
LIJSZOT,X,X,O,X,X
LIJSOTZ,X,X,O,X,X
LIJSOZT,X,X,O,X,X
LIJZTSO,X,X,X,X,X
LIJZTOS,X,X,X,X,O
LIJZSTO,X,X,X,X,X
LIJZSOT,X,X,X,X,X
LIJZOTS,X,X,X,X,O
LIJZOST,X,X,X,X,X
LIJOTSZ,X,X,O,X,X
LIJOTZS,X,X,X,X,O
LIJOSTZ,X,X,O,X,X
LIJOSZT,X,X,O,X,X
LIJOZTS,X,X,X,X,O
LIJOZST,X,X,X,X,X
LISTJZO,O,O,O,X,X
LISTJOZ,O,O,O,X,X
LISTZJO,O,O,O,X,X
LISTZOJ,O,O,X,X,X
LISTOJZ,O,X,X,X,X
LISTOZJ,O,O,X,X,X
LISJTZO,O,X,O,X,X
LISJTOZ,O,X,O,X,X
LISJZTO,O,X,O,X,X
LISJZOT,X,X,O,X,X
LISJOTZ,X,X,O,X,X
LISJOZT,X,X,O,X,X
LISZTJO,O,O,O,X,X
LISZTOJ,O,O,X,X,X
LISZJTO,O,O,O,X,X
LISZJOT,X,O,O,X,X
LISZOTJ,O,O,X,X,X
LISZOJT,O,O,X,X,X
LISOTJZ,O,X,X,X,X
LISOTZJ,O,X,X,X,X
LISOJTZ,O,X,X,X,X
LISOJZT,O,X,X,X,X
LISOZTJ,O,X,X,X,X
LISOZJT,O,X,X,X,X
LIZTJSO,O,X,X,X,X
LIZTJOS,X,X,X,X,O
LIZTSJO,O,X,X,X,X
LIZTSOJ,O,X,X,X,X
LIZTOJS,X,X,X,X,O
LIZTOSJ,X,X,X,X,X
LIZJTSO,X,X,X,X,X
LIZJTOS,X,X,X,X,O
LIZJSTO,X,X,X,X,X
LIZJSOT,X,X,X,X,X
LIZJOTS,X,X,X,X,O
LIZJOST,X,X,X,X,X
LIZSTJO,O,X,X,X,X
LIZSTOJ,O,X,X,X,X
LIZSJTO,O,X,X,X,X
LIZSJOT,X,X,X,X,X
LIZSOTJ,O,X,X,X,X
LIZSOJT,X,X,X,X,X
LIZOTJS,X,X,X,X,O
LIZOTSJ,X,X,X,X,X
LIZOJTS,X,X,X,X,O
LIZOJST,X,X,X,X,X
LIZOSTJ,X,X,X,X,X
LIZOSJT,X,X,X,X,X
LIOTJSZ,O,X,O,X,X
LIOTJZS,O,X,X,X,O
LIOTSJZ,O,X,X,X,X
LIOTSZJ,O,X,X,X,X
LIOTZJS,O,X,X,X,O
LIOTZSJ,O,X,X,X,X
LIOJTSZ,O,X,O,X,X
LIOJTZS,O,X,X,X,O
LIOJSTZ,O,X,O,X,X
LIOJSZT,O,X,O,X,X
LIOJZTS,X,X,X,X,O
LIOJZST,X,X,X,X,X
LIOSTJZ,O,X,X,X,X
LIOSTZJ,O,X,X,X,X
LIOSJTZ,O,X,X,X,X
LIOSJZT,O,X,X,X,X
LIOSZTJ,O,X,X,X,X
LIOSZJT,O,X,X,X,X
LIOZTJS,O,X,X,X,O
LIOZTSJ,O,X,X,X,X
LIOZJTS,X,X,X,X,O
LIOZJST,X,X,X,X,X
LIOZSTJ,O,X,X,X,X
LIOZSJT,O,X,X,X,X
LJTISZO,O,O,O,O,X
LJTISOZ,O,O,O,O,X
LJTIZSO,O,O,X,O,X
LJTIZOS,X,X,X,O,O
LJTIOSZ,O,O,O,O,X
LJTIOZS,X,X,X,O,O
LJTSIZO,O,O,O,O,X
LJTSIOZ,O,O,O,O,X
LJTSZIO,O,O,O,O,X
LJTSZOI,O,O,O,O,X
LJTSOIZ,O,O,O,O,X
LJTSOZI,O,O,O,O,X
LJTZISO,O,O,X,O,X
LJTZIOS,X,X,X,O,O
LJTZSIO,O,O,X,O,X
LJTZSOI,O,O,X,O,X
LJTZOIS,X,X,X,O,O
LJTZOSI,X,X,X,O,X
LJTOISZ,O,O,O,O,X
LJTOIZS,X,X,X,O,O
LJTOSIZ,O,O,O,O,X
LJTOSZI,O,O,O,O,X
LJTOZIS,X,X,X,O,O
LJTOZSI,X,X,X,O,X
LJITSZO,O,X,O,X,X
LJITSOZ,O,X,O,X,X
LJITZSO,O,X,X,X,X
LJITZOS,X,X,X,X,O
LJITOSZ,O,X,O,X,X
LJITOZS,X,X,X,X,O
LJISTZO,O,X,O,X,X
LJISTOZ,O,X,O,X,X
LJISZTO,O,X,O,X,X
LJISZOT,X,X,O,X,X
LJISOTZ,X,X,O,X,X
LJISOZT,X,X,O,X,X
LJIZTSO,X,X,X,X,X
LJIZTOS,X,X,X,X,O
LJIZSTO,X,X,X,X,X
LJIZSOT,X,X,X,X,X
LJIZOTS,X,X,X,X,O
LJIZOST,X,X,X,X,X
LJIOTSZ,X,X,O,X,X
LJIOTZS,X,X,X,X,O
LJIOSTZ,X,X,O,X,X
LJIOSZT,X,X,O,X,X
LJIOZTS,X,X,X,X,O
LJIOZST,X,X,X,X,X
LJSTIZO,O,O,O,X,X
LJSTIOZ,O,O,O,X,X
LJSTZIO,O,O,O,X,X
LJSTZOI,O,O,O,X,X
LJSTOIZ,O,O,O,X,X
LJSTOZI,O,O,O,X,X
LJSITZO,O,X,O,X,X
LJSITOZ,O,X,O,X,X
LJSIZTO,O,X,O,X,X
LJSIZOT,X,X,O,X,X
LJSIOTZ,X,X,O,X,X
LJSIOZT,X,X,O,X,X
LJSZTIO,O,O,O,X,X
LJSZTOI,O,O,O,X,X
LJSZITO,O,O,O,X,X
LJSZIOT,X,O,O,X,X
LJSZOTI,X,X,O,X,X
LJSZOIT,X,X,O,X,X
LJSOTIZ,X,X,O,X,X
LJSOTZI,X,X,O,X,X
LJSOITZ,X,X,O,X,X
LJSOIZT,X,X,O,X,X
LJSOZTI,X,X,O,X,X
LJSOZIT,X,X,O,X,X
LJZTISO,X,X,X,O,X
LJZTIOS,X,X,X,O,O
LJZTSIO,X,X,X,O,X
LJZTSOI,X,X,X,O,X
LJZTOIS,X,X,X,O,O
LJZTOSI,X,X,X,O,X
LJZITSO,X,X,X,X,X
LJZITOS,X,X,X,X,O
LJZISTO,X,X,X,X,X
LJZISOT,X,X,X,X,X
LJZIOTS,X,X,X,X,O
LJZIOST,X,X,X,X,X
LJZSTIO,X,X,X,X,X
LJZSTOI,X,X,X,X,X
LJZSITO,X,X,X,X,X
LJZSIOT,X,X,X,X,X
LJZSOTI,X,X,X,X,X
LJZSOIT,X,X,X,X,X
LJZOTIS,X,X,X,O,O
LJZOTSI,X,X,X,O,X
LJZOITS,X,X,X,X,O
LJZOIST,X,X,X,X,X
LJZOSTI,X,X,X,X,X
LJZOSIT,X,X,X,X,X
LJOTISZ,X,X,O,O,X
LJOTIZS,X,X,X,O,O
LJOTSIZ,X,X,O,O,X
LJOTSZI,X,X,O,O,X
LJOTZIS,X,X,X,O,O
LJOTZSI,X,X,X,O,X
LJOITSZ,X,X,O,X,X
LJOITZS,X,X,X,X,O
LJOISTZ,X,X,O,X,X
LJOISZT,X,X,O,X,X
LJOIZTS,X,X,X,X,O
LJOIZST,X,X,X,X,X
LJOSTIZ,X,X,O,X,X
LJOSTZI,X,X,O,X,X
LJOSITZ,X,X,O,X,X
LJOSIZT,X,X,O,X,X
LJOSZTI,X,X,O,X,X
LJOSZIT,X,X,O,X,X
LJOZTIS,X,X,X,O,O
LJOZTSI,X,X,X,O,X
LJOZITS,X,X,X,X,O
LJOZIST,X,X,X,X,X
LJOZSTI,X,X,X,X,X
LJOZSIT,X,X,X,X,X
LSTIJZO,O,O,O,X,X
LSTIJOZ,O,O,O,X,X
LSTIZJO,O,O,O,X,X
LSTIZOJ,O,O,X,X,X
LSTIOJZ,O,O,X,X,X
LSTIOZJ,O,O,X,X,X
LSTJIZO,O,O,O,X,X
LSTJIOZ,O,O,O,X,X
LSTJZIO,O,O,O,X,X
LSTJZOI,O,O,O,X,X
LSTJOIZ,O,O,O,X,X
LSTJOZI,O,O,O,X,X
LSTZIJO,O,O,O,X,X
LSTZIOJ,O,O,X,X,X
LSTZJIO,O,O,O,X,X
LSTZJOI,O,O,O,X,X
LSTZOIJ,O,O,X,X,X
LSTZOJI,O,O,X,X,X
LSTOIJZ,O,O,X,X,X
LSTOIZJ,O,O,X,X,X
LSTOJIZ,O,O,X,X,X
LSTOJZI,O,O,X,X,X
LSTOZIJ,O,O,X,X,X
LSTOZJI,O,O,X,X,X
LSITJZO,O,O,O,X,X
LSITJOZ,O,O,O,X,X
LSITZJO,O,O,O,X,X
LSITZOJ,O,O,X,X,X
LSITOJZ,O,X,X,X,X
LSITOZJ,O,O,X,X,X
LSIJTZO,O,X,O,X,X
LSIJTOZ,O,X,O,X,X
LSIJZTO,O,X,O,X,X
LSIJZOT,X,X,O,X,X
LSIJOTZ,X,X,O,X,X
LSIJOZT,X,X,O,X,X
LSIZTJO,O,O,O,X,X
LSIZTOJ,O,O,X,X,X
LSIZJTO,O,O,O,X,X
LSIZJOT,X,O,O,X,X
LSIZOTJ,O,O,X,X,X
LSIZOJT,O,O,X,X,X
LSIOTJZ,O,X,X,X,X
LSIOTZJ,O,X,X,X,X
LSIOJTZ,O,X,X,X,X
LSIOJZT,O,X,X,X,X
LSIOZTJ,O,X,X,X,X
LSIOZJT,O,X,X,X,X
LSJTIZO,O,O,O,X,X
LSJTIOZ,O,O,O,X,X
LSJTZIO,O,O,O,X,X
LSJTZOI,O,O,O,X,X
LSJTOIZ,O,O,O,X,X
LSJTOZI,O,O,O,X,X
LSJITZO,O,X,O,X,X
LSJITOZ,O,X,O,X,X
LSJIZTO,O,X,O,X,X
LSJIZOT,X,X,O,X,X
LSJIOTZ,X,X,O,X,X
LSJIOZT,X,X,O,X,X
LSJZTIO,O,O,O,X,X
LSJZTOI,O,O,O,X,X
LSJZITO,O,O,O,X,X
LSJZIOT,X,O,O,X,X
LSJZOTI,X,X,O,X,X
LSJZOIT,X,X,O,X,X
LSJOTIZ,X,X,O,X,X
LSJOTZI,X,X,O,X,X
LSJOITZ,X,X,O,X,X
LSJOIZT,X,X,O,X,X
LSJOZTI,X,X,O,X,X
LSJOZIT,X,X,O,X,X
LSZTIJO,O,O,O,X,X
LSZTIOJ,O,O,X,X,X
LSZTJIO,O,O,O,X,X
LSZTJOI,O,O,O,X,X
LSZTOIJ,O,O,X,X,X
LSZTOJI,O,O,X,X,X
LSZITJO,O,O,O,X,X
LSZITOJ,O,O,X,X,X
LSZIJTO,O,O,O,X,X
LSZIJOT,X,O,O,X,X
LSZIOTJ,O,O,X,X,X
LSZIOJT,O,O,X,X,X
LSZJTIO,O,O,O,X,X
LSZJTOI,O,O,O,X,X
LSZJITO,O,O,O,X,X
LSZJIOT,X,O,O,X,X
LSZJOTI,X,X,O,X,X
LSZJOIT,X,X,O,X,X
LSZOTIJ,O,O,X,X,X
LSZOTJI,O,O,X,X,X
LSZOITJ,O,O,X,X,X
LSZOIJT,O,O,X,X,X
LSZOJTI,O,O,X,X,X
LSZOJIT,O,O,X,X,X
LSOTIJZ,O,O,X,X,X
LSOTIZJ,O,O,X,X,X
LSOTJIZ,O,O,X,X,X
LSOTJZI,O,O,X,X,X
LSOTZIJ,O,O,X,X,X
LSOTZJI,O,O,X,X,X
LSOITJZ,O,O,X,X,X
LSOITZJ,O,O,X,X,X
LSOIJTZ,O,X,X,X,X
LSOIJZT,O,X,X,X,X
LSOIZTJ,O,O,X,X,X
LSOIZJT,O,O,X,X,X
LSOJTIZ,O,O,X,X,X
LSOJTZI,O,O,X,X,X
LSOJITZ,O,X,X,X,X
LSOJIZT,O,X,X,X,X
LSOJZTI,O,O,X,X,X
LSOJZIT,O,O,X,X,X
LSOZTIJ,O,O,X,X,X
LSOZTJI,O,O,X,X,X
LSOZITJ,O,O,X,X,X
LSOZIJT,O,O,X,X,X
LSOZJTI,O,O,X,X,X
LSOZJIT,O,O,X,X,X
LZTIJSO,O,X,X,O,X
LZTIJOS,X,X,X,O,O
LZTISJO,O,O,X,O,X
LZTISOJ,O,O,X,O,X
LZTIOJS,X,X,X,O,O
LZTIOSJ,X,X,X,O,X
LZTJISO,O,O,X,O,X
LZTJIOS,X,X,X,O,O
LZTJSIO,O,O,X,O,X
LZTJSOI,O,O,X,O,X
LZTJOIS,X,X,X,O,O
LZTJOSI,X,X,X,O,X
LZTSIJO,O,O,X,O,X
LZTSIOJ,O,O,X,O,X
LZTSJIO,O,O,X,O,X
LZTSJOI,O,O,X,O,X
LZTSOIJ,O,O,X,O,X
LZTSOJI,O,O,X,O,X
LZTOIJS,X,X,X,O,O
LZTOISJ,X,X,X,O,X
LZTOJIS,X,X,X,O,O
LZTOJSI,X,X,X,O,X
LZTOSIJ,X,X,X,O,X
LZTOSJI,X,X,X,O,X
LZITJSO,O,X,X,X,X
LZITJOS,X,X,X,X,O
LZITSJO,O,X,X,X,X
LZITSOJ,O,X,X,X,X
LZITOJS,X,X,X,X,O
LZITOSJ,X,X,X,X,X
LZIJTSO,X,X,X,X,X
LZIJTOS,X,X,X,X,O
LZIJSTO,X,X,X,X,X
LZIJSOT,X,X,X,X,X
LZIJOTS,X,X,X,X,O
LZIJOST,X,X,X,X,X
LZISTJO,O,X,X,X,X
LZISTOJ,O,X,X,X,X
LZISJTO,O,X,X,X,X
LZISJOT,X,X,X,X,X
LZISOTJ,O,X,X,X,X
LZISOJT,X,X,X,X,X
LZIOTJS,X,X,X,X,O
LZIOTSJ,X,X,X,X,X
LZIOJTS,X,X,X,X,O
LZIOJST,X,X,X,X,X
LZIOSTJ,X,X,X,X,X
LZIOSJT,X,X,X,X,X
LZJTISO,X,X,X,O,X
LZJTIOS,X,X,X,O,O
LZJTSIO,X,X,X,O,X
LZJTSOI,X,X,X,O,X
LZJTOIS,X,X,X,O,O
LZJTOSI,X,X,X,O,X
LZJITSO,X,X,X,X,X
LZJITOS,X,X,X,X,O
LZJISTO,X,X,X,X,X
LZJISOT,X,X,X,X,X
LZJIOTS,X,X,X,X,O
LZJIOST,X,X,X,X,X
LZJSTIO,X,X,X,X,X
LZJSTOI,X,X,X,X,X
LZJSITO,X,X,X,X,X
LZJSIOT,X,X,X,X,X
LZJSOTI,X,X,X,X,X
LZJSOIT,X,X,X,X,X
LZJOTIS,X,X,X,O,O
LZJOTSI,X,X,X,O,X
LZJOITS,X,X,X,X,O
LZJOIST,X,X,X,X,X
LZJOSTI,X,X,X,X,X
LZJOSIT,X,X,X,X,X
LZSTIJO,O,O,X,X,X
LZSTIOJ,O,O,X,X,X
LZSTJIO,O,O,X,X,X
LZSTJOI,O,O,X,X,X
LZSTOIJ,O,O,X,X,X
LZSTOJI,O,O,X,X,X
LZSITJO,O,O,X,X,X
LZSITOJ,O,O,X,X,X
LZSIJTO,O,O,X,X,X
LZSIJOT,X,O,X,X,X
LZSIOTJ,O,O,X,X,X
LZSIOJT,X,O,X,X,X
LZSJTIO,O,O,X,X,X
LZSJTOI,O,O,X,X,X
LZSJITO,O,O,X,X,X
LZSJIOT,X,O,X,X,X
LZSJOTI,X,X,X,X,X
LZSJOIT,X,X,X,X,X
LZSOTIJ,O,O,X,X,X
LZSOTJI,O,O,X,X,X
LZSOITJ,O,O,X,X,X
LZSOIJT,X,O,X,X,X
LZSOJTI,X,X,X,X,X
LZSOJIT,X,X,X,X,X
LZOTIJS,X,X,X,O,O
LZOTISJ,X,X,X,O,X
LZOTJIS,X,X,X,O,O
LZOTJSI,X,X,X,O,X
LZOTSIJ,X,X,X,O,X
LZOTSJI,X,X,X,O,X
LZOITJS,X,X,X,X,O
LZOITSJ,X,X,X,X,X
LZOIJTS,X,X,X,X,O
LZOIJST,X,X,X,X,X
LZOISTJ,X,X,X,X,X
LZOISJT,X,X,X,X,X
LZOJTIS,X,X,X,O,O
LZOJTSI,X,X,X,O,X
LZOJITS,X,X,X,X,O
LZOJIST,X,X,X,X,X
LZOJSTI,X,X,X,X,X
LZOJSIT,X,X,X,X,X
LZOSTIJ,X,X,X,X,X
LZOSTJI,X,X,X,X,X
LZOSITJ,X,X,X,X,X
LZOSIJT,X,X,X,X,X
LZOSJTI,X,X,X,X,X
LZOSJIT,X,X,X,X,X
LOTIJSZ,O,O,O,O,X
LOTIJZS,O,O,X,O,O
LOTISJZ,O,O,X,O,X
LOTISZJ,O,O,X,O,X
LOTIZJS,O,X,X,O,O
LOTIZSJ,O,O,X,O,X
LOTJISZ,O,O,O,O,X
LOTJIZS,O,O,X,O,O
LOTJSIZ,O,O,O,O,X
LOTJSZI,O,O,O,O,X
LOTJZIS,O,O,X,O,O
LOTJZSI,O,O,X,O,X
LOTSIJZ,O,O,X,O,X
LOTSIZJ,O,O,X,O,X
LOTSJIZ,O,O,X,O,X
LOTSJZI,O,O,X,O,X
LOTSZIJ,O,O,X,O,X
LOTSZJI,O,O,X,O,X
LOTZIJS,O,X,X,O,O
LOTZISJ,O,O,X,O,X
LOTZJIS,O,O,X,O,O
LOTZJSI,O,O,X,O,X
LOTZSIJ,O,O,X,O,X
LOTZSJI,O,O,X,O,X
LOITJSZ,O,O,O,X,X
LOITJZS,O,O,X,X,O
LOITSJZ,O,O,X,X,X
LOITSZJ,O,O,X,X,X
LOITZJS,O,X,X,X,O
LOITZSJ,O,O,X,X,X
LOIJTSZ,O,X,O,X,X
LOIJTZS,O,X,X,X,O
LOIJSTZ,O,X,O,X,X
LOIJSZT,O,X,O,X,X
LOIJZTS,X,X,X,X,O
LOIJZST,X,X,X,X,X
LOISTJZ,O,O,X,X,X
LOISTZJ,O,O,X,X,X
LOISJTZ,O,X,X,X,X
LOISJZT,O,X,X,X,X
LOISZTJ,O,O,X,X,X
LOISZJT,O,O,X,X,X
LOIZTJS,O,X,X,X,O
LOIZTSJ,O,X,X,X,X
LOIZJTS,X,X,X,X,O
LOIZJST,X,X,X,X,X
LOIZSTJ,O,X,X,X,X
LOIZSJT,O,X,X,X,X
LOJTISZ,O,O,O,O,X
LOJTIZS,O,O,X,O,O
LOJTSIZ,O,O,O,O,X
LOJTSZI,O,O,O,O,X
LOJTZIS,O,O,X,O,O
LOJTZSI,O,O,X,O,X
LOJITSZ,O,X,O,X,X
LOJITZS,O,X,X,X,O
LOJISTZ,O,X,O,X,X
LOJISZT,O,X,O,X,X
LOJIZTS,X,X,X,X,O
LOJIZST,X,X,X,X,X
LOJSTIZ,O,O,O,X,X
LOJSTZI,O,O,O,X,X
LOJSITZ,O,X,O,X,X
LOJSIZT,O,X,O,X,X
LOJSZTI,O,O,O,X,X
LOJSZIT,O,O,O,X,X
LOJZTIS,X,X,X,O,O
LOJZTSI,X,X,X,O,X
LOJZITS,X,X,X,X,O
LOJZIST,X,X,X,X,X
LOJZSTI,X,X,X,X,X
LOJZSIT,X,X,X,X,X
LOSTIJZ,O,O,X,X,X
LOSTIZJ,O,O,X,X,X
LOSTJIZ,O,O,X,X,X
LOSTJZI,O,O,X,X,X
LOSTZIJ,O,O,X,X,X
LOSTZJI,O,O,X,X,X
LOSITJZ,O,O,X,X,X
LOSITZJ,O,O,X,X,X
LOSIJTZ,O,X,X,X,X
LOSIJZT,O,X,X,X,X
LOSIZTJ,O,O,X,X,X
LOSIZJT,O,O,X,X,X
LOSJTIZ,O,O,X,X,X
LOSJTZI,O,O,X,X,X
LOSJITZ,O,X,X,X,X
LOSJIZT,O,X,X,X,X
LOSJZTI,O,O,X,X,X
LOSJZIT,O,O,X,X,X
LOSZTIJ,O,O,X,X,X
LOSZTJI,O,O,X,X,X
LOSZITJ,O,O,X,X,X
LOSZIJT,O,O,X,X,X
LOSZJTI,O,O,X,X,X
LOSZJIT,O,O,X,X,X
LOZTIJS,O,X,X,O,O
LOZTISJ,O,O,X,O,X
LOZTJIS,O,O,X,O,O
LOZTJSI,O,O,X,O,X
LOZTSIJ,O,O,X,O,X
LOZTSJI,O,O,X,O,X
LOZITJS,O,X,X,X,O
LOZITSJ,O,X,X,X,X
LOZIJTS,X,X,X,X,O
LOZIJST,X,X,X,X,X
LOZISTJ,O,X,X,X,X
LOZISJT,O,X,X,X,X
LOZJTIS,X,X,X,O,O
LOZJTSI,X,X,X,O,X
LOZJITS,X,X,X,X,O
LOZJIST,X,X,X,X,X
LOZJSTI,X,X,X,X,X
LOZJSIT,X,X,X,X,X
LOZSTIJ,O,O,X,X,X
LOZSTJI,O,O,X,X,X
LOZSITJ,O,O,X,X,X
LOZSIJT,O,O,X,X,X
LOZSJTI,O,O,X,X,X
LOZSJIT,O,O,X,X,X
JTILSZO,O,O,O,O,X
JTILSOZ,O,O,O,O,X
JTILZSO,O,O,X,O,X
JTILZOS,X,X,X,O,O
JTILOSZ,O,O,O,O,X
JTILOZS,O,O,X,O,O
JTISLZO,O,O,O,X,X
JTISLOZ,O,O,O,X,X
JTISZLO,O,O,O,X,X
JTISZOL,O,O,O,X,O
JTISOLZ,O,O,O,X,X
JTISOZL,O,O,O,X,O
JTIZLSO,O,O,X,O,X
JTIZLOS,X,X,X,O,O
JTIZSLO,O,O,O,X,X
JTIZSOL,O,O,O,X,O
JTIZOLS,O,O,X,O,O
JTIZOSL,O,O,O,X,O
JTIOLSZ,O,O,O,O,X
JTIOLZS,O,O,X,O,O
JTIOSLZ,O,O,O,X,X
JTIOSZL,O,O,O,X,O
JTIOZLS,O,O,X,O,O
JTIOZSL,O,O,O,X,O
JTLISZO,O,O,O,O,X
JTLISOZ,O,O,O,O,X
JTLIZSO,O,O,X,O,X
JTLIZOS,X,X,X,O,O
JTLIOSZ,O,O,O,O,X
JTLIOZS,O,O,X,O,O
JTLSIZO,O,O,O,O,X
JTLSIOZ,O,O,O,O,X
JTLSZIO,O,O,O,O,X
JTLSZOI,O,O,O,O,X
JTLSOIZ,O,O,O,O,X
JTLSOZI,O,O,O,O,X
JTLZISO,O,O,X,O,X
JTLZIOS,X,X,X,O,O
JTLZSIO,O,O,X,O,X
JTLZSOI,O,O,X,O,X
JTLZOIS,X,X,X,O,O
JTLZOSI,X,X,X,O,X
JTLOISZ,O,O,O,O,X
JTLOIZS,O,O,X,O,O
JTLOSIZ,O,O,O,O,X
JTLOSZI,O,O,O,O,X
JTLOZIS,O,O,X,O,O
JTLOZSI,O,O,X,O,X
JTSILZO,O,O,O,X,X
JTSILOZ,O,O,O,X,X
JTSIZLO,O,O,O,X,X
JTSIZOL,O,O,O,X,O
JTSIOLZ,O,O,O,X,X
JTSIOZL,O,O,O,X,O
JTSLIZO,O,O,O,O,X
JTSLIOZ,O,O,O,O,X
JTSLZIO,O,O,O,O,X
JTSLZOI,O,O,O,O,X
JTSLOIZ,O,O,O,O,X
JTSLOZI,O,O,O,O,X
JTSZILO,O,O,O,X,X
JTSZIOL,O,O,O,X,O
JTSZLIO,O,O,O,O,X
JTSZLOI,O,O,O,O,X
JTSZOIL,O,O,O,X,O
JTSZOLI,O,O,O,O,X
JTSOILZ,O,O,O,X,X
JTSOIZL,O,O,O,X,O
JTSOLIZ,O,O,O,O,X
JTSOLZI,O,O,O,O,X
JTSOZIL,O,O,O,X,O
JTSOZLI,O,O,O,O,X
JTZILSO,O,O,X,O,X
JTZILOS,X,X,X,O,O
JTZISLO,O,O,O,X,X
JTZISOL,O,O,O,X,O
JTZIOLS,O,O,X,O,O
JTZIOSL,O,O,O,X,O
JTZLISO,O,O,X,O,X
JTZLIOS,X,X,X,O,O
JTZLSIO,O,O,X,O,X
JTZLSOI,O,O,X,O,X
JTZLOIS,X,X,X,O,O
JTZLOSI,X,X,X,O,X
JTZSILO,O,O,O,X,X
JTZSIOL,O,O,O,X,O
JTZSLIO,O,O,O,O,X
JTZSLOI,O,O,O,O,X
JTZSOIL,O,O,O,X,O
JTZSOLI,O,O,O,O,X
JTZOILS,O,O,X,O,O
JTZOISL,O,O,O,X,O
JTZOLIS,O,O,X,O,O
JTZOLSI,O,O,X,O,X
JTZOSIL,O,O,O,X,O
JTZOSLI,O,O,O,O,X
JTOILSZ,O,O,O,O,X
JTOILZS,O,O,X,O,O
JTOISLZ,O,O,O,X,X
