sequence,v115@ThB8AeA8DeI8KeOEJvhF8kBfmBlhBaoB5oBTsB,v115@ThB8AeA8DeI8KeKEJvhFzfBfmB0hBmiB5oB1xB,v115@ThB8AeA8DeI8Kex/IvhFlhBcnBTkBmlB6tBXtB,v115@ThB8AeA8DeI8Kem/IvhFRhBcnBTkBFmBXoB6tB,v115@ThB8AeA8DeI8Kem/IvhFfmB0hBliB5oBTpByxB,v115@ThB8AeA8DeI8KeKEJvhFzfBfmBlhBcnBeoB5oB
TLJIOSZ,X,O,O,X,O,O
TLJIOZS,X,O,O,X,O,O
TLJSIZO,X,O,X,X,O,O
TLJSIOZ,X,O,X,X,O,O
TLJSZIO,X,O,X,X,O,O
TLJSZOI,X,O,O,X,O,O
TLJSOIZ,X,O,O,X,O,O
TLJSOZI,X,O,O,X,O,O
TLJZISO,X,O,X,X,O,O
TLJZIOS,X,O,O,X,X,O
TLJZSIO,X,O,X,X,O,O
TLJZSOI,X,O,O,X,O,O
TLJZOIS,X,O,O,X,X,O
TLJZOSI,X,O,O,X,X,O
TLJOISZ,X,O,O,X,O,O
TLJOIZS,X,O,O,X,O,O
TLJOSIZ,X,O,O,X,O,O
TLJOSZI,X,O,O,X,O,O
TLJOZIS,X,O,O,X,O,O
TLJOZSI,X,O,O,X,O,O
TLSIJZO,O,O,X,X,O,O
TLSIJOZ,X,O,X,X,O,O
TLSIZJO,O,O,X,X,O,O
TLSIZOJ,O,O,X,X,O,O
TLSIOJZ,X,O,X,X,O,O
TLSIOZJ,O,O,X,X,O,O
TLSJIZO,O,O,X,X,O,O
TLSJIOZ,X,O,X,X,O,O
TLSJZIO,O,O,X,X,O,O
TLSJZOI,O,O,O,X,O,O
TLSJOIZ,X,O,O,X,O,O
TLSJOZI,X,O,O,X,O,O
TLSZIJO,O,O,X,X,O,O
TLSZIOJ,O,O,X,O,O,O
TLSZJIO,O,O,X,X,O,O
TLSZJOI,O,O,O,X,O,O
TLSZOIJ,O,O,X,O,O,O
TLSZOJI,O,O,X,O,O,O
TLSOIJZ,X,O,X,X,O,O
TLSOIZJ,O,O,X,X,O,O
TLSOJIZ,X,O,X,X,O,O
TLSOJZI,X,O,X,O,O,O
TLSOZIJ,O,O,X,O,O,O
TLSOZJI,O,O,X,O,O,O
TLZIJSO,O,O,X,X,O,X
TLZIJOS,X,O,O,X,X,X
TLZISJO,O,O,X,X,O,X
TLZISOJ,O,O,X,O,O,X
TLZIOJS,X,O,X,O,O,X
TLZIOSJ,X,O,X,O,O,X
TLZJISO,O,O,X,X,O,O
TLZJIOS,X,O,O,X,X,O
TLZJSIO,O,O,X,X,O,O
TLZJSOI,O,O,O,X,O,O
TLZJOIS,X,O,O,X,X,O
TLZJOSI,X,O,O,X,X,O
TLZSIJO,O,O,X,X,O,O
TLZSIOJ,O,O,X,O,O,O
TLZSJIO,O,O,X,X,O,O
TLZSJOI,O,O,O,X,O,O
TLZSOIJ,O,O,X,O,O,O
TLZSOJI,O,O,X,O,O,O
TLZOIJS,X,O,O,O,O,X
TLZOISJ,X,O,X,O,O,X
TLZOJIS,X,O,O,O,O,O
TLZOJSI,X,O,O,O,O,O
TLZOSIJ,X,O,X,O,O,O
TLZOSJI,X,O,X,O,O,O
TLOIJSZ,X,O,O,X,O,O
TLOIJZS,X,O,O,O,O,O
TLOISJZ,X,O,X,X,O,O
TLOISZJ,X,O,X,X,O,X
TLOIZJS,X,O,O,O,O,X
TLOIZSJ,X,O,X,O,O,X
TLOJISZ,X,O,O,X,O,O
TLOJIZS,X,O,O,O,O,O
TLOJSIZ,X,O,O,X,O,O
TLOJSZI,X,O,O,O,O,O
TLOJZIS,X,O,O,O,O,O
TLOJZSI,X,O,O,O,O,O
TLOSIJZ,X,O,X,X,O,O
TLOSIZJ,X,O,X,X,O,O
TLOSJIZ,X,O,X,X,O,O
TLOSJZI,X,O,X,O,O,O
TLOSZIJ,X,O,X,O,O,O
TLOSZJI,X,O,X,O,O,O
TLOZIJS,X,O,O,O,O,X
TLOZISJ,X,O,X,O,O,X
TLOZJIS,X,O,O,O,O,O
TLOZJSI,X,O,O,O,O,O
TLOZSIJ,X,O,X,O,O,O
TLOZSJI,X,O,X,O,O,O
TJILSZO,X,O,X,X,O,O
TJILSOZ,X,O,X,X,O,O
TJILZSO,X,O,X,X,O,O
TJILZOS,X,O,O,X,X,O
TJILOSZ,X,O,O,X,O,O
TJILOZS,X,O,O,X,X,O
TJISLZO,X,O,X,X,O,O
TJISLOZ,X,O,X,X,O,O
TJISZLO,X,O,X,X,O,O
TJISZOL,X,O,X,X,O,O
TJISOLZ,X,O,X,X,X,X
TJISOZL,X,O,X,X,X,X
TJIZLSO,X,O,X,X,X,O
TJIZLOS,X,O,O,X,X,O
TJIZSLO,X,O,X,X,X,O
TJIZSOL,X,O,X,O,X,O
TJIZOLS,X,X,O,O,X,X
TJIZOSL,X,X,O,O,X,X
TJIOLSZ,X,O,O,X,X,X
TJIOLZS,X,O,O,O,X,X
TJIOSLZ,X,O,O,X,X,X
TJIOSZL,X,O,O,O,X,X
TJIOZLS,X,X,O,O,X,X
TJIOZSL,X,X,O,O,X,X
TJLISZO,X,O,X,X,O,O
TJLISOZ,X,O,X,X,O,O
TJLIZSO,X,O,X,X,O,O
TJLIZOS,X,O,O,X,X,O
TJLIOSZ,X,O,O,X,O,O
TJLIOZS,X,O,O,X,X,O
TJLSIZO,X,O,X,X,O,O
TJLSIOZ,X,O,X,X,O,O
TJLSZIO,X,O,X,X,O,O
TJLSZOI,X,O,O,X,O,O
TJLSOIZ,X,O,O,X,O,O
TJLSOZI,X,O,O,X,O,O
TJLZISO,X,O,X,X,O,O
TJLZIOS,X,O,O,X,X,O
TJLZSIO,X,O,X,X,O,O
TJLZSOI,X,O,O,X,O,O
TJLZOIS,X,O,O,X,X,O
TJLZOSI,X,O,O,X,X,O
TJLOISZ,X,O,O,X,O,O
TJLOIZS,X,O,O,X,X,O
TJLOSIZ,X,O,O,X,O,O
TJLOSZI,X,O,O,X,O,O
TJLOZIS,X,O,O,X,X,O
TJLOZSI,X,O,O,X,X,O
TJSILZO,X,O,X,X,O,O
TJSILOZ,X,O,X,X,O,O
TJSIZLO,X,O,X,X,O,O
TJSIZOL,X,O,X,X,O,O
TJSIOLZ,X,O,X,X,X,X
TJSIOZL,X,O,X,X,X,X
TJSLIZO,X,O,X,X,O,O
TJSLIOZ,X,O,X,X,O,O
TJSLZIO,X,O,X,X,O,O
TJSLZOI,X,O,O,X,O,O
TJSLOIZ,X,O,O,X,O,O
TJSLOZI,X,O,O,X,O,O
TJSZILO,X,O,X,X,O,O
TJSZIOL,X,O,X,O,O,O
TJSZLIO,X,O,X,X,O,O
TJSZLOI,X,O,O,X,O,O
TJSZOIL,X,O,O,O,O,O
TJSZOLI,X,O,O,O,X,O
TJSOILZ,X,O,O,X,X,X
TJSOIZL,X,O,O,O,X,X
TJSOLIZ,X,O,O,X,X,X
TJSOLZI,X,O,O,O,X,X
TJSOZIL,X,O,O,O,X,X
TJSOZLI,X,O,O,O,X,X
TJZILSO,X,O,X,X,X,O
TJZILOS,X,O,O,X,X,O
TJZISLO,X,O,X,X,X,O
TJZISOL,X,O,X,O,X,O
TJZIOLS,X,X,O,O,X,X
TJZIOSL,X,X,O,O,X,X
TJZLISO,X,O,X,X,X,O
TJZLIOS,X,O,O,X,X,O
TJZLSIO,X,O,X,X,X,O
TJZLSOI,X,O,O,X,X,O
TJZLOIS,X,O,O,X,X,O
TJZLOSI,X,O,O,X,X,O
TJZSILO,X,O,X,X,X,O
TJZSIOL,X,O,X,O,X,O
TJZSLIO,X,O,X,X,X,O
TJZSLOI,X,O,O,X,X,O
TJZSOIL,X,O,O,O,X,O
TJZSOLI,X,O,O,O,X,O
TJZOILS,X,X,O,O,X,X
TJZOISL,X,X,O,O,X,X
TJZOLIS,X,X,O,O,X,X
TJZOLSI,X,X,O,O,X,X
TJZOSIL,X,X,O,O,X,X
TJZOSLI,X,X,O,O,X,X
TJOILSZ,X,O,O,X,X,X
TJOILZS,X,O,O,O,X,X
TJOISLZ,X,O,O,X,X,X
TJOISZL,X,O,O,O,X,X
TJOIZLS,X,X,O,O,X,X
TJOIZSL,X,X,O,O,X,X
TJOLISZ,X,O,O,X,X,X
TJOLIZS,X,O,O,O,X,X
TJOLSIZ,X,O,O,X,X,X
TJOLSZI,X,O,O,O,X,X
TJOLZIS,X,O,O,O,X,X
TJOLZSI,X,O,O,O,X,X
TJOSILZ,X,O,O,X,X,X
TJOSIZL,X,O,O,O,X,X
TJOSLIZ,X,O,O,X,X,X
TJOSLZI,X,O,O,O,X,X
TJOSZIL,X,O,O,O,X,X
TJOSZLI,X,O,O,O,X,X
TJOZILS,X,X,O,O,X,X
TJOZISL,X,X,O,O,X,X
TJOZLIS,X,X,O,O,X,X
TJOZLSI,X,X,O,O,X,X
TJOZSIL,X,X,O,O,X,X
TJOZSLI,X,X,O,O,X,X
TSILJZO,O,O,X,X,O,O
TSILJOZ,X,O,X,X,O,O
TSILZJO,O,O,X,X,O,O
TSILZOJ,O,O,X,X,O,O
TSILOJZ,O,O,X,X,O,O
TSILOZJ,O,O,X,X,O,O
TSIJLZO,O,O,X,X,O,O
TSIJLOZ,X,O,X,X,O,O
TSIJZLO,O,O,X,X,O,O
TSIJZOL,O,O,X,X,O,O
TSIJOLZ,O,O,X,X,X,X
TSIJOZL,O,O,X,X,X,X
TSIZLJO,O,O,X,X,O,O
TSIZLOJ,O,O,X,O,O,O
TSIZJLO,O,O,X,X,O,O
TSIZJOL,O,O,X,O,O,O
TSIZOLJ,O,O,X,O,O,X
TSIZOJL,O,O,X,O,O,X
TSIOLJZ,O,O,X,X,O,X
TSIOLZJ,O,O,X,X,O,X
TSIOJLZ,O,O,X,X,O,X
TSIOJZL,O,O,X,O,O,X
TSIOZLJ,O,O,X,O,O,X
TSIOZJL,O,O,X,O,O,X
TSLIJZO,O,O,X,X,O,O
TSLIJOZ,X,O,X,X,O,O
TSLIZJO,O,O,X,X,O,O
TSLIZOJ,O,O,X,X,O,O
TSLIOJZ,O,O,X,X,O,O
TSLIOZJ,O,O,X,X,O,O
TSLJIZO,O,O,X,X,O,O
TSLJIOZ,X,O,X,X,O,O
TSLJZIO,O,O,X,X,O,O
TSLJZOI,O,O,O,X,O,O
TSLJOIZ,X,O,O,X,O,O
TSLJOZI,X,O,O,X,O,O
TSLZIJO,O,O,X,X,O,O
TSLZIOJ,O,O,X,O,O,O
TSLZJIO,O,O,X,X,O,O
TSLZJOI,O,O,O,X,O,O
TSLZOIJ,O,O,X,O,O,O
TSLZOJI,O,O,X,O,O,O
TSLOIJZ,O,O,X,X,O,O
TSLOIZJ,O,O,X,X,O,O
TSLOJIZ,O,O,X,X,O,O
TSLOJZI,O,O,X,O,O,O
TSLOZIJ,O,O,X,O,O,O
TSLOZJI,O,O,X,O,O,O
TSJILZO,O,O,X,X,O,O
TSJILOZ,X,O,X,X,O,O
TSJIZLO,O,O,X,X,O,O
TSJIZOL,O,O,X,X,O,O
TSJIOLZ,O,O,X,X,X,X
TSJIOZL,O,O,X,X,X,X
TSJLIZO,O,O,X,X,O,O
TSJLIOZ,X,O,X,X,O,O
TSJLZIO,O,O,X,X,O,O
TSJLZOI,O,O,O,X,O,O
TSJLOIZ,X,O,O,X,O,O
TSJLOZI,X,O,O,X,O,O
TSJZILO,O,O,X,X,O,O
TSJZIOL,O,O,X,O,O,O
TSJZLIO,O,O,X,X,O,O
TSJZLOI,O,O,O,X,O,O
TSJZOIL,O,O,O,O,O,O
TSJZOLI,O,O,O,O,X,O
TSJOILZ,O,O,O,X,X,X
TSJOIZL,O,O,O,O,X,X
TSJOLIZ,O,O,O,X,X,X
TSJOLZI,O,O,O,O,X,X
TSJOZIL,O,O,O,O,X,X
TSJOZLI,O,O,O,O,X,X
TSZILJO,O,O,X,X,O,O
TSZILOJ,O,O,X,O,O,O
TSZIJLO,O,O,X,X,O,O
TSZIJOL,O,O,X,O,O,O
TSZIOLJ,O,O,X,O,O,X
TSZIOJL,O,O,X,O,O,X
TSZLIJO,O,O,X,X,O,O
TSZLIOJ,O,O,X,O,O,O
TSZLJIO,O,O,X,X,O,O
TSZLJOI,O,O,O,X,O,O
TSZLOIJ,O,O,X,O,O,O
TSZLOJI,O,O,X,O,O,O
TSZJILO,O,O,X,X,O,O
TSZJIOL,O,O,X,O,O,O
TSZJLIO,O,O,X,X,O,O
TSZJLOI,O,O,O,X,O,O
TSZJOIL,O,O,O,O,O,O
TSZJOLI,O,O,O,O,O,O
TSZOILJ,O,O,X,O,O,X
TSZOIJL,O,O,X,O,O,X
TSZOLIJ,O,O,X,O,O,O
TSZOLJI,O,O,X,O,O,O
TSZOJIL,O,O,X,O,O,O
TSZOJLI,O,O,X,O,O,O
TSOILJZ,O,O,X,X,O,X
TSOILZJ,O,O,X,X,O,X
TSOIJLZ,O,O,X,X,O,X
TSOIJZL,O,O,X,O,O,X
TSOIZLJ,O,O,X,O,O,X
TSOIZJL,O,O,X,O,O,X
TSOLIJZ,O,O,X,X,O,X
TSOLIZJ,O,O,X,X,O,O
TSOLJIZ,O,O,X,X,O,X
TSOLJZI,O,O,X,O,O,O
TSOLZIJ,O,O,X,O,O,O
TSOLZJI,O,O,X,O,O,O
TSOJILZ,O,O,X,X,O,X
TSOJIZL,O,O,X,O,O,X
TSOJLIZ,O,O,X,X,O,X
TSOJLZI,O,O,X,O,O,X
TSOJZIL,O,O,X,O,O,X
TSOJZLI,O,O,X,O,O,X
TSOZILJ,O,O,X,O,O,X
TSOZIJL,O,O,X,O,O,X
TSOZLIJ,O,O,X,O,O,O
TSOZLJI,O,O,X,O,O,O
TSOZJIL,O,O,X,O,O,O
TSOZJLI,O,O,X,O,O,O
TZILJSO,O,O,X,X,X,X
TZILJOS,X,O,O,X,X,X
TZILSJO,O,O,X,X,X,X
TZILSOJ,O,O,X,O,X,X
TZILOJS,X,O,X,O,X,X
TZILOSJ,X,O,X,O,X,X
TZIJLSO,O,O,X,X,X,X
TZIJLOS,X,O,O,X,X,X
TZIJSLO,O,O,X,X,X,X
TZIJSOL,O,O,X,O,X,X
TZIJOLS,O,X,O,O,X,X
TZIJOSL,O,X,O,O,X,X
TZISLJO,O,O,X,X,X,X
TZISLOJ,O,O,X,O,X,X
TZISJLO,O,O,X,X,X,X
TZISJOL,O,O,X,O,X,X
TZISOLJ,O,O,X,O,X,X
TZISOJL,O,O,X,O,X,X
TZIOLJS,O,X,X,O,X,X
TZIOLSJ,O,X,X,O,X,X
TZIOJLS,O,X,X,O,X,X
TZIOJSL,O,X,X,O,X,X
TZIOSLJ,O,X,X,O,X,X
TZIOSJL,O,X,X,O,X,X
TZLIJSO,O,O,X,X,X,X
TZLIJOS,X,O,O,X,X,X
TZLISJO,O,O,X,X,X,X
TZLISOJ,O,O,X,O,X,X
TZLIOJS,X,O,X,O,X,X
TZLIOSJ,X,O,X,O,X,X
TZLJISO,O,O,X,X,X,O
TZLJIOS,X,O,O,X,X,O
TZLJSIO,O,O,X,X,X,O
TZLJSOI,O,O,O,X,X,O
TZLJOIS,X,O,O,X,X,O
TZLJOSI,X,O,O,X,X,O
TZLSIJO,O,O,X,X,X,O
TZLSIOJ,O,O,X,O,X,O
TZLSJIO,O,O,X,X,X,O
TZLSJOI,O,O,O,X,X,O
TZLSOIJ,O,O,X,O,X,O
TZLSOJI,O,O,X,O,X,O
TZLOIJS,X,O,O,O,X,X
TZLOISJ,X,O,X,O,X,X
TZLOJIS,X,O,O,O,X,O
TZLOJSI,X,O,O,O,X,O
TZLOSIJ,X,O,X,O,X,O
TZLOSJI,X,O,X,O,X,O
TZJILSO,O,O,X,X,X,O
TZJILOS,X,O,O,X,X,O
TZJISLO,O,O,X,X,X,O
TZJISOL,O,O,X,O,X,O
TZJIOLS,O,X,O,O,X,X
TZJIOSL,O,X,O,O,X,X
TZJLISO,O,O,X,X,X,O
TZJLIOS,X,O,O,X,X,O
TZJLSIO,O,O,X,X,X,O
TZJLSOI,O,O,O,X,X,O
TZJLOIS,X,O,O,X,X,O
TZJLOSI,X,O,O,X,X,O
TZJSILO,O,O,X,X,X,O
TZJSIOL,O,O,X,O,X,O
TZJSLIO,O,O,X,X,X,O
TZJSLOI,O,O,O,X,X,O
TZJSOIL,O,O,O,O,X,O
TZJSOLI,O,O,O,O,X,O
TZJOILS,O,X,O,O,X,X
TZJOISL,O,X,O,O,X,X
TZJOLIS,O,X,O,O,X,X
TZJOLSI,O,X,O,O,X,X
TZJOSIL,O,X,O,O,X,X
TZJOSLI,O,X,O,O,X,X
TZSILJO,O,O,X,X,X,O
TZSILOJ,O,O,X,O,X,O
TZSIJLO,O,O,X,X,X,O
TZSIJOL,O,O,X,O,X,O
TZSIOLJ,O,O,X,O,X,X
TZSIOJL,O,O,X,O,X,X
TZSLIJO,O,O,X,X,X,O
TZSLIOJ,O,O,X,O,X,O
TZSLJIO,O,O,X,X,X,O
TZSLJOI,O,O,O,X,X,O
TZSLOIJ,O,O,X,O,X,O
TZSLOJI,O,O,X,O,X,O
TZSJILO,O,O,X,X,X,O
TZSJIOL,O,O,X,O,X,O
TZSJLIO,O,O,X,X,X,O
TZSJLOI,O,O,O,X,X,O
TZSJOIL,O,O,O,O,X,O
TZSJOLI,O,O,O,O,X,O
TZSOILJ,O,O,X,O,X,X
TZSOIJL,O,O,X,O,X,X
TZSOLIJ,O,O,X,O,X,O
TZSOLJI,O,O,X,O,X,O
TZSOJIL,O,O,X,O,X,O
TZSOJLI,O,O,X,O,X,O
TZOILJS,O,X,O,O,X,X
TZOILSJ,O,X,X,O,X,X
TZOIJLS,O,X,O,O,X,X
TZOIJSL,O,X,O,O,X,X
TZOISLJ,O,X,X,O,X,X
TZOISJL,O,X,X,O,X,X
TZOLIJS,O,X,O,O,X,X
TZOLISJ,O,X,X,O,X,X
TZOLJIS,O,X,O,O,X,X
TZOLJSI,O,X,O,O,X,X
TZOLSIJ,O,X,X,O,X,X
TZOLSJI,O,X,X,O,X,X
TZOJILS,O,X,O,O,X,X
TZOJISL,O,X,O,O,X,X
TZOJLIS,O,X,O,O,X,X
TZOJLSI,O,X,O,O,X,X
TZOJSIL,O,X,O,O,X,X
TZOJSLI,O,X,O,O,X,X
TZOSILJ,O,X,X,O,X,X
TZOSIJL,O,X,X,O,X,X
TZOSLIJ,O,X,X,O,X,X
TZOSLJI,O,X,X,O,X,X
TZOSJIL,O,X,X,O,X,X
TZOSJLI,O,X,X,O,X,X
TOILJSZ,X,O,O,X,O,X
TOILJZS,X,O,O,O,O,X
TOILSJZ,O,O,X,X,O,X
TOILSZJ,O,O,X,X,O,X
TOILZJS,O,O,O,O,O,X
TOILZSJ,O,O,X,O,O,X
TOIJLSZ,X,O,O,X,O,X
TOIJLZS,X,O,O,O,O,X
TOIJSLZ,X,O,O,X,O,X
TOIJSZL,X,O,O,O,O,X
TOIJZLS,X,X,O,O,X,X
TOIJZSL,X,X,O,O,X,X
TOISLJZ,O,O,X,X,O,X
TOISLZJ,O,O,X,X,O,X
TOISJLZ,O,O,X,X,O,X
TOISJZL,O,O,X,O,O,X
TOISZLJ,O,O,X,O,O,X
TOISZJL,O,O,X,O,O,X
TOIZLJS,O,X,O,O,X,X
TOIZLSJ,O,X,X,O,X,X
TOIZJLS,O,X,O,O,X,X
TOIZJSL,O,X,O,O,X,X
TOIZSLJ,O,X,X,O,X,X
TOIZSJL,O,X,X,O,X,X
TOLIJSZ,X,O,O,X,O,X
TOLIJZS,X,O,O,O,O,X
TOLISJZ,O,O,X,X,O,X
TOLISZJ,O,O,X,X,O,X
TOLIZJS,O,O,O,O,O,X
TOLIZSJ,O,O,X,O,O,X
TOLJISZ,X,O,O,X,O,X
TOLJIZS,X,O,O,O,O,X
TOLJSIZ,X,O,O,X,O,X
TOLJSZI,X,O,O,O,O,X
TOLJZIS,X,O,O,O,O,X
TOLJZSI,X,O,O,O,O,X
TOLSIJZ,O,O,X,X,O,X
TOLSIZJ,O,O,X,X,O,X
TOLSJIZ,O,O,X,X,O,X
TOLSJZI,O,O,X,O,O,X
TOLSZIJ,O,O,X,O,O,X
TOLSZJI,O,O,X,O,O,X
TOLZIJS,O,O,O,O,O,X
TOLZISJ,O,O,X,O,O,X
TOLZJIS,O,O,O,O,O,X
TOLZJSI,O,O,O,O,O,X
TOLZSIJ,O,O,X,O,O,X
TOLZSJI,O,O,X,O,O,X
TOJILSZ,X,O,O,X,O,X
TOJILZS,X,O,O,O,O,X
TOJISLZ,X,O,O,X,O,X
TOJISZL,X,O,O,O,O,X
TOJIZLS,X,X,O,O,X,X
TOJIZSL,X,X,O,O,X,X
TOJLISZ,X,O,O,X,O,X
TOJLIZS,X,O,O,O,O,X
TOJLSIZ,X,O,O,X,O,X
TOJLSZI,X,O,O,O,O,X
TOJLZIS,X,O,O,O,O,X
TOJLZSI,X,O,O,O,O,X
TOJSILZ,X,O,O,X,O,X
TOJSIZL,X,O,O,O,O,X
TOJSLIZ,X,O,O,X,O,X
TOJSLZI,X,O,O,O,O,X
TOJSZIL,X,O,O,O,O,X
TOJSZLI,X,O,O,O,O,X
TOJZILS,X,X,O,O,X,X
TOJZISL,X,X,O,O,X,X
TOJZLIS,X,X,O,O,X,X
TOJZLSI,X,X,O,O,X,X
TOJZSIL,X,X,O,O,X,X
TOJZSLI,X,X,O,O,X,X
