sequence,v115@OhA8AeA8GeC8AeE8BeB8JeZEJvhFCgBemBFjBXlBzm?BUsB,v115@OhA8AeA8GeC8AeE8BeB8JeZEJvhFukB3gBFjByqBzm?BUsB,v115@OhA8AeA8GeC8AeE8BeB8JeZEJvhFCgBemBzhBFjBXl?BUsB,v115@OhA8AeA8GeC8AeE8BeB8JeZEJvhFukB3gBzhBFjByq?BUsB
ITLSZOJ,X,X,X,O
ITLSOJZ,X,O,X,X
ITLSOZJ,X,X,X,X
ITLZJSO,X,X,X,O
ITLZJOS,X,X,X,O
ITLZSJO,X,X,X,O
ITLZSOJ,X,X,X,O
ITLZOJS,X,X,X,O
ITLZOSJ,X,X,X,O
ITLOJSZ,X,O,X,X
ITLOJZS,X,X,X,X
ITLOSJZ,X,O,X,X
ITLOSZJ,X,X,X,X
ITLOZJS,X,X,X,X
ITLOZSJ,X,X,X,X
ITJLSZO,X,X,X,O
ITJLSOZ,X,O,X,X
ITJLZSO,X,X,X,O
ITJLZOS,X,X,X,O
ITJLOSZ,X,O,X,X
ITJLOZS,X,X,X,X
ITJSLZO,X,X,O,X
ITJSLOZ,O,X,X,X
ITJSZLO,X,X,O,X
ITJSZOL,X,X,O,X
ITJSOLZ,O,X,X,X
ITJSOZL,X,X,X,X
ITJZLSO,X,X,X,X
ITJZLOS,X,X,X,X
ITJZSLO,X,X,O,X
ITJZSOL,X,X,O,X
ITJZOLS,X,X,X,X
ITJZOSL,X,X,O,X
ITJOLSZ,X,O,X,X
ITJOLZS,X,X,X,X
ITJOSLZ,O,X,X,X
ITJOSZL,X,X,X,X
ITJOZLS,X,X,X,X
ITJOZSL,X,X,X,X
ITSLJZO,X,X,O,X
ITSLJOZ,O,X,X,X
ITSLZJO,X,X,X,X
ITSLZOJ,X,X,X,X
ITSLOJZ,O,X,X,X
ITSLOZJ,X,X,X,X
ITSJLZO,X,X,O,X
ITSJLOZ,O,X,X,X
ITSJZLO,X,X,O,X
ITSJZOL,X,X,O,X
ITSJOLZ,O,X,X,X
ITSJOZL,X,X,X,X
ITSZLJO,X,X,X,X
