sequence,v115@HhA8IeC8FeF8CeB8Jex/IvhFihB3iBcoBGlB9rBTsB,v115@HhA8IeC8FeF8CeB8Jex/IvhFihBcnBTjBGlB9rB3sB,v115@HhA8IeC8FeF8CeB8Jex/IvhFNmB3iBcoBGlBzmBSxB,v115@HhA8IeC8FeF8CeB8Je0/IvhF6lBNmBTjBRsBXsBGsB,v115@HhA8IeC8FeF8CeB8Je0/IvhFxgBdnBCjBzlBXoBWxB,v115@HhA8IeC8FeF8CeB8Jex/IvhFNmBUiBGlBXoBzrBCtB
IOLTSJZ,X,X,X,O,X,X
IOLTSZJ,O,O,X,O,X,X
IOLTZJS,O,X,X,O,X,X
IOLTZSJ,O,X,X,O,X,X
IOLJTSZ,O,O,X,O,O,O
IOLJTZS,O,X,O,O,O,O
IOLJSTZ,X,O,X,X,O,O
IOLJSZT,X,O,X,X,O,X
IOLJZTS,O,X,O,O,O,X
IOLJZST,O,X,O,X,O,X
IOLSTJZ,X,X,X,O,X,X
IOLSTZJ,X,O,X,O,X,X
IOLSJTZ,X,O,X,X,O,O
IOLSJZT,X,O,X,X,O,X
IOLSZTJ,X,O,X,O,X,X
IOLSZJT,X,O,X,X,O,X
IOLZTJS,O,X,X,O,X,X
IOLZTSJ,O,X,X,O,X,X
IOLZJTS,O,X,O,O,O,X
IOLZJST,O,X,O,X,O,X
IOLZSTJ,O,X,X,O,X,X
IOLZSJT,O,X,O,X,O,X
IOJTLSZ,O,O,X,O,O,O
IOJTLZS,O,X,O,O,O,O
IOJTSLZ,O,O,X,X,O,O
IOJTSZL,O,O,X,X,O,O
IOJTZLS,O,X,O,O,O,O
IOJTZSL,O,O,O,X,O,O
IOJLTSZ,O,O,X,O,O,O
IOJLTZS,O,X,O,O,O,O
IOJLSTZ,X,O,X,X,O,O
IOJLSZT,X,O,X,X,O,X
IOJLZTS,O,X,O,O,O,X
IOJLZST,O,X,O,X,O,X
IOJSTLZ,O,O,X,X,O,O
IOJSTZL,O,O,X,X,O,O
IOJSLTZ,X,O,X,X,O,O
IOJSLZT,X,O,X,X,O,X
IOJSZTL,O,O,X,X,O,O
IOJSZLT,O,O,X,X,O,X
IOJZTLS,O,X,O,O,O,O
IOJZTSL,O,O,O,X,O,O
IOJZLTS,O,X,O,O,O,X
IOJZLST,O,X,O,X,O,X
IOJZSTL,O,O,O,X,O,O
IOJZSLT,O,O,O,X,O,X
IOSTLJZ,X,X,X,O,X,X
IOSTLZJ,O,O,X,O,X,X
IOSTJLZ,X,O,X,X,O,O
IOSTJZL,X,O,X,X,O,O
IOSTZLJ,O,O,X,O,X,X
IOSTZJL,O,O,X,X,O,O
IOSLTJZ,X,X,X,O,X,X
IOSLTZJ,X,O,X,O,X,X
IOSLJTZ,X,O,X,X,O,O
IOSLJZT,X,O,X,X,O,X
IOSLZTJ,X,O,X,O,X,X
IOSLZJT,X,O,X,X,O,X
IOSJTLZ,O,O,X,X,O,O
IOSJTZL,O,O,X,X,O,O
IOSJLTZ,X,O,X,X,O,O
IOSJLZT,X,O,X,X,O,X
IOSJZTL,O,O,X,X,O,O
IOSJZLT,O,O,X,X,O,X
IOSZTLJ,O,O,X,O,X,X
IOSZTJL,O,O,X,X,O,O
IOSZLTJ,O,O,X,O,X,X
IOSZLJT,O,O,X,X,O,X
IOSZJTL,O,O,X,X,O,O
IOSZJLT,O,O,X,X,O,X
IOZTLJS,O,X,X,O,X,X
IOZTLSJ,O,X,X,O,X,X
IOZTJLS,O,X,X,O,O,O
IOZTJSL,O,X,X,X,O,O
IOZTSLJ,O,O,X,O,X,X
IOZTSJL,O,O,X,X,O,O
IOZLTJS,O,X,X,O,X,X
IOZLTSJ,O,X,X,O,X,X
IOZLJTS,O,X,O,O,O,X
IOZLJST,O,X,O,X,O,X
IOZLSTJ,O,X,X,O,X,X
IOZLSJT,O,X,O,X,O,X
IOZJTLS,O,X,O,O,O,O
IOZJTSL,O,O,O,X,O,O
IOZJLTS,O,X,O,O,O,X
IOZJLST,O,X,O,X,O,X
IOZJSTL,O,O,O,X,O,O
IOZJSLT,O,O,O,X,O,X
IOZSTLJ,O,O,X,O,X,X
IOZSTJL,O,O,X,X,O,O
IOZSLTJ,O,O,X,O,X,X
IOZSLJT,O,O,O,X,O,X
IOZSJTL,O,O,O,X,O,O
IOZSJLT,O,O,O,X,O,X
LTIJSZO,O,X,O,O,X,X
LTIJSOZ,O,X,X,O,X,X
LTIJZSO,O,X,O,O,X,X
LTIJZOS,O,X,O,O,X,X
LTIJOSZ,O,X,X,O,X,X
LTIJOZS,O,X,O,O,X,X
LTISJZO,X,X,X,O,X,X
LTISJOZ,X,X,X,O,X,X
LTISZJO,O,O,X,O,X,X
LTISZOJ,O,O,X,O,X,X
LTISOJZ,X,X,X,O,X,X
LTISOZJ,O,O,X,O,X,X
LTIZJSO,O,X,O,O,X,X
LTIZJOS,O,X,O,O,X,X
LTIZSJO,O,X,O,O,X,X
LTIZSOJ,O,X,X,O,X,X
LTIZOJS,O,X,X,O,X,X
LTIZOSJ,O,X,X,O,X,X
LTIOJSZ,O,X,X,O,X,X
LTIOJZS,O,X,X,O,X,X
LTIOSJZ,X,X,X,O,X,X
LTIOSZJ,O,O,X,O,X,X
LTIOZJS,O,X,X,O,X,X
LTIOZSJ,O,X,X,O,X,X
LTJISZO,O,O,O,O,X,X
LTJISOZ,O,O,X,O,X,X
LTJIZSO,O,X,O,O,X,X
LTJIZOS,O,X,O,O,X,X
LTJIOSZ,O,O,X,O,X,O
LTJIOZS,O,X,O,O,X,O
LTJSIZO,O,O,O,X,X,X
LTJSIOZ,O,O,X,X,X,X
LTJSZIO,O,O,O,X,X,X
LTJSZOI,O,O,O,X,X,X
LTJSOIZ,O,O,X,X,X,X
LTJSOZI,O,O,X,X,X,X
LTJZISO,O,X,O,O,X,X
LTJZIOS,O,X,O,O,X,X
LTJZSIO,O,X,O,X,X,X
LTJZSOI,O,X,O,X,X,X
LTJZOIS,O,X,O,O,X,X
LTJZOSI,O,X,O,X,X,X
LTJOISZ,O,O,X,O,X,O
LTJOIZS,O,X,O,O,X,O
LTJOSIZ,O,O,X,X,X,O
LTJOSZI,O,O,X,X,X,O
LTJOZIS,O,X,O,O,X,O
LTJOZSI,O,X,O,X,X,O
LTSIJZO,X,X,X,O,X,X
LTSIJOZ,X,X,X,O,X,X
LTSIZJO,O,O,X,O,X,X
LTSIZOJ,O,O,X,O,X,X
LTSIOJZ,X,X,X,O,X,X
LTSIOZJ,O,O,X,O,X,X
LTSJIZO,O,O,O,X,X,X
LTSJIOZ,O,O,X,X,X,X
LTSJZIO,O,O,O,X,X,X
LTSJZOI,O,O,O,X,X,X
LTSJOIZ,O,O,X,X,X,X
LTSJOZI,O,O,X,X,X,X
LTSZIJO,O,O,O,O,X,X
LTSZIOJ,O,O,X,O,X,X
LTSZJIO,O,O,O,X,X,X
LTSZJOI,O,O,O,X,X,X
LTSZOIJ,O,O,X,O,X,X
LTSZOJI,O,O,O,X,X,X
LTSOIJZ,X,X,X,O,X,X
LTSOIZJ,O,O,X,O,X,X
LTSOJIZ,O,O,X,X,X,X
LTSOJZI,O,O,X,X,X,X
LTSOZIJ,O,O,X,O,X,X
LTSOZJI,O,O,X,X,X,X
LTZIJSO,O,X,O,O,X,X
LTZIJOS,O,X,O,O,X,X
LTZISJO,O,X,O,O,X,X
LTZISOJ,O,X,X,O,X,X
LTZIOJS,O,X,X,O,X,X
LTZIOSJ,O,X,X,O,X,X
LTZJISO,O,X,O,O,X,X
LTZJIOS,O,X,O,O,X,X
LTZJSIO,O,X,O,X,X,X
LTZJSOI,O,X,O,X,X,X
LTZJOIS,O,X,O,O,X,X
LTZJOSI,O,X,O,X,X,X
LTZSIJO,O,X,O,O,X,X
LTZSIOJ,O,X,X,O,X,X
LTZSJIO,O,X,O,X,X,X
LTZSJOI,O,X,O,X,X,X
LTZSOIJ,O,X,X,O,X,X
LTZSOJI,O,X,O,X,X,X
LTZOIJS,O,X,X,O,X,X
LTZOISJ,O,X,X,O,X,X
LTZOJIS,O,X,O,O,X,X
LTZOJSI,O,X,O,X,X,X
LTZOSIJ,O,X,X,O,X,X
LTZOSJI,O,X,O,X,X,X
LTOIJSZ,O,X,X,O,X,X
LTOIJZS,O,X,X,O,X,X
LTOISJZ,X,X,X,O,X,X
LTOISZJ,O,O,X,O,X,X
LTOIZJS,O,X,X,O,X,X
LTOIZSJ,O,X,X,O,X,X
LTOJISZ,O,O,X,O,X,O
LTOJIZS,O,X,O,O,X,O
LTOJSIZ,O,O,X,X,X,O
LTOJSZI,O,O,X,X,X,O
LTOJZIS,O,X,O,O,X,O
LTOJZSI,O,X,O,X,X,O
LTOSIJZ,X,X,X,O,X,X
LTOSIZJ,O,O,X,O,X,X
LTOSJIZ,O,O,X,X,X,O
LTOSJZI,O,O,X,X,X,O
LTOSZIJ,O,O,X,O,X,X
LTOSZJI,O,O,X,X,X,O
LTOZIJS,O,X,X,O,X,X
LTOZISJ,O,X,X,O,X,X
LTOZJIS,O,X,O,O,X,O
LTOZJSI,O,X,O,X,X,O
LTOZSIJ,O,X,X,O,X,X
LTOZSJI,O,X,O,X,X,O
LITJSZO,X,X,O,O,X,X
LITJSOZ,X,X,X,O,X,X
LITJZSO,O,X,O,O,X,X
LITJZOS,X,X,O,O,X,X
LITJOSZ,X,X,X,O,X,X
LITJOZS,O,X,O,O,X,X
LITSJZO,X,X,X,O,X,X
LITSJOZ,X,X,X,O,X,X
LITSZJO,O,O,X,O,X,X
LITSZOJ,O,O,X,O,X,X
LITSOJZ,X,X,X,O,X,X
LITSOZJ,O,O,X,O,X,X
LITZJSO,O,X,O,O,X,X
LITZJOS,X,X,O,O,X,X
LITZSJO,O,X,O,O,X,X
LITZSOJ,O,X,X,O,X,X
LITZOJS,O,X,X,O,X,X
LITZOSJ,O,X,X,O,X,X
LITOJSZ,X,X,X,O,X,X
LITOJZS,O,X,X,O,X,X
LITOSJZ,X,X,X,O,X,X
LITOSZJ,O,O,X,O,X,X
LITOZJS,O,X,X,O,X,X
LITOZSJ,O,X,X,O,X,X
LIJTSZO,O,O,O,O,X,X
LIJTSOZ,O,O,X,O,X,X
LIJTZSO,O,X,O,O,X,X
LIJTZOS,O,X,O,O,X,X
LIJTOSZ,O,O,X,O,X,O
LIJTOZS,O,X,O,O,X,O
LIJSTZO,X,O,O,X,X,X
LIJSTOZ,X,O,X,X,X,X
LIJSZTO,X,O,O,X,X,X
LIJSZOT,X,O,O,X,X,X
LIJSOTZ,X,O,X,X,X,O
LIJSOZT,X,O,X,X,X,X
LIJZTSO,O,X,O,O,X,X
LIJZTOS,O,X,O,O,X,X
LIJZSTO,O,X,O,X,X,X
LIJZSOT,X,X,O,X,X,X
LIJZOTS,O,X,O,O,X,X
LIJZOST,O,X,O,X,X,X
LIJOTSZ,O,O,X,O,X,O
LIJOTZS,O,X,O,O,X,O
LIJOSTZ,X,O,X,X,X,O
LIJOSZT,X,O,X,X,X,X
LIJOZTS,O,X,O,O,X,X
LIJOZST,O,X,O,X,X,X
LISTJZO,X,X,X,O,X,X
LISTJOZ,X,X,X,O,X,X
LISTZJO,X,O,X,O,X,X
LISTZOJ,X,O,X,O,X,X
LISTOJZ,X,X,X,O,X,X
LISTOZJ,X,O,X,O,X,X
LISJTZO,X,O,O,X,X,X
LISJTOZ,X,O,X,X,X,X
LISJZTO,X,O,O,X,X,X
LISJZOT,X,O,O,X,X,X
LISJOTZ,X,O,X,X,X,O
LISJOZT,X,O,X,X,X,X
LISZTJO,X,O,O,O,X,X
LISZTOJ,X,O,X,O,X,X
LISZJTO,X,O,O,X,X,X
LISZJOT,X,O,O,X,X,X
LISZOTJ,X,O,X,O,X,X
LISZOJT,X,O,O,X,X,X
LISOTJZ,X,X,X,O,X,X
LISOTZJ,X,O,X,O,X,X
LISOJTZ,X,O,X,X,X,O
LISOJZT,X,O,X,X,X,X
LISOZTJ,X,O,X,O,X,X
LISOZJT,X,O,X,X,X,X
LIZTJSO,O,X,O,O,X,X
LIZTJOS,X,X,O,O,X,X
LIZTSJO,O,X,O,O,X,X
LIZTSOJ,O,X,X,O,X,X
LIZTOJS,O,X,X,O,X,X
LIZTOSJ,O,X,X,O,X,X
LIZJTSO,O,X,O,O,X,X
LIZJTOS,O,X,O,O,X,X
LIZJSTO,O,X,O,X,X,X
LIZJSOT,X,X,O,X,X,X
LIZJOTS,O,X,O,O,X,X
LIZJOST,O,X,O,X,X,X
LIZSTJO,O,X,O,O,X,X
LIZSTOJ,O,X,X,O,X,X
LIZSJTO,O,X,O,X,X,X
LIZSJOT,X,X,O,X,X,X
LIZSOTJ,X,X,X,O,X,X
LIZSOJT,X,X,O,X,X,X
LIZOTJS,O,X,X,O,X,X
LIZOTSJ,O,X,X,O,X,X
LIZOJTS,O,X,O,O,X,X
LIZOJST,O,X,O,X,X,X
LIZOSTJ,O,X,X,O,X,X
LIZOSJT,O,X,O,X,X,X
LIOTJSZ,X,X,X,O,X,X
LIOTJZS,O,X,X,O,X,X
LIOTSJZ,X,X,X,O,X,X
LIOTSZJ,O,O,X,O,X,X
LIOTZJS,O,X,X,O,X,X
LIOTZSJ,O,X,X,O,X,X
LIOJTSZ,O,O,X,O,X,O
LIOJTZS,O,X,O,O,X,O
LIOJSTZ,X,O,X,X,X,O
LIOJSZT,X,O,X,X,X,X
LIOJZTS,O,X,O,O,X,X
LIOJZST,O,X,O,X,X,X
LIOSTJZ,X,X,X,O,X,X
LIOSTZJ,X,O,X,O,X,X
LIOSJTZ,X,O,X,X,X,O
LIOSJZT,X,O,X,X,X,X
LIOSZTJ,X,O,X,O,X,X
LIOSZJT,X,O,X,X,X,X
LIOZTJS,O,X,X,O,X,X
LIOZTSJ,O,X,X,O,X,X
LIOZJTS,O,X,O,O,X,X
LIOZJST,O,X,O,X,X,X
LIOZSTJ,O,X,X,O,X,X
LIOZSJT,O,X,O,X,X,X
LJTISZO,O,O,O,O,O,X
LJTISOZ,O,O,X,O,O,X
LJTIZSO,O,X,O,O,O,X
LJTIZOS,O,X,O,O,X,X
LJTIOSZ,O,O,X,O,X,O
LJTIOZS,O,X,O,O,X,O
LJTSIZO,O,O,O,X,O,X
LJTSIOZ,O,O,X,X,O,X
LJTSZIO,O,O,O,X,O,X
LJTSZOI,O,O,O,X,O,X
LJTSOIZ,O,O,X,X,O,X
LJTSOZI,O,O,X,X,O,X
LJTZISO,O,X,O,O,O,X
LJTZIOS,O,X,O,O,X,X
LJTZSIO,O,X,O,X,O,X
LJTZSOI,O,X,O,X,O,X
LJTZOIS,O,X,O,O,O,X
LJTZOSI,O,X,O,X,O,X
LJTOISZ,O,O,X,O,O,O
LJTOIZS,O,X,O,O,O,O
LJTOSIZ,O,O,X,X,O,O
LJTOSZI,O,O,X,X,O,O
LJTOZIS,O,X,O,O,O,O
LJTOZSI,O,X,O,X,O,O
LJITSZO,O,O,O,O,X,X
LJITSOZ,O,O,X,O,X,X
LJITZSO,O,X,O,O,X,X
LJITZOS,O,X,O,O,X,X
LJITOSZ,O,O,X,O,X,O
LJITOZS,O,X,O,O,X,O
LJISTZO,X,O,O,X,X,X
LJISTOZ,X,O,X,X,X,X
LJISZTO,X,O,O,X,X,X
LJISZOT,X,O,O,X,X,X
LJISOTZ,X,O,X,X,X,O
LJISOZT,X,O,X,X,X,X
LJIZTSO,O,X,O,O,X,X
LJIZTOS,O,X,O,O,X,X
LJIZSTO,O,X,O,X,X,X
LJIZSOT,X,X,O,X,X,X
LJIZOTS,O,X,O,O,X,X
LJIZOST,O,X,O,X,X,X
LJIOTSZ,O,O,X,O,X,O
LJIOTZS,O,X,O,O,X,O
LJIOSTZ,X,O,X,X,X,O
LJIOSZT,X,O,X,X,X,X
LJIOZTS,O,X,O,O,X,X
LJIOZST,O,X,O,X,X,X
LJSTIZO,X,O,O,X,O,X
LJSTIOZ,X,O,X,X,O,X
LJSTZIO,X,O,O,X,O,X
LJSTZOI,X,O,O,X,O,X
LJSTOIZ,X,O,X,X,O,X
LJSTOZI,X,O,X,X,O,X
LJSITZO,X,O,O,X,O,X
LJSITOZ,X,O,X,X,O,X
LJSIZTO,X,O,O,X,O,X
LJSIZOT,X,O,O,X,O,X
LJSIOTZ,X,O,X,X,O,O
LJSIOZT,X,O,X,X,O,X
LJSZTIO,X,O,O,X,O,X
LJSZTOI,X,O,O,X,O,X
LJSZITO,X,O,O,X,O,X
LJSZIOT,X,O,O,X,O,X
LJSZOTI,X,O,O,X,O,X
LJSZOIT,X,O,O,X,O,X
LJSOTIZ,X,O,X,X,O,O
LJSOTZI,X,O,X,X,O,O
LJSOITZ,X,O,X,X,O,O
LJSOIZT,X,O,X,X,O,X
LJSOZTI,X,O,X,X,O,X
LJSOZIT,X,O,X,X,O,X
LJZTISO,O,X,O,O,O,X
LJZTIOS,O,X,O,O,X,X
LJZTSIO,O,X,O,X,O,X
LJZTSOI,O,X,O,X,O,X
LJZTOIS,O,X,O,O,O,X
LJZTOSI,O,X,O,X,O,X
LJZITSO,O,X,O,O,O,X
LJZITOS,O,X,O,O,X,X
LJZISTO,O,X,O,X,O,X
LJZISOT,X,X,O,X,X,X
LJZIOTS,O,X,O,O,X,X
LJZIOST,O,X,O,X,X,X
LJZSTIO,O,X,O,X,O,X
LJZSTOI,O,X,O,X,O,X
LJZSITO,O,X,O,X,O,X
LJZSIOT,X,X,O,X,O,X
LJZSOTI,X,X,O,X,O,X
LJZSOIT,X,X,O,X,O,X
LJZOTIS,O,X,O,O,O,X
LJZOTSI,O,X,O,X,O,X
LJZOITS,O,X,O,O,O,X
LJZOIST,O,X,O,X,O,X
LJZOSTI,O,X,O,X,O,X
LJZOSIT,O,X,O,X,O,X
LJOTISZ,O,O,X,O,O,O
LJOTIZS,O,X,O,O,O,O
LJOTSIZ,O,O,X,X,O,O
LJOTSZI,O,O,X,X,O,O
LJOTZIS,O,X,O,O,O,O
LJOTZSI,O,X,O,X,O,O
LJOITSZ,O,O,X,O,O,O
LJOITZS,O,X,O,O,O,O
LJOISTZ,X,O,X,X,O,O
LJOISZT,X,O,X,X,O,X
LJOIZTS,O,X,O,O,O,X
LJOIZST,O,X,O,X,O,X
LJOSTIZ,X,O,X,X,O,O
LJOSTZI,X,O,X,X,O,O
LJOSITZ,X,O,X,X,O,O
LJOSIZT,X,O,X,X,O,X
LJOSZTI,X,O,X,X,O,X
LJOSZIT,X,O,X,X,O,X
LJOZTIS,O,X,O,O,O,X
LJOZTSI,O,X,O,X,O,X
LJOZITS,O,X,O,O,O,X
LJOZIST,O,X,O,X,O,X
LJOZSTI,O,X,O,X,O,X
LJOZSIT,O,X,O,X,O,X
LSTIJZO,X,X,X,O,X,X
LSTIJOZ,X,X,X,O,X,X
LSTIZJO,X,O,X,O,X,X
LSTIZOJ,X,O,X,O,X,X
LSTIOJZ,X,X,X,O,X,X
LSTIOZJ,X,O,X,O,X,X
LSTJIZO,X,O,O,X,X,X
LSTJIOZ,X,O,X,X,X,X
LSTJZIO,X,O,O,X,X,X
LSTJZOI,X,O,O,X,X,X
LSTJOIZ,X,O,X,X,X,X
LSTJOZI,X,O,X,X,X,X
LSTZIJO,X,O,O,O,X,X
LSTZIOJ,X,O,X,O,X,X
LSTZJIO,X,O,O,X,X,X
LSTZJOI,X,O,O,X,X,X
LSTZOIJ,X,O,X,O,X,X
LSTZOJI,X,O,O,X,O,X
LSTOIJZ,X,X,X,O,X,X
LSTOIZJ,X,O,X,O,X,X
LSTOJIZ,X,O,X,X,O,X
LSTOJZI,X,O,X,X,O,X
LSTOZIJ,X,O,X,O,X,X
LSTOZJI,X,O,X,X,O,X
LSITJZO,X,X,X,O,X,X
LSITJOZ,X,X,X,O,X,X
LSITZJO,X,O,X,O,X,X
LSITZOJ,X,O,X,O,X,X
LSITOJZ,X,X,X,O,X,X
LSITOZJ,X,O,X,O,X,X
LSIJTZO,X,O,O,X,X,X
LSIJTOZ,X,O,X,X,X,X
LSIJZTO,X,O,O,X,X,X
LSIJZOT,X,O,O,X,X,X
LSIJOTZ,X,O,X,X,X,O
LSIJOZT,X,O,X,X,X,X
LSIZTJO,X,O,O,O,X,X
LSIZTOJ,X,O,X,O,X,X
LSIZJTO,X,O,O,X,X,X
LSIZJOT,X,O,O,X,X,X
LSIZOTJ,X,O,X,O,X,X
LSIZOJT,X,O,O,X,O,X
LSIOTJZ,X,X,X,O,X,X
LSIOTZJ,X,O,X,O,X,X
LSIOJTZ,X,O,X,X,O,O
LSIOJZT,X,O,X,X,O,X
LSIOZTJ,X,O,X,O,X,X
LSIOZJT,X,O,X,X,O,X
LSJTIZO,X,O,O,X,X,X
LSJTIOZ,X,O,X,X,X,X
LSJTZIO,X,O,O,X,X,X
LSJTZOI,X,O,O,X,X,X
LSJTOIZ,X,O,X,X,X,X
LSJTOZI,X,O,X,X,X,X
LSJITZO,X,O,O,X,X,X
LSJITOZ,X,O,X,X,X,X
LSJIZTO,X,O,O,X,X,X
LSJIZOT,X,O,O,X,X,X
LSJIOTZ,X,O,X,X,X,O
LSJIOZT,X,O,X,X,X,X
LSJZTIO,X,O,O,X,X,X
LSJZTOI,X,O,O,X,X,X
LSJZITO,X,O,O,X,X,X
LSJZIOT,X,O,O,X,X,X
LSJZOTI,X,O,O,X,O,X
LSJZOIT,X,O,O,X,O,X
LSJOTIZ,X,O,X,X,O,O
LSJOTZI,X,O,X,X,O,O
LSJOITZ,X,O,X,X,O,O
LSJOIZT,X,O,X,X,O,X
LSJOZTI,X,O,X,X,O,X
LSJOZIT,X,O,X,X,O,X
LSZTIJO,X,O,O,O,X,X
LSZTIOJ,X,O,X,O,X,X
LSZTJIO,X,O,O,X,X,X
LSZTJOI,X,O,O,X,X,X
LSZTOIJ,X,O,X,O,X,X
LSZTOJI,X,O,O,X,O,X
LSZITJO,X,O,O,O,X,X
LSZITOJ,X,O,X,O,X,X
LSZIJTO,X,O,O,X,X,X
LSZIJOT,X,O,O,X,X,X
LSZIOTJ,X,O,X,O,X,X
LSZIOJT,X,O,O,X,O,X
LSZJTIO,X,O,O,X,X,X
LSZJTOI,X,O,O,X,X,X
LSZJITO,X,O,O,X,X,X
LSZJIOT,X,O,O,X,X,X
LSZJOTI,X,O,O,X,O,X
LSZJOIT,X,O,O,X,O,X
LSZOTIJ,X,O,X,O,X,X
LSZOTJI,X,O,O,X,O,X
LSZOITJ,X,O,X,O,X,X
LSZOIJT,X,O,O,X,O,X
LSZOJTI,X,O,O,X,O,X
LSZOJIT,X,O,O,X,O,X
LSOTIJZ,X,X,X,O,X,X
LSOTIZJ,X,O,X,O,X,X
LSOTJIZ,X,O,X,X,O,O
LSOTJZI,X,O,X,X,O,O
LSOTZIJ,X,O,X,O,X,X
LSOTZJI,X,O,X,X,O,O
LSOITJZ,X,X,X,O,X,X
LSOITZJ,X,O,X,O,X,X
LSOIJTZ,X,O,X,X,O,O
LSOIJZT,X,O,X,X,O,X
LSOIZTJ,X,O,X,O,X,X
LSOIZJT,X,O,X,X,O,X
LSOJTIZ,X,O,X,X,O,O
LSOJTZI,X,O,X,X,O,O
LSOJITZ,X,O,X,X,O,O
LSOJIZT,X,O,X,X,O,X
LSOJZTI,X,O,X,X,O,X
LSOJZIT,X,O,X,X,O,X
LSOZTIJ,X,O,X,O,X,X
LSOZTJI,X,O,X,X,O,O
LSOZITJ,X,O,X,O,X,X
LSOZIJT,X,O,X,X,O,X
LSOZJTI,X,O,X,X,O,X
LSOZJIT,X,O,X,X,O,X
LZTIJSO,O,X,O,O,X,X
LZTIJOS,O,X,O,O,X,X
LZTISJO,O,X,O,O,X,X
LZTISOJ,O,X,X,O,X,X
LZTIOJS,O,X,X,O,X,X
LZTIOSJ,O,X,X,O,X,X
LZTJISO,O,X,O,O,X,X
LZTJIOS,O,X,O,O,X,X
LZTJSIO,O,X,O,X,X,X
LZTJSOI,O,X,O,X,X,X
LZTJOIS,O,X,O,O,X,X
LZTJOSI,O,X,O,X,X,X
LZTSIJO,O,X,O,O,X,X
LZTSIOJ,O,X,X,O,X,X
LZTSJIO,O,X,O,X,X,X
LZTSJOI,O,X,O,X,X,X
LZTSOIJ,O,X,X,O,X,X
LZTSOJI,O,X,O,X,X,X
LZTOIJS,O,X,X,O,X,X
LZTOISJ,O,X,X,O,X,X
LZTOJIS,O,X,O,O,X,X
LZTOJSI,O,X,O,X,X,X
LZTOSIJ,O,X,X,O,X,X
LZTOSJI,O,X,O,X,X,X
LZITJSO,O,X,O,O,X,X
LZITJOS,X,X,O,O,X,X
LZITSJO,O,X,O,O,X,X
LZITSOJ,O,X,X,O,X,X
LZITOJS,O,X,X,O,X,X
LZITOSJ,O,X,X,O,X,X
LZIJTSO,O,X,O,O,O,X
LZIJTOS,O,X,O,O,X,X
LZIJSTO,O,X,O,X,O,X
LZIJSOT,X,X,O,X,X,X
LZIJOTS,O,X,O,O,X,X
LZIJOST,O,X,O,X,X,X
LZISTJO,O,X,O,O,X,X
LZISTOJ,O,X,X,O,X,X
LZISJTO,O,X,O,X,X,X
LZISJOT,X,X,O,X,X,X
LZISOTJ,X,X,X,O,X,X
LZISOJT,X,X,O,X,X,X
LZIOTJS,O,X,X,O,X,X
LZIOTSJ,O,X,X,O,X,X
LZIOJTS,O,X,O,O,O,X
LZIOJST,O,X,O,X,O,X
LZIOSTJ,O,X,X,O,X,X
LZIOSJT,O,X,O,X,O,X
LZJTISO,O,X,O,O,O,X
LZJTIOS,O,X,O,O,X,X
LZJTSIO,O,X,O,X,O,X
LZJTSOI,O,X,O,X,O,X
LZJTOIS,O,X,O,O,O,X
LZJTOSI,O,X,O,X,O,X
LZJITSO,O,X,O,O,O,X
LZJITOS,O,X,O,O,X,X
LZJISTO,O,X,O,X,O,X
LZJISOT,X,X,O,X,X,X
LZJIOTS,O,X,O,O,X,X
LZJIOST,O,X,O,X,X,X
LZJSTIO,O,X,O,X,O,X
LZJSTOI,O,X,O,X,O,X
LZJSITO,O,X,O,X,O,X
LZJSIOT,X,X,O,X,O,X
LZJSOTI,X,X,O,X,O,X
LZJSOIT,X,X,O,X,O,X
LZJOTIS,O,X,O,O,O,X
LZJOTSI,O,X,O,X,O,X
LZJOITS,O,X,O,O,O,X
LZJOIST,O,X,O,X,O,X
LZJOSTI,O,X,O,X,O,X
LZJOSIT,O,X,O,X,O,X
LZSTIJO,O,X,O,O,X,X
LZSTIOJ,O,X,X,O,X,X
LZSTJIO,O,X,O,X,X,X
LZSTJOI,O,X,O,X,X,X
LZSTOIJ,O,X,X,O,X,X
LZSTOJI,O,X,O,X,O,X
LZSITJO,O,X,O,O,X,X
LZSITOJ,O,X,X,O,X,X
LZSIJTO,O,X,O,X,X,X
LZSIJOT,X,X,O,X,X,X
LZSIOTJ,X,X,X,O,X,X
LZSIOJT,X,X,O,X,O,X
LZSJTIO,O,X,O,X,X,X
LZSJTOI,O,X,O,X,X,X
LZSJITO,O,X,O,X,X,X
LZSJIOT,X,X,O,X,X,X
LZSJOTI,X,X,O,X,O,X
LZSJOIT,X,X,O,X,O,X
LZSOTIJ,X,X,X,O,X,X
LZSOTJI,X,X,O,X,O,X
LZSOITJ,X,X,X,O,X,X
LZSOIJT,X,X,O,X,O,X
LZSOJTI,X,X,O,X,O,X
LZSOJIT,X,X,O,X,O,X
LZOTIJS,O,X,X,O,X,X
LZOTISJ,O,X,X,O,X,X
LZOTJIS,O,X,O,O,X,X
LZOTJSI,O,X,O,X,X,X
LZOTSIJ,O,X,X,O,X,X
LZOTSJI,O,X,O,X,X,X
LZOITJS,O,X,X,O,X,X
LZOITSJ,O,X,X,O,X,X
LZOIJTS,O,X,O,O,O,X
LZOIJST,O,X,O,X,O,X
LZOISTJ,O,X,X,O,X,X
LZOISJT,O,X,O,X,O,X
LZOJTIS,O,X,O,O,O,X
