sequence,v115@vhHT/IfnB0iBypBGtBxuBRxBFrB,v115@vhHXAJ8lBTjBWtBipBRvBxxBlrB,v115@vhHT/IGiBypBUnB/tBxuBRxBFrB,v115@vhHiAJTjBcpB3lBWtBRvBxxBlrB,v115@vhH0/ICiB2pBTnB/tBxuBRxBFrB,v115@vhHmAJXjBcpBTlBStBRvBxxBlrB,v115@vhHaFJfnB0iBTkBGtBxuBRxBFrB,v115@vhHXAJ8lBunBToBipBRvBxxBlrB,v115@vhHaFJGiBTkBUnB/tBxuBRxBFrB,v115@vhHiAJunBcpB3lBToBRvBxxBlrB,v115@vhHcEJelBCiBTnB/tBxuBRxBFrB,v115@vhHmAJqnB/oBcpBTlBRvBxxBlrB,v115@vhHPHJ0gBToBqsBxqB2uBRwBlkB,v115@vhH8FJXiBTkBeqBxrBSyBRwBFoB,v115@vhHy/IclB+nBTkB/tBxuBRxBFrB,v115@vhHWDJKlB/nBcpBToBRvBxxBlrB,v115@vhHfDJ5jBzkBqqB0nB2uBxxBlrB,v115@vhHZ/I8fBXlBesBznBSyBxuBFrB,v115@vhHc/I5oBxmBetBTpB3qBCsBFlB,v115@vhH/DJZkBqpBxlBmqBUsBTtBlnB,v115@vhHs/IZkBStBRnB2xBXrBzpBllB,v115@vhHfDJ5oB2pBRlBSvB0rBzsBFnB,v115@vhH2BJxkByqBfsBctBTpBxvBlnB,v115@vhHSBJ/pB8qBWsBxnBTtBxwBFlB,v115@vhHxAJ/oBTkBilBGrBUtBRvBFnB,v115@vhHcEJxhBGnBToB3pBirBRxBllB,v115@vhHRPJTkBGrBilBUtBpjBPjBFnB,v115@vhHRRJToBirBGnB3pBJfB8fBllB,v115@vhHxQJRrBMtB3hBTpBKfBOqBlnB,v115@vhHxPJRrB/pBUhBTtB+jB6sBFlB,v115@vhHxPJpoBetBTpBKfBXmBMlBFsB,v115@vhHxQJJkBqpBTtB+jB0mB/nBlqB,v115@vhHxOJTkBMlBSyBXsBmnBpeBFrB,v115@vhHxRJToB/nB2uB0qBClBJaBlrB
ITILSZJO,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITILSZOJ,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ITILSOJZ,O,X,X,X,X,O,X,O,X,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ITILSOZJ,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ITILZJSO,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITILZJOS,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITILZSJO,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITILZSOJ,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ITILZOJS,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ITILZOSJ,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ITILOJSZ,O,X,X,X,X,O,X,O,X,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ITILOJZS,O,X,X,X,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ITILOSJZ,O,X,X,X,X,O,X,O,X,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ITILOSZJ,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ITILOZJS,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ITILOZSJ,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ITIJLSZO,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITIJLSOZ,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITIJLZSO,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITIJLZOS,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITIJLOSZ,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITIJLOZS,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITIJSLZO,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITIJSLOZ,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITIJSZLO,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITIJSZOL,X,X,X,O,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
ITIJSOLZ,X,X,X,O,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
ITIJSOZL,X,X,X,O,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
ITIJZLSO,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITIJZLOS,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITIJZSLO,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITIJZSOL,X,X,X,O,O,X,O,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
ITIJZOLS,X,O,X,X,O,X,O,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
ITIJZOSL,X,X,X,O,O,X,O,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
ITIJOLSZ,X,O,X,X,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
ITIJOLZS,X,O,X,X,O,X,O,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
ITIJOSLZ,X,X,X,O,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
ITIJOSZL,X,X,X,O,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
ITIJOZLS,X,O,X,X,O,X,O,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
ITIJOZSL,X,X,X,O,O,X,O,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
ITISLJZO,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITISLJOZ,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITISLZJO,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITISLZOJ,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ITISLOJZ,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ITISLOZJ,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ITISJLZO,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITISJLOZ,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITISJZLO,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITISJZOL,X,X,X,O,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
ITISJOLZ,X,X,X,O,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
ITISJOZL,X,X,X,O,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
ITISZLJO,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITISZLOJ,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ITISZJLO,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITISZJOL,X,X,X,O,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
ITISZOLJ,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITISZOJL,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITISOLJZ,X,X,X,X,O,X,O,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITISOLZJ,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITISOJLZ,X,X,X,X,O,X,O,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITISOJZL,X,X,X,X,O,X,O,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITISOZLJ,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITISOZJL,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITIZLJSO,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITIZLJOS,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITIZLSJO,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITIZLSOJ,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ITIZLOJS,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ITIZLOSJ,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ITIZJLSO,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITIZJLOS,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITIZJSLO,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITIZJSOL,X,X,X,O,X,X,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
ITIZJOLS,X,O,X,X,X,X,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
ITIZJOSL,X,X,X,O,X,X,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
ITIZSLJO,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITIZSLOJ,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ITIZSJLO,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITIZSJOL,X,X,X,O,X,X,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
ITIZSOLJ,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITIZSOJL,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITIZOLJS,X,X,X,X,X,O,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITIZOLSJ,X,X,X,X,X,O,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITIZOJLS,X,X,X,X,X,O,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITIZOJSL,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITIZOSLJ,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITIZOSJL,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITIOLJSZ,X,X,X,X,O,O,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITIOLJZS,X,X,X,X,O,O,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITIOLSJZ,X,X,X,X,O,O,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITIOLSZJ,X,X,X,X,X,O,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITIOLZJS,X,X,X,X,X,O,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITIOLZSJ,X,X,X,X,X,O,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITIOJLSZ,X,X,X,X,O,O,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITIOJLZS,X,X,X,X,O,O,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITIOJSLZ,X,X,X,X,O,X,O,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITIOJSZL,X,X,X,X,O,X,O,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITIOJZLS,X,X,X,X,O,O,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITIOJZSL,X,X,X,X,O,X,O,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITIOSLJZ,X,X,X,X,O,X,O,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITIOSLZJ,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITIOSJLZ,X,X,X,X,O,X,O,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITIOSJZL,X,X,X,X,O,X,O,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITIOSZLJ,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITIOSZJL,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITIOZLJS,X,X,X,X,X,O,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITIOZLSJ,X,X,X,X,X,O,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITIOZJLS,X,X,X,X,X,O,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITIOZJSL,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITIOZSLJ,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITIOZSJL,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
ITLIJSZO,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ITLIJSOZ,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ITLIJZSO,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
ITLIJZOS,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
ITLIJOSZ,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
ITLIJOZS,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
ITLISJZO,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ITLISJOZ,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ITLISZJO,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ITLISZOJ,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X
ITLISOJZ,O,X,X,X,X,O,X,O,X,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X
ITLISOZJ,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X
ITLIZJSO,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
ITLIZJOS,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
ITLIZSJO,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
ITLIZSOJ,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,O,X
ITLIZOJS,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,O,O,X
ITLIZOSJ,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,O,O,X
ITLIOJSZ,O,X,X,X,X,O,X,O,X,X,X,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,X
ITLIOJZS,O,X,X,X,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,O,O,X
ITLIOSJZ,O,X,X,X,X,O,X,O,X,X,X,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,X
ITLIOSZJ,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,X
ITLIOZJS,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,O,O,X
ITLIOZSJ,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,O,O,X
ITLJISZO,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
ITLJISOZ,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
ITLJIZSO,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
