sequence,v115@5gA8IeA8DeA8CeB8BeA8AeB8AeH8BeF8JeZ/IvhFza?BShBuiBcjBllB3qB,v115@5gA8IeA8DeA8CeB8BeA8AeB8AeH8BeF8JeZ/IvhFGb?BTcBCeBXjBllBUqB,v115@5gA8IeA8DeA8CeB8BeA8AeB8AeH8BeF8JeZ/IvhFfg?BlbBchBqiBTeB+qB,v115@5gA8IeA8DeA8CeB8BeA8AeB8AeH8BeF8JeZ/IvhFSg?BTcBWjBXjBllBUqB,v115@5gA8IeA8DeA8CeB8BeA8AeB8AeH8BeF8JeZ/IvhFlb?BchBGeBziB6qBfqB
TSOJZLI,X,O,X,X,X
TSOZILJ,O,O,X,X,X
TSOZIJL,O,O,X,X,X
TSOZLIJ,O,O,X,X,X
TSOZLJI,O,O,X,X,X
TSOZJIL,O,O,X,X,X
TSOZJLI,O,O,X,X,X
TZILJSO,O,X,X,X,X
TZILJOS,O,X,X,O,X
TZILSJO,O,X,X,X,X
TZILSOJ,O,X,X,X,X
TZILOJS,O,X,X,O,O
TZILOSJ,O,X,X,X,O
TZIJLSO,O,X,X,X,X
TZIJLOS,O,X,X,O,X
TZIJSLO,O,O,X,X,X
TZIJSOL,O,O,X,X,X
TZIJOLS,O,X,X,O,X
TZIJOSL,O,O,X,X,X
TZISLJO,O,O,X,X,X
TZISLOJ,O,O,X,X,X
TZISJLO,O,O,X,X,X
TZISJOL,O,O,X,X,X
TZISOLJ,O,O,X,X,X
TZISOJL,O,O,X,X,X
TZIOLJS,O,X,X,O,O
TZIOLSJ,O,X,X,X,O
TZIOJLS,O,X,X,O,O
TZIOJSL,O,O,X,X,X
TZIOSLJ,O,O,X,X,X
TZIOSJL,O,O,X,X,X
TZLIJSO,O,X,X,X,X
TZLIJOS,O,X,X,O,X
TZLISJO,O,X,X,X,X
TZLISOJ,O,X,X,X,X
TZLIOJS,O,X,X,O,O
TZLIOSJ,O,X,X,X,O
TZLJISO,O,X,X,X,X
TZLJIOS,O,X,X,O,X
TZLJSIO,O,X,X,X,X
TZLJSOI,O,X,X,X,X
TZLJOIS,O,X,X,O,X
TZLJOSI,O,X,X,X,X
TZLSIJO,O,X,X,X,X
TZLSIOJ,O,X,X,X,X
TZLSJIO,O,X,X,X,X
TZLSJOI,O,X,X,X,X
TZLSOIJ,O,X,X,X,X
TZLSOJI,O,X,X,X,X
TZLOIJS,O,X,X,O,O
TZLOISJ,O,X,X,X,O
TZLOJIS,O,X,X,O,O
TZLOJSI,O,X,X,X,X
TZLOSIJ,O,X,X,X,X
TZLOSJI,O,X,X,X,X
TZJILSO,O,X,X,X,X
TZJILOS,O,X,X,O,X
TZJISLO,O,O,X,X,X
TZJISOL,O,O,X,X,X
TZJIOLS,O,X,X,O,X
TZJIOSL,O,O,X,X,X
TZJLISO,O,X,X,X,X
TZJLIOS,O,X,X,O,X
TZJLSIO,O,X,X,X,X
TZJLSOI,O,X,X,X,X
TZJLOIS,O,X,X,O,X
TZJLOSI,O,X,X,X,X
TZJSILO,O,O,X,X,X
TZJSIOL,O,O,X,X,X
TZJSLIO,O,O,X,X,X
TZJSLOI,O,O,X,X,X
TZJSOIL,O,O,X,X,X
TZJSOLI,O,O,X,X,X
TZJOILS,O,X,X,O,X
TZJOISL,O,O,X,X,X
TZJOLIS,O,X,X,O,X
TZJOLSI,O,X,X,X,X
TZJOSIL,O,O,X,X,X
TZJOSLI,O,O,X,X,X
TZSILJO,O,O,X,X,X
TZSILOJ,O,O,X,X,X
TZSIJLO,O,O,X,X,X
TZSIJOL,O,O,X,X,X
TZSIOLJ,O,O,X,X,X
TZSIOJL,O,O,X,X,X
TZSLIJO,O,O,X,X,X
TZSLIOJ,O,O,X,X,X
TZSLJIO,O,O,X,X,X
TZSLJOI,O,O,X,X,X
TZSLOIJ,O,O,X,X,X
TZSLOJI,O,O,X,X,X
TZSJILO,O,O,X,X,X
TZSJIOL,O,O,X,X,X
TZSJLIO,O,O,X,X,X
TZSJLOI,O,O,X,X,X
TZSJOIL,O,O,X,X,X
TZSJOLI,O,O,X,X,X
TZSOILJ,O,O,X,X,X
TZSOIJL,O,O,X,X,X
TZSOLIJ,O,O,X,X,X
TZSOLJI,O,O,X,X,X
TZSOJIL,O,O,X,X,X
TZSOJLI,O,O,X,X,X
TZOILJS,O,X,X,O,O
TZOILSJ,O,X,X,X,O
TZOIJLS,O,X,X,O,O
TZOIJSL,O,O,X,X,X
TZOISLJ,O,O,X,X,X
TZOISJL,O,O,X,X,X
TZOLIJS,O,X,X,O,O
TZOLISJ,O,X,X,X,O
TZOLJIS,O,X,X,O,O
TZOLJSI,O,X,X,X,X
TZOLSIJ,O,X,X,X,X
TZOLSJI,O,X,X,X,X
TZOJILS,O,X,X,O,O
TZOJISL,O,O,X,X,X
TZOJLIS,O,X,X,O,O
TZOJLSI,O,X,X,X,X
TZOJSIL,O,O,X,X,X
TZOJSLI,O,O,X,X,X
TZOSILJ,O,O,X,X,X
TZOSIJL,O,O,X,X,X
TZOSLIJ,O,O,X,X,X
TZOSLJI,O,O,X,X,X
TZOSJIL,O,O,X,X,X
TZOSJLI,O,O,X,X,X
TOILJSZ,X,O,X,O,X
TOILJZS,O,X,X,O,O
TOILSJZ,X,O,X,O,X
TOILSZJ,O,O,X,X,X
TOILZJS,O,X,X,O,O
TOILZSJ,O,X,X,X,O
TOIJLSZ,X,O,X,O,X
TOIJLZS,O,X,X,O,O
TOIJSLZ,X,O,X,O,X
TOIJSZL,X,O,X,X,X
TOIJZLS,O,X,X,O,O
TOIJZSL,O,O,X,X,X
TOISLJZ,X,O,X,O,X
TOISLZJ,O,O,X,X,X
TOISJLZ,X,O,X,O,X
TOISJZL,X,O,X,X,X
TOISZLJ,O,O,X,X,X
TOISZJL,O,O,X,X,X
TOIZLJS,O,X,X,O,O
TOIZLSJ,O,X,X,X,O
TOIZJLS,O,X,X,O,O
TOIZJSL,O,O,X,X,X
TOIZSLJ,O,O,X,X,X
TOIZSJL,O,O,X,X,X
TOLIJSZ,X,O,X,O,X
TOLIJZS,O,X,X,O,O
TOLISJZ,X,O,X,O,X
TOLISZJ,O,O,X,X,X
TOLIZJS,O,X,X,O,O
TOLIZSJ,O,X,X,X,O
TOLJISZ,X,O,X,O,X
TOLJIZS,O,X,X,O,O
TOLJSIZ,X,O,X,O,X
TOLJSZI,X,O,X,X,X
TOLJZIS,O,X,X,O,O
TOLJZSI,O,X,X,X,X
TOLSIJZ,X,O,X,O,X
TOLSIZJ,O,O,X,X,X
TOLSJIZ,X,O,X,O,X
TOLSJZI,X,O,X,X,X
TOLSZIJ,O,O,X,X,X
TOLSZJI,O,O,X,X,X
TOLZIJS,O,X,X,O,O
TOLZISJ,O,X,X,X,O
TOLZJIS,O,X,X,O,O
TOLZJSI,O,X,X,X,X
TOLZSIJ,O,X,X,X,X
TOLZSJI,O,X,X,X,X
TOJILSZ,X,O,X,O,X
TOJILZS,O,X,X,O,O
TOJISLZ,X,O,X,O,X
TOJISZL,X,O,X,X,X
TOJIZLS,O,X,X,O,O
TOJIZSL,O,O,X,X,X
TOJLISZ,X,O,X,O,X
TOJLIZS,O,X,X,O,O
TOJLSIZ,X,O,X,O,X
TOJLSZI,X,O,X,X,X
TOJLZIS,O,X,X,O,O
TOJLZSI,O,X,X,X,X
TOJSILZ,X,O,X,O,X
TOJSIZL,X,O,X,X,X
TOJSLIZ,X,O,X,O,X
TOJSLZI,X,O,X,X,X
TOJSZIL,X,O,X,X,X
TOJSZLI,X,O,X,X,X
TOJZILS,O,X,X,O,O
TOJZISL,O,O,X,X,X
TOJZLIS,O,X,X,O,O
TOJZLSI,O,X,X,X,X
TOJZSIL,O,O,X,X,X
TOJZSLI,O,O,X,X,X
TOSILJZ,X,O,X,O,X
TOSILZJ,O,O,X,X,X
TOSIJLZ,X,O,X,O,X
TOSIJZL,X,O,X,X,X
TOSIZLJ,O,O,X,X,X
TOSIZJL,O,O,X,X,X
TOSLIJZ,X,O,X,O,X
TOSLIZJ,O,O,X,X,X
TOSLJIZ,X,O,X,O,X
TOSLJZI,X,O,X,X,X
TOSLZIJ,O,O,X,X,X
TOSLZJI,O,O,X,X,X
TOSJILZ,X,O,X,O,X
TOSJIZL,X,O,X,X,X
TOSJLIZ,X,O,X,O,X
TOSJLZI,X,O,X,X,X
TOSJZIL,X,O,X,X,X
TOSJZLI,X,O,X,X,X
TOSZILJ,O,O,X,X,X
TOSZIJL,O,O,X,X,X
TOSZLIJ,O,O,X,X,X
TOSZLJI,O,O,X,X,X
TOSZJIL,O,O,X,X,X
TOSZJLI,O,O,X,X,X
TOZILJS,O,X,X,O,O
TOZILSJ,O,X,X,X,O
TOZIJLS,O,X,X,O,O
TOZIJSL,O,O,X,X,X
TOZISLJ,O,O,X,X,X
TOZISJL,O,O,X,X,X
TOZLIJS,O,X,X,O,O
TOZLISJ,O,X,X,X,O
TOZLJIS,O,X,X,O,O
TOZLJSI,O,X,X,X,X
TOZLSIJ,O,X,X,X,X
TOZLSJI,O,X,X,X,X
TOZJILS,O,X,X,O,O
TOZJISL,O,O,X,X,X
TOZJLIS,O,X,X,O,O
TOZJLSI,O,X,X,X,X
TOZJSIL,O,O,X,X,X
TOZJSLI,O,O,X,X,X
TOZSILJ,O,O,X,X,X
TOZSIJL,O,O,X,X,X
TOZSLIJ,O,O,X,X,X
TOZSLJI,O,O,X,X,X
TOZSJIL,O,O,X,X,X
TOZSJLI,O,O,X,X,X
ITLJSZO,X,O,O,X,X
ITLJSOZ,X,O,O,O,X
