sequence,v115@4gB8BeA8EeB8BeA8FeD8AeA8CeF8DeE8JeZ/IvhFqf?BmbBzdBFmBXqB0qB,v115@4gB8BeA8EeB8BeA8FeD8AeA8CeF8DeE8JeZ/IvhFFb?B8gBzdBflBOrBSvB,v115@4gB8BeA8EeB8BeA8FeD8AeA8CeF8DeE8JeZ/IvhFqf?BmbBzdBFmB0qBXqB,v115@4gB8BeA8EeB8BeA8FeD8AeA8CeF8DeE8JeZ/IvhF3b?BzdBUlBFmBupByvB,v115@4gB8BeA8EeB8BeA8FeD8AeA8CeF8DeE8JeR7IvhFzd?BVmBikB0lB2vB/pB
TSZIJLO,O,X,X,O,X
TSZIJOL,O,X,X,O,X
TSZIOLJ,O,X,X,O,X
TSZIOJL,O,X,X,O,X
TSZLIJO,O,X,X,O,X
TSZLIOJ,O,X,X,O,X
TSZLJIO,O,X,X,X,X
TSZLJOI,O,X,X,X,X
TSZLOIJ,O,X,X,O,X
TSZLOJI,O,X,X,X,X
TSZJILO,O,X,X,O,X
TSZJIOL,O,X,X,O,X
TSZJLIO,O,X,X,X,X
TSZJLOI,O,X,X,X,X
TSZJOIL,O,X,X,O,X
TSZJOLI,O,X,X,X,X
TSZOILJ,O,X,X,O,X
TSZOIJL,O,X,X,O,X
TSZOLIJ,O,X,X,O,X
TSZOLJI,O,X,X,X,X
TSZOJIL,O,X,X,O,X
TSZOJLI,O,X,X,X,X
TSOILJZ,O,X,O,X,X
TSOILZJ,O,O,O,X,X
TSOIJLZ,O,X,O,X,X
TSOIJZL,O,O,X,X,X
TSOIZLJ,O,X,X,O,X
TSOIZJL,O,X,X,O,X
TSOLIJZ,O,X,O,X,X
TSOLIZJ,O,O,O,X,X
TSOLJIZ,O,X,O,X,X
TSOLJZI,O,X,X,X,O
TSOLZIJ,O,O,X,X,X
TSOLZJI,O,O,X,X,X
TSOJILZ,O,X,O,X,X
TSOJIZL,O,O,X,X,X
TSOJLIZ,O,X,O,X,X
TSOJLZI,O,X,X,X,O
TSOJZIL,O,O,X,X,X
TSOJZLI,O,O,X,X,X
TSOZILJ,O,X,X,O,X
TSOZIJL,O,X,X,O,X
TSOZLIJ,O,X,X,O,X
TSOZLJI,O,X,X,X,X
TSOZJIL,O,X,X,O,X
TSOZJLI,O,X,X,X,X
TZILJSO,X,X,O,O,X
TZILJOS,O,X,O,O,X
TZILSJO,O,X,O,O,X
TZILSOJ,O,X,O,O,X
TZILOJS,O,X,O,O,X
TZILOSJ,O,X,O,O,X
TZIJLSO,X,X,O,O,X
TZIJLOS,O,X,O,O,X
TZIJSLO,X,X,X,O,X
TZIJSOL,X,X,X,O,X
TZIJOLS,O,X,O,O,X
TZIJOSL,X,X,X,O,X
TZISLJO,O,X,X,O,X
TZISLOJ,O,X,X,O,X
TZISJLO,O,X,X,O,X
TZISJOL,O,X,X,O,X
TZISOLJ,O,X,X,O,X
TZISOJL,O,X,X,O,X
TZIOLJS,O,X,O,O,X
TZIOLSJ,O,X,O,O,X
TZIOJLS,O,X,O,O,X
TZIOJSL,X,X,X,O,X
TZIOSLJ,O,X,X,O,X
TZIOSJL,O,X,X,O,X
TZLIJSO,X,X,O,O,X
TZLIJOS,O,X,O,O,X
TZLISJO,O,X,O,O,X
TZLISOJ,O,X,O,O,X
TZLIOJS,O,X,O,O,X
TZLIOSJ,O,X,O,O,X
TZLJISO,X,X,O,X,O
TZLJIOS,O,X,O,X,O
TZLJSIO,X,X,O,X,O
TZLJSOI,X,X,O,X,O
TZLJOIS,O,X,O,X,O
TZLJOSI,X,X,O,X,O
TZLSIJO,X,X,O,O,X
TZLSIOJ,X,X,O,O,X
TZLSJIO,X,X,O,X,X
TZLSJOI,X,X,O,X,X
TZLSOIJ,X,X,O,O,X
TZLSOJI,X,X,O,X,X
TZLOIJS,O,X,O,O,X
TZLOISJ,O,X,O,O,X
TZLOJIS,O,X,O,X,O
TZLOJSI,X,X,O,X,O
TZLOSIJ,X,X,O,O,X
TZLOSJI,X,X,O,X,X
TZJILSO,X,X,O,O,X
TZJILOS,O,X,O,O,X
TZJISLO,X,X,X,O,X
TZJISOL,X,X,X,O,X
TZJIOLS,O,X,O,O,X
TZJIOSL,X,X,X,O,X
TZJLISO,X,X,O,X,O
TZJLIOS,O,X,O,X,O
TZJLSIO,X,X,O,X,O
TZJLSOI,X,X,O,X,O
TZJLOIS,O,X,O,X,O
TZJLOSI,X,X,O,X,O
TZJSILO,O,X,X,O,X
TZJSIOL,O,X,X,O,X
TZJSLIO,O,X,O,X,X
TZJSLOI,O,X,O,X,X
TZJSOIL,O,X,X,O,X
TZJSOLI,O,X,O,X,X
TZJOILS,O,X,O,O,X
TZJOISL,X,X,X,O,X
TZJOLIS,O,X,O,X,O
TZJOLSI,X,X,O,X,O
TZJOSIL,O,X,X,O,X
TZJOSLI,O,X,O,X,X
TZSILJO,O,X,X,O,X
TZSILOJ,O,X,X,O,X
TZSIJLO,O,X,X,O,X
TZSIJOL,O,X,X,O,X
