sequence,v115@zgB8GeC8FeD8FeC8EeF8DeD8JeOAJvhFXcBldBUiBS?qBTmBxvB,v115@zgB8GeC8FeD8FeC8EeF8DeD8JeT7IvhFicB3dBWnBV?qBUmBxvB,v115@zgB8GeC8FeD8FeC8EeF8DeD8Jex7IvhFldBelBUiBC?mBTrB3qB,v115@zgB8GeC8FeD8FeC8EeF8DeD8Je07IvhFlcB3dBelBz?lBCnBxvB,v115@zgB8GeC8FeD8FeC8EeF8DeD8Je2AJvhFRdBcmBTiB3?gBFqBSwB,v115@zgB8GeC8FeD8FeC8EeF8DeD8JeyAJvhFRdBGiBXlBl?mBUrBTqB,v115@zgB8GeC8FeD8FeC8EeF8DeD8JeyAJvhFzcBuiB0lBl?mBXlBxvB,v115@zgB8GeC8FeD8FeC8EeF8DeD8JeyAJvhF3dB5mBTgBU?iBerBFqB,v115@zgB8GeC8FeD8FeC8EeF8DeD8JeKAJvhFzbB3dB5mBU?iBerBFqB,v115@zgB8GeC8FeD8FeC8EeF8DeD8JeR9IvhF/lBTiB6rBF?mBUqBmqB,v115@zgB8GeC8FeD8FeC8EeF8DeD8Jex7IvhFuiBTgBihBF?qBXrB8rB,v115@zgB8GeC8FeD8FeC8EeF8DeD8JeyAJvhFUdB5mBTgB3?iBerBFqB,v115@zgB8GeC8FeD8FeC8EeF8DeD8JecBJvhFelB5lBXiBl?iBTrBiqB,v115@zgB8GeC8FeD8FeC8EeF8DeD8JeuCJvhFxgBFqBXrB8?rBTqBirB,v115@zgB8GeC8FeD8FeC8EeF8DeD8Je39IvhFelBChBxmBl?mBUrBTqB
TIOLSZJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TIOLZJS,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TIOLZSJ,O,O,X,O,O,X,O,X,X,O,X,X,X,X,X
TIOJLSZ,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TIOJLZS,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X
TIOJSLZ,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X
TIOJSZL,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TIOJZLS,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TIOJZSL,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TIOSLJZ,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X
TIOSLZJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TIOSJLZ,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X
TIOSJZL,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TIOSZLJ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOSZJL,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TIOZLJS,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TIOZLSJ,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TIOZJLS,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TIOZJSL,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TIOZSLJ,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X
TIOZSJL,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TLIJSZO,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
TLIJSOZ,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TLIJZSO,O,O,X,O,X,O,O,X,O,X,X,X,X,X,X
TLIJZOS,O,O,X,O,X,O,O,X,O,X,X,X,X,X,X
TLIJOSZ,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TLIJOZS,O,O,X,O,O,O,O,X,O,X,X,X,X,X,X
TLISJZO,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
TLISJOZ,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TLISZJO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLISZOJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLISOJZ,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TLISOZJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLIZJSO,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TLIZJOS,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X
TLIZSJO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLIZSOJ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLIZOJS,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TLIZOSJ,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TLIOJSZ,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TLIOJZS,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X
TLIOSJZ,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TLIOSZJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLIOZJS,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TLIOZSJ,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TLJISZO,O,X,X,O,X,O,X,O,O,X,X,O,X,X,X
TLJISOZ,O,O,X,O,X,X,O,O,O,X,X,X,X,X,X
TLJIZSO,O,X,X,O,X,O,O,O,O,X,X,O,X,X,X
TLJIZOS,O,X,O,O,X,O,O,X,O,X,X,O,X,X,X
TLJIOSZ,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X
TLJIOZS,O,X,O,O,O,O,O,X,O,X,X,O,X,X,X
TLJSIZO,O,X,X,O,X,O,X,O,O,X,X,O,X,X,X
TLJSIOZ,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X
TLJSZIO,O,X,X,X,X,O,X,O,O,X,X,X,X,O,X
TLJSZOI,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X
TLJSOIZ,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X
TLJSOZI,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLJZISO,O,X,X,X,X,O,X,O,O,X,X,O,X,X,X
TLJZIOS,O,X,O,X,O,O,X,X,O,X,X,O,X,X,X
TLJZSIO,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TLJZSOI,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
TLJZOIS,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X
TLJZOSI,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
TLJOISZ,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TLJOIZS,O,X,O,X,O,O,O,X,O,X,X,O,X,X,X
TLJOSIZ,O,O,O,X,X,X,O,O,O,X,O,X,X,X,X
TLJOSZI,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLJOZIS,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X
TLJOZSI,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
TLSIJZO,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
TLSIJOZ,O,O,X,O,X,X,X,X,O,X,O,X,X,X,X
TLSIZJO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSIZOJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSIOJZ,O,O,X,O,X,X,X,X,O,X,O,X,X,X,X
TLSIOZJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLSJIZO,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X
TLSJIOZ,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X
TLSJZIO,O,X,X,X,X,O,X,O,O,X,X,X,X,O,X
TLSJZOI,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X
TLSJOIZ,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X
TLSJOZI,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLSZIJO,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
TLSZIOJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSZJIO,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X
TLSZJOI,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X
TLSZOIJ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSZOJI,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X
TLSOIJZ,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X
TLSOIZJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLSOJIZ,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X
TLSOJZI,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLSOZIJ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSOZJI,X,O,X,X,O,X,X,X,O,X,O,X,X,X,X
TLZIJSO,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLZIJOS,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TLZISJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZISOJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZIOJS,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZIOSJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZJISO,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
TLZJIOS,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
TLZJSIO,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
TLZJSOI,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
TLZJOIS,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X
TLZJOSI,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
TLZSIJO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZSIOJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZSJIO,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
TLZSJOI,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
TLZSOIJ,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X
TLZSOJI,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X
TLZOIJS,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZOISJ,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X
TLZOJIS,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X
TLZOJSI,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
TLZOSIJ,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X
TLZOSJI,O,O,O,X,O,X,X,X,O,O,X,X,X,X,X
TLOIJSZ,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X
TLOIJZS,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
TLOISJZ,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TLOISZJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLOIZJS,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TLOIZSJ,O,O,X,O,O,X,O,X,X,O,X,X,X,X,X
TLOJISZ,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TLOJIZS,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X
TLOJSIZ,O,O,O,X,X,X,O,X,O,X,O,X,X,X,X
TLOJSZI,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLOJZIS,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X
TLOJZSI,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
TLOSIJZ,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X
TLOSIZJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLOSJIZ,O,O,O,X,X,X,O,X,O,X,O,X,X,X,X
TLOSJZI,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLOSZIJ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOSZJI,X,O,X,X,O,X,X,X,O,X,O,X,X,X,X
TLOZIJS,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOZISJ,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X
TLOZJIS,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X
TLOZJSI,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
TLOZSIJ,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X
TLOZSJI,O,O,O,X,O,X,X,X,O,O,X,X,X,X,X
TJILSZO,O,O,X,O,X,O,X,O,O,X,X,O,X,X,O
TJILSOZ,O,O,X,O,X,X,O,O,O,X,X,X,X,X,X
TJILZSO,O,O,X,O,X,O,O,O,O,X,X,O,X,X,X
TJILZOS,O,O,O,O,X,O,O,X,O,X,X,O,X,X,X
TJILOSZ,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X
TJILOZS,O,O,O,O,O,O,O,X,O,X,X,O,X,X,X
TJISLZO,X,O,X,O,X,O,X,O,O,X,X,O,X,X,O
TJISLOZ,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X
TJISZLO,X,O,X,O,X,O,O,O,O,X,X,O,X,O,X
TJISZOL,X,O,O,O,X,O,O,X,X,X,X,X,X,O,X
TJISOLZ,X,O,O,O,X,X,O,O,O,X,O,X,X,X,X
TJISOZL,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TJIZLSO,O,O,X,O,X,O,O,O,O,X,X,O,X,X,X
TJIZLOS,O,O,O,O,X,O,O,X,O,X,X,O,X,X,X
TJIZSLO,O,O,X,O,X,O,O,O,O,X,X,O,X,X,X
TJIZSOL,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TJIZOLS,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TJIZOSL,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TJIOLSZ,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X
TJIOLZS,O,O,O,O,O,O,O,X,O,X,X,O,X,X,X
TJIOSLZ,O,O,O,O,X,X,O,O,O,X,O,X,X,X,X
TJIOSZL,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X
TJIOZLS,X,O,O,O,X,O,O,X,X,X,X,O,X,X,X
TJIOZSL,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X
TJLISZO,O,O,X,X,X,O,X,O,O,X,X,O,X,X,X
TJLISOZ,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X
TJLIZSO,O,O,X,X,X,O,O,O,O,X,X,O,X,X,X
TJLIZOS,O,O,O,X,X,O,O,X,O,X,X,O,X,X,X
TJLIOSZ,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TJLIOZS,O,O,O,X,O,O,O,X,O,X,X,O,X,X,X
TJLSIZO,O,O,X,X,X,O,X,O,O,X,X,O,X,X,X
TJLSIOZ,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X
TJLSZIO,O,X,X,X,X,O,X,O,O,X,X,X,X,O,X
TJLSZOI,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X
TJLSOIZ,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X
TJLSOZI,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TJLZISO,O,X,X,X,X,O,X,O,O,X,X,O,X,X,X
TJLZIOS,O,X,O,X,O,O,X,X,O,X,X,O,X,X,X
TJLZSIO,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TJLZSOI,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
TJLZOIS,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X
TJLZOSI,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
TJLOISZ,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TJLOIZS,O,X,O,X,O,O,O,X,O,X,X,O,X,X,X
TJLOSIZ,O,O,O,X,X,X,O,O,O,X,O,X,X,X,X
TJLOSZI,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TJLOZIS,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X
TJLOZSI,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
TJSILZO,X,O,X,O,X,O,X,O,O,X,X,O,X,X,O
TJSILOZ,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X
TJSIZLO,X,O,X,O,X,O,O,O,O,X,X,O,X,O,X
TJSIZOL,X,O,O,O,X,O,O,X,X,X,X,X,X,O,X
TJSIOLZ,X,O,O,O,X,X,O,O,O,X,O,X,X,X,X
TJSIOZL,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TJSLIZO,X,O,X,X,X,O,X,O,O,X,X,O,X,X,X
TJSLIOZ,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X
TJSLZIO,X,X,X,X,X,O,X,O,O,X,X,X,X,O,X
TJSLZOI,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X
TJSLOIZ,X,O,X,X,X,X,O,O,O,X,O,X,X,X,X
TJSLOZI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TJSZILO,X,O,X,O,X,O,X,O,O,X,X,X,X,O,O
TJSZIOL,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X
TJSZLIO,X,O,X,X,X,O,X,O,O,X,X,X,X,O,O
TJSZLOI,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X
TJSZOIL,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X
TJSZOLI,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
TJSOILZ,X,O,O,X,X,X,O,O,O,X,O,X,X,X,X
TJSOIZL,X,O,O,X,X,O,O,X,X,X,X,X,O,X,X
TJSOLIZ,X,O,O,X,X,X,O,O,O,X,O,X,X,X,X
TJSOLZI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TJSOZIL,X,O,O,X,X,O,X,X,X,X,X,X,O,O,X
TJSOZLI,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
TJZILSO,O,O,X,O,X,O,O,O,O,X,X,O,X,X,O
TJZILOS,O,O,O,O,X,O,O,X,O,X,X,O,X,X,X
TJZISLO,O,O,X,O,X,O,O,O,O,X,X,O,X,X,O
TJZISOL,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TJZIOLS,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TJZIOSL,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TJZLISO,O,O,X,X,X,O,X,O,O,X,X,O,X,X,O
TJZLIOS,X,O,O,X,X,O,X,X,O,X,X,O,X,X,X
TJZLSIO,O,O,X,X,X,O,X,O,O,X,X,X,X,X,O
TJZLSOI,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
TJZLOIS,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X
TJZLOSI,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X
TJZSILO,O,O,X,O,X,O,X,O,O,X,X,X,X,O,O
