sequence,v115@6gC8HeB8HeE8AeF8DeF8Jei6IvhFzbBUdB3fBWnBll?BxuB,v115@6gC8HeB8HeE8AeF8DeF8Jei6IvhF3bBuhB1kB8lBTn?BxuB,v115@6gC8HeB8HeE8AeF8DeF8JeO/IvhF8fBzbBqhB/iBll?BxuB,v115@6gC8HeB8HeE8AeF8DeF8Je06IvhFlbB3cB2kBTiBCm?BxuB,v115@6gC8HeB8HeE8AeF8DeF8Jel6IvhF3bBzcB2kB8lBSs?BxuB,v115@6gC8HeB8HeE8AeF8DeF8Jem6IvhFCcB/iBTfB0hBll?BxuB,v115@6gC8HeB8HeE8AeF8DeF8Jeu/IvhFcgBXhBTiBSvBZk?BlrB,v115@6gC8HeB8HeE8AeF8DeF8JeK/IvhFzaBWhB/iB0hBll?BxuB,v115@6gC8HeB8HeE8AeF8DeF8Jex6IvhFzcB3fBSnBllB8q?B2uB,v115@6gC8HeB8HeE8AeF8DeF8Jex6IvhFlcBTiBCmBOpB8p?B3qB,v115@6gC8HeB8HeE8AeF8DeF8Jez6IvhFCcB/iB0hBllBZk?BWvB,v115@6gC8HeB8HeE8AeF8DeF8JeK/IvhFxbB/iB0hBllB+p?BTqB
ITSJZLO,O,X,O,X,X,O,X,O,X,X,O,X
ITSJZOL,O,X,O,X,X,X,X,X,X,X,O,X
ITSJOLZ,O,X,X,X,X,O,X,O,X,X,O,X
ITSJOZL,O,X,X,X,X,O,X,X,X,X,O,X
ITSZLJO,O,X,O,X,X,O,X,O,X,X,O,X
ITSZLOJ,O,X,O,X,X,O,X,O,X,X,O,X
ITSZJLO,O,X,O,X,X,O,X,O,X,X,O,X
ITSZJOL,O,X,O,X,X,X,X,X,X,X,O,X
ITSZOLJ,O,X,O,X,X,O,X,X,X,X,O,X
ITSZOJL,O,X,O,X,X,O,X,X,X,X,X,X
ITSOLJZ,O,X,O,X,X,O,X,O,X,X,O,X
ITSOLZJ,O,X,O,X,X,O,X,O,X,X,O,X
ITSOJLZ,O,X,X,X,X,O,X,O,X,X,O,X
ITSOJZL,O,X,X,X,X,O,X,X,X,X,O,X
ITSOZLJ,O,X,O,X,X,O,X,X,X,X,O,X
ITSOZJL,O,X,O,X,X,O,X,X,X,X,X,X
ITZLJSO,X,O,O,X,X,X,X,O,X,X,X,X
ITZLJOS,X,X,X,X,X,X,X,O,X,X,X,X
ITZLSJO,X,O,O,X,X,X,X,O,X,X,X,X
ITZLSOJ,X,O,O,X,X,X,X,O,X,X,X,X
ITZLOJS,X,O,X,X,X,X,X,O,X,X,X,X
ITZLOSJ,X,O,X,X,X,X,X,O,X,X,X,X
ITZJLSO,O,O,O,X,X,X,X,O,X,X,X,X
ITZJLOS,O,X,X,X,X,X,X,O,X,X,X,X
ITZJSLO,O,O,O,X,X,O,X,O,X,X,O,X
ITZJSOL,O,X,O,X,X,X,X,X,X,X,O,X
ITZJOLS,O,X,X,X,X,X,X,X,X,X,X,X
ITZJOSL,O,X,O,X,X,X,X,X,X,X,O,X
ITZSLJO,O,O,O,X,X,O,X,O,X,X,O,X
ITZSLOJ,O,O,O,X,X,O,X,O,X,X,O,X
ITZSJLO,O,O,O,X,X,O,X,O,X,X,O,X
ITZSJOL,O,X,O,X,X,X,X,X,X,X,O,X
ITZSOLJ,O,O,O,X,X,O,X,X,X,X,O,X
ITZSOJL,O,O,O,X,X,O,X,X,X,X,X,X
ITZOLJS,X,O,X,X,X,X,X,X,X,X,X,X
ITZOLSJ,X,O,X,X,X,X,X,X,X,X,X,X
ITZOJLS,O,O,X,X,X,X,X,X,X,X,X,X
ITZOJSL,O,O,O,X,X,O,X,X,X,X,X,X
ITZOSLJ,O,O,O,X,X,O,X,X,X,X,O,X
ITZOSJL,O,O,O,X,X,O,X,X,X,X,X,X
ITOLJSZ,O,O,X,X,X,O,X,O,X,X,X,X
ITOLJZS,O,O,X,X,X,X,X,O,X,X,X,X
ITOLSJZ,O,O,X,X,X,O,X,O,X,X,O,X
ITOLSZJ,O,O,X,X,X,O,X,O,X,X,O,X
ITOLZJS,X,O,X,X,X,X,X,O,X,X,X,X
ITOLZSJ,X,O,X,X,X,X,X,O,X,X,X,X
ITOJLSZ,O,O,X,X,X,O,X,O,X,X,O,X
ITOJLZS,O,O,X,X,X,X,X,O,X,X,X,X
ITOJSLZ,O,O,X,X,X,O,X,O,X,X,O,X
ITOJSZL,O,O,X,X,X,O,X,X,X,X,O,X
ITOJZLS,O,O,X,X,X,X,X,X,X,X,X,X
ITOJZSL,O,O,X,X,X,O,X,X,X,X,O,X
ITOSLJZ,O,O,O,X,X,O,X,O,X,X,O,X
ITOSLZJ,O,O,O,X,X,O,X,O,X,X,O,X
ITOSJLZ,O,O,X,X,X,O,X,O,X,X,O,X
ITOSJZL,O,O,X,X,X,O,X,X,X,X,O,X
ITOSZLJ,O,O,O,X,X,O,X,X,X,X,O,X
ITOSZJL,O,O,O,X,X,O,X,X,X,X,X,X
ITOZLJS,X,O,X,X,X,X,X,X,X,X,X,X
ITOZLSJ,X,O,X,X,X,X,X,X,X,X,X,X
ITOZJLS,O,O,X,X,X,X,X,X,X,X,X,X
ITOZJSL,O,O,O,X,X,O,X,X,X,X,X,X
ITOZSLJ,O,O,O,X,X,O,X,X,X,X,O,X
ITOZSJL,O,O,O,X,X,O,X,X,X,X,X,X
ILTJSZO,X,X,X,O,X,X,X,X,X,O,X,X
ILTJSOZ,X,X,X,O,X,X,X,O,X,O,X,X
ILTJZSO,X,X,X,O,X,X,X,X,X,O,X,X
ILTJZOS,X,X,X,O,X,X,O,X,X,O,X,X
ILTJOSZ,X,X,X,O,X,X,X,O,X,O,X,X
ILTJOZS,X,X,X,O,X,X,O,X,X,O,X,X
ILTSJZO,X,X,X,O,X,X,X,X,O,X,X,X
ILTSJOZ,X,X,X,O,X,X,X,O,O,X,X,X
ILTSZJO,X,X,X,O,X,X,X,X,O,X,X,X
ILTSZOJ,X,X,X,X,X,X,X,X,O,X,X,X
ILTSOJZ,X,X,X,O,X,X,X,O,O,X,X,X
ILTSOZJ,X,X,X,X,X,X,X,X,O,X,X,X
ILTZJSO,X,X,X,O,X,X,X,X,X,O,X,X
ILTZJOS,X,X,X,O,X,X,O,X,X,O,X,X
ILTZSJO,X,X,X,O,X,X,X,X,X,O,X,X
ILTZSOJ,X,X,X,X,X,X,X,X,X,O,X,X
ILTZOJS,X,X,X,X,X,X,O,X,X,O,X,X
ILTZOSJ,X,X,X,X,X,X,O,X,X,O,X,X
ILTOJSZ,X,X,X,O,X,X,X,O,X,X,X,X
ILTOJZS,X,X,X,O,X,X,O,X,X,X,X,X
ILTOSJZ,X,X,X,O,X,X,X,O,O,X,X,X
ILTOSZJ,X,X,X,X,X,X,O,X,O,X,X,X
ILTOZJS,X,X,X,X,X,X,O,X,X,X,X,X
ILTOZSJ,X,X,X,X,X,X,O,X,X,X,X,X
ILJTSZO,X,X,X,O,O,X,X,X,X,O,X,X
ILJTSOZ,X,X,X,O,O,X,X,X,X,O,X,X
ILJTZSO,X,X,X,O,O,X,X,X,X,O,X,X
ILJTZOS,X,X,X,O,O,X,O,X,X,O,X,X
ILJTOSZ,X,X,X,O,O,X,X,X,X,O,X,X
ILJTOZS,X,X,X,O,O,X,O,X,X,O,X,X
ILJSTZO,X,X,X,O,O,X,X,X,X,O,X,X
ILJSTOZ,X,X,X,O,O,X,X,X,X,O,X,X
ILJSZTO,X,X,X,O,O,X,X,X,X,X,X,X
ILJSZOT,X,X,X,O,O,X,O,X,X,X,X,X
ILJSOTZ,X,X,X,O,O,X,X,X,X,X,X,X
ILJSOZT,X,X,X,O,O,X,O,X,X,X,X,X
ILJZTSO,X,X,X,O,O,X,X,X,X,O,X,X
ILJZTOS,X,X,X,O,O,X,O,X,X,O,X,X
ILJZSTO,X,X,X,O,O,X,X,X,X,O,X,X
ILJZSOT,X,X,X,O,O,X,O,X,X,X,X,X
ILJZOTS,X,X,X,O,O,X,O,X,X,O,X,X
ILJZOST,X,X,X,O,O,X,O,X,X,X,X,X
ILJOTSZ,X,X,X,O,O,X,X,X,X,O,X,X
ILJOTZS,X,X,X,O,O,X,O,X,X,O,X,X
ILJOSTZ,X,X,X,O,O,X,X,X,X,X,X,X
ILJOSZT,X,X,X,O,O,X,O,X,X,X,X,X
ILJOZTS,X,X,X,O,O,X,O,X,X,X,X,X
ILJOZST,X,X,X,O,O,X,O,X,X,X,X,X
ILSTJZO,X,X,X,O,X,X,X,O,O,X,X,X
ILSTJOZ,X,X,X,O,X,X,X,O,O,X,X,X
ILSTZJO,X,X,X,O,X,X,X,O,O,X,X,X
ILSTZOJ,X,X,X,X,X,X,X,O,O,X,X,X
ILSTOJZ,X,X,X,O,X,X,X,O,O,X,X,X
ILSTOZJ,X,X,X,X,X,X,X,O,O,X,X,X
ILSJTZO,X,X,X,O,X,X,X,O,X,X,X,X
ILSJTOZ,X,X,X,O,X,X,X,O,X,X,X,X
ILSJZTO,X,X,X,O,X,X,X,X,X,X,X,X
ILSJZOT,X,X,X,O,X,X,O,X,X,X,X,X
ILSJOTZ,X,X,X,O,X,X,X,O,X,X,X,X
ILSJOZT,X,X,X,O,X,X,O,X,X,X,X,X
ILSZTJO,X,X,X,O,X,X,X,O,X,X,X,O
ILSZTOJ,X,X,X,X,X,X,X,O,X,X,X,O
ILSZJTO,X,X,X,O,X,X,X,X,X,X,X,X
ILSZJOT,X,X,X,O,X,X,O,X,X,X,X,X
ILSZOTJ,X,X,X,X,X,X,O,O,X,X,X,X
ILSZOJT,X,X,X,X,X,X,O,X,X,X,X,X
ILSOTJZ,X,X,X,O,X,X,X,O,O,X,X,X
ILSOTZJ,X,X,X,X,X,X,O,O,O,X,X,X
ILSOJTZ,X,X,X,O,X,X,X,O,X,X,X,X
ILSOJZT,X,X,X,O,X,X,O,X,X,X,X,X
ILSOZTJ,X,X,X,X,X,X,O,O,X,X,X,X
ILSOZJT,X,X,X,X,X,X,O,X,X,X,X,X
ILZTJSO,X,X,X,O,O,X,X,X,X,O,X,X
ILZTJOS,X,X,X,O,O,X,O,X,X,O,X,X
ILZTSJO,X,X,X,O,O,X,X,X,X,O,X,X
ILZTSOJ,X,X,X,X,O,X,X,X,X,O,X,X
ILZTOJS,X,X,X,X,O,X,O,X,X,O,X,X
ILZTOSJ,X,X,X,X,O,X,O,X,X,O,X,X
ILZJTSO,X,X,X,O,O,X,X,X,X,O,X,X
ILZJTOS,X,X,X,O,O,X,O,X,X,O,X,X
ILZJSTO,X,X,X,O,O,X,X,X,X,O,X,X
ILZJSOT,X,X,X,O,O,X,O,X,X,X,X,X
ILZJOTS,X,X,X,O,O,X,O,X,X,O,X,X
ILZJOST,X,X,X,O,O,X,O,X,X,X,X,X
ILZSTJO,X,X,X,O,O,X,X,X,X,O,X,X
ILZSTOJ,X,X,X,X,O,X,X,X,X,O,X,X
ILZSJTO,X,X,X,O,O,X,X,X,X,X,X,X
ILZSJOT,X,X,X,O,O,X,O,X,X,X,X,X
ILZSOTJ,X,X,X,X,O,X,O,X,X,X,X,X
ILZSOJT,X,X,X,X,O,X,O,X,X,X,X,X
ILZOTJS,X,X,X,X,O,X,O,X,X,O,X,X
ILZOTSJ,X,X,X,X,O,X,O,X,X,O,X,X
ILZOJTS,X,X,X,X,O,X,O,X,X,X,X,X
ILZOJST,X,X,X,X,O,X,O,X,X,X,X,X
ILZOSTJ,X,X,X,X,O,X,O,X,X,X,X,X
ILZOSJT,X,X,X,X,O,X,O,X,X,X,X,X
ILOTJSZ,X,X,X,O,O,X,X,O,X,X,X,X
ILOTJZS,X,X,X,O,O,X,O,X,X,X,X,X
ILOTSJZ,X,X,X,O,X,X,X,O,O,X,X,X
ILOTSZJ,X,X,X,X,X,X,O,X,O,X,X,X
ILOTZJS,X,X,X,X,O,X,O,X,X,X,X,X
ILOTZSJ,X,X,X,X,O,X,O,X,X,X,X,X
ILOJTSZ,X,X,X,O,O,X,X,X,X,X,X,X
ILOJTZS,X,X,X,O,O,X,O,X,X,X,X,X
ILOJSTZ,X,X,X,O,O,X,X,X,X,X,X,X
ILOJSZT,X,X,X,O,O,X,O,X,X,X,X,X
ILOJZTS,X,X,X,O,O,X,O,X,X,X,X,X
ILOJZST,X,X,X,O,O,X,O,X,X,X,X,X
ILOSTJZ,X,X,X,O,X,X,X,O,O,X,X,X
ILOSTZJ,X,X,X,X,X,X,O,O,O,X,X,X
ILOSJTZ,X,X,X,O,O,X,X,O,X,X,X,X
ILOSJZT,X,X,X,O,O,X,O,X,X,X,X,X
ILOSZTJ,X,X,X,X,O,X,O,O,X,X,X,X
ILOSZJT,X,X,X,X,O,X,O,X,X,X,X,X
ILOZTJS,X,X,X,X,O,X,O,X,X,X,X,X
ILOZTSJ,X,X,X,X,O,X,O,X,X,X,X,X
ILOZJTS,X,X,X,X,O,X,O,X,X,X,X,X
ILOZJST,X,X,X,X,O,X,O,X,X,X,X,X
ILOZSTJ,X,X,X,X,O,X,O,X,X,X,X,X
ILOZSJT,X,X,X,X,O,X,O,X,X,X,X,X
IJTLSZO,O,O,X,X,O,X,X,X,X,X,X,X
IJTLSOZ,O,X,X,X,O,X,X,X,X,X,X,X
IJTLZSO,O,O,X,X,O,X,X,X,X,X,X,X
IJTLZOS,O,O,X,X,O,X,X,X,X,X,X,X
IJTLOSZ,O,X,X,X,O,X,X,X,X,X,X,X
IJTLOZS,O,O,X,X,O,X,X,X,X,X,X,X
IJTSLZO,O,O,X,X,X,X,X,X,X,X,X,X
IJTSLOZ,O,X,X,X,X,X,X,X,X,X,X,X
IJTSZLO,O,O,X,X,X,X,X,X,X,X,X,X
IJTSZOL,O,O,X,X,X,X,X,X,X,X,X,X
IJTSOLZ,O,X,X,X,X,X,X,X,X,X,X,X
IJTSOZL,O,X,X,X,X,X,X,X,X,X,X,X
IJTZLSO,O,O,X,X,O,X,X,X,X,X,X,X
IJTZLOS,O,O,X,X,O,X,X,X,X,X,X,X
IJTZSLO,O,O,X,X,O,X,X,X,X,X,X,X
IJTZSOL,O,O,X,X,X,X,X,X,X,X,X,X
IJTZOLS,O,O,X,X,X,X,X,X,X,X,X,X
IJTZOSL,O,O,X,X,X,X,X,X,X,X,X,X
IJTOLSZ,O,X,X,X,X,X,X,X,X,X,X,X
IJTOLZS,O,O,X,X,X,X,X,X,X,X,X,X
IJTOSLZ,O,X,X,X,X,X,X,X,X,X,X,X
IJTOSZL,O,X,X,X,X,X,X,X,X,X,X,X
IJTOZLS,O,O,X,X,X,X,X,X,X,X,X,X
IJTOZSL,O,O,X,X,X,X,X,X,X,X,X,X
IJLTSZO,O,O,X,O,O,X,X,X,X,X,X,X
IJLTSOZ,O,X,X,X,O,X,X,X,X,X,X,X
IJLTZSO,O,O,X,O,O,X,X,X,X,X,X,X
IJLTZOS,O,O,X,X,O,X,O,X,X,X,X,X
IJLTOSZ,O,X,X,X,O,X,X,X,X,X,X,X
IJLTOZS,O,O,X,X,O,X,O,X,X,X,X,X
IJLSTZO,O,X,X,O,O,X,X,X,X,X,X,X
IJLSTOZ,O,X,X,X,O,X,X,X,X,X,X,X
IJLSZTO,O,X,X,O,O,X,X,X,X,X,X,X
IJLSZOT,O,X,X,X,O,X,O,X,X,X,X,X
IJLSOTZ,O,X,X,X,O,X,X,X,X,X,X,X
IJLSOZT,O,X,X,X,O,X,O,X,X,X,X,X
IJLZTSO,O,O,X,O,O,X,X,X,X,X,X,X
IJLZTOS,O,O,X,X,O,X,O,X,X,X,X,X
IJLZSTO,O,O,X,O,O,X,X,X,X,X,X,X
IJLZSOT,O,X,X,X,O,X,O,X,X,X,X,X
IJLZOTS,X,X,X,X,O,X,O,X,X,X,X,X
IJLZOST,X,X,X,X,O,X,O,X,X,X,X,X
IJLOTSZ,X,X,X,X,O,X,X,X,X,X,X,X
IJLOTZS,X,X,X,X,O,X,O,X,X,X,X,X
IJLOSTZ,X,X,X,X,O,X,X,X,X,X,X,X
IJLOSZT,X,X,X,X,O,X,O,X,X,X,X,X
IJLOZTS,X,X,X,X,O,X,O,X,X,X,X,X
IJLOZST,X,X,X,X,O,X,O,X,X,X,X,X
IJSTLZO,O,O,O,X,X,X,X,X,X,X,X,X
IJSTLOZ,O,X,X,X,X,X,X,X,X,X,X,X
IJSTZLO,O,O,O,X,X,X,X,X,X,X,X,X
IJSTZOL,O,O,O,X,X,X,X,X,X,X,X,X
IJSTOLZ,O,X,X,X,X,X,X,X,X,X,X,X
IJSTOZL,O,X,X,X,X,X,X,X,X,X,X,X
IJSLTZO,O,X,O,X,X,X,X,X,X,X,X,X
IJSLTOZ,O,X,X,X,X,X,X,X,X,X,X,X
IJSLZTO,O,X,O,X,X,X,X,X,X,X,X,X
IJSLZOT,O,X,O,X,X,X,X,X,X,X,X,X
IJSLOTZ,O,X,X,X,X,X,X,X,X,X,X,X
IJSLOZT,O,X,O,X,X,X,X,X,X,X,X,X
IJSZTLO,O,O,O,X,X,X,X,X,X,X,X,X
IJSZTOL,O,O,O,X,X,X,X,X,X,X,X,X
IJSZLTO,O,O,O,X,X,X,X,X,X,X,X,X
IJSZLOT,O,X,O,X,X,X,X,X,X,X,X,X
IJSZOTL,O,O,O,X,X,X,X,X,X,X,X,X
IJSZOLT,O,X,O,X,X,X,X,X,X,X,X,X
IJSOTLZ,O,X,X,X,X,X,X,X,X,X,X,X
IJSOTZL,O,X,X,X,X,X,X,X,X,X,X,X
IJSOLTZ,O,X,X,X,X,X,X,X,X,X,X,X
IJSOLZT,O,X,O,X,X,X,X,X,X,X,X,X
IJSOZTL,O,X,O,X,X,X,X,X,X,X,X,X
IJSOZLT,O,X,O,X,X,X,X,X,X,X,X,X
IJZTLSO,O,O,X,O,O,X,X,X,X,X,X,X
IJZTLOS,O,O,X,X,O,X,X,X,X,X,X,X
IJZTSLO,O,O,O,X,O,X,X,X,X,X,X,X
IJZTSOL,O,O,X,X,X,X,X,X,X,X,X,X
IJZTOLS,O,O,X,X,X,X,X,X,X,X,X,X
IJZTOSL,O,O,X,O,X,X,X,X,X,X,X,X
IJZLTSO,O,O,X,O,O,X,X,X,X,X,X,X
IJZLTOS,O,O,X,X,O,X,X,X,X,X,X,X
IJZLSTO,O,O,X,O,O,X,X,X,X,X,X,X
IJZLSOT,O,X,X,X,O,X,X,X,X,X,X,X
IJZLOTS,X,X,X,X,O,X,X,X,X,X,X,X
IJZLOST,X,X,X,X,O,X,X,X,X,X,X,X
IJZSTLO,O,O,O,X,O,X,X,X,X,X,X,X
IJZSTOL,O,O,O,X,X,X,X,X,X,X,X,X
IJZSLTO,O,O,O,X,O,X,X,X,X,X,X,X
IJZSLOT,O,X,O,X,O,X,X,X,X,X,X,X
IJZSOTL,O,O,O,X,X,X,X,X,X,X,X,X
IJZSOLT,O,X,O,X,X,X,X,X,X,X,X,X
IJZOTLS,O,O,X,O,X,X,X,X,X,X,X,X
IJZOTSL,O,O,X,O,X,X,X,X,X,X,X,X
IJZOLTS,X,X,X,O,X,X,X,X,X,X,X,X
IJZOLST,X,X,X,O,X,X,X,X,X,X,X,X
IJZOSTL,O,O,X,O,X,X,X,X,X,X,X,X
IJZOSLT,O,X,X,O,X,X,X,X,X,X,X,X
IJOTLSZ,O,X,X,O,X,X,X,X,X,X,X,X
IJOTLZS,O,O,X,O,X,X,X,X,X,X,X,X
IJOTSLZ,O,X,X,O,X,X,X,X,X,X,X,X
IJOTSZL,O,X,X,O,X,X,X,X,X,X,X,X
IJOTZLS,O,O,X,O,X,X,X,X,X,X,X,X
IJOTZSL,O,O,X,O,X,X,X,X,X,X,X,X
IJOLTSZ,X,X,X,O,X,X,X,X,X,X,X,X
IJOLTZS,X,X,X,O,X,X,O,X,X,X,X,X
IJOLSTZ,X,X,X,O,X,X,X,X,X,X,X,X
IJOLSZT,X,X,X,O,X,X,O,X,X,X,X,X
IJOLZTS,X,X,X,O,X,X,O,X,X,X,X,X
IJOLZST,X,X,X,O,X,X,O,X,X,X,X,X
IJOSTLZ,O,X,X,O,X,X,X,X,X,X,X,X
IJOSTZL,O,X,X,O,X,X,X,X,X,X,X,X
IJOSLTZ,O,X,X,O,X,X,X,X,X,X,X,X
IJOSLZT,O,X,X,O,X,X,X,X,X,X,X,X
IJOSZTL,O,X,X,O,X,X,X,X,X,X,X,X
IJOSZLT,O,X,X,O,X,X,X,X,X,X,X,X
IJOZTLS,O,O,X,O,X,X,X,X,X,X,X,X
IJOZTSL,O,O,X,O,X,X,X,X,X,X,X,X
IJOZLTS,X,X,X,O,X,X,X,X,X,X,X,X
IJOZLST,X,X,X,O,X,X,X,X,X,X,X,X
IJOZSTL,O,O,X,O,X,X,X,X,X,X,X,X
IJOZSLT,O,X,X,O,X,X,X,X,X,X,X,X
ISTLJZO,O,X,O,X,X,O,X,O,O,X,O,X
ISTLJOZ,O,X,O,X,X,O,X,O,O,X,O,X
ISTLZJO,X,X,O,X,X,O,X,O,O,X,O,X
ISTLZOJ,X,X,O,X,X,O,X,O,O,X,O,X
ISTLOJZ,O,X,O,X,X,O,X,O,O,X,O,X
ISTLOZJ,X,X,O,X,X,O,X,O,O,X,O,X
ISTJLZO,O,X,O,X,X,O,X,O,X,X,O,X
ISTJLOZ,O,X,O,X,X,O,X,O,X,X,O,X
ISTJZLO,O,X,O,X,X,O,X,O,X,X,O,X
ISTJZOL,O,X,O,X,X,X,X,X,X,X,O,X
ISTJOLZ,O,X,X,X,X,O,X,O,X,X,O,X
ISTJOZL,O,X,X,X,X,O,X,X,X,X,O,X
ISTZLJO,X,X,O,X,X,O,X,O,X,X,O,X
ISTZLOJ,X,X,O,X,X,O,X,O,X,X,O,X
ISTZJLO,X,X,O,X,X,O,X,O,X,X,O,X
ISTZJOL,X,X,O,X,X,O,X,X,X,X,O,X
ISTZOLJ,X,X,O,X,X,O,X,X,X,X,O,X
ISTZOJL,X,X,O,X,X,O,X,X,X,X,X,X
ISTOLJZ,O,X,O,X,X,O,X,O,X,X,O,X
ISTOLZJ,X,X,O,X,X,O,X,O,X,X,O,X
ISTOJLZ,O,X,X,X,X,O,X,O,X,X,O,X
ISTOJZL,O,X,X,X,X,O,X,X,X,X,O,X
ISTOZLJ,X,X,O,X,X,O,X,X,X,X,O,X
ISTOZJL,X,X,O,X,X,O,X,X,X,X,X,X
ISLTJZO,O,X,O,X,X,O,X,O,O,X,X,X
ISLTJOZ,O,X,O,X,X,O,X,O,O,X,X,X
ISLTZJO,X,X,O,X,X,O,X,O,O,X,X,X
ISLTZOJ,X,X,O,X,X,O,X,O,O,X,X,X
ISLTOJZ,O,X,O,X,X,O,X,O,O,X,X,X
ISLTOZJ,X,X,O,X,X,O,X,O,O,X,X,X
ISLJTZO,O,X,O,X,X,X,X,O,X,X,X,X
ISLJTOZ,O,X,O,X,X,X,X,O,X,X,X,X
ISLJZTO,O,X,O,X,X,X,X,X,X,X,X,X
ISLJZOT,O,X,O,X,X,X,X,X,X,X,X,X
ISLJOTZ,O,X,X,X,X,X,X,O,X,X,X,X
ISLJOZT,O,X,O,X,X,X,X,X,X,X,X,X
ISLZTJO,X,X,O,X,X,O,X,O,X,X,X,O
ISLZTOJ,X,X,O,X,X,O,X,O,X,X,X,O
ISLZJTO,X,X,O,X,X,X,X,X,X,X,X,X
ISLZJOT,X,X,O,X,X,O,X,X,X,X,X,X
ISLZOTJ,X,X,O,X,X,O,X,O,X,X,X,X
ISLZOJT,X,X,O,X,X,O,X,X,X,X,X,X
ISLOTJZ,X,X,O,X,X,O,X,O,O,X,X,X
ISLOTZJ,X,X,O,X,X,O,X,O,O,X,X,X
ISLOJTZ,X,X,X,X,X,O,X,O,X,X,X,X
ISLOJZT,X,X,O,X,X,O,X,X,X,X,X,X
ISLOZTJ,X,X,O,X,X,O,X,O,X,X,X,X
ISLOZJT,X,X,O,X,X,O,X,X,X,X,X,X
ISJTLZO,O,X,O,X,X,O,X,O,X,X,X,X
ISJTLOZ,O,X,O,X,X,O,X,O,X,X,X,X
ISJTZLO,O,X,O,X,X,O,X,O,X,X,X,X
ISJTZOL,O,X,O,X,X,X,X,X,X,X,X,X
ISJTOLZ,O,X,X,X,X,O,X,O,X,X,X,X
ISJTOZL,O,X,X,X,X,O,X,X,X,X,X,X
ISJLTZO,O,X,O,X,X,X,X,O,X,X,X,X
ISJLTOZ,O,X,O,X,X,X,X,O,X,X,X,X
ISJLZTO,O,X,O,X,X,X,X,X,X,X,X,X
ISJLZOT,O,X,O,X,X,X,X,X,X,X,X,X
ISJLOTZ,O,X,X,X,X,X,X,O,X,X,X,X
ISJLOZT,O,X,O,X,X,X,X,X,X,X,X,X
ISJZTLO,O,X,O,X,X,O,X,X,X,X,X,X
ISJZTOL,O,X,O,X,X,O,X,X,X,X,X,X
ISJZLTO,O,X,O,X,X,X,X,X,X,X,X,X
ISJZLOT,O,X,O,X,X,O,X,X,X,X,X,X
ISJZOTL,O,X,O,X,X,O,X,X,X,X,X,X
ISJZOLT,O,X,O,X,X,O,X,X,X,X,X,X
ISJOTLZ,O,X,X,X,X,O,X,X,X,X,X,X
ISJOTZL,O,X,X,X,X,O,X,X,X,X,X,X
ISJOLTZ,O,X,X,X,X,O,X,X,X,X,X,X
ISJOLZT,O,X,O,X,X,O,X,X,X,X,X,X
ISJOZTL,O,X,O,X,X,O,X,X,X,X,X,X
ISJOZLT,O,X,O,X,X,O,X,X,X,X,X,X
ISZTLJO,X,X,O,X,X,O,X,O,X,X,O,X
ISZTLOJ,X,X,O,X,X,O,X,O,X,X,O,X
ISZTJLO,X,X,O,X,X,O,X,O,X,X,O,X
ISZTJOL,X,X,O,X,X,O,X,X,X,X,O,X
ISZTOLJ,X,X,O,X,X,O,X,X,X,X,O,X
ISZTOJL,X,X,O,X,X,O,X,X,X,X,O,X
ISZLTJO,X,X,O,X,X,O,X,O,X,X,X,O
ISZLTOJ,X,X,O,X,X,O,X,O,X,X,X,O
ISZLJTO,X,X,O,X,X,X,X,X,X,X,X,X
ISZLJOT,X,X,O,X,X,O,X,X,X,X,X,X
ISZLOTJ,X,X,O,X,X,O,X,O,X,X,X,X
ISZLOJT,X,X,O,X,X,O,X,X,X,X,X,X
ISZJTLO,X,X,O,X,X,O,X,X,X,X,X,X
ISZJTOL,X,X,O,X,X,O,X,X,X,X,X,X
ISZJLTO,X,X,O,X,X,X,X,X,X,X,X,X
ISZJLOT,X,X,O,X,X,O,X,X,X,X,X,X
ISZJOTL,X,X,O,X,X,O,X,X,X,X,X,X
ISZJOLT,X,X,O,X,X,O,X,X,X,X,X,X
ISZOTLJ,X,X,O,X,X,O,X,X,X,X,X,X
ISZOTJL,X,X,O,X,X,O,X,X,X,X,X,X
ISZOLTJ,X,X,O,X,X,O,X,X,X,X,X,X
ISZOLJT,X,X,O,X,X,O,X,X,X,X,X,X
ISZOJTL,X,X,O,X,X,O,X,X,X,X,X,X
ISZOJLT,X,X,O,X,X,O,X,X,X,X,X,X
ISOTLJZ,X,X,O,X,X,O,X,O,X,X,X,X
ISOTLZJ,X,X,O,X,X,O,X,O,X,X,X,X
ISOTJLZ,X,X,X,X,X,O,X,O,X,X,X,X
ISOTJZL,X,X,X,X,X,O,X,X,X,X,X,X
ISOTZLJ,X,X,O,X,X,O,X,X,X,X,X,X
ISOTZJL,X,X,O,X,X,O,X,X,X,X,X,X
ISOLTJZ,X,X,O,X,X,O,X,O,X,X,X,X
ISOLTZJ,X,X,O,X,X,O,X,O,X,X,X,X
ISOLJTZ,X,X,X,X,X,O,X,O,X,X,X,X
ISOLJZT,X,X,O,X,X,O,X,X,X,X,X,X
ISOLZTJ,X,X,O,X,X,O,X,O,X,X,X,X
ISOLZJT,X,X,O,X,X,O,X,X,X,X,X,X
ISOJTLZ,X,X,X,X,X,O,X,X,X,X,X,X
ISOJTZL,X,X,X,X,X,O,X,X,X,X,X,X
