sequence,v115@6gC8HeB8HeE8AeF8DeF8Jei6IvhFzbBUdB3fBWnBll?BxuB,v115@6gC8HeB8HeE8AeF8DeF8Jei6IvhF3bBuhB1kB8lBTn?BxuB,v115@6gC8HeB8HeE8AeF8DeF8JeO/IvhF8fBzbBqhB/iBll?BxuB,v115@6gC8HeB8HeE8AeF8DeF8Je06IvhFlbB3cB2kBTiBCm?BxuB,v115@6gC8HeB8HeE8AeF8DeF8Jel6IvhF3bBzcB2kB8lBSs?BxuB,v115@6gC8HeB8HeE8AeF8DeF8Jem6IvhFCcB/iBTfB0hBll?BxuB,v115@6gC8HeB8HeE8AeF8DeF8Jeu/IvhFcgBXhBTiBSvBZk?BlrB,v115@6gC8HeB8HeE8AeF8DeF8JeK/IvhFzaBWhB/iB0hBll?BxuB,v115@6gC8HeB8HeE8AeF8DeF8Jex6IvhFzcB3fBSnBllB8q?B2uB,v115@6gC8HeB8HeE8AeF8DeF8Jex6IvhFlcBTiBCmBOpB8p?B3qB,v115@6gC8HeB8HeE8AeF8DeF8Jez6IvhFCcB/iB0hBllBZk?BWvB,v115@6gC8HeB8HeE8AeF8DeF8JeK/IvhFxbB/iB0hBllB+p?BTqB
TLJIOZS,O,O,X,O,O,X,O,O,X,O,X,X
TLJSIZO,O,O,X,O,O,O,X,O,O,O,O,X
TLJSIOZ,O,X,X,O,O,O,X,O,O,O,O,X
TLJSZIO,O,O,X,X,O,O,X,X,O,O,O,X
TLJSZOI,O,O,X,X,O,O,X,O,O,X,O,X
TLJSOIZ,O,X,X,X,O,O,X,O,O,X,O,X
TLJSOZI,O,X,X,X,O,O,X,O,O,X,O,X
TLJZISO,O,O,X,X,O,X,X,X,X,O,X,X
TLJZIOS,O,O,X,X,O,X,O,X,X,O,X,X
TLJZSIO,O,O,X,X,O,X,X,X,X,O,X,X
TLJZSOI,O,O,X,X,O,X,X,O,X,X,X,X
TLJZOIS,O,O,X,X,O,X,O,X,X,O,X,X
TLJZOSI,O,O,X,X,O,X,O,O,X,X,X,X
TLJOISZ,O,O,X,X,O,X,X,O,X,O,O,X
TLJOIZS,O,O,X,X,O,X,O,X,X,O,X,X
TLJOSIZ,O,O,X,X,O,X,X,O,O,X,O,X
TLJOSZI,O,O,X,X,O,X,X,O,O,X,O,X
TLJOZIS,O,O,X,X,O,X,O,X,X,O,X,X
TLJOZSI,O,O,X,X,O,X,O,O,X,X,X,X
TLSIJZO,O,X,O,O,X,O,X,O,O,X,O,X
TLSIJOZ,O,X,O,O,X,O,X,O,O,X,O,X
TLSIZJO,X,X,O,O,X,O,X,O,O,X,O,X
TLSIZOJ,X,X,O,X,X,O,X,O,O,X,O,X
TLSIOJZ,O,X,O,O,X,O,X,O,O,X,O,X
TLSIOZJ,X,X,O,X,X,O,X,O,O,X,O,X
TLSJIZO,O,O,O,O,X,O,X,O,O,O,O,X
TLSJIOZ,O,X,O,O,X,O,X,O,O,O,O,X
TLSJZIO,O,O,O,X,X,O,X,X,O,O,O,X
TLSJZOI,O,O,O,X,X,O,X,O,O,X,O,X
TLSJOIZ,O,X,O,X,X,O,X,O,O,X,O,X
TLSJOZI,O,X,O,X,X,O,X,O,O,X,O,X
TLSZIJO,X,O,O,O,X,O,X,X,O,O,O,O
TLSZIOJ,X,O,O,X,X,O,X,X,O,O,O,O
TLSZJIO,O,O,O,X,X,O,X,X,O,O,O,O
TLSZJOI,O,O,O,X,X,O,X,O,O,X,O,O
TLSZOIJ,X,O,O,X,X,X,X,X,O,X,O,O
TLSZOJI,O,O,O,X,X,X,X,O,O,X,X,O
TLSOIJZ,O,O,O,O,X,O,X,O,O,X,O,X
TLSOIZJ,X,O,O,X,X,O,X,O,O,X,O,X
TLSOJIZ,O,O,O,X,X,O,X,O,O,X,O,X
TLSOJZI,O,O,O,X,X,O,X,O,O,X,O,X
TLSOZIJ,X,O,O,X,X,X,X,X,O,X,O,X
TLSOZJI,O,O,O,X,X,X,X,O,O,X,X,X
TLZIJSO,X,O,O,O,O,X,X,X,X,O,X,X
TLZIJOS,X,X,X,O,O,X,O,X,X,O,X,X
TLZISJO,X,O,O,O,O,X,X,X,X,O,X,X
TLZISOJ,X,O,O,X,O,X,X,X,X,O,X,X
TLZIOJS,X,O,X,X,O,X,O,X,X,O,X,X
TLZIOSJ,X,O,X,X,O,X,O,X,X,O,X,X
TLZJISO,X,O,X,X,X,X,X,X,X,O,X,X
TLZJIOS,X,O,X,X,X,X,O,X,X,O,X,X
TLZJSIO,X,O,O,X,X,X,X,X,X,O,X,X
TLZJSOI,X,O,O,X,X,X,X,O,X,X,X,X
TLZJOIS,X,O,X,X,X,X,O,X,X,O,X,X
TLZJOSI,X,O,X,X,X,X,O,O,X,X,X,X
TLZSIJO,X,O,O,O,O,X,X,X,O,O,X,X
TLZSIOJ,X,O,O,X,O,X,X,X,O,O,X,X
TLZSJIO,X,O,O,X,X,X,X,X,O,O,X,X
