sequence,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeF7IvhF0cB6iB3gBT?mB2sBxwB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeU7IvhFGcBTdBylB3?mB1sBxwB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeF7IvhFxcB3gBqnBm?mBTrBUsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeU7IvhFFcBXdBqnBm?lBzmBxwB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeR7IvhFSiBTgB/mBU?iB2wBlsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeR7IvhFWiBigBFmB0?nB3rBTsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeaAJvhFzbBWiBFmBX?nB0nBxwB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeU7IvhFWiBZmB3gBT?iBqrBlsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeU7IvhFzcB+iBZmB3?gBqrBlsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeR7IvhFTgBcnBOrBl?mB3sBCsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeaAJvhFxcBGhBTiB0?rBlsBfrB,v115@zgA8GeD8FeD8FeF8EeE8DeB8Je37IvhFWiBZmBUgBT?iBqrBlsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8Je/BJvhF0gBZnBqnBF?gBTrBGsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeaAJvhFxhB0rBlsBf?rBGrBTsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeU7IvhFmhBqnBxlBF?mB3rBTsB
TIJOLSZ,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X
TIJOLZS,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TIJOSLZ,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TIJOSZL,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TIJOZLS,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TIJOZSL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TISLJZO,O,O,X,X,X,O,O,X,X,X,X,O,X,X,O
TISLJOZ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TISLZJO,O,O,X,X,X,O,O,X,X,X,X,O,X,X,O
TISLZOJ,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TISLOJZ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TISLOZJ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TISJLZO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TISJLOZ,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TISJZLO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TISJZOL,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TISJOLZ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TISJOZL,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TISZLJO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,O
TISZLOJ,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TISZJLO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TISZJOL,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TISZOLJ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TISZOJL,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TISOLJZ,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TISOLZJ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TISOJLZ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TISOJZL,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TISOZLJ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TISOZJL,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X
TIZLJSO,X,O,X,O,X,O,X,O,O,X,X,X,X,X,O
TIZLJOS,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X
TIZLSJO,X,O,X,O,X,O,O,O,O,X,X,X,X,O,X
TIZLSOJ,X,O,X,O,X,O,O,X,X,X,X,X,X,O,X
TIZLOJS,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X
TIZLOSJ,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TIZJLSO,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
TIZJLOS,O,O,X,O,X,X,O,X,O,X,O,X,X,X,X
TIZJSLO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZJSOL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZJOLS,O,O,X,O,X,X,O,X,O,X,O,X,X,X,X
TIZJOSL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TIZSLJO,O,O,X,O,X,O,O,X,X,X,X,X,X,O,O
TIZSLOJ,O,O,X,O,X,O,O,X,X,X,X,X,X,O,X
TIZSJLO,O,O,X,O,X,O,O,X,X,X,X,X,X,O,X
TIZSJOL,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TIZSOLJ,O,O,X,O,X,O,O,X,X,X,X,X,X,O,X
TIZSOJL,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZOLJS,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X
TIZOLSJ,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TIZOJLS,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X
TIZOJSL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TIZOSLJ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TIZOSJL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOLJSZ,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X
TIOLJZS,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TIOLSJZ,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TIOLSZJ,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TIOLZJS,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X
TIOLZSJ,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TIOJLSZ,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TIOJLZS,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TIOJSLZ,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TIOJSZL,O,O,X,O,O,X,O,X,X,O,X,X,X,X,X
TIOJZLS,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TIOJZSL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TIOSLJZ,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TIOSLZJ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TIOSJLZ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TIOSJZL,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TIOSZLJ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TIOSZJL,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X
TIOZLJS,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X
TIOZLSJ,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TIOZJLS,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X
TIOZJSL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TIOZSLJ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TIOZSJL,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIJSZO,O,O,X,O,X,O,O,O,O,X,X,O,X,X,X
TLIJSOZ,O,O,O,O,X,O,O,X,O,X,X,O,X,X,X
TLIJZSO,O,O,X,O,X,O,X,O,O,X,X,O,X,X,O
TLIJZOS,O,O,X,O,X,X,O,O,O,X,X,X,X,X,X
TLIJOSZ,O,O,O,O,O,O,O,X,O,X,X,O,X,X,X
TLIJOZS,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X
TLISJZO,O,O,X,O,X,O,O,O,O,X,X,O,X,X,X
TLISJOZ,O,O,O,O,X,O,O,X,O,X,X,O,X,X,X
TLISZJO,O,O,X,O,X,O,O,O,O,X,X,O,X,X,X
TLISZOJ,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TLISOJZ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TLISOZJ,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TLIZJSO,X,O,X,O,X,O,X,O,O,X,X,O,X,X,O
TLIZJOS,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X
TLIZSJO,X,O,X,O,X,O,O,O,O,X,X,O,X,O,X
TLIZSOJ,X,O,O,O,X,O,O,X,X,X,X,X,X,O,X
TLIZOJS,X,O,O,O,X,X,O,O,O,X,O,X,X,X,X
TLIZOSJ,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TLIOJSZ,O,O,O,O,O,O,O,X,O,X,X,O,X,X,X
TLIOJZS,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X
TLIOSJZ,X,O,O,O,X,O,O,X,X,X,X,O,X,X,X
TLIOSZJ,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X
TLIOZJS,O,O,O,O,X,X,O,O,O,X,O,X,X,X,X
TLIOZSJ,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X
TLJISZO,O,O,X,X,X,O,O,O,O,X,X,O,X,X,X
TLJISOZ,O,O,O,X,X,O,O,X,O,X,X,O,X,X,X
TLJIZSO,O,O,X,X,X,O,X,O,O,X,X,O,X,X,X
TLJIZOS,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X
TLJIOSZ,O,O,O,X,O,O,O,X,O,X,X,O,X,X,X
TLJIOZS,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TLJSIZO,O,X,X,X,X,O,X,O,O,X,X,O,X,X,X
TLJSIOZ,O,X,O,X,O,O,X,X,O,X,X,O,X,X,X
TLJSZIO,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TLJSZOI,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
TLJSOIZ,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X
TLJSOZI,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
TLJZISO,O,O,X,X,X,O,X,O,O,X,X,O,X,X,X
TLJZIOS,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X
TLJZSIO,O,X,X,X,X,O,X,O,O,X,X,X,X,O,X
TLJZSOI,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X
TLJZOIS,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X
TLJZOSI,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLJOISZ,O,X,O,X,O,O,O,X,O,X,X,O,X,X,X
TLJOIZS,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TLJOSIZ,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X
TLJOSZI,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
TLJOZIS,O,O,O,X,X,X,O,O,O,X,O,X,X,X,X
TLJOZSI,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLSIJZO,O,O,X,O,X,O,O,O,O,X,X,O,X,X,O
TLSIJOZ,O,O,O,O,X,O,O,X,O,X,X,O,X,X,X
TLSIZJO,O,O,X,O,X,O,O,O,O,X,X,O,X,X,O
TLSIZOJ,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TLSIOJZ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TLSIOZJ,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TLSJIZO,O,O,X,X,X,O,X,O,O,X,X,O,X,X,O
TLSJIOZ,X,O,O,X,X,O,X,X,O,X,X,O,X,X,X
TLSJZIO,O,O,X,X,X,O,X,O,O,X,X,X,X,X,O
TLSJZOI,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
TLSJOIZ,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X
TLSJOZI,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X
TLSZIJO,O,O,X,O,X,O,X,O,O,X,X,X,X,O,O
TLSZIOJ,O,O,O,O,X,O,X,X,X,X,X,X,X,O,X
TLSZJIO,O,O,X,X,X,O,X,O,O,X,X,X,X,O,O
TLSZJOI,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X
TLSZOIJ,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X
TLSZOJI,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
TLSOIJZ,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLSOIZJ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TLSOJIZ,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLSOJZI,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TLSOZIJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSOZJI,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TLZIJSO,X,O,X,O,X,O,X,O,O,X,X,O,X,X,O
TLZIJOS,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X
TLZISJO,X,O,X,O,X,O,O,O,O,X,X,O,X,O,X
TLZISOJ,X,O,O,O,X,O,O,X,X,X,X,X,X,O,X
TLZIOJS,X,O,O,O,X,X,O,O,O,X,O,X,X,X,X
TLZIOSJ,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TLZJISO,X,O,X,X,X,O,X,O,O,X,X,O,X,X,X
TLZJIOS,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X
TLZJSIO,X,X,X,X,X,O,X,O,O,X,X,X,X,O,X
TLZJSOI,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X
TLZJOIS,X,O,X,X,X,X,O,O,O,X,O,X,X,X,X
TLZJOSI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLZSIJO,X,O,X,O,X,O,X,O,O,X,X,X,X,O,O
TLZSIOJ,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X
TLZSJIO,X,O,X,X,X,O,X,O,O,X,X,X,X,O,O
TLZSJOI,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X
TLZSOIJ,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X
TLZSOJI,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
TLZOIJS,X,O,O,X,X,X,O,O,O,X,O,X,X,X,X
TLZOISJ,X,O,O,X,X,O,O,X,X,X,X,X,O,X,X
TLZOJIS,X,O,O,X,X,X,O,O,O,X,O,X,X,X,X
TLZOJSI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLZOSIJ,X,O,O,X,X,O,X,X,X,X,X,X,O,O,X
TLZOSJI,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
TLOIJSZ,X,O,O,X,O,O,O,X,O,X,X,O,X,X,X
TLOIJZS,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TLOISJZ,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TLOISZJ,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X
TLOIZJS,X,O,O,X,X,X,O,O,O,X,O,X,X,X,X
TLOIZSJ,X,O,O,X,X,O,O,X,X,X,X,X,O,X,X
TLOJISZ,X,X,O,X,O,O,O,X,O,X,X,O,X,X,X
TLOJIZS,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TLOJSIZ,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X
TLOJSZI,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X
TLOJZIS,X,O,O,X,X,X,O,O,O,X,O,X,X,X,X
TLOJZSI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLOSIJZ,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLOSIZJ,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X
TLOSJIZ,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLOSJZI,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TLOSZIJ,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
TLOSZJI,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TLOZIJS,X,O,O,X,X,X,O,O,O,X,O,X,X,X,X
TLOZISJ,X,O,O,X,X,O,O,X,X,X,X,X,O,X,X
TLOZJIS,X,O,O,X,X,X,O,O,O,X,O,X,X,X,X
TLOZJSI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLOZSIJ,X,O,O,X,X,O,X,X,X,X,X,X,O,O,X
TLOZSJI,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
TJILSZO,O,O,X,O,X,O,O,X,O,X,X,X,X,X,X
TJILSOZ,O,O,X,O,X,O,O,X,O,X,X,X,X,X,X
TJILZSO,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
TJILZOS,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TJILOSZ,O,O,X,O,O,O,O,X,O,X,X,X,X,X,X
TJILOZS,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TJISLZO,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TJISLOZ,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X
TJISZLO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TJISZOL,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TJISOLZ,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TJISOZL,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TJIZLSO,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
TJIZLOS,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TJIZSLO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJIZSOL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJIZOLS,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TJIZOSL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TJIOLSZ,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X
TJIOLZS,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TJIOSLZ,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TJIOSZL,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TJIOZLS,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TJIOZSL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TJLISZO,O,X,X,O,X,O,O,O,O,X,X,O,X,X,X
TJLISOZ,O,X,O,O,X,O,O,X,O,X,X,O,X,X,X
TJLIZSO,O,X,X,O,X,O,X,O,O,X,X,O,X,X,X
TJLIZOS,O,O,X,O,X,X,O,O,O,X,X,X,X,X,X
TJLIOSZ,O,X,O,O,O,O,O,X,O,X,X,O,X,X,X
TJLIOZS,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X
TJLSIZO,O,X,X,X,X,O,X,O,O,X,X,O,X,X,X
TJLSIOZ,O,X,O,X,O,O,X,X,O,X,X,O,X,X,X
TJLSZIO,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TJLSZOI,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
TJLSOIZ,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X
TJLSOZI,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
TJLZISO,O,X,X,O,X,O,X,O,O,X,X,O,X,X,X
TJLZIOS,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X
TJLZSIO,O,X,X,X,X,O,X,O,O,X,X,X,X,O,X
TJLZSOI,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X
TJLZOIS,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X
TJLZOSI,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TJLOISZ,O,X,O,X,O,O,O,X,O,X,X,O,X,X,X
TJLOIZS,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TJLOSIZ,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X
TJLOSZI,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
TJLOZIS,O,O,O,X,X,X,O,O,O,X,O,X,X,X,X
TJLOZSI,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TJSILZO,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TJSILOZ,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TJSIZLO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSIZOL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSIOLZ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TJSIOZL,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TJSLIZO,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
TJSLIOZ,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
TJSLZIO,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
TJSLZOI,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
TJSLOIZ,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X
TJSLOZI,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
TJSZILO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSZIOL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSZLIO,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
TJSZLOI,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
TJSZOIL,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X
TJSZOLI,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X
TJSOILZ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TJSOIZL,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X
TJSOLIZ,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X
TJSOLZI,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
TJSOZIL,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X
TJSOZLI,O,O,O,X,O,X,X,X,O,O,X,X,X,X,X
TJZILSO,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
TJZILOS,O,O,X,O,X,X,X,X,O,X,O,X,X,X,X
TJZISLO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJZISOL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJZIOLS,O,O,X,O,X,X,X,X,O,X,O,X,X,X,X
TJZIOSL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TJZLISO,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X
TJZLIOS,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X
TJZLSIO,O,X,X,X,X,O,X,O,O,X,X,X,X,O,X
TJZLSOI,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X
TJZLOIS,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X
TJZLOSI,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
