sequence,v115@9gB8HeB8DeB8BeG8CeH8AeA8Jex6IvhFXcB8hBCeB2?lBTjBFtB,v115@9gB8HeB8DeB8BeG8CeH8AeA8Jex6IvhFOhB8hBfjB6?jBTgBFtB,v115@9gB8HeB8DeB8BeG8CeH8AeA8Jex6IvhFicBGeBTgB3?hBUjBFtB,v115@9gB8HeB8DeB8BeG8CeH8AeA8Jex6IvhF8hBzdB+jBi?gBXhBFtB,v115@9gB8HeB8DeB8BeG8CeH8AeA8Jex6IvhF8hBWjBigBX?hBTjBFtB,v115@9gB8HeB8DeB8BeG8CeH8AeA8Jex6IvhF2hBSjBTgB3?hBUjBFtB,v115@9gB8HeB8DeB8BeG8CeH8AeA8Jem6IvhFCdBUhBxiB3?gBTjBFtB,v115@9gB8HeB8DeB8BeG8CeH8AeA8Jem6IvhFCdB3gBxiBU?hBTjBFtB
TLISJOZ,X,O,X,O,X,X,X,O
TLISZJO,O,O,O,O,O,X,O,O
TLISZOJ,O,O,O,X,X,X,X,X
TLISOJZ,X,O,X,X,X,O,X,O
TLISOZJ,X,O,O,X,X,X,X,X
TLIZJSO,O,O,O,O,O,X,O,O
TLIZJOS,O,X,O,O,O,X,O,X
TLIZSJO,O,O,O,O,O,X,O,O
TLIZSOJ,O,O,O,X,X,X,X,X
TLIZOJS,O,X,O,O,O,O,O,X
TLIZOSJ,O,X,O,X,X,X,X,X
TLIOJSZ,O,X,X,O,X,O,X,O
TLIOJZS,O,X,X,O,O,O,O,X
TLIOSJZ,O,O,O,X,X,O,X,O
TLIOSZJ,O,O,O,X,X,X,X,X
TLIOZJS,O,O,O,O,O,O,O,X
TLIOZSJ,O,O,O,X,X,X,X,X
TLJISZO,O,X,X,O,O,X,O,O
TLJISOZ,X,X,X,O,X,X,X,O
TLJIZSO,O,X,X,O,O,X,O,O
TLJIZOS,O,X,X,O,O,X,O,X
TLJIOSZ,O,X,X,O,X,O,X,O
TLJIOZS,O,X,X,O,O,O,O,X
TLJSIZO,O,X,X,O,O,X,X,O
TLJSIOZ,X,X,X,O,X,X,X,O
TLJSZIO,O,X,X,O,O,X,X,X
TLJSZOI,O,X,X,O,O,X,X,X
TLJSOIZ,X,X,X,O,X,O,X,X
TLJSOZI,X,X,X,O,X,O,X,X
TLJZISO,O,X,X,O,O,X,O,X
TLJZIOS,O,X,X,O,O,X,O,X
TLJZSIO,O,X,X,O,O,X,O,X
TLJZSOI,O,X,X,O,O,X,X,X
TLJZOIS,O,X,X,O,O,O,O,X
TLJZOSI,O,X,X,O,O,O,X,X
TLJOISZ,O,X,X,O,X,O,X,X
TLJOIZS,O,X,X,O,O,O,X,X
TLJOSIZ,O,X,X,O,X,O,X,X
TLJOSZI,O,X,X,O,X,O,X,X
TLJOZIS,O,X,X,O,O,O,X,X
TLJOZSI,O,X,X,O,O,O,X,X
TLSIJZO,O,O,O,O,O,X,X,O
TLSIJOZ,X,O,X,O,X,X,X,O
TLSIZJO,O,O,O,O,O,X,X,O
TLSIZOJ,O,O,O,X,X,X,X,X
TLSIOJZ,X,O,O,X,X,O,X,O
TLSIOZJ,X,O,O,X,X,X,X,X
TLSJIZO,O,O,O,O,O,X,X,O
TLSJIOZ,X,O,X,O,X,X,X,O
TLSJZIO,O,O,O,O,O,X,X,X
TLSJZOI,O,O,O,O,O,X,X,X
TLSJOIZ,X,O,O,O,X,O,X,X
TLSJOZI,X,O,O,O,X,O,X,X
TLSZIJO,O,O,O,O,O,X,X,X
TLSZIOJ,O,O,O,X,X,X,X,X
TLSZJIO,O,O,O,O,O,X,X,X
TLSZJOI,O,O,O,O,O,X,X,X
TLSZOIJ,O,O,O,X,X,X,X,X
TLSZOJI,O,O,O,X,X,X,X,X
TLSOIJZ,X,O,O,X,X,O,X,X
TLSOIZJ,X,O,O,X,X,X,X,X
TLSOJIZ,X,O,O,X,X,O,X,X
TLSOJZI,X,O,O,X,X,O,X,X
TLSOZIJ,X,O,O,X,X,X,X,X
TLSOZJI,X,O,O,X,X,X,X,X
TLZIJSO,O,O,O,O,O,X,O,X
TLZIJOS,O,X,O,O,O,X,O,X
TLZISJO,O,O,O,O,O,X,O,X
TLZISOJ,O,O,O,X,X,X,X,X
TLZIOJS,O,X,O,O,O,O,O,X
TLZIOSJ,O,X,O,X,X,X,X,X
TLZJISO,O,O,O,O,O,X,O,X
TLZJIOS,O,X,O,O,O,X,O,X
TLZJSIO,O,O,O,O,O,X,O,X
TLZJSOI,O,O,O,O,O,X,X,X
TLZJOIS,O,O,O,O,O,O,O,X
TLZJOSI,O,O,O,O,O,O,X,X
TLZSIJO,O,O,O,O,O,X,O,X
TLZSIOJ,O,O,O,X,X,X,X,X
TLZSJIO,O,O,O,O,O,X,O,X
TLZSJOI,O,O,O,O,O,X,X,X
TLZSOIJ,O,O,O,X,X,X,X,X
TLZSOJI,O,O,O,X,X,X,X,X
TLZOIJS,O,O,O,O,O,O,O,X
TLZOISJ,O,O,O,X,X,X,X,X
TLZOJIS,O,O,O,O,O,O,O,X
TLZOJSI,O,O,O,O,O,O,X,X
TLZOSIJ,O,O,O,X,X,X,X,X
TLZOSJI,O,O,O,X,X,X,X,X
TLOIJSZ,O,X,X,O,X,O,X,X
TLOIJZS,O,X,X,O,O,O,X,X
TLOISJZ,O,O,O,X,X,O,X,X
TLOISZJ,O,O,O,X,X,X,X,X
TLOIZJS,O,O,O,O,O,O,X,X
TLOIZSJ,O,O,O,X,X,X,X,X
TLOJISZ,O,X,X,O,X,O,X,X
TLOJIZS,O,X,X,O,O,O,X,X
TLOJSIZ,O,X,X,O,X,O,X,X
TLOJSZI,O,X,X,O,X,O,X,X
TLOJZIS,O,X,X,O,O,O,X,X
TLOJZSI,O,X,X,O,O,O,X,X
TLOSIJZ,O,O,O,X,X,O,X,X
TLOSIZJ,O,O,O,X,X,X,X,X
TLOSJIZ,O,O,O,X,X,O,X,X
TLOSJZI,O,O,O,X,X,O,X,X
TLOSZIJ,O,O,O,X,X,X,X,X
TLOSZJI,O,O,O,X,X,X,X,X
TLOZIJS,O,O,O,O,O,O,X,X
TLOZISJ,O,O,O,X,X,X,X,X
TLOZJIS,O,O,O,O,O,O,X,X
TLOZJSI,O,O,O,O,O,O,X,X
TLOZSIJ,O,O,O,X,X,X,X,X
TLOZSJI,O,O,O,X,X,X,X,X
TJILSZO,O,X,X,O,O,X,O,O
TJILSOZ,X,X,X,O,X,X,X,O
TJILZSO,O,X,X,O,O,X,O,O
TJILZOS,O,X,X,O,O,X,O,X
TJILOSZ,O,X,X,O,X,O,X,O
TJILOZS,O,X,X,O,O,O,O,X
TJISLZO,O,O,O,O,O,X,O,O
TJISLOZ,X,O,X,O,X,X,X,O
TJISZLO,O,O,O,O,O,X,O,O
TJISZOL,O,O,O,O,X,X,X,X
TJISOLZ,O,O,X,O,X,X,X,O
TJISOZL,O,O,X,O,X,X,X,X
TJIZLSO,O,O,O,O,O,X,O,O
TJIZLOS,O,X,O,O,O,X,O,X
TJIZSLO,O,O,O,O,O,X,O,O
TJIZSOL,O,O,O,O,X,X,X,X
TJIZOLS,O,X,O,O,O,X,O,X
TJIZOSL,O,O,O,O,X,X,X,X
TJIOLSZ,O,X,X,O,X,O,X,O
TJIOLZS,O,X,X,O,O,O,O,X
TJIOSLZ,O,O,O,O,X,O,X,O
TJIOSZL,O,O,O,O,X,X,X,X
TJIOZLS,O,O,O,O,O,O,O,X
TJIOZSL,O,O,O,O,X,X,X,X
TJLISZO,O,X,X,O,O,X,O,O
TJLISOZ,X,X,X,O,X,X,X,O
TJLIZSO,O,X,X,O,O,X,O,O
TJLIZOS,O,X,X,O,O,X,O,X
TJLIOSZ,O,X,X,O,X,O,X,O
TJLIOZS,O,X,X,O,O,O,O,X
TJLSIZO,O,X,X,O,O,X,X,O
TJLSIOZ,X,X,X,O,X,X,X,O
TJLSZIO,O,X,X,O,O,X,X,X
TJLSZOI,O,X,X,O,O,X,X,X
TJLSOIZ,X,X,X,O,X,O,X,X
TJLSOZI,X,X,X,O,X,O,X,X
TJLZISO,O,X,X,O,O,X,O,X
TJLZIOS,O,X,X,O,O,X,O,X
TJLZSIO,O,X,X,O,O,X,O,X
TJLZSOI,O,X,X,O,O,X,X,X
TJLZOIS,O,X,X,O,O,O,O,X
TJLZOSI,O,X,X,O,O,O,X,X
TJLOISZ,O,X,X,O,X,O,X,X
TJLOIZS,O,X,X,O,O,O,X,X
TJLOSIZ,O,X,X,O,X,O,X,X
TJLOSZI,O,X,X,O,X,O,X,X
TJLOZIS,O,X,X,O,O,O,X,X
TJLOZSI,O,X,X,O,O,O,X,X
TJSILZO,O,O,O,O,O,X,O,O
TJSILOZ,X,O,X,O,X,X,X,O
TJSIZLO,O,O,O,O,O,X,O,O
TJSIZOL,O,O,O,O,X,X,X,X
TJSIOLZ,O,O,X,O,X,X,X,O
TJSIOZL,O,O,X,O,X,X,X,X
TJSLIZO,O,O,O,O,O,X,X,O
TJSLIOZ,X,O,X,O,X,X,X,O
TJSLZIO,O,O,O,O,O,X,X,X
TJSLZOI,O,O,O,O,O,X,X,X
TJSLOIZ,X,O,O,O,X,O,X,X
TJSLOZI,X,O,O,O,X,O,X,X
TJSZILO,O,O,O,O,O,X,O,O
TJSZIOL,O,O,O,O,X,X,X,X
TJSZLIO,O,O,O,O,O,X,O,X
TJSZLOI,O,O,O,O,O,X,X,X
TJSZOIL,O,O,O,O,X,X,X,X
TJSZOLI,O,O,O,O,X,X,X,X
TJSOILZ,O,O,O,O,X,O,X,O
TJSOIZL,O,O,O,O,X,X,X,X
TJSOLIZ,O,O,O,O,X,O,X,X
TJSOLZI,O,O,O,O,X,O,X,X
TJSOZIL,O,O,O,O,X,X,X,X
TJSOZLI,O,O,O,O,X,X,X,X
TJZILSO,O,O,O,O,O,X,O,O
TJZILOS,O,X,O,O,O,X,O,X
TJZISLO,O,O,O,O,O,X,O,O
TJZISOL,O,O,O,O,X,X,X,X
TJZIOLS,O,O,O,O,O,X,O,X
TJZIOSL,O,O,O,O,X,X,X,X
TJZLISO,O,O,O,O,O,X,O,X
TJZLIOS,O,X,O,O,O,X,O,X
TJZLSIO,O,O,O,O,O,X,O,X
TJZLSOI,O,O,O,O,O,X,X,X
TJZLOIS,O,O,O,O,O,O,O,X
TJZLOSI,O,O,O,O,O,O,X,X
TJZSILO,O,O,O,O,O,X,O,O
TJZSIOL,O,O,O,O,X,X,X,X
TJZSLIO,O,O,O,O,O,X,O,X
TJZSLOI,O,O,O,O,O,X,X,X
TJZSOIL,O,O,O,O,X,X,X,X
TJZSOLI,O,O,O,O,X,X,X,X
TJZOILS,O,O,O,O,O,O,O,X
TJZOISL,O,O,O,O,X,X,X,X
TJZOLIS,O,O,O,O,O,O,O,X
TJZOLSI,O,O,O,O,O,O,X,X
TJZOSIL,O,O,O,O,X,X,X,X
TJZOSLI,O,O,O,O,X,X,X,X
TJOILSZ,O,X,X,O,X,O,X,O
TJOILZS,O,X,X,O,O,O,O,X
TJOISLZ,O,O,O,O,X,O,X,O
TJOISZL,O,O,O,O,X,X,X,X
TJOIZLS,O,O,O,O,O,O,O,X
TJOIZSL,O,O,O,O,X,X,X,X
TJOLISZ,O,X,X,O,X,O,X,X
TJOLIZS,O,X,X,O,O,O,X,X
TJOLSIZ,O,X,X,O,X,O,X,X
TJOLSZI,O,X,X,O,X,O,X,X
TJOLZIS,O,X,X,O,O,O,X,X
TJOLZSI,O,X,X,O,O,O,X,X
TJOSILZ,O,O,O,O,X,O,X,O
TJOSIZL,O,O,O,O,X,X,X,X
TJOSLIZ,O,O,O,O,X,O,X,X
TJOSLZI,O,O,O,O,X,O,X,X
TJOSZIL,O,O,O,O,X,X,X,X
TJOSZLI,O,O,O,O,X,X,X,X
TJOZILS,O,O,O,O,O,O,O,X
TJOZISL,O,O,O,O,X,X,X,X
TJOZLIS,O,O,O,O,O,O,O,X
TJOZLSI,O,O,O,O,O,O,X,X
TJOZSIL,O,O,O,O,X,X,X,X
TJOZSLI,O,O,O,O,X,X,X,X
TSILJZO,O,O,O,O,O,X,O,O
TSILJOZ,X,O,X,O,X,X,X,O
TSILZJO,O,O,O,O,O,X,O,O
TSILZOJ,O,O,O,X,X,X,X,X
TSILOJZ,X,O,O,X,X,O,X,O
TSILOZJ,X,O,O,X,X,X,X,X
TSIJLZO,O,O,O,O,O,X,O,O
TSIJLOZ,X,O,X,O,X,X,X,O
TSIJZLO,O,O,O,O,O,X,O,O
TSIJZOL,O,O,O,O,X,X,X,X
TSIJOLZ,O,O,X,O,X,X,X,O
TSIJOZL,O,O,X,O,X,X,X,X
TSIZLJO,O,O,O,O,O,X,O,O
TSIZLOJ,O,O,O,X,X,X,X,X
TSIZJLO,O,O,O,O,O,X,O,O
TSIZJOL,O,O,O,O,X,X,X,X
TSIZOLJ,O,O,O,X,X,X,X,X
TSIZOJL,O,O,O,X,X,X,X,X
TSIOLJZ,O,O,O,X,X,O,X,O
TSIOLZJ,O,O,O,X,X,X,X,X
TSIOJLZ,O,O,O,X,X,O,X,O
TSIOJZL,O,O,O,X,X,X,X,X
TSIOZLJ,O,O,O,X,X,X,X,X
TSIOZJL,O,O,O,X,X,X,X,X
TSLIJZO,O,O,O,O,O,X,X,O
TSLIJOZ,X,O,X,O,X,X,X,O
TSLIZJO,O,O,O,O,O,X,X,O
TSLIZOJ,O,O,O,X,X,X,X,X
TSLIOJZ,X,O,O,X,X,O,X,O
TSLIOZJ,X,O,O,X,X,X,X,X
TSLJIZO,O,O,O,O,O,X,X,O
TSLJIOZ,X,O,X,O,X,X,X,O
TSLJZIO,O,O,O,O,O,X,X,X
TSLJZOI,O,O,O,O,O,X,X,X
TSLJOIZ,X,O,O,O,X,O,X,X
TSLJOZI,X,O,O,O,X,O,X,X
TSLZIJO,O,O,O,O,O,X,X,X
TSLZIOJ,O,O,O,X,X,X,X,X
TSLZJIO,O,O,O,O,O,X,X,X
TSLZJOI,O,O,O,O,O,X,X,X
TSLZOIJ,O,O,O,X,X,X,X,X
TSLZOJI,O,O,O,X,X,X,X,X
TSLOIJZ,X,O,O,X,X,O,X,X
TSLOIZJ,X,O,O,X,X,X,X,X
TSLOJIZ,X,O,O,X,X,O,X,X
TSLOJZI,X,O,O,X,X,O,X,X
TSLOZIJ,X,O,O,X,X,X,X,X
TSLOZJI,X,O,O,X,X,X,X,X
TSJILZO,O,O,O,O,O,X,O,O
TSJILOZ,X,O,X,O,X,X,X,O
TSJIZLO,O,O,O,O,O,X,O,O
TSJIZOL,O,O,O,O,X,X,X,X
TSJIOLZ,O,O,X,O,X,X,X,O
TSJIOZL,O,O,X,O,X,X,X,X
TSJLIZO,O,O,O,O,O,X,X,O
TSJLIOZ,X,O,X,O,X,X,X,O
TSJLZIO,O,O,O,O,O,X,X,X
TSJLZOI,O,O,O,O,O,X,X,X
TSJLOIZ,X,O,O,O,X,O,X,X
TSJLOZI,X,O,O,O,X,O,X,X
TSJZILO,O,O,O,O,O,X,O,O
TSJZIOL,O,O,O,O,X,X,X,X
TSJZLIO,O,O,O,O,O,X,O,X
TSJZLOI,O,O,O,O,O,X,X,X
TSJZOIL,O,O,O,O,X,X,X,X
TSJZOLI,O,O,O,O,X,X,X,X
TSJOILZ,O,O,O,O,X,O,X,O
TSJOIZL,O,O,O,O,X,X,X,X
TSJOLIZ,O,O,O,O,X,O,X,X
TSJOLZI,O,O,O,O,X,O,X,X
TSJOZIL,O,O,O,O,X,X,X,X
TSJOZLI,O,O,O,O,X,X,X,X
TSZILJO,O,O,O,O,O,X,O,O
TSZILOJ,O,O,O,X,X,X,X,X
TSZIJLO,O,O,O,O,O,X,O,O
TSZIJOL,O,O,O,O,X,X,X,X
TSZIOLJ,O,O,O,X,X,X,X,X
TSZIOJL,O,O,O,X,X,X,X,X
TSZLIJO,O,O,O,O,O,X,O,X
TSZLIOJ,O,O,O,X,X,X,X,X
TSZLJIO,O,O,O,O,O,X,O,X
TSZLJOI,O,O,O,O,O,X,X,X
TSZLOIJ,O,O,O,X,X,X,X,X
TSZLOJI,O,O,O,X,X,X,X,X
TSZJILO,O,O,O,O,O,X,O,O
TSZJIOL,O,O,O,O,X,X,X,X
TSZJLIO,O,O,O,O,O,X,O,X
TSZJLOI,O,O,O,O,O,X,X,X
TSZJOIL,O,O,O,O,X,X,X,X
TSZJOLI,O,O,O,O,X,X,X,X
TSZOILJ,O,O,O,X,X,X,X,X
TSZOIJL,O,O,O,X,X,X,X,X
TSZOLIJ,O,O,O,X,X,X,X,X
TSZOLJI,O,O,O,X,X,X,X,X
TSZOJIL,O,O,O,X,X,X,X,X
TSZOJLI,O,O,O,X,X,X,X,X
TSOILJZ,O,O,O,X,X,O,X,O
TSOILZJ,O,O,O,X,X,X,X,X
TSOIJLZ,O,O,O,X,X,O,X,O
TSOIJZL,O,O,O,X,X,X,X,X
TSOIZLJ,O,O,O,X,X,X,X,X
TSOIZJL,O,O,O,X,X,X,X,X
TSOLIJZ,O,O,O,X,X,O,X,X
TSOLIZJ,O,O,O,X,X,X,X,X
TSOLJIZ,O,O,O,X,X,O,X,X
TSOLJZI,O,O,O,X,X,O,X,X
TSOLZIJ,O,O,O,X,X,X,X,X
TSOLZJI,O,O,O,X,X,X,X,X
TSOJILZ,O,O,O,X,X,O,X,O
TSOJIZL,O,O,O,X,X,X,X,X
TSOJLIZ,O,O,O,X,X,O,X,X
TSOJLZI,O,O,O,X,X,O,X,X
TSOJZIL,O,O,O,X,X,X,X,X
TSOJZLI,O,O,O,X,X,X,X,X
TSOZILJ,O,O,O,X,X,X,X,X
TSOZIJL,O,O,O,X,X,X,X,X
TSOZLIJ,O,O,O,X,X,X,X,X
TSOZLJI,O,O,O,X,X,X,X,X
TSOZJIL,O,O,O,X,X,X,X,X
TSOZJLI,O,O,O,X,X,X,X,X
TZILJSO,O,O,O,O,O,X,O,O
TZILJOS,O,X,O,O,O,X,O,X
TZILSJO,O,O,O,O,O,X,O,O
TZILSOJ,O,O,O,X,X,X,X,X
TZILOJS,O,X,O,O,O,O,O,X
TZILOSJ,O,X,O,X,X,X,X,X
TZIJLSO,O,O,O,O,O,X,O,O
TZIJLOS,O,X,O,O,O,X,O,X
TZIJSLO,O,O,O,O,O,X,O,O
TZIJSOL,O,O,O,O,X,X,X,X
TZIJOLS,O,O,O,O,O,X,O,X
TZIJOSL,O,O,O,O,X,X,X,X
TZISLJO,O,O,O,O,O,X,O,O
TZISLOJ,O,O,O,X,X,X,X,X
TZISJLO,O,O,O,O,O,X,O,O
TZISJOL,O,O,O,O,X,X,X,X
TZISOLJ,O,O,O,X,X,X,X,X
TZISOJL,O,O,O,X,X,X,X,X
TZIOLJS,O,O,O,O,O,O,O,X
TZIOLSJ,O,O,O,X,X,X,X,X
TZIOJLS,O,O,O,O,O,O,O,X
TZIOJSL,O,O,O,O,X,X,X,X
TZIOSLJ,O,O,O,X,X,X,X,X
TZIOSJL,O,O,O,X,X,X,X,X
TZLIJSO,O,O,O,O,O,X,O,X
TZLIJOS,O,X,O,O,O,X,O,X
TZLISJO,O,O,O,O,O,X,O,X
TZLISOJ,O,O,O,X,X,X,X,X
TZLIOJS,O,X,O,O,O,O,O,X
TZLIOSJ,O,X,O,X,X,X,X,X
TZLJISO,O,O,O,O,O,X,O,X
TZLJIOS,O,X,O,O,O,X,O,X
TZLJSIO,O,O,O,O,O,X,O,X
TZLJSOI,O,O,O,O,O,X,X,X
TZLJOIS,O,O,O,O,O,O,O,X
TZLJOSI,O,O,O,O,O,O,X,X
TZLSIJO,O,O,O,O,O,X,O,X
TZLSIOJ,O,O,O,X,X,X,X,X
TZLSJIO,O,O,O,O,O,X,O,X
TZLSJOI,O,O,O,O,O,X,X,X
TZLSOIJ,O,O,O,X,X,X,X,X
TZLSOJI,O,O,O,X,X,X,X,X
TZLOIJS,O,O,O,O,O,O,O,X
TZLOISJ,O,O,O,X,X,X,X,X
TZLOJIS,O,O,O,O,O,O,O,X
TZLOJSI,O,O,O,O,O,O,X,X
TZLOSIJ,O,O,O,X,X,X,X,X
TZLOSJI,O,O,O,X,X,X,X,X
TZJILSO,O,O,O,O,O,X,O,O
TZJILOS,O,X,O,O,O,X,O,X
TZJISLO,O,O,O,O,O,X,O,O
TZJISOL,O,O,O,O,X,X,X,X
TZJIOLS,O,O,O,O,O,X,O,X
TZJIOSL,O,O,O,O,X,X,X,X
TZJLISO,O,O,O,O,O,X,O,X
TZJLIOS,O,X,O,O,O,X,O,X
TZJLSIO,O,O,O,O,O,X,O,X
TZJLSOI,O,O,O,O,O,X,X,X
TZJLOIS,O,O,O,O,O,O,O,X
TZJLOSI,O,O,O,O,O,O,X,X
TZJSILO,O,O,O,O,O,X,O,O
TZJSIOL,O,O,O,O,X,X,X,X
TZJSLIO,O,O,O,O,O,X,O,X
TZJSLOI,O,O,O,O,O,X,X,X
