sequence,v115@zgD8FeA8IeB8EeA8BeB8DeH8BeD8JeX8IvhFxdBUgB?FiBTjB6rBmqB,v115@zgD8FeA8IeB8EeA8BeB8DeH8BeD8Jex9IvhFUgBFhB?XiBTjB6rBmqB,v115@zgD8FeA8IeB8EeA8BeB8DeH8BeD8JeX8IvhFxdBUgB?FiBTjByqB+rB,v115@zgD8FeA8IeB8EeA8BeB8DeH8BeD8Jex8IvhF6jBFgB?0hBmiB3lBTrB,v115@zgD8FeA8IeB8EeA8BeB8DeH8BeD8JeeCJvhFfjB6jB?UgBFhBxqBTrB,v115@zgD8FeA8IeB8EeA8BeB8DeH8BeD8JeX8IvhFxdBalB?FiBTjBGmBUrB,v115@zgD8FeA8IeB8EeA8BeB8DeH8BeD8JeT8IvhFeiBfjB?6jBFgBxqBUrB,v115@zgD8FeA8IeB8EeA8BeB8DeH8BeD8Jem8IvhFCeBUgB?FhBTjBxqB3rB
TIOJZSL,O,X,O,O,X,O,O,X
TIOSLJZ,O,X,O,X,X,O,O,O
TIOSLZJ,O,X,O,X,X,O,O,O
TIOSJLZ,O,X,O,X,X,O,O,O
TIOSJZL,O,X,O,X,X,X,O,O
TIOSZLJ,O,X,O,X,X,O,O,O
TIOSZJL,O,X,O,X,X,O,O,O
TIOZLJS,X,X,X,O,X,O,O,O
TIOZLSJ,O,X,O,O,X,O,X,O
TIOZJLS,O,X,O,O,X,O,O,O
TIOZJSL,O,X,O,O,X,O,O,O
TIOZSLJ,O,X,O,O,X,O,O,O
TIOZSJL,O,X,O,O,X,O,O,O
TLIJSZO,O,X,O,O,X,X,O,X
TLIJSOZ,O,X,O,O,X,O,O,X
TLIJZSO,O,X,O,O,X,O,O,X
TLIJZOS,X,X,X,O,X,X,O,X
TLIJOSZ,X,X,O,O,X,X,O,X
TLIJOZS,X,X,X,O,X,X,X,X
TLISJZO,O,X,O,O,X,X,O,O
TLISJOZ,O,X,O,O,X,O,O,O
TLISZJO,O,X,X,O,X,O,O,O
TLISZOJ,O,X,O,O,X,O,O,O
TLISOJZ,O,X,O,X,X,O,O,O
TLISOZJ,O,X,O,X,X,O,O,X
TLIZJSO,X,X,X,O,X,O,O,O
TLIZJOS,X,X,X,O,X,X,O,O
TLIZSJO,O,X,X,O,X,O,O,O
TLIZSOJ,O,X,O,X,X,O,O,O
TLIZOJS,X,X,X,O,X,O,O,O
TLIZOSJ,X,X,X,X,X,O,X,X
TLIOJSZ,O,X,X,O,X,O,X,X
TLIOJZS,X,X,X,O,X,O,X,X
TLIOSJZ,O,X,X,X,X,O,X,X
TLIOSZJ,O,X,X,X,X,O,X,X
TLIOZJS,X,X,X,O,X,O,X,X
TLIOZSJ,O,X,X,O,X,O,X,X
TLJISZO,O,X,O,O,X,X,O,X
TLJISOZ,O,X,O,O,X,O,O,X
TLJIZSO,O,X,O,O,X,O,O,X
TLJIZOS,X,X,X,O,X,X,O,X
TLJIOSZ,X,X,O,O,X,X,O,X
TLJIOZS,X,X,O,O,X,X,X,X
TLJSIZO,O,X,O,O,X,X,O,X
TLJSIOZ,O,X,O,O,X,O,O,X
TLJSZIO,X,X,O,O,X,X,O,X
TLJSZOI,X,X,O,O,X,X,O,X
TLJSOIZ,O,X,O,O,X,O,O,X
TLJSOZI,X,X,O,O,X,X,O,X
TLJZISO,O,X,O,O,X,O,X,X
TLJZIOS,X,X,X,O,X,X,X,X
TLJZSIO,O,X,O,O,X,O,X,X
TLJZSOI,O,X,O,O,X,O,X,X
TLJZOIS,O,X,O,O,X,O,X,X
TLJZOSI,O,X,O,O,X,O,X,X
TLJOISZ,O,X,O,O,X,O,X,X
TLJOIZS,O,X,O,O,X,O,X,X
TLJOSIZ,O,X,O,O,X,O,O,X
TLJOSZI,X,X,O,O,X,X,O,X
TLJOZIS,O,X,O,O,X,O,X,X
TLJOZSI,O,X,O,O,X,O,X,X
TLSIJZO,O,X,O,O,X,X,O,X
TLSIJOZ,O,X,O,O,X,O,O,X
TLSIZJO,O,X,X,O,X,O,O,X
TLSIZOJ,O,X,O,O,X,O,O,X
TLSIOJZ,O,X,O,X,X,O,O,X
TLSIOZJ,O,X,O,X,X,O,O,X
TLSJIZO,O,X,X,O,X,X,O,X
TLSJIOZ,O,X,X,O,X,O,O,X
TLSJZIO,X,X,X,O,X,X,O,X
TLSJZOI,X,X,X,O,X,X,O,X
TLSJOIZ,O,X,X,O,X,O,O,X
TLSJOZI,X,X,X,O,X,X,O,X
TLSZIJO,O,X,X,O,X,O,O,X
TLSZIOJ,O,X,X,O,X,O,O,X
TLSZJIO,X,X,X,O,X,O,O,X
TLSZJOI,X,X,X,O,X,O,O,X
TLSZOIJ,O,X,X,O,X,O,X,X
TLSZOJI,X,X,X,X,X,O,X,X
TLSOIJZ,O,X,O,X,X,O,O,X
TLSOIZJ,O,X,O,X,X,O,O,X
TLSOJIZ,O,X,X,O,X,O,O,X
TLSOJZI,X,X,X,O,X,X,O,X
TLSOZIJ,O,X,X,O,X,O,X,X
TLSOZJI,X,X,X,X,X,O,X,X
TLZIJSO,X,X,X,O,X,O,X,O
TLZIJOS,X,X,X,O,X,X,X,O
TLZISJO,O,X,X,O,X,O,X,O
TLZISOJ,O,X,O,O,X,O,X,O
TLZIOJS,X,X,X,O,X,O,X,O
TLZIOSJ,X,X,X,X,X,O,X,X
TLZJISO,X,X,X,O,X,O,X,X
TLZJIOS,X,X,X,O,X,O,X,O
TLZJSIO,X,X,X,O,X,O,X,X
TLZJSOI,X,X,X,O,X,O,X,O
TLZJOIS,X,X,X,O,X,O,X,O
TLZJOSI,X,X,X,O,X,O,X,O
TLZSIJO,O,X,X,O,X,O,X,X
TLZSIOJ,O,X,O,O,X,O,X,X
TLZSJIO,X,X,X,O,X,O,X,X
TLZSJOI,X,X,X,O,X,O,X,O
TLZSOIJ,O,X,O,O,X,O,X,X
TLZSOJI,X,X,X,X,X,O,X,X
TLZOIJS,X,X,X,O,X,O,X,X
TLZOISJ,O,X,O,O,X,O,X,X
TLZOJIS,X,X,X,O,X,O,X,O
TLZOJSI,X,X,X,O,X,O,X,O
TLZOSIJ,O,X,O,O,X,O,X,X
TLZOSJI,X,X,X,X,X,O,X,X
TLOIJSZ,O,X,O,O,X,O,X,X
TLOIJZS,O,X,O,O,X,O,X,X
TLOISJZ,O,X,O,X,X,O,X,X
TLOISZJ,O,X,O,X,X,O,X,X
TLOIZJS,X,X,X,O,X,O,X,X
TLOIZSJ,O,X,O,O,X,O,X,X
TLOJISZ,O,X,O,O,X,O,X,X
TLOJIZS,O,X,O,O,X,O,X,X
TLOJSIZ,O,X,O,O,X,O,X,X
TLOJSZI,X,X,O,O,X,X,X,X
TLOJZIS,O,X,O,O,X,O,X,X
TLOJZSI,O,X,O,O,X,O,X,X
TLOSIJZ,O,X,O,X,X,O,X,X
TLOSIZJ,O,X,O,X,X,O,X,X
TLOSJIZ,O,X,X,O,X,O,X,X
TLOSJZI,X,X,X,O,X,X,X,X
TLOSZIJ,O,X,X,O,X,O,X,X
TLOSZJI,X,X,X,X,X,O,X,X
TLOZIJS,X,X,X,O,X,O,X,X
TLOZISJ,O,X,O,O,X,O,X,X
TLOZJIS,X,X,X,O,X,O,X,X
TLOZJSI,X,X,X,O,X,O,X,X
TLOZSIJ,O,X,O,O,X,O,X,X
TLOZSJI,X,X,X,X,X,O,X,X
TJILSZO,O,X,O,O,X,X,O,X
TJILSOZ,O,X,O,O,X,O,O,X
TJILZSO,O,X,O,O,X,O,O,X
TJILZOS,X,X,X,O,X,X,O,X
TJILOSZ,X,X,O,O,X,X,O,X
TJILOZS,X,X,O,O,X,X,X,X
TJISLZO,O,X,O,O,O,X,O,X
TJISLOZ,O,X,O,O,X,O,O,X
TJISZLO,O,X,O,O,O,X,O,X
TJISZOL,O,X,O,O,O,X,O,X
TJISOLZ,O,X,O,O,X,O,O,X
TJISOZL,O,X,O,X,X,X,O,X
TJIZLSO,O,X,O,O,O,O,O,X
TJIZLOS,X,X,X,O,X,X,O,X
TJIZSLO,O,X,O,O,O,O,O,X
TJIZSOL,O,X,O,X,O,O,O,X
TJIZOLS,O,X,X,O,X,X,O,X
TJIZOSL,O,X,X,X,O,O,O,X
TJIOLSZ,O,X,O,O,X,X,O,X
TJIOLZS,O,X,O,O,X,X,X,X
TJIOSLZ,O,X,O,O,X,X,O,X
TJIOSZL,O,X,O,X,X,X,O,X
TJIOZLS,O,X,O,O,X,X,O,X
TJIOZSL,O,X,O,O,X,X,O,X
TJLISZO,O,X,O,O,X,X,O,X
TJLISOZ,O,X,O,O,X,O,O,X
TJLIZSO,O,X,O,O,X,O,O,X
TJLIZOS,X,X,X,O,X,X,O,X
TJLIOSZ,O,X,O,O,X,X,O,X
TJLIOZS,O,X,O,O,X,X,X,X
TJLSIZO,O,X,O,O,X,X,O,X
TJLSIOZ,O,X,O,O,X,O,O,X
TJLSZIO,O,X,O,O,X,X,O,X
TJLSZOI,O,X,O,O,X,X,O,X
TJLSOIZ,O,X,O,O,X,O,O,X
TJLSOZI,O,X,O,O,X,X,O,X
TJLZISO,O,X,O,O,X,O,X,X
TJLZIOS,X,X,X,O,X,X,X,X
TJLZSIO,O,X,O,O,X,O,X,X
TJLZSOI,O,X,O,O,X,O,X,X
TJLZOIS,O,X,O,O,X,O,X,X
TJLZOSI,O,X,O,O,X,O,X,X
TJLOISZ,O,X,O,O,X,O,X,X
TJLOIZS,O,X,O,O,X,O,X,X
TJLOSIZ,O,X,O,O,X,O,O,X
TJLOSZI,O,X,O,O,X,X,O,X
TJLOZIS,O,X,O,O,X,O,X,X
TJLOZSI,O,X,O,O,X,O,X,X
TJSILZO,O,X,O,O,O,X,O,X
TJSILOZ,O,X,O,O,X,O,O,X
TJSIZLO,O,X,O,O,O,X,O,X
TJSIZOL,O,X,O,O,O,X,O,X
TJSIOLZ,O,X,O,O,X,O,O,X
TJSIOZL,O,X,O,X,X,X,O,X
TJSLIZO,O,X,O,O,O,X,O,X
TJSLIOZ,O,X,O,O,X,X,O,X
TJSLZIO,X,X,O,O,O,X,O,X
TJSLZOI,X,X,O,O,O,X,O,X
TJSLOIZ,O,X,O,O,X,X,O,X
TJSLOZI,X,X,O,O,X,X,O,X
TJSZILO,O,X,O,O,O,X,O,X
TJSZIOL,O,O,O,O,O,X,O,X
TJSZLIO,O,X,X,O,O,X,O,X
TJSZLOI,O,O,X,O,O,X,O,X
TJSZOIL,O,O,O,O,X,X,X,X
TJSZOLI,O,O,X,O,O,X,O,X
TJSOILZ,O,X,O,O,X,O,O,X
TJSOIZL,O,O,O,X,X,X,O,X
TJSOLIZ,O,X,O,O,X,X,O,X
TJSOLZI,X,X,O,O,X,X,O,X
TJSOZIL,O,O,O,O,X,X,X,X
TJSOZLI,O,O,X,O,X,X,O,X
TJZILSO,O,X,O,O,O,O,O,X
TJZILOS,X,X,X,O,X,X,O,X
TJZISLO,O,X,O,O,O,O,O,X
TJZISOL,O,O,O,X,O,O,O,X
TJZIOLS,O,X,O,O,X,O,O,X
TJZIOSL,O,O,O,X,O,O,O,X
TJZLISO,O,X,O,O,X,O,X,X
TJZLIOS,O,X,X,O,X,X,X,X
TJZLSIO,O,X,O,O,O,O,X,X
TJZLSOI,O,O,O,O,O,O,X,X
TJZLOIS,O,X,O,O,X,O,X,X
TJZLOSI,O,O,O,O,X,O,X,X
TJZSILO,O,X,O,O,O,O,O,X
TJZSIOL,O,O,O,O,O,O,O,X
TJZSLIO,O,X,O,O,O,O,O,X
TJZSLOI,O,O,O,O,O,O,O,X
TJZSOIL,O,O,O,O,X,O,X,X
TJZSOLI,O,O,O,O,O,O,O,X
TJZOILS,O,X,O,O,X,O,X,X
TJZOISL,O,O,O,O,X,O,X,X
TJZOLIS,O,X,O,O,X,O,X,X
TJZOLSI,O,O,O,O,X,O,X,X
TJZOSIL,O,O,O,O,X,O,X,X
TJZOSLI,O,O,O,O,O,O,O,X
TJOILSZ,O,X,O,O,X,O,O,X
TJOILZS,O,X,O,O,X,O,X,X
TJOISLZ,O,X,O,O,X,O,O,X
TJOISZL,O,O,O,X,X,X,O,X
TJOIZLS,O,X,O,O,X,O,O,X
TJOIZSL,O,O,O,O,X,O,O,X
TJOLISZ,O,X,O,O,X,O,X,X
TJOLIZS,O,X,O,O,X,O,X,X
TJOLSIZ,O,X,O,O,X,O,O,X
TJOLSZI,O,X,O,O,X,X,O,X
TJOLZIS,O,X,O,O,X,O,X,X
TJOLZSI,O,X,O,O,X,O,X,X
TJOSILZ,O,X,O,O,X,O,O,X
TJOSIZL,O,O,O,X,X,X,O,X
TJOSLIZ,O,X,O,O,X,X,O,X
TJOSLZI,X,X,O,O,X,X,O,X
TJOSZIL,O,O,O,O,X,X,X,X
TJOSZLI,O,O,X,O,X,X,O,X
TJOZILS,O,X,O,O,X,O,X,X
TJOZISL,O,O,O,O,X,O,X,X
TJOZLIS,O,X,O,O,X,O,X,X
TJOZLSI,O,O,O,O,X,O,X,X
TJOZSIL,O,O,O,O,X,O,X,X
TJOZSLI,O,O,O,O,X,O,O,X
TSILJZO,O,X,O,O,O,X,O,X
TSILJOZ,O,X,O,O,X,O,O,X
TSILZJO,O,X,X,O,O,O,O,X
TSILZOJ,O,X,O,O,X,O,O,X
TSILOJZ,O,X,O,X,X,O,O,X
TSILOZJ,O,X,O,X,X,O,O,X
TSIJLZO,O,X,O,O,O,X,O,X
TSIJLOZ,O,X,O,O,X,O,O,X
TSIJZLO,O,X,O,O,O,X,O,X
TSIJZOL,O,X,O,O,O,X,O,X
TSIJOLZ,O,X,O,O,X,O,O,X
TSIJOZL,O,X,O,X,X,X,O,X
TSIZLJO,O,X,X,O,O,O,O,X
TSIZLOJ,O,X,O,O,X,O,O,X
TSIZJLO,O,X,O,O,O,O,O,X
TSIZJOL,O,X,O,O,O,O,O,X
TSIZOLJ,O,X,O,O,X,O,O,X
TSIZOJL,O,X,O,O,X,O,O,X
TSIOLJZ,O,X,O,X,X,O,O,X
TSIOLZJ,O,X,O,X,X,O,O,X
TSIOJLZ,O,X,O,X,X,O,O,X
TSIOJZL,O,X,O,X,X,X,O,X
TSIOZLJ,O,X,O,X,X,O,O,X
TSIOZJL,O,X,O,X,X,X,O,X
TSLIJZO,O,X,O,O,O,X,O,X
TSLIJOZ,O,X,O,O,X,O,O,X
TSLIZJO,O,X,X,O,O,O,O,X
TSLIZOJ,O,X,O,O,X,O,O,X
TSLIOJZ,O,X,O,X,X,O,O,X
TSLIOZJ,O,X,O,X,X,O,O,X
TSLJIZO,O,X,X,O,O,X,O,X
TSLJIOZ,O,X,X,O,X,O,O,X
TSLJZIO,X,X,X,O,O,X,O,X
TSLJZOI,X,X,X,O,O,X,O,X
TSLJOIZ,O,X,X,O,X,O,O,X
TSLJOZI,X,X,X,O,X,X,O,X
TSLZIJO,O,X,X,O,O,O,O,X
TSLZIOJ,O,X,X,O,X,O,O,X
TSLZJIO,X,X,X,O,O,O,O,X
TSLZJOI,X,X,X,O,O,O,O,X
TSLZOIJ,O,X,X,O,X,O,X,X
TSLZOJI,X,X,X,X,X,O,X,X
TSLOIJZ,O,X,O,X,X,O,O,X
TSLOIZJ,O,X,O,X,X,O,O,X
TSLOJIZ,O,X,X,O,X,O,O,X
TSLOJZI,X,X,X,O,X,X,O,X
TSLOZIJ,O,X,X,O,X,O,X,X
TSLOZJI,X,X,X,X,X,O,X,X
TSJILZO,O,X,O,O,O,X,O,X
TSJILOZ,O,X,O,O,X,O,O,X
TSJIZLO,O,X,O,O,O,X,O,X
TSJIZOL,O,X,O,O,O,X,O,X
TSJIOLZ,O,X,O,O,X,O,O,X
TSJIOZL,O,X,O,X,X,X,O,X
TSJLIZO,O,X,O,O,O,X,O,X
TSJLIOZ,O,X,O,O,X,X,O,X
TSJLZIO,X,X,O,O,O,X,O,X
TSJLZOI,X,X,O,O,O,X,O,X
TSJLOIZ,O,X,O,O,X,X,O,X
TSJLOZI,X,X,O,O,X,X,O,X
TSJZILO,O,X,O,O,O,X,O,X
TSJZIOL,O,O,O,O,O,X,O,X
TSJZLIO,O,X,X,O,O,X,O,X
TSJZLOI,O,O,X,O,O,X,O,X
TSJZOIL,O,O,O,O,X,X,X,X
TSJZOLI,O,O,X,O,O,X,O,X
TSJOILZ,O,X,O,O,X,O,O,X
TSJOIZL,O,O,O,X,X,X,O,X
TSJOLIZ,O,X,O,O,X,X,O,X
TSJOLZI,X,X,O,O,X,X,O,X
TSJOZIL,O,O,O,O,X,X,X,X
TSJOZLI,O,O,X,O,X,X,O,X
TSZILJO,O,X,X,O,O,O,O,X
TSZILOJ,O,X,O,O,X,O,O,X
TSZIJLO,O,X,O,O,O,O,O,X
TSZIJOL,O,X,O,O,O,O,O,X
TSZIOLJ,O,O,O,O,X,O,O,X
TSZIOJL,O,O,O,O,X,O,O,X
TSZLIJO,X,X,X,O,O,O,O,X
TSZLIOJ,O,X,O,O,X,O,O,X
TSZLJIO,X,X,X,O,O,X,O,X
TSZLJOI,X,X,X,O,O,X,O,X
TSZLOIJ,O,O,O,O,X,O,X,X
TSZLOJI,X,O,X,X,X,X,X,X
TSZJILO,X,X,X,O,O,O,O,X
TSZJIOL,O,O,O,O,O,O,O,X
TSZJLIO,X,X,X,O,O,O,O,X
TSZJLOI,X,O,X,O,O,O,O,X
TSZJOIL,O,O,O,O,X,O,X,X
TSZJOLI,X,O,X,O,O,O,O,X
TSZOILJ,O,O,O,O,X,O,X,X
TSZOIJL,O,O,O,O,X,O,X,X
TSZOLIJ,O,O,O,O,X,O,X,X
TSZOLJI,X,O,X,X,X,X,X,X
TSZOJIL,O,O,O,O,X,O,X,X
TSZOJLI,X,O,X,O,X,O,X,X
TSOILJZ,O,X,O,X,X,O,O,X
TSOILZJ,O,X,O,X,X,O,O,X
TSOIJLZ,O,X,O,X,X,O,O,X
TSOIJZL,O,O,O,X,X,X,O,X
TSOIZLJ,O,O,O,X,X,O,O,X
TSOIZJL,O,O,O,X,X,O,O,X
TSOLIJZ,O,X,O,X,X,O,O,X
TSOLIZJ,O,X,O,X,X,O,O,X
TSOLJIZ,O,X,X,O,X,O,O,X
TSOLJZI,X,X,X,O,X,X,O,X
TSOLZIJ,O,X,X,O,X,O,X,X
TSOLZJI,X,X,X,X,X,O,X,X
TSOJILZ,O,X,O,O,X,O,O,X
TSOJIZL,O,O,O,X,X,X,O,X
TSOJLIZ,O,X,O,O,X,X,O,X
TSOJLZI,X,X,O,O,X,X,O,X
TSOJZIL,O,O,O,O,X,X,X,X
TSOJZLI,O,O,X,O,X,X,O,X
TSOZILJ,O,O,O,O,X,O,X,X
TSOZIJL,O,O,O,O,X,O,X,X
TSOZLIJ,O,O,O,O,X,O,X,X
TSOZLJI,X,O,X,X,X,X,X,X
TSOZJIL,O,O,O,O,X,O,X,X
TSOZJLI,X,O,X,O,X,O,X,X
TZILJSO,X,X,X,O,O,O,O,O
TZILJOS,X,X,X,O,X,X,O,O
TZILSJO,O,X,X,O,X,O,O,O
TZILSOJ,O,X,O,O,X,O,O,O
TZILOJS,X,X,X,O,X,X,O,O
TZILOSJ,X,X,X,X,X,O,X,O
TZIJLSO,O,X,O,O,O,O,O,O
TZIJLOS,X,X,X,O,X,X,O,O
TZIJSLO,O,X,O,O,O,O,O,O
TZIJSOL,O,X,O,X,O,O,O,O
TZIJOLS,X,X,X,O,X,O,O,O
TZIJOSL,O,X,X,X,O,O,O,O
TZISLJO,O,X,X,O,O,O,O,O
TZISLOJ,O,X,O,X,X,O,O,O
TZISJLO,O,X,O,O,O,O,O,O
TZISJOL,O,X,O,X,O,O,O,O
TZISOLJ,O,O,O,X,X,O,O,O
TZISOJL,O,O,O,X,X,O,O,O
TZIOLJS,X,X,X,O,X,O,O,O
TZIOLSJ,O,X,O,X,X,O,X,O
TZIOJLS,X,X,X,O,X,O,O,O
TZIOJSL,O,X,O,X,O,O,O,O
TZIOSLJ,O,O,O,X,X,O,O,O
TZIOSJL,O,O,O,X,X,O,O,O
TZLIJSO,O,X,X,O,X,O,X,O
TZLIJOS,X,X,X,O,X,X,X,O
TZLISJO,O,X,X,O,X,O,X,O
TZLISOJ,O,X,O,O,X,O,X,O
TZLIOJS,O,X,X,O,X,O,X,O
TZLIOSJ,O,X,X,X,X,O,X,X
TZLJISO,O,X,O,O,X,O,X,X
TZLJIOS,X,X,O,O,X,X,X,O
TZLJSIO,O,X,O,O,O,O,X,X
TZLJSOI,O,X,O,O,O,O,X,O
TZLJOIS,O,X,O,O,X,O,X,O
TZLJOSI,O,X,O,O,X,O,X,O
TZLSIJO,O,X,X,O,X,O,X,X
TZLSIOJ,O,X,O,O,X,O,X,X
TZLSJIO,O,X,X,O,X,O,X,X
TZLSJOI,O,X,X,O,X,O,X,O
TZLSOIJ,O,O,O,O,X,O,X,X
TZLSOJI,O,O,X,X,X,O,X,X
TZLOIJS,O,X,O,O,X,O,X,O
TZLOISJ,O,X,O,O,X,O,X,X
TZLOJIS,O,X,O,O,X,O,X,O
TZLOJSI,O,X,O,O,X,O,X,O
TZLOSIJ,O,O,O,O,X,O,X,X
TZLOSJI,O,O,X,X,X,O,X,O
TZJILSO,O,X,O,O,O,O,O,X
TZJILOS,X,X,X,O,X,X,O,O
TZJISLO,O,X,O,O,O,O,O,X
TZJISOL,O,O,O,X,O,O,O,X
TZJIOLS,O,X,O,O,X,O,O,O
TZJIOSL,O,O,O,X,O,O,O,X
TZJLISO,O,X,O,O,X,O,X,X
TZJLIOS,O,X,X,O,X,X,X,O
TZJLSIO,O,X,O,O,O,O,X,X
TZJLSOI,O,O,O,O,O,O,X,O
TZJLOIS,O,X,O,O,X,O,X,O
TZJLOSI,O,O,O,O,X,O,X,O
TZJSILO,O,X,O,O,O,O,O,X
TZJSIOL,O,O,O,O,O,O,O,X
