sequence,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Jex6IvhFzcBGeB?0fBSnB/oBlsB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Jex6IvhFCdBTeB?0fBXiBGoBlsB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8JeT6IvhFUdBajB?5jBWnBXgBlsB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Jex6IvhFGdB0fB?zhB6oBXjBlsB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8JeT6IvhFqhBmdB?5jB0iBXgBlsB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Jex6IvhFGdB0fB?zhBXjB6oBlsB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Jex6IvhFqhB/iB?0fBTjBGoBlsB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Jex6IvhFFdBTeB?0fBfnBWoBCtB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Je//IvhFuhBciB?TeBFgBxsBCtB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Je//IvhFGdB6jB?zhBxsB8sBFqB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Je//IvhFUdBWnB?TjBFgBxsBCtB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Je//IvhFzcBSjB?FgBUjBxsBGsB
TLIJOSZ,O,O,O,X,X,X,X,O,X,X,X,X
TLIJOZS,X,X,O,X,O,X,X,X,X,X,X,X
TLISJZO,O,O,O,X,X,X,X,O,X,X,X,X
TLISJOZ,O,O,O,X,X,X,X,O,X,X,X,X
TLISZJO,O,O,X,X,O,X,O,O,X,X,X,X
TLISZOJ,O,X,X,X,O,X,O,X,X,X,X,X
TLISOJZ,O,O,O,X,X,X,X,O,X,X,X,X
TLISOZJ,O,X,X,X,O,X,O,X,X,X,X,X
TLIZJSO,O,X,O,X,O,X,O,X,X,X,X,X
TLIZJOS,O,X,O,O,O,X,O,X,X,X,X,X
TLIZSJO,O,X,X,X,O,X,O,X,X,X,X,X
TLIZSOJ,O,X,X,O,O,X,O,X,X,X,X,X
TLIZOJS,O,X,O,O,O,X,O,X,X,X,X,X
TLIZOSJ,O,X,X,O,O,X,O,X,X,X,X,X
TLIOJSZ,O,X,O,X,X,X,X,X,X,X,X,X
TLIOJZS,X,X,O,O,O,X,X,X,X,X,X,X
TLIOSJZ,O,X,O,X,X,X,X,X,X,X,X,X
TLIOSZJ,O,X,X,X,O,X,O,X,X,X,X,X
TLIOZJS,O,X,O,O,O,X,O,X,X,X,X,X
TLIOZSJ,O,X,X,O,O,X,O,X,X,X,X,X
TLJISZO,O,O,O,X,X,X,X,O,X,X,X,X
TLJISOZ,O,O,O,X,X,X,X,O,X,X,X,X
TLJIZSO,X,X,O,X,O,X,X,X,X,X,X,X
TLJIZOS,X,X,O,X,O,X,X,X,X,X,X,X
TLJIOSZ,O,O,O,X,X,X,X,O,X,X,X,X
TLJIOZS,X,X,O,X,O,X,X,X,X,X,X,X
TLJSIZO,O,O,O,X,X,X,X,O,X,X,X,X
TLJSIOZ,O,O,O,X,X,X,X,O,X,X,X,X
TLJSZIO,O,O,O,X,X,X,O,O,X,X,X,X
TLJSZOI,O,O,O,X,X,X,O,O,X,X,X,X
TLJSOIZ,O,O,O,X,X,X,X,O,X,X,X,X
TLJSOZI,O,O,O,X,X,X,O,O,X,X,X,X
TLJZISO,O,O,O,X,O,X,O,O,X,X,X,X
TLJZIOS,O,O,O,O,O,X,O,O,X,X,X,X
TLJZSIO,O,O,O,X,O,X,O,O,X,X,X,X
TLJZSOI,O,O,O,X,O,X,O,O,X,X,X,X
TLJZOIS,O,O,O,O,O,X,O,O,X,X,X,X
TLJZOSI,O,O,O,O,O,X,O,O,X,X,X,X
TLJOISZ,O,O,O,X,X,X,X,O,X,X,X,X
TLJOIZS,X,X,O,O,O,X,X,X,X,X,X,X
TLJOSIZ,O,O,O,X,X,X,X,O,X,X,X,X
TLJOSZI,O,O,O,O,X,X,O,O,X,X,X,X
TLJOZIS,O,O,O,O,O,X,O,O,X,X,X,X
TLJOZSI,O,O,O,O,O,X,O,O,X,X,X,X
TLSIJZO,O,O,O,X,X,X,X,O,X,X,X,X
TLSIJOZ,O,O,O,X,X,X,X,O,X,X,X,X
TLSIZJO,O,O,X,X,O,X,O,O,X,X,X,X
TLSIZOJ,O,O,X,X,O,X,O,O,X,X,X,X
TLSIOJZ,O,O,O,X,X,X,X,O,X,X,X,X
TLSIOZJ,O,X,X,X,O,X,O,X,X,X,X,X
TLSJIZO,O,O,O,X,X,X,X,O,X,X,X,X
TLSJIOZ,O,O,O,X,X,X,X,O,X,X,X,X
TLSJZIO,O,O,O,X,X,X,O,O,X,X,X,X
TLSJZOI,O,O,O,X,X,X,O,O,X,X,X,X
TLSJOIZ,O,O,O,X,X,X,X,O,X,X,X,X
TLSJOZI,O,O,O,X,X,X,O,O,X,X,X,X
TLSZIJO,O,O,X,X,O,X,O,O,X,X,X,X
TLSZIOJ,O,O,X,O,O,O,O,O,X,X,X,X
TLSZJIO,O,O,X,X,O,X,O,O,X,X,X,X
TLSZJOI,O,O,X,X,O,X,O,O,X,X,X,X
TLSZOIJ,O,O,X,O,O,O,O,O,X,X,X,X
TLSZOJI,O,O,X,O,O,O,O,O,X,X,X,X
TLSOIJZ,O,O,O,X,X,X,X,O,X,X,X,X
TLSOIZJ,O,X,X,X,O,X,O,X,X,X,X,X
TLSOJIZ,O,O,O,X,X,X,X,O,X,X,X,X
TLSOJZI,O,O,O,O,X,O,O,O,X,X,X,X
TLSOZIJ,O,O,X,O,O,O,O,O,X,X,X,X
TLSOZJI,O,O,X,O,O,O,O,O,X,X,X,X
TLZIJSO,O,O,O,X,O,X,O,O,X,X,X,X
TLZIJOS,O,O,O,O,O,X,O,O,X,X,X,X
TLZISJO,O,O,X,X,O,X,O,O,X,X,X,X
TLZISOJ,O,O,X,O,O,O,O,O,X,X,X,X
TLZIOJS,O,X,O,O,O,O,O,X,X,X,X,X
TLZIOSJ,O,X,X,O,O,O,O,X,X,X,X,X
TLZJISO,O,O,O,X,O,X,O,O,X,X,X,X
TLZJIOS,O,O,O,O,O,X,O,O,X,X,X,X
TLZJSIO,O,O,O,X,O,X,O,O,X,X,X,X
TLZJSOI,O,O,O,X,O,X,O,O,X,X,X,X
TLZJOIS,O,O,O,O,O,X,O,O,X,X,X,X
TLZJOSI,O,O,O,O,O,X,O,O,X,X,X,X
TLZSIJO,O,O,X,X,O,X,O,O,X,X,X,X
TLZSIOJ,O,O,X,O,O,O,O,O,X,X,X,X
TLZSJIO,O,O,X,X,O,X,O,O,X,X,X,X
TLZSJOI,O,O,X,X,O,X,O,O,X,X,X,X
TLZSOIJ,O,O,X,O,O,O,O,O,X,X,X,X
TLZSOJI,O,O,X,O,O,O,O,O,X,X,X,X
TLZOIJS,O,X,O,O,O,O,O,X,X,X,X,X
TLZOISJ,O,X,X,O,O,O,O,X,X,X,X,X
TLZOJIS,O,X,O,O,O,O,O,X,X,X,X,X
TLZOJSI,O,X,O,O,O,O,O,X,X,X,X,X
TLZOSIJ,O,X,X,O,O,O,O,X,X,X,X,X
TLZOSJI,O,X,X,O,O,O,O,X,X,X,X,X
TLOIJSZ,O,X,O,X,X,X,X,X,X,X,X,X
TLOIJZS,X,X,O,O,O,X,X,X,X,X,X,X
TLOISJZ,O,X,O,X,X,X,X,X,X,X,X,X
TLOISZJ,O,X,X,X,O,X,O,X,X,X,X,X
TLOIZJS,O,X,O,O,O,X,O,X,X,X,X,X
TLOIZSJ,O,X,X,O,O,X,O,X,X,X,X,X
TLOJISZ,O,X,O,X,X,X,X,X,X,X,X,X
TLOJIZS,X,X,O,O,O,X,X,X,X,X,X,X
TLOJSIZ,O,X,O,X,X,X,X,X,X,X,X,X
TLOJSZI,O,X,O,O,X,O,O,X,X,X,X,X
TLOJZIS,O,X,O,O,O,O,O,X,X,X,X,X
TLOJZSI,O,X,O,O,O,O,O,X,X,X,X,X
TLOSIJZ,O,X,O,X,X,X,X,X,X,X,X,X
TLOSIZJ,O,X,X,X,O,X,O,X,X,X,X,X
TLOSJIZ,O,X,O,X,X,X,X,X,X,X,X,X
TLOSJZI,O,X,O,O,X,O,O,X,X,X,X,X
TLOSZIJ,O,X,X,O,O,O,O,X,X,X,X,X
TLOSZJI,O,X,X,O,O,O,O,X,X,X,X,X
TLOZIJS,O,X,O,O,O,O,O,X,X,X,X,X
TLOZISJ,O,X,X,O,O,O,O,X,X,X,X,X
TLOZJIS,O,X,O,O,O,O,O,X,X,X,X,X
TLOZJSI,O,X,O,O,O,O,O,X,X,X,X,X
TLOZSIJ,O,X,X,O,O,O,O,X,X,X,X,X
TLOZSJI,O,X,X,O,O,O,O,X,X,X,X,X
TJILSZO,O,O,O,X,X,X,X,X,X,X,X,X
TJILSOZ,O,O,O,X,X,X,X,X,X,X,X,X
TJILZSO,X,X,O,X,O,X,X,X,X,X,X,X
TJILZOS,X,X,O,X,O,X,X,X,X,X,X,X
TJILOSZ,O,O,O,X,X,X,X,X,X,X,X,X
TJILOZS,X,X,O,X,O,X,X,X,X,X,X,X
TJISLZO,O,O,O,X,X,X,X,X,X,X,X,X
TJISLOZ,O,O,O,X,X,X,X,X,X,X,X,X
TJISZLO,O,O,O,X,X,X,X,X,O,X,X,X
TJISZOL,X,O,O,X,X,X,X,X,X,X,O,X
TJISOLZ,O,O,O,X,X,X,X,X,X,X,X,X
TJISOZL,X,O,O,X,X,X,X,X,X,X,O,X
TJIZLSO,X,O,O,X,X,X,X,X,O,X,X,X
TJIZLOS,X,O,O,X,X,X,X,X,O,X,X,X
TJIZSLO,X,O,O,X,X,X,X,X,O,X,X,X
TJIZSOL,X,O,O,X,X,X,X,X,X,X,O,X
TJIZOLS,X,O,O,X,X,X,X,X,X,X,X,X
TJIZOSL,X,O,O,X,X,X,X,X,X,X,O,X
TJIOLSZ,X,O,O,X,X,X,X,X,X,X,X,X
TJIOLZS,X,X,O,X,O,X,X,X,X,X,X,X
TJIOSLZ,X,O,O,X,X,X,X,X,X,X,X,X
TJIOSZL,X,O,O,X,X,X,X,X,X,X,O,X
TJIOZLS,X,O,O,X,X,X,X,X,X,X,X,X
TJIOZSL,X,O,O,X,X,X,X,X,X,X,O,X
TJLISZO,O,O,O,X,X,X,X,X,X,X,X,X
TJLISOZ,O,O,O,X,X,X,X,X,X,X,X,X
TJLIZSO,X,X,O,X,O,X,X,X,X,X,X,X
TJLIZOS,X,X,O,X,O,X,X,X,X,X,X,X
TJLIOSZ,O,O,O,X,X,X,X,X,X,X,X,X
TJLIOZS,X,X,O,X,O,X,X,X,X,X,X,X
TJLSIZO,O,O,O,X,X,X,X,X,X,X,X,X
TJLSIOZ,O,O,O,X,X,X,X,X,X,X,X,X
TJLSZIO,O,O,O,X,X,X,O,X,X,X,X,X
TJLSZOI,O,O,O,X,X,X,O,X,X,X,X,X
TJLSOIZ,O,O,O,X,X,X,X,X,X,X,X,X
TJLSOZI,O,O,O,X,X,X,O,X,X,X,X,X
TJLZISO,O,O,O,X,O,X,O,X,X,X,X,X
TJLZIOS,O,O,O,O,O,X,O,X,X,X,X,X
TJLZSIO,O,O,O,X,O,X,O,X,X,X,X,X
TJLZSOI,O,O,O,X,O,X,O,X,X,X,X,X
TJLZOIS,O,O,O,O,O,X,O,X,X,X,X,X
TJLZOSI,O,O,O,O,O,X,O,X,X,X,X,X
TJLOISZ,O,O,O,X,X,X,X,X,X,X,X,X
TJLOIZS,X,X,O,O,O,X,X,X,X,X,X,X
TJLOSIZ,O,O,O,X,X,X,X,X,X,X,X,X
TJLOSZI,O,O,O,O,X,X,O,X,X,X,X,X
TJLOZIS,O,O,O,O,O,X,O,X,X,X,X,X
TJLOZSI,O,O,O,O,O,X,O,X,X,X,X,X
TJSILZO,O,O,O,X,X,X,X,X,X,X,X,X
TJSILOZ,O,O,O,X,X,X,X,X,X,X,X,X
TJSIZLO,O,O,O,X,X,X,X,X,O,X,X,X
TJSIZOL,O,O,O,X,X,X,X,X,X,X,O,X
TJSIOLZ,O,O,O,X,X,X,X,X,X,X,X,X
TJSIOZL,X,O,O,X,X,X,X,X,X,X,O,X
TJSLIZO,O,O,O,X,X,X,X,X,X,X,X,X
TJSLIOZ,O,O,O,X,X,X,X,X,X,X,X,X
TJSLZIO,O,O,O,X,X,X,X,X,X,X,X,X
TJSLZOI,O,O,O,X,X,X,X,X,X,X,X,X
TJSLOIZ,O,O,O,X,X,X,X,X,X,X,X,X
TJSLOZI,O,O,O,X,X,X,X,X,X,X,X,X
TJSZILO,O,O,O,X,X,X,X,X,X,X,X,X
TJSZIOL,O,O,O,X,X,O,X,X,X,X,O,X
TJSZLIO,O,O,O,X,X,X,X,X,X,X,X,X
TJSZLOI,O,O,O,X,X,X,X,X,X,X,X,X
TJSZOIL,O,O,O,X,X,O,X,X,X,X,X,X
TJSZOLI,O,O,O,X,X,O,X,X,X,X,X,X
TJSOILZ,O,O,O,X,X,X,X,X,X,X,X,X
TJSOIZL,X,O,O,X,X,O,X,X,X,X,X,X
TJSOLIZ,O,O,O,X,X,X,X,X,X,X,X,X
TJSOLZI,O,O,O,X,X,O,X,X,X,X,X,X
TJSOZIL,O,O,O,X,X,O,X,X,X,X,X,X
TJSOZLI,O,O,O,X,X,O,X,X,X,X,X,X
TJZILSO,O,O,O,X,X,X,O,X,X,X,X,X
TJZILOS,O,O,O,O,X,X,O,X,X,X,X,X
TJZISLO,O,O,O,X,X,X,X,X,X,X,X,X
TJZISOL,O,O,O,X,X,O,X,X,X,X,O,X
TJZIOLS,X,O,O,O,X,O,O,X,X,X,X,X
TJZIOSL,X,O,O,O,X,O,X,X,X,X,O,X
TJZLISO,O,O,O,X,X,X,O,X,X,X,X,X
TJZLIOS,O,O,O,O,X,X,O,X,X,X,X,X
TJZLSIO,O,O,O,X,X,X,O,X,X,X,X,X
TJZLSOI,O,O,O,X,X,X,O,X,X,X,X,X
TJZLOIS,O,O,O,O,X,X,O,X,X,X,X,X
TJZLOSI,O,O,O,O,X,X,O,X,X,X,X,X
TJZSILO,O,O,O,X,X,X,X,X,X,X,X,X
TJZSIOL,O,O,O,X,X,O,X,X,X,X,O,X
TJZSLIO,O,O,O,X,X,X,X,X,X,X,X,X
TJZSLOI,O,O,O,X,X,X,X,X,X,X,X,X
TJZSOIL,O,O,O,X,X,O,X,X,X,X,X,X
TJZSOLI,O,O,O,X,X,O,X,X,X,X,X,X
TJZOILS,X,O,O,O,X,O,O,X,X,X,X,X
TJZOISL,X,O,O,O,X,O,X,X,X,X,X,X
TJZOLIS,X,O,O,O,X,O,O,X,X,X,X,X
TJZOLSI,X,O,O,O,X,O,O,X,X,X,X,X
TJZOSIL,X,O,O,O,X,O,X,X,X,X,X,X
TJZOSLI,X,O,O,O,X,O,X,X,X,X,X,X
TJOILSZ,X,O,O,X,X,X,X,X,X,X,X,X
TJOILZS,X,X,O,O,O,X,X,X,X,X,X,X
TJOISLZ,X,O,O,X,X,X,X,X,X,X,X,X
TJOISZL,X,O,O,X,X,O,X,X,X,X,X,X
TJOIZLS,X,O,O,O,X,O,X,X,X,X,X,X
TJOIZSL,X,O,O,O,X,O,X,X,X,X,X,X
TJOLISZ,X,O,O,X,X,X,X,X,X,X,X,X
TJOLIZS,X,X,O,O,O,X,X,X,X,X,X,X
TJOLSIZ,X,O,O,X,X,X,X,X,X,X,X,X
TJOLSZI,X,O,O,O,X,O,O,X,X,X,X,X
TJOLZIS,X,O,O,O,O,O,O,X,X,X,X,X
TJOLZSI,X,O,O,O,O,O,O,X,X,X,X,X
TJOSILZ,X,O,O,X,X,X,X,X,X,X,X,X
TJOSIZL,X,O,O,X,X,O,X,X,X,X,X,X
TJOSLIZ,X,O,O,X,X,X,X,X,X,X,X,X
TJOSLZI,X,O,O,O,X,O,X,X,X,X,X,X
TJOSZIL,X,O,O,O,X,O,X,X,X,X,X,X
TJOSZLI,X,O,O,O,X,O,X,X,X,X,X,X
TJOZILS,X,O,O,O,X,O,O,X,X,X,X,X
TJOZISL,X,O,O,O,X,O,X,X,X,X,X,X
TJOZLIS,X,O,O,O,X,O,O,X,X,X,X,X
TJOZLSI,X,O,O,O,X,O,O,X,X,X,X,X
TJOZSIL,X,O,O,O,X,O,X,X,X,X,X,X
TJOZSLI,X,O,O,O,X,O,X,X,X,X,X,X
TSILJZO,O,O,O,X,X,X,X,O,X,X,X,X
TSILJOZ,O,O,O,X,X,X,X,O,X,X,X,X
TSILZJO,O,O,X,X,O,X,X,O,O,X,X,X
TSILZOJ,O,O,X,X,O,X,X,O,O,O,X,X
TSILOJZ,O,O,O,X,X,X,X,O,X,X,X,X
TSILOZJ,O,X,X,X,O,X,X,X,O,X,X,X
TSIJLZO,O,O,O,X,X,X,X,O,X,X,X,X
TSIJLOZ,O,O,O,X,X,X,X,O,X,X,X,O
TSIJZLO,O,O,O,X,X,X,X,X,O,X,X,X
TSIJZOL,O,O,O,X,X,X,X,X,X,X,O,X
TSIJOLZ,O,O,O,X,X,X,X,X,X,X,X,O
TSIJOZL,X,O,O,X,X,X,X,X,X,X,O,X
TSIZLJO,O,O,X,X,X,X,X,O,O,X,X,X
TSIZLOJ,O,O,X,X,X,O,X,O,O,O,X,X
TSIZJLO,O,O,X,X,X,X,X,O,O,X,X,X
TSIZJOL,O,O,X,X,X,O,X,X,X,X,X,X
TSIZOLJ,O,O,X,X,X,O,X,O,X,O,X,X
TSIZOJL,O,O,X,X,X,O,X,X,X,O,X,X
TSIOLJZ,O,O,O,X,X,X,X,O,X,X,X,X
TSIOLZJ,O,X,X,X,O,X,X,X,X,X,X,X
TSIOJLZ,O,O,O,X,X,X,X,X,X,X,X,X
TSIOJZL,X,O,O,X,X,O,X,X,X,X,O,X
TSIOZLJ,X,X,X,X,X,O,X,X,X,O,X,X
TSIOZJL,X,X,X,X,X,O,X,X,X,O,X,X
TSLIJZO,O,O,O,X,X,X,X,O,X,X,X,X
TSLIJOZ,O,O,O,X,X,X,X,O,X,X,X,X
TSLIZJO,O,O,X,X,O,X,O,O,X,X,X,X
TSLIZOJ,O,O,X,X,O,X,O,O,X,X,X,X
TSLIOJZ,O,O,O,X,X,X,X,O,X,X,X,X
TSLIOZJ,O,X,X,X,O,X,O,X,X,X,X,X
TSLJIZO,O,O,O,X,X,X,X,O,X,X,X,X
TSLJIOZ,O,O,O,X,X,X,X,O,X,X,X,X
