sequence,v115@zgB8HeB8HeB8AeA8EeF8CeG8CeB8JeOAJvhFxcBTeB?FhB0iBqrB/sB,v115@zgB8HeB8HeB8AeA8EeF8CeG8CeB8JeOAJvhFXcBidB?cjB1mB5nBzrB,v115@zgB8HeB8HeB8AeA8EeF8CeG8CeB8JeOAJvhFXcBxdB?UiBFjB6rBTsB,v115@zgB8HeB8HeB8AeA8EeF8CeG8CeB8JeT+IvhFxgB0iB?igBlmBXsBGsB,v115@zgB8HeB8HeB8AeA8EeF8CeG8CeB8Jex7IvhFTeBigB?FiB0mBusBXsB,v115@zgB8HeB8HeB8AeA8EeF8CeG8CeB8Jex7IvhFTeBigB?0mBlnBGsBXsB,v115@zgB8HeB8HeB8AeA8EeF8CeG8CeB8JeOAJvhFxdBUhB?FiBXjB6rBTsB,v115@zgB8HeB8HeB8AeA8EeF8CeG8CeB8Jex7IvhFTeBigB?lmB3nB8rB+sB,v115@zgB8HeB8HeB8AeA8EeF8CeG8CeB8Jex7IvhFldBcjB?igB3hBTnBWxB,v115@zgB8HeB8HeB8AeA8EeF8CeG8CeB8JeOAJvhFTeBFhB?RnB6sBXnB0rB,v115@zgB8HeB8HeB8AeA8EeF8CeG8CeB8JeOAJvhFxcBTeB?FhB8mB3nBSxB,v115@zgB8HeB8HeB8AeA8EeF8CeG8CeB8Je5BJvhFcjBmgB?TiBigBXsBlsB
TILOZSJ,X,X,O,O,X,O,X,X,X,X,X,X
TIJLSZO,O,O,O,X,X,X,X,X,X,X,X,X
TIJLSOZ,O,X,O,X,X,X,X,X,X,O,X,X
TIJLZSO,O,O,O,X,X,X,X,X,X,X,X,X
TIJLZOS,O,O,O,X,X,X,X,X,X,O,X,X
TIJLOSZ,O,X,O,X,X,X,X,X,X,O,X,X
TIJLOZS,O,X,O,X,X,X,X,X,X,O,X,X
TIJSLZO,O,O,O,X,X,X,X,X,X,X,X,X
TIJSLOZ,O,X,O,X,X,X,X,X,X,O,X,X
TIJSZLO,X,O,O,X,X,X,X,X,X,X,X,X
TIJSZOL,X,O,O,X,X,X,X,X,X,X,X,X
TIJSOLZ,O,X,O,X,X,X,X,X,X,O,X,X
TIJSOZL,X,O,O,X,X,X,X,X,X,X,X,X
TIJZLSO,O,O,O,X,X,X,X,X,X,X,X,X
TIJZLOS,O,O,X,X,X,X,X,X,X,O,X,X
TIJZSLO,X,O,O,X,X,X,X,X,X,X,X,X
TIJZSOL,X,O,O,X,X,X,X,X,X,X,X,X
TIJZOLS,O,O,O,O,X,X,X,X,X,O,X,X
TIJZOSL,X,O,O,X,X,X,X,X,X,X,X,X
TIJOLSZ,O,O,O,X,X,X,X,X,X,O,X,X
TIJOLZS,O,O,O,X,X,X,X,X,X,O,X,X
TIJOSLZ,O,O,O,X,X,X,X,X,X,O,X,X
TIJOSZL,X,O,O,X,X,X,X,X,X,X,X,X
TIJOZLS,O,O,O,O,X,X,X,X,X,O,X,X
TIJOZSL,X,O,O,X,X,X,X,X,X,X,X,X
TISLJZO,O,O,O,X,X,X,X,O,X,X,X,X
TISLJOZ,O,X,O,X,X,X,X,O,X,X,X,X
TISLZJO,O,O,O,X,X,X,X,O,X,X,X,X
TISLZOJ,O,O,X,X,X,X,X,O,X,X,X,X
TISLOJZ,O,X,O,X,X,X,X,O,X,X,X,X
TISLOZJ,O,X,X,X,X,X,X,O,X,X,X,X
TISJLZO,O,O,O,X,X,X,X,X,X,X,X,X
TISJLOZ,O,X,O,X,X,X,X,X,X,O,X,X
TISJZLO,X,O,O,X,X,X,X,X,X,X,X,X
TISJZOL,X,O,O,X,X,X,X,X,X,X,X,X
TISJOLZ,O,X,O,X,X,X,X,X,X,O,X,X
TISJOZL,X,O,O,X,X,X,X,X,X,X,X,X
TISZLJO,X,O,X,X,X,X,X,X,X,X,X,X
TISZLOJ,X,O,X,X,X,X,X,X,X,X,X,X
TISZJLO,X,O,O,X,X,X,X,X,X,X,X,X
TISZJOL,X,O,O,X,X,X,X,X,X,X,X,X
TISZOLJ,X,O,X,O,X,X,X,X,X,X,X,X
TISZOJL,X,O,X,O,X,X,X,X,X,X,X,X
TISOLJZ,X,X,O,X,X,X,X,O,X,X,X,X
TISOLZJ,X,X,O,X,X,X,X,X,X,X,X,X
TISOJLZ,O,X,O,X,X,X,X,X,X,O,X,X
TISOJZL,X,O,O,X,X,X,X,X,X,X,X,X
TISOZLJ,X,O,O,O,X,X,X,X,X,X,X,X
TISOZJL,X,O,O,O,X,X,X,X,X,X,X,X
TIZLJSO,O,O,O,X,X,O,X,X,X,X,X,X
TIZLJOS,O,O,X,X,X,O,X,X,X,X,X,X
TIZLSJO,O,O,O,X,X,O,X,X,X,X,X,X
TIZLSOJ,O,O,X,X,X,O,X,X,X,X,X,X
TIZLOJS,O,O,X,O,X,O,X,X,X,X,X,X
TIZLOSJ,X,O,X,O,X,O,X,X,X,X,X,X
TIZJLSO,O,O,O,X,X,X,X,X,X,X,X,X
TIZJLOS,O,O,X,X,X,X,X,X,X,O,X,X
TIZJSLO,X,O,O,X,X,X,X,X,X,X,X,X
TIZJSOL,X,O,O,X,X,X,X,X,X,X,X,X
TIZJOLS,O,O,O,O,X,X,X,X,X,O,X,X
TIZJOSL,X,O,O,X,X,X,X,X,X,X,X,X
TIZSLJO,X,O,X,X,X,X,X,X,X,X,X,X
TIZSLOJ,X,O,X,X,X,X,X,X,X,X,X,X
TIZSJLO,X,O,O,X,X,X,X,X,X,X,X,X
TIZSJOL,X,O,O,X,X,X,X,X,X,X,X,X
TIZSOLJ,X,O,X,O,X,X,X,X,X,X,X,X
TIZSOJL,X,O,X,X,X,X,X,X,X,X,X,X
TIZOLJS,X,O,O,O,X,O,X,X,X,X,X,X
TIZOLSJ,X,O,O,O,X,O,X,X,X,X,X,X
TIZOJLS,O,O,O,O,X,X,X,X,X,O,X,X
TIZOJSL,X,O,O,X,X,X,X,X,X,X,X,X
TIZOSLJ,X,O,O,O,X,X,X,X,X,X,X,X
TIZOSJL,X,O,O,O,X,X,X,X,X,X,X,X
TIOLJSZ,O,O,O,X,X,X,X,X,X,O,X,X
TIOLJZS,O,O,O,X,X,X,X,X,X,O,X,X
TIOLSJZ,O,O,O,X,X,X,X,O,X,X,X,X
TIOLSZJ,O,O,O,X,X,X,X,X,X,X,X,X
TIOLZJS,O,O,O,O,X,O,X,X,X,X,X,X
TIOLZSJ,X,O,O,O,X,O,X,X,X,X,X,X
TIOJLSZ,O,O,O,X,X,X,X,X,X,O,X,X
TIOJLZS,O,O,O,X,X,X,X,X,X,O,X,X
TIOJSLZ,O,O,O,X,X,X,X,X,X,O,X,X
TIOJSZL,X,O,O,X,X,X,X,X,X,X,X,X
TIOJZLS,O,O,O,O,X,X,X,X,X,O,X,X
TIOJZSL,X,O,O,X,X,X,X,X,X,X,X,X
TIOSLJZ,X,O,O,X,X,X,X,O,X,X,X,X
TIOSLZJ,X,O,O,X,X,X,X,X,X,X,X,X
TIOSJLZ,O,O,O,X,X,X,X,X,X,O,X,X
TIOSJZL,X,O,O,X,X,X,X,X,X,X,X,X
TIOSZLJ,X,O,O,O,X,X,X,X,X,X,X,X
TIOSZJL,X,O,O,O,X,X,X,X,X,X,X,X
TIOZLJS,X,O,O,O,X,O,X,X,X,X,X,X
TIOZLSJ,X,O,O,O,X,O,X,X,X,X,X,X
TIOZJLS,O,O,O,O,X,X,X,X,X,O,X,X
TIOZJSL,X,O,O,X,X,X,X,X,X,X,X,X
TIOZSLJ,X,O,O,O,X,X,X,X,X,X,X,X
TIOZSJL,X,O,O,O,X,X,X,X,X,X,X,X
TLIJSZO,O,O,O,X,X,X,X,O,O,X,X,X
TLIJSOZ,O,X,O,X,X,X,X,X,X,O,X,X
TLIJZSO,O,O,O,X,O,X,X,X,O,X,X,X
TLIJZOS,O,O,O,X,O,X,X,X,O,O,X,X
TLIJOSZ,O,X,O,X,X,X,X,X,X,O,X,X
TLIJOZS,O,X,O,X,O,X,X,X,O,O,X,X
TLISJZO,O,O,O,X,X,X,X,O,O,X,X,X
TLISJOZ,O,X,O,X,X,X,X,O,X,X,X,X
TLISZJO,O,O,O,X,X,X,X,O,O,X,X,X
TLISZOJ,O,O,O,X,X,X,X,O,O,X,X,X
TLISOJZ,O,X,O,X,X,X,X,O,X,X,X,X
TLISOZJ,O,X,X,X,X,X,X,O,X,X,X,X
TLIZJSO,O,O,O,X,O,O,X,X,O,X,X,X
TLIZJOS,O,O,O,X,O,O,X,X,O,X,X,X
TLIZSJO,O,O,O,X,X,O,X,O,O,X,X,X
TLIZSOJ,O,O,O,X,X,O,X,O,O,X,X,X
TLIZOJS,O,O,O,O,X,O,X,X,O,X,X,X
TLIZOSJ,X,O,O,O,X,O,X,X,O,X,X,X
TLIOJSZ,O,X,O,X,X,X,X,X,X,O,X,X
TLIOJZS,O,X,O,X,O,X,X,X,X,O,X,X
TLIOSJZ,O,X,O,X,X,X,X,O,X,X,X,X
TLIOSZJ,O,X,O,X,X,X,X,O,X,X,X,X
TLIOZJS,O,X,O,O,X,O,X,X,X,X,X,X
TLIOZSJ,X,X,O,O,X,O,X,X,X,X,X,X
TLJISZO,O,O,O,X,X,X,X,O,O,X,X,X
TLJISOZ,O,X,O,X,X,X,X,X,X,O,X,X
TLJIZSO,O,O,O,X,O,X,X,X,O,X,X,X
TLJIZOS,O,O,O,X,O,X,X,X,O,O,X,X
TLJIOSZ,O,X,O,X,X,X,X,X,X,O,X,X
TLJIOZS,O,X,O,X,O,X,X,X,O,O,X,X
TLJSIZO,O,O,O,X,X,X,X,O,O,X,X,X
TLJSIOZ,O,X,O,X,X,X,X,O,X,X,X,X
TLJSZIO,O,O,O,X,X,X,X,O,O,X,X,X
TLJSZOI,O,O,O,X,X,X,X,O,O,X,X,X
TLJSOIZ,O,X,O,X,X,X,X,O,X,X,X,X
TLJSOZI,O,X,O,X,O,X,X,O,X,X,X,X
TLJZISO,O,O,O,X,O,O,X,X,O,X,X,X
TLJZIOS,O,O,O,X,O,O,X,X,O,X,X,X
TLJZSIO,O,O,O,X,O,O,X,X,O,X,X,X
TLJZSOI,O,O,O,X,O,O,X,X,O,X,X,X
TLJZOIS,O,X,O,X,O,O,X,X,O,X,X,X
TLJZOSI,O,O,O,X,O,O,X,X,O,X,X,X
TLJOISZ,O,X,O,X,X,X,X,X,X,O,X,X
TLJOIZS,O,X,O,X,O,X,X,X,O,O,X,X
TLJOSIZ,O,X,O,X,X,X,X,O,O,X,X,X
TLJOSZI,O,X,O,X,O,X,X,O,O,X,X,X
TLJOZIS,O,X,O,X,O,O,X,X,O,X,X,X
TLJOZSI,O,X,O,X,O,O,X,X,O,X,X,X
TLSIJZO,O,O,O,X,X,X,X,O,O,X,X,X
TLSIJOZ,O,X,O,X,X,X,X,O,X,X,X,X
TLSIZJO,O,O,O,X,X,X,X,O,O,X,X,X
TLSIZOJ,O,O,O,X,X,X,X,O,O,X,X,X
TLSIOJZ,O,X,O,X,X,X,X,O,X,X,X,X
TLSIOZJ,O,X,X,X,X,X,X,O,X,X,X,X
TLSJIZO,O,O,O,X,X,X,X,O,O,X,X,X
TLSJIOZ,O,X,O,X,X,X,X,O,X,X,X,X
TLSJZIO,O,O,O,X,X,X,X,O,O,X,X,X
TLSJZOI,O,O,O,X,X,X,X,O,O,X,X,X
TLSJOIZ,O,X,O,X,X,X,X,O,X,X,X,X
TLSJOZI,O,X,O,X,X,X,X,O,X,X,X,X
TLSZIJO,O,O,O,X,X,O,X,O,O,X,X,X
TLSZIOJ,O,O,O,X,X,O,X,O,O,X,X,X
TLSZJIO,O,O,O,X,X,O,X,O,O,X,X,X
TLSZJOI,O,O,O,X,X,O,X,O,O,X,X,X
TLSZOIJ,O,X,O,X,X,O,X,O,O,X,X,X
TLSZOJI,O,O,O,X,X,O,X,O,X,X,X,X
TLSOIJZ,O,X,O,X,X,X,X,O,X,X,X,X
TLSOIZJ,O,X,O,X,X,X,X,O,X,X,X,X
TLSOJIZ,O,X,O,X,X,X,X,O,X,X,X,X
TLSOJZI,O,X,O,X,X,X,X,O,X,X,X,X
TLSOZIJ,O,X,O,X,X,O,X,O,X,X,X,X
TLSOZJI,O,X,O,X,X,O,X,O,X,X,X,X
TLZIJSO,O,O,O,X,O,O,X,X,O,X,X,X
TLZIJOS,O,O,O,X,O,O,X,X,O,X,X,X
TLZISJO,O,O,O,X,X,O,X,O,O,X,X,X
TLZISOJ,O,O,O,X,X,O,X,O,O,X,X,X
TLZIOJS,O,O,O,O,X,O,X,X,O,X,X,X
TLZIOSJ,X,O,O,O,X,O,X,X,O,X,X,X
TLZJISO,O,O,O,X,O,O,X,X,O,X,X,X
TLZJIOS,O,O,O,X,O,O,X,X,O,X,X,X
TLZJSIO,O,O,O,X,O,O,X,X,O,X,X,X
TLZJSOI,O,O,O,X,O,O,X,X,O,X,X,X
TLZJOIS,O,X,O,X,O,O,X,X,O,X,X,X
TLZJOSI,O,O,O,X,O,O,X,X,O,X,X,X
TLZSIJO,O,O,O,X,X,O,X,O,O,X,X,X
TLZSIOJ,O,O,O,X,X,O,X,O,O,X,X,X
TLZSJIO,O,O,O,X,X,O,X,O,O,X,X,X
TLZSJOI,O,O,O,X,X,O,X,O,O,X,X,X
TLZSOIJ,O,X,O,X,X,O,X,O,O,X,X,X
TLZSOJI,O,O,O,X,X,O,X,O,X,X,X,X
TLZOIJS,O,X,O,O,X,O,X,X,O,X,X,X
TLZOISJ,X,X,O,O,X,O,X,X,O,X,X,X
TLZOJIS,O,X,O,X,X,O,X,X,X,X,X,X
TLZOJSI,O,O,O,X,X,O,X,X,X,X,X,X
TLZOSIJ,O,X,O,X,X,O,X,X,O,X,X,X
TLZOSJI,O,O,O,X,X,O,X,O,X,X,X,X
TLOIJSZ,O,X,O,X,X,X,X,X,X,O,X,X
TLOIJZS,O,X,O,X,O,X,X,X,X,O,X,X
TLOISJZ,O,X,O,X,X,X,X,O,X,X,X,X
TLOISZJ,O,X,O,X,X,X,X,O,X,X,X,X
TLOIZJS,O,X,O,O,X,O,X,X,X,X,X,X
TLOIZSJ,X,X,O,O,X,O,X,X,X,X,X,X
TLOJISZ,O,X,O,X,X,X,X,X,X,O,X,X
TLOJIZS,O,X,O,X,O,X,X,X,X,O,X,X
TLOJSIZ,O,X,O,X,X,X,X,O,X,X,X,X
TLOJSZI,O,X,O,X,O,X,X,O,X,X,X,X
TLOJZIS,O,X,O,X,O,O,X,X,X,X,X,X
TLOJZSI,O,X,O,X,O,O,X,X,X,X,X,X
TLOSIJZ,O,X,O,X,X,X,X,O,X,X,X,X
TLOSIZJ,O,X,O,X,X,X,X,O,X,X,X,X
TLOSJIZ,O,X,O,X,X,X,X,O,X,X,X,X
TLOSJZI,O,X,O,X,X,X,X,O,X,X,X,X
TLOSZIJ,O,X,O,X,X,O,X,O,X,X,X,X
TLOSZJI,O,X,O,X,X,O,X,O,X,X,X,X
TLOZIJS,O,X,O,X,X,O,X,X,X,X,X,X
TLOZISJ,X,X,O,X,X,O,X,X,X,X,X,X
TLOZJIS,O,X,O,X,X,O,X,X,X,X,X,X
TLOZJSI,O,X,O,X,X,O,X,X,X,X,X,X
TLOZSIJ,O,X,O,X,X,O,X,X,X,X,X,X
TLOZSJI,O,X,O,X,X,O,X,O,X,X,X,X
TJILSZO,O,O,O,X,X,X,X,X,X,X,X,X
TJILSOZ,O,X,O,X,X,X,X,X,X,O,X,X
TJILZSO,O,O,O,X,X,X,X,X,X,X,X,X
TJILZOS,O,O,O,X,X,X,X,X,X,O,X,X
TJILOSZ,O,X,O,X,X,X,X,X,X,O,X,X
TJILOZS,O,X,O,X,O,X,X,X,X,O,X,X
TJISLZO,O,O,O,X,X,X,X,X,X,X,X,X
TJISLOZ,O,X,O,X,X,X,X,X,X,O,X,X
TJISZLO,X,O,O,X,X,X,X,X,X,X,X,X
TJISZOL,X,O,O,X,X,X,X,X,X,X,X,X
TJISOLZ,O,X,O,X,X,X,X,X,X,O,X,X
TJISOZL,X,O,O,X,X,X,X,X,X,X,X,X
TJIZLSO,O,O,O,X,X,X,X,X,X,X,X,X
TJIZLOS,O,O,X,X,X,X,X,X,X,O,X,X
TJIZSLO,X,O,O,X,X,X,X,X,X,X,X,X
TJIZSOL,X,O,O,X,X,X,X,X,X,X,X,X
TJIZOLS,O,O,O,O,X,X,X,X,X,O,X,X
TJIZOSL,X,O,O,X,X,X,X,X,X,X,X,X
TJIOLSZ,O,O,O,X,X,X,X,X,X,O,X,X
TJIOLZS,O,O,O,X,O,X,X,X,X,O,X,X
TJIOSLZ,O,O,O,X,X,X,X,X,X,O,X,X
TJIOSZL,X,O,O,X,X,X,X,X,X,X,X,X
TJIOZLS,O,O,O,O,X,X,X,X,X,O,X,X
TJIOZSL,X,O,O,X,X,X,X,X,X,X,X,X
TJLISZO,O,O,O,X,X,X,X,O,O,X,X,X
TJLISOZ,O,X,O,X,X,X,X,X,X,O,X,X
TJLIZSO,O,O,O,X,O,X,X,X,O,X,X,X
TJLIZOS,O,O,O,X,O,X,X,X,O,O,X,X
TJLIOSZ,O,X,O,X,X,X,X,X,X,O,X,X
TJLIOZS,O,X,O,X,O,X,X,X,O,O,X,X
TJLSIZO,O,O,O,X,X,X,X,O,O,X,X,X
TJLSIOZ,O,X,O,X,X,X,X,O,X,X,X,X
TJLSZIO,O,O,O,X,X,X,X,O,O,X,X,X
TJLSZOI,O,O,O,X,X,X,X,O,O,X,X,X
TJLSOIZ,O,X,O,X,X,X,X,O,X,X,X,X
TJLSOZI,O,X,O,X,O,X,X,O,X,X,X,X
TJLZISO,O,O,O,X,O,O,X,X,O,X,X,X
TJLZIOS,O,O,O,X,O,O,X,X,O,X,X,X
TJLZSIO,O,O,O,X,O,O,X,X,O,X,X,X
TJLZSOI,O,O,O,X,O,O,X,X,O,X,X,X
TJLZOIS,O,X,O,X,O,O,X,X,O,X,X,X
TJLZOSI,O,O,O,X,O,O,X,X,O,X,X,X
TJLOISZ,O,X,O,X,X,X,X,X,X,O,X,X
TJLOIZS,O,X,O,X,O,X,X,X,O,O,X,X
TJLOSIZ,O,X,O,X,X,X,X,O,O,X,X,X
TJLOSZI,O,X,O,X,O,X,X,O,O,X,X,X
TJLOZIS,O,X,O,X,O,O,X,X,O,X,X,X
TJLOZSI,O,X,O,X,O,O,X,X,O,X,X,X
TJSILZO,O,O,O,X,X,X,O,X,X,X,X,X
TJSILOZ,O,X,O,X,X,X,X,X,X,O,X,X
TJSIZLO,X,O,O,X,X,X,O,X,O,X,X,X
TJSIZOL,X,O,O,X,X,X,O,X,O,X,X,O
TJSIOLZ,O,X,O,X,X,X,O,X,X,O,X,X
TJSIOZL,X,O,O,X,X,X,O,X,X,X,X,O
TJSLIZO,O,O,O,X,X,X,O,O,O,X,X,X
TJSLIOZ,O,X,O,X,X,X,X,O,X,X,X,X
TJSLZIO,O,O,O,X,X,X,O,O,O,X,X,X
TJSLZOI,O,O,O,X,X,X,O,O,O,X,X,X
TJSLOIZ,O,X,O,X,X,X,X,O,X,X,X,X
TJSLOZI,O,X,O,X,O,X,X,O,X,X,X,X
TJSZILO,X,O,O,X,X,X,O,X,O,X,O,X
TJSZIOL,O,O,O,X,X,X,O,X,O,X,O,O
TJSZLIO,O,O,X,X,X,X,O,X,O,X,O,X
TJSZLOI,O,O,X,X,X,X,O,X,O,X,O,X
TJSZOIL,O,O,X,X,X,X,O,X,O,X,O,O
TJSZOLI,O,O,X,X,X,X,O,X,O,X,O,X
TJSOILZ,O,O,O,X,X,X,O,X,X,O,X,X
TJSOIZL,X,O,O,X,X,X,O,X,X,X,X,O
TJSOLIZ,O,O,O,X,X,X,O,O,X,X,X,X
TJSOLZI,O,O,O,X,O,X,O,O,X,X,X,X
TJSOZIL,X,O,O,X,X,X,O,X,X,X,O,O
TJSOZLI,O,O,O,X,X,X,O,X,X,X,O,X
TJZILSO,O,O,O,X,O,X,X,X,O,X,X,X
TJZILOS,O,O,X,X,O,X,X,X,O,O,X,X
TJZISLO,X,O,O,X,X,X,O,X,O,X,X,X
TJZISOL,X,O,O,X,X,X,O,X,O,X,X,X
TJZIOLS,O,O,O,O,O,X,X,X,X,O,X,X
TJZIOSL,O,O,O,X,X,X,X,X,X,X,X,X
TJZLISO,O,O,O,X,O,O,X,X,O,X,X,X
TJZLIOS,O,O,O,X,O,O,X,X,O,X,X,X
TJZLSIO,O,O,O,X,O,O,O,X,O,X,X,X
TJZLSOI,O,O,O,X,O,O,O,X,O,X,X,X
TJZLOIS,O,X,O,X,O,O,X,X,O,X,X,X
TJZLOSI,O,O,O,X,O,O,X,X,O,X,X,X
TJZSILO,X,O,O,X,X,X,O,X,O,X,X,X
TJZSIOL,O,O,O,X,X,X,O,X,O,X,X,O
TJZSLIO,O,O,X,X,O,X,O,X,O,X,X,X
TJZSLOI,O,O,X,X,O,X,O,X,O,X,X,X
TJZSOIL,O,O,X,X,X,X,O,X,O,X,X,O
TJZSOLI,O,O,X,X,O,X,O,X,O,X,X,X
TJZOILS,O,O,O,O,O,X,X,X,O,O,X,X
TJZOISL,O,O,O,X,X,X,O,X,O,X,X,X
TJZOLIS,O,O,O,X,O,O,X,X,O,X,X,X
TJZOLSI,O,O,O,X,O,O,O,X,O,X,X,X
TJZOSIL,O,O,O,X,X,X,O,X,O,X,X,X
TJZOSLI,O,O,O,X,O,X,O,X,O,X,X,X
TJOILSZ,O,O,O,X,X,X,X,X,X,O,X,X
TJOILZS,O,O,O,X,O,X,X,X,X,O,X,X
TJOISLZ,O,O,O,X,X,X,O,X,X,O,X,X
TJOISZL,X,O,O,X,X,X,O,X,X,X,X,X
TJOIZLS,O,O,O,O,X,X,X,X,X,O,X,X
TJOIZSL,X,O,O,X,X,X,O,X,X,X,X,X
TJOLISZ,O,O,O,X,X,X,X,X,X,O,X,X
TJOLIZS,O,O,O,X,O,X,X,X,O,O,X,X
TJOLSIZ,O,O,O,X,X,X,O,O,O,X,X,X
TJOLSZI,O,O,O,X,O,X,O,O,O,X,X,X
TJOLZIS,O,O,O,X,O,O,X,X,O,X,X,X
TJOLZSI,O,O,O,X,O,O,O,X,O,X,X,X
TJOSILZ,O,O,O,X,X,X,O,X,X,O,X,X
TJOSIZL,X,O,O,X,X,X,O,X,O,X,X,X
TJOSLIZ,O,O,O,X,X,X,O,O,O,X,X,X
TJOSLZI,O,O,O,X,O,X,O,O,O,X,X,X
TJOSZIL,X,O,O,X,X,X,O,X,O,X,O,X
TJOSZLI,O,O,O,X,X,X,O,X,O,X,O,X
TJOZILS,O,O,O,X,O,X,X,X,O,O,X,X
TJOZISL,O,O,O,X,X,X,O,X,O,X,X,X
TJOZLIS,O,O,O,X,O,O,X,X,O,X,X,X
TJOZLSI,O,O,O,X,O,O,O,X,O,X,X,X
TJOZSIL,O,O,O,X,X,X,O,X,O,X,X,X
TJOZSLI,O,O,O,X,O,X,O,X,O,X,X,X
TSILJZO,O,O,O,X,X,X,O,O,X,X,X,X
TSILJOZ,O,X,O,X,X,X,X,O,X,X,X,X
TSILZJO,O,O,O,X,X,X,O,O,X,X,X,X
TSILZOJ,O,O,X,O,X,X,X,O,X,X,X,X
TSILOJZ,O,X,O,X,X,X,X,O,X,X,X,X
TSILOZJ,O,X,X,X,X,X,X,O,X,X,X,X
TSIJLZO,O,O,O,X,X,X,O,X,X,X,X,X
TSIJLOZ,O,X,O,X,X,X,X,X,X,O,X,X
TSIJZLO,X,O,O,X,X,X,O,X,O,X,X,X
TSIJZOL,X,O,O,O,X,X,O,X,O,X,X,O
TSIJOLZ,O,X,O,X,X,X,O,X,X,O,X,X
TSIJOZL,X,O,O,X,X,X,O,X,X,X,X,O
TSIZLJO,X,O,X,X,X,X,O,X,O,X,X,X
TSIZLOJ,X,O,X,O,X,X,X,X,O,X,X,X
TSIZJLO,X,O,O,X,X,X,O,X,O,X,X,X
TSIZJOL,X,O,O,O,X,X,O,X,O,X,X,O
TSIZOLJ,X,O,X,O,X,X,X,X,O,X,X,X
TSIZOJL,X,O,X,O,X,X,O,X,X,X,X,O
TSIOLJZ,X,X,O,X,X,X,O,O,X,X,X,X
TSIOLZJ,X,X,O,X,X,X,O,X,X,X,X,X
TSIOJLZ,O,X,O,X,X,X,O,X,X,O,X,X
TSIOJZL,X,O,O,X,X,X,O,X,X,X,X,O
TSIOZLJ,X,O,O,O,X,X,O,X,X,X,X,X
TSIOZJL,X,O,O,O,X,X,O,X,X,X,X,O
TSLIJZO,O,O,O,X,X,X,O,O,O,X,X,X
TSLIJOZ,O,X,O,X,X,X,X,O,X,X,X,X
TSLIZJO,O,O,O,X,X,X,O,O,O,X,X,X
TSLIZOJ,O,O,O,O,X,X,X,O,O,X,X,X
TSLIOJZ,O,X,O,X,X,X,X,O,X,X,X,X
TSLIOZJ,O,X,X,X,X,X,X,O,X,X,X,X
TSLJIZO,O,O,O,X,X,X,O,O,O,X,X,X
TSLJIOZ,O,X,O,X,X,X,X,O,X,X,X,X
