sequence,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Jei7IvhFWiBxdB?TjBUlBFmB3qB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Jex7IvhFyhBGeB?UjBFlBXmBTqB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Jex7IvhF8hBCeB?mgBTjBFlB3qB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Jex7IvhF8hBfjB?6jBemBFlBTqB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Jei7IvhFWiBxdB?UhBTjBFlB3qB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8JeX8IvhFxdBCiB?TjBFlB8qBOqB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Jex7IvhFyhBGeB?XgBUjBFmBTqB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Jem8IvhFSjBxgB?UjBFlBXmBTqB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Je2AJvhFRcBCeB?3hBTjB1qBUqB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Je2AJvhFCdBxiB?TjBUlBFmB3qB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Je/AJvhFRcBzdB?+jBlhBaqB8qB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Je2AJvhFCdBxiB?UhBTjBFlB3qB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8JeeAJvhFSjBRhB?fmBlhBUjBTqB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8JeSDJvhFVlBRhB?3hBUjBmlBTqB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Je1AJvhF8hBzdB?+jBRlBKqBXrB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Je2AJvhF8hBfjB?6jBRlBFmBTqB
TILOZSJ,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TIJLSZO,X,X,X,X,O,X,X,X,O,X,X,O,O,O,X,X
TIJLSOZ,X,X,X,X,O,X,X,X,O,X,O,O,O,X,X,X
TIJLZSO,O,X,O,X,O,X,X,X,O,O,X,O,O,O,X,X
TIJLZOS,O,X,O,X,O,X,X,X,O,O,X,O,X,X,O,X
TIJLOSZ,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X
TIJLOZS,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O,X
TIJSLZO,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,O
TIJSLOZ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X
TIJSZLO,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O
TIJSZOL,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X
TIJSOLZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJSOZL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TIJZLSO,O,X,O,O,O,X,X,X,O,O,X,O,X,X,X,X
TIJZLOS,O,X,O,X,O,X,X,X,O,O,X,O,X,X,O,X
TIJZSLO,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,O
TIJZSOL,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X
TIJZOLS,O,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X
TIJZOSL,O,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X
TIJOLSZ,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X
TIJOLZS,O,X,O,X,O,X,X,X,O,X,X,O,X,X,O,X
TIJOSLZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIJOSZL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TIJOZLS,O,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X
TIJOZSL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X
TISLJZO,X,O,X,O,X,X,X,O,O,X,X,O,X,O,X,O
TISLJOZ,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TISLZJO,X,O,X,X,X,X,X,O,O,O,X,O,X,O,X,X
TISLZOJ,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,O
TISLOJZ,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TISLOZJ,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X
TISJLZO,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,O
TISJLOZ,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TISJZLO,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,O
TISJZOL,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X
TISJOLZ,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TISJOZL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TISZLJO,X,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X
TISZLOJ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O
TISZJLO,X,O,X,X,X,X,X,O,O,O,X,O,X,X,X,O
TISZJOL,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TISZOLJ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TISZOJL,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TISOLJZ,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TISOLZJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TISOJLZ,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TISOJZL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TISOZLJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TISOZJL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIZLJSO,O,X,O,X,O,X,O,X,O,O,X,O,X,O,X,X
TIZLJOS,O,X,O,X,O,X,O,X,O,O,X,O,X,X,O,X
TIZLSJO,X,X,O,X,X,X,O,X,O,O,X,X,X,O,X,X
TIZLSOJ,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X
TIZLOJS,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X
TIZLOSJ,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X
TIZJLSO,O,X,O,X,O,X,O,X,O,O,X,O,X,X,X,X
TIZJLOS,O,X,O,X,O,X,O,X,O,O,X,O,X,X,O,X
TIZJSLO,O,O,O,X,O,X,X,X,O,O,O,X,X,X,X,O
TIZJSOL,X,O,O,X,X,X,X,X,O,X,O,X,X,X,O,X
TIZJOLS,O,X,O,X,O,X,X,X,O,O,X,X,X,X,O,X
TIZJOSL,O,X,O,X,O,X,X,X,O,X,O,X,X,X,O,X
TIZSLJO,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X
TIZSLOJ,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O
TIZSJLO,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,O
TIZSJOL,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X
TIZSOLJ,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TIZSOJL,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TIZOLJS,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
TIZOLSJ,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TIZOJLS,O,X,O,X,O,X,X,X,O,O,X,X,X,X,O,X
TIZOJSL,O,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X
TIZOSLJ,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TIZOSJL,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIOLJSZ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X
TIOLJZS,O,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X
TIOLSJZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIOLSZJ,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
TIOLZJS,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
TIOLZSJ,O,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X
TIOJLSZ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X
TIOJLZS,O,X,O,X,O,X,X,X,O,X,X,O,X,X,O,X
TIOJSLZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIOJSZL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TIOJZLS,O,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X
TIOJZSL,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X
TIOSLJZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIOSLZJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOSJLZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIOSJZL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOSZLJ,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIOSZJL,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIOZLJS,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
TIOZLSJ,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TIOZJLS,O,X,O,X,O,X,X,X,O,O,X,X,X,X,O,X
TIOZJSL,O,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X
TIOZSLJ,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TIOZSJL,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLIJSZO,X,X,X,X,O,X,X,X,O,X,X,O,O,O,X,X
TLIJSOZ,X,X,X,X,O,X,X,X,O,X,O,O,O,X,X,X
TLIJZSO,X,X,O,X,O,X,O,X,O,O,X,O,O,O,X,X
TLIJZOS,X,X,O,X,O,X,O,X,O,O,X,O,X,X,X,X
TLIJOSZ,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X
TLIJOZS,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X
TLISJZO,X,X,X,X,X,X,O,O,O,X,X,O,X,O,X,X
TLISJOZ,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X
TLISZJO,X,X,X,X,X,X,O,O,O,O,X,X,X,O,X,X
TLISZOJ,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
TLISOJZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLISOZJ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TLIZJSO,X,O,O,X,O,X,O,X,O,O,X,O,X,O,X,X
TLIZJOS,X,X,O,X,O,X,O,X,O,O,X,O,X,X,X,X
TLIZSJO,X,X,O,X,X,X,O,X,O,O,X,X,X,O,X,X
TLIZSOJ,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X
TLIZOJS,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X
TLIZOSJ,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X
TLIOJSZ,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLIOJZS,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLIOSJZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIOSZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLIOZJS,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TLIOZSJ,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TLJISZO,X,X,X,X,O,X,X,X,O,X,X,O,O,O,X,X
TLJISOZ,X,X,X,X,O,X,X,X,O,X,O,O,O,X,X,X
TLJIZSO,O,X,O,X,O,X,O,X,O,O,X,O,O,O,X,X
TLJIZOS,O,X,O,X,O,X,O,X,O,O,X,O,X,X,X,X
TLJIOSZ,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X
TLJIOZS,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X
TLJSIZO,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X,X
TLJSIOZ,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
TLJSZIO,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X
TLJSZOI,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X
TLJSOIZ,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
TLJSOZI,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TLJZISO,O,X,O,O,O,X,O,X,O,O,O,X,X,X,X,X
TLJZIOS,O,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X
TLJZSIO,O,X,O,O,O,X,O,X,O,O,O,X,X,X,X,X
TLJZSOI,O,X,X,O,O,X,O,X,O,X,O,X,X,X,X,X
TLJZOIS,O,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X
TLJZOSI,O,X,O,X,O,X,O,X,O,X,O,X,X,X,X,X
TLJOISZ,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
TLJOIZS,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TLJOSIZ,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
TLJOSZI,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TLJOZIS,O,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X
TLJOZSI,O,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X
TLSIJZO,X,O,O,O,X,X,O,O,O,X,X,X,X,O,X,X
TLSIJOZ,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X
TLSIZJO,X,O,O,X,X,X,O,O,O,O,X,X,X,O,X,X
TLSIZOJ,X,O,O,X,X,X,O,X,O,X,X,X,X,O,X,X
TLSIOJZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLSIOZJ,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X
TLSJIZO,X,O,O,O,O,X,O,O,O,X,X,X,X,X,X,X
TLSJIOZ,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
TLSJZIO,X,O,O,O,X,X,O,O,O,X,X,X,X,X,X,X
TLSJZOI,X,O,O,O,X,X,O,X,O,X,O,X,X,X,X,X
TLSJOIZ,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
TLSJOZI,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X
TLSZIJO,X,O,O,X,X,X,O,O,O,O,X,X,X,X,X,X
TLSZIOJ,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
TLSZJIO,X,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X
TLSZJOI,X,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X
TLSZOIJ,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X
TLSZOJI,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X
TLSOIJZ,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
TLSOIZJ,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLSOJIZ,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
TLSOJZI,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X
TLSOZIJ,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X
TLSOZJI,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X
TLZIJSO,O,O,O,X,O,X,O,X,O,O,O,X,X,O,X,X
TLZIJOS,O,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X
TLZISJO,X,X,O,X,X,X,O,X,O,O,O,X,X,O,X,X
TLZISOJ,X,X,O,X,X,O,O,X,O,X,O,X,X,O,X,X
TLZIOJS,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X
TLZIOSJ,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X
TLZJISO,O,O,O,X,O,X,O,X,O,O,O,X,X,X,X,X
TLZJIOS,O,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X
TLZJSIO,O,O,O,X,O,X,O,X,O,O,O,X,X,X,X,X
TLZJSOI,O,O,X,X,O,O,O,X,O,X,O,X,X,X,X,X
TLZJOIS,O,X,O,X,O,O,O,X,O,O,O,X,X,X,X,X
TLZJOSI,O,X,O,X,O,O,O,X,O,X,O,X,X,X,X,X
TLZSIJO,X,O,O,X,X,X,O,O,O,O,O,X,X,X,X,X
TLZSIOJ,X,O,O,X,X,O,O,X,O,X,O,X,X,X,X,X
TLZSJIO,O,O,O,X,O,X,O,O,O,O,O,X,X,X,X,X
TLZSJOI,O,O,O,X,O,O,O,X,O,X,O,X,X,X,X,X
TLZSOIJ,O,O,O,X,O,O,O,X,O,X,O,X,X,X,X,X
TLZSOJI,O,O,O,X,O,O,O,X,O,X,O,X,X,X,X,X
TLZOIJS,O,X,O,X,O,O,O,X,O,O,X,X,X,X,X,X
TLZOISJ,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X
TLZOJIS,O,X,O,X,O,O,O,X,O,O,O,X,X,X,X,X
TLZOJSI,O,X,O,X,O,O,O,X,O,X,O,X,X,X,X,X
TLZOSIJ,O,X,O,X,O,O,O,X,O,X,O,X,X,X,X,X
TLZOSJI,O,X,O,X,O,O,O,X,O,X,O,X,X,X,X,X
TLOIJSZ,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X
TLOIJZS,O,X,O,X,O,X,O,X,O,X,X,X,O,O,X,X
TLOISJZ,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X
TLOISZJ,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
TLOIZJS,O,X,O,X,O,O,O,X,O,O,X,X,X,O,X,X
TLOIZSJ,O,X,O,X,O,O,O,X,O,X,X,X,X,O,X,X
TLOJISZ,X,X,X,X,O,X,X,X,O,X,O,X,O,O,X,X
TLOJIZS,O,X,O,X,O,X,O,X,O,X,X,X,O,O,X,X
TLOJSIZ,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
TLOJSZI,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TLOJZIS,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
TLOJZSI,O,X,O,X,O,X,O,X,O,X,O,X,X,X,X,X
TLOSIJZ,X,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X
TLOSIZJ,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
TLOSJIZ,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
TLOSJZI,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TLOSZIJ,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
TLOSZJI,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
TLOZIJS,O,X,O,X,O,O,O,X,O,O,X,X,X,O,X,X
TLOZISJ,O,X,O,X,O,O,O,X,O,X,X,X,X,O,X,X
TLOZJIS,O,X,O,X,O,O,O,X,O,O,X,X,X,X,X,X
TLOZJSI,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X
TLOZSIJ,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X
TLOZSJI,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X
TJILSZO,X,X,X,X,O,X,X,X,O,X,X,O,O,O,X,X
TJILSOZ,X,X,X,X,O,X,X,X,O,X,O,O,O,X,X,X
TJILZSO,O,X,O,X,O,X,X,X,O,O,X,O,O,O,X,X
TJILZOS,O,X,O,X,O,X,X,X,O,O,X,O,X,X,O,X
TJILOSZ,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X
TJILOZS,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O,X
TJISLZO,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X
TJISLOZ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X
TJISZLO,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TJISZOL,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X
TJISOLZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TJISOZL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TJIZLSO,O,X,O,O,O,X,X,X,O,O,X,O,X,X,X,X
TJIZLOS,O,X,O,X,O,X,X,X,O,O,X,O,X,X,O,X
TJIZSLO,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X
TJIZSOL,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X
TJIZOLS,O,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X
TJIZOSL,O,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X
TJIOLSZ,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X
TJIOLZS,O,X,O,X,O,X,X,X,O,X,X,O,X,X,O,X
TJIOSLZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TJIOSZL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TJIOZLS,O,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X
TJIOZSL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X
TJLISZO,X,X,X,X,O,X,X,X,O,X,X,O,O,O,X,X
TJLISOZ,X,X,X,X,O,X,X,X,O,X,O,O,O,X,X,X
TJLIZSO,O,X,O,X,O,X,O,X,O,O,X,O,O,O,X,X
TJLIZOS,O,X,O,X,O,X,O,X,O,O,X,O,X,X,X,X
TJLIOSZ,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X
TJLIOZS,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X
TJLSIZO,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X,X
TJLSIOZ,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
TJLSZIO,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X
TJLSZOI,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X
TJLSOIZ,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
TJLSOZI,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TJLZISO,O,X,O,O,O,X,O,X,O,O,O,X,X,X,X,X
TJLZIOS,O,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X
TJLZSIO,O,X,O,O,O,X,O,X,O,O,O,X,X,X,X,X
TJLZSOI,O,X,X,O,O,X,O,X,O,X,O,X,X,X,X,X
TJLZOIS,O,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X
TJLZOSI,O,X,O,X,O,X,O,X,O,X,O,X,X,X,X,X
TJLOISZ,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
TJLOIZS,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TJLOSIZ,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
TJLOSZI,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TJLOZIS,O,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X
TJLOZSI,O,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X
TJSILZO,X,X,X,O,O,X,X,O,O,X,X,O,X,X,X,X
TJSILOZ,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X
TJSIZLO,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TJSIZOL,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TJSIOLZ,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
TJSIOZL,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TJSLIZO,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TJSLIOZ,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
TJSLZIO,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X
TJSLZOI,X,O,X,O,O,X,X,X,O,X,O,X,X,X,X,X
TJSLOIZ,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
TJSLOZI,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X
TJSZILO,O,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X
