sequence,v115@zgB8HeC8GeB8HeB8DeH8AeE8Jex7IvhFOiBXeBclBT?hBSoBFrB,v115@zgB8HeC8GeB8HeB8DeH8AeE8Jex7IvhFXdB6jBclB2?mBziBFrB,v115@zgB8HeC8GeB8HeB8DeH8AeE8Jex7IvhFidB+jBclBT?hB3iBFrB,v115@zgB8HeC8GeB8HeB8DeH8AeE8Je07IvhFxcBzhBGjBX?jBilBFrB,v115@zgB8HeC8GeB8HeB8DeH8AeE8Jel7IvhFfjB6jBZmBu?rBUnBTqB,v115@zgB8HeC8GeB8HeB8DeH8AeE8Jem7IvhFzcBfjB6jBc?lBxmBFrB,v115@zgB8HeC8GeB8HeB8DeH8AeE8Jex7IvhFTeBclBihBW?oBXiBFrB,v115@zgB8HeC8GeB8HeB8DeH8AeE8Jem7IvhFSiBTeBclB3?hBxnBFrB,v115@zgB8HeC8GeB8HeB8DeH8AeE8Jez8IvhFGeB3gBUjBx?mBilBFrB,v115@zgB8HeC8GeB8HeB8DeH8AeE8Je07IvhFlcBXiBTjBC?jBxqBmqB
TISZLJO,X,X,X,X,O,O,X,O,O,X
TISZLOJ,X,X,X,X,X,O,X,O,O,O
TISZJLO,X,X,X,X,O,O,X,O,O,X
TISZJOL,X,X,X,X,X,O,X,O,O,O
TISZOLJ,X,X,X,X,X,O,X,O,O,O
TISZOJL,X,X,X,X,X,O,X,O,O,O
TISOLJZ,X,X,X,X,O,O,X,X,X,X
TISOLZJ,X,X,X,X,O,O,X,O,O,O
TISOJLZ,X,X,X,X,O,O,X,X,X,O
TISOJZL,X,X,X,X,O,O,X,X,O,O
TISOZLJ,X,X,X,X,O,O,X,O,O,O
TISOZJL,X,X,X,X,O,O,X,O,O,O
TIZLJSO,O,O,O,X,O,O,O,O,O,X
TIZLJOS,O,O,O,O,X,O,O,O,O,X
TIZLSJO,O,O,X,X,O,O,O,O,O,X
TIZLSOJ,O,O,X,O,X,O,X,O,O,O
TIZLOJS,O,O,O,O,X,O,O,O,O,X
TIZLOSJ,O,O,X,O,X,O,X,O,O,X
TIZJLSO,O,O,O,X,O,O,O,O,O,X
TIZJLOS,O,O,O,O,X,O,O,O,O,X
TIZJSLO,O,O,O,X,O,O,O,O,O,X
TIZJSOL,X,O,O,X,X,O,O,O,O,O
TIZJOLS,O,O,O,O,X,O,O,O,O,X
TIZJOSL,O,O,O,O,X,O,O,O,O,X
TIZSLJO,O,O,X,X,O,O,O,O,O,X
TIZSLOJ,O,O,X,O,X,O,X,O,O,O
TIZSJLO,O,O,O,X,O,O,O,O,O,X
TIZSJOL,X,O,O,X,X,O,O,O,O,O
TIZSOLJ,O,O,X,X,X,O,X,O,O,O
TIZSOJL,O,O,O,O,X,O,X,O,O,O
TIZOLJS,O,O,O,O,X,O,O,O,O,X
TIZOLSJ,O,O,X,O,X,O,X,O,O,X
TIZOJLS,O,O,O,O,X,O,O,O,O,X
TIZOJSL,O,O,O,O,X,O,O,O,O,X
TIZOSLJ,O,O,X,X,X,O,X,O,O,O
TIZOSJL,O,O,O,O,X,O,X,O,O,O
TIOLJSZ,O,O,X,O,O,X,X,X,X,X
TIOLJZS,O,O,X,O,O,X,X,O,X,X
TIOLSJZ,O,O,X,O,O,O,X,X,X,X
TIOLSZJ,O,O,X,O,O,O,X,O,O,X
TIOLZJS,O,O,X,O,O,O,X,O,O,X
TIOLZSJ,O,O,X,O,O,O,X,O,O,X
TIOJLSZ,O,O,X,O,O,X,X,X,X,X
TIOJLZS,O,O,X,O,O,X,X,O,X,X
TIOJSLZ,X,O,O,X,O,O,X,X,X,X
TIOJSZL,X,O,O,O,O,O,X,X,O,X
TIOJZLS,O,O,O,O,O,O,X,O,O,X
TIOJZSL,O,O,O,O,O,O,X,O,O,X
TIOSLJZ,X,O,X,X,O,O,X,X,X,X
TIOSLZJ,X,O,X,X,O,O,X,O,O,O
TIOSJLZ,X,O,X,X,O,O,X,X,X,O
TIOSJZL,X,O,X,O,O,O,X,X,O,O
TIOSZLJ,X,O,X,X,O,O,X,O,O,O
TIOSZJL,X,O,X,O,O,O,X,O,O,O
TIOZLJS,O,O,O,O,O,O,X,O,O,X
TIOZLSJ,O,O,X,X,O,O,X,O,O,X
TIOZJLS,O,O,O,O,O,O,X,O,O,X
TIOZJSL,O,O,O,O,O,O,X,O,O,X
TIOZSLJ,O,O,X,X,O,O,X,O,O,O
TIOZSJL,O,O,O,O,O,O,X,O,O,O
TLIJSZO,O,O,X,X,O,X,X,X,X,X
TLIJSOZ,O,X,X,X,O,X,X,X,X,X
TLIJZSO,O,O,X,X,O,X,O,O,X,X
TLIJZOS,O,O,X,O,X,X,O,O,X,X
TLIJOSZ,O,X,X,O,O,X,X,X,X,X
TLIJOZS,O,X,X,O,X,X,O,O,X,X
TLISJZO,O,X,X,X,O,O,X,X,X,X
TLISJOZ,O,X,X,X,O,O,X,X,X,X
TLISZJO,O,X,X,X,O,O,X,O,O,X
TLISZOJ,O,X,X,X,X,O,X,O,O,X
TLISOJZ,O,X,X,X,O,O,X,X,X,X
TLISOZJ,O,X,X,X,O,O,X,O,O,X
TLIZJSO,O,O,X,X,O,O,O,O,O,X
TLIZJOS,O,O,X,O,X,O,O,O,O,X
TLIZSJO,O,O,X,X,O,O,O,O,O,X
TLIZSOJ,O,O,X,O,X,O,X,O,O,X
TLIZOJS,O,O,X,O,X,O,O,O,O,X
TLIZOSJ,O,O,X,O,X,O,X,O,O,X
TLIOJSZ,O,O,X,O,O,X,X,X,X,X
TLIOJZS,O,O,X,O,O,X,X,O,X,X
TLIOSJZ,O,O,X,O,O,O,X,X,X,X
TLIOSZJ,O,O,X,O,O,O,X,O,O,X
TLIOZJS,O,O,X,O,O,O,X,O,O,X
TLIOZSJ,O,O,X,O,O,O,X,O,O,X
TLJISZO,O,O,X,X,O,X,X,X,X,X
TLJISOZ,O,X,X,X,O,X,X,X,X,X
TLJIZSO,O,O,X,X,O,X,O,X,X,X
TLJIZOS,O,O,X,O,X,X,O,X,X,X
TLJIOSZ,O,X,X,O,O,X,X,X,X,X
TLJIOZS,O,X,X,O,X,X,O,X,X,X
TLJSIZO,O,O,O,X,O,O,X,X,X,X
TLJSIOZ,O,X,O,X,O,O,X,X,X,X
TLJSZIO,O,O,O,X,X,O,O,X,X,X
TLJSZOI,O,O,O,O,X,X,O,X,X,X
TLJSOIZ,O,O,O,O,O,X,X,X,X,X
TLJSOZI,O,O,O,O,X,X,O,X,X,X
TLJZISO,O,O,O,X,X,X,O,X,X,X
TLJZIOS,O,O,O,O,X,X,O,X,X,X
TLJZSIO,O,O,O,X,X,O,O,X,X,X
TLJZSOI,O,O,O,O,X,X,O,X,X,X
TLJZOIS,O,O,O,O,X,X,O,X,X,X
TLJZOSI,O,O,O,O,X,X,O,X,X,X
TLJOISZ,O,O,X,O,O,X,X,X,X,X
TLJOIZS,O,O,X,O,O,X,O,X,X,X
TLJOSIZ,O,O,O,O,O,X,X,X,X,X
TLJOSZI,O,O,O,O,X,X,O,X,X,X
TLJOZIS,O,O,O,O,X,X,O,X,X,X
TLJOZSI,O,O,O,O,X,X,O,X,X,X
TLSIJZO,O,X,X,X,O,O,X,X,X,X
TLSIJOZ,O,X,X,X,O,O,X,X,X,X
TLSIZJO,O,X,X,X,O,O,X,X,O,X
TLSIZOJ,O,X,X,X,X,O,X,X,O,X
TLSIOJZ,O,X,X,X,O,O,X,X,X,X
TLSIOZJ,O,X,X,X,O,O,X,X,O,X
TLSJIZO,O,O,X,X,O,O,X,X,X,X
TLSJIOZ,O,X,X,X,O,O,X,X,X,X
TLSJZIO,O,O,X,X,X,O,O,X,X,X
TLSJZOI,O,O,X,O,X,X,O,X,X,X
TLSJOIZ,O,X,X,O,O,X,X,X,X,X
TLSJOZI,O,O,X,O,X,X,O,X,X,X
TLSZIJO,O,O,X,X,O,O,O,X,X,X
TLSZIOJ,O,O,X,O,X,O,X,X,X,X
TLSZJIO,O,O,X,X,X,O,O,X,X,X
TLSZJOI,O,O,X,O,X,X,O,X,X,X
TLSZOIJ,O,O,X,O,O,X,X,X,X,X
TLSZOJI,O,O,X,O,X,X,X,X,X,X
TLSOIJZ,O,O,X,O,O,O,X,X,X,X
TLSOIZJ,O,O,X,O,O,O,X,X,X,X
TLSOJIZ,O,O,X,O,O,X,X,X,X,X
TLSOJZI,O,O,X,O,X,X,X,X,X,X
TLSOZIJ,O,O,X,O,O,X,X,X,X,X
TLSOZJI,O,O,X,O,X,X,X,X,X,X
TLZIJSO,O,O,O,X,O,O,O,O,O,X
TLZIJOS,O,O,O,O,X,O,O,O,O,X
TLZISJO,O,O,X,X,O,O,O,O,O,X
TLZISOJ,O,O,X,O,X,O,X,O,O,X
TLZIOJS,O,O,O,O,X,O,O,O,O,X
TLZIOSJ,O,O,X,O,X,O,X,O,O,X
TLZJISO,O,O,O,X,X,O,O,O,O,X
TLZJIOS,O,O,O,O,X,O,O,O,O,X
TLZJSIO,O,O,O,X,X,O,O,X,X,X
TLZJSOI,O,O,O,O,X,X,O,X,X,X
TLZJOIS,O,O,O,O,X,X,O,X,X,X
TLZJOSI,O,O,O,O,X,X,O,X,X,X
TLZSIJO,O,O,X,X,O,O,O,X,X,X
TLZSIOJ,O,O,X,O,X,O,X,X,X,X
TLZSJIO,O,O,X,X,X,O,O,X,X,X
TLZSJOI,O,O,X,O,X,X,O,X,X,X
TLZSOIJ,O,O,X,O,O,X,X,X,X,X
TLZSOJI,O,O,X,O,X,X,X,X,X,X
TLZOIJS,O,O,O,O,O,X,O,X,X,X
TLZOISJ,O,O,X,O,O,X,X,X,X,X
TLZOJIS,O,O,O,O,X,X,O,X,X,X
TLZOJSI,O,O,O,O,X,X,O,X,X,X
TLZOSIJ,O,O,X,O,O,X,X,X,X,X
TLZOSJI,O,O,X,O,X,X,X,X,X,X
TLOIJSZ,O,O,X,O,O,X,X,X,X,X
TLOIJZS,O,O,X,O,O,X,X,X,X,X
TLOISJZ,O,O,X,O,O,X,X,X,X,X
TLOISZJ,O,O,X,O,O,X,X,X,X,X
TLOIZJS,O,O,X,O,O,X,X,X,X,X
TLOIZSJ,O,O,X,O,O,X,X,X,X,X
TLOJISZ,O,O,X,O,O,X,X,X,X,X
TLOJIZS,O,O,X,O,O,X,O,X,X,X
TLOJSIZ,O,O,O,O,O,X,X,X,X,X
TLOJSZI,O,O,O,O,X,X,O,X,X,X
TLOJZIS,O,O,O,O,X,X,O,X,X,X
TLOJZSI,O,O,O,O,X,X,O,X,X,X
TLOSIJZ,O,O,X,O,O,O,X,X,X,X
TLOSIZJ,O,O,X,O,O,O,X,X,X,X
TLOSJIZ,O,O,X,O,O,X,X,X,X,X
TLOSJZI,O,O,X,O,X,X,X,X,X,X
TLOSZIJ,O,O,X,O,O,X,X,X,X,X
TLOSZJI,O,O,X,O,X,X,X,X,X,X
TLOZIJS,O,O,O,O,O,X,O,X,X,X
TLOZISJ,O,O,X,O,O,X,X,X,X,X
TLOZJIS,O,O,O,O,X,X,O,X,X,X
TLOZJSI,O,O,O,O,X,X,O,X,X,X
TLOZSIJ,O,O,X,O,O,X,X,X,X,X
TLOZSJI,O,O,X,O,X,X,X,X,X,X
TJILSZO,O,O,X,X,O,X,X,X,X,X
TJILSOZ,O,X,X,X,O,X,X,X,X,X
TJILZSO,O,O,X,X,O,X,O,O,X,X
TJILZOS,O,O,X,O,X,X,O,O,X,X
TJILOSZ,O,X,X,O,O,X,X,X,X,X
TJILOZS,O,X,X,O,X,X,O,O,X,X
TJISLZO,X,O,O,X,O,O,X,X,X,X
TJISLOZ,X,X,O,X,O,O,X,X,X,X
TJISZLO,X,O,O,X,O,O,X,X,O,X
TJISZOL,X,O,O,X,X,O,X,X,O,X
TJISOLZ,X,O,O,X,O,O,X,X,X,X
TJISOZL,X,O,O,X,X,O,X,X,O,X
TJIZLSO,O,O,O,X,O,O,O,O,O,X
TJIZLOS,O,O,O,O,X,O,O,O,O,X
TJIZSLO,O,O,O,X,O,O,O,O,O,X
TJIZSOL,X,O,O,X,X,O,O,O,O,X
TJIZOLS,O,O,O,O,X,O,O,O,O,X
TJIZOSL,O,O,O,O,X,O,O,O,O,X
TJIOLSZ,O,O,X,O,O,X,X,X,X,X
TJIOLZS,O,O,X,O,X,X,O,O,X,X
TJIOSLZ,X,O,O,X,O,O,X,X,X,X
TJIOSZL,X,O,O,O,X,O,X,X,O,X
TJIOZLS,O,O,O,O,X,O,O,O,O,X
TJIOZSL,O,O,O,O,X,O,O,O,O,X
TJLISZO,O,O,X,X,O,X,X,X,X,X
TJLISOZ,O,X,X,X,O,X,X,X,X,X
TJLIZSO,O,O,X,X,O,X,O,X,X,X
TJLIZOS,O,O,X,O,X,X,O,X,X,X
TJLIOSZ,O,X,X,O,O,X,X,X,X,X
TJLIOZS,O,X,X,O,X,X,O,X,X,X
TJLSIZO,O,O,O,X,O,O,X,X,X,X
TJLSIOZ,O,X,O,X,O,O,X,X,X,X
TJLSZIO,O,O,O,X,X,O,O,X,X,X
TJLSZOI,O,O,O,O,X,X,O,X,X,X
TJLSOIZ,O,O,O,O,O,X,X,X,X,X
TJLSOZI,O,O,O,O,X,X,O,X,X,X
TJLZISO,O,O,O,X,X,X,O,X,X,X
TJLZIOS,O,O,O,O,X,X,O,X,X,X
TJLZSIO,O,O,O,X,X,O,O,X,X,X
TJLZSOI,O,O,O,O,X,X,O,X,X,X
TJLZOIS,O,O,O,O,X,X,O,X,X,X
TJLZOSI,O,O,O,O,X,X,O,X,X,X
TJLOISZ,O,O,X,O,O,X,X,X,X,X
TJLOIZS,O,O,X,O,O,X,O,X,X,X
TJLOSIZ,O,O,O,O,O,X,X,X,X,X
TJLOSZI,O,O,O,O,X,X,O,X,X,X
TJLOZIS,O,O,O,O,X,X,O,X,X,X
TJLOZSI,O,O,O,O,X,X,O,X,X,X
TJSILZO,X,O,O,X,O,O,X,X,X,X
TJSILOZ,X,X,O,X,O,O,X,X,X,X
TJSIZLO,X,O,O,X,O,O,X,X,O,X
TJSIZOL,X,O,O,X,X,O,X,X,O,X
TJSIOLZ,X,O,O,X,O,O,X,X,X,X
TJSIOZL,X,O,O,X,X,O,X,X,O,X
TJSLIZO,O,O,O,X,O,O,X,X,X,X
TJSLIOZ,O,X,O,X,O,O,X,X,X,X
TJSLZIO,O,O,O,X,X,O,O,X,X,X
TJSLZOI,O,O,O,O,X,X,O,X,X,X
TJSLOIZ,O,O,O,O,O,X,X,X,X,X
TJSLOZI,O,O,O,O,X,X,O,X,X,X
TJSZILO,O,O,O,X,X,O,O,X,X,X
TJSZIOL,X,O,O,X,X,O,O,X,X,X
TJSZLIO,O,O,O,X,X,O,O,X,X,X
TJSZLOI,O,O,O,O,X,X,O,X,X,X
TJSZOIL,O,O,O,O,X,X,O,X,X,X
TJSZOLI,O,O,O,O,X,X,O,X,X,X
TJSOILZ,X,O,O,X,O,X,X,X,X,X
TJSOIZL,X,O,O,O,O,X,X,X,X,X
TJSOLIZ,O,O,O,O,O,X,X,X,X,X
TJSOLZI,O,O,O,O,X,X,O,X,X,X
TJSOZIL,O,O,O,O,X,X,O,X,X,X
TJSOZLI,O,O,O,O,X,X,O,X,X,X
TJZILSO,O,O,O,X,X,O,O,O,O,X
TJZILOS,O,O,O,O,X,O,O,O,O,X
TJZISLO,O,O,O,X,X,O,O,O,O,X
TJZISOL,X,O,O,X,X,O,O,O,O,X
TJZIOLS,O,O,O,O,X,O,O,O,O,X
TJZIOSL,O,O,O,O,X,O,O,O,O,X
TJZLISO,O,O,O,X,X,O,O,O,O,X
TJZLIOS,O,O,O,O,X,O,O,O,O,X
TJZLSIO,O,O,O,X,X,O,O,X,X,X
TJZLSOI,O,O,O,O,X,X,O,X,X,X
TJZLOIS,O,O,O,O,X,X,O,X,X,X
TJZLOSI,O,O,O,O,X,X,O,X,X,X
TJZSILO,O,O,O,X,X,O,O,O,O,X
TJZSIOL,X,O,O,X,X,O,O,O,O,X
TJZSLIO,O,O,O,X,X,O,O,X,X,X
TJZSLOI,O,O,O,O,X,X,O,X,X,X
TJZSOIL,O,O,O,O,X,X,O,X,X,X
TJZSOLI,O,O,O,O,X,X,O,X,X,X
TJZOILS,O,O,O,O,X,O,O,O,O,X
TJZOISL,O,O,O,O,X,O,O,O,O,X
TJZOLIS,O,O,O,O,X,X,O,X,X,X
TJZOLSI,O,O,O,O,X,X,O,X,X,X
TJZOSIL,O,O,O,O,X,X,O,X,X,X
TJZOSLI,O,O,O,O,X,X,O,X,X,X
TJOILSZ,O,O,X,O,O,X,X,X,X,X
TJOILZS,O,O,X,O,O,X,O,X,X,X
TJOISLZ,X,O,O,X,O,X,X,X,X,X
TJOISZL,X,O,O,O,O,X,X,X,X,X
TJOIZLS,O,O,O,O,O,X,O,X,X,X
TJOIZSL,O,O,O,O,O,X,O,X,X,X
TJOLISZ,O,O,X,O,O,X,X,X,X,X
TJOLIZS,O,O,X,O,O,X,O,X,X,X
TJOLSIZ,O,O,O,O,O,X,X,X,X,X
TJOLSZI,O,O,O,O,X,X,O,X,X,X
TJOLZIS,O,O,O,O,X,X,O,X,X,X
TJOLZSI,O,O,O,O,X,X,O,X,X,X
TJOSILZ,X,O,O,X,O,X,X,X,X,X
TJOSIZL,X,O,O,O,O,X,X,X,X,X
TJOSLIZ,O,O,O,O,O,X,X,X,X,X
TJOSLZI,O,O,O,O,X,X,O,X,X,X
TJOSZIL,O,O,O,O,X,X,O,X,X,X
TJOSZLI,O,O,O,O,X,X,O,X,X,X
TJOZILS,O,O,O,O,X,X,O,X,X,X
TJOZISL,O,O,O,O,X,X,O,X,X,X
TJOZLIS,O,O,O,O,X,X,O,X,X,X
TJOZLSI,O,O,O,O,X,X,O,X,X,X
TJOZSIL,O,O,O,O,X,X,O,X,X,X
TJOZSLI,O,O,O,O,X,X,O,X,X,X
TSILJZO,X,X,X,X,O,O,X,X,X,X
TSILJOZ,X,X,X,X,O,O,X,X,X,X
TSILZJO,X,X,X,X,O,O,X,O,O,X
TSILZOJ,X,X,X,X,X,O,X,O,O,O
TSILOJZ,X,X,X,X,O,O,X,X,X,X
TSILOZJ,X,X,X,X,O,O,X,O,O,O
TSIJLZO,X,X,X,X,O,O,X,X,X,O
TSIJLOZ,X,X,X,X,O,O,X,X,X,O
TSIJZLO,X,X,X,X,O,O,X,X,O,O
TSIJZOL,X,X,X,X,X,O,X,X,O,O
TSIJOLZ,X,X,X,X,O,O,X,X,X,O
TSIJOZL,X,X,X,X,X,O,X,X,O,O
TSIZLJO,X,X,X,X,O,O,X,O,O,X
TSIZLOJ,X,X,X,X,X,O,X,O,O,O
TSIZJLO,X,X,X,X,O,O,X,O,O,X
TSIZJOL,X,X,X,X,X,O,X,O,O,O
TSIZOLJ,X,X,X,X,X,O,X,O,O,O
TSIZOJL,X,X,X,X,X,O,X,O,O,O
TSIOLJZ,X,X,X,X,O,O,X,X,X,X
TSIOLZJ,X,X,X,X,O,O,X,O,O,O
TSIOJLZ,X,X,X,X,O,O,X,X,X,O
TSIOJZL,X,X,X,X,O,O,X,X,O,O
TSIOZLJ,X,X,X,X,O,O,X,O,O,O
TSIOZJL,X,X,X,X,O,O,X,O,O,O
TSLIJZO,O,X,X,X,O,O,X,X,X,X
TSLIJOZ,O,X,X,X,O,O,X,X,X,X
TSLIZJO,O,X,X,X,O,O,X,X,O,X
TSLIZOJ,O,X,X,X,X,O,X,X,O,X
TSLIOJZ,O,X,X,X,O,O,X,X,X,X
TSLIOZJ,O,X,X,X,O,O,X,X,O,X
TSLJIZO,O,O,X,X,O,O,X,X,X,X
TSLJIOZ,O,X,X,X,O,O,X,X,X,X
TSLJZIO,O,O,X,X,X,O,O,X,X,X
TSLJZOI,O,O,X,O,X,X,O,X,X,X
TSLJOIZ,O,X,X,O,O,X,X,X,X,X
TSLJOZI,O,O,X,O,X,X,O,X,X,X
TSLZIJO,O,O,X,X,O,O,O,X,X,X
TSLZIOJ,O,O,X,O,X,O,X,X,X,X
TSLZJIO,O,O,X,X,X,O,O,X,X,X
TSLZJOI,O,O,X,O,X,X,O,X,X,X
TSLZOIJ,O,O,X,O,O,X,X,X,X,O
TSLZOJI,O,O,X,O,X,X,X,X,X,O
TSLOIJZ,O,O,X,O,O,O,X,X,X,X
TSLOIZJ,O,O,X,O,O,O,X,X,X,X
TSLOJIZ,O,O,X,O,O,X,X,X,X,X
TSLOJZI,O,O,X,O,X,X,X,X,X,X
TSLOZIJ,O,O,X,O,O,X,X,X,X,O
TSLOZJI,O,O,X,O,X,X,X,X,X,O
TSJILZO,X,O,O,X,O,O,X,X,X,X
TSJILOZ,X,X,O,X,O,O,X,X,X,X
TSJIZLO,X,O,O,X,O,O,X,X,O,X
TSJIZOL,X,O,O,X,X,O,X,X,O,X
TSJIOLZ,X,O,O,X,O,O,X,X,X,X
TSJIOZL,X,O,O,X,X,O,X,X,O,X
TSJLIZO,O,O,O,X,O,O,X,X,X,X
TSJLIOZ,O,X,O,X,O,O,X,X,X,X
TSJLZIO,O,O,O,X,X,O,O,X,X,X
TSJLZOI,O,O,O,O,X,X,O,X,X,X
TSJLOIZ,O,O,O,O,O,X,X,X,X,X
TSJLOZI,O,O,O,O,X,X,O,X,X,X
TSJZILO,O,O,O,X,X,O,O,X,X,X
TSJZIOL,X,O,O,X,X,O,O,X,X,X
TSJZLIO,O,O,O,X,X,O,O,X,X,X
TSJZLOI,O,O,O,O,X,X,O,X,X,X
TSJZOIL,O,O,O,O,X,X,O,X,X,X
TSJZOLI,O,O,O,O,X,X,O,X,X,O
TSJOILZ,X,O,O,X,O,X,X,X,X,X
TSJOIZL,X,O,O,O,O,X,X,X,X,X
TSJOLIZ,O,O,O,O,O,X,X,X,X,X
TSJOLZI,O,O,O,O,X,X,O,X,X,X
TSJOZIL,O,O,O,O,X,X,O,X,X,X
TSJOZLI,O,O,O,O,X,X,O,X,X,O
TSZILJO,O,O,X,X,O,O,O,O,O,X
TSZILOJ,O,O,X,O,X,O,X,O,O,X
TSZIJLO,O,O,O,X,O,O,O,O,O,X
TSZIJOL,X,O,O,X,X,O,O,O,O,X
TSZIOLJ,O,O,X,X,X,O,X,O,O,O
TSZIOJL,O,O,O,O,X,O,X,O,O,X
TSZLIJO,O,O,X,X,O,O,O,X,X,X
TSZLIOJ,O,O,X,O,X,O,X,X,X,X
TSZLJIO,O,O,X,X,X,O,O,X,X,X
TSZLJOI,O,O,X,O,X,X,O,X,X,X
TSZLOIJ,O,O,X,O,O,X,X,X,X,O
TSZLOJI,O,O,X,O,X,X,X,X,X,O
TSZJILO,O,O,O,X,X,O,O,O,O,X
TSZJIOL,X,O,O,X,X,O,O,O,O,X
TSZJLIO,O,O,O,X,X,O,O,X,X,X
TSZJLOI,O,O,O,O,X,X,O,X,X,X
TSZJOIL,O,O,O,O,X,X,O,X,X,X
TSZJOLI,O,O,O,O,X,X,O,X,X,O
TSZOILJ,O,O,X,X,O,X,X,X,X,O
TSZOIJL,O,O,O,O,O,X,X,X,X,X
TSZOLIJ,O,O,X,X,O,X,X,X,X,O
TSZOLJI,O,O,X,X,X,X,X,X,X,O
TSZOJIL,O,O,O,O,X,X,X,X,X,X
TSZOJLI,O,O,O,O,X,X,X,X,X,O
TSOILJZ,X,O,X,X,O,O,X,X,X,X
TSOILZJ,X,O,X,X,O,O,X,X,O,O
TSOIJLZ,X,O,X,X,O,O,X,X,X,O
