sequence,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JeG8IvhFldBTgB?/mBZnB8nByvB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8Jez7IvhFRdB2lB?FiB8nBfsByvB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8Je37IvhFUdBajB?xrBOrBTqBFsB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JeR8IvhFajB3gB?FiBTmBcsB2vB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JeqBJvhFmdBTgB?ZmB0iBFsB3qB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JecAJvhFmcBzdB?XhBRnByvBFsB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8Je37IvhFzcBajB?VmBxrBcsB2vB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JeU9IvhFajBTgB?ZmBWnBFsB3qB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8Je37IvhFqhBmdB?ZmB0iBFsBTqB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JeG8IvhFzdBcrB?3nBZnBiqBlqB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8Je37IvhFUdBajB?ZmBWnBFsBTqB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JeR8IvhFzdB3hB?lnBmrB0qBiqB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JeyBJvhFzdBxlB?lnBmrBcqBXrB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JeF8IvhFzdB+mB?3nBZnBiqB0qB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8Jez7IvhF2lBRiB?FiB8nBfsByvB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JeaDJvhFTgBxhB?UiBOrBFsB3qB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JeyBJvhFzdBmlB?RnBFsBcqBXrB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8Je2FJvhFRhBziB?asBcrBlnB3qB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8Je37IvhFajBxhB?UiBOrBFsBTqB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JeR8IvhFejBTgB?/mBFiBcsByvB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JeU9IvhFajBTgB?xrBOrBFsB3qB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JeR8IvhFajB2lB?crBTnB3qBFsB
TIJLSZO,X,X,O,X,X,X,O,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X
TIJLSOZ,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X
TIJLZSO,X,X,O,X,X,O,O,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X
TIJLZOS,X,X,O,X,X,O,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TIJLOSZ,X,X,O,X,X,X,O,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X
TIJLOZS,X,X,O,X,X,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TIJSLZO,X,X,O,X,X,X,O,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X
TIJSLOZ,X,X,O,X,X,X,O,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TIJSZLO,X,X,O,X,X,X,O,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TIJSZOL,X,X,O,X,X,X,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TIJSOLZ,X,X,O,X,X,X,O,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TIJSOZL,X,X,O,X,X,X,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TIJZLSO,X,X,O,X,X,X,O,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X
TIJZLOS,X,X,O,X,X,O,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TIJZSLO,X,X,O,X,X,X,O,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X
TIJZSOL,X,X,O,X,X,O,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TIJZOLS,X,X,O,X,X,O,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TIJZOSL,X,X,O,X,X,O,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TIJOLSZ,X,X,O,X,X,X,O,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X
TIJOLZS,X,X,O,X,X,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TIJOSLZ,X,X,O,X,X,X,O,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TIJOSZL,X,X,O,X,X,X,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TIJOZLS,X,X,O,X,X,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TIJOZSL,X,X,O,X,X,O,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TISLJZO,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISLJOZ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISLZJO,X,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISLZOJ,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLOJZ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISLOZJ,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJLZO,X,X,O,X,X,X,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TISJLOZ,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TISJZLO,O,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TISJZOL,O,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TISJOLZ,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TISJOZL,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TISZLJO,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISZLOJ,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZJLO,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISZJOL,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISZOLJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZOJL,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOLJZ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISOLZJ,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOJLZ,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TISOJZL,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TISOZLJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOZJL,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLJSO,O,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZLJOS,O,X,O,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZLSJO,O,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZLSOJ,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLOJS,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLOSJ,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJLSO,O,X,O,X,X,X,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TIZJLOS,O,X,O,X,O,O,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TIZJSLO,O,X,O,X,X,X,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TIZJSOL,O,X,O,X,X,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TIZJOLS,X,X,O,X,O,O,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TIZJOSL,O,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TIZSLJO,O,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZSLOJ,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSJLO,O,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZSJOL,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZSOLJ,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSOJL,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOLJS,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOJLS,X,X,O,X,O,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TIZOJSL,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TIZOSLJ,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOSJL,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLJSZ,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X
TIOLJZS,X,X,O,X,O,O,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X
TIOLSJZ,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLZJS,X,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJLSZ,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X
TIOJLZS,X,X,O,X,O,O,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X
TIOJSLZ,X,X,O,X,X,X,X,O,X,X,O,O,O,X,X,O,O,X,X,X,X,X
TIOJSZL,X,X,O,X,X,X,X,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TIOJZLS,X,X,O,X,O,O,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X
TIOJZSL,X,X,O,X,O,O,X,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TIOSLJZ,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJLZ,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TIOSJZL,O,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TIOSZLJ,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZJL,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZLJS,X,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZJLS,X,X,O,X,O,O,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TIOZJSL,O,X,O,X,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TIOZSLJ,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZSJL,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJSZO,X,X,O,X,X,X,O,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X
TLIJSOZ,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X
TLIJZSO,X,X,O,X,X,O,O,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X
TLIJZOS,X,X,O,X,X,O,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TLIJOSZ,X,X,O,X,X,X,O,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X
TLIJOZS,X,X,O,X,X,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TLISJZO,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLISJOZ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLISZJO,O,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLISZOJ,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISOJZ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLISOZJ,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJSO,O,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIZJOS,O,X,O,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIZSJO,O,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIZSOJ,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOJS,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOSJ,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJSZ,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X
TLIOJZS,X,X,O,X,O,O,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X
TLIOSJZ,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIOSZJ,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZJS,O,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJISZO,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X
TLJISOZ,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X
TLJIZSO,X,X,X,X,X,O,O,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X
TLJIZOS,X,X,X,X,X,O,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TLJIOSZ,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,O,O,O,X,X,X
TLJIOZS,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X
TLJSIZO,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X
TLJSIOZ,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,X,O,X,O,X,X,X
TLJSZIO,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLJSZOI,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,X,X,X,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X
TLJSOZI,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJZISO,X,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X
TLJZIOS,X,O,X,X,O,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TLJZSIO,X,O,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLJZSOI,X,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJZOIS,X,O,X,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJZOSI,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJOISZ,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,O,O,O,O,X,X,X
TLJOIZS,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,O,O,O,X,X,X,X
TLJOSIZ,X,X,X,X,X,X,X,O,X,X,X,O,O,X,O,O,X,X,X,O,X,X
TLJOSZI,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TLJOZIS,X,O,X,X,O,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TLJOZSI,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSIJZO,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSIJOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLSIZJO,O,X,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSIZOJ,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOJZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSIOZJ,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJIZO,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TLSJIOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X
TLSJZIO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSJZOI,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJOIZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSJOZI,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZIJO,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZIOJ,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZJIO,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZJOI,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZOIJ,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZOJI,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOIJZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOIZJ,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOJIZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLSOJZI,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOZIJ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOZJI,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIJSO,O,X,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZIJOS,O,O,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZISJO,O,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZISOJ,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIOJS,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIOSJ,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJISO,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
TLZJIOS,O,O,X,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZJSIO,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZJSOI,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJOIS,X,O,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZJOSI,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSIJO,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSIOJ,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSJIO,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSJOI,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSOIJ,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSOJI,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOIJS,O,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOISJ,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOJIS,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZOJSI,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOSJI,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIJSZ,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,O,X
TLOIJZS,X,X,X,X,O,O,X,O,X,X,O,X,O,X,X,O,X,X,X,X,O,X
TLOISJZ,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
