sequence,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF3cBciBTeBWsBFo?BSyB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF3cBqiBTeB8mB+t?BlsB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhFUdBGeB6mB/oBTn?BVyB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF8iB+jBlhB/sBCn?BTtB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhFGdBlhB6oBXnB8s?BTtB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF3cBFeBTiBcoBWs?BSyB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhFXeBSoBUnBlmBTt?BGsB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhFFdBXeB0hBSoBGs?BTtB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF3cB+jBliBzmBCt?BUtB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF3cBliBzmBCtBct?BGtB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhFlhBcnBTjBCnBGt?BXtB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF3cBliBzmBGtBct?BCtB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF+jBlhB3iBzmBCt?BUtB
TOZJILS,X,X,X,O,X,X,X,O,X,X,O,X,X
TOZJISL,X,X,O,O,X,X,X,O,X,X,O,X,X
TOZJLIS,X,X,X,O,X,X,X,O,X,X,O,X,X
TOZJLSI,X,X,X,X,X,X,X,O,X,X,X,X,X
TOZJSIL,X,X,O,O,X,X,X,O,X,X,O,X,X
TOZJSLI,X,X,O,X,X,X,X,O,X,X,X,X,X
TOZSILJ,X,X,O,X,X,X,X,O,X,X,X,X,X
TOZSIJL,X,X,O,O,X,X,X,O,X,X,X,X,X
TOZSLIJ,X,X,O,X,X,X,X,O,X,X,X,X,X
TOZSLJI,X,X,O,X,X,X,X,O,X,X,X,X,X
TOZSJIL,X,X,O,O,X,X,X,O,X,X,X,X,X
TOZSJLI,X,X,O,O,X,X,X,O,X,X,X,X,X
ITLJSZO,O,X,O,X,O,O,X,X,X,X,X,X,O
ITLJSOZ,O,X,O,X,X,O,X,X,X,X,X,X,O
ITLJZSO,O,X,O,X,X,O,X,X,X,X,X,X,O
ITLJZOS,O,X,X,X,X,O,X,X,X,X,X,X,X
ITLJOSZ,O,X,O,X,X,O,X,X,O,X,X,X,O
ITLJOZS,O,X,O,X,X,O,X,X,O,X,X,X,X
ITLSJZO,O,X,O,X,O,O,X,X,X,X,X,X,O
ITLSJOZ,O,X,O,X,X,O,X,X,X,X,X,X,O
ITLSZJO,O,X,O,X,O,O,X,X,X,X,X,X,X
ITLSZOJ,O,X,O,X,O,O,X,X,X,X,X,X,X
ITLSOJZ,O,X,O,O,X,X,X,X,X,X,X,X,X
ITLSOZJ,O,X,O,X,X,X,X,X,X,X,X,X,X
ITLZJSO,O,X,O,X,X,O,X,X,X,X,X,X,O
ITLZJOS,O,X,X,X,X,O,X,X,X,X,O,X,X
ITLZSJO,O,X,O,X,X,O,X,X,X,X,X,X,X
ITLZSOJ,O,X,O,X,X,O,X,X,X,X,X,X,X
ITLZOJS,O,X,O,X,X,O,X,X,X,X,X,X,X
ITLZOSJ,O,X,O,X,X,O,X,X,X,X,X,X,X
ITLOJSZ,O,X,O,X,X,X,X,X,X,X,X,X,O
ITLOJZS,O,X,O,O,X,X,X,X,X,X,X,X,X
ITLOSJZ,O,X,O,O,X,X,X,X,X,X,X,X,X
ITLOSZJ,O,X,O,X,X,X,X,X,X,O,X,X,X
ITLOZJS,O,X,O,X,X,X,X,X,X,O,X,X,X
ITLOZSJ,O,X,O,X,X,X,X,X,X,O,X,X,X
ITJLSZO,O,O,O,X,O,O,X,O,X,X,X,X,O
ITJLSOZ,O,O,O,X,X,O,X,O,X,X,X,X,O
ITJLZSO,O,O,O,X,X,O,X,O,X,X,X,X,O
ITJLZOS,O,O,X,X,X,O,X,O,X,X,X,X,X
ITJLOSZ,O,O,O,X,X,O,X,X,X,X,X,X,O
ITJLOZS,O,O,O,X,X,O,X,X,X,X,X,X,X
ITJSLZO,O,O,O,X,O,O,X,X,X,X,X,X,X
ITJSLOZ,X,O,O,X,X,O,X,X,X,X,X,X,X
ITJSZLO,O,O,O,X,O,X,X,X,X,X,X,X,X
ITJSZOL,O,O,O,X,O,X,X,X,X,X,X,X,X
ITJSOLZ,X,O,O,O,X,O,X,X,X,X,X,X,X
ITJSOZL,O,O,O,O,O,X,X,X,X,X,X,X,X
ITJZLSO,O,O,X,X,X,X,X,O,X,X,X,X,X
ITJZLOS,O,O,X,X,X,X,X,O,X,X,O,X,X
ITJZSLO,O,O,X,X,O,X,X,O,X,X,X,X,X
ITJZSOL,O,O,X,X,O,X,X,O,X,X,O,X,X
ITJZOLS,O,O,X,X,X,X,X,O,X,X,O,X,X
ITJZOSL,O,O,X,X,X,X,X,O,X,X,O,X,X
ITJOLSZ,X,O,X,X,X,O,X,O,X,X,X,X,X
ITJOLZS,O,O,X,O,X,O,X,O,X,X,X,X,X
ITJOSLZ,X,O,O,O,X,O,X,X,X,X,X,X,X
ITJOSZL,O,O,O,O,O,X,X,X,X,X,X,O,X
ITJOZLS,O,O,X,O,X,X,X,O,X,X,O,O,X
ITJOZSL,O,O,O,O,X,X,X,O,X,X,O,O,X
ITSLJZO,O,X,O,X,O,O,X,X,X,X,X,X,O
ITSLJOZ,X,X,O,X,X,O,X,X,X,X,X,X,O
ITSLZJO,X,X,O,X,O,O,X,X,X,X,X,X,X
ITSLZOJ,X,X,O,X,O,O,X,X,X,X,X,X,X
ITSLOJZ,X,X,O,O,X,X,X,X,X,X,X,X,X
ITSLOZJ,X,X,O,X,X,X,X,X,X,X,X,X,X
ITSJLZO,O,X,O,X,O,O,X,X,X,X,X,X,X
ITSJLOZ,X,X,O,X,X,O,X,X,X,X,X,X,X
ITSJZLO,O,O,O,X,O,X,X,X,X,X,X,X,X
ITSJZOL,O,O,O,X,O,X,X,X,X,X,X,X,X
ITSJOLZ,X,X,O,O,X,O,X,X,X,X,X,X,X
ITSJOZL,X,X,O,O,O,X,X,X,X,X,X,X,X
ITSZLJO,X,X,O,X,O,X,X,X,X,X,X,X,X
ITSZLOJ,X,X,O,X,O,X,X,X,X,X,X,X,X
ITSZJLO,X,O,O,X,O,X,X,X,X,X,X,X,X
ITSZJOL,X,O,O,X,O,X,X,X,X,X,O,X,X
ITSZOLJ,X,X,O,X,O,X,X,X,X,X,X,X,X
ITSZOJL,X,X,O,O,O,X,X,X,X,X,X,X,X
ITSOLJZ,X,X,O,O,X,X,X,X,X,X,X,X,X
ITSOLZJ,X,X,O,X,X,X,X,X,X,O,X,X,X
ITSOJLZ,X,X,O,O,X,X,X,X,X,X,X,X,X
ITSOJZL,X,X,O,O,O,X,X,X,X,X,X,O,X
ITSOZLJ,X,X,O,X,O,X,X,X,X,X,X,X,X
ITSOZJL,X,X,O,O,O,X,X,X,X,X,X,X,X
ITZLJSO,X,X,O,X,X,X,X,O,X,X,X,X,O
ITZLJOS,X,X,X,X,X,X,X,O,X,X,O,X,X
ITZLSJO,X,X,O,X,O,X,X,X,X,X,X,X,X
ITZLSOJ,X,X,O,X,O,X,X,X,X,X,X,X,X
ITZLOJS,X,X,O,X,X,X,X,O,X,X,X,X,X
ITZLOSJ,X,X,O,X,X,X,X,O,X,X,X,X,X
ITZJLSO,X,O,X,X,X,X,X,O,X,X,X,X,X
ITZJLOS,X,O,X,X,X,X,X,O,X,X,O,X,X
ITZJSLO,X,O,X,X,O,X,X,O,X,X,X,X,X
ITZJSOL,X,O,X,X,O,X,X,O,X,X,O,X,X
ITZJOLS,X,O,X,X,X,X,X,O,X,X,O,X,X
ITZJOSL,X,O,X,X,X,X,X,O,X,X,O,X,X
ITZSLJO,X,X,O,X,O,X,X,X,X,X,X,X,X
ITZSLOJ,X,X,O,X,O,X,X,X,X,X,X,X,X
ITZSJLO,X,O,O,X,O,X,X,O,X,X,X,X,X
ITZSJOL,X,O,O,X,O,X,X,O,X,X,O,X,X
ITZSOLJ,X,X,O,X,O,X,X,O,X,X,X,X,X
ITZSOJL,X,X,O,O,O,X,X,O,X,X,X,X,X
ITZOLJS,X,X,X,X,X,X,O,O,X,X,X,X,X
ITZOLSJ,X,X,O,X,X,X,O,O,X,X,X,X,X
ITZOJLS,X,X,X,O,X,X,X,O,X,X,O,X,X
ITZOJSL,X,X,O,O,X,X,X,O,X,X,O,X,X
ITZOSLJ,X,X,O,X,X,X,X,O,X,X,X,X,X
ITZOSJL,X,X,O,O,X,X,X,O,X,X,X,X,X
ITOLJSZ,X,X,O,X,X,X,X,O,X,X,X,X,O
ITOLJZS,X,X,O,O,X,X,X,O,X,X,X,X,X
ITOLSJZ,X,X,O,O,X,X,X,O,X,X,X,X,X
ITOLSZJ,X,X,O,X,X,X,O,O,X,O,X,X,X
ITOLZJS,X,X,O,X,X,X,O,O,X,O,X,X,X
ITOLZSJ,X,X,O,X,X,X,O,O,X,O,X,X,X
ITOJLSZ,X,X,X,X,X,X,X,O,X,X,X,X,X
ITOJLZS,X,X,X,O,X,X,X,O,X,X,X,X,X
ITOJSLZ,X,X,O,O,X,X,X,X,X,X,X,X,X
ITOJSZL,X,X,O,O,O,X,X,X,X,X,X,O,X
ITOJZLS,X,X,X,O,X,X,X,O,X,X,X,O,X
ITOJZSL,X,X,O,O,X,X,X,O,X,X,X,O,X
ITOSLJZ,X,X,O,O,X,X,X,X,X,X,X,X,X
ITOSLZJ,X,X,O,X,X,X,X,X,X,O,X,X,X
ITOSJLZ,X,X,O,O,X,X,X,X,X,X,X,X,X
ITOSJZL,X,X,O,O,O,X,X,X,X,X,X,O,X
ITOSZLJ,X,X,O,X,O,X,X,X,X,X,X,X,X
ITOSZJL,X,X,O,O,O,X,X,X,X,X,X,X,X
ITOZLJS,X,X,X,X,X,X,O,O,X,X,X,X,X
ITOZLSJ,X,X,O,X,X,X,O,O,X,X,X,X,X
ITOZJLS,X,X,X,O,X,X,X,O,X,X,O,X,X
ITOZJSL,X,X,O,O,X,X,X,O,X,X,O,X,X
ITOZSLJ,X,X,O,X,X,X,X,O,X,X,X,X,X
ITOZSJL,X,X,O,O,X,X,X,O,X,X,X,X,X
ILTJSZO,O,X,O,X,O,O,X,X,X,X,X,X,O
ILTJSOZ,O,X,O,X,X,O,X,X,X,X,X,X,O
ILTJZSO,O,X,O,X,X,O,X,X,X,X,X,X,O
ILTJZOS,O,X,X,X,X,O,X,X,X,X,X,X,X
ILTJOSZ,O,X,O,X,X,O,X,X,O,X,X,X,O
ILTJOZS,O,X,O,X,X,O,X,X,O,X,X,X,X
ILTSJZO,O,X,O,X,O,O,X,X,X,X,X,X,O
ILTSJOZ,O,X,O,X,X,O,X,X,X,X,X,X,O
ILTSZJO,O,X,O,X,O,O,X,X,X,X,X,X,X
ILTSZOJ,O,X,O,X,O,O,X,X,X,X,X,X,X
ILTSOJZ,O,X,O,O,X,X,X,X,X,X,X,X,X
ILTSOZJ,O,X,O,X,X,X,X,X,X,X,X,X,X
ILTZJSO,O,X,O,X,X,O,X,X,X,X,X,X,O
ILTZJOS,O,X,X,X,X,O,X,X,X,X,O,X,X
ILTZSJO,O,X,O,X,X,O,X,X,X,X,X,X,X
ILTZSOJ,O,X,O,X,X,O,X,X,X,X,X,X,X
ILTZOJS,O,X,O,X,X,O,X,X,X,X,X,X,X
ILTZOSJ,O,X,O,X,X,O,X,X,X,X,X,X,X
ILTOJSZ,O,X,O,X,X,X,X,X,X,X,X,X,O
ILTOJZS,O,X,O,O,X,X,X,X,X,X,X,X,X
ILTOSJZ,O,X,O,O,X,X,X,X,X,X,X,X,X
ILTOSZJ,O,X,O,X,X,X,X,X,X,O,X,X,X
ILTOZJS,O,X,O,X,X,X,X,X,X,O,X,X,X
ILTOZSJ,O,X,O,X,X,X,X,X,X,O,X,X,X
ILJTSZO,O,O,O,X,X,O,X,O,X,X,X,X,O
ILJTSOZ,O,O,O,X,X,O,X,O,X,X,X,X,O
ILJTZSO,O,O,O,X,X,O,X,O,X,X,X,X,O
ILJTZOS,O,O,X,X,X,O,X,O,X,X,X,X,X
ILJTOSZ,O,O,O,X,X,O,X,X,O,X,X,X,O
ILJTOZS,O,O,O,X,X,O,X,X,O,X,X,X,X
ILJSTZO,O,X,X,X,X,O,X,O,X,X,X,X,O
ILJSTOZ,O,X,X,X,X,O,X,O,X,X,X,X,O
ILJSZTO,O,O,X,X,X,O,X,O,X,X,X,X,O
ILJSZOT,O,X,X,X,X,O,X,O,X,X,X,X,X
ILJSOTZ,X,X,X,X,X,O,X,O,O,X,X,X,O
ILJSOZT,O,X,X,X,X,O,X,O,O,X,X,X,X
ILJZTSO,O,O,O,X,X,O,X,O,X,X,X,X,O
ILJZTOS,O,O,X,X,X,O,X,O,X,X,O,X,X
ILJZSTO,O,O,X,X,X,O,X,O,X,X,X,X,O
ILJZSOT,O,X,X,X,X,O,X,O,X,X,X,X,X
ILJZOTS,O,X,O,X,X,O,X,O,O,X,O,X,X
ILJZOST,O,X,X,X,X,O,X,O,O,X,X,X,X
ILJOTSZ,O,O,O,X,X,O,X,O,O,X,X,X,O
ILJOTZS,O,O,O,X,X,O,X,O,O,X,X,X,X
ILJOSTZ,X,X,X,X,X,O,X,O,O,X,X,X,O
ILJOSZT,O,X,X,X,X,O,X,O,O,O,X,O,X
ILJOZTS,O,X,O,X,X,O,X,O,O,O,O,O,X
ILJOZST,O,X,X,X,X,O,X,O,O,O,X,O,X
ILSTJZO,O,X,O,X,O,O,X,X,X,X,X,X,O
ILSTJOZ,O,X,O,X,X,O,X,X,X,X,X,X,O
ILSTZJO,O,X,O,X,O,O,X,X,X,X,X,X,X
ILSTZOJ,O,X,O,X,O,O,X,X,X,X,X,X,X
ILSTOJZ,O,X,O,O,X,X,X,X,X,X,X,X,X
ILSTOZJ,O,X,O,X,X,X,X,X,X,X,X,X,X
ILSJTZO,O,X,X,X,X,O,X,X,X,X,X,X,O
ILSJTOZ,O,X,X,X,X,O,X,X,X,X,X,X,O
ILSJZTO,O,O,X,X,X,O,X,X,X,X,X,X,O
ILSJZOT,O,X,X,X,X,O,X,X,X,X,X,X,X
ILSJOTZ,X,X,X,X,X,O,X,X,O,X,X,X,O
ILSJOZT,O,X,X,X,X,O,X,X,O,X,X,X,X
ILSZTJO,X,X,O,X,O,O,X,X,X,X,X,X,X
ILSZTOJ,X,X,O,X,O,O,X,X,X,X,X,X,X
ILSZJTO,O,O,X,X,O,O,X,X,X,X,X,X,X
ILSZJOT,O,X,X,X,X,O,X,X,X,X,X,X,X
ILSZOTJ,X,X,O,X,O,O,X,X,X,X,X,X,X
ILSZOJT,X,X,X,X,X,O,X,X,X,X,X,X,X
ILSOTJZ,X,X,O,O,X,X,X,X,X,X,X,X,X
ILSOTZJ,X,X,O,X,X,X,X,X,X,O,X,X,X
ILSOJTZ,X,X,X,O,X,O,X,X,X,X,X,X,X
ILSOJZT,O,X,X,O,X,O,X,X,X,O,X,O,X
ILSOZTJ,X,X,O,X,X,O,X,X,X,O,X,X,X
ILSOZJT,X,X,X,X,X,O,X,X,X,O,X,X,X
ILZTJSO,O,X,O,X,X,O,X,O,X,X,X,X,O
ILZTJOS,O,X,X,X,X,O,X,O,X,X,O,X,X
ILZTSJO,O,X,O,X,O,O,X,X,X,X,X,X,X
ILZTSOJ,O,X,O,X,O,O,X,X,X,X,X,X,X
ILZTOJS,O,X,O,X,X,O,X,O,X,X,X,X,X
ILZTOSJ,O,X,O,X,X,O,X,O,X,X,X,X,X
ILZJTSO,O,O,O,X,X,O,X,O,X,X,X,X,O
ILZJTOS,O,O,X,X,X,O,X,O,X,X,O,X,X
ILZJSTO,O,O,X,X,O,O,X,O,X,X,X,X,O
ILZJSOT,O,X,X,X,X,O,X,O,X,X,X,X,X
ILZJOTS,O,X,O,X,X,O,X,O,O,X,O,X,X
ILZJOST,O,X,X,X,X,O,X,O,O,X,X,X,X
ILZSTJO,X,X,O,X,O,O,X,X,X,X,X,X,X
ILZSTOJ,X,X,O,X,O,O,X,X,X,X,X,X,X
ILZSJTO,O,O,X,X,O,O,X,X,X,X,X,X,X
ILZSJOT,O,X,X,X,X,O,X,X,X,X,X,X,X
ILZSOTJ,X,X,O,X,O,O,X,X,X,X,X,X,X
ILZSOJT,X,X,X,X,X,O,X,X,X,X,X,X,X
ILZOTJS,X,X,O,X,X,O,O,O,X,O,X,X,X
ILZOTSJ,X,X,O,X,X,O,O,O,X,O,X,X,X
ILZOJTS,X,X,O,X,X,O,O,O,X,O,X,X,X
ILZOJST,X,X,X,X,X,O,O,O,X,O,X,X,X
ILZOSTJ,X,X,O,X,O,O,O,O,X,O,X,X,X
ILZOSJT,X,X,X,X,X,O,O,O,X,O,X,X,X
ILOTJSZ,O,X,O,X,X,X,X,O,X,X,X,X,O
ILOTJZS,O,X,O,O,X,X,X,O,X,X,X,X,X
ILOTSJZ,O,X,O,O,X,X,X,O,X,X,X,X,X
ILOTSZJ,O,X,O,X,X,X,O,O,X,O,X,X,X
ILOTZJS,O,X,O,X,X,X,O,O,X,O,X,X,X
ILOTZSJ,O,X,O,X,X,X,O,O,X,O,X,X,X
ILOJTSZ,O,X,O,X,X,O,X,O,O,X,X,X,O
ILOJTZS,O,X,O,O,X,O,X,O,O,X,X,X,X
ILOJSTZ,X,X,X,O,X,O,X,O,O,X,X,X,O
ILOJSZT,O,X,X,O,X,O,O,O,O,O,X,O,X
ILOJZTS,O,X,O,O,X,O,O,O,O,O,X,O,X
ILOJZST,O,X,X,X,X,O,O,O,O,O,X,O,X
ILOSTJZ,X,X,O,O,X,X,X,O,X,X,X,X,X
ILOSTZJ,X,X,O,X,X,X,O,O,X,O,X,X,X
ILOSJTZ,X,X,X,O,X,O,X,O,O,X,X,X,X
ILOSJZT,O,X,X,O,X,O,O,O,O,O,X,O,X
ILOSZTJ,X,X,O,X,X,O,O,O,X,O,X,X,X
ILOSZJT,X,X,X,X,X,O,O,O,X,O,X,X,X
ILOZTJS,X,X,O,X,X,O,O,O,X,O,X,X,X
ILOZTSJ,X,X,O,X,X,O,O,O,X,O,X,X,X
ILOZJTS,X,X,O,X,X,O,O,O,X,O,X,X,X
ILOZJST,X,X,X,X,X,O,O,O,X,O,X,X,X
ILOZSTJ,X,X,O,X,X,O,O,O,X,O,X,X,X
ILOZSJT,X,X,X,X,X,O,O,O,X,O,X,X,X
IJTLSZO,O,O,O,X,O,O,X,O,X,X,X,X,O
IJTLSOZ,O,O,O,X,X,O,X,O,X,X,X,X,O
IJTLZSO,O,O,O,X,X,O,X,O,X,X,X,X,O
IJTLZOS,O,O,X,X,X,O,X,O,X,X,X,X,X
IJTLOSZ,O,O,O,X,X,O,X,X,X,X,X,X,O
IJTLOZS,O,O,O,X,X,O,X,X,X,X,X,X,X
IJTSLZO,O,O,O,X,O,O,X,X,X,X,X,X,X
IJTSLOZ,X,O,O,X,X,O,X,X,X,X,X,X,X
IJTSZLO,O,O,O,X,O,X,X,X,X,X,X,X,X
IJTSZOL,O,O,O,X,O,X,X,X,X,X,X,X,X
IJTSOLZ,X,O,O,O,X,O,X,X,X,X,X,X,X
IJTSOZL,O,O,O,O,O,X,X,X,X,X,X,X,X
IJTZLSO,O,O,X,X,X,X,X,O,X,X,X,X,X
IJTZLOS,O,O,X,X,X,X,X,O,X,X,O,X,X
IJTZSLO,O,O,X,X,O,X,X,O,X,X,X,X,X
IJTZSOL,O,O,X,X,O,X,X,O,X,X,O,X,X
IJTZOLS,O,O,X,X,X,X,X,O,X,X,O,X,X
IJTZOSL,O,O,X,X,X,X,X,O,X,X,O,X,X
IJTOLSZ,X,O,X,X,X,O,X,O,X,X,X,X,X
IJTOLZS,O,O,X,O,X,O,X,O,X,X,X,X,X
IJTOSLZ,X,O,O,O,X,O,X,X,X,X,X,X,X
IJTOSZL,O,O,O,O,O,X,X,X,X,X,X,O,X
IJTOZLS,O,O,X,O,X,X,X,O,X,X,O,O,X
IJTOZSL,O,O,O,O,X,X,X,O,X,X,O,O,X
IJLTSZO,O,O,O,X,X,O,X,O,X,X,X,X,O
IJLTSOZ,O,O,O,X,X,O,X,O,X,X,X,X,O
IJLTZSO,O,O,O,X,X,O,X,O,X,X,X,X,O
IJLTZOS,O,O,X,X,X,O,X,O,X,X,X,X,X
IJLTOSZ,O,O,O,X,X,O,X,X,O,X,X,X,O
IJLTOZS,O,O,O,X,X,O,X,X,O,X,X,X,X
IJLSTZO,O,X,X,X,X,O,X,O,X,X,X,X,O
IJLSTOZ,O,X,X,X,X,O,X,O,X,X,X,X,O
IJLSZTO,O,O,X,X,X,O,X,O,X,X,X,X,O
IJLSZOT,O,X,X,X,X,O,X,O,X,X,X,X,X
IJLSOTZ,X,X,X,X,X,O,X,O,O,X,X,X,O
IJLSOZT,O,X,X,X,X,O,X,O,O,X,X,X,X
IJLZTSO,O,O,O,X,X,O,X,O,X,X,X,X,O
IJLZTOS,O,O,X,X,X,O,X,O,X,X,O,X,X
IJLZSTO,O,O,X,X,X,O,X,O,X,X,X,X,O
IJLZSOT,O,X,X,X,X,O,X,O,X,X,X,X,X
IJLZOTS,O,X,O,X,X,O,X,O,O,X,O,X,X
IJLZOST,O,X,X,X,X,O,X,O,O,X,X,X,X
IJLOTSZ,O,O,O,X,X,O,X,O,O,X,X,X,O
IJLOTZS,O,O,O,X,X,O,X,O,O,X,X,X,X
IJLOSTZ,X,X,X,X,X,O,X,O,O,X,X,X,O
IJLOSZT,O,X,X,X,X,O,X,O,O,O,X,O,X
IJLOZTS,O,X,O,X,X,O,X,O,O,O,O,O,X
IJLOZST,O,X,X,X,X,O,X,O,O,O,X,O,X
IJSTLZO,O,O,X,X,O,O,X,X,X,X,X,X,X
IJSTLOZ,X,O,X,X,X,O,X,X,X,X,X,X,X
IJSTZLO,O,O,X,X,O,X,X,X,X,X,X,X,X
IJSTZOL,O,O,X,X,O,X,X,X,X,X,X,X,X
IJSTOLZ,X,O,X,O,X,O,X,X,X,X,X,X,X
IJSTOZL,O,O,X,O,O,X,X,X,X,X,X,X,X
IJSLTZO,O,X,X,X,X,O,X,O,X,X,X,X,X
IJSLTOZ,O,X,X,X,X,O,X,O,X,X,X,X,X
IJSLZTO,O,O,X,X,X,O,X,O,X,X,X,X,X
IJSLZOT,O,X,X,X,X,O,X,O,X,X,X,X,X
IJSLOTZ,X,X,X,X,X,O,X,O,X,X,X,X,X
IJSLOZT,O,X,X,X,X,O,X,O,X,X,X,X,X
IJSZTLO,O,O,X,X,O,X,X,O,X,X,X,X,X
IJSZTOL,O,O,X,X,O,X,X,O,X,X,O,X,X
IJSZLTO,O,O,X,X,O,O,X,O,X,X,X,X,X
IJSZLOT,O,X,X,X,X,O,X,O,X,X,X,X,X
IJSZOTL,O,O,X,X,X,X,X,O,X,X,O,X,X
IJSZOLT,O,X,X,X,X,O,X,O,X,X,X,X,X
IJSOTLZ,X,O,X,O,X,O,X,X,X,X,X,X,X
IJSOTZL,X,O,X,O,X,X,X,X,X,X,X,O,X
IJSOLTZ,X,X,X,O,X,O,X,O,X,X,X,X,X
IJSOLZT,O,X,X,O,X,O,X,O,X,O,X,O,X
IJSOZTL,O,O,X,O,X,X,X,O,X,X,O,O,X
IJSOZLT,O,X,X,O,X,O,X,O,X,X,X,O,X
IJZTLSO,O,O,X,X,X,X,X,O,X,X,X,X,X
IJZTLOS,O,O,X,X,X,X,X,O,X,X,O,X,X
IJZTSLO,O,O,X,X,X,X,X,O,X,X,X,X,X
IJZTSOL,O,O,X,X,X,X,X,O,X,X,O,X,X
IJZTOLS,O,O,X,X,X,X,X,O,X,X,O,X,X
IJZTOSL,O,O,X,X,X,X,X,O,X,X,O,X,X
IJZLTSO,O,O,X,X,X,O,X,O,X,X,X,X,X
IJZLTOS,O,O,X,X,X,O,X,O,X,X,O,X,X
IJZLSTO,O,O,X,X,O,O,X,O,X,X,X,X,X
IJZLSOT,O,X,X,X,X,O,X,O,X,X,X,X,X
IJZLOTS,O,X,X,X,X,O,X,O,X,X,O,X,X
IJZLOST,O,X,X,X,X,O,X,O,X,X,X,X,X
IJZSTLO,O,O,X,X,O,X,X,O,X,X,X,X,X
IJZSTOL,O,O,X,X,O,X,X,O,X,X,O,X,X
IJZSLTO,O,O,X,X,O,O,X,O,X,X,X,X,X
IJZSLOT,O,X,X,X,X,O,X,O,X,X,X,X,X
IJZSOTL,O,O,X,X,X,X,X,O,X,X,O,X,X
IJZSOLT,O,X,X,X,X,O,X,O,X,X,X,X,X
IJZOTLS,O,O,X,X,X,X,X,O,X,X,O,O,X
IJZOTSL,O,O,X,X,X,X,X,O,X,X,O,O,X
IJZOLTS,O,X,X,X,X,O,O,O,X,X,O,O,X
IJZOLST,O,X,X,X,X,O,O,O,X,X,X,O,X
IJZOSTL,O,O,X,X,X,X,X,O,X,X,O,O,X
IJZOSLT,O,X,X,X,X,O,X,O,X,X,X,O,X
IJOTLSZ,X,O,X,X,X,O,X,O,X,X,X,X,X
IJOTLZS,O,O,X,O,X,O,X,O,X,X,X,X,X
IJOTSLZ,X,O,O,O,X,O,X,X,X,X,X,X,X
IJOTSZL,O,O,O,O,X,X,X,X,X,X,X,O,X
IJOTZLS,O,O,X,O,X,X,X,O,X,X,O,O,X
IJOTZSL,O,O,O,O,X,X,X,O,X,X,O,O,X
IJOLTSZ,O,O,X,X,X,O,X,O,X,X,X,X,X
IJOLTZS,O,O,X,O,X,O,X,O,X,X,X,X,X
IJOLSTZ,X,X,X,O,X,O,X,O,X,X,X,X,X
IJOLSZT,O,X,X,O,X,O,O,O,X,O,X,O,X
IJOLZTS,O,X,X,O,X,O,O,O,X,O,O,O,X
IJOLZST,O,X,X,X,X,O,O,O,X,O,X,O,X
IJOSTLZ,X,O,X,O,X,O,X,X,X,X,X,X,X
IJOSTZL,X,O,X,O,X,X,X,X,X,X,X,O,X
IJOSLTZ,X,X,X,O,X,O,X,O,X,X,X,X,X
IJOSLZT,O,X,X,O,X,O,X,O,X,O,X,O,X
IJOSZTL,O,O,X,O,X,X,X,O,X,X,O,O,X
IJOSZLT,O,X,X,O,X,O,X,O,X,X,X,O,X
IJOZTLS,O,O,X,O,X,X,X,O,X,X,O,O,X
IJOZTSL,O,O,O,O,X,X,X,O,X,X,O,O,X
IJOZLTS,O,X,X,O,X,O,O,O,X,X,O,O,X
IJOZLST,O,X,X,X,X,O,O,O,X,X,X,O,X
IJOZSTL,O,O,X,O,X,X,X,O,X,X,O,O,X
IJOZSLT,O,X,X,O,X,O,X,O,X,X,X,O,X
ISTLJZO,O,X,O,X,O,O,X,X,X,X,X,X,O
ISTLJOZ,X,X,O,X,X,O,X,X,X,X,X,X,O
ISTLZJO,X,X,O,X,O,O,X,X,X,X,X,X,X
ISTLZOJ,X,X,O,X,O,O,X,X,X,X,X,X,X
ISTLOJZ,X,X,O,O,X,X,X,X,X,X,X,X,X
ISTLOZJ,X,X,O,X,X,X,X,X,X,X,X,X,X
ISTJLZO,O,X,O,X,O,O,X,X,X,X,X,X,X
ISTJLOZ,X,X,O,X,X,O,X,X,X,X,X,X,X
ISTJZLO,O,O,O,X,O,X,X,X,X,X,X,X,X
ISTJZOL,O,O,O,X,O,X,X,X,X,X,X,X,X
ISTJOLZ,X,X,O,O,X,O,X,X,X,X,X,X,X
ISTJOZL,X,X,O,O,O,X,X,X,X,X,X,X,X
ISTZLJO,X,X,O,X,O,X,X,X,X,X,X,X,X
ISTZLOJ,X,X,O,X,O,X,X,X,X,X,X,X,X
ISTZJLO,X,O,O,X,O,X,X,X,X,X,X,X,X
ISTZJOL,X,O,O,X,O,X,X,X,X,X,O,X,X
