sequence,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF3cBciBTeBWsBFo?BSyB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF3cBqiBTeB8mB+t?BlsB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhFUdBGeB6mB/oBTn?BVyB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF8iB+jBlhB/sBCn?BTtB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhFGdBlhB6oBXnB8s?BTtB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF3cBFeBTiBcoBWs?BSyB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhFXeBSoBUnBlmBTt?BGsB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhFFdBXeB0hBSoBGs?BTtB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF3cB+jBliBzmBCt?BUtB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF3cBliBzmBCtBct?BGtB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhFlhBcnBTjBCnBGt?BXtB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF3cBliBzmBGtBct?BCtB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF+jBlhB3iBzmBCt?BUtB
TLISOJZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TLISOZJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIZJSO,O,X,O,X,X,O,X,X,X,X,X,X,O
TLIZJOS,O,X,X,X,X,O,X,X,X,X,O,X,X
TLIZSJO,O,X,O,X,X,O,X,X,X,X,X,X,X
TLIZSOJ,O,X,O,X,X,O,X,X,X,X,X,X,X
TLIZOJS,O,X,O,X,X,O,X,X,X,X,X,X,X
TLIZOSJ,O,X,O,X,X,O,X,X,X,X,X,X,X
TLIOJSZ,O,X,O,X,X,X,X,X,X,X,X,X,O
TLIOJZS,O,X,O,O,X,X,X,X,X,X,X,X,X
TLIOSJZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TLIOSZJ,O,X,O,X,X,X,X,X,X,O,X,X,X
TLIOZJS,O,X,O,X,X,X,X,X,X,O,X,X,X
TLIOZSJ,O,X,O,X,X,X,X,X,X,O,X,X,X
TLJISZO,O,X,O,X,O,O,X,X,X,X,X,X,O
TLJISOZ,O,X,O,X,X,O,X,X,X,X,X,X,O
TLJIZSO,O,X,O,X,X,O,X,X,X,X,X,X,O
TLJIZOS,O,X,X,X,X,O,X,X,X,X,X,X,X
TLJIOSZ,O,X,O,X,X,O,X,X,O,X,X,X,O
TLJIOZS,O,X,O,X,X,O,X,X,O,X,X,X,X
TLJSIZO,O,X,O,X,O,O,X,X,X,X,X,X,O
TLJSIOZ,O,X,O,X,X,O,X,X,X,X,X,X,O
TLJSZIO,O,X,O,X,O,O,X,X,X,X,X,X,O
TLJSZOI,O,X,O,X,O,O,X,X,X,X,X,X,X
TLJSOIZ,O,X,O,X,X,O,X,X,X,X,X,X,O
TLJSOZI,O,X,O,X,X,O,X,X,X,X,X,X,X
TLJZISO,O,X,O,X,X,O,X,X,X,X,X,X,O
TLJZIOS,O,X,X,X,X,O,X,X,X,X,X,X,X
TLJZSIO,O,X,O,X,X,O,X,X,X,X,X,X,O
TLJZSOI,O,X,O,X,X,O,X,X,X,X,X,X,X
TLJZOIS,O,X,X,X,X,O,X,X,X,X,X,X,X
TLJZOSI,O,X,X,X,X,O,X,X,X,X,X,X,X
TLJOISZ,O,X,O,X,X,O,X,X,O,X,X,X,O
TLJOIZS,O,X,O,X,X,O,X,X,O,X,X,X,X
TLJOSIZ,O,X,O,X,X,O,X,X,O,X,X,X,O
TLJOSZI,O,X,O,X,X,O,X,X,O,X,X,X,X
TLJOZIS,O,X,O,X,X,O,X,X,O,X,X,X,X
TLJOZSI,O,X,O,X,X,O,X,X,O,X,X,X,X
TLSIJZO,O,X,O,X,O,O,X,X,X,X,X,X,O
TLSIJOZ,O,X,O,X,X,O,X,X,X,X,X,X,O
TLSIZJO,O,X,O,X,O,O,X,X,X,X,X,X,X
TLSIZOJ,O,X,O,X,O,O,X,X,X,X,X,X,X
TLSIOJZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TLSIOZJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSJIZO,O,X,O,X,O,O,X,X,X,X,X,X,O
TLSJIOZ,O,X,O,X,X,O,X,X,X,X,X,X,O
TLSJZIO,O,X,O,X,O,O,X,X,X,X,X,X,O
TLSJZOI,O,X,O,X,O,O,X,X,X,X,X,X,X
TLSJOIZ,O,X,O,X,X,O,X,X,X,X,X,X,O
TLSJOZI,O,X,O,X,X,O,X,X,X,X,X,X,X
TLSZIJO,O,X,O,X,O,O,X,X,X,X,X,X,X
TLSZIOJ,O,X,O,X,O,O,X,X,X,X,X,X,X
TLSZJIO,O,X,O,X,O,O,X,X,X,X,X,X,X
TLSZJOI,O,X,O,X,O,O,X,X,X,X,X,X,X
TLSZOIJ,O,X,O,X,O,O,X,X,X,X,X,X,X
TLSZOJI,O,X,O,X,O,X,X,X,X,X,X,X,X
TLSOIJZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TLSOIZJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSOJIZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TLSOJZI,O,X,O,O,X,X,X,X,X,X,X,X,X
TLSOZIJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSOZJI,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZIJSO,O,X,O,X,X,O,X,X,X,X,X,X,O
TLZIJOS,O,X,X,X,X,O,X,X,X,X,O,X,X
TLZISJO,O,X,O,X,X,O,X,X,X,X,X,X,X
TLZISOJ,O,X,O,X,X,O,X,X,X,X,X,X,X
TLZIOJS,O,X,O,X,X,O,X,X,X,X,X,X,X
TLZIOSJ,O,X,O,X,X,O,X,X,X,X,X,X,X
TLZJISO,O,X,O,X,X,O,X,X,X,X,X,X,O
TLZJIOS,O,X,X,X,X,O,X,X,X,X,O,X,X
TLZJSIO,O,X,O,X,X,O,X,X,X,X,X,X,O
TLZJSOI,O,X,O,X,X,O,X,X,X,X,X,X,X
TLZJOIS,O,X,X,X,X,O,X,X,X,X,O,X,X
TLZJOSI,O,X,X,X,X,O,X,X,X,X,X,X,X
TLZSIJO,O,X,O,X,X,O,X,X,X,X,X,X,X
TLZSIOJ,O,X,O,X,X,O,X,X,X,X,X,X,X
TLZSJIO,O,X,O,X,X,O,X,X,X,X,X,X,X
TLZSJOI,O,X,O,X,X,O,X,X,X,X,X,X,X
TLZSOIJ,O,X,O,X,X,O,X,X,X,X,X,X,X
TLZSOJI,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZOIJS,O,X,O,X,X,O,X,X,X,X,X,X,X
TLZOISJ,O,X,O,X,X,O,X,X,X,X,X,X,X
TLZOJIS,O,X,O,X,X,O,X,X,X,X,X,X,X
TLZOJSI,O,X,O,X,X,O,X,X,X,X,X,X,X
TLZOSIJ,O,X,O,X,X,O,X,X,X,X,X,X,X
TLZOSJI,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOIJSZ,O,X,O,X,X,X,X,X,X,X,X,X,O
TLOIJZS,O,X,O,O,X,X,X,X,X,X,X,X,X
TLOISJZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TLOISZJ,O,X,O,X,X,X,X,X,X,O,X,X,X
TLOIZJS,O,X,O,X,X,X,X,X,X,O,X,X,X
TLOIZSJ,O,X,O,X,X,X,X,X,X,O,X,X,X
TLOJISZ,O,X,O,X,X,X,X,X,O,X,X,X,O
TLOJIZS,O,X,O,O,X,X,X,X,O,X,X,X,X
TLOJSIZ,O,X,O,X,X,X,X,X,O,X,X,X,O
TLOJSZI,O,X,O,X,X,X,X,X,O,X,X,X,X
TLOJZIS,O,X,O,O,X,X,X,X,O,X,X,X,X
TLOJZSI,O,X,O,X,X,X,X,X,O,X,X,X,X
TLOSIJZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TLOSIZJ,O,X,O,X,X,X,X,X,X,O,X,X,X
TLOSJIZ,O,X,O,O,X,X,X,X,O,X,X,X,X
TLOSJZI,O,X,O,O,X,X,X,X,O,X,X,X,X
TLOSZIJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOSZJI,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOZIJS,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOZISJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOZJIS,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOZJSI,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOZSIJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOZSJI,O,X,O,X,X,X,X,X,X,X,X,X,X
TJILSZO,O,O,O,X,O,O,X,O,X,X,X,X,O
TJILSOZ,O,O,O,X,X,O,X,O,X,X,X,X,O
TJILZSO,O,O,O,X,X,O,X,O,X,X,X,X,O
TJILZOS,O,O,X,X,X,O,X,O,X,X,X,X,X
TJILOSZ,O,O,O,X,X,O,X,X,X,X,X,X,O
TJILOZS,O,O,O,X,X,O,X,X,X,X,X,X,X
TJISLZO,O,O,O,X,O,O,X,X,X,X,X,X,X
TJISLOZ,X,O,O,X,X,O,X,X,X,X,X,X,X
TJISZLO,O,O,O,X,O,X,X,X,X,X,X,X,X
TJISZOL,O,O,O,X,O,X,X,X,X,X,X,X,X
TJISOLZ,X,O,O,O,X,O,X,X,X,X,X,X,X
TJISOZL,O,O,O,O,O,X,X,X,X,X,X,X,X
TJIZLSO,O,O,X,X,X,X,X,O,X,X,X,X,X
TJIZLOS,O,O,X,X,X,X,X,O,X,X,O,X,X
TJIZSLO,O,O,X,X,O,X,X,O,X,X,X,X,X
TJIZSOL,O,O,X,X,O,X,X,O,X,X,O,X,X
TJIZOLS,O,O,X,X,X,X,X,O,X,X,O,X,X
TJIZOSL,O,O,X,X,X,X,X,O,X,X,O,X,X
TJIOLSZ,X,O,X,X,X,O,X,O,X,X,X,X,X
TJIOLZS,O,O,X,O,X,O,X,O,X,X,X,X,X
TJIOSLZ,X,O,O,O,X,O,X,X,X,X,X,X,X
TJIOSZL,O,O,O,O,O,X,X,X,X,X,X,O,X
TJIOZLS,O,O,X,O,X,X,X,O,X,X,O,O,X
TJIOZSL,O,O,O,O,X,X,X,O,X,X,O,O,X
TJLISZO,O,O,O,X,O,O,X,O,X,X,X,X,O
TJLISOZ,O,O,O,X,X,O,X,O,X,X,X,X,O
TJLIZSO,O,O,O,X,X,O,X,O,X,X,X,X,O
TJLIZOS,O,O,X,X,X,O,X,O,X,X,X,X,X
TJLIOSZ,O,O,O,X,X,O,X,X,X,X,X,X,O
TJLIOZS,O,O,O,X,X,O,X,X,X,X,X,X,X
TJLSIZO,O,O,O,X,O,O,X,O,X,X,X,X,O
TJLSIOZ,O,O,O,X,X,O,X,O,X,X,X,X,O
TJLSZIO,O,O,O,X,O,O,X,O,X,X,X,X,O
TJLSZOI,O,O,O,X,O,O,X,O,X,X,X,X,X
TJLSOIZ,O,O,O,X,X,O,X,O,X,X,X,X,O
TJLSOZI,O,O,O,X,X,O,X,X,X,X,X,X,X
TJLZISO,O,O,O,X,X,O,X,O,X,X,X,X,O
TJLZIOS,O,O,X,X,X,O,X,O,X,X,X,X,X
TJLZSIO,O,O,O,X,X,O,X,O,X,X,X,X,O
TJLZSOI,O,O,O,X,X,O,X,O,X,X,X,X,X
TJLZOIS,O,O,X,X,X,O,X,O,X,X,X,X,X
TJLZOSI,O,O,X,X,X,O,X,O,X,X,X,X,X
TJLOISZ,O,O,O,X,X,O,X,X,X,X,X,X,O
TJLOIZS,O,O,O,X,X,O,X,X,X,X,X,X,X
TJLOSIZ,O,O,O,X,X,O,X,X,X,X,X,X,O
TJLOSZI,O,O,O,X,X,O,X,X,X,X,X,X,X
TJLOZIS,O,O,O,X,X,O,X,X,X,X,X,X,X
TJLOZSI,O,O,O,X,X,O,X,X,X,X,X,X,X
TJSILZO,O,O,O,X,O,O,X,X,X,X,X,X,X
TJSILOZ,X,O,O,X,X,O,X,X,X,X,X,X,X
TJSIZLO,O,O,O,X,O,X,X,X,X,X,X,X,X
TJSIZOL,O,O,O,X,O,X,X,X,X,X,X,X,X
TJSIOLZ,X,O,O,O,X,O,X,X,X,X,X,X,X
TJSIOZL,O,O,O,O,O,X,X,X,X,X,X,X,X
TJSLIZO,O,O,O,X,O,O,X,X,X,X,X,X,X
TJSLIOZ,X,O,O,X,X,O,X,X,X,X,X,X,X
TJSLZIO,O,O,O,X,O,O,X,X,X,X,X,X,X
