sequence,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8Jez7IvhFqhBmdB?5jB0iB3lBlsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8Jez7IvhFUdBajB?5jBWnB3lBlsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeqBJvhFmdB5jB?zgB0iB3lBlsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeU9IvhFajB5jB?zgBWnB3lBlsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeF8IvhFxdB+lB?3hBcnBTjBCtB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeR8IvhF1iB6jB?+lBThB/sBUtB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeC8IvhFTdBejB?5jB0hB3lBlsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeaBJvhFFdB5jB?+lBfnBznB8sB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeC8IvhF2iB5jB?0hBziB3lBlsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeyCJvhF5jBzgB?WnB8sB3qBFsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeU9IvhFChBTjB?xmB3lBGoBlsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8Je/CJvhF+lB0hB?TjBFhBxsBCtB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8Je08IvhFxdBVmB?CjB/sBTtB+qB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8Je/CJvhFFhBTjB?+lB0hBxsBCtB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JezAJvhFRiBUnB?FoB6oB3lBGsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8Jez7IvhFRiB3lB?UnBFoB6oBGsB
TISJLZO,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TISJLOZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TISJZLO,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TISJZOL,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
TISJOLZ,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
TISJOZL,X,O,X,O,X,X,O,X,X,X,X,O,X,O,X,X
TISZLJO,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
TISZLOJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TISZJLO,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
TISZJOL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TISZOLJ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TISZOJL,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TISOLJZ,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X
TISOLZJ,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X
TISOJLZ,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X
TISOJZL,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X
TISOZLJ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TISOZJL,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TIZLJSO,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
TIZLJOS,O,O,O,O,X,X,O,X,O,O,O,X,X,X,X,X
TIZLSJO,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O
TIZLSOJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O
TIZLOJS,O,X,O,O,X,X,O,X,O,O,O,X,X,X,O,X
