sequence,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeC7IvhF0cBxdBlgB/?qBOrBzrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeC7IvhFxdB0gBlhB/?qBOrBzrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeWAJvhF0cBxdB/mBT?gBlqBywB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeWAJvhFxdBlhBilB0?lBzrBXrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8Jez6IvhFqgBxdBlhB/?qB0mB2wB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeC7IvhFxdB0gBlhB/?qBmrBTrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeC7IvhF0cBxdBlgB2?qBzrBXrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeC7IvhF0cBxdBlgB/?qBmrBTrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8Jez6IvhFCcBxdBmlBf?sB0qBlrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8Jez6IvhFCcBxdBlhB/?qBmrBUrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeG7IvhFxdBUgBlhBy?qBzrBXrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeC7IvhFxdB0gBlhB2?qBzrBXrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeC7IvhF0cBxdB/qBF?mBzrBmqB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeG7IvhFxdBUgBihBf?sBlqBTrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8Jez6IvhFxdBclBlhBK?rBuqBfsB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeX8IvhFxdBUgBTmBa?sBFlBWwB
TIJSOZL,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TIJZLSO,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TIJZLOS,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
TIJZSLO,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X
TIJZSOL,O,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X
TIJZOLS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TIJZOSL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TIJOLSZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TIJOLZS,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X
TIJOSLZ,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TIJOSZL,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X
TIJOZLS,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
TIJOZSL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TISLJZO,O,X,O,X,O,O,X,O,X,X,X,X,X,O,X,X
TISLJOZ,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TISLZJO,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X
TISLZOJ,O,O,X,X,O,O,X,O,X,O,X,X,X,O,X,X
TISLOJZ,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
TISLOZJ,O,O,X,X,O,X,X,O,X,O,X,X,O,O,X,X
TISJLZO,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X
TISJLOZ,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TISJZLO,O,O,O,X,O,O,X,O,X,O,X,X,X,O,X,X
TISJZOL,O,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X
TISJOLZ,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TISJOZL,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TISZLJO,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X
TISZLOJ,O,O,X,X,O,O,X,O,X,O,X,X,X,O,X,X
TISZJLO,O,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X
TISZJOL,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X
TISZOLJ,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TISZOJL,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X
TISOLJZ,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X
TISOLZJ,O,O,X,X,O,X,X,O,X,O,O,X,O,O,X,X
TISOJLZ,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X
TISOJZL,O,O,O,X,X,X,X,X,X,O,X,O,O,X,X,X
TISOZLJ,O,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X
TISOZJL,O,O,O,X,X,X,X,X,O,X,X,X,O,O,X,X
TIZLJSO,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TIZLJOS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZLSJO,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TIZLSOJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZLOJS,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TIZLOSJ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TIZJLSO,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TIZJLOS,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
TIZJSLO,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X
TIZJSOL,O,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X
TIZJOLS,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
TIZJOSL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TIZSLJO,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X
TIZSLOJ,O,O,X,X,O,O,X,O,X,O,X,X,X,O,X,X
TIZSJLO,O,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X
TIZSJOL,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X
TIZSOLJ,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TIZSOJL,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X
TIZOLJS,O,X,X,O,X,X,O,X,X,O,O,X,X,X,O,X
TIZOLSJ,O,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X
TIZOJLS,O,X,X,O,X,X,O,X,O,O,X,O,X,X,X,X
TIZOJSL,O,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X
TIZOSLJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZOSJL,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X
TIOLJSZ,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TIOLJZS,O,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X
TIOLSJZ,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
TIOLSZJ,O,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X
TIOLZJS,O,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X
TIOLZSJ,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X
TIOJLSZ,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TIOJLZS,O,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X
TIOJSLZ,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X
TIOJSZL,O,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X
TIOJZLS,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X
TIOJZSL,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TIOSLJZ,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X
TIOSLZJ,O,O,X,X,O,X,X,X,X,O,O,X,O,O,X,X
TIOSJLZ,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X
TIOSJZL,O,O,O,X,X,X,X,X,X,O,X,O,O,X,X,X
TIOSZLJ,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X
TIOSZJL,O,O,O,X,X,X,X,X,O,X,X,X,O,O,X,X
TIOZLJS,O,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X
TIOZLSJ,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X
TIOZJLS,O,X,X,O,X,X,O,X,O,O,X,O,X,X,X,X
TIOZJSL,O,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X
TIOZSLJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOZSJL,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X
TLIJSZO,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X
TLIJSOZ,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
TLIJZSO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIJZOS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TLIJOSZ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TLIJOZS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TLISJZO,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X
TLISJOZ,O,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
TLISZJO,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X
TLISZOJ,O,O,O,X,O,O,X,O,X,O,X,X,X,O,X,X
TLISOJZ,O,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X
TLISOZJ,O,O,O,X,O,X,X,O,X,O,X,X,O,O,X,X
TLIZJSO,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TLIZJOS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLIZSJO,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TLIZSOJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIZOJS,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X
TLIZOSJ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
TLIOJSZ,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
TLIOJZS,O,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X
TLIOSJZ,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X
TLIOSZJ,O,O,O,X,X,X,X,X,X,O,O,X,O,X,X,X
TLIOZJS,O,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X
TLIOZSJ,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X
TLJISZO,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X
TLJISOZ,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
TLJIZSO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJIZOS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TLJIOSZ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TLJIOZS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TLJSIZO,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X
TLJSIOZ,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
TLJSZIO,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X
TLJSZOI,X,X,O,O,O,O,X,O,X,O,X,X,X,X,X,X
TLJSOIZ,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
TLJSOZI,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
TLJZISO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJZIOS,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X
TLJZSIO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSOI,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X
TLJZOIS,X,X,X,O,X,X,X,X,X,O,O,O,X,X,O,X
TLJZOSI,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X
TLJOISZ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TLJOIZS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TLJOSIZ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TLJOSZI,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZIS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TLJOZSI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJZO,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X
TLSIJOZ,O,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
TLSIZJO,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X
TLSIZOJ,O,O,O,X,O,O,X,O,X,O,X,X,X,O,X,X
TLSIOJZ,O,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X
TLSIOZJ,O,O,O,X,O,X,X,O,X,O,X,X,O,O,X,X
TLSJIZO,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X
TLSJIOZ,O,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
TLSJZIO,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X
TLSJZOI,O,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X
TLSJOIZ,O,X,O,O,O,X,X,O,X,O,X,X,O,X,X,X
TLSJOZI,O,X,O,O,O,X,X,O,X,X,X,X,O,X,X,X
TLSZIJO,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X
TLSZIOJ,O,O,O,X,O,O,X,O,X,O,X,X,X,O,X,X
TLSZJIO,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X
TLSZJOI,O,O,O,X,X,O,X,O,X,X,O,X,X,O,X,X
TLSZOIJ,O,O,O,X,O,O,X,O,X,O,X,X,O,O,O,X
TLSZOJI,X,O,O,X,O,O,X,X,X,X,X,X,O,O,O,X
TLSOIJZ,O,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X
TLSOIZJ,O,O,O,X,O,X,X,O,X,O,X,X,O,O,X,X
TLSOJIZ,O,X,O,X,O,X,X,O,X,O,X,X,O,X,X,X
TLSOJZI,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X
TLSOZIJ,O,O,O,X,O,X,X,O,X,O,X,X,O,O,X,X
TLSOZJI,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X
TLZIJSO,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TLZIJOS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLZISJO,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TLZISOJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZIOJS,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X
TLZIOSJ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
TLZJISO,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TLZJIOS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLZJSIO,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TLZJSOI,X,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X
TLZJOIS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X
TLZJOSI,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X
TLZSIJO,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TLZSIOJ,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TLZSJIO,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TLZSJOI,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X
TLZSOIJ,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X
TLZSOJI,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X
TLZOIJS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TLZOISJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TLZOJIS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TLZOJSI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TLZOSIJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLZOSJI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLOIJSZ,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
TLOIJZS,O,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X
TLOISJZ,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X
TLOISZJ,O,O,O,X,X,X,X,X,X,O,O,X,O,X,X,X
TLOIZJS,O,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X
TLOIZSJ,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X
TLOJISZ,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
TLOJIZS,O,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X
TLOJSIZ,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
TLOJSZI,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TLOJZIS,O,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X
TLOJZSI,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X
TLOSIJZ,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X
TLOSIZJ,O,O,O,X,X,X,X,X,X,O,O,X,O,X,X,X
TLOSJIZ,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TLOSJZI,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TLOSZIJ,O,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X
TLOSZJI,O,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X
TLOZIJS,O,X,X,O,X,X,O,X,X,O,O,X,X,X,O,X
TLOZISJ,O,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X
TLOZJIS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X
TLOZJSI,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X
TLOZSIJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TLOZSJI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TJILSZO,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X
TJILSOZ,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
TJILZSO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJILZOS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TJILOSZ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TJILOZS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TJISLZO,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X
TJISLOZ,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TJISZLO,O,O,O,X,O,O,X,O,X,O,X,X,X,O,X,X
TJISZOL,O,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X
TJISOLZ,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TJISOZL,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TJIZLSO,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TJIZLOS,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
TJIZSLO,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X
TJIZSOL,O,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X
TJIZOLS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TJIZOSL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TJIOLSZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TJIOLZS,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X
TJIOSLZ,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TJIOSZL,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X
TJIOZLS,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
TJIOZSL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJLISZO,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X
TJLISOZ,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
TJLIZSO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLIZOS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TJLIOSZ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TJLIOZS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TJLSIZO,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X
TJLSIOZ,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
TJLSZIO,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X
TJLSZOI,X,X,O,O,O,O,X,O,X,O,X,X,X,X,X,X
TJLSOIZ,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
TJLSOZI,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
TJLZISO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLZIOS,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X
TJLZSIO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLZSOI,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X
TJLZOIS,X,X,X,O,X,X,X,X,X,O,O,O,X,X,O,X
TJLZOSI,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X
TJLOISZ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TJLOIZS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TJLOSIZ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TJLOSZI,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJLOZIS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TJLOZSI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSILZO,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X
TJSILOZ,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TJSIZLO,O,O,O,X,O,O,X,O,X,O,X,X,X,O,X,X
TJSIZOL,O,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X
TJSIOLZ,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TJSIOZL,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TJSLIZO,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X
TJSLIOZ,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TJSLZIO,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X
TJSLZOI,O,X,O,O,O,O,X,O,X,O,X,X,X,O,X,X
TJSLOIZ,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TJSLOZI,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TJSZILO,O,O,O,X,O,O,X,O,X,O,X,X,X,O,X,X
TJSZIOL,O,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X
TJSZLIO,O,O,O,X,O,O,X,O,X,O,X,X,X,O,X,X
TJSZLOI,O,O,O,X,O,O,X,O,X,O,X,O,X,O,X,X
TJSZOIL,O,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X
