sequence,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8Jez7IvhFRdBSjB?UgB3hBmnBlrB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JefBJvhF6hBxdB?UgBTiBOoBlrB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JefBJvhFxcBTeB?UgBCiBmnBlrB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JeSAJvhFxcBTeB?lhBfoBmlB8rB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8Jez7IvhFuhBUgB?xiB/rBisBFtB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8Jez7IvhFCdBUgB?xiBOoB/rBFsB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JeWBJvhFxcBTeB?UgBymBfoBlrB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JeSAJvhFlcBTeB?xlBmnBcnB/rB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JefBJvhFxcBUgB?zhBCjBOoBlrB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JeT+IvhFFgBfoB?RmBmmBUmBCsB
ILJTOZS,O,X,X,X,X,X,X,O,X,X
ILJSTZO,O,X,X,X,O,X,X,O,X,X
ILJSTOZ,O,X,X,O,X,X,X,O,X,X
ILJSZTO,O,X,X,O,O,X,X,O,X,X
ILJSZOT,O,X,X,O,O,O,X,O,X,X
ILJSOTZ,O,X,X,O,X,X,X,O,X,X
ILJSOZT,O,X,X,O,O,X,X,O,X,X
ILJZTSO,O,X,X,O,X,X,X,O,X,X
ILJZTOS,O,X,X,O,X,X,X,O,X,X
ILJZSTO,O,X,X,O,O,X,X,O,X,X
ILJZSOT,O,X,X,O,O,X,X,O,X,X
ILJZOTS,O,X,X,X,X,O,X,O,X,X
ILJZOST,O,X,X,X,X,O,X,O,X,X
ILJOTSZ,O,X,X,X,X,X,X,O,X,X
ILJOTZS,O,X,X,X,X,X,X,O,X,X
ILJOSTZ,O,X,X,X,X,X,X,O,X,X
ILJOSZT,O,X,X,X,X,X,X,O,X,X
ILJOZTS,O,X,X,X,X,X,X,O,X,X
ILJOZST,O,X,X,X,X,X,X,O,X,X
ILSTJZO,O,X,X,X,O,X,X,X,X,X
ILSTJOZ,O,X,X,X,X,X,X,X,X,X
ILSTZJO,O,X,X,X,O,X,X,X,X,X
ILSTZOJ,O,X,X,X,O,O,X,X,X,X
ILSTOJZ,O,X,X,O,X,X,X,X,X,X
ILSTOZJ,O,X,X,O,X,X,X,X,X,X
ILSJTZO,O,X,X,X,O,X,X,O,X,X
ILSJTOZ,O,X,X,O,X,X,X,O,X,X
ILSJZTO,O,X,X,O,O,X,X,O,X,X
ILSJZOT,O,X,X,O,O,O,X,O,X,X
ILSJOTZ,O,X,X,O,X,X,X,O,X,X
ILSJOZT,O,X,X,O,O,X,X,O,X,X
ILSZTJO,O,X,X,O,O,X,X,X,X,X
ILSZTOJ,O,X,X,O,O,O,X,X,X,X
ILSZJTO,O,X,X,O,O,X,X,X,X,X
ILSZJOT,O,X,X,O,O,O,X,X,X,X
ILSZOTJ,O,X,X,O,O,O,X,X,X,X
ILSZOJT,O,X,X,O,O,O,X,X,X,X
ILSOTJZ,X,X,X,O,X,X,X,X,X,X
ILSOTZJ,X,X,X,O,X,X,X,X,X,X
ILSOJTZ,X,X,X,O,X,X,X,O,X,X
ILSOJZT,X,X,X,O,O,X,X,O,X,X
ILSOZTJ,X,X,X,O,O,O,X,X,X,X
ILSOZJT,X,X,X,O,O,O,X,X,X,X
ILZTJSO,O,X,X,O,X,X,X,X,X,X
ILZTJOS,O,X,X,X,X,X,X,X,X,X
ILZTSJO,O,X,X,O,O,O,X,X,X,X
ILZTSOJ,O,X,X,O,O,O,X,X,O,X
ILZTOJS,O,X,X,X,X,O,X,X,X,X
ILZTOSJ,O,X,X,O,X,X,X,X,O,X
ILZJTSO,O,X,X,O,X,X,X,O,X,X
ILZJTOS,O,X,X,O,X,X,X,O,X,X
ILZJSTO,O,X,X,O,O,X,X,O,X,X
ILZJSOT,O,X,X,O,O,X,X,O,X,X
ILZJOTS,O,X,X,X,X,O,X,O,X,X
ILZJOST,O,X,X,X,X,O,X,O,X,X
ILZSTJO,O,X,X,O,O,X,X,X,X,X
ILZSTOJ,O,X,X,O,O,O,X,X,O,X
ILZSJTO,O,X,X,O,O,X,X,X,X,X
ILZSJOT,O,X,X,O,O,O,X,X,X,X
ILZSOTJ,O,X,X,O,O,O,X,X,X,X
ILZSOJT,O,X,X,O,O,O,X,X,X,X
ILZOTJS,O,X,X,X,X,O,X,X,X,X
ILZOTSJ,O,X,X,X,X,X,X,X,X,X
ILZOJTS,O,X,X,X,X,O,X,O,X,X
ILZOJST,O,X,X,X,X,O,X,O,X,X
ILZOSTJ,O,X,X,X,O,X,X,X,X,X
ILZOSJT,O,X,X,X,O,O,X,X,X,X
ILOTJSZ,O,X,X,X,X,X,X,O,X,X
ILOTJZS,O,X,X,X,X,X,X,O,X,X
ILOTSJZ,O,X,X,X,X,X,X,X,X,X
ILOTSZJ,O,X,X,X,X,X,X,X,X,X
ILOTZJS,O,X,X,X,X,X,X,X,X,X
ILOTZSJ,O,X,X,X,X,X,X,X,X,X
ILOJTSZ,O,X,X,X,X,X,X,O,X,X
ILOJTZS,O,X,X,X,X,X,X,O,X,X
ILOJSTZ,O,X,X,X,X,X,X,O,X,X
ILOJSZT,O,X,X,X,X,X,X,O,X,X
ILOJZTS,O,X,X,X,X,X,X,O,X,X
ILOJZST,O,X,X,X,X,X,X,O,X,X
ILOSTJZ,X,X,X,X,X,X,X,X,X,X
ILOSTZJ,X,X,X,X,X,X,X,X,X,X
ILOSJTZ,X,X,X,X,X,X,X,O,X,X
ILOSJZT,X,X,X,X,O,X,X,O,X,X
ILOSZTJ,X,X,X,X,O,O,X,X,X,X
ILOSZJT,X,X,X,X,O,O,X,X,X,X
ILOZTJS,O,X,X,X,X,O,X,X,X,X
ILOZTSJ,O,X,X,X,X,X,X,X,X,X
ILOZJTS,O,X,X,X,X,O,X,O,X,X
ILOZJST,O,X,X,X,X,O,X,O,X,X
ILOZSTJ,O,X,X,X,O,X,X,X,X,X
ILOZSJT,O,X,X,X,O,O,X,X,X,X
IJTLSZO,O,O,O,X,X,X,X,O,X,X
IJTLSOZ,O,O,O,X,X,X,X,O,X,X
IJTLZSO,O,O,O,X,X,X,X,O,X,X
IJTLZOS,O,O,O,X,X,X,X,O,X,X
IJTLOSZ,O,O,O,X,X,X,X,O,X,X
IJTLOZS,O,O,O,X,X,X,X,O,X,X
IJTSLZO,O,O,O,X,X,O,X,O,X,X
IJTSLOZ,O,O,O,X,X,X,X,O,X,X
IJTSZLO,O,O,O,X,X,O,X,O,X,X
IJTSZOL,O,O,O,X,X,O,X,O,X,X
IJTSOLZ,O,O,O,X,X,X,X,O,X,X
IJTSOZL,O,O,O,X,X,X,X,O,X,X
IJTZLSO,O,O,O,X,X,X,X,O,X,X
IJTZLOS,O,O,O,X,X,X,X,O,X,X
IJTZSLO,O,O,O,X,X,O,X,O,X,X
IJTZSOL,O,O,O,X,X,O,X,O,X,X
IJTZOLS,O,O,O,X,X,X,X,O,X,X
IJTZOSL,X,O,O,X,X,X,X,O,X,X
IJTOLSZ,X,O,O,X,X,X,X,O,X,X
IJTOLZS,X,O,O,X,X,X,X,O,X,X
IJTOSLZ,X,O,O,X,X,X,X,O,X,X
IJTOSZL,X,O,O,X,X,X,X,O,X,X
IJTOZLS,X,O,O,X,X,X,X,O,X,X
IJTOZSL,X,O,O,X,X,X,X,O,X,X
IJLTSZO,O,O,X,X,X,X,X,O,X,X
IJLTSOZ,O,O,X,X,X,X,X,O,X,X
IJLTZSO,O,O,X,X,X,X,X,O,X,X
IJLTZOS,O,O,X,X,X,X,X,O,X,X
IJLTOSZ,O,O,X,X,X,X,X,O,X,X
IJLTOZS,O,O,X,X,X,X,X,O,X,X
IJLSTZO,O,X,X,X,O,X,X,O,X,X
IJLSTOZ,O,X,X,O,X,X,X,O,X,X
IJLSZTO,O,X,X,O,O,X,X,O,X,X
IJLSZOT,O,X,X,O,O,O,X,O,X,X
IJLSOTZ,O,X,X,O,X,X,X,O,X,X
IJLSOZT,O,X,X,O,O,X,X,O,X,X
IJLZTSO,O,O,X,O,X,X,X,O,X,X
IJLZTOS,O,O,X,O,X,X,X,O,X,X
IJLZSTO,O,O,O,O,O,X,X,O,X,X
IJLZSOT,O,O,O,O,O,X,X,O,X,X
IJLZOTS,O,O,X,X,X,O,X,O,X,X
IJLZOST,O,O,O,X,X,O,X,O,X,X
IJLOTSZ,O,O,X,X,X,X,X,O,X,X
IJLOTZS,O,O,X,X,X,X,X,O,X,X
IJLOSTZ,O,X,X,X,X,X,X,O,X,X
IJLOSZT,O,X,X,X,X,X,X,O,X,X
IJLOZTS,O,O,X,X,X,X,X,O,X,X
IJLOZST,O,O,O,X,X,X,X,O,X,X
IJSTLZO,O,O,X,X,X,X,X,O,X,X
IJSTLOZ,O,O,X,O,X,X,X,O,X,X
IJSTZLO,O,O,X,X,X,X,X,O,X,X
IJSTZOL,O,O,X,X,O,X,X,O,X,X
IJSTOLZ,O,O,X,O,X,X,X,O,X,X
IJSTOZL,X,O,X,X,X,X,X,O,X,X
IJSLTZO,O,X,X,X,X,X,X,O,X,X
IJSLTOZ,O,X,X,O,X,X,X,O,X,X
IJSLZTO,O,X,X,O,X,X,X,O,X,X
IJSLZOT,O,X,X,O,O,O,X,O,X,X
IJSLOTZ,O,X,X,O,X,X,X,O,X,X
IJSLOZT,O,X,X,O,X,X,X,O,X,X
IJSZTLO,O,O,X,O,X,X,X,O,X,X
IJSZTOL,O,O,X,O,O,X,X,O,X,X
IJSZLTO,O,O,X,O,X,X,X,O,X,X
IJSZLOT,O,O,X,O,O,O,X,O,X,X
IJSZOTL,O,O,X,O,O,X,X,O,X,X
IJSZOLT,O,O,X,O,O,O,X,O,X,X
IJSOTLZ,O,O,X,O,X,X,X,O,X,X
IJSOTZL,X,O,X,X,X,X,X,O,X,X
IJSOLTZ,O,X,X,O,X,X,X,O,X,X
IJSOLZT,O,X,X,O,X,X,X,O,X,X
IJSOZTL,O,O,X,O,O,X,X,O,X,X
IJSOZLT,O,O,X,O,O,X,X,O,X,X
IJZTLSO,O,O,O,O,X,X,X,O,X,X
IJZTLOS,O,O,O,O,X,X,X,O,X,X
IJZTSLO,O,O,O,O,X,O,X,O,X,X
IJZTSOL,O,O,O,O,X,O,X,O,X,X
IJZTOLS,O,O,O,O,X,X,X,O,X,X
IJZTOSL,X,O,O,O,X,X,X,O,X,X
IJZLTSO,O,O,X,O,X,X,X,O,X,X
IJZLTOS,O,O,X,O,X,X,X,O,X,X
IJZLSTO,O,O,O,O,O,X,X,O,X,X
IJZLSOT,O,O,O,O,O,X,X,O,X,X
IJZLOTS,O,O,X,X,X,O,X,O,X,X
IJZLOST,O,O,O,X,X,O,X,O,X,X
IJZSTLO,O,O,O,O,X,X,X,O,X,X
IJZSTOL,O,O,O,O,O,X,X,O,X,X
IJZSLTO,O,O,O,O,X,X,X,O,X,X
IJZSLOT,O,O,O,O,O,O,X,O,X,X
IJZSOTL,O,O,O,O,O,X,X,O,X,X
IJZSOLT,O,O,O,O,O,O,X,O,X,X
IJZOTLS,X,O,O,X,X,X,X,O,X,X
IJZOTSL,X,O,O,X,X,X,X,O,X,X
IJZOLTS,O,O,X,X,X,O,X,O,X,X
IJZOLST,O,O,O,X,X,O,X,O,X,X
IJZOSTL,X,O,O,X,X,X,X,O,X,X
IJZOSLT,X,O,O,X,X,X,X,O,X,X
IJOTLSZ,X,O,O,X,X,X,X,O,X,X
IJOTLZS,X,O,O,X,X,X,X,O,X,X
IJOTSLZ,X,O,O,X,X,X,X,O,X,X
IJOTSZL,X,O,O,X,X,X,X,O,X,X
IJOTZLS,X,O,O,X,X,X,X,O,X,X
IJOTZSL,X,O,O,X,X,X,X,O,X,X
IJOLTSZ,X,O,X,X,X,X,X,O,X,X
IJOLTZS,X,O,X,X,X,X,X,O,X,X
IJOLSTZ,X,X,X,X,X,X,X,O,X,X
IJOLSZT,X,X,X,X,X,X,X,O,X,X
IJOLZTS,X,O,X,X,X,X,X,O,X,X
IJOLZST,X,O,O,X,X,X,X,O,X,X
IJOSTLZ,X,O,X,X,X,X,X,O,X,X
IJOSTZL,X,O,X,X,X,X,X,O,X,X
IJOSLTZ,X,X,X,X,X,X,X,O,X,X
IJOSLZT,X,X,X,X,X,X,X,O,X,X
IJOSZTL,X,O,X,X,X,X,X,O,X,X
IJOSZLT,X,O,X,X,X,X,X,O,X,X
IJOZTLS,X,O,O,X,X,X,X,O,X,X
IJOZTSL,X,O,O,X,X,X,X,O,X,X
IJOZLTS,X,O,X,X,X,X,X,O,X,X
IJOZLST,X,O,O,X,X,X,X,O,X,X
IJOZSTL,X,O,O,X,X,X,X,O,X,X
IJOZSLT,X,O,O,X,X,X,X,O,X,X
ISTLJZO,X,X,X,X,X,O,O,X,X,X
ISTLJOZ,X,X,X,X,X,X,O,X,X,O
ISTLZJO,X,X,X,X,X,O,O,X,X,X
ISTLZOJ,X,X,X,X,X,O,O,X,X,X
ISTLOJZ,X,X,X,O,X,X,O,X,X,O
ISTLOZJ,X,X,X,O,X,O,O,X,X,X
ISTJLZO,X,X,X,X,X,O,O,X,X,X
ISTJLOZ,X,X,X,O,X,X,O,X,X,O
ISTJZLO,X,X,X,X,X,O,X,X,X,X
ISTJZOL,X,X,X,X,O,O,X,X,X,O
ISTJOLZ,X,X,X,O,X,X,O,X,X,O
ISTJOZL,X,X,X,X,X,X,X,X,X,O
ISTZLJO,X,X,X,X,X,O,O,X,X,X
ISTZLOJ,X,X,X,X,X,O,O,X,X,X
ISTZJLO,X,X,X,X,X,O,O,X,X,X
ISTZJOL,X,X,X,X,O,O,O,X,X,O
ISTZOLJ,X,X,X,X,X,O,O,X,X,X
ISTZOJL,X,X,X,X,O,O,O,X,X,O
ISTOLJZ,X,X,X,O,X,X,O,X,X,O
ISTOLZJ,X,X,X,O,X,O,O,X,X,X
ISTOJLZ,X,X,X,O,X,X,O,X,X,O
ISTOJZL,X,X,X,X,X,X,X,X,X,O
ISTOZLJ,X,X,X,X,X,O,O,X,X,X
ISTOZJL,X,X,X,X,X,O,O,X,X,O
ISLTJZO,X,X,X,X,O,X,X,X,X,X
ISLTJOZ,X,X,X,X,X,X,X,X,X,X
ISLTZJO,X,X,X,X,O,X,X,X,X,X
ISLTZOJ,X,X,X,X,O,O,X,X,X,X
ISLTOJZ,X,X,X,O,X,X,X,X,X,X
ISLTOZJ,X,X,X,O,X,X,X,X,X,X
ISLJTZO,X,X,X,X,O,X,X,O,X,X
ISLJTOZ,X,X,X,O,X,X,X,O,X,X
ISLJZTO,X,X,X,O,O,X,X,O,X,X
ISLJZOT,X,X,X,O,O,O,X,O,X,X
ISLJOTZ,X,X,X,O,X,X,X,O,X,X
ISLJOZT,X,X,X,O,O,X,X,O,X,X
ISLZTJO,X,X,X,O,O,X,X,X,X,X
ISLZTOJ,X,X,X,O,O,O,X,X,X,X
ISLZJTO,X,X,X,O,O,X,X,X,X,X
ISLZJOT,X,X,X,O,O,O,X,X,X,X
ISLZOTJ,X,X,X,O,O,O,X,X,X,X
ISLZOJT,X,X,X,O,O,O,X,X,X,X
ISLOTJZ,X,X,X,O,X,X,X,X,X,X
ISLOTZJ,X,X,X,O,X,X,X,X,X,X
ISLOJTZ,X,X,X,O,X,X,X,O,X,X
ISLOJZT,X,X,X,O,O,X,X,O,X,X
ISLOZTJ,X,X,X,O,O,O,X,X,X,X
ISLOZJT,X,X,X,O,O,O,X,X,X,X
ISJTLZO,X,X,X,X,X,X,X,O,X,X
ISJTLOZ,X,X,X,O,X,X,X,O,X,X
ISJTZLO,X,X,X,X,X,X,X,O,X,X
ISJTZOL,X,X,X,X,O,X,X,O,X,X
ISJTOLZ,X,X,X,O,X,X,X,O,X,X
ISJTOZL,X,X,X,X,X,X,X,O,X,X
ISJLTZO,X,X,X,X,O,X,X,O,X,X
ISJLTOZ,X,X,X,O,X,X,X,O,X,X
ISJLZTO,X,X,X,O,O,X,X,O,X,X
ISJLZOT,X,X,X,O,O,O,X,O,X,X
ISJLOTZ,X,X,X,O,X,X,X,O,X,X
ISJLOZT,X,X,X,O,O,X,X,O,X,X
ISJZTLO,X,X,X,O,X,X,X,O,X,X
ISJZTOL,X,X,X,O,O,X,X,O,X,X
ISJZLTO,X,X,X,O,O,X,X,O,X,X
ISJZLOT,X,X,X,O,O,O,X,O,X,X
ISJZOTL,X,X,X,O,O,X,X,O,X,X
ISJZOLT,X,X,X,O,O,O,X,O,X,X
ISJOTLZ,X,X,X,O,X,X,X,O,X,X
ISJOTZL,X,X,X,X,X,X,X,O,X,X
ISJOLTZ,X,X,X,O,X,X,X,O,X,X
ISJOLZT,X,X,X,O,X,X,X,O,X,X
ISJOZTL,X,X,X,O,O,X,X,O,X,X
ISJOZLT,X,X,X,O,O,X,X,O,X,X
ISZTLJO,X,X,X,O,X,O,O,X,X,X
ISZTLOJ,X,X,X,O,X,O,O,X,X,X
ISZTJLO,X,X,X,O,X,O,O,X,X,X
ISZTJOL,X,X,X,O,O,O,O,X,X,X
ISZTOLJ,X,X,X,O,X,O,O,X,X,X
ISZTOJL,X,X,X,O,O,O,O,X,X,X
ISZLTJO,X,X,X,O,O,X,X,X,X,X
ISZLTOJ,X,X,X,O,O,O,X,X,X,X
ISZLJTO,X,X,X,O,O,X,X,X,X,X
ISZLJOT,X,X,X,O,O,O,X,X,X,X
ISZLOTJ,X,X,X,O,O,O,X,X,X,X
ISZLOJT,X,X,X,O,O,O,X,X,X,X
ISZJTLO,X,X,X,O,X,X,X,X,X,X
ISZJTOL,X,X,X,O,O,X,X,X,X,X
ISZJLTO,X,X,X,O,O,X,X,X,X,X
ISZJLOT,X,X,X,O,O,O,X,X,X,X
ISZJOTL,X,X,X,O,O,X,X,X,X,X
ISZJOLT,X,X,X,O,O,O,X,X,X,X
ISZOTLJ,X,X,X,O,X,O,O,X,X,X
ISZOTJL,X,X,X,O,O,O,O,X,X,X
ISZOLTJ,X,X,X,O,O,O,X,X,X,X
ISZOLJT,X,X,X,O,O,O,X,X,X,X
ISZOJTL,X,X,X,O,O,X,X,X,X,X
ISZOJLT,X,X,X,O,O,O,X,X,X,X
ISOTLJZ,X,X,X,O,X,X,O,X,X,O
ISOTLZJ,X,X,X,O,X,X,O,X,X,X
ISOTJLZ,X,X,X,O,X,X,O,X,X,O
ISOTJZL,X,X,X,X,X,X,X,X,X,O
ISOTZLJ,X,X,X,X,X,X,O,X,X,X
ISOTZJL,X,X,X,X,X,X,O,X,X,O
ISOLTJZ,X,X,X,O,X,X,X,X,X,X
ISOLTZJ,X,X,X,O,X,X,X,X,X,X
ISOLJTZ,X,X,X,O,X,X,X,O,X,X
ISOLJZT,X,X,X,O,X,X,X,O,X,X
ISOLZTJ,X,X,X,O,X,O,X,X,X,X
ISOLZJT,X,X,X,O,X,O,X,X,X,X
ISOJTLZ,X,X,X,O,X,X,X,O,X,X
ISOJTZL,X,X,X,X,X,X,X,O,X,X
ISOJLTZ,X,X,X,O,X,X,X,O,X,X
ISOJLZT,X,X,X,O,X,X,X,O,X,X
ISOJZTL,X,X,X,O,O,X,X,O,X,X
ISOJZLT,X,X,X,O,O,X,X,O,X,X
ISOZTLJ,X,X,X,O,X,O,O,X,X,X
ISOZTJL,X,X,X,O,O,X,O,X,X,X
ISOZLTJ,X,X,X,O,X,O,X,X,X,X
ISOZLJT,X,X,X,O,O,O,X,X,X,X
ISOZJTL,X,X,X,O,O,X,X,X,X,X
ISOZJLT,X,X,X,O,O,O,X,X,X,X
IZTLJSO,O,X,O,O,X,X,O,X,X,X
IZTLJOS,O,X,O,O,X,X,O,X,X,X
IZTLSJO,O,X,O,O,O,O,O,X,X,X
IZTLSOJ,O,X,O,O,O,O,O,X,O,X
IZTLOJS,O,X,X,X,X,O,O,X,X,X
IZTLOSJ,O,X,O,O,X,X,O,X,O,X
IZTJLSO,O,O,O,O,X,X,O,X,X,X
IZTJLOS,O,O,O,O,X,X,O,X,X,X
IZTJSLO,O,O,O,O,X,O,O,X,X,X
IZTJSOL,O,O,O,O,X,O,O,X,X,X
IZTJOLS,O,O,O,O,X,X,O,X,X,X
IZTJOSL,X,O,O,O,X,X,O,X,X,X
IZTSLJO,O,O,O,O,X,O,O,X,X,X
IZTSLOJ,O,O,O,O,X,O,O,X,O,X
IZTSJLO,O,O,O,O,X,O,O,X,X,X
IZTSJOL,O,O,O,O,O,O,O,X,X,X
IZTSOLJ,O,O,O,O,X,O,O,X,O,X
IZTSOJL,O,O,O,O,O,O,O,X,O,X
IZTOLJS,O,X,X,X,X,O,X,X,X,X
IZTOLSJ,O,O,O,O,X,X,X,X,O,X
IZTOJLS,O,O,O,O,X,X,X,X,X,X
IZTOJSL,X,O,O,O,X,X,X,X,X,X
IZTOSLJ,O,O,O,O,X,O,X,X,O,X
IZTOSJL,O,O,O,O,X,O,X,X,O,X
IZLTJSO,O,X,X,O,X,X,X,X,X,X
IZLTJOS,O,X,X,X,X,X,X,X,X,X
IZLTSJO,O,X,X,O,O,O,X,X,X,X
IZLTSOJ,O,X,X,O,O,O,X,X,O,X
IZLTOJS,O,X,X,X,X,O,X,X,X,X
IZLTOSJ,O,X,X,O,X,X,X,X,O,X
IZLJTSO,O,X,X,O,X,X,X,O,X,X
IZLJTOS,O,X,X,O,X,X,X,O,X,X
IZLJSTO,O,X,X,O,O,X,X,O,X,X
IZLJSOT,O,X,X,O,O,X,X,O,X,X
IZLJOTS,O,X,X,X,X,O,X,O,X,X
IZLJOST,O,X,X,X,X,O,X,O,X,X
IZLSTJO,O,X,X,O,O,X,X,X,X,X
IZLSTOJ,O,X,X,O,O,O,X,X,O,X
IZLSJTO,O,X,X,O,O,X,X,X,X,X
IZLSJOT,O,X,X,O,O,O,X,X,X,X
IZLSOTJ,O,X,X,O,O,O,X,X,X,X
IZLSOJT,O,X,X,O,O,O,X,X,X,X
IZLOTJS,O,X,X,X,X,O,X,X,X,X
IZLOTSJ,O,X,X,X,X,X,X,X,X,X
IZLOJTS,O,X,X,X,X,O,X,O,X,X
IZLOJST,O,X,X,X,X,O,X,O,X,X
IZLOSTJ,O,X,X,X,O,X,X,X,X,X
IZLOSJT,O,X,X,X,O,O,X,X,X,X
IZJTLSO,O,O,O,O,X,X,O,O,X,X
IZJTLOS,O,O,O,O,X,X,O,O,X,X
IZJTSLO,O,O,O,O,X,O,O,O,X,X
IZJTSOL,O,O,O,O,X,O,O,O,X,X
IZJTOLS,O,O,O,O,X,X,O,O,X,X
IZJTOSL,X,O,O,O,X,X,O,O,X,X
IZJLTSO,O,O,X,O,X,X,O,O,X,X
IZJLTOS,O,O,X,O,X,X,O,O,X,X
IZJLSTO,O,O,O,O,O,X,X,O,X,X
IZJLSOT,O,O,O,O,O,X,X,O,X,X
IZJLOTS,O,O,X,X,X,O,X,O,X,X
IZJLOST,O,O,O,X,X,O,X,O,X,X
IZJSTLO,O,O,O,O,X,X,O,O,X,X
IZJSTOL,O,O,O,O,O,X,O,O,X,X
IZJSLTO,O,O,O,O,X,X,X,O,X,X
IZJSLOT,O,O,O,O,O,O,X,O,X,X
IZJSOTL,O,O,O,O,O,X,X,O,X,X
IZJSOLT,O,O,O,O,O,O,X,O,X,X
IZJOTLS,X,O,O,X,X,X,O,O,X,X
IZJOTSL,X,O,O,X,X,X,O,O,X,X
IZJOLTS,O,O,X,X,X,O,X,O,X,X
IZJOLST,O,O,O,X,X,O,X,O,X,X
IZJOSTL,X,O,O,X,X,X,X,O,X,X
IZJOSLT,X,O,O,X,X,X,X,O,X,X
IZSTLJO,X,O,O,O,X,O,O,X,X,X
IZSTLOJ,X,O,O,O,X,O,O,X,O,X
IZSTJLO,X,O,O,O,X,O,O,X,X,X
IZSTJOL,X,O,O,O,O,O,O,X,X,X
IZSTOLJ,X,O,O,O,X,O,O,X,O,X
IZSTOJL,X,O,O,O,O,O,O,X,O,X
IZSLTJO,X,X,O,O,O,X,X,X,X,X
IZSLTOJ,X,X,O,O,O,O,X,X,O,X
IZSLJTO,X,O,O,O,O,X,X,X,X,X
IZSLJOT,X,O,O,O,O,O,X,X,X,X
IZSLOTJ,X,O,O,O,O,O,X,X,X,X
IZSLOJT,X,O,O,O,O,O,X,X,X,X
IZSJTLO,X,O,O,O,X,X,X,X,X,X
IZSJTOL,X,O,O,O,O,X,X,X,X,X
IZSJLTO,X,O,O,O,O,X,X,X,X,X
IZSJLOT,X,O,O,O,O,O,X,X,X,X
IZSJOTL,X,O,O,O,O,X,X,X,X,X
IZSJOLT,X,O,O,O,O,O,X,X,X,X
IZSOTLJ,X,O,O,O,X,O,O,X,X,X
IZSOTJL,X,X,O,O,O,O,O,X,X,X
IZSOLTJ,X,O,O,O,O,O,X,X,X,X
IZSOLJT,X,O,O,O,O,O,X,X,X,X
IZSOJTL,X,O,O,O,O,X,X,X,X,X
IZSOJLT,X,O,O,O,O,O,X,X,X,X
IZOTLJS,O,X,X,X,X,O,X,X,X,X
IZOTLSJ,O,O,O,X,X,X,X,X,X,X
IZOTJLS,O,O,O,X,X,X,X,X,X,X
IZOTJSL,X,O,O,X,X,X,X,X,X,X
IZOTSLJ,O,O,O,X,X,O,X,X,X,X
IZOTSJL,O,O,O,X,X,O,X,X,X,X
IZOLTJS,O,X,X,X,X,O,X,X,X,X
IZOLTSJ,O,O,X,X,X,X,X,X,X,X
IZOLJTS,O,X,X,X,X,O,X,O,X,X
IZOLJST,O,X,X,X,X,O,X,O,X,X
IZOLSTJ,O,O,X,X,O,X,X,X,X,X
IZOLSJT,O,O,X,X,O,O,X,X,X,X
IZOJTLS,X,O,O,X,X,X,X,O,X,X
IZOJTSL,X,O,O,X,X,X,X,O,X,X
IZOJLTS,O,O,X,X,X,O,X,O,X,X
IZOJLST,O,O,O,X,X,O,X,O,X,X
IZOJSTL,X,O,O,X,X,X,X,O,X,X
IZOJSLT,X,O,O,X,X,X,X,O,X,X
IZOSTLJ,X,O,O,X,X,O,X,X,X,X
IZOSTJL,X,O,O,X,O,O,X,X,X,X
IZOSLTJ,X,O,O,X,O,O,X,X,X,X
IZOSLJT,X,O,O,X,O,O,X,X,X,X
IZOSJTL,X,O,O,X,O,X,X,X,X,X
IZOSJLT,X,O,O,X,O,O,X,X,X,X
IOTLJSZ,X,X,X,X,X,X,X,O,X,X
IOTLJZS,X,X,X,X,X,X,X,O,X,X
IOTLSJZ,X,O,O,X,X,X,X,X,X,X
IOTLSZJ,X,O,O,X,X,X,X,X,X,X
IOTLZJS,X,X,X,X,X,X,X,X,X,X
IOTLZSJ,X,O,O,X,X,X,X,X,X,X
IOTJLSZ,X,O,O,X,X,X,X,O,X,X
IOTJLZS,X,O,O,X,X,X,X,O,X,X
IOTJSLZ,X,O,O,X,X,X,X,O,X,X
IOTJSZL,X,O,O,X,X,X,X,O,X,X
IOTJZLS,X,O,O,X,X,X,X,O,X,X
IOTJZSL,X,O,O,X,X,X,X,O,X,X
IOTSLJZ,X,O,O,X,X,X,X,X,X,X
IOTSLZJ,X,O,O,X,X,O,X,X,X,X
IOTSJLZ,X,O,O,X,X,X,X,X,X,X
IOTSJZL,X,O,O,X,X,X,X,X,X,X
IOTSZLJ,X,O,O,X,X,O,X,X,X,X
IOTSZJL,X,O,O,X,X,O,X,X,X,X
IOTZLJS,X,X,X,X,X,X,X,X,X,X
IOTZLSJ,X,O,O,X,X,X,X,X,X,X
IOTZJLS,X,O,O,X,X,X,X,X,X,X
IOTZJSL,X,O,O,X,X,X,X,X,X,X
IOTZSLJ,X,O,O,X,X,O,X,X,X,X
