sequence,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8Jez7IvhFRdBSjB?UgB3hBmnBlrB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JefBJvhF6hBxdB?UgBTiBOoBlrB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JefBJvhFxcBTeB?UgBCiBmnBlrB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JeSAJvhFxcBTeB?lhBfoBmlB8rB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8Jez7IvhFuhBUgB?xiB/rBisBFtB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8Jez7IvhFCdBUgB?xiBOoB/rBFsB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JeWBJvhFxcBTeB?UgBymBfoBlrB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JeSAJvhFlcBTeB?xlBmnBcnB/rB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JefBJvhFxcBUgB?zhBCjBOoBlrB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JeT+IvhFFgBfoB?RmBmmBUmBCsB
TLSOJZI,O,O,O,O,X,X,O,X,X,X
TLSOZIJ,O,O,O,O,X,X,O,X,O,X
TLSOZJI,O,O,O,O,X,X,O,X,O,X
TLZIJSO,O,X,O,O,X,X,O,X,X,X
TLZIJOS,O,X,O,X,X,X,O,X,X,X
TLZISJO,O,X,O,O,O,O,O,X,X,X
TLZISOJ,O,X,O,O,O,O,O,X,O,X
TLZIOJS,O,X,X,X,X,X,O,X,X,X
TLZIOSJ,O,X,O,O,X,X,O,X,O,X
TLZJISO,O,O,O,O,X,X,O,X,X,X
TLZJIOS,O,O,O,O,X,X,O,X,X,X
TLZJSIO,O,O,O,O,X,X,O,X,X,X
TLZJSOI,O,O,O,O,X,X,O,X,O,X
TLZJOIS,O,O,O,O,X,X,O,X,X,X
TLZJOSI,O,O,O,O,X,X,O,X,O,X
TLZSIJO,O,O,O,O,O,X,O,X,X,X
TLZSIOJ,O,O,O,O,O,X,O,X,O,X
TLZSJIO,O,O,O,O,O,X,O,X,X,X
TLZSJOI,O,O,O,O,O,X,O,X,O,X
TLZSOIJ,O,O,O,O,O,X,O,X,O,X
TLZSOJI,O,O,O,O,O,X,O,X,O,X
TLZOIJS,O,X,X,X,X,X,O,X,X,X
TLZOISJ,O,O,O,O,X,X,O,X,O,X
TLZOJIS,O,O,O,X,X,X,O,X,X,X
TLZOJSI,O,O,O,X,X,X,O,X,O,X
TLZOSIJ,O,O,O,O,X,X,O,X,O,X
TLZOSJI,O,O,O,O,X,X,O,X,O,X
TLOIJSZ,O,X,X,X,X,X,O,O,X,X
TLOIJZS,O,X,X,X,X,X,X,O,X,X
TLOISJZ,O,O,O,X,X,X,O,X,X,X
TLOISZJ,O,O,O,X,X,X,O,X,X,X
TLOIZJS,O,X,X,X,X,X,X,X,X,X
TLOIZSJ,O,O,O,X,X,X,X,X,O,X
TLOJISZ,O,O,O,X,X,X,O,O,X,X
TLOJIZS,O,O,O,X,X,X,X,O,X,X
TLOJSIZ,O,O,O,X,X,X,O,X,X,X
TLOJSZI,O,O,O,X,X,X,O,X,X,X
TLOJZIS,O,O,O,X,X,X,X,X,X,X
TLOJZSI,O,O,O,X,X,X,X,X,O,X
TLOSIJZ,O,O,O,X,X,X,O,X,X,X
TLOSIZJ,O,O,O,X,X,X,O,X,X,X
TLOSJIZ,O,O,O,X,X,X,O,X,X,X
TLOSJZI,X,O,O,X,X,X,O,X,X,X
TLOSZIJ,O,O,O,X,X,X,O,X,O,X
TLOSZJI,O,O,O,X,X,X,O,X,O,X
TLOZIJS,O,X,X,X,X,X,O,X,X,X
TLOZISJ,O,O,O,X,X,X,O,X,O,X
TLOZJIS,O,O,O,X,X,X,O,X,X,X
TLOZJSI,O,O,O,X,X,X,O,X,O,X
TLOZSIJ,O,O,O,X,X,X,O,X,O,X
TLOZSJI,O,O,O,X,X,X,O,X,O,X
TJILSZO,O,O,O,X,X,X,X,O,X,X
TJILSOZ,O,O,O,X,X,X,X,O,X,X
TJILZSO,O,O,O,X,X,X,X,O,X,X
TJILZOS,O,O,O,X,X,X,X,O,X,X
TJILOSZ,O,O,O,X,X,X,X,O,X,X
TJILOZS,O,O,O,X,X,X,X,O,X,X
TJISLZO,O,O,O,X,X,O,X,O,X,X
TJISLOZ,O,O,O,X,X,X,X,O,X,O
TJISZLO,O,O,O,X,X,O,X,O,X,X
TJISZOL,O,O,O,X,X,O,X,O,X,O
TJISOLZ,O,O,O,X,X,X,X,O,X,O
TJISOZL,O,O,O,X,X,X,X,O,X,O
TJIZLSO,O,O,O,X,X,X,X,O,X,X
TJIZLOS,O,O,O,X,X,X,X,O,X,X
TJIZSLO,O,O,O,X,X,O,X,O,X,X
TJIZSOL,O,O,O,X,X,O,X,O,X,X
TJIZOLS,O,O,O,X,X,X,X,O,X,X
TJIZOSL,X,O,O,X,X,X,X,O,X,X
TJIOLSZ,X,O,O,X,X,X,X,O,X,X
TJIOLZS,X,O,O,X,X,X,X,O,X,X
TJIOSLZ,X,O,O,X,X,X,X,O,X,X
TJIOSZL,X,O,O,X,X,X,X,O,X,X
TJIOZLS,X,O,O,X,X,X,X,O,X,X
TJIOZSL,X,O,O,X,X,X,X,O,X,X
TJLISZO,O,O,O,X,X,X,O,O,X,X
TJLISOZ,O,O,O,X,X,X,O,O,X,X
TJLIZSO,O,O,O,X,X,X,O,O,X,X
TJLIZOS,O,O,O,X,X,X,X,O,X,X
TJLIOSZ,O,O,O,X,X,X,O,O,X,X
TJLIOZS,O,O,O,X,X,X,X,O,X,X
TJLSIZO,O,O,O,X,X,X,O,X,X,X
TJLSIOZ,O,O,O,O,X,X,O,X,X,X
TJLSZIO,O,O,O,O,X,X,O,X,X,X
TJLSZOI,O,O,O,O,X,X,O,X,X,X
TJLSOIZ,O,O,O,O,X,X,O,X,X,X
