sequence,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Jex7IvhF6iBTeB?XgBlhBcqBerB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Jex8IvhFTeBGiB?FlBXmBiqB0qB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Je08IvhFxdBCjB?FlBXmBmqBTqB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8JeT+IvhFXgBxhB?GiBFmB0qBiqB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Je/AJvhFRcBGeB?ThBliBUlByvB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Jex8IvhFTeBlgB?GiBaqBXmB0qB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Je07IvhFxcBTeB?VlBGiBiqBXrB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Jex8IvhFTeBGiB?UlBFmBKqBfrB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Je6CJvhFTeBlhB?RlBOqBXmB0qB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Jex9IvhF0gBlhB?CjBXgBOrBTqB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Je6CJvhFTeBRhB?UlBFmBOqBXrB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Jex7IvhF6iBTeB?lgB3hBmqBUqB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8JeT7IvhFXhBxiB?lhBCjBmqBUqB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8JeT+IvhFXgBZmB?CiBGiBcqBlqB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Jex7IvhF6iBTeB?fmBlhBUlB2vB
TLIOZSJ,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X
TLJISZO,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TLJISOZ,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X
TLJIZSO,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLJIZOS,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TLJIOSZ,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLJIOZS,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X
TLJSIZO,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TLJSIOZ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TLJSZIO,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X
TLJSZOI,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X
TLJSOIZ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TLJSOZI,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X
TLJZISO,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
TLJZIOS,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
TLJZSIO,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
TLJZSOI,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
TLJZOIS,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
TLJZOSI,O,X,X,X,O,O,O,O,X,X,O,O,X,X,X
TLJOISZ,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLJOIZS,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X
TLJOSIZ,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
TLJOSZI,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X
TLJOZIS,O,X,X,X,O,X,O,O,X,O,O,O,X,X,X
TLJOZSI,O,X,X,X,O,O,O,O,X,O,O,O,X,X,X
TLSIJZO,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TLSIJOZ,X,X,O,X,X,O,O,X,O,X,X,O,X,X,X
TLSIZJO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLSIZOJ,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X
TLSIOJZ,O,X,O,X,X,O,O,X,O,X,X,O,X,O,X
TLSIOZJ,O,X,O,X,X,X,O,X,X,O,X,O,X,O,X
TLSJIZO,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TLSJIOZ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TLSJZIO,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X
TLSJZOI,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X
TLSJOIZ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TLSJOZI,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X
TLSZIJO,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X
TLSZIOJ,O,X,O,X,O,X,O,X,X,X,O,O,X,X,X
TLSZJIO,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X
TLSZJOI,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X
TLSZOIJ,O,X,O,X,O,X,O,X,X,X,O,O,X,X,X
TLSZOJI,O,X,O,X,O,O,O,X,X,X,O,O,X,X,X
TLSOIJZ,O,X,O,X,X,O,O,X,O,X,X,O,X,O,X
TLSOIZJ,O,X,O,X,X,X,O,X,X,O,X,O,X,O,X
TLSOJIZ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TLSOJZI,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X
TLSOZIJ,O,X,O,X,O,X,O,X,X,O,O,O,X,X,X
TLSOZJI,O,X,O,X,O,O,O,X,X,O,O,O,X,X,X
TLZIJSO,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
TLZIJOS,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X
TLZISJO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TLZISOJ,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X
TLZIOJS,O,X,X,X,O,X,O,X,O,O,O,X,X,X,X
TLZIOSJ,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X
TLZJISO,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
TLZJIOS,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
TLZJSIO,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
TLZJSOI,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
TLZJOIS,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
TLZJOSI,O,X,X,X,O,O,O,O,X,X,O,X,X,X,X
TLZSIJO,X,X,O,X,O,X,O,X,X,X,O,X,X,X,O
TLZSIOJ,X,X,O,X,O,X,O,X,X,X,O,X,X,X,O
TLZSJIO,X,X,O,X,O,X,O,X,X,X,O,X,X,X,O
TLZSJOI,X,X,O,X,O,X,O,X,X,X,O,X,X,X,O
TLZSOIJ,X,X,O,X,O,X,O,X,X,X,O,X,X,X,O
TLZSOJI,O,X,O,X,O,X,O,X,X,X,O,X,X,X,O
TLZOIJS,O,X,X,X,O,X,O,X,O,O,O,X,X,X,X
TLZOISJ,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X
TLZOJIS,O,X,X,X,O,X,O,O,X,O,O,X,X,X,X
TLZOJSI,O,X,X,X,O,O,O,O,X,O,O,X,X,X,X
TLZOSIJ,X,X,X,X,O,X,O,X,X,O,O,X,X,X,O
TLZOSJI,O,X,X,X,O,X,O,X,X,O,O,X,X,X,O
TLOIJSZ,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLOIJZS,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X
TLOISJZ,O,X,O,O,X,X,O,X,O,X,X,X,X,O,X
TLOISZJ,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X
TLOIZJS,O,X,X,X,O,X,O,X,O,O,O,X,X,X,X
TLOIZSJ,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X
TLOJISZ,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLOJIZS,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X
TLOJSIZ,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
TLOJSZI,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X
TLOJZIS,O,X,X,X,O,X,O,O,X,O,O,O,X,X,X
TLOJZSI,O,X,X,X,O,O,O,O,X,O,O,O,X,X,X
TLOSIJZ,O,X,O,X,X,O,O,X,O,X,X,O,X,O,X
TLOSIZJ,O,X,O,X,X,X,O,X,X,O,X,O,X,O,X
TLOSJIZ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TLOSJZI,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X
TLOSZIJ,O,X,O,X,O,X,O,X,X,O,O,O,X,X,X
TLOSZJI,O,X,O,X,O,O,O,X,X,O,O,O,X,X,X
TLOZIJS,O,X,X,X,O,X,O,X,O,O,O,X,X,X,X
TLOZISJ,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X
TLOZJIS,O,X,X,X,O,X,O,O,X,O,O,X,X,X,X
TLOZJSI,O,X,X,X,O,O,O,O,X,O,O,X,X,X,X
TLOZSIJ,X,X,X,X,O,X,O,X,X,O,O,X,X,X,O
TLOZSJI,O,X,X,X,O,X,O,X,X,O,O,X,X,X,O
TJILSZO,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TJILSOZ,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TJILZSO,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TJILZOS,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TJILOSZ,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TJILOZS,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TJISLZO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJISLOZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJISZLO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJISZOL,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TJISOLZ,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
TJISOZL,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X
TJIZLSO,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJIZLOS,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TJIZSLO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJIZSOL,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X
TJIZOLS,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TJIZOSL,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X
TJIOLSZ,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TJIOLZS,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TJIOSLZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJIOSZL,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TJIOZLS,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TJIOZSL,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TJLISZO,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TJLISOZ,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X
TJLIZSO,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TJLIZOS,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TJLIOSZ,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TJLIOZS,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X
TJLSIZO,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TJLSIOZ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TJLSZIO,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X
TJLSZOI,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X
TJLSOIZ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TJLSOZI,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X
TJLZISO,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
TJLZIOS,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
TJLZSIO,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
TJLZSOI,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
TJLZOIS,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
TJLZOSI,O,X,X,X,O,O,O,O,X,X,O,O,X,X,X
TJLOISZ,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TJLOIZS,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X
TJLOSIZ,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
TJLOSZI,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X
TJLOZIS,O,X,X,X,O,X,O,O,X,O,O,O,X,X,X
TJLOZSI,O,X,X,X,O,O,O,O,X,O,O,O,X,X,X
TJSILZO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TJSILOZ,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TJSIZLO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TJSIZOL,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X
TJSIOLZ,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X
TJSIOZL,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X
TJSLIZO,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TJSLIOZ,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TJSLZIO,O,O,O,X,O,X,O,X,X,X,X,O,X,X,X
TJSLZOI,O,O,O,X,O,X,O,X,X,X,X,O,X,X,X
TJSLOIZ,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TJSLOZI,O,O,O,X,O,X,O,X,X,X,X,O,X,X,X
TJSZILO,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TJSZIOL,O,O,X,X,O,X,O,X,X,X,X,O,O,X,X
TJSZLIO,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X
TJSZLOI,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X
TJSZOIL,O,O,X,X,O,X,O,X,X,X,X,O,O,X,X
TJSZOLI,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X
TJSOILZ,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X
TJSOIZL,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X
TJSOLIZ,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
TJSOLZI,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X
TJSOZIL,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X
TJSOZLI,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X
TJZILSO,O,X,X,X,O,X,X,O,X,X,O,O,X,X,X
TJZILOS,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
TJZISLO,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TJZISOL,O,X,X,X,O,X,O,X,X,X,X,O,O,X,X
TJZIOLS,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X
TJZIOSL,O,X,X,X,O,X,O,X,X,X,X,O,O,X,X
TJZLISO,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
TJZLIOS,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
TJZLSIO,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
