sequence,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFCbBTcBeiBXgBUm?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jex6IvhFygBzcBOkBfqB0q?BlrB,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFqfBmbBzcB0gB3m?BFqB,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFGbB/hBaiBzfBUm?BFqB,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFVhBaiBUgBfqBTr?BGqB,v115@6gC8GeC8GeC8FeF8AeG8Jex6IvhFmcBKkBzfBFhBcq?B3rB,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFWgBicBzhBXgBUm?BFqB,v115@6gC8GeC8GeC8FeF8AeG8JeT6IvhF/gBRcBOmB8mBik?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jel6IvhFRcBKkBXgBmhBcq?BTrB,v115@6gC8GeC8GeC8FeF8AeG8JeR8IvhF/kBFgBmhBcqBTr?BipB,v115@6gC8GeC8GeC8FeF8AeG8Jei6IvhFRcBckBTgB2mB3m?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jex6IvhFTfB/lBFhB8mBim?BmpB,v115@6gC8GeC8GeC8FeF8AeG8Jei6IvhFRcBXhB8mBTkB2q?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jex6IvhF8gBzcB2kBlmB3k?BiqB,v115@6gC8GeC8GeC8FeF8AeG8JecAJvhF2hBTfBRmBikB3m?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jei6IvhFRcBFgB2mBTkBcq?B3rB
TLJZOIS,O,O,O,X,X,X,X,O,O,X,O,X,X,O,X,X
TLJZOSI,O,O,O,X,X,X,X,O,O,X,O,X,X,O,X,X
TLJOISZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJOIZS,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X
TLJOSIZ,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLJOSZI,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TLJOZIS,X,O,X,X,X,X,X,O,O,X,O,X,X,O,X,X
TLJOZSI,X,O,X,X,X,X,X,O,O,X,O,X,X,O,X,X
TLSIJZO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSIJOZ,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLSIZJO,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLSIZOJ,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLSIOJZ,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TLSIOZJ,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLSJIZO,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TLSJIOZ,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TLSJZIO,O,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X
TLSJZOI,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X
TLSJOIZ,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLSJOZI,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X
TLSZIJO,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLSZIOJ,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X
TLSZJIO,O,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X
TLSZJOI,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X
TLSZOIJ,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X
TLSZOJI,O,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X
TLSOIJZ,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
