sequence,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFCbBTcBeiBXgBUm?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jex6IvhFygBzcBOkBfqB0q?BlrB,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFqfBmbBzcB0gB3m?BFqB,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFGbB/hBaiBzfBUm?BFqB,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFVhBaiBUgBfqBTr?BGqB,v115@6gC8GeC8GeC8FeF8AeG8Jex6IvhFmcBKkBzfBFhBcq?B3rB,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFWgBicBzhBXgBUm?BFqB,v115@6gC8GeC8GeC8FeF8AeG8JeT6IvhF/gBRcBOmB8mBik?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jel6IvhFRcBKkBXgBmhBcq?BTrB,v115@6gC8GeC8GeC8FeF8AeG8JeR8IvhF/kBFgBmhBcqBTr?BipB,v115@6gC8GeC8GeC8FeF8AeG8Jei6IvhFRcBckBTgB2mB3m?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jex6IvhFTfB/lBFhB8mBim?BmpB,v115@6gC8GeC8GeC8FeF8AeG8Jei6IvhFRcBXhB8mBTkB2q?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jex6IvhF8gBzcB2kBlmB3k?BiqB,v115@6gC8GeC8GeC8FeF8AeG8JecAJvhF2hBTfBRmBikB3m?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jei6IvhFRcBFgB2mBTkBcq?B3rB
JLOSZTI,X,X,X,X,X,O,X,O,O,O,X,O,O,X,X,X
JLOSZIT,X,X,X,X,O,O,X,O,O,O,X,O,O,X,X,X
JLOZTIS,O,X,X,X,X,X,X,O,O,X,X,X,O,O,X,O
JLOZTSI,O,X,X,X,X,X,X,O,O,X,X,X,O,O,X,O
JLOZITS,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X,O
JLOZIST,O,X,X,X,X,X,X,O,O,O,X,O,O,X,X,O
JLOZSTI,O,X,X,X,X,X,X,O,O,O,X,O,O,X,X,X
JLOZSIT,O,X,X,X,X,X,X,O,O,O,X,O,O,X,X,O
JSTILZO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSTILOZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSTIZLO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JSTIZOL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSTIOLZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSTIOZL,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JSTLIZO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSTLIOZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSTLZIO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSTLZOI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSTLOIZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSTLOZI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSTZILO,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X
JSTZIOL,O,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X
JSTZLIO,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X
JSTZLOI,O,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X
JSTZOIL,O,O,O,X,X,O,X,X,X,O,O,O,X,X,X,X
JSTZOLI,O,O,O,X,X,O,X,X,X,O,O,O,X,X,X,X
JSTOILZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSTOIZL,O,O,X,X,X,O,X,X,X,O,O,O,X,X,X,X
JSTOLIZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSTOLZI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSTOZIL,O,O,O,X,X,O,X,X,X,O,O,O,X,X,X,X
JSTOZLI,O,O,O,X,X,O,X,X,X,O,O,O,X,X,X,X
JSITLZO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSITLOZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSITZLO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JSITZOL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSITOLZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSITOZL,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JSILTZO,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSILTOZ,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSILZTO,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSILZOT,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSILOTZ,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JSILOZT,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JSIZTLO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZTOL,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X
JSIZLTO,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X
JSIZLOT,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSIZOTL,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O
JSIZOLT,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O
JSIOTLZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIOTZL,O,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X
JSIOLTZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSIOLZT,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,O
JSIOZTL,O,O,X,X,O,X,X,X,X,O,X,O,X,X,X,O
JSIOZLT,O,O,X,X,O,X,X,X,O,O,X,O,X,X,X,O
JSLTIZO,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSLTIOZ,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSLTZIO,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSLTZOI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSLTOIZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSLTOZI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSLITZO,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSLITOZ,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSLIZTO,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSLIZOT,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSLIOTZ,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JSLIOZT,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JSLZTIO,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSLZTOI,X,O,X,X,X,O,X,X,O,O,X,O,X,X,X,X
JSLZITO,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSLZIOT,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSLZOTI,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X
JSLZOIT,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X
JSLOTIZ,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JSLOTZI,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSLOITZ,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JSLOIZT,X,X,X,X,O,O,X,X,O,O,X,O,X,X,X,X
JSLOZTI,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X
JSLOZIT,X,X,X,X,O,O,X,X,O,O,X,O,X,X,X,X
JSZTILO,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X
JSZTIOL,O,O,O,X,X,O,X,X,X,O,X,O,O,X,X,X
JSZTLIO,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X
JSZTLOI,O,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X
JSZTOIL,O,O,O,X,X,O,X,X,X,O,O,O,O,X,X,X
JSZTOLI,O,O,O,X,X,O,X,X,X,O,O,O,O,X,X,X
JSZITLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZITOL,O,O,O,X,X,X,X,X,X,O,X,O,O,X,X,X
JSZILTO,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X
JSZILOT,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X
JSZIOTL,O,O,O,X,O,X,X,X,X,X,X,O,O,X,X,O
JSZIOLT,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X,O
JSZLTIO,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JSZLTOI,O,O,O,X,X,O,X,X,O,O,X,O,X,X,X,X
JSZLITO,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X
JSZLIOT,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X
JSZLOTI,O,O,O,X,X,O,X,X,O,X,X,O,O,X,X,X
JSZLOIT,O,O,X,X,X,O,X,X,O,X,X,O,O,X,X,X
JSZOTIL,O,O,O,X,O,X,X,X,X,O,X,O,O,X,X,O
JSZOTLI,O,O,O,X,O,X,X,X,X,O,X,O,O,X,X,O
JSZOITL,O,O,O,X,O,X,X,X,X,O,X,O,O,X,X,O
JSZOILT,O,O,X,X,O,X,X,X,X,O,X,O,O,X,X,O
JSZOLTI,O,O,O,X,X,O,X,X,X,O,X,O,O,X,X,X
JSZOLIT,O,O,X,X,O,O,X,X,X,O,X,O,O,X,X,O
JSOTILZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JSOTIZL,O,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X
JSOTLIZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JSOTLZI,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JSOTZIL,O,O,O,X,O,O,X,X,X,O,X,O,X,X,X,X
JSOTZLI,O,O,O,X,O,O,X,X,X,O,X,O,X,X,X,X
JSOITLZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOITZL,O,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X
JSOILTZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSOILZT,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,O
JSOIZTL,O,O,X,X,O,X,X,X,X,O,X,O,X,X,X,O
JSOIZLT,O,O,X,X,O,X,X,X,O,O,X,O,X,X,X,O
JSOLTIZ,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JSOLTZI,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSOLITZ,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JSOLIZT,X,X,X,X,O,O,X,X,O,O,X,O,X,X,X,O
JSOLZTI,X,X,X,X,X,O,X,X,O,O,X,O,O,X,X,X
JSOLZIT,X,X,X,X,O,O,X,X,O,O,X,O,O,X,X,X
JSOZTIL,O,O,O,X,O,X,X,X,X,O,X,O,O,X,X,O
JSOZTLI,O,O,O,X,O,X,X,X,X,O,X,O,O,X,X,O
JSOZITL,O,O,O,X,O,X,X,X,X,O,X,O,O,X,X,O
JSOZILT,O,O,X,X,O,X,X,X,O,O,X,O,O,X,X,O
JSOZLTI,O,O,O,X,X,O,X,X,O,O,X,O,O,X,X,X
JSOZLIT,O,O,X,X,O,O,X,X,O,O,X,O,O,X,X,O
JZTILSO,O,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X
JZTILOS,O,O,X,X,X,O,O,O,O,X,O,X,X,X,X,X
JZTISLO,O,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
JZTISOL,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JZTIOLS,O,O,X,O,X,O,O,X,X,X,O,X,O,X,X,O
JZTIOSL,O,X,X,O,X,X,O,O,X,X,O,X,X,X,X,O
JZTLISO,O,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X
JZTLIOS,O,O,X,X,X,O,O,O,O,X,O,X,X,X,X,X
JZTLSIO,O,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X
JZTLSOI,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
JZTLOIS,O,O,X,X,X,O,O,O,O,X,O,X,X,X,X,X
JZTLOSI,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X
JZTSILO,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X
JZTSIOL,O,O,X,O,X,X,O,O,X,O,X,O,O,X,X,X
JZTSLIO,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X
JZTSLOI,O,O,X,O,X,O,X,O,X,O,X,O,X,X,X,X
JZTSOIL,O,O,X,O,X,X,O,O,X,O,O,O,O,X,X,X
JZTSOLI,O,O,X,O,X,X,O,O,X,O,O,O,O,X,X,X
JZTOILS,O,O,X,O,X,O,O,X,X,X,O,X,O,X,X,O
JZTOISL,O,X,X,O,X,X,O,O,X,X,O,O,X,X,X,O
JZTOLIS,O,O,X,O,X,O,O,O,X,X,O,X,O,X,X,O
JZTOLSI,O,O,X,O,X,O,O,O,X,X,O,X,O,X,X,O
JZTOSIL,O,O,X,O,X,X,O,O,X,X,O,O,O,X,X,O
JZTOSLI,O,O,X,O,X,X,O,O,X,X,O,O,O,X,X,O
JZITLSO,O,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
JZITLOS,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X
JZITSLO,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
JZITSOL,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JZITOLS,O,O,X,O,X,X,O,X,X,X,O,X,O,X,X,O
JZITOSL,O,X,X,O,X,X,O,O,X,X,O,X,X,X,X,O
JZILTSO,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X
JZILTOS,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
JZILSTO,O,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
JZILSOT,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
JZILOTS,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,O
JZILOST,O,X,X,X,X,X,O,O,O,X,X,X,O,X,X,O
JZISTLO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZISTOL,O,O,X,O,X,X,X,O,X,O,X,O,O,X,X,X
JZISLTO,O,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X
JZISLOT,O,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X
JZISOTL,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O
JZISOLT,O,O,X,O,X,X,O,X,X,X,X,O,O,X,X,O
JZIOTLS,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
JZIOTSL,O,X,X,X,X,X,O,O,X,O,X,O,X,X,X,O
JZIOLTS,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,O
JZIOLST,O,X,X,X,X,X,O,X,O,O,X,O,O,X,X,O
JZIOSTL,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O
JZIOSLT,O,X,X,O,X,X,O,X,O,O,X,O,O,X,X,O
JZLTISO,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X
JZLTIOS,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X
JZLTSIO,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X
JZLTSOI,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
JZLTOIS,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X
JZLTOSI,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X
JZLITSO,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X
JZLITOS,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X
JZLISTO,O,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X
JZLISOT,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
JZLIOTS,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,O
JZLIOST,O,X,X,X,X,X,O,O,O,X,X,X,O,X,X,O
JZLSTIO,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
JZLSTOI,O,X,X,X,X,O,X,O,O,O,X,O,X,X,X,X
JZLSITO,O,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X
JZLSIOT,O,X,X,O,X,O,X,O,O,X,X,X,O,X,X,X
JZLSOTI,O,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X
JZLSOIT,O,X,X,O,X,O,X,O,O,X,X,O,O,X,X,X
JZLOTIS,O,X,X,X,X,O,O,O,O,X,X,X,O,X,X,O
JZLOTSI,O,X,X,X,X,O,X,O,O,X,X,X,O,X,X,O
JZLOITS,O,X,X,X,X,O,O,X,O,X,O,X,O,X,X,O
JZLOIST,O,X,X,X,X,O,O,O,O,X,X,O,O,X,X,O
JZLOSTI,O,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X
JZLOSIT,O,X,X,X,X,O,O,O,O,X,X,O,O,X,X,O
JZSTILO,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X
JZSTIOL,O,O,X,O,X,O,X,O,X,O,X,O,O,X,X,X
JZSTLIO,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X
JZSTLOI,O,O,X,O,X,O,X,O,X,O,X,O,X,X,X,X
JZSTOIL,O,O,X,O,X,O,X,O,X,O,O,O,O,X,X,X
JZSTOLI,O,O,X,O,X,O,X,O,X,O,O,O,O,X,X,X
JZSITLO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZSITOL,O,O,X,O,X,X,X,O,X,O,X,O,O,X,X,X
JZSILTO,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X
JZSILOT,O,O,X,O,X,O,X,X,O,X,X,X,O,X,X,X
JZSIOTL,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O
JZSIOLT,O,O,X,O,X,X,O,X,X,X,X,O,O,X,X,O
JZSLTIO,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X
JZSLTOI,O,O,X,O,X,O,X,O,O,O,X,O,X,X,X,X
JZSLITO,O,O,X,O,X,O,X,O,O,X,O,X,X,X,X,X
JZSLIOT,O,O,X,O,X,O,X,O,O,X,X,X,O,X,X,X
JZSLOTI,O,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
JZSLOIT,O,O,X,O,X,O,X,O,O,X,X,O,O,X,X,X
JZSOTIL,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,O
JZSOTLI,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,O
JZSOITL,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,O
JZSOILT,O,O,X,O,X,X,O,X,X,O,X,O,O,X,X,O
JZSOLTI,O,O,X,X,X,O,X,X,X,O,X,O,O,X,X,X
JZSOLIT,O,O,X,O,X,O,O,X,X,O,X,O,O,X,X,O
JZOTILS,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,O
JZOTISL,O,X,X,X,X,X,O,O,X,O,O,O,X,X,X,O
JZOTLIS,O,X,X,X,X,X,O,O,O,X,O,X,O,X,X,O
JZOTLSI,O,X,X,X,X,X,O,O,O,X,O,X,O,X,X,O
JZOTSIL,O,X,X,X,X,X,O,O,X,O,O,O,O,X,X,O
JZOTSLI,O,X,X,X,X,X,O,O,X,O,O,O,O,X,X,O
JZOITLS,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
JZOITSL,O,X,X,X,X,X,O,O,X,O,X,O,X,X,X,O
JZOILTS,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,O
JZOILST,O,X,X,X,X,X,O,X,O,O,X,O,O,X,X,O
JZOISTL,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O
JZOISLT,O,X,X,O,X,X,O,X,O,O,X,O,O,X,X,O
JZOLTIS,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
JZOLTSI,O,X,X,X,X,X,O,O,O,X,X,X,O,X,X,O
JZOLITS,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,O
JZOLIST,O,X,X,X,X,X,O,O,O,O,X,O,O,X,X,O
JZOLSTI,O,X,X,X,X,X,X,O,O,O,X,O,O,X,X,X
JZOLSIT,O,X,X,X,X,X,O,O,O,O,X,O,O,X,X,O
JZOSTIL,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O
JZOSTLI,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O
JZOSITL,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O
JZOSILT,O,X,X,O,X,X,O,X,O,O,X,O,O,X,X,O
JZOSLTI,O,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X
JZOSLIT,O,X,X,O,X,X,O,X,O,O,X,O,O,X,X,O
JOTILSZ,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JOTILZS,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O
JOTISLZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTISZL,O,O,X,X,O,X,X,X,X,O,O,O,X,X,X,X
JOTIZLS,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O
JOTIZSL,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O
JOTLISZ,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JOTLIZS,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O
JOTLSIZ,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JOTLSZI,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTLZIS,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X,X
JOTLZSI,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X,X
JOTSILZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTSIZL,O,O,X,X,O,X,X,X,X,O,O,O,X,X,X,X
JOTSLIZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTSLZI,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTSZIL,O,O,X,X,O,X,X,X,X,O,O,O,X,X,X,X
JOTSZLI,O,O,X,X,O,X,X,X,X,O,O,O,X,X,X,X
JOTZILS,O,O,X,X,X,X,X,X,O,X,O,X,O,X,X,O
JOTZISL,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O
JOTZLIS,O,O,X,X,X,X,X,X,O,X,O,X,O,X,X,O
JOTZLSI,O,O,X,X,X,X,X,X,O,X,O,X,O,X,X,O
JOTZSIL,O,O,X,X,X,X,X,X,X,O,O,O,O,X,X,O
JOTZSLI,O,O,X,X,X,X,X,X,X,O,O,O,O,X,X,O
JOITLSZ,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JOITLZS,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O
JOITSLZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOITSZL,O,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X
JOITZLS,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O
JOITZSL,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O
JOILTSZ,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JOILTZS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
JOILSTZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JOILSZT,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,O
JOILZTS,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
JOILZST,O,X,X,X,X,X,O,X,O,O,X,O,O,X,X,O
JOISTLZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOISTZL,O,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X
JOISLTZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JOISLZT,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,O
JOISZTL,O,O,X,X,O,X,X,X,X,O,X,O,X,X,X,O
JOISZLT,O,O,X,X,O,X,X,X,O,O,X,O,X,X,X,O
JOIZTLS,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
JOIZTSL,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X,O
JOIZLTS,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,O
JOIZLST,O,X,X,X,X,X,O,X,O,O,X,O,O,X,X,O
JOIZSTL,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O
JOIZSLT,O,X,X,X,X,X,O,X,O,O,X,O,O,X,X,O
JOLTISZ,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JOLTIZS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
JOLTSIZ,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JOLTSZI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLTZIS,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
JOLTZSI,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
JOLITSZ,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JOLITZS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
JOLISTZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JOLISZT,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,O
JOLIZTS,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
JOLIZST,O,X,X,X,X,X,O,X,O,O,X,O,O,X,X,O
JOLSTIZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JOLSTZI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLSITZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JOLSIZT,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,O
JOLSZTI,X,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X
JOLSZIT,X,X,X,X,O,X,X,X,O,O,X,O,O,X,X,X
JOLZTIS,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
JOLZTSI,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
JOLZITS,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
JOLZIST,O,X,X,X,X,X,O,X,O,O,X,O,O,X,X,O
JOLZSTI,O,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X
JOLZSIT,O,X,X,X,X,X,O,X,O,O,X,O,O,X,X,O
JOSTILZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOSTIZL,O,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X
JOSTLIZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOSTLZI,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOSTZIL,O,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X
JOSTZLI,O,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X
JOSITLZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOSITZL,O,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X
JOSILTZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JOSILZT,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,O
JOSIZTL,O,O,X,X,O,X,X,X,X,O,X,O,X,X,X,O
