sequence,v115@6gC8FeD8FeE8EeF8DeD8Jei6IvhFRcB3fBGhBllBUq?BTrB,v115@6gC8FeD8FeE8EeF8DeD8Jem6IvhFRcBTfB3gBcmBFq?BSwB,v115@6gC8FeD8FeE8EeF8DeD8Je06IvhFlbB3cB2kBSqBTm?BxvB,v115@6gC8FeD8FeE8EeF8DeD8Jex6IvhF/kBUgBFhB+rBim?BTqB,v115@6gC8FeD8FeE8EeF8DeD8JeT6IvhFKgBRcBFhB0kB+r?B3qB,v115@6gC8FeD8FeE8EeF8DeD8JeK/IvhFzaBRcBGhB/rBFq?B0qB,v115@6gC8FeD8FeE8EeF8DeD8Jei6IvhFuhBRgB0kBllBTr?B3qB,v115@6gC8FeD8FeE8EeF8DeD8Jex6IvhFTfB/lBFhB+rBim?BUqB,v115@6gC8FeD8FeE8EeF8DeD8Jex6IvhFuhBifBfqBllBTr?B8qB,v115@6gC8FeD8FeE8EeF8DeD8JeT6IvhF/gBUcBumBlkByq?BxvB,v115@6gC8FeD8FeE8EeF8DeD8Jei6IvhFRcBFgB0kBGmB3q?BTrB,v115@6gC8FeD8FeE8EeF8DeD8JeT6IvhFxgB3hBlkBcqBml?BSwB,v115@6gC8FeD8FeE8EeF8DeD8JeR8IvhF/kBThB0lBFlBSw?BmpB,v115@6gC8FeD8FeE8EeF8DeD8JeT6IvhFibBUhBxkBFqBXr?BurB,v115@6gC8FeD8FeE8EeF8DeD8JeR8IvhFTfB0gBFqBXrB6r?BmpB
TISLJOZ,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
TISLZJO,O,O,O,X,X,O,X,X,X,O,X,X,X,O,O
TISLZOJ,O,O,X,X,X,O,X,X,X,O,X,X,X,O,O
TISLOJZ,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TISLOZJ,O,X,O,X,X,O,X,X,X,O,X,X,X,O,O
TISJLZO,X,X,O,X,O,O,X,X,X,O,X,X,X,X,O
TISJLOZ,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X
TISJZLO,X,X,O,X,O,O,X,X,X,X,O,X,X,O,X
TISJZOL,X,X,O,X,O,X,X,X,X,O,O,X,X,O,X
TISJOLZ,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X
TISJOZL,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X
TISZLJO,X,X,O,X,X,O,X,X,X,O,O,X,X,O,O
TISZLOJ,X,X,X,X,X,O,X,X,X,O,O,X,X,O,O
TISZJLO,X,X,O,X,O,O,X,X,X,X,O,X,X,O,X
TISZJOL,X,X,O,X,O,O,X,X,X,O,O,X,X,O,X
TISZOLJ,X,X,O,X,X,O,X,X,X,O,O,X,X,O,O
TISZOJL,X,X,O,X,O,O,X,X,X,O,X,X,X,O,X
TISOLJZ,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X
TISOLZJ,X,X,O,X,X,O,X,X,X,O,X,O,X,O,O
TISOJLZ,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X
TISOJZL,X,X,O,X,X,X,X,X,X,O,X,O,X,O,X
TISOZLJ,X,X,O,X,X,X,X,X,X,O,X,O,X,O,O
TISOZJL,X,X,O,X,X,X,X,X,X,O,X,O,X,O,X
TIZLJSO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZLJOS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZLSJO,O,O,X,X,X,O,X,X,X,O,O,X,X,X,X
TIZLSOJ,O,O,X,X,X,O,X,X,X,O,O,O,X,X,X
TIZLOJS,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TIZLOSJ,X,O,X,X,O,O,X,X,X,O,O,O,X,X,X
TIZJLSO,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TIZJLOS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZJSLO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZJSOL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZJOLS,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TIZJOSL,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZSLJO,O,X,X,X,X,O,X,X,X,O,O,X,X,O,O
TIZSLOJ,O,X,X,X,X,O,X,X,X,O,O,X,X,O,O
TIZSJLO,O,X,X,X,O,O,X,X,X,X,O,X,X,O,X
TIZSJOL,O,X,X,X,O,X,X,X,X,O,O,X,X,O,X
TIZSOLJ,O,X,X,X,X,X,X,X,X,O,O,O,X,O,X
TIZSOJL,X,X,X,X,O,X,X,X,X,O,X,O,X,O,X
TIZOLJS,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TIZOLSJ,O,X,X,X,O,X,X,X,X,O,O,O,X,X,X
TIZOJLS,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TIZOJSL,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZOSLJ,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X
TIZOSJL,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X
TIOLJSZ,O,O,O,X,X,O,X,X,X,O,X,O,X,X,X
TIOLJZS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TIOLSJZ,O,O,O,X,X,O,X,X,X,O,X,O,X,X,X
TIOLSZJ,O,X,O,X,X,O,X,X,X,O,X,O,X,O,X
TIOLZJS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TIOLZSJ,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X
TIOJLSZ,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TIOJLZS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TIOJSLZ,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TIOJSZL,O,X,O,X,X,X,X,X,X,O,X,O,X,O,X
TIOJZLS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TIOJZSL,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TIOSLJZ,O,O,O,X,X,O,X,X,X,O,X,O,X,X,X
TIOSLZJ,O,X,O,X,X,O,X,X,X,O,X,O,X,O,O
TIOSJLZ,O,O,O,X,X,O,X,X,X,O,X,O,X,X,X
TIOSJZL,O,X,O,X,X,X,X,X,X,O,X,O,X,O,X
TIOSZLJ,O,X,O,X,X,X,X,X,X,O,X,O,X,O,O
TIOSZJL,X,X,O,X,X,X,X,X,X,O,X,O,X,O,X
TIOZLJS,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOZLSJ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X
TIOZJLS,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOZJSL,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOZSLJ,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X
TIOZSJL,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X
TLIJSZO,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
TLIJSOZ,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
TLIJZSO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIJZOS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIJOSZ,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X
TLIJOZS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TLISJZO,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O
TLISJOZ,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
TLISZJO,X,O,O,X,X,O,X,X,X,O,X,X,X,O,O
TLISZOJ,X,O,X,X,X,O,X,X,X,O,X,X,X,O,O
TLISOJZ,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X
TLISOZJ,X,X,X,X,X,O,X,X,X,O,X,O,X,O,O
TLIZJSO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJOS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIZSJO,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TLIZSOJ,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TLIZOJS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLIZOSJ,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X
TLIOJSZ,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X
TLIOJZS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TLIOSJZ,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X
TLIOSZJ,X,X,O,X,X,O,X,X,X,O,X,O,O,O,X
TLIOZJS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TLIOZSJ,X,O,O,X,X,O,X,X,X,O,X,O,O,X,X
TLJISZO,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLJISOZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLJIZSO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJIZOS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJIOSZ,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
TLJIOZS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TLJSIZO,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLJSIOZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLJSZIO,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLJSZOI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLJSOIZ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLJSOZI,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TLJZISO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJZIOS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSIO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSOI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOIS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOSI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJOISZ,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
TLJOIZS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TLJOSIZ,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
TLJOSZI,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
TLJOZIS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZSI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJZO,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O
TLSIJOZ,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
TLSIZJO,X,O,O,X,X,O,X,X,X,O,X,X,X,O,O
TLSIZOJ,X,O,X,X,X,O,X,X,X,O,X,X,X,O,O
TLSIOJZ,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X
TLSIOZJ,X,X,X,X,X,O,X,X,X,O,X,O,X,O,O
TLSJIZO,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O
TLSJIOZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLSJZIO,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O
TLSJZOI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O
TLSJOIZ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLSJOZI,X,X,O,X,X,O,X,X,O,X,X,X,X,X,O
TLSZIJO,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O
TLSZIOJ,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O
TLSZJIO,X,O,O,X,X,O,X,X,X,X,X,X,X,O,O
TLSZJOI,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O
TLSZOIJ,X,O,X,X,X,O,X,X,X,O,X,X,O,O,O
TLSZOJI,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O
TLSOIJZ,X,O,X,X,X,O,X,X,O,O,X,O,X,X,X
TLSOIZJ,X,X,X,X,X,O,X,X,X,O,X,O,O,X,O
TLSOJIZ,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
TLSOJZI,X,O,O,X,X,O,X,X,O,X,X,X,X,X,O
TLSOZIJ,X,O,X,X,X,O,X,X,X,O,X,X,O,X,O
TLSOZJI,X,O,X,X,X,O,X,X,O,X,X,X,O,X,O
TLZIJSO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZIJOS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TLZISJO,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TLZISOJ,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
TLZIOJS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLZIOSJ,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
TLZJISO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZJIOS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TLZJSIO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZJSOI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZJOIS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TLZJOSI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZSIJO,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLZSIOJ,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
TLZSJIO,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TLZSJOI,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TLZSOIJ,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X
TLZSOJI,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
TLZOIJS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLZOISJ,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X
TLZOJIS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLZOJSI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X
TLZOSJI,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
TLOIJSZ,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X
TLOIJZS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TLOISJZ,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X
TLOISZJ,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X
TLOIZJS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLOIZSJ,X,O,X,X,X,O,X,X,X,O,X,O,O,X,X
TLOJISZ,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
TLOJIZS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TLOJSIZ,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
TLOJSZI,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
TLOJZIS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOJZSI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOSIJZ,X,O,X,X,X,O,X,X,O,O,X,O,X,X,X
TLOSIZJ,X,X,X,X,X,O,X,X,X,O,X,O,O,X,O
TLOSJIZ,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
TLOSJZI,X,O,O,X,X,O,X,X,O,X,X,X,X,X,O
TLOSZIJ,X,O,X,X,X,O,X,X,X,O,X,X,O,X,O
TLOSZJI,X,O,X,X,X,O,X,X,O,X,X,X,O,X,O
TLOZIJS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLOZISJ,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X
TLOZJIS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLOZJSI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZSIJ,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X
TLOZSJI,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
TJILSZO,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X
TJILSOZ,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X
TJILZSO,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TJILZOS,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TJILOSZ,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TJILOZS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJISLZO,X,X,O,X,O,O,X,X,X,O,X,X,X,X,O
TJISLOZ,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X
TJISZLO,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X
TJISZOL,X,X,O,O,O,X,X,X,X,O,X,X,X,O,X
TJISOLZ,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TJISOZL,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X
TJIZLSO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJIZLOS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJIZSLO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJIZSOL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJIZOLS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJIZOSL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJIOLSZ,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TJIOLZS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TJIOSLZ,X,O,O,X,O,X,X,X,X,O,X,O,X,X,X
TJIOSZL,X,X,O,O,O,X,X,X,X,O,X,O,X,O,X
TJIOZLS,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X
TJIOZSL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TJLISZO,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TJLISOZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TJLIZSO,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TJLIZOS,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TJLIOSZ,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
TJLIOZS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TJLSIZO,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TJLSIOZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TJLSZIO,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TJLSZOI,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TJLSOIZ,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TJLSOZI,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X
TJLZISO,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TJLZIOS,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TJLZSIO,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TJLZSOI,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TJLZOIS,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TJLZOSI,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TJLOISZ,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
TJLOIZS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TJLOSIZ,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
TJLOSZI,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X
TJLOZIS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJLOZSI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSILZO,X,X,O,X,O,O,X,X,X,O,X,X,X,X,O
TJSILOZ,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X
TJSIZLO,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X
TJSIZOL,X,X,O,O,O,X,X,X,X,O,X,X,X,O,X
TJSIOLZ,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TJSIOZL,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X
TJSLIZO,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O
TJSLIOZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TJSLZIO,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O
TJSLZOI,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O
TJSLOIZ,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TJSLOZI,X,X,O,X,O,O,X,X,O,X,X,X,X,X,O
TJSZILO,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X
TJSZIOL,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X
TJSZLIO,X,X,O,O,O,O,X,X,X,X,X,X,X,O,O
TJSZLOI,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O
TJSZOIL,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
TJSZOLI,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O
TJSOILZ,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X
TJSOIZL,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TJSOLIZ,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TJSOLZI,X,X,X,O,O,O,X,X,O,X,X,X,X,X,O
TJSOZIL,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TJSOZLI,X,X,O,O,O,X,X,X,O,X,X,X,X,X,O
TJZILSO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJZILOS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TJZISLO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJZISOL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJZIOLS,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
TJZIOSL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TJZLISO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJZLIOS,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X
TJZLSIO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJZLSOI,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJZLOIS,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X
TJZLOSI,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TJZSILO,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TJZSIOL,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TJZSLIO,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TJZSLOI,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
