sequence,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcB5jB?FiB8nB6rBmsB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcBxdB?UiBGjB6rBVyB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcBldB?5jBUiBeoB6rB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcB0dB?6jBxmBVtBurB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcBxdB?8nB+oBlmBCsB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcBxdB?FiB8nB+oB6rB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhF5jBFhB?XiB8nB6rBmsB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFxdBFhB?XiB8nB+oB6rB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFxcBFhB?0iB6oBurBXtB
IJLTOZS,X,X,O,X,X,X,X,X,O
IJLSTZO,X,X,O,X,X,X,X,X,X
IJLSTOZ,X,X,O,X,X,O,X,X,X
IJLSZTO,O,X,O,X,X,O,X,X,X
IJLSZOT,O,X,O,X,X,O,X,X,X
IJLSOTZ,X,X,O,X,O,O,X,X,X
IJLSOZT,O,X,O,X,O,O,X,X,X
IJLZTSO,O,X,O,X,O,O,X,X,O
IJLZTOS,O,X,O,X,O,O,X,X,O
IJLZSTO,O,X,O,X,X,O,X,O,X
IJLZSOT,O,X,O,X,O,O,X,O,X
IJLZOTS,O,X,O,X,O,O,X,X,O
IJLZOST,O,X,O,X,O,O,X,O,X
IJLOTSZ,X,X,O,X,O,O,X,X,X
IJLOTZS,X,X,O,X,X,X,X,X,O
IJLOSTZ,X,X,O,X,O,O,X,X,X
IJLOSZT,O,X,O,X,O,O,X,X,X
IJLOZTS,O,X,O,X,O,O,X,X,O
IJLOZST,O,X,O,X,O,O,X,O,X
IJSTLZO,X,X,O,O,X,X,X,X,X
IJSTLOZ,X,X,O,O,O,X,X,X,X
IJSTZLO,X,X,O,O,O,X,X,X,X
IJSTZOL,X,X,O,O,O,X,X,X,X
IJSTOLZ,X,X,O,O,O,X,X,X,X
IJSTOZL,X,X,O,O,O,O,X,X,X
IJSLTZO,X,X,O,X,X,X,X,X,X
IJSLTOZ,X,X,O,X,X,O,X,X,X
IJSLZTO,X,X,O,X,X,X,X,X,X
IJSLZOT,X,X,O,X,X,O,X,X,X
IJSLOTZ,X,X,O,X,O,O,X,X,X
IJSLOZT,X,X,O,X,O,O,X,X,X
IJSZTLO,X,X,O,X,O,O,X,O,X
IJSZTOL,X,X,O,X,O,O,X,O,X
IJSZLTO,X,X,O,X,X,O,X,O,X
IJSZLOT,X,X,O,X,O,O,X,O,X
IJSZOTL,X,X,O,X,O,O,X,O,X
IJSZOLT,X,X,O,X,O,O,X,O,X
IJSOTLZ,X,X,O,O,O,X,X,X,X
IJSOTZL,X,X,O,O,O,O,X,X,X
IJSOLTZ,X,X,O,X,O,O,X,X,X
IJSOLZT,X,X,O,X,O,O,X,X,X
IJSOZTL,X,X,O,X,O,O,X,O,X
IJSOZLT,X,X,O,X,O,O,X,O,X
IJZTLSO,X,X,O,X,O,O,X,X,O
IJZTLOS,X,X,O,X,O,O,X,X,O
IJZTSLO,X,X,O,X,O,O,X,O,O
IJZTSOL,X,X,O,X,O,O,O,O,O
IJZTOLS,X,X,O,X,O,O,X,X,O
IJZTOSL,X,X,O,X,O,O,O,O,O
IJZLTSO,O,X,O,X,O,O,X,X,O
IJZLTOS,O,X,O,X,O,O,X,X,O
IJZLSTO,O,X,O,X,X,O,X,O,X
IJZLSOT,O,X,O,X,O,O,X,O,X
IJZLOTS,O,X,O,X,O,O,X,X,O
IJZLOST,O,X,O,X,O,O,X,O,X
IJZSTLO,X,X,O,X,O,O,X,O,X
IJZSTOL,X,X,O,X,O,O,O,O,X
IJZSLTO,X,X,O,X,X,O,X,O,X
IJZSLOT,X,X,O,X,O,O,X,O,X
IJZSOTL,X,X,O,X,O,O,O,O,X
IJZSOLT,X,X,O,X,O,O,X,O,X
IJZOTLS,X,X,O,X,O,O,X,X,O
IJZOTSL,X,X,O,X,O,O,O,O,O
IJZOLTS,O,X,O,X,O,O,X,X,O
IJZOLST,O,X,O,X,O,O,X,O,X
IJZOSTL,X,X,O,X,O,O,O,O,X
IJZOSLT,X,X,O,X,O,O,X,O,X
IJOTLSZ,X,X,O,O,O,O,X,X,X
IJOTLZS,X,X,O,O,X,X,X,X,O
IJOTSLZ,X,X,O,O,O,X,X,X,X
IJOTSZL,X,X,O,O,O,O,X,X,O
IJOTZLS,X,X,O,O,O,O,X,X,O
IJOTZSL,X,X,O,O,O,O,O,O,O
IJOLTSZ,X,X,O,X,O,O,X,X,X
IJOLTZS,X,X,O,X,X,X,X,X,O
IJOLSTZ,X,X,O,X,O,O,X,X,X
IJOLSZT,O,X,O,X,O,O,X,X,X
IJOLZTS,O,X,O,X,O,O,X,X,O
IJOLZST,O,X,O,X,O,O,X,O,X
IJOSTLZ,X,X,O,O,O,X,X,X,X
IJOSTZL,X,X,O,O,O,O,X,X,X
IJOSLTZ,X,X,O,X,O,O,X,X,X
IJOSLZT,X,X,O,X,O,O,X,X,X
IJOSZTL,X,X,O,X,O,O,X,O,X
IJOSZLT,X,X,O,X,O,O,X,O,X
IJOZTLS,X,X,O,X,O,O,X,X,O
IJOZTSL,X,X,O,X,O,O,O,O,O
IJOZLTS,O,X,O,X,O,O,X,X,O
IJOZLST,O,X,O,X,O,O,X,O,X
IJOZSTL,X,X,O,X,O,O,O,O,X
IJOZSLT,X,X,O,X,O,O,X,O,X
ISTLJZO,X,X,X,O,X,X,X,X,X
ISTLJOZ,X,X,X,O,X,X,X,X,X
ISTLZJO,X,X,X,O,X,X,X,X,X
ISTLZOJ,X,X,X,O,X,X,X,X,X
ISTLOJZ,X,X,X,O,X,X,X,X,X
ISTLOZJ,X,X,X,O,X,X,X,X,X
ISTJLZO,X,X,X,O,X,X,X,X,X
ISTJLOZ,X,O,O,O,O,X,X,X,X
ISTJZLO,X,O,O,O,O,X,X,X,X
ISTJZOL,X,O,O,O,O,X,X,X,X
ISTJOLZ,X,O,O,O,O,X,X,X,X
ISTJOZL,X,O,O,O,O,X,X,X,X
ISTZLJO,X,X,X,O,X,X,X,X,X
ISTZLOJ,X,O,X,O,X,X,O,X,X
ISTZJLO,X,O,X,O,X,X,X,X,X
ISTZJOL,X,O,X,O,X,X,O,X,X
ISTZOLJ,X,O,X,O,X,X,O,X,X
ISTZOJL,X,O,X,O,X,X,O,X,X
ISTOLJZ,X,X,X,O,X,X,X,X,X
ISTOLZJ,X,X,X,O,X,X,X,X,X
ISTOJLZ,X,O,O,O,O,X,X,X,X
ISTOJZL,X,O,O,O,O,X,X,X,X
ISTOZLJ,X,O,X,O,X,X,O,X,X
ISTOZJL,X,O,X,O,X,X,O,X,X
ISLTJZO,X,X,O,O,X,X,X,X,X
ISLTJOZ,X,X,O,O,X,X,X,X,X
ISLTZJO,O,X,X,O,X,X,X,X,X
ISLTZOJ,O,X,X,O,X,X,X,X,X
ISLTOJZ,X,X,O,O,X,X,X,X,X
ISLTOZJ,O,X,X,O,X,X,X,X,X
ISLJTZO,X,X,O,X,X,X,X,X,X
ISLJTOZ,X,X,O,X,X,X,X,X,X
ISLJZTO,O,X,O,X,X,X,X,X,X
ISLJZOT,O,X,O,X,X,X,X,X,X
ISLJOTZ,X,X,O,X,X,X,X,X,X
ISLJOZT,O,X,O,X,X,X,X,X,X
ISLZTJO,O,X,X,X,X,X,X,X,X
ISLZTOJ,O,X,X,X,X,X,X,X,X
ISLZJTO,O,X,O,X,X,X,X,X,X
ISLZJOT,O,X,O,X,X,X,X,X,X
ISLZOTJ,O,X,X,X,X,X,X,X,X
ISLZOJT,O,X,O,X,X,X,X,X,X
ISLOTJZ,X,X,O,O,X,X,X,X,X
ISLOTZJ,O,X,X,O,X,X,X,X,X
ISLOJTZ,X,X,O,X,X,X,X,X,X
ISLOJZT,O,X,O,X,X,X,X,X,X
ISLOZTJ,O,X,X,X,X,X,X,X,X
ISLOZJT,O,X,O,X,X,X,X,X,X
ISJTLZO,X,X,O,O,X,X,X,X,X
ISJTLOZ,X,X,O,O,O,X,X,X,X
ISJTZLO,X,X,O,O,O,X,X,X,X
ISJTZOL,X,X,O,O,O,X,X,X,X
ISJTOLZ,X,X,O,O,O,X,X,X,X
ISJTOZL,X,X,O,O,O,O,X,X,X
ISJLTZO,X,X,O,X,X,X,X,X,X
ISJLTOZ,X,X,O,X,X,X,X,X,X
ISJLZTO,X,X,O,X,X,X,X,X,X
ISJLZOT,X,X,O,X,X,X,X,X,X
ISJLOTZ,X,X,O,X,O,X,X,X,X
ISJLOZT,X,X,O,X,O,O,X,X,X
ISJZTLO,X,X,O,X,X,O,X,X,X
ISJZTOL,X,X,O,X,O,O,X,X,X
ISJZLTO,X,X,O,X,X,X,X,X,X
ISJZLOT,X,X,O,X,O,O,X,X,X
ISJZOTL,X,X,O,X,O,O,X,X,X
ISJZOLT,X,X,O,X,O,O,X,X,X
ISJOTLZ,X,X,O,O,O,X,X,X,X
ISJOTZL,X,X,O,O,O,O,X,X,X
ISJOLTZ,X,X,O,X,O,X,X,X,X
ISJOLZT,X,X,O,X,O,O,X,X,X
ISJOZTL,X,X,O,X,O,O,X,X,X
ISJOZLT,X,X,O,X,O,O,X,X,X
ISZTLJO,X,X,X,O,X,X,X,X,X
ISZTLOJ,X,O,X,O,X,X,O,X,X
ISZTJLO,X,O,X,O,X,X,X,X,X
ISZTJOL,X,O,X,O,X,X,O,X,X
ISZTOLJ,X,O,X,O,X,X,O,X,X
ISZTOJL,X,O,X,O,X,X,O,X,X
ISZLTJO,O,X,X,X,X,X,X,X,X
ISZLTOJ,O,X,X,X,X,X,O,X,X
ISZLJTO,O,X,X,X,X,X,X,X,X
ISZLJOT,O,X,X,X,X,X,X,X,X
ISZLOTJ,O,O,X,X,X,X,O,X,X
ISZLOJT,O,X,X,X,X,X,X,X,X
ISZJTLO,X,X,O,X,X,X,X,X,X
ISZJTOL,X,X,O,X,X,X,O,X,X
ISZJLTO,X,X,O,X,X,X,X,X,X
ISZJLOT,X,X,O,X,X,X,X,X,X
ISZJOTL,X,O,O,X,X,X,O,X,X
ISZJOLT,X,X,O,X,X,X,X,X,X
ISZOTLJ,X,O,X,O,X,X,O,X,X
ISZOTJL,X,O,X,O,X,X,O,X,X
ISZOLTJ,O,O,X,X,X,X,O,X,X
ISZOLJT,O,X,X,X,X,X,X,X,X
ISZOJTL,X,O,O,X,X,X,O,X,X
ISZOJLT,X,X,O,X,X,X,X,X,X
ISOTLJZ,X,X,X,O,X,X,X,X,X
ISOTLZJ,X,X,X,O,X,X,X,X,X
ISOTJLZ,X,O,O,O,O,X,X,X,X
ISOTJZL,X,O,O,O,O,X,X,X,X
ISOTZLJ,X,O,X,O,X,X,O,X,X
ISOTZJL,X,O,X,O,X,X,O,X,X
ISOLTJZ,X,X,O,O,X,X,X,X,X
ISOLTZJ,O,X,X,O,X,X,X,X,X
ISOLJTZ,X,X,O,X,X,X,X,X,X
ISOLJZT,O,X,O,X,X,X,X,X,X
ISOLZTJ,O,X,X,X,X,X,X,X,X
ISOLZJT,O,X,O,X,X,X,X,X,X
ISOJTLZ,X,X,O,O,O,X,X,X,X
ISOJTZL,X,X,O,O,O,O,X,X,X
ISOJLTZ,X,X,O,X,O,X,X,X,X
ISOJLZT,X,X,O,X,O,O,X,X,X
ISOJZTL,X,X,O,X,O,O,X,X,X
ISOJZLT,X,X,O,X,O,O,X,X,X
ISOZTLJ,X,O,X,O,X,X,O,X,X
ISOZTJL,X,O,X,O,X,X,O,X,X
ISOZLTJ,O,O,X,X,X,X,O,X,X
ISOZLJT,O,X,X,X,X,X,X,X,X
ISOZJTL,X,O,O,X,X,X,O,X,X
ISOZJLT,X,X,O,X,X,X,X,X,X
IZTLJSO,O,X,X,O,X,X,X,X,X
IZTLJOS,O,X,X,O,X,X,X,X,X
IZTLSJO,O,X,X,O,X,X,X,X,X
IZTLSOJ,O,O,X,O,X,X,O,X,X
IZTLOJS,O,X,X,O,X,X,X,X,X
IZTLOSJ,O,O,X,O,X,X,O,X,X
IZTJLSO,X,O,X,O,X,X,X,X,X
IZTJLOS,X,O,X,O,X,X,X,X,X
IZTJSLO,X,O,X,O,X,X,X,X,X
IZTJSOL,X,O,X,O,X,X,O,X,X
IZTJOLS,X,O,X,O,X,X,X,X,X
IZTJOSL,X,O,X,O,X,X,O,X,X
IZTSLJO,X,X,X,O,X,X,X,X,X
IZTSLOJ,X,O,X,O,X,X,O,X,X
IZTSJLO,X,O,X,O,X,X,X,X,X
IZTSJOL,X,O,X,O,X,X,O,X,X
IZTSOLJ,X,O,X,O,X,X,O,X,X
IZTSOJL,X,O,X,O,X,X,O,X,X
IZTOLJS,O,X,X,O,X,X,X,X,X
IZTOLSJ,O,O,X,O,X,X,O,X,X
IZTOJLS,X,O,X,O,X,X,X,X,X
IZTOJSL,X,O,X,O,X,X,O,X,X
IZTOSLJ,X,O,X,O,X,X,O,X,X
IZTOSJL,X,O,X,O,X,X,O,X,X
IZLTJSO,O,X,X,X,X,X,X,X,X
IZLTJOS,O,X,X,X,X,X,X,X,X
IZLTSJO,O,X,X,X,X,X,X,X,X
IZLTSOJ,O,X,X,X,X,X,O,X,X
IZLTOJS,O,X,X,X,X,X,X,X,X
IZLTOSJ,O,X,X,X,X,X,O,X,X
IZLJTSO,O,X,O,X,X,X,X,X,X
IZLJTOS,O,X,O,X,X,X,X,X,X
IZLJSTO,O,X,O,X,X,X,X,X,X
IZLJSOT,O,X,O,X,X,X,X,X,X
IZLJOTS,O,X,O,X,X,X,X,X,X
IZLJOST,O,X,O,X,X,X,X,X,X
IZLSTJO,O,X,X,X,X,X,X,X,X
IZLSTOJ,O,X,X,X,X,X,O,X,X
IZLSJTO,O,X,O,X,X,X,X,X,X
IZLSJOT,O,X,O,X,X,X,X,X,X
IZLSOTJ,O,O,X,X,X,X,O,X,X
IZLSOJT,O,X,O,X,X,X,X,X,X
IZLOTJS,O,X,X,X,X,X,X,X,X
IZLOTSJ,O,X,X,X,X,X,O,X,X
IZLOJTS,O,X,O,X,X,X,X,X,X
IZLOJST,O,X,O,X,X,X,X,X,X
IZLOSTJ,O,O,X,X,X,X,O,X,X
IZLOSJT,O,X,O,X,X,X,X,X,X
IZJTLSO,X,X,O,X,X,X,X,X,X
IZJTLOS,X,X,O,X,X,X,X,X,X
IZJTSLO,X,X,O,X,X,X,X,X,X
IZJTSOL,X,X,O,X,X,X,O,X,X
IZJTOLS,X,X,O,X,X,X,X,X,X
IZJTOSL,X,X,O,X,X,X,O,X,X
IZJLTSO,O,X,O,X,X,X,X,X,X
IZJLTOS,O,X,O,X,X,X,X,X,X
IZJLSTO,O,X,O,X,X,X,X,X,X
IZJLSOT,O,X,O,X,X,X,X,X,X
IZJLOTS,O,X,O,X,X,X,X,X,X
IZJLOST,O,X,O,X,X,X,X,X,X
IZJSTLO,X,X,O,X,X,X,X,X,X
IZJSTOL,X,X,O,X,X,X,O,X,X
IZJSLTO,X,X,O,X,X,X,X,X,X
IZJSLOT,X,X,O,X,X,X,X,X,X
IZJSOTL,X,O,O,X,X,X,O,X,X
IZJSOLT,X,X,O,X,X,X,X,X,X
IZJOTLS,X,X,O,X,X,X,X,X,X
IZJOTSL,X,X,O,X,X,X,O,X,X
IZJOLTS,O,X,O,X,X,X,X,X,X
IZJOLST,O,X,O,X,X,X,X,X,X
IZJOSTL,X,O,O,X,X,X,O,X,X
IZJOSLT,X,X,O,X,X,X,X,X,X
IZSTLJO,X,X,X,O,X,X,X,X,X
IZSTLOJ,X,O,X,O,X,X,O,X,X
IZSTJLO,X,O,X,O,X,X,X,X,X
IZSTJOL,X,O,X,O,X,X,O,X,X
IZSTOLJ,X,O,X,O,X,X,O,X,X
IZSTOJL,X,O,X,O,X,X,O,X,X
IZSLTJO,O,X,X,X,X,X,X,X,X
IZSLTOJ,O,X,X,X,X,X,O,X,X
IZSLJTO,O,X,X,X,X,X,X,X,X
IZSLJOT,O,X,X,X,X,X,X,X,X
IZSLOTJ,O,O,X,X,X,X,O,X,X
IZSLOJT,O,X,X,X,X,X,X,X,X
IZSJTLO,X,X,O,X,X,X,X,X,X
IZSJTOL,X,X,O,X,X,X,O,X,X
IZSJLTO,X,X,O,X,X,X,X,X,X
IZSJLOT,X,X,O,X,X,X,X,X,X
IZSJOTL,X,O,O,X,X,X,O,X,X
IZSJOLT,X,X,O,X,X,X,X,X,X
IZSOTLJ,X,O,X,O,X,X,O,X,X
IZSOTJL,X,O,X,O,X,X,O,X,X
IZSOLTJ,O,O,X,X,X,X,O,X,X
IZSOLJT,O,X,X,X,X,X,X,X,X
IZSOJTL,X,O,O,X,X,X,O,X,X
IZSOJLT,X,X,O,X,X,X,X,X,X
IZOTLJS,O,X,X,O,X,X,X,X,X
IZOTLSJ,O,O,X,O,X,X,O,X,X
IZOTJLS,X,O,X,O,X,X,X,X,X
IZOTJSL,X,O,X,O,X,X,O,X,X
IZOTSLJ,X,O,X,O,X,X,O,X,X
IZOTSJL,X,O,X,O,X,X,O,X,X
IZOLTJS,O,X,X,X,X,X,X,X,X
IZOLTSJ,O,X,X,X,X,X,O,X,X
IZOLJTS,O,X,O,X,X,X,X,X,X
IZOLJST,O,X,O,X,X,X,X,X,X
IZOLSTJ,O,O,X,X,X,X,O,X,X
IZOLSJT,O,X,O,X,X,X,X,X,X
IZOJTLS,X,X,O,X,X,X,X,X,X
IZOJTSL,X,X,O,X,X,X,O,X,X
IZOJLTS,O,X,O,X,X,X,X,X,X
IZOJLST,O,X,O,X,X,X,X,X,X
IZOJSTL,X,O,O,X,X,X,O,X,X
IZOJSLT,X,X,O,X,X,X,X,X,X
IZOSTLJ,X,O,X,O,X,X,O,X,X
IZOSTJL,X,O,X,O,X,X,O,X,X
IZOSLTJ,O,O,X,X,X,X,O,X,X
IZOSLJT,O,X,X,X,X,X,X,X,X
IZOSJTL,X,O,O,X,X,X,O,X,X
IZOSJLT,X,X,O,X,X,X,X,X,X
IOTLJSZ,X,O,O,O,X,X,X,X,X
IOTLJZS,X,O,O,O,X,X,X,X,X
IOTLSJZ,X,O,O,O,X,X,X,X,X
IOTLSZJ,O,O,X,O,X,X,X,X,X
IOTLZJS,O,O,X,O,X,X,X,X,X
IOTLZSJ,O,O,X,O,X,X,O,X,X
IOTJLSZ,X,O,O,O,O,X,X,X,X
IOTJLZS,X,O,O,O,X,X,X,X,X
IOTJSLZ,X,O,O,O,O,X,X,X,X
IOTJSZL,X,O,O,O,O,X,X,X,X
IOTJZLS,X,O,O,O,O,X,X,X,X
IOTJZSL,X,O,O,O,O,X,O,O,X
IOTSLJZ,X,X,X,O,X,X,X,X,X
IOTSLZJ,X,X,X,O,X,X,X,X,X
IOTSJLZ,X,O,O,O,O,X,X,X,X
IOTSJZL,X,O,O,O,O,X,X,X,X
IOTSZLJ,X,O,X,O,X,X,O,X,X
IOTSZJL,X,O,X,O,X,X,O,X,X
IOTZLJS,O,X,X,O,X,X,X,X,X
IOTZLSJ,O,O,X,O,X,X,O,X,X
IOTZJLS,X,O,X,O,X,X,X,X,X
IOTZJSL,X,O,X,O,X,X,O,X,X
IOTZSLJ,X,O,X,O,X,X,O,X,X
IOTZSJL,X,O,X,O,X,X,O,X,X
IOLTJSZ,X,O,O,O,X,X,X,X,X
IOLTJZS,X,O,O,O,X,X,X,X,X
IOLTSJZ,X,O,O,O,X,X,X,X,X
IOLTSZJ,O,O,X,O,X,X,X,X,X
IOLTZJS,O,O,X,O,X,X,X,X,X
IOLTZSJ,O,O,X,O,X,X,O,X,X
IOLJTSZ,X,X,O,X,X,O,X,X,X
IOLJTZS,X,X,O,X,X,X,X,X,O
IOLJSTZ,X,X,O,X,X,O,X,X,X
IOLJSZT,O,X,O,X,X,O,X,X,X
IOLJZTS,O,X,O,X,X,O,X,X,O
IOLJZST,O,X,O,X,X,O,X,X,X
IOLSTJZ,X,O,O,O,X,X,X,X,X
IOLSTZJ,O,O,X,O,X,X,X,X,X
IOLSJTZ,X,X,O,X,X,O,X,X,X
IOLSJZT,O,X,O,X,X,O,X,X,X
IOLSZTJ,O,O,X,X,X,X,X,X,X
IOLSZJT,O,O,O,X,X,X,X,X,X
IOLZTJS,O,O,X,X,X,X,X,X,X
IOLZTSJ,O,O,X,X,X,X,O,X,X
IOLZJTS,O,X,O,X,X,X,X,X,X
IOLZJST,O,O,O,X,X,X,X,X,X
IOLZSTJ,O,O,X,X,X,X,O,X,X
IOLZSJT,O,O,O,X,X,X,X,X,X
IOJTLSZ,X,X,O,O,O,O,X,X,X
IOJTLZS,X,X,O,O,X,X,X,X,O
IOJTSLZ,X,X,O,O,O,X,X,X,X
IOJTSZL,X,X,O,O,O,O,X,X,O
IOJTZLS,X,X,O,O,O,O,X,X,O
IOJTZSL,X,X,O,O,O,O,O,O,O
IOJLTSZ,X,X,O,X,O,O,X,X,X
IOJLTZS,X,X,O,X,X,X,X,X,O
IOJLSTZ,X,X,O,X,O,O,X,X,X
IOJLSZT,O,X,O,X,O,O,X,X,X
IOJLZTS,O,X,O,X,O,O,X,X,O
IOJLZST,O,X,O,X,O,O,X,O,X
IOJSTLZ,X,X,O,O,O,X,X,X,X
IOJSTZL,X,X,O,O,O,O,X,X,X
IOJSLTZ,X,X,O,X,O,O,X,X,X
IOJSLZT,X,X,O,X,O,O,X,X,X
IOJSZTL,X,X,O,X,O,O,X,O,X
IOJSZLT,X,X,O,X,O,O,X,O,X
IOJZTLS,X,X,O,X,O,O,X,X,O
IOJZTSL,X,X,O,X,O,O,O,O,O
IOJZLTS,O,X,O,X,O,O,X,X,O
IOJZLST,O,X,O,X,O,O,X,O,X
IOJZSTL,X,X,O,X,O,O,O,O,X
IOJZSLT,X,X,O,X,O,O,X,O,X
IOSTLJZ,X,X,X,O,X,X,X,X,X
IOSTLZJ,X,X,X,O,X,X,X,X,X
IOSTJLZ,X,O,O,O,O,X,X,X,X
IOSTJZL,X,O,O,O,O,X,X,X,X
IOSTZLJ,X,O,X,O,X,X,O,X,X
IOSTZJL,X,O,X,O,X,X,O,X,X
IOSLTJZ,X,X,O,O,X,X,X,X,X
IOSLTZJ,O,X,X,O,X,X,X,X,X
IOSLJTZ,X,X,O,X,X,X,X,X,X
IOSLJZT,O,X,O,X,X,X,X,X,X
IOSLZTJ,O,X,X,X,X,X,X,X,X
IOSLZJT,O,X,O,X,X,X,X,X,X
IOSJTLZ,X,X,O,O,O,X,X,X,X
IOSJTZL,X,X,O,O,O,O,X,X,X
IOSJLTZ,X,X,O,X,O,X,X,X,X
IOSJLZT,X,X,O,X,O,O,X,X,X
IOSJZTL,X,X,O,X,O,O,X,X,X
IOSJZLT,X,X,O,X,O,O,X,X,X
IOSZTLJ,X,O,X,O,X,X,O,X,X
IOSZTJL,X,O,X,O,X,X,O,X,X
IOSZLTJ,O,O,X,X,X,X,O,X,X
IOSZLJT,O,X,X,X,X,X,X,X,X
IOSZJTL,X,O,O,X,X,X,O,X,X
IOSZJLT,X,X,O,X,X,X,X,X,X
IOZTLJS,O,X,X,O,X,X,X,X,X
IOZTLSJ,O,O,X,O,X,X,O,X,X
IOZTJLS,X,O,X,O,X,X,X,X,X
IOZTJSL,X,O,X,O,X,X,O,X,X
IOZTSLJ,X,O,X,O,X,X,O,X,X
IOZTSJL,X,O,X,O,X,X,O,X,X
IOZLTJS,O,X,X,X,X,X,X,X,X
IOZLTSJ,O,X,X,X,X,X,O,X,X
IOZLJTS,O,X,O,X,X,X,X,X,X
IOZLJST,O,X,O,X,X,X,X,X,X
IOZLSTJ,O,O,X,X,X,X,O,X,X
IOZLSJT,O,X,O,X,X,X,X,X,X
IOZJTLS,X,X,O,X,X,X,X,X,X
IOZJTSL,X,X,O,X,X,X,O,X,X
IOZJLTS,O,X,O,X,X,X,X,X,X
IOZJLST,O,X,O,X,X,X,X,X,X
IOZJSTL,X,O,O,X,X,X,O,X,X
IOZJSLT,X,X,O,X,X,X,X,X,X
IOZSTLJ,X,O,X,O,X,X,O,X,X
IOZSTJL,X,O,X,O,X,X,O,X,X
IOZSLTJ,O,O,X,X,X,X,O,X,X
IOZSLJT,O,X,X,X,X,X,X,X,X
IOZSJTL,X,O,O,X,X,X,O,X,X
IOZSJLT,X,X,O,X,X,X,X,X,X
LTIJSZO,X,O,O,O,X,X,X,X,X
LTIJSOZ,X,O,O,O,X,X,X,X,X
LTIJZSO,X,O,O,O,X,X,X,X,X
LTIJZOS,X,O,O,O,X,X,X,X,X
LTIJOSZ,X,O,O,O,X,X,X,X,X
LTIJOZS,X,O,O,O,X,X,X,X,X
LTISJZO,X,O,O,O,X,X,X,X,X
LTISJOZ,X,O,O,O,X,X,X,X,X
LTISZJO,O,O,X,O,X,X,X,X,X
LTISZOJ,O,O,X,O,X,X,X,X,X
LTISOJZ,X,O,O,O,X,X,X,X,X
LTISOZJ,O,O,X,O,X,X,X,X,X
LTIZJSO,O,O,X,O,X,X,X,X,X
LTIZJOS,O,O,X,O,X,X,X,X,X
LTIZSJO,O,O,X,O,X,X,X,X,X
LTIZSOJ,O,O,X,O,X,X,O,X,X
LTIZOJS,O,O,X,O,X,X,X,X,X
LTIZOSJ,O,O,X,O,X,X,O,X,X
LTIOJSZ,X,O,O,O,X,X,X,X,X
LTIOJZS,X,O,O,O,X,X,X,X,X
LTIOSJZ,X,O,O,O,X,X,X,X,X
LTIOSZJ,O,O,X,O,X,X,X,X,X
LTIOZJS,O,O,X,O,X,X,X,X,X
LTIOZSJ,O,O,X,O,X,X,O,X,X
LTJISZO,X,O,O,O,X,X,X,X,X
LTJISOZ,X,O,O,O,O,O,X,X,X
LTJIZSO,X,O,O,O,X,X,X,X,O
LTJIZOS,X,O,O,O,X,X,X,X,O
LTJIOSZ,X,O,O,O,O,O,X,X,X
LTJIOZS,X,O,O,O,X,X,X,X,O
LTJSIZO,X,O,O,O,X,X,X,X,X
LTJSIOZ,X,O,O,O,O,O,X,X,X
LTJSZIO,O,O,O,X,O,O,X,X,O
LTJSZOI,O,O,O,O,O,O,X,X,O
LTJSOIZ,X,O,O,O,O,O,X,X,X
LTJSOZI,O,O,O,O,O,O,X,X,O
LTJZISO,O,O,O,O,O,O,X,X,O
LTJZIOS,O,O,O,O,O,O,X,X,O
LTJZSIO,O,O,O,X,O,O,X,O,O
LTJZSOI,O,O,O,O,O,O,X,O,O
LTJZOIS,O,O,O,O,O,O,X,X,O
LTJZOSI,O,O,O,O,O,O,X,O,O
LTJOISZ,X,O,O,O,O,O,X,X,X
LTJOIZS,X,O,O,O,X,X,X,X,O
LTJOSIZ,X,O,O,O,O,O,X,X,X
LTJOSZI,O,O,O,O,O,O,X,X,O
LTJOZIS,O,O,O,O,O,O,X,X,O
LTJOZSI,O,O,O,O,O,O,X,O,O
LTSIJZO,X,O,O,O,X,X,X,X,X
LTSIJOZ,X,O,O,O,X,X,X,X,X
LTSIZJO,O,O,X,O,X,X,X,X,X
LTSIZOJ,O,O,X,O,X,X,X,X,X
LTSIOJZ,X,O,O,O,X,X,X,X,X
LTSIOZJ,O,O,X,O,X,X,X,X,X
LTSJIZO,X,O,O,O,X,X,X,X,X
LTSJIOZ,X,O,O,O,O,O,X,X,X
LTSJZIO,O,O,O,X,O,O,X,X,X
LTSJZOI,O,O,O,O,O,O,X,X,X
LTSJOIZ,X,O,O,O,O,O,X,X,X
LTSJOZI,O,O,O,O,O,O,X,X,X
LTSZIJO,O,O,X,O,X,X,X,X,X
