sequence,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcB5jB?FiB8nB6rBmsB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcBxdB?UiBGjB6rBVyB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcBldB?5jBUiBeoB6rB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcB0dB?6jBxmBVtBurB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcBxdB?8nB+oBlmBCsB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcBxdB?FiB8nB+oB6rB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhF5jBFhB?XiB8nB6rBmsB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFxdBFhB?XiB8nB+oB6rB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFxcBFhB?0iB6oBurBXtB
TJIZOLS,X,O,O,O,O,O,X,X,O
TJIZOSL,X,O,O,O,O,O,O,O,O
TJIOLSZ,X,O,O,O,O,O,X,X,X
TJIOLZS,X,O,O,O,X,X,X,X,O
TJIOSLZ,X,O,O,O,O,X,X,X,X
TJIOSZL,X,O,O,O,O,O,X,X,O
TJIOZLS,X,O,O,O,O,O,X,X,O
TJIOZSL,X,O,O,O,O,O,O,O,O
TJLISZO,X,O,O,O,X,X,X,X,X
TJLISOZ,X,O,O,O,O,O,X,X,X
TJLIZSO,X,O,O,O,X,X,X,X,O
TJLIZOS,X,O,O,O,X,X,X,X,O
TJLIOSZ,X,O,O,O,O,O,X,X,X
TJLIOZS,X,O,O,O,X,X,X,X,O
TJLSIZO,X,O,O,O,X,X,X,X,X
TJLSIOZ,X,O,O,O,O,O,X,X,X
TJLSZIO,X,O,O,X,O,O,X,X,O
TJLSZOI,X,O,O,O,O,O,X,X,O
TJLSOIZ,X,O,O,O,O,O,X,X,X
TJLSOZI,X,O,O,O,O,O,X,X,O
TJLZISO,X,O,O,O,O,O,X,X,O
TJLZIOS,X,O,O,O,O,O,X,X,O
TJLZSIO,X,O,O,X,O,O,X,O,O
TJLZSOI,X,O,O,O,O,O,X,O,O
TJLZOIS,X,O,O,O,O,O,X,X,O
TJLZOSI,X,O,O,O,O,O,X,O,O
TJLOISZ,X,O,O,O,O,O,X,X,X
TJLOIZS,X,O,O,O,X,X,X,X,O
TJLOSIZ,X,O,O,O,O,O,X,X,X
TJLOSZI,X,O,O,O,O,O,X,X,O
TJLOZIS,X,O,O,O,O,O,X,X,O
TJLOZSI,X,O,O,O,O,O,X,O,O
TJSILZO,X,O,O,O,X,X,X,X,X
TJSILOZ,X,O,O,O,O,X,X,X,X
TJSIZLO,X,O,O,O,O,X,X,X,O
TJSIZOL,X,O,O,O,O,X,X,X,O
TJSIOLZ,X,O,O,O,O,X,X,X,X
TJSIOZL,X,O,O,O,O,O,X,X,O
TJSLIZO,X,O,O,O,X,X,X,X,X
TJSLIOZ,X,O,O,O,O,X,X,X,X
TJSLZIO,X,O,O,X,O,X,X,X,O
TJSLZOI,X,O,O,O,O,X,X,X,O
TJSLOIZ,X,O,O,O,O,X,X,X,X
TJSLOZI,X,O,O,O,O,X,X,X,O
TJSZILO,X,O,O,X,O,O,X,O,O
TJSZIOL,X,O,O,X,O,O,O,O,O
TJSZLIO,X,O,O,X,O,O,X,O,O
TJSZLOI,X,O,O,O,O,O,X,O,O
TJSZOIL,X,O,O,X,O,O,O,O,O
TJSZOLI,X,O,O,O,O,O,X,O,O
TJSOILZ,X,O,O,O,O,X,X,X,X
TJSOIZL,X,O,O,O,O,O,X,X,O
TJSOLIZ,X,O,O,O,O,X,X,X,X
TJSOLZI,X,O,O,O,O,X,X,X,O
TJSOZIL,X,O,O,X,O,O,O,O,O
TJSOZLI,X,O,O,O,O,O,X,O,O
TJZILSO,X,O,O,O,O,O,X,X,O
TJZILOS,X,O,O,O,O,O,X,X,O
TJZISLO,X,O,O,O,O,O,X,O,O
TJZISOL,X,O,O,O,O,O,O,O,O
TJZIOLS,X,O,O,O,O,O,X,X,O
TJZIOSL,X,O,O,O,O,O,O,O,O
TJZLISO,X,O,O,O,O,O,X,X,O
TJZLIOS,X,O,O,O,O,O,X,X,O
TJZLSIO,X,O,O,X,O,O,X,O,O
TJZLSOI,X,O,O,O,O,O,X,O,O
TJZLOIS,X,O,O,O,O,O,X,X,O
TJZLOSI,X,O,O,O,O,O,X,O,O
TJZSILO,X,O,O,X,O,O,X,O,O
TJZSIOL,X,O,O,X,O,O,O,O,O
TJZSLIO,X,O,O,X,O,O,X,O,O
TJZSLOI,X,O,O,O,O,O,X,O,O
TJZSOIL,X,O,O,X,O,O,O,O,O
TJZSOLI,X,O,O,O,O,O,X,O,O
TJZOILS,X,O,O,O,O,O,X,X,O
TJZOISL,X,O,O,O,O,O,O,O,O
TJZOLIS,X,O,O,O,O,O,X,X,O
TJZOLSI,X,O,O,O,O,O,X,O,O
TJZOSIL,X,O,O,X,O,O,O,O,O
TJZOSLI,X,O,O,O,O,O,X,O,O
TJOILSZ,X,O,O,O,O,O,X,X,X
TJOILZS,X,O,O,O,X,X,X,X,O
TJOISLZ,X,O,O,O,O,X,X,X,X
TJOISZL,X,O,O,O,O,O,X,X,O
TJOIZLS,X,O,O,O,O,O,X,X,O
TJOIZSL,X,O,O,O,O,O,O,O,O
TJOLISZ,X,O,O,O,O,O,X,X,X
TJOLIZS,X,O,O,O,X,X,X,X,O
TJOLSIZ,X,O,O,O,O,O,X,X,X
TJOLSZI,X,O,O,O,O,O,X,X,O
TJOLZIS,X,O,O,O,O,O,X,X,O
TJOLZSI,X,O,O,O,O,O,X,O,O
TJOSILZ,X,O,O,O,O,X,X,X,X
TJOSIZL,X,O,O,O,O,O,X,X,O
TJOSLIZ,X,O,O,O,O,X,X,X,X
TJOSLZI,X,O,O,O,O,X,X,X,O
TJOSZIL,X,O,O,X,O,O,O,O,O
TJOSZLI,X,O,O,O,O,O,X,O,O
TJOZILS,X,O,O,O,O,O,X,X,O
TJOZISL,X,O,O,O,O,O,O,O,O
TJOZLIS,X,O,O,O,O,O,X,X,O
TJOZLSI,X,O,O,O,O,O,X,O,O
TJOZSIL,X,O,O,X,O,O,O,O,O
TJOZSLI,X,O,O,O,O,O,X,O,O
TSILJZO,X,X,X,O,X,X,X,X,X
TSILJOZ,X,X,X,O,X,X,X,X,X
TSILZJO,X,X,X,O,X,X,X,X,X
TSILZOJ,X,X,X,O,X,X,X,X,X
TSILOJZ,X,X,X,O,X,X,X,X,X
TSILOZJ,X,X,X,O,X,X,X,X,X
TSIJLZO,X,X,X,O,X,X,X,X,X
TSIJLOZ,X,O,O,O,O,X,X,X,X
TSIJZLO,X,O,O,O,O,X,X,X,X
TSIJZOL,X,O,O,O,O,X,X,X,X
TSIJOLZ,X,O,O,O,O,X,X,X,X
TSIJOZL,X,O,O,O,O,X,X,X,X
TSIZLJO,X,X,X,O,X,X,X,X,X
TSIZLOJ,X,O,X,O,X,X,O,X,X
TSIZJLO,X,O,X,O,X,X,X,X,X
TSIZJOL,X,O,X,O,X,X,O,X,X
TSIZOLJ,X,O,X,O,X,X,O,X,X
TSIZOJL,X,O,X,O,X,X,O,X,X
TSIOLJZ,X,X,X,O,X,X,X,X,X
TSIOLZJ,X,X,X,O,X,X,X,X,X
TSIOJLZ,X,O,O,O,O,X,X,X,X
TSIOJZL,X,O,O,O,O,X,X,X,X
TSIOZLJ,X,O,X,O,X,X,O,X,X
TSIOZJL,X,O,X,O,X,X,O,X,X
TSLIJZO,X,O,X,O,X,X,X,X,X
TSLIJOZ,X,O,X,O,X,X,X,X,X
TSLIZJO,X,O,X,O,X,X,X,X,X
TSLIZOJ,X,O,X,O,X,X,X,X,X
TSLIOJZ,X,O,X,O,X,X,X,X,X
TSLIOZJ,X,O,X,O,X,X,X,X,X
TSLJIZO,X,O,X,O,X,X,X,X,X
TSLJIOZ,X,O,X,O,O,X,X,X,X
TSLJZIO,X,O,X,X,O,X,X,X,X
TSLJZOI,X,O,X,O,O,X,X,X,X
TSLJOIZ,X,O,X,O,O,X,X,X,X
TSLJOZI,X,O,X,O,O,X,X,X,X
TSLZIJO,X,O,X,O,X,X,X,X,X
TSLZIOJ,X,O,X,O,X,X,O,X,X
TSLZJIO,X,O,X,X,X,X,X,X,X
TSLZJOI,X,O,X,O,X,X,X,X,X
TSLZOIJ,X,O,X,O,X,X,O,X,X
TSLZOJI,X,O,X,O,X,X,X,X,X
TSLOIJZ,X,O,X,O,X,X,X,X,X
TSLOIZJ,X,O,X,O,X,X,X,X,X
TSLOJIZ,X,O,X,O,O,X,X,X,X
TSLOJZI,X,O,X,O,O,X,X,X,X
TSLOZIJ,X,O,X,O,X,X,O,X,X
TSLOZJI,X,O,X,O,X,X,X,X,X
TSJILZO,X,O,X,O,X,X,X,X,X
TSJILOZ,X,O,O,O,O,X,X,X,X
TSJIZLO,X,O,O,O,O,X,X,X,X
TSJIZOL,X,O,O,O,O,X,X,X,X
TSJIOLZ,X,O,O,O,O,X,X,X,X
TSJIOZL,X,O,O,O,O,O,X,X,X
TSJLIZO,X,O,X,O,X,X,X,X,X
TSJLIOZ,X,O,O,O,O,X,X,X,X
TSJLZIO,X,O,X,X,O,X,X,X,X
TSJLZOI,X,O,X,O,O,X,X,X,X
TSJLOIZ,X,O,O,O,O,X,X,X,X
TSJLOZI,X,O,X,O,O,X,X,X,X
TSJZILO,X,O,O,X,O,O,X,O,X
TSJZIOL,X,O,O,X,O,O,O,O,X
TSJZLIO,X,O,O,X,O,O,X,O,X
TSJZLOI,X,O,O,O,O,O,X,O,X
TSJZOIL,X,O,O,X,O,O,O,O,X
TSJZOLI,X,O,O,O,O,O,X,O,X
TSJOILZ,X,O,O,O,O,X,X,X,X
TSJOIZL,X,O,O,O,O,O,X,X,X
TSJOLIZ,X,O,O,O,O,X,X,X,X
TSJOLZI,X,O,X,O,O,X,X,X,X
TSJOZIL,X,O,O,X,O,O,O,O,X
TSJOZLI,X,O,O,O,O,O,X,O,X
TSZILJO,X,X,X,O,X,X,X,X,X
TSZILOJ,X,O,X,O,X,X,O,X,X
TSZIJLO,X,O,X,O,X,X,X,X,X
TSZIJOL,X,O,X,O,X,X,O,X,X
TSZIOLJ,X,O,X,O,X,X,O,X,X
TSZIOJL,X,O,X,O,X,X,O,X,X
TSZLIJO,X,X,X,O,X,X,X,X,X
TSZLIOJ,X,O,X,O,X,X,O,X,X
TSZLJIO,X,O,X,X,X,X,X,X,X
TSZLJOI,X,O,X,O,X,X,X,X,X
TSZLOIJ,X,O,X,O,X,X,O,X,X
TSZLOJI,X,O,X,O,X,X,X,X,X
TSZJILO,X,O,O,X,O,X,X,X,X
TSZJIOL,X,O,O,X,O,X,O,X,X
TSZJLIO,X,O,O,X,O,X,X,X,X
TSZJLOI,X,O,O,O,O,X,X,X,X
TSZJOIL,X,O,O,X,O,X,O,X,X
TSZJOLI,X,O,O,O,O,X,X,X,X
TSZOILJ,X,O,X,O,X,X,O,X,X
TSZOIJL,X,O,X,O,X,X,O,X,X
TSZOLIJ,X,O,X,O,X,X,O,X,X
TSZOLJI,X,O,X,O,X,X,X,X,X
TSZOJIL,X,O,O,X,O,X,O,X,X
TSZOJLI,X,O,O,O,O,X,X,X,X
TSOILJZ,X,X,X,O,X,X,X,X,X
TSOILZJ,X,X,X,O,X,X,X,X,X
TSOIJLZ,X,O,O,O,O,X,X,X,X
TSOIJZL,X,O,O,O,O,X,X,X,X
TSOIZLJ,X,O,X,O,X,X,O,X,X
TSOIZJL,X,O,X,O,X,X,O,X,X
TSOLIJZ,X,O,X,O,X,X,X,X,X
TSOLIZJ,X,O,X,O,X,X,X,X,X
TSOLJIZ,X,O,X,O,O,X,X,X,X
TSOLJZI,X,O,X,O,O,X,X,X,X
TSOLZIJ,X,O,X,O,X,X,O,X,X
TSOLZJI,X,O,X,O,X,X,X,X,X
TSOJILZ,X,O,O,O,O,X,X,X,X
TSOJIZL,X,O,O,O,O,O,X,X,X
TSOJLIZ,X,O,O,O,O,X,X,X,X
TSOJLZI,X,O,X,O,O,X,X,X,X
TSOJZIL,X,O,O,X,O,O,O,O,X
TSOJZLI,X,O,O,O,O,O,X,O,X
TSOZILJ,X,O,X,O,X,X,O,X,X
