sequence,v115@zgB8HeB8HeC8GeF8CeH8BeA8JeT7IvhFxcB6jBXhBF?nB8sBmsB,v115@zgB8HeB8HeC8GeF8CeH8BeA8JeT7IvhFxcB6jBXhBl?iBUnBetB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Jei7IvhFWiBxdBzgBU?nBFoBXtB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Je/AJvhFRcBSiBTeB2?mBFoB0sB,v115@zgB8HeB8HeC8GeF8CeH8BeA8JeT7IvhFehBRdBCiB/?sBFoBctB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Jex7IvhF6iBTeB0gBl?hB/sBOtB,v115@zgB8HeB8HeC8GeF8CeH8BeA8JeT7IvhFehBCdBxiBU?nBFoBXtB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Je/AJvhFRcBGeBihBU?jBFnBzsB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Jem8IvhFSjBxgB0gBF?nBXoBzsB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Jem8IvhFfjB6jBxgB0?gBFnBzsB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Je/AJvhFRcBThBliB2?sBctBCtB,v115@zgB8HeB8HeC8GeF8CeH8BeA8JeT7IvhF2hBXeBcoBR?mBqsBFsB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Je2AJvhFCdBxiBzgBU?nBFoBXtB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Jei7IvhFFdBzgBfnB5?nBcoBOtB
TJLSOIZ,X,O,X,O,O,X,X,X,O,O,X,X,X,X
TJLSOZI,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TJLZISO,X,O,O,O,X,X,O,O,O,X,X,X,O,X
TJLZIOS,X,O,O,O,X,X,O,X,O,X,X,X,O,X
TJLZSIO,O,O,O,O,X,X,O,O,X,X,X,X,O,X
TJLZSOI,O,O,X,O,X,X,O,O,X,X,X,X,X,X
TJLZOIS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
TJLZOSI,X,O,X,O,X,X,O,O,X,X,X,X,X,X
TJLOISZ,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TJLOIZS,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TJLOSIZ,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TJLOSZI,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TJLOZIS,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TJLOZSI,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TJSILZO,X,O,X,O,O,O,X,O,O,O,X,X,X,X
TJSILOZ,X,O,X,O,O,O,X,X,O,O,X,X,X,X
TJSIZLO,X,O,X,O,X,O,X,O,O,O,X,X,X,X
TJSIZOL,X,O,X,O,X,O,X,O,X,X,X,X,X,X
TJSIOLZ,X,O,X,O,O,O,X,X,O,O,X,X,X,X
TJSIOZL,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TJSLIZO,X,O,X,O,O,O,X,O,O,O,X,X,X,X
TJSLIOZ,X,O,X,O,O,O,X,X,O,O,X,X,X,X
TJSLZIO,O,O,X,O,O,O,X,O,O,O,X,X,X,X
TJSLZOI,O,O,X,O,O,O,X,O,X,X,X,X,X,X
TJSLOIZ,X,O,X,O,O,O,X,X,O,O,X,X,X,X
TJSLOZI,O,O,X,O,O,O,X,X,X,X,X,X,X,X
TJSZILO,X,O,X,O,X,O,O,O,O,O,X,X,O,X
TJSZIOL,X,O,X,O,X,O,O,O,X,X,O,X,X,X
TJSZLIO,X,O,X,O,O,O,O,O,O,O,X,X,O,X
TJSZLOI,X,O,X,O,O,O,O,O,X,X,O,X,X,X
TJSZOIL,X,O,X,O,X,O,O,O,X,X,O,X,X,X
TJSZOLI,X,O,X,O,O,O,O,O,X,X,O,X,X,X
TJSOILZ,X,O,X,O,O,O,X,X,O,O,X,X,X,X
TJSOIZL,X,O,X,O,X,O,X,X,X,X,O,X,X,X
TJSOLIZ,X,O,X,O,O,O,X,X,O,O,X,X,X,X
TJSOLZI,O,O,X,O,O,O,X,X,X,X,X,X,X,X
TJSOZIL,X,O,X,O,X,O,O,X,X,X,O,X,X,X
TJSOZLI,X,O,X,O,O,O,O,X,X,X,O,X,X,X
TJZILSO,X,O,O,O,X,X,O,O,O,X,X,X,O,X
TJZILOS,X,O,O,O,X,X,O,X,O,X,X,X,O,X
TJZISLO,X,O,O,O,X,O,O,O,O,O,X,X,O,X
TJZISOL,X,O,O,O,X,O,O,O,X,X,O,X,X,X
TJZIOLS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
TJZIOSL,X,O,O,O,X,O,O,X,X,X,O,X,X,X
TJZLISO,X,O,O,O,X,X,O,O,O,X,X,X,O,X
TJZLIOS,X,O,O,O,X,X,O,X,O,X,X,X,O,X
TJZLSIO,X,O,O,O,X,X,O,O,X,X,X,X,O,X
TJZLSOI,X,O,X,O,X,X,O,O,X,X,O,X,X,X
TJZLOIS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
TJZLOSI,X,O,O,O,X,X,O,O,X,X,O,X,X,X
