sequence,v115@zgB8HeB8HeC8GeF8CeH8BeA8JeT7IvhFxcB6jBXhBF?nB8sBmsB,v115@zgB8HeB8HeC8GeF8CeH8BeA8JeT7IvhFxcB6jBXhBl?iBUnBetB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Jei7IvhFWiBxdBzgBU?nBFoBXtB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Je/AJvhFRcBSiBTeB2?mBFoB0sB,v115@zgB8HeB8HeC8GeF8CeH8BeA8JeT7IvhFehBRdBCiB/?sBFoBctB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Jex7IvhF6iBTeB0gBl?hB/sBOtB,v115@zgB8HeB8HeC8GeF8CeH8BeA8JeT7IvhFehBCdBxiBU?nBFoBXtB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Je/AJvhFRcBGeBihBU?jBFnBzsB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Jem8IvhFSjBxgB0gBF?nBXoBzsB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Jem8IvhFfjB6jBxgB0?gBFnBzsB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Je/AJvhFRcBThBliB2?sBctBCtB,v115@zgB8HeB8HeC8GeF8CeH8BeA8JeT7IvhF2hBXeBcoBR?mBqsBFsB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Je2AJvhFCdBxiBzgBU?nBFoBXtB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Jei7IvhFFdBzgBfnB5?nBcoBOtB
JLOSTZI,O,O,X,O,O,O,X,X,X,O,X,X,X,X
JLOSITZ,X,O,X,O,O,O,X,X,X,O,X,X,X,O
JLOSIZT,O,O,X,O,X,O,X,O,X,O,O,X,X,O
JLOSZTI,O,O,X,O,O,O,X,O,X,X,O,X,X,X
JLOSZIT,O,O,X,O,X,O,X,O,X,X,O,X,X,O
JLOZTIS,X,O,O,O,X,X,O,X,X,X,X,X,X,X
JLOZTSI,X,O,O,O,X,X,O,O,X,X,O,X,X,X
JLOZITS,X,O,O,X,X,X,O,X,X,X,X,O,X,X
JLOZIST,X,X,O,X,X,O,O,O,X,X,X,O,X,O
JLOZSTI,O,O,O,O,O,O,O,O,X,X,O,X,X,X
JLOZSIT,O,O,O,O,X,O,O,O,X,X,O,O,X,O
JSTILZO,X,O,X,O,O,O,X,O,O,X,X,X,X,X
JSTILOZ,X,O,X,O,O,O,X,X,O,X,X,X,X,X
JSTIZLO,X,O,X,O,X,O,X,O,O,X,X,X,X,X
JSTIZOL,X,O,X,O,X,O,X,O,X,X,X,X,X,O
JSTIOLZ,X,O,X,O,O,O,X,X,O,X,X,X,X,O
JSTIOZL,X,O,X,O,X,O,X,X,X,X,X,X,X,O
JSTLIZO,X,O,X,O,O,O,X,O,O,X,X,X,X,X
JSTLIOZ,X,O,X,O,O,O,X,X,O,X,X,X,X,X
JSTLZIO,O,O,X,O,O,O,X,O,O,X,X,X,X,X
JSTLZOI,O,O,X,O,O,O,X,O,X,X,X,X,X,X
JSTLOIZ,X,O,X,O,O,O,X,X,O,X,X,X,X,X
JSTLOZI,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JSTZILO,X,O,X,O,X,O,O,O,O,X,X,X,O,X
JSTZIOL,X,O,X,O,X,O,O,O,X,X,O,X,X,X
JSTZLIO,X,O,X,O,O,O,O,O,O,X,X,X,O,X
JSTZLOI,X,O,X,O,O,O,O,O,X,X,O,X,X,X
JSTZOIL,X,O,X,O,X,O,O,O,X,X,O,X,X,X
JSTZOLI,X,O,X,O,O,O,O,O,X,X,O,X,X,X
JSTOILZ,X,O,X,O,O,O,X,X,O,X,X,X,X,O
JSTOIZL,X,O,X,O,X,O,X,X,X,X,O,X,X,O
JSTOLIZ,X,O,X,O,O,O,X,X,O,X,X,X,X,O
JSTOLZI,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JSTOZIL,X,O,X,O,X,O,O,X,X,X,O,X,X,X
JSTOZLI,X,O,X,O,O,O,O,X,X,X,O,X,X,X
JSITLZO,X,O,X,O,O,O,X,O,O,X,X,X,X,X
JSITLOZ,X,O,X,O,O,O,X,X,O,X,X,X,X,X
JSITZLO,X,O,X,O,X,O,X,O,O,X,X,X,X,X
JSITZOL,X,O,X,O,X,O,X,O,X,X,X,X,X,O
JSITOLZ,X,O,X,O,O,O,X,X,O,X,X,X,X,O
JSITOZL,X,O,X,O,X,O,X,X,X,X,X,X,X,O
JSILTZO,X,O,X,O,O,O,X,O,X,X,X,X,X,X
JSILTOZ,X,O,X,O,O,O,X,X,X,X,X,X,X,X
JSILZTO,X,O,X,O,X,O,X,O,X,X,X,X,X,X
JSILZOT,X,O,X,O,X,O,X,O,X,X,X,X,X,X
JSILOTZ,X,O,X,O,O,O,X,X,X,X,X,X,X,X
JSILOZT,O,O,X,O,X,O,X,O,X,X,X,X,X,X
JSIZTLO,O,O,X,O,X,O,X,O,X,X,X,X,X,X
JSIZTOL,O,O,X,O,X,O,X,O,X,X,O,X,X,O
JSIZLTO,X,O,X,O,X,O,X,O,X,X,X,X,X,X
JSIZLOT,O,O,X,O,X,O,X,O,X,X,X,X,X,X
JSIZOTL,O,O,X,O,X,O,X,O,X,X,O,X,X,O
JSIZOLT,O,O,X,O,X,O,X,O,X,X,O,X,X,O
JSIOTLZ,X,O,X,O,O,O,X,O,X,X,X,X,X,O
JSIOTZL,X,O,X,O,X,O,X,O,X,X,O,X,X,O
JSIOLTZ,X,O,X,O,O,O,X,X,X,X,X,X,X,O
JSIOLZT,O,O,X,O,X,O,X,O,X,X,O,X,X,O
JSIOZTL,O,O,X,O,X,O,X,O,X,X,O,X,X,O
JSIOZLT,O,O,X,O,X,O,X,O,X,X,O,X,X,O
JSLTIZO,X,O,X,O,O,O,X,O,O,X,X,X,X,X
JSLTIOZ,X,O,X,O,O,O,X,X,O,X,X,X,X,X
JSLTZIO,O,O,X,O,O,O,X,O,O,X,X,X,X,X
JSLTZOI,O,O,X,O,O,O,X,O,X,X,X,X,X,X
JSLTOIZ,X,O,X,O,O,O,X,X,O,X,X,X,X,X
JSLTOZI,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JSLITZO,X,O,X,O,O,O,X,O,X,X,X,X,X,X
JSLITOZ,X,O,X,O,O,O,X,X,X,X,X,X,X,X
JSLIZTO,X,O,X,O,X,O,X,O,X,X,X,X,X,X
JSLIZOT,X,O,X,O,X,O,X,O,X,X,X,X,X,X
JSLIOTZ,X,O,X,O,O,O,X,X,X,X,X,X,X,X
JSLIOZT,O,O,X,O,X,O,X,O,X,X,X,X,X,X
JSLZTIO,O,O,X,O,O,O,X,O,X,X,X,X,X,X
JSLZTOI,O,O,X,O,O,O,X,O,X,X,O,X,X,X
JSLZITO,X,O,X,O,X,O,X,O,X,X,X,X,X,X
JSLZIOT,O,O,X,O,X,O,X,O,X,X,X,X,X,X
JSLZOTI,O,O,X,O,O,O,X,O,X,X,O,X,X,X
JSLZOIT,O,O,X,O,X,O,X,O,X,X,O,X,X,X
JSLOTIZ,X,O,X,O,O,O,X,X,X,X,X,X,X,X
JSLOTZI,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JSLOITZ,X,O,X,O,O,O,X,X,X,X,X,X,X,X
JSLOIZT,O,O,X,O,X,O,X,O,X,X,O,X,X,X
JSLOZTI,O,O,X,O,O,O,X,O,X,X,O,X,X,X
JSLOZIT,O,O,X,O,X,O,X,O,X,X,O,X,X,X
JSZTILO,O,O,X,O,X,O,O,O,X,X,X,X,O,X
JSZTIOL,O,O,X,O,X,O,O,O,X,X,O,X,X,X
JSZTLIO,O,O,X,O,O,O,O,O,X,X,X,X,O,X
JSZTLOI,O,O,X,O,O,O,O,O,X,X,O,X,X,X
JSZTOIL,O,O,X,O,X,O,O,O,X,X,O,X,X,X
JSZTOLI,O,O,X,O,O,O,O,O,X,X,O,X,X,X
JSZITLO,O,O,X,O,X,O,X,O,X,X,X,X,X,X
JSZITOL,O,O,X,O,X,O,X,O,X,X,O,X,X,O
JSZILTO,X,O,X,O,X,O,X,O,X,X,X,X,O,X
JSZILOT,O,O,X,O,X,O,O,O,X,X,X,X,O,X
JSZIOTL,O,O,X,O,X,O,X,O,X,X,O,X,X,O
JSZIOLT,O,O,X,O,X,O,O,O,X,X,O,X,X,O
JSZLTIO,O,O,X,O,O,O,O,O,X,X,X,X,O,X
JSZLTOI,O,O,X,O,O,O,O,O,X,X,O,X,X,X
JSZLITO,X,O,X,O,X,O,X,O,X,X,X,X,O,X
JSZLIOT,O,O,X,O,X,O,O,O,X,X,X,X,O,X
JSZLOTI,O,O,X,O,O,O,O,O,X,X,O,X,X,X
JSZLOIT,O,O,X,O,X,O,O,O,X,X,O,X,X,X
JSZOTIL,O,O,X,O,X,O,O,O,X,X,O,X,X,X
JSZOTLI,O,O,X,O,O,O,O,O,X,X,O,X,X,X
JSZOITL,O,O,X,O,X,O,X,O,X,X,O,X,X,O
JSZOILT,O,O,X,O,X,O,O,O,X,X,O,X,X,O
JSZOLTI,O,O,X,O,O,O,O,O,X,X,O,X,X,X
JSZOLIT,O,O,X,O,X,O,O,O,X,X,O,X,X,O
JSOTILZ,X,O,X,O,O,O,X,O,X,X,X,X,X,O
JSOTIZL,X,O,X,O,X,O,X,O,X,X,O,X,X,O
JSOTLIZ,X,O,X,O,O,O,X,O,X,X,X,X,X,O
JSOTLZI,O,O,X,O,O,O,X,O,X,X,X,X,X,X
JSOTZIL,X,O,X,O,X,O,O,O,X,X,O,X,X,X
JSOTZLI,X,O,X,O,O,O,O,O,X,X,O,X,X,X
JSOITLZ,X,O,X,O,O,O,X,O,X,X,X,X,X,O
JSOITZL,X,O,X,O,X,O,X,O,X,X,O,X,X,O
JSOILTZ,X,O,X,O,O,O,X,X,X,X,X,X,X,O
JSOILZT,O,O,X,O,X,O,X,O,X,X,O,X,X,O
JSOIZTL,O,O,X,O,X,O,X,O,X,X,O,X,X,O
JSOIZLT,O,O,X,O,X,O,X,O,X,X,O,X,X,O
JSOLTIZ,X,O,X,O,O,O,X,X,X,X,X,X,X,O
JSOLTZI,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JSOLITZ,X,O,X,O,O,O,X,X,X,X,X,X,X,O
JSOLIZT,O,O,X,O,X,O,X,O,X,X,O,X,X,O
JSOLZTI,O,O,X,O,O,O,X,O,X,X,O,X,X,X
JSOLZIT,O,O,X,O,X,O,X,O,X,X,O,X,X,O
JSOZTIL,O,O,X,O,X,O,O,O,X,X,O,X,X,X
JSOZTLI,O,O,X,O,O,O,O,O,X,X,O,X,X,X
JSOZITL,O,O,X,O,X,O,X,O,X,X,O,X,X,O
JSOZILT,O,O,X,O,X,O,O,O,X,X,O,X,X,O
JSOZLTI,O,O,X,O,O,O,O,O,X,X,O,X,X,X
JSOZLIT,O,O,X,O,X,O,O,O,X,X,O,X,X,O
JZTILSO,X,O,O,O,X,X,O,O,X,X,X,X,O,X
JZTILOS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
JZTISLO,X,O,O,O,X,O,O,O,X,X,X,X,O,X
JZTISOL,X,O,O,O,X,O,O,O,X,X,O,X,X,X
JZTIOLS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
JZTIOSL,X,O,O,O,X,O,O,X,X,X,O,X,X,X
JZTLISO,X,O,O,O,X,X,O,O,X,X,X,X,O,X
JZTLIOS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
JZTLSIO,O,O,O,O,X,X,O,O,X,X,X,X,O,X
JZTLSOI,O,O,X,O,X,X,O,O,X,X,O,X,X,X
JZTLOIS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
JZTLOSI,X,O,O,O,X,X,O,O,X,X,O,X,X,X
JZTSILO,O,O,O,O,X,O,O,O,X,X,X,X,O,X
JZTSIOL,O,O,O,O,X,O,O,O,X,X,O,X,X,X
JZTSLIO,O,O,O,O,X,O,O,O,X,X,X,X,O,X
JZTSLOI,O,O,X,O,X,O,O,O,X,X,O,X,X,X
JZTSOIL,O,O,O,O,X,O,O,O,X,X,O,X,X,X
JZTSOLI,O,O,O,O,X,O,O,O,X,X,O,X,X,X
JZTOILS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
JZTOISL,X,O,O,O,X,O,O,X,X,X,O,X,X,X
JZTOLIS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
JZTOLSI,X,O,O,O,X,X,O,O,X,X,O,X,X,X
JZTOSIL,X,O,O,O,X,O,O,O,X,X,O,X,X,X
JZTOSLI,X,O,O,O,X,O,O,O,X,X,O,X,X,X
JZITLSO,X,O,O,O,X,X,O,O,X,X,X,X,O,X
JZITLOS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
JZITSLO,X,O,O,O,X,O,O,O,X,X,X,X,O,X
JZITSOL,X,O,O,O,X,O,O,O,X,X,O,X,X,X
JZITOLS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
JZITOSL,X,O,O,O,X,O,O,X,X,X,O,X,X,X
JZILTSO,X,O,O,O,X,X,O,X,X,X,X,X,O,X
JZILTOS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
JZILSTO,X,O,O,O,X,O,X,O,X,X,X,X,O,X
JZILSOT,X,O,O,O,X,O,O,O,X,X,X,X,O,X
JZILOTS,X,O,O,X,X,X,O,X,X,X,X,X,O,X
JZILOST,X,X,O,X,X,O,O,X,X,X,X,X,O,O
JZISTLO,X,O,X,O,X,O,X,O,X,X,X,X,X,X
JZISTOL,X,O,X,O,X,O,X,O,X,X,O,X,X,O
JZISLTO,X,O,O,O,X,O,X,O,X,X,X,X,O,X
JZISLOT,X,O,O,O,X,O,O,O,X,X,X,X,O,X
JZISOTL,X,O,X,O,X,O,X,O,X,X,O,X,X,O
JZISOLT,X,O,O,O,X,O,O,O,X,X,O,X,X,O
JZIOTLS,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JZIOTSL,X,O,O,X,X,O,O,X,X,X,O,X,X,X
JZIOLTS,X,O,O,X,X,X,O,X,X,X,X,X,O,X
JZIOLST,X,X,O,X,X,O,O,X,X,X,X,X,O,O
JZIOSTL,X,X,X,X,X,O,X,X,X,X,O,X,X,O
JZIOSLT,X,X,O,X,X,O,O,X,X,X,O,X,X,O
JZLTISO,X,O,O,O,X,X,O,O,X,X,X,X,O,X
JZLTIOS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
JZLTSIO,O,O,O,O,X,X,O,O,X,X,X,X,O,X
JZLTSOI,O,O,X,O,X,X,O,O,X,X,O,X,X,X
JZLTOIS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
JZLTOSI,X,O,O,O,X,X,O,O,X,X,O,X,X,X
JZLITSO,X,O,O,O,X,X,O,X,X,X,X,O,O,X
JZLITOS,X,O,O,O,X,X,O,X,X,X,X,O,O,X
JZLISTO,X,O,O,O,X,O,X,O,X,X,X,O,O,X
JZLISOT,X,O,O,O,X,O,O,O,X,X,X,O,O,X
JZLIOTS,X,O,O,X,X,X,O,X,X,X,X,O,O,X
JZLIOST,X,X,O,X,X,O,O,X,X,X,X,O,O,O
JZLSTIO,O,O,O,O,O,O,O,O,X,X,X,X,O,X
JZLSTOI,O,O,X,O,O,O,O,O,X,X,O,X,X,X
JZLSITO,X,O,O,O,X,O,X,O,X,X,X,O,O,X
JZLSIOT,O,O,O,O,X,O,O,O,X,X,X,O,O,X
JZLSOTI,O,O,X,O,O,O,O,O,X,X,O,X,X,X
JZLSOIT,O,O,X,O,X,O,O,O,X,X,O,O,X,X
JZLOTIS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
JZLOTSI,X,O,O,O,X,X,O,X,X,X,O,X,X,X
JZLOITS,X,O,O,X,X,X,O,X,X,X,X,O,O,X
JZLOIST,X,X,O,X,X,O,O,X,X,X,X,O,O,O
JZLOSTI,O,O,O,O,O,O,O,O,X,X,O,X,X,X
JZLOSIT,O,O,O,O,X,O,O,O,X,X,O,O,X,O
JZSTILO,O,O,O,O,X,O,O,O,X,X,X,X,O,X
JZSTIOL,O,O,O,O,X,O,O,O,X,X,O,X,X,X
JZSTLIO,O,O,O,O,O,O,O,O,X,X,X,X,O,X
JZSTLOI,O,O,X,O,O,O,O,O,X,X,O,X,X,X
JZSTOIL,O,O,O,O,X,O,O,O,X,X,O,X,X,X
JZSTOLI,O,O,O,O,O,O,O,O,X,X,O,X,X,X
JZSITLO,O,O,X,O,X,O,X,O,X,X,X,X,X,X
JZSITOL,O,O,X,O,X,O,X,O,X,X,O,X,X,O
JZSILTO,X,O,O,O,X,O,X,O,X,X,X,X,O,X
JZSILOT,O,O,O,O,X,O,O,O,X,X,X,X,O,X
JZSIOTL,O,O,X,O,X,O,X,O,X,X,O,X,X,O
JZSIOLT,O,O,O,O,X,O,O,O,X,X,O,X,X,O
JZSLTIO,O,O,O,O,O,O,O,O,X,X,X,X,O,X
JZSLTOI,O,O,X,O,O,O,O,O,X,X,O,X,X,X
JZSLITO,X,O,O,O,X,O,X,O,X,X,X,X,O,X
JZSLIOT,O,O,O,O,X,O,O,O,X,X,X,X,O,X
JZSLOTI,O,O,X,O,O,O,O,O,X,X,O,X,X,X
JZSLOIT,O,O,X,O,X,O,O,O,X,X,O,X,X,X
JZSOTIL,O,O,O,O,X,O,O,O,X,X,O,X,X,X
JZSOTLI,O,O,O,O,O,O,O,O,X,X,O,X,X,X
JZSOITL,O,O,X,O,X,O,X,O,X,X,O,X,X,O
JZSOILT,O,O,O,O,X,O,O,O,X,X,O,X,X,O
JZSOLTI,O,O,O,O,O,O,O,O,X,X,O,X,X,X
JZSOLIT,O,O,O,O,X,O,O,O,X,X,O,X,X,O
JZOTILS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
JZOTISL,X,O,O,O,X,O,O,X,X,X,O,X,X,X
JZOTLIS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
JZOTLSI,X,O,O,O,X,X,O,O,X,X,O,X,X,X
JZOTSIL,X,O,O,O,X,O,O,O,X,X,O,X,X,X
JZOTSLI,X,O,O,O,X,O,O,O,X,X,O,X,X,X
JZOITLS,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JZOITSL,X,O,O,X,X,O,O,X,X,X,O,X,X,X
JZOILTS,X,O,O,X,X,X,O,X,X,X,X,X,O,X
JZOILST,X,X,O,X,X,O,O,X,X,X,X,X,O,O
JZOISTL,X,X,X,X,X,O,X,X,X,X,O,X,X,O
JZOISLT,X,X,O,X,X,O,O,X,X,X,O,X,X,O
JZOLTIS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
JZOLTSI,X,O,O,O,X,X,O,X,X,X,O,X,X,X
JZOLITS,X,O,O,X,X,X,O,X,X,X,X,O,O,X
JZOLIST,X,X,O,X,X,O,O,X,X,X,X,O,O,O
JZOLSTI,O,O,O,O,O,O,O,O,X,X,O,X,X,X
JZOLSIT,O,O,O,O,X,O,O,O,X,X,O,O,X,O
JZOSTIL,O,O,O,O,X,O,O,O,X,X,O,X,X,X
JZOSTLI,O,O,O,O,O,O,O,O,X,X,O,X,X,X
JZOSITL,O,O,X,O,X,O,X,O,X,X,O,X,X,O
JZOSILT,O,O,O,O,X,O,O,O,X,X,O,X,X,O
JZOSLTI,O,O,O,O,O,O,O,O,X,X,O,X,X,X
JZOSLIT,O,O,O,O,X,O,O,O,X,X,O,X,X,O
JOTILSZ,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JOTILZS,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTISLZ,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JOTISZL,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JOTIZLS,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JOTIZSL,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JOTLISZ,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JOTLIZS,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTLSIZ,X,O,X,O,O,X,X,O,X,O,X,X,X,X
JOTLSZI,X,O,X,O,O,X,X,O,X,O,X,X,X,X
JOTLZIS,X,O,O,X,X,X,O,O,X,X,X,X,X,X
JOTLZSI,X,O,O,O,X,X,O,O,X,X,X,X,X,X
JOTSILZ,X,O,X,O,O,O,X,O,X,O,X,X,X,X
JOTSIZL,X,O,X,O,X,O,X,O,X,O,O,X,X,X
JOTSLIZ,X,O,X,O,O,O,X,O,X,O,X,X,X,X
JOTSLZI,X,O,X,O,O,O,X,O,X,O,X,X,X,X
JOTSZIL,X,O,X,O,X,O,O,O,X,O,O,X,X,X
JOTSZLI,X,O,X,O,O,O,O,O,X,O,O,X,X,X
JOTZILS,X,O,O,X,X,X,O,O,X,X,X,X,O,X
JOTZISL,X,O,O,X,X,O,O,O,X,O,O,X,X,X
JOTZLIS,X,O,O,X,X,X,O,O,X,X,X,X,O,X
JOTZLSI,X,O,O,O,X,X,O,O,X,X,O,X,X,X
JOTZSIL,X,O,O,O,X,O,O,O,X,O,O,X,X,X
JOTZSLI,X,O,O,O,X,O,O,O,X,O,O,X,X,X
JOITLSZ,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JOITLZS,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOITSLZ,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JOITSZL,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JOITZLS,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JOITZSL,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JOILTSZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOILTZS,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOILSTZ,X,O,X,X,O,X,X,X,X,O,X,X,X,O
JOILSZT,X,O,X,X,X,X,X,X,X,O,X,O,X,O
JOILZTS,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOILZST,X,X,X,X,X,X,X,X,X,X,X,O,X,O
JOISTLZ,X,O,X,X,O,O,X,X,X,O,X,X,X,O
JOISTZL,X,O,X,X,X,O,X,X,X,X,O,X,X,O
JOISLTZ,X,O,X,X,O,O,X,X,X,O,X,X,X,O
JOISLZT,X,O,X,X,X,O,X,X,X,O,O,O,X,O
JOISZTL,X,O,X,X,X,O,X,X,X,X,O,X,X,O
JOISZLT,X,O,X,X,X,O,X,X,X,O,O,X,X,O
JOIZTLS,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JOIZTSL,X,O,X,X,X,O,O,X,X,X,O,X,X,X
JOIZLTS,X,O,X,X,X,X,O,X,X,X,X,O,X,X
JOIZLST,X,X,X,X,X,O,O,X,X,X,X,O,X,O
JOIZSTL,X,X,X,X,X,O,X,X,X,X,O,X,X,O
JOIZSLT,X,X,X,X,X,O,O,X,X,O,O,X,X,O
JOLTISZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOLTIZS,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLTSIZ,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JOLTSZI,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JOLTZIS,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JOLTZSI,X,O,O,O,X,X,O,X,X,X,X,X,X,X
JOLITSZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLITZS,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOLISTZ,X,O,X,X,O,X,X,X,X,O,X,X,X,O
JOLISZT,X,O,X,X,X,X,X,X,X,O,X,O,X,O
JOLIZTS,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOLIZST,X,X,X,X,X,X,X,X,X,X,X,O,X,O
JOLSTIZ,X,O,X,O,O,O,X,X,X,O,X,X,X,O
JOLSTZI,O,O,X,O,O,O,X,X,X,O,X,X,X,X
JOLSITZ,X,O,X,O,O,O,X,X,X,O,X,X,X,O
JOLSIZT,O,O,X,O,X,O,X,O,X,O,O,X,X,O
JOLSZTI,O,O,X,O,O,O,X,O,X,X,O,X,X,X
JOLSZIT,O,O,X,O,X,O,X,O,X,X,O,X,X,O
JOLZTIS,X,O,O,O,X,X,O,X,X,X,X,X,X,X
JOLZTSI,X,O,O,O,X,X,O,O,X,X,O,X,X,X
JOLZITS,X,O,O,X,X,X,O,X,X,X,X,O,X,X
JOLZIST,X,X,O,X,X,O,O,O,X,X,X,O,X,O
JOLZSTI,O,O,O,O,O,O,O,O,X,X,O,X,X,X
JOLZSIT,O,O,O,O,X,O,O,O,X,X,O,O,X,O
JOSTILZ,X,O,X,O,O,O,X,O,X,O,X,X,X,O
JOSTIZL,X,O,X,O,X,O,X,O,X,O,O,X,X,O
JOSTLIZ,X,O,X,O,O,O,X,O,X,O,X,X,X,O
JOSTLZI,O,O,X,O,O,O,X,O,X,O,X,X,X,X
JOSTZIL,X,O,X,O,X,O,O,O,X,O,O,X,X,X
JOSTZLI,X,O,X,O,O,O,O,O,X,O,O,X,X,X
JOSITLZ,X,O,X,O,O,O,X,O,X,O,X,X,X,O
JOSITZL,X,O,X,O,X,O,X,O,X,X,O,X,X,O
JOSILTZ,X,O,X,O,O,O,X,X,X,O,X,X,X,O
JOSILZT,O,O,X,O,X,O,X,O,X,O,O,X,X,O
JOSIZTL,O,O,X,O,X,O,X,O,X,X,O,X,X,O
JOSIZLT,O,O,X,O,X,O,X,O,X,O,O,X,X,O
JOSLTIZ,X,O,X,O,O,O,X,X,X,O,X,X,X,O
JOSLTZI,O,O,X,O,O,O,X,X,X,O,X,X,X,X
JOSLITZ,X,O,X,O,O,O,X,X,X,O,X,X,X,O
JOSLIZT,O,O,X,O,X,O,X,O,X,O,O,X,X,O
JOSLZTI,O,O,X,O,O,O,X,O,X,X,O,X,X,X
JOSLZIT,O,O,X,O,X,O,X,O,X,X,O,X,X,O
JOSZTIL,O,O,X,O,X,O,O,O,X,X,O,X,X,X
JOSZTLI,O,O,X,O,O,O,O,O,X,X,O,X,X,X
JOSZITL,O,O,X,O,X,O,X,O,X,X,O,X,X,O
JOSZILT,O,O,X,O,X,O,O,O,X,X,O,X,X,O
JOSZLTI,O,O,X,O,O,O,O,O,X,X,O,X,X,X
JOSZLIT,O,O,X,O,X,O,O,O,X,X,O,X,X,O
JOZTILS,X,O,O,O,X,X,O,O,X,X,X,X,O,X
JOZTISL,X,O,O,O,X,O,O,O,X,X,O,X,X,X
JOZTLIS,X,O,O,O,X,X,O,O,X,X,X,X,O,X
JOZTLSI,X,O,O,O,X,X,O,O,X,X,O,X,X,X
JOZTSIL,X,O,O,O,X,O,O,O,X,X,O,X,X,X
JOZTSLI,X,O,O,O,X,O,O,O,X,X,O,X,X,X
JOZITLS,X,O,O,X,X,X,O,O,X,X,X,X,X,X
JOZITSL,X,O,O,X,X,O,O,O,X,X,O,X,X,X
JOZILTS,X,O,O,X,X,X,O,X,X,X,X,X,O,X
JOZILST,X,X,O,X,X,O,O,O,X,X,X,X,O,O
JOZISTL,X,X,X,X,X,O,X,O,X,X,O,X,X,O
JOZISLT,X,X,O,X,X,O,O,O,X,X,O,X,X,O
JOZLTIS,X,O,O,O,X,X,O,O,X,X,X,X,O,X
JOZLTSI,X,O,O,O,X,X,O,O,X,X,O,X,X,X
JOZLITS,X,O,O,X,X,X,O,X,X,X,X,O,O,X
JOZLIST,X,X,O,X,X,O,O,O,X,X,X,O,O,O
JOZLSTI,O,O,O,O,O,O,O,O,X,X,O,X,X,X
JOZLSIT,O,O,O,O,X,O,O,O,X,X,O,O,X,O
JOZSTIL,O,O,O,O,X,O,O,O,X,X,O,X,X,X
JOZSTLI,O,O,O,O,O,O,O,O,X,X,O,X,X,X
JOZSITL,O,O,X,O,X,O,X,O,X,X,O,X,X,O
JOZSILT,O,O,O,O,X,O,O,O,X,X,O,X,X,O
JOZSLTI,O,O,O,O,O,O,O,O,X,X,O,X,X,X
