sequence,v115@9gA8IeC8FeF8AeB8AeI8AeA8Je06IvhF6gBTcB/iBG?eBZoBlrB,v115@9gA8IeC8FeF8AeB8AeI8AeA8Jex6IvhFTcB/iBcjBG?gBlmBatB,v115@9gA8IeC8FeF8AeB8AeI8AeA8Je06IvhFxbBXdBzgBF?jBCnBOtB,v115@9gA8IeC8FeF8AeB8AeI8AeA8Je06IvhF6gBlcBGeB/?mBTiBZoB
TJSIOZL,X,O,X,X
TJSLIZO,X,X,X,X
TJSLIOZ,X,X,X,X
TJSLZIO,X,X,X,X
TJSLZOI,X,X,X,X
TJSLOIZ,X,X,X,X
TJSLOZI,X,X,X,X
TJSZILO,X,X,X,X
TJSZIOL,X,O,X,X
TJSZLIO,X,X,X,X
TJSZLOI,X,X,X,X
TJSZOIL,X,O,X,X
TJSZOLI,X,O,X,X
TJSOILZ,X,X,X,X
TJSOIZL,X,O,X,X
TJSOLIZ,X,X,X,X
TJSOLZI,X,X,X,X
TJSOZIL,X,O,X,X
TJSOZLI,X,O,X,X
TJZILSO,X,X,X,X
TJZILOS,X,X,X,X
TJZISLO,X,X,X,X
TJZISOL,X,O,X,X
TJZIOLS,X,X,X,X
TJZIOSL,X,O,X,X
TJZLISO,X,X,X,X
TJZLIOS,X,X,X,X
TJZLSIO,X,X,X,X
TJZLSOI,X,X,X,X
TJZLOIS,X,X,X,X
TJZLOSI,X,X,X,X
TJZSILO,X,X,X,X
TJZSIOL,X,O,X,X
TJZSLIO,X,X,X,X
TJZSLOI,X,X,X,X
TJZSOIL,X,O,X,X
TJZSOLI,X,O,X,X
TJZOILS,X,X,X,X
TJZOISL,X,O,X,X
TJZOLIS,X,X,X,X
TJZOLSI,X,X,X,X
TJZOSIL,X,O,X,X
TJZOSLI,X,O,X,X
TJOILSZ,X,X,X,X
TJOILZS,X,X,X,X
TJOISLZ,X,X,X,X
TJOISZL,X,O,X,X
TJOIZLS,X,X,X,X
TJOIZSL,X,O,X,X
TJOLISZ,X,X,X,X
TJOLIZS,X,X,X,X
TJOLSIZ,X,X,X,X
TJOLSZI,X,X,X,X
TJOLZIS,X,X,X,X
TJOLZSI,X,X,X,X
TJOSILZ,X,X,X,X
TJOSIZL,X,O,X,X
TJOSLIZ,X,X,X,X
TJOSLZI,X,X,X,X
TJOSZIL,X,O,X,X
TJOSZLI,X,O,X,X
TJOZILS,X,X,X,X
TJOZISL,X,O,X,X
TJOZLIS,X,X,X,X
TJOZLSI,X,X,X,X
TJOZSIL,X,O,X,X
TJOZSLI,X,O,X,X
TSILJZO,O,X,X,X
TSILJOZ,O,X,X,X
TSILZJO,O,X,X,X
TSILZOJ,O,X,X,X
TSILOJZ,O,X,X,X
TSILOZJ,O,X,X,X
TSIJLZO,O,X,X,X
TSIJLOZ,O,X,X,X
TSIJZLO,O,X,X,X
TSIJZOL,O,X,X,X
TSIJOLZ,O,X,X,X
TSIJOZL,O,X,X,X
TSIZLJO,O,X,X,X
TSIZLOJ,O,X,X,X
TSIZJLO,O,X,X,X
TSIZJOL,O,X,X,X
TSIZOLJ,O,X,X,X
TSIZOJL,O,X,X,X
TSIOLJZ,O,X,X,X
TSIOLZJ,O,X,X,X
TSIOJLZ,O,X,X,X
TSIOJZL,O,X,X,X
TSIOZLJ,O,X,X,X
