sequence,v115@9gA8IeC8FeF8AeB8AeI8AeA8Je06IvhF6gBTcB/iBG?eBZoBlrB,v115@9gA8IeC8FeF8AeB8AeI8AeA8Jex6IvhFTcB/iBcjBG?gBlmBatB,v115@9gA8IeC8FeF8AeB8AeI8AeA8Je06IvhFxbBXdBzgBF?jBCnBOtB,v115@9gA8IeC8FeF8AeB8AeI8AeA8Je06IvhF6gBlcBGeB/?mBTiBZoB
JLZSOTI,X,X,X,X
JLZSOIT,X,X,X,X
JLZOTIS,X,X,X,X
JLZOTSI,X,X,X,X
JLZOITS,X,X,X,X
JLZOIST,X,X,X,X
JLZOSTI,X,X,X,O
JLZOSIT,X,X,X,X
JLOTISZ,X,X,X,X
JLOTIZS,X,X,X,X
JLOTSIZ,X,X,X,X
JLOTSZI,X,X,X,X
JLOTZIS,X,X,X,X
JLOTZSI,X,X,X,X
JLOITSZ,X,X,X,X
JLOITZS,X,X,X,X
JLOISTZ,X,X,X,X
JLOISZT,X,X,X,X
JLOIZTS,X,X,X,X
JLOIZST,X,X,X,X
JLOSTIZ,X,X,X,X
JLOSTZI,X,X,X,O
JLOSITZ,X,X,X,X
JLOSIZT,X,X,X,X
JLOSZTI,X,X,X,O
JLOSZIT,X,X,X,X
JLOZTIS,X,X,X,X
JLOZTSI,X,X,X,X
JLOZITS,X,X,X,X
JLOZIST,X,X,X,X
JLOZSTI,X,X,X,O
JLOZSIT,X,X,X,X
JSTILZO,X,X,X,X
JSTILOZ,X,X,X,X
JSTIZLO,X,X,X,X
JSTIZOL,X,O,X,X
JSTIOLZ,X,X,X,X
JSTIOZL,X,O,X,X
JSTLIZO,X,X,X,X
JSTLIOZ,X,X,X,X
JSTLZIO,X,X,X,O
JSTLZOI,O,X,X,O
JSTLOIZ,X,X,X,X
JSTLOZI,O,X,X,X
JSTZILO,X,X,X,X
JSTZIOL,X,O,X,X
JSTZLIO,X,X,X,O
JSTZLOI,O,X,X,O
JSTZOIL,X,O,X,X
JSTZOLI,O,O,X,X
JSTOILZ,X,X,X,X
JSTOIZL,X,O,X,X
JSTOLIZ,X,X,X,X
JSTOLZI,O,X,X,X
JSTOZIL,X,O,X,X
JSTOZLI,O,O,X,X
JSITLZO,X,X,X,O
JSITLOZ,X,X,X,X
JSITZLO,X,X,X,O
JSITZOL,X,O,X,X
JSITOLZ,X,X,X,X
JSITOZL,X,O,X,X
JSILTZO,X,X,X,O
JSILTOZ,X,X,X,X
JSILZTO,X,X,X,O
JSILZOT,X,X,X,X
JSILOTZ,X,X,X,X
JSILOZT,X,X,X,X
JSIZTLO,X,X,X,O
JSIZTOL,X,O,X,X
JSIZLTO,X,X,X,O
JSIZLOT,X,X,X,X
JSIZOTL,X,X,X,X
JSIZOLT,X,X,X,X
JSIOTLZ,X,X,X,X
JSIOTZL,X,X,X,X
JSIOLTZ,X,X,X,X
JSIOLZT,X,X,X,X
JSIOZTL,X,X,X,X
JSIOZLT,X,X,X,X
JSLTIZO,X,X,X,X
JSLTIOZ,X,X,X,X
JSLTZIO,X,X,X,O
JSLTZOI,O,X,X,O
JSLTOIZ,X,X,X,X
JSLTOZI,O,X,X,X
JSLITZO,X,X,X,O
JSLITOZ,X,X,X,X
JSLIZTO,X,X,X,O
JSLIZOT,X,X,X,X
JSLIOTZ,X,X,X,X
JSLIOZT,X,X,X,X
JSLZTIO,X,X,X,O
JSLZTOI,O,X,X,O
JSLZITO,X,X,X,O
JSLZIOT,X,X,X,X
JSLZOTI,X,X,X,X
JSLZOIT,X,X,X,X
JSLOTIZ,X,X,X,X
JSLOTZI,X,X,X,X
JSLOITZ,X,X,X,X
JSLOIZT,X,X,X,X
JSLOZTI,X,X,X,X
JSLOZIT,X,X,X,X
JSZTILO,X,X,X,X
JSZTIOL,X,O,X,X
JSZTLIO,X,X,X,O
JSZTLOI,O,X,X,O
JSZTOIL,X,O,X,X
JSZTOLI,O,O,X,X
JSZITLO,X,X,X,O
JSZITOL,X,O,X,X
JSZILTO,X,X,X,O
JSZILOT,X,X,X,X
JSZIOTL,X,X,X,X
JSZIOLT,X,X,X,X
JSZLTIO,X,X,X,O
JSZLTOI,O,X,X,O
JSZLITO,X,X,X,O
JSZLIOT,X,X,X,X
JSZLOTI,X,X,X,X
JSZLOIT,X,X,X,X
JSZOTIL,X,X,X,X
JSZOTLI,X,X,X,X
JSZOITL,X,X,X,X
JSZOILT,X,X,X,X
JSZOLTI,X,X,X,X
JSZOLIT,X,X,X,X
JSOTILZ,X,X,X,X
JSOTIZL,X,X,X,X
JSOTLIZ,X,X,X,X
JSOTLZI,X,X,X,X
JSOTZIL,X,X,X,X
JSOTZLI,X,X,X,X
JSOITLZ,X,X,X,X
JSOITZL,X,X,X,X
JSOILTZ,X,X,X,X
JSOILZT,X,X,X,X
JSOIZTL,X,X,X,X
JSOIZLT,X,X,X,X
JSOLTIZ,X,X,X,X
JSOLTZI,X,X,X,X
JSOLITZ,X,X,X,X
JSOLIZT,X,X,X,X
JSOLZTI,X,X,X,X
JSOLZIT,X,X,X,X
JSOZTIL,X,X,X,X
JSOZTLI,X,X,X,X
JSOZITL,X,X,X,X
JSOZILT,X,X,X,X
JSOZLTI,X,X,X,X
JSOZLIT,X,X,X,X
JZTILSO,X,X,X,X
JZTILOS,X,X,X,X
JZTISLO,X,X,X,X
JZTISOL,X,O,X,X
JZTIOLS,X,X,X,X
JZTIOSL,X,O,X,X
JZTLISO,X,X,X,X
JZTLIOS,X,X,X,X
JZTLSIO,X,X,X,X
JZTLSOI,X,X,X,X
JZTLOIS,X,X,X,X
JZTLOSI,X,X,X,X
JZTSILO,X,X,X,X
JZTSIOL,X,O,X,X
JZTSLIO,X,X,X,X
JZTSLOI,X,X,X,X
JZTSOIL,X,O,X,X
JZTSOLI,X,O,X,X
JZTOILS,X,X,X,X
JZTOISL,X,O,X,X
JZTOLIS,X,X,X,X
JZTOLSI,X,X,X,X
JZTOSIL,X,O,X,X
JZTOSLI,X,O,X,X
JZITLSO,X,X,X,X
JZITLOS,X,X,X,X
JZITSLO,X,X,X,X
JZITSOL,X,O,X,X
JZITOLS,X,X,X,X
JZITOSL,X,O,X,X
JZILTSO,X,X,X,X
JZILTOS,X,X,X,X
JZILSTO,O,X,X,O
JZILSOT,X,X,X,X
JZILOTS,X,X,X,X
JZILOST,X,X,X,O
JZISTLO,O,X,X,O
JZISTOL,O,O,X,X
JZISLTO,O,X,X,O
JZISLOT,X,X,X,X
JZISOTL,X,X,X,X
JZISOLT,X,X,X,X
JZIOTLS,X,X,X,X
JZIOTSL,X,X,X,X
JZIOLTS,X,X,X,X
JZIOLST,X,X,X,O
JZIOSTL,X,X,X,O
JZIOSLT,X,X,X,O
JZLTISO,X,X,X,X
JZLTIOS,X,X,X,X
JZLTSIO,X,X,X,X
JZLTSOI,X,X,X,X
JZLTOIS,X,X,X,X
JZLTOSI,X,X,X,X
JZLITSO,X,X,X,X
JZLITOS,X,X,X,X
JZLISTO,O,X,X,O
JZLISOT,X,X,X,X
JZLIOTS,X,X,X,X
JZLIOST,X,X,X,O
JZLSTIO,X,X,X,O
JZLSTOI,O,X,X,O
JZLSITO,X,X,X,O
JZLSIOT,X,X,X,X
JZLSOTI,X,X,X,X
JZLSOIT,X,X,X,X
JZLOTIS,X,X,X,X
JZLOTSI,X,X,X,X
JZLOITS,X,X,X,X
JZLOIST,X,X,X,X
JZLOSTI,X,X,X,O
JZLOSIT,X,X,X,X
JZSTILO,X,X,X,X
JZSTIOL,X,O,X,X
JZSTLIO,X,X,X,O
JZSTLOI,O,X,X,O
JZSTOIL,X,O,X,X
JZSTOLI,O,O,X,X
JZSITLO,X,X,X,O
JZSITOL,X,O,X,X
JZSILTO,X,X,X,O
JZSILOT,X,X,X,X
JZSIOTL,X,X,X,X
JZSIOLT,X,X,X,X
JZSLTIO,X,X,X,O
JZSLTOI,O,X,X,O
JZSLITO,X,X,X,O
JZSLIOT,X,X,X,X
JZSLOTI,X,X,X,X
JZSLOIT,X,X,X,X
JZSOTIL,X,X,X,X
JZSOTLI,X,X,X,X
JZSOITL,X,X,X,X
JZSOILT,X,X,X,X
JZSOLTI,X,X,X,X
JZSOLIT,X,X,X,X
JZOTILS,X,X,X,X
JZOTISL,X,X,X,X
JZOTLIS,X,X,X,X
JZOTLSI,X,X,X,X
JZOTSIL,X,X,X,X
JZOTSLI,X,X,X,X
JZOITLS,X,X,X,X
JZOITSL,X,X,X,X
JZOILTS,X,X,X,X
JZOILST,X,X,X,X
JZOISTL,X,X,X,X
JZOISLT,X,X,X,X
JZOLTIS,X,X,X,X
JZOLTSI,X,X,X,X
JZOLITS,X,X,X,X
JZOLIST,X,X,X,X
JZOLSTI,X,X,X,O
JZOLSIT,X,X,X,X
JZOSTIL,X,X,X,X
JZOSTLI,X,X,X,O
JZOSITL,X,X,X,X
JZOSILT,X,X,X,X
JZOSLTI,X,X,X,O
JZOSLIT,X,X,X,X
JOTILSZ,X,X,X,X
JOTILZS,X,X,X,X
JOTISLZ,X,X,X,X
JOTISZL,X,X,X,X
JOTIZLS,X,X,X,X
JOTIZSL,X,X,X,X
JOTLISZ,X,X,X,X
JOTLIZS,X,X,X,X
JOTLSIZ,X,X,X,X
JOTLSZI,X,X,X,X
JOTLZIS,X,X,X,X
JOTLZSI,X,X,X,X
JOTSILZ,X,X,X,X
JOTSIZL,X,X,X,X
JOTSLIZ,X,X,X,X
JOTSLZI,X,X,X,X
JOTSZIL,X,X,X,X
JOTSZLI,X,X,X,X
JOTZILS,X,X,X,X
JOTZISL,X,X,X,X
JOTZLIS,X,X,X,X
JOTZLSI,X,X,X,X
JOTZSIL,X,X,X,X
JOTZSLI,X,X,X,X
JOITLSZ,X,X,X,X
JOITLZS,X,X,X,X
JOITSLZ,X,X,X,X
JOITSZL,X,X,X,X
JOITZLS,X,X,X,X
JOITZSL,X,X,X,X
JOILTSZ,X,X,X,X
JOILTZS,X,X,X,X
JOILSTZ,X,X,X,X
JOILSZT,X,X,X,X
JOILZTS,X,X,X,X
JOILZST,X,X,X,X
JOISTLZ,X,X,X,X
JOISTZL,X,X,X,X
JOISLTZ,X,X,X,X
JOISLZT,X,X,X,X
JOISZTL,X,X,X,X
JOISZLT,X,X,X,X
JOIZTLS,X,X,X,X
JOIZTSL,X,X,X,X
JOIZLTS,X,X,X,X
JOIZLST,X,X,X,X
JOIZSTL,X,X,X,X
JOIZSLT,X,X,X,X
JOLTISZ,X,X,X,X
JOLTIZS,X,X,X,X
JOLTSIZ,X,X,X,X
JOLTSZI,X,X,X,X
JOLTZIS,X,X,X,X
JOLTZSI,X,X,X,X
JOLITSZ,X,X,X,X
JOLITZS,X,X,X,X
JOLISTZ,X,X,X,X
JOLISZT,X,X,X,X
JOLIZTS,X,X,X,X
JOLIZST,X,X,X,X
JOLSTIZ,X,X,X,X
JOLSTZI,X,X,X,O
JOLSITZ,X,X,X,X
JOLSIZT,X,X,X,X
JOLSZTI,X,X,X,O
JOLSZIT,X,X,X,X
JOLZTIS,X,X,X,X
JOLZTSI,X,X,X,X
JOLZITS,X,X,X,X
JOLZIST,X,X,X,X
JOLZSTI,X,X,X,O
JOLZSIT,X,X,X,X
JOSTILZ,X,X,X,X
JOSTIZL,X,X,X,X
JOSTLIZ,X,X,X,X
JOSTLZI,X,X,X,O
JOSTZIL,X,X,X,X
JOSTZLI,X,X,X,O
JOSITLZ,X,X,X,X
JOSITZL,X,X,X,X
JOSILTZ,X,X,X,X
JOSILZT,X,X,X,X
JOSIZTL,X,X,X,X
JOSIZLT,X,X,X,X
JOSLTIZ,X,X,X,X
JOSLTZI,X,X,X,O
JOSLITZ,X,X,X,X
JOSLIZT,X,X,X,X
JOSLZTI,X,X,X,O
JOSLZIT,X,X,X,X
JOSZTIL,X,X,X,X
JOSZTLI,X,X,X,O
JOSZITL,X,X,X,X
JOSZILT,X,X,X,X
JOSZLTI,X,X,X,O
JOSZLIT,X,X,X,X
JOZTILS,X,X,X,X
JOZTISL,X,X,X,X
JOZTLIS,X,X,X,X
JOZTLSI,X,X,X,X
JOZTSIL,X,X,X,X
JOZTSLI,X,X,X,X
JOZITLS,X,X,X,X
JOZITSL,X,X,X,X
JOZILTS,X,X,X,X
JOZILST,X,X,X,X
JOZISTL,X,X,X,X
JOZISLT,X,X,X,X
JOZLTIS,X,X,X,X
JOZLTSI,X,X,X,X
JOZLITS,X,X,X,X
JOZLIST,X,X,X,X
JOZLSTI,X,X,X,O
JOZLSIT,X,X,X,X
JOZSTIL,X,X,X,X
JOZSTLI,X,X,X,O
JOZSITL,X,X,X,X
JOZSILT,X,X,X,X
JOZSLTI,X,X,X,O
JOZSLIT,X,X,X,X
STILJZO,O,X,X,O
STILJOZ,O,X,X,X
STILZJO,O,X,X,O
STILZOJ,O,X,X,X
STILOJZ,O,X,X,X
STILOZJ,O,X,X,X
STIJLZO,O,X,X,O
STIJLOZ,O,X,X,X
STIJZLO,O,X,X,O
STIJZOL,O,X,X,X
STIJOLZ,O,X,X,X
STIJOZL,O,X,X,X
STIZLJO,O,X,X,O
STIZLOJ,O,X,X,X
STIZJLO,O,X,X,O
STIZJOL,O,X,X,X
STIZOLJ,O,X,X,X
STIZOJL,O,X,X,X
STIOLJZ,O,X,X,X
STIOLZJ,O,X,X,X
STIOJLZ,O,X,X,X
STIOJZL,O,X,X,X
STIOZLJ,O,X,X,X
STIOZJL,O,X,X,X
STLIJZO,O,X,X,O
STLIJOZ,O,X,X,X
STLIZJO,O,X,X,O
STLIZOJ,O,X,X,X
STLIOJZ,O,X,X,X
STLIOZJ,O,X,X,X
STLJIZO,X,X,X,X
STLJIOZ,X,X,X,X
STLJZIO,X,X,X,O
STLJZOI,O,X,X,O
STLJOIZ,X,X,X,X
STLJOZI,O,X,X,X
STLZIJO,O,X,X,O
STLZIOJ,O,X,X,X
STLZJIO,X,X,X,O
STLZJOI,O,X,X,O
STLZOIJ,O,X,X,O
STLZOJI,O,X,X,O
STLOIJZ,O,X,X,O
STLOIZJ,O,X,X,O
STLOJIZ,X,X,X,X
STLOJZI,O,X,X,O
STLOZIJ,O,X,X,O
STLOZJI,O,X,X,O
STJILZO,X,X,X,X
STJILOZ,X,X,X,X
STJIZLO,X,X,X,X
STJIZOL,X,O,X,X
STJIOLZ,X,X,X,X
STJIOZL,X,O,X,X
STJLIZO,X,X,X,X
STJLIOZ,X,X,X,X
STJLZIO,X,X,X,O
STJLZOI,O,X,X,O
STJLOIZ,X,X,X,X
STJLOZI,O,X,X,X
STJZILO,X,X,X,X
STJZIOL,X,O,X,X
STJZLIO,X,X,X,O
STJZLOI,O,X,X,O
STJZOIL,X,O,X,X
STJZOLI,O,O,X,X
STJOILZ,X,X,X,X
STJOIZL,X,O,X,X
STJOLIZ,X,X,X,X
STJOLZI,O,X,X,X
STJOZIL,X,O,X,X
STJOZLI,O,O,X,X
STZILJO,O,X,X,O
STZILOJ,O,X,X,X
STZIJLO,O,X,X,O
STZIJOL,O,X,X,X
STZIOLJ,O,X,X,X
STZIOJL,O,X,X,X
STZLIJO,O,X,X,O
STZLIOJ,O,X,X,X
STZLJIO,X,X,X,O
STZLJOI,O,X,X,O
STZLOIJ,O,X,X,O
STZLOJI,O,X,X,O
STZJILO,X,X,X,X
STZJIOL,X,O,X,X
STZJLIO,X,X,X,O
STZJLOI,O,X,X,O
STZJOIL,X,O,X,X
STZJOLI,O,O,X,X
STZOILJ,O,X,X,O
STZOIJL,O,X,X,O
STZOLIJ,O,X,X,O
STZOLJI,O,X,X,O
STZOJIL,X,O,X,X
STZOJLI,O,O,X,O
STOILJZ,O,X,X,O
STOILZJ,O,X,X,O
STOIJLZ,O,X,X,O
STOIJZL,O,X,X,O
STOIZLJ,O,X,X,O
STOIZJL,O,X,X,O
STOLIJZ,O,X,X,O
STOLIZJ,O,X,X,O
STOLJIZ,X,X,X,X
STOLJZI,O,X,X,O
STOLZIJ,O,X,X,O
STOLZJI,O,X,X,O
STOJILZ,X,X,X,X
STOJIZL,X,O,X,X
STOJLIZ,X,X,X,X
STOJLZI,O,X,X,O
STOJZIL,X,O,X,X
STOJZLI,O,O,X,O
STOZILJ,O,X,X,O
STOZIJL,O,X,X,O
STOZLIJ,O,X,X,O
STOZLJI,O,X,X,O
STOZJIL,X,O,X,X
STOZJLI,O,O,X,O
SITLJZO,O,X,X,O
SITLJOZ,O,X,X,X
SITLZJO,O,X,X,O
SITLZOJ,O,X,X,X
SITLOJZ,O,X,X,X
SITLOZJ,O,X,X,X
SITJLZO,O,X,X,O
SITJLOZ,O,X,X,X
SITJZLO,O,X,X,O
SITJZOL,O,X,X,X
SITJOLZ,O,X,X,X
SITJOZL,O,X,X,X
SITZLJO,O,X,X,O
SITZLOJ,O,X,X,X
SITZJLO,O,X,X,O
SITZJOL,O,X,X,X
SITZOLJ,O,X,X,X
SITZOJL,O,X,X,X
SITOLJZ,O,X,X,X
SITOLZJ,O,X,X,X
SITOJLZ,O,X,X,X
SITOJZL,O,X,X,X
SITOZLJ,O,X,X,X
SITOZJL,O,X,X,X
SILTJZO,O,X,X,O
SILTJOZ,O,X,X,X
SILTZJO,O,X,X,O
SILTZOJ,O,X,X,X
SILTOJZ,O,X,X,X
SILTOZJ,O,X,X,X
SILJTZO,O,X,X,O
SILJTOZ,O,X,X,X
SILJZTO,O,X,X,O
SILJZOT,X,X,X,X
SILJOTZ,X,X,X,X
SILJOZT,X,X,X,X
SILZTJO,O,X,X,O
SILZTOJ,O,X,X,X
SILZJTO,O,X,X,O
SILZJOT,X,X,X,X
SILZOTJ,X,X,X,O
SILZOJT,X,X,X,O
SILOTJZ,X,X,X,O
SILOTZJ,X,X,X,O
SILOJTZ,X,X,X,O
SILOJZT,X,X,X,O
SILOZTJ,X,X,X,O
SILOZJT,X,X,X,O
SIJTLZO,O,X,X,O
SIJTLOZ,O,X,X,X
SIJTZLO,O,X,X,O
SIJTZOL,O,O,X,X
SIJTOLZ,O,X,X,X
SIJTOZL,O,O,X,X
SIJLTZO,O,X,X,O
SIJLTOZ,O,X,X,X
SIJLZTO,O,X,X,O
SIJLZOT,X,X,X,X
SIJLOTZ,X,X,X,X
SIJLOZT,X,X,X,X
SIJZTLO,O,X,X,O
SIJZTOL,O,O,X,X
SIJZLTO,O,X,X,O
SIJZLOT,X,X,X,X
SIJZOTL,X,X,X,X
SIJZOLT,X,X,X,X
SIJOTLZ,X,X,X,X
SIJOTZL,X,X,X,X
SIJOLTZ,X,X,X,X
SIJOLZT,X,X,X,X
SIJOZTL,X,X,X,X
SIJOZLT,X,X,X,X
SIZTLJO,O,X,X,O
SIZTLOJ,O,X,X,X
SIZTJLO,O,X,X,O
SIZTJOL,O,X,X,X
SIZTOLJ,O,X,X,X
SIZTOJL,O,X,X,X
SIZLTJO,O,X,X,O
SIZLTOJ,O,X,X,X
SIZLJTO,O,X,X,O
SIZLJOT,X,X,X,X
SIZLOTJ,X,X,X,O
SIZLOJT,X,X,X,O
SIZJTLO,O,X,X,O
SIZJTOL,O,O,X,X
SIZJLTO,O,X,X,O
SIZJLOT,X,X,X,X
SIZJOTL,X,X,X,X
SIZJOLT,X,X,X,X
SIZOTLJ,X,X,X,O
SIZOTJL,X,X,X,O
SIZOLTJ,X,X,X,O
SIZOLJT,X,X,X,O
SIZOJTL,X,X,X,O
SIZOJLT,X,X,X,O
SIOTLJZ,X,X,X,O
SIOTLZJ,X,X,X,O
SIOTJLZ,X,X,X,O
SIOTJZL,X,X,X,O
SIOTZLJ,X,X,X,O
SIOTZJL,X,X,X,O
SIOLTJZ,X,X,X,O
SIOLTZJ,X,X,X,O
SIOLJTZ,X,X,X,O
SIOLJZT,X,X,X,O
SIOLZTJ,X,X,X,O
SIOLZJT,X,X,X,O
SIOJTLZ,X,X,X,O
SIOJTZL,X,X,X,O
SIOJLTZ,X,X,X,O
SIOJLZT,X,X,X,O
SIOJZTL,X,X,X,O
SIOJZLT,X,X,X,O
SIOZTLJ,X,X,X,O
SIOZTJL,X,X,X,O
SIOZLTJ,X,X,X,O
SIOZLJT,X,X,X,O
SIOZJTL,X,X,X,O
SIOZJLT,X,X,X,O
SLTIJZO,O,X,X,O
SLTIJOZ,O,X,X,X
SLTIZJO,O,X,X,O
SLTIZOJ,O,X,X,X
SLTIOJZ,O,X,X,X
SLTIOZJ,O,X,X,X
SLTJIZO,X,X,X,X
SLTJIOZ,X,X,X,X
SLTJZIO,X,X,X,O
SLTJZOI,O,X,X,O
SLTJOIZ,X,X,X,X
SLTJOZI,O,X,X,X
SLTZIJO,O,X,X,O
SLTZIOJ,O,X,X,X
SLTZJIO,X,X,X,O
SLTZJOI,O,X,X,O
SLTZOIJ,O,X,X,O
SLTZOJI,O,X,X,O
SLTOIJZ,O,X,X,O
SLTOIZJ,O,X,X,O
SLTOJIZ,X,X,X,X
SLTOJZI,O,X,X,O
SLTOZIJ,O,X,X,O
SLTOZJI,O,X,X,O
SLITJZO,O,X,X,O
SLITJOZ,O,X,X,X
SLITZJO,O,X,X,O
SLITZOJ,O,X,X,X
SLITOJZ,O,X,X,X
SLITOZJ,O,X,X,X
SLIJTZO,O,X,X,O
SLIJTOZ,O,X,X,X
SLIJZTO,O,X,X,O
SLIJZOT,X,X,X,X
SLIJOTZ,X,X,X,X
SLIJOZT,X,X,X,X
SLIZTJO,O,X,X,O
SLIZTOJ,O,X,X,X
SLIZJTO,O,X,X,O
SLIZJOT,X,X,X,X
SLIZOTJ,X,X,X,O
SLIZOJT,X,X,X,O
SLIOTJZ,X,X,X,O
SLIOTZJ,X,X,X,O
SLIOJTZ,X,X,X,O
SLIOJZT,X,X,X,O
SLIOZTJ,X,X,X,O
SLIOZJT,X,X,X,O
SLJTIZO,X,X,X,X
SLJTIOZ,X,X,X,X
SLJTZIO,X,X,X,O
SLJTZOI,O,X,X,O
SLJTOIZ,X,X,X,X
SLJTOZI,O,X,X,X
SLJITZO,X,X,X,O
SLJITOZ,X,X,X,X
SLJIZTO,X,X,X,O
SLJIZOT,X,X,X,X
SLJIOTZ,X,X,X,X
SLJIOZT,X,X,X,X
SLJZTIO,X,X,X,O
SLJZTOI,O,X,X,O
SLJZITO,X,X,X,O
SLJZIOT,X,X,X,X
SLJZOTI,X,X,X,X
SLJZOIT,X,X,X,X
SLJOTIZ,X,X,X,X
SLJOTZI,X,X,X,X
SLJOITZ,X,X,X,X
SLJOIZT,X,X,X,X
SLJOZTI,X,X,X,X
SLJOZIT,X,X,X,X
SLZTIJO,O,X,X,O
SLZTIOJ,O,X,X,X
SLZTJIO,X,X,X,O
SLZTJOI,O,X,X,O
SLZTOIJ,O,X,X,O
SLZTOJI,O,X,X,O
SLZITJO,O,X,X,O
SLZITOJ,O,X,X,X
SLZIJTO,O,X,X,O
SLZIJOT,X,X,X,X
SLZIOTJ,X,X,X,O
SLZIOJT,X,X,X,O
SLZJTIO,X,X,X,O
SLZJTOI,O,X,X,O
SLZJITO,X,X,X,O
SLZJIOT,X,X,X,X
SLZJOTI,X,X,X,X
SLZJOIT,X,X,X,X
SLZOTIJ,X,X,X,O
SLZOTJI,X,X,X,O
SLZOITJ,X,X,X,O
SLZOIJT,X,X,X,O
SLZOJTI,X,X,X,O
SLZOJIT,X,X,X,X
SLOTIJZ,X,X,X,O
SLOTIZJ,X,X,X,O
SLOTJIZ,X,X,X,X
SLOTJZI,X,X,X,O
SLOTZIJ,X,X,X,O
SLOTZJI,X,X,X,O
SLOITJZ,X,X,X,O
SLOITZJ,X,X,X,O
SLOIJTZ,X,X,X,O
SLOIJZT,X,X,X,O
SLOIZTJ,X,X,X,O
SLOIZJT,X,X,X,O
SLOJTIZ,X,X,X,X
SLOJTZI,X,X,X,O
SLOJITZ,X,X,X,X
SLOJIZT,X,X,X,X
SLOJZTI,X,X,X,O
SLOJZIT,X,X,X,X
SLOZTIJ,X,X,X,O
SLOZTJI,X,X,X,O
SLOZITJ,X,X,X,O
SLOZIJT,X,X,X,O
SLOZJTI,X,X,X,O
SLOZJIT,X,X,X,X
SJTILZO,X,X,X,X
SJTILOZ,X,X,X,X
SJTIZLO,X,X,X,X
SJTIZOL,X,O,X,X
SJTIOLZ,X,X,X,X
SJTIOZL,X,O,X,X
SJTLIZO,X,X,X,X
SJTLIOZ,X,X,X,X
SJTLZIO,X,X,X,O
SJTLZOI,O,X,X,O
SJTLOIZ,X,X,X,X
SJTLOZI,O,X,X,X
SJTZILO,X,X,X,X
SJTZIOL,X,O,X,X
SJTZLIO,X,X,X,O
SJTZLOI,O,X,X,O
SJTZOIL,X,O,X,X
SJTZOLI,O,O,X,X
SJTOILZ,X,X,X,X
SJTOIZL,X,O,X,X
SJTOLIZ,X,X,X,X
SJTOLZI,O,X,X,X
SJTOZIL,X,O,X,X
SJTOZLI,O,O,X,X
SJITLZO,X,X,X,O
SJITLOZ,X,X,X,X
SJITZLO,X,X,X,O
SJITZOL,X,O,X,X
SJITOLZ,X,X,X,X
SJITOZL,X,O,X,X
SJILTZO,X,X,X,O
SJILTOZ,X,X,X,X
SJILZTO,X,X,X,O
SJILZOT,X,X,X,X
SJILOTZ,X,X,X,X
SJILOZT,X,X,X,X
SJIZTLO,X,X,X,O
SJIZTOL,X,O,X,X
SJIZLTO,X,X,X,O
SJIZLOT,X,X,X,X
SJIZOTL,X,X,X,X
SJIZOLT,X,X,X,X
SJIOTLZ,X,X,X,X
SJIOTZL,X,X,X,X
SJIOLTZ,X,X,X,X
SJIOLZT,X,X,X,X
SJIOZTL,X,X,X,X
SJIOZLT,X,X,X,X
SJLTIZO,X,X,X,X
SJLTIOZ,X,X,X,X
SJLTZIO,X,X,X,O
SJLTZOI,O,X,X,O
SJLTOIZ,X,X,X,X
SJLTOZI,O,X,X,X
SJLITZO,X,X,X,O
SJLITOZ,X,X,X,X
SJLIZTO,X,X,X,O
SJLIZOT,X,X,X,X
SJLIOTZ,X,X,X,X
SJLIOZT,X,X,X,X
SJLZTIO,X,X,X,O
SJLZTOI,O,X,X,O
SJLZITO,X,X,X,O
SJLZIOT,X,X,X,X
SJLZOTI,X,X,X,X
SJLZOIT,X,X,X,X
SJLOTIZ,X,X,X,X
SJLOTZI,X,X,X,X
SJLOITZ,X,X,X,X
SJLOIZT,X,X,X,X
SJLOZTI,X,X,X,X
SJLOZIT,X,X,X,X
SJZTILO,X,X,X,X
SJZTIOL,X,O,X,X
SJZTLIO,X,X,X,O
SJZTLOI,O,X,X,O
SJZTOIL,X,O,X,X
SJZTOLI,O,O,X,X
SJZITLO,X,X,X,O
SJZITOL,X,O,X,X
SJZILTO,X,X,X,O
SJZILOT,X,X,X,X
SJZIOTL,X,X,X,X
SJZIOLT,X,X,X,X
SJZLTIO,X,X,X,O
SJZLTOI,O,X,X,O
SJZLITO,X,X,X,O
SJZLIOT,X,X,X,X
SJZLOTI,X,X,X,X
SJZLOIT,X,X,X,X
SJZOTIL,X,X,X,X
SJZOTLI,X,X,X,X
SJZOITL,X,X,X,X
SJZOILT,X,X,X,X
SJZOLTI,X,X,X,X
SJZOLIT,X,X,X,X
SJOTILZ,X,X,X,X
SJOTIZL,X,X,X,X
SJOTLIZ,X,X,X,X
SJOTLZI,X,X,X,X
SJOTZIL,X,X,X,X
SJOTZLI,X,X,X,X
SJOITLZ,X,X,X,X
SJOITZL,X,X,X,X
SJOILTZ,X,X,X,X
SJOILZT,X,X,X,X
SJOIZTL,X,X,X,X
SJOIZLT,X,X,X,X
SJOLTIZ,X,X,X,X
SJOLTZI,X,X,X,X
SJOLITZ,X,X,X,X
SJOLIZT,X,X,X,X
SJOLZTI,X,X,X,X
SJOLZIT,X,X,X,X
SJOZTIL,X,X,X,X
SJOZTLI,X,X,X,X
SJOZITL,X,X,X,X
SJOZILT,X,X,X,X
SJOZLTI,X,X,X,X
SJOZLIT,X,X,X,X
