sequence,v115@6gC8FeD8FeE8CeH8FeB8Jei6IvhFzbBuhB3fBllBUq?BxwB,v115@6gC8FeD8FeE8CeH8FeB8JeO/IvhFXbBlcBUhBClBTq?BxwB,v115@6gC8FeD8FeE8CeH8FeB8JeO/IvhFTbB/hBqkBllBUs?BxvB,v115@6gC8FeD8FeE8CeH8FeB8JeO/IvhFlbB3cBzfBCmBUq?BxwB,v115@6gC8FeD8FeE8CeH8FeB8JeT6IvhFibBuhB0kBllB3q?BxwB,v115@6gC8FeD8FeE8CeH8FeB8Je06IvhFlbBuhB/kBylBTq?BxwB,v115@6gC8FeD8FeE8CeH8FeB8Jei6IvhF3cBGgBUhBlkBTq?BxwB,v115@6gC8FeD8FeE8CeH8FeB8JeT6IvhFibBGhBlkB3lBUs?BxvB,v115@6gC8FeD8FeE8CeH8FeB8Jex6IvhFTfB/lBFhBUqBWx?BirB,v115@6gC8FeD8FeE8CeH8FeB8Jex6IvhF/kBUgBFhBTqBWx?BirB
TISJOLZ,O,O,O,O,X,O,O,O,X,X
TISJOZL,O,O,X,O,X,O,X,O,X,X
TISZLJO,O,O,O,O,O,O,O,O,X,X
TISZLOJ,O,O,O,O,O,O,X,O,X,X
TISZJLO,O,O,X,O,O,O,O,O,X,X
TISZJOL,O,O,X,O,O,O,X,O,X,X
TISZOLJ,O,O,O,O,O,X,X,O,X,X
TISZOJL,O,O,X,O,O,O,X,O,X,X
TISOLJZ,O,O,O,O,X,O,O,O,X,X
TISOLZJ,O,O,O,X,X,O,O,O,X,X
TISOJLZ,O,O,O,O,X,O,O,O,X,X
TISOJZL,O,O,X,O,X,O,O,O,X,X
TISOZLJ,O,O,O,O,X,O,O,O,X,X
TISOZJL,O,O,X,O,X,O,O,O,X,X
TIZLJSO,O,O,O,O,O,X,O,X,X,X
TIZLJOS,O,O,O,O,O,X,X,X,X,X
TIZLSJO,O,O,O,O,O,X,O,X,X,X
TIZLSOJ,O,O,O,O,O,X,X,X,X,X
TIZLOJS,O,O,O,O,O,X,X,X,X,X
TIZLOSJ,O,O,O,O,O,X,X,X,X,X
TIZJLSO,O,O,X,O,O,X,O,X,X,X
TIZJLOS,O,O,X,O,O,X,X,X,X,X
TIZJSLO,O,O,X,O,O,X,O,X,X,X
TIZJSOL,O,O,X,O,O,X,X,X,X,X
TIZJOLS,O,O,X,O,O,X,X,X,X,X
TIZJOSL,O,O,X,O,O,X,X,X,X,X
TIZSLJO,O,O,O,O,O,X,O,O,X,X
TIZSLOJ,O,O,O,O,O,X,X,O,X,X
TIZSJLO,O,O,X,O,O,X,O,O,X,X
TIZSJOL,O,O,X,O,O,X,X,O,X,X
TIZSOLJ,O,O,O,O,O,X,X,O,X,X
TIZSOJL,O,O,X,O,O,X,X,O,X,X
TIZOLJS,O,O,O,O,O,X,X,X,X,X
TIZOLSJ,O,O,O,O,O,X,X,X,X,X
TIZOJLS,O,O,X,O,O,X,X,X,X,X
TIZOJSL,O,O,X,O,O,X,X,X,X,X
TIZOSLJ,O,O,O,O,O,X,X,O,X,X
TIZOSJL,O,O,X,O,O,X,X,O,X,X
TIOLJSZ,O,O,O,X,X,O,O,X,X,X
TIOLJZS,X,O,O,X,O,O,O,X,X,X
TIOLSJZ,O,O,O,X,X,O,O,O,X,X
TIOLSZJ,O,O,O,X,X,O,O,O,X,X
TIOLZJS,X,O,O,X,O,O,O,X,X,X
TIOLZSJ,X,O,O,X,O,O,O,X,X,X
TIOJLSZ,O,O,O,X,X,O,O,X,X,X
TIOJLZS,X,O,O,X,O,O,O,X,X,X
TIOJSLZ,O,O,O,X,X,O,O,O,X,X
TIOJSZL,O,O,X,X,X,O,O,O,X,X
TIOJZLS,X,O,X,X,O,X,O,X,X,X
TIOJZSL,O,O,X,X,O,X,O,X,X,X
TIOSLJZ,O,O,O,X,X,O,O,O,X,X
TIOSLZJ,O,O,O,X,X,O,O,O,X,X
TIOSJLZ,O,O,O,X,X,O,O,O,X,X
TIOSJZL,O,O,X,X,X,O,O,O,X,X
TIOSZLJ,O,O,O,X,X,O,O,O,X,O
TIOSZJL,O,O,X,X,X,O,O,O,X,O
TIOZLJS,X,O,O,X,O,X,O,X,X,X
TIOZLSJ,X,O,O,X,O,X,O,X,X,X
TIOZJLS,X,O,X,X,O,X,O,X,X,X
TIOZJSL,O,O,X,X,O,X,O,X,X,X
TIOZSLJ,O,O,O,X,O,X,O,O,X,X
TIOZSJL,O,O,X,X,O,X,O,O,X,X
TLIJSZO,X,O,O,O,X,O,O,X,X,X
TLIJSOZ,X,O,O,O,X,X,O,X,X,X
TLIJZSO,X,O,O,O,X,X,O,X,X,X
TLIJZOS,X,X,O,O,O,X,X,X,X,X
TLIJOSZ,X,O,O,O,X,X,O,X,X,X
TLIJOZS,X,O,O,X,X,X,X,X,X,X
TLISJZO,X,O,O,O,X,O,O,O,X,X
TLISJOZ,X,O,O,O,X,X,O,O,X,X
TLISZJO,X,O,O,O,X,O,O,O,X,X
TLISZOJ,X,X,O,X,X,X,X,O,X,X
TLISOJZ,X,O,O,O,X,X,O,O,X,X
TLISOZJ,X,X,O,X,X,X,X,O,X,X
TLIZJSO,X,O,O,O,O,X,O,X,X,X
TLIZJOS,X,O,O,X,O,X,X,X,X,X
TLIZSJO,X,O,O,O,O,X,O,X,X,X
TLIZSOJ,X,O,O,X,O,X,X,X,X,X
TLIZOJS,X,O,O,X,O,X,X,X,X,X
TLIZOSJ,X,O,O,X,O,X,X,X,X,X
TLIOJSZ,X,O,O,O,X,X,O,X,X,X
TLIOJZS,X,O,O,X,X,X,X,X,X,X
TLIOSJZ,X,O,O,O,X,X,O,O,X,X
TLIOSZJ,X,O,O,X,X,X,X,O,X,X
TLIOZJS,X,O,O,X,X,X,X,X,X,X
TLIOZSJ,X,O,O,X,X,X,X,X,X,X
TLJISZO,X,O,O,O,X,O,O,X,X,X
TLJISOZ,X,O,O,O,X,X,O,X,X,X
TLJIZSO,X,O,O,O,X,X,O,X,X,X
TLJIZOS,X,X,O,O,O,X,X,X,X,X
TLJIOSZ,X,O,O,O,X,X,O,X,X,X
TLJIOZS,X,O,O,X,X,X,X,X,X,X
TLJSIZO,X,O,O,O,X,O,O,X,X,X
TLJSIOZ,O,X,O,O,X,O,O,X,X,X
TLJSZIO,X,O,O,O,X,O,O,X,X,X
TLJSZOI,O,O,X,O,O,O,O,X,X,X
TLJSOIZ,O,X,O,O,X,O,X,X,X,X
TLJSOZI,O,O,O,O,X,O,O,X,X,X
TLJZISO,X,O,O,O,O,X,X,X,X,X
TLJZIOS,X,O,O,X,O,X,X,X,X,X
TLJZSIO,X,O,O,O,O,O,O,X,X,X
TLJZSOI,X,O,X,O,O,O,O,X,X,X
TLJZOIS,X,O,O,X,O,X,X,X,X,X
TLJZOSI,X,O,O,O,O,X,X,X,X,X
TLJOISZ,X,O,O,X,X,X,X,X,X,X
TLJOIZS,X,X,O,X,X,X,X,X,X,X
TLJOSIZ,O,O,O,O,X,X,X,X,X,X
TLJOSZI,O,O,O,O,X,O,O,X,X,X
TLJOZIS,X,X,O,X,O,X,X,X,X,X
TLJOZSI,X,O,O,X,O,X,X,X,X,X
TLSIJZO,X,O,O,O,X,O,O,O,X,X
TLSIJOZ,O,X,O,O,X,X,O,O,X,X
TLSIZJO,X,X,O,O,X,O,O,O,X,X
TLSIZOJ,X,X,O,X,X,X,X,O,X,X
TLSIOJZ,O,X,O,O,X,X,O,O,X,X
TLSIOZJ,X,X,O,X,X,X,X,O,X,X
TLSJIZO,X,O,O,O,X,O,O,O,X,X
TLSJIOZ,O,X,O,O,X,O,O,O,X,X
TLSJZIO,X,O,O,O,X,O,O,X,X,X
TLSJZOI,O,O,X,O,O,O,O,O,X,X
TLSJOIZ,O,X,O,O,X,O,X,O,X,X
TLSJOZI,O,O,O,O,X,O,O,O,X,X
TLSZIJO,X,O,X,X,O,O,O,O,X,X
TLSZIOJ,X,X,X,X,O,X,X,O,X,X
TLSZJIO,X,O,O,O,X,O,O,X,X,X
TLSZJOI,O,O,X,O,O,O,O,O,X,X
TLSZOIJ,X,X,X,X,O,X,X,O,X,X
TLSZOJI,O,O,O,X,O,O,X,O,X,X
TLSOIJZ,O,X,O,X,X,X,O,O,X,X
TLSOIZJ,X,X,O,X,X,X,X,O,X,X
TLSOJIZ,O,X,O,O,X,X,X,O,X,X
TLSOJZI,O,O,O,O,X,O,O,O,X,X
TLSOZIJ,X,X,X,X,X,X,X,O,X,X
TLSOZJI,O,X,O,X,X,O,X,O,X,X
TLZIJSO,X,O,O,X,O,X,O,X,X,X
TLZIJOS,X,O,O,X,O,X,X,X,X,X
TLZISJO,X,O,O,X,O,X,O,X,X,X
TLZISOJ,X,O,O,X,O,X,X,X,X,X
TLZIOJS,X,O,O,X,O,X,X,X,X,X
TLZIOSJ,X,O,O,X,O,X,X,X,X,X
TLZJISO,X,O,O,X,O,X,X,X,X,X
TLZJIOS,X,O,O,X,O,X,X,X,X,X
TLZJSIO,X,O,O,O,O,O,O,X,X,X
TLZJSOI,X,O,X,O,O,O,O,X,X,X
TLZJOIS,X,O,O,X,O,X,X,X,X,X
TLZJOSI,X,O,O,X,O,X,X,X,X,X
TLZSIJO,X,O,X,X,O,O,O,X,X,X
TLZSIOJ,X,X,X,X,O,X,X,X,X,X
TLZSJIO,X,O,O,O,X,O,O,X,X,X
TLZSJOI,X,O,X,O,O,O,O,X,X,X
TLZSOIJ,X,X,X,X,O,X,X,X,X,X
TLZSOJI,X,O,O,X,O,O,X,X,X,X
TLZOIJS,X,X,O,X,O,X,X,X,X,X
TLZOISJ,X,X,O,X,O,X,X,X,X,X
TLZOJIS,X,O,O,X,O,X,X,X,X,X
TLZOJSI,X,O,O,X,O,X,X,X,X,X
TLZOSIJ,X,X,X,X,O,X,X,X,X,X
TLZOSJI,X,O,O,X,O,X,X,X,X,X
TLOIJSZ,X,O,O,X,X,X,O,X,X,X
TLOIJZS,X,X,O,X,X,X,X,X,X,X
TLOISJZ,X,O,O,X,X,X,O,O,X,X
TLOISZJ,X,X,O,X,X,X,X,O,X,X
TLOIZJS,X,X,O,X,X,X,X,X,X,X
TLOIZSJ,X,X,O,X,X,X,X,X,X,X
TLOJISZ,X,O,O,X,X,X,X,X,X,X
TLOJIZS,X,X,O,X,X,X,X,X,X,X
TLOJSIZ,O,O,O,O,X,X,X,X,X,X
TLOJSZI,O,O,O,O,X,O,O,X,X,X
TLOJZIS,X,X,O,X,O,X,X,X,X,X
TLOJZSI,X,O,O,X,O,X,X,X,X,X
TLOSIJZ,O,O,O,X,X,X,O,O,X,X
TLOSIZJ,X,X,O,X,X,X,X,O,X,X
TLOSJIZ,O,O,O,O,X,X,X,O,X,X
TLOSJZI,O,O,O,O,X,O,O,O,X,X
TLOSZIJ,X,X,X,X,X,X,X,O,X,O
TLOSZJI,O,O,O,X,X,O,X,O,X,O
TLOZIJS,X,X,O,X,O,X,X,X,X,X
TLOZISJ,X,X,O,X,O,X,X,X,X,X
TLOZJIS,X,X,O,X,O,X,X,X,X,X
TLOZJSI,X,O,O,X,O,X,X,X,X,X
TLOZSIJ,X,X,X,X,O,X,X,X,X,X
TLOZSJI,X,O,O,X,O,X,X,X,X,X
TJILSZO,O,O,O,O,O,O,O,O,X,X
TJILSOZ,O,O,O,O,X,O,O,O,X,X
TJILZSO,X,O,O,O,O,O,O,X,X,X
TJILZOS,X,O,O,O,O,X,X,X,X,X
TJILOSZ,O,O,O,O,X,O,O,X,X,X
TJILOZS,X,O,O,X,O,X,X,X,X,X
TJISLZO,O,O,O,O,O,O,O,O,X,X
TJISLOZ,O,O,O,O,X,O,O,O,X,X
TJISZLO,O,O,X,O,O,O,O,O,X,X
TJISZOL,O,O,X,O,O,O,X,O,X,X
TJISOLZ,O,O,X,O,X,O,O,O,X,X
TJISOZL,O,O,X,O,X,O,X,O,X,X
TJIZLSO,O,O,X,O,O,X,O,X,X,X
TJIZLOS,O,O,X,O,O,X,X,X,X,X
TJIZSLO,O,O,X,O,O,X,O,X,X,X
TJIZSOL,O,O,X,O,O,X,X,X,X,X
TJIZOLS,O,O,X,O,O,X,X,X,X,X
TJIZOSL,O,O,X,O,O,X,X,X,X,X
TJIOLSZ,O,O,X,X,X,O,O,X,X,X
TJIOLZS,X,O,X,X,O,O,X,X,X,X
TJIOSLZ,O,O,X,X,X,O,O,O,X,X
TJIOSZL,O,O,X,X,X,O,X,O,X,X
TJIOZLS,X,O,X,X,O,X,X,X,X,X
TJIOZSL,O,O,X,X,O,X,X,X,X,X
TJLISZO,X,O,O,O,X,O,O,X,X,X
TJLISOZ,X,O,O,O,X,X,O,X,X,X
TJLIZSO,X,O,O,O,X,X,O,X,X,X
TJLIZOS,X,X,O,O,O,X,X,X,X,X
TJLIOSZ,X,O,O,O,X,X,O,X,X,X
TJLIOZS,X,O,O,X,X,X,X,X,X,X
TJLSIZO,X,O,O,O,X,O,O,X,X,X
TJLSIOZ,O,X,O,O,X,O,O,O,X,X
TJLSZIO,X,O,O,O,X,O,O,X,X,X
TJLSZOI,O,O,X,O,O,O,O,O,X,X
TJLSOIZ,O,X,O,O,X,O,X,O,X,X
TJLSOZI,O,O,O,O,X,O,O,O,X,X
TJLZISO,X,O,O,O,O,X,X,X,X,X
TJLZIOS,X,O,O,X,O,X,X,X,X,X
TJLZSIO,X,O,O,O,O,O,O,X,X,X
TJLZSOI,X,O,X,O,O,O,O,X,X,X
TJLZOIS,X,O,O,X,O,X,X,X,X,X
TJLZOSI,X,O,O,O,O,X,X,X,X,X
TJLOISZ,X,O,O,X,X,X,X,X,X,X
TJLOIZS,X,X,O,X,X,X,X,X,X,X
TJLOSIZ,O,O,O,O,X,X,X,X,X,X
TJLOSZI,O,O,O,O,X,O,O,X,X,X
TJLOZIS,X,X,O,X,O,X,X,X,X,X
TJLOZSI,X,O,O,X,O,X,X,X,X,X
TJSILZO,O,O,O,O,X,O,O,O,X,X
TJSILOZ,O,O,O,O,X,O,O,O,X,X
TJSIZLO,O,O,X,O,X,O,O,O,X,X
TJSIZOL,O,O,X,O,X,O,X,O,X,X
TJSIOLZ,O,O,X,O,X,O,O,O,X,X
TJSIOZL,O,O,X,O,X,O,X,O,X,X
TJSLIZO,O,O,O,O,X,O,O,O,X,X
TJSLIOZ,O,X,O,O,X,O,O,O,X,X
TJSLZIO,O,O,O,O,X,O,O,X,X,X
TJSLZOI,O,O,X,O,O,O,O,O,X,X
TJSLOIZ,O,X,O,O,X,O,X,O,X,X
TJSLOZI,O,O,O,O,X,O,O,O,X,X
TJSZILO,O,O,X,O,O,O,X,O,X,X
TJSZIOL,O,O,X,O,O,O,X,O,X,X
TJSZLIO,O,O,X,O,O,O,O,X,X,X
TJSZLOI,O,O,X,O,O,O,O,O,X,X
TJSZOIL,O,O,X,O,O,X,X,O,X,X
TJSZOLI,O,O,X,O,O,O,X,O,X,X
TJSOILZ,O,X,X,O,X,X,X,O,X,X
TJSOIZL,X,X,X,O,X,X,X,O,X,X
TJSOLIZ,O,O,O,O,X,O,X,O,X,X
TJSOLZI,O,O,O,O,X,O,O,O,X,X
TJSOZIL,X,O,X,O,X,O,X,O,X,X
TJSOZLI,O,O,X,O,X,O,X,O,X,X
TJZILSO,X,O,X,X,O,X,X,X,X,X
TJZILOS,X,O,X,X,O,X,X,X,X,X
TJZISLO,O,O,X,X,O,X,X,X,X,X
TJZISOL,O,O,X,X,O,X,X,X,X,X
TJZIOLS,X,O,X,X,O,X,X,X,X,X
TJZIOSL,O,O,X,X,O,X,X,X,X,X
TJZLISO,X,O,X,O,O,X,X,X,X,X
TJZLIOS,X,O,X,X,O,X,X,X,X,X
TJZLSIO,O,O,X,O,O,X,O,X,X,X
TJZLSOI,O,O,X,O,O,X,O,X,X,X
TJZLOIS,X,O,X,X,O,X,X,X,X,X
TJZLOSI,O,O,X,O,O,X,X,X,X,X
TJZSILO,O,O,X,X,O,X,X,X,X,X
TJZSIOL,O,O,X,O,O,X,X,X,X,X
TJZSLIO,O,O,X,O,O,X,O,X,X,X
TJZSLOI,O,O,X,O,O,X,O,X,X,X
TJZSOIL,O,O,X,O,O,X,X,X,X,X
TJZSOLI,O,O,X,O,O,X,X,X,X,X
TJZOILS,X,X,X,X,O,X,X,X,X,X
TJZOISL,O,O,X,O,O,X,X,X,X,X
TJZOLIS,X,X,X,O,O,X,X,X,X,X
TJZOLSI,O,O,X,O,O,X,X,X,X,X
TJZOSIL,O,O,X,O,O,X,X,X,X,X
TJZOSLI,O,O,X,O,O,X,X,X,X,X
TJOILSZ,X,O,X,X,X,X,X,X,X,X
TJOILZS,X,O,X,X,X,X,X,X,X,X
TJOISLZ,O,O,X,X,X,X,X,O,X,X
TJOISZL,X,O,X,X,X,X,X,O,X,X
TJOIZLS,X,O,X,X,X,X,X,X,X,X
TJOIZSL,X,O,X,X,X,X,X,X,X,X
TJOLISZ,X,O,O,X,X,O,X,X,X,X
TJOLIZS,X,O,O,X,X,X,X,X,X,X
TJOLSIZ,O,O,O,X,X,O,X,X,X,X
TJOLSZI,O,O,O,X,X,O,O,X,X,X
TJOLZIS,X,O,O,X,O,X,X,X,X,X
TJOLZSI,X,O,O,X,O,O,X,X,X,X
TJOSILZ,O,X,X,X,X,X,X,O,X,X
TJOSIZL,X,X,X,X,X,X,X,O,X,X
TJOSLIZ,O,O,O,X,X,O,X,O,X,X
TJOSLZI,O,O,O,X,X,O,O,O,X,X
TJOSZIL,X,O,X,X,X,O,X,O,X,O
TJOSZLI,O,O,X,X,X,O,X,O,X,O
TJOZILS,X,X,X,X,O,X,X,X,X,X
TJOZISL,X,O,X,X,O,X,X,X,X,X
TJOZLIS,X,X,X,X,O,X,X,X,X,X
TJOZLSI,X,O,X,X,O,X,X,X,X,X
TJOZSIL,X,O,X,X,O,X,X,X,X,X
TJOZSLI,O,O,X,X,O,X,X,X,X,X
TSILJZO,O,O,O,O,X,O,O,O,X,X
TSILJOZ,O,O,O,O,X,O,O,O,X,X
TSILZJO,O,O,O,O,X,O,O,O,X,X
TSILZOJ,O,X,O,O,X,O,X,O,X,X
TSILOJZ,O,O,O,O,X,O,O,O,X,X
TSILOZJ,O,X,O,X,X,O,X,O,X,X
TSIJLZO,O,O,O,O,X,O,O,O,X,X
TSIJLOZ,O,O,O,O,X,O,O,O,X,X
TSIJZLO,O,O,X,O,X,O,O,O,X,X
TSIJZOL,O,O,X,O,X,O,X,O,X,X
TSIJOLZ,O,O,O,O,X,O,O,O,X,X
TSIJOZL,O,O,X,O,X,O,X,O,X,X
TSIZLJO,O,O,O,O,X,O,O,O,X,X
TSIZLOJ,O,O,O,O,X,O,X,O,X,X
TSIZJLO,O,O,X,O,X,O,O,O,X,X
TSIZJOL,O,O,X,O,X,O,X,O,X,X
TSIZOLJ,O,O,O,O,X,X,X,O,X,X
TSIZOJL,O,O,X,O,X,O,X,O,X,X
TSIOLJZ,O,O,O,O,X,O,O,O,X,X
TSIOLZJ,O,O,O,X,X,O,O,O,X,X
TSIOJLZ,O,O,O,O,X,O,O,O,X,X
TSIOJZL,O,O,X,O,X,O,O,O,X,X
TSIOZLJ,O,O,O,O,X,O,O,O,X,O
TSIOZJL,O,O,X,O,X,O,O,O,X,O
TSLIJZO,O,O,O,O,X,O,O,O,X,X
TSLIJOZ,O,X,O,O,X,X,O,O,X,X
TSLIZJO,O,X,O,O,X,O,O,O,X,X
TSLIZOJ,O,X,O,O,X,X,X,O,X,X
TSLIOJZ,O,X,O,O,X,X,O,O,X,X
TSLIOZJ,O,X,O,X,X,X,X,O,X,X
TSLJIZO,O,O,O,O,X,O,O,O,X,X
TSLJIOZ,O,X,O,O,X,O,O,O,X,X
TSLJZIO,O,O,O,O,X,O,O,X,X,X
TSLJZOI,O,O,X,O,O,O,O,O,X,X
TSLJOIZ,O,X,O,O,X,O,X,O,X,X
TSLJOZI,O,O,O,O,X,O,O,O,X,X
TSLZIJO,O,X,X,X,O,O,O,O,X,X
TSLZIOJ,O,X,X,X,O,X,X,O,X,X
TSLZJIO,O,O,O,O,X,O,O,X,X,X
TSLZJOI,O,O,X,O,O,O,O,O,X,X
TSLZOIJ,O,X,X,X,O,X,X,O,X,X
TSLZOJI,O,X,O,O,O,O,X,O,X,X
TSLOIJZ,O,X,O,X,X,X,O,O,X,X
TSLOIZJ,X,X,O,X,X,X,X,O,X,X
TSLOJIZ,O,X,O,O,X,X,X,O,X,X
TSLOJZI,O,O,O,O,X,O,O,O,X,X
TSLOZIJ,X,X,X,X,X,X,X,O,X,X
TSLOZJI,O,X,O,X,X,O,X,O,X,X
TSJILZO,O,O,O,O,X,O,O,O,X,X
TSJILOZ,O,O,O,O,X,O,O,O,X,X
TSJIZLO,O,O,X,O,X,O,O,O,X,X
TSJIZOL,O,O,X,O,X,O,X,O,X,X
TSJIOLZ,O,O,X,O,X,O,O,O,X,X
TSJIOZL,O,O,X,O,X,O,X,O,X,X
TSJLIZO,O,O,O,O,X,O,O,O,X,X
TSJLIOZ,O,X,O,O,X,O,O,O,X,X
TSJLZIO,O,O,O,O,X,O,O,X,X,X
TSJLZOI,O,O,X,O,O,O,O,O,X,X
TSJLOIZ,O,X,O,O,X,O,X,O,X,X
TSJLOZI,O,O,O,O,X,O,O,O,X,X
TSJZILO,O,O,X,O,O,O,X,O,X,X
TSJZIOL,O,O,X,O,O,O,X,O,X,X
TSJZLIO,O,O,X,O,O,O,O,X,X,X
TSJZLOI,O,O,X,O,O,O,O,O,X,X
TSJZOIL,O,O,X,O,O,X,X,O,X,X
TSJZOLI,O,O,X,O,O,O,X,O,X,X
TSJOILZ,O,X,X,O,X,X,X,O,X,X
TSJOIZL,X,X,X,O,X,X,X,O,X,X
TSJOLIZ,O,O,O,O,X,O,X,O,X,X
TSJOLZI,O,O,O,O,X,O,O,O,X,X
TSJOZIL,X,O,X,O,X,O,X,O,X,X
TSJOZLI,O,O,X,O,X,O,X,O,X,X
TSZILJO,O,O,X,O,O,O,O,O,X,X
TSZILOJ,O,O,X,O,O,O,X,O,X,X
TSZIJLO,O,O,X,O,O,O,O,O,X,X
TSZIJOL,O,O,X,O,O,O,X,O,X,X
TSZIOLJ,O,O,X,O,O,X,X,O,X,X
TSZIOJL,O,O,X,O,O,O,X,O,X,X
TSZLIJO,O,O,X,O,O,O,O,O,X,X
TSZLIOJ,O,X,X,O,O,X,X,O,X,X
TSZLJIO,O,O,O,O,X,O,O,X,X,X
TSZLJOI,O,O,X,O,O,O,O,O,X,X
TSZLOIJ,O,X,X,O,O,X,X,O,X,X
TSZLOJI,O,O,O,O,O,O,X,O,X,X
TSZJILO,O,O,X,O,O,O,X,O,X,X
TSZJIOL,O,O,X,O,O,O,X,O,X,X
TSZJLIO,O,O,X,O,O,O,O,X,X,X
TSZJLOI,O,O,X,O,O,O,O,O,X,X
TSZJOIL,O,O,X,O,O,X,X,O,X,X
TSZJOLI,O,O,X,O,O,O,X,O,X,X
TSZOILJ,O,X,X,X,O,X,X,O,X,X
TSZOIJL,O,O,X,O,O,X,X,O,X,X
TSZOLIJ,O,X,X,O,O,X,X,O,X,X
TSZOLJI,O,O,O,O,O,X,X,O,X,X
TSZOJIL,O,O,X,O,O,X,X,O,X,X
TSZOJLI,O,O,X,O,O,O,X,O,X,X
TSOILJZ,O,X,O,O,X,X,O,O,X,X
TSOILZJ,X,X,X,X,X,X,X,O,X,X
TSOIJLZ,O,X,X,O,X,X,O,O,X,X
TSOIJZL,X,X,X,O,X,X,X,O,X,X
TSOIZLJ,X,X,X,O,X,X,X,O,X,O
TSOIZJL,X,X,X,O,X,X,X,O,X,O
