sequence,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JeF8IvhFxdBTgB?UiBaoBOrBXsB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JeU8IvhFFdBXeB?TgBxmBysB2wB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxcBXeB?2nBFmBisBTrB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8Je37IvhFUdBFeB?mlBRnBisBTrB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxcBXeB?mhBFmBznBywB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxdBlhB?aoBXhBTnB2wB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxcBXeB?FmBesBznBirB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFTcBxdB?eoBarBFnBXsB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxdB3iB?FmBysBmrBTrB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFTcBxdB?FmBmnB3nBywB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFTcBFeB?foBRmBKnB2wB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxcBXeB?anBFmBznB2wB
TOSJLIZ,O,O,X,X,X,X,X,X,X,X,X,X
TOSJLZI,O,O,X,X,X,X,X,X,X,X,X,X
TOSJZIL,O,O,X,X,X,X,O,X,X,X,O,X
TOSJZLI,O,O,X,X,X,X,O,X,X,X,X,X
TOSZILJ,O,O,X,X,O,X,X,X,X,X,O,O
TOSZIJL,O,O,X,X,O,X,O,X,X,X,O,O
TOSZLIJ,O,O,X,X,O,O,X,X,X,X,X,O
TOSZLJI,O,O,X,X,O,O,X,X,X,X,X,O
TOSZJIL,O,O,X,X,O,X,O,X,X,X,O,O
TOSZJLI,O,O,X,X,O,X,O,X,X,X,X,O
TOZILJS,X,O,X,X,X,O,X,X,X,X,X,O
TOZILSJ,O,O,X,X,X,O,X,X,X,X,X,O
TOZIJLS,O,O,X,X,O,X,X,X,X,X,X,X
TOZIJSL,O,O,X,X,O,X,X,X,X,X,X,X
TOZISLJ,O,O,X,X,O,X,X,X,X,X,X,O
TOZISJL,O,O,X,X,O,X,X,X,X,X,X,O
TOZLIJS,X,O,X,X,O,O,X,X,X,X,X,O
TOZLISJ,O,O,X,X,O,O,X,X,X,X,X,O
TOZLJIS,X,O,X,X,O,O,X,X,X,X,X,O
TOZLJSI,X,O,X,X,O,O,X,X,X,X,X,O
TOZLSIJ,X,O,X,X,O,O,X,X,X,X,X,O
TOZLSJI,X,O,X,X,O,O,X,X,X,X,X,O
TOZJILS,O,O,X,X,O,O,O,X,X,X,X,X
TOZJISL,O,O,X,X,O,X,O,X,X,X,X,X
TOZJLIS,O,O,X,X,O,O,O,X,X,X,X,O
TOZJLSI,O,O,X,X,O,O,O,X,X,X,X,O
TOZJSIL,O,O,X,X,O,X,O,X,X,X,O,O
TOZJSLI,O,O,X,X,O,O,O,X,X,X,X,O
TOZSILJ,O,O,X,X,O,X,X,X,X,X,O,O
TOZSIJL,O,O,X,X,O,X,O,X,X,X,O,O
TOZSLIJ,O,O,X,X,O,O,X,X,X,X,X,O
TOZSLJI,O,O,X,X,O,O,X,X,X,X,X,O
TOZSJIL,O,O,X,X,O,X,O,X,X,X,O,O
TOZSJLI,O,O,X,X,O,X,O,X,X,X,X,O
ITLJSZO,O,O,X,O,X,O,X,X,X,X,X,X
ITLJSOZ,O,X,X,O,X,X,X,X,X,X,X,X
ITLJZSO,O,O,X,O,X,O,X,X,X,X,X,X
ITLJZOS,O,X,X,O,X,O,X,X,X,X,X,X
ITLJOSZ,O,X,X,O,X,X,X,X,X,X,X,X
ITLJOZS,O,X,X,O,X,O,X,X,X,X,X,X
ITLSJZO,O,O,X,O,X,X,X,X,X,X,X,X
ITLSJOZ,O,X,X,O,X,X,X,X,X,X,X,X
ITLSZJO,O,O,X,O,X,O,X,X,O,X,X,X
ITLSZOJ,O,O,X,X,X,O,X,X,O,X,X,X
ITLSOJZ,O,X,X,X,X,X,X,X,X,X,X,X
ITLSOZJ,O,O,X,X,X,X,X,X,X,X,X,X
ITLZJSO,X,O,X,O,X,O,X,X,X,X,X,X
ITLZJOS,X,X,X,O,X,O,X,X,X,X,X,X
ITLZSJO,X,O,X,O,X,O,X,X,O,X,X,X
ITLZSOJ,X,O,X,X,X,O,X,X,O,X,X,X
ITLZOJS,X,X,X,O,X,O,X,X,X,X,X,X
ITLZOSJ,X,O,X,X,X,O,X,X,X,X,X,X
ITLOJSZ,O,X,X,O,X,X,X,X,X,X,X,X
ITLOJZS,O,X,X,O,X,X,X,X,X,X,X,X
ITLOSJZ,O,X,X,X,X,X,X,X,X,X,X,X
ITLOSZJ,O,O,X,X,X,X,X,X,X,X,X,X
ITLOZJS,X,X,X,O,X,X,X,X,X,X,X,X
ITLOZSJ,O,O,X,X,X,O,X,X,X,X,X,X
ITJLSZO,O,X,X,O,X,O,X,X,X,X,X,X
ITJLSOZ,O,X,X,O,X,X,X,X,X,X,X,X
ITJLZSO,O,X,X,O,X,O,X,X,X,X,X,X
ITJLZOS,O,X,X,O,X,O,X,X,X,X,X,X
ITJLOSZ,O,X,X,O,X,X,X,X,X,X,X,X
ITJLOZS,O,X,X,O,X,O,X,X,X,X,X,X
ITJSLZO,O,X,X,O,X,X,X,X,X,X,X,X
ITJSLOZ,O,X,X,O,X,X,X,X,X,X,X,X
ITJSZLO,O,X,X,O,X,X,X,X,X,X,O,X
ITJSZOL,O,O,X,X,X,X,X,X,X,X,O,X
ITJSOLZ,O,X,X,O,X,X,X,X,X,X,X,X
ITJSOZL,O,X,X,X,X,X,X,X,X,X,X,X
ITJZLSO,O,X,X,O,X,O,X,O,X,X,X,X
ITJZLOS,O,X,X,O,X,O,X,O,X,O,X,X
ITJZSLO,O,X,X,O,X,X,X,X,X,X,O,X
ITJZSOL,O,O,X,X,X,X,X,X,X,O,O,X
ITJZOLS,O,X,X,X,X,O,X,X,X,O,X,X
ITJZOSL,O,X,X,X,X,X,X,X,X,O,X,X
ITJOLSZ,O,X,X,O,X,O,X,X,X,X,X,X
ITJOLZS,O,X,X,O,X,O,X,X,X,X,X,X
ITJOSLZ,O,X,X,O,X,X,X,X,X,X,X,X
ITJOSZL,O,X,X,X,X,X,X,X,X,X,X,X
ITJOZLS,O,X,X,X,X,O,X,X,X,X,X,X
ITJOZSL,O,X,X,X,X,X,X,X,X,X,X,X
ITSLJZO,O,X,X,X,X,X,X,X,X,X,X,X
ITSLJOZ,O,X,X,X,X,X,X,X,X,X,X,X
ITSLZJO,O,X,X,X,X,X,X,X,X,X,X,X
ITSLZOJ,O,O,X,X,X,X,X,X,X,X,X,X
ITSLOJZ,O,X,X,X,X,X,X,X,X,X,X,X
ITSLOZJ,O,X,X,X,X,X,X,X,X,X,X,X
ITSJLZO,O,X,X,O,X,X,X,X,X,X,X,X
ITSJLOZ,O,X,X,O,X,X,X,X,X,X,X,X
ITSJZLO,O,X,X,O,X,X,X,X,X,X,O,X
ITSJZOL,O,O,X,X,X,X,X,X,X,X,O,X
ITSJOLZ,O,X,X,O,X,X,X,X,X,X,X,X
ITSJOZL,O,X,X,X,X,X,X,X,X,X,X,X
ITSZLJO,O,X,X,X,X,X,X,X,X,X,O,X
ITSZLOJ,O,O,X,X,X,X,X,X,X,X,O,X
ITSZJLO,O,X,X,X,X,X,X,X,X,X,O,X
ITSZJOL,O,O,X,X,X,X,X,X,X,X,O,X
ITSZOLJ,O,O,X,X,X,X,X,X,X,X,O,X
ITSZOJL,O,O,X,X,X,X,X,X,X,X,O,X
ITSOLJZ,O,X,X,X,X,X,X,X,X,X,X,X
ITSOLZJ,O,X,X,X,X,X,X,X,X,X,X,X
ITSOJLZ,O,X,X,X,X,X,X,X,X,X,X,X
ITSOJZL,O,X,X,X,X,X,X,X,X,X,X,X
ITSOZLJ,O,O,X,X,X,X,X,X,X,X,X,X
ITSOZJL,O,O,X,X,X,X,X,X,X,X,X,X
ITZLJSO,X,O,X,X,X,O,X,O,X,X,X,X
ITZLJOS,X,X,X,X,X,O,X,O,X,O,X,X
ITZLSJO,X,O,X,X,X,O,X,X,O,X,X,X
ITZLSOJ,X,O,X,X,X,O,X,X,O,X,X,X
ITZLOJS,X,X,X,X,X,O,X,O,X,O,X,X
ITZLOSJ,X,O,X,X,X,O,X,X,X,X,X,X
ITZJLSO,X,X,X,O,X,O,X,O,X,X,X,X
ITZJLOS,X,X,X,O,X,O,X,O,X,O,X,X
ITZJSLO,X,X,X,O,X,X,X,X,X,X,O,X
ITZJSOL,X,O,X,X,X,X,X,X,X,O,O,X
ITZJOLS,X,X,X,X,X,O,X,X,X,O,X,X
ITZJOSL,X,X,X,X,X,X,X,X,X,O,X,X
ITZSLJO,X,X,X,X,X,X,X,X,X,X,O,X
ITZSLOJ,X,O,X,X,X,X,X,X,X,X,O,X
ITZSJLO,X,X,X,X,X,X,X,X,X,X,O,X
ITZSJOL,X,O,X,X,X,X,X,X,X,O,O,X
ITZSOLJ,X,O,X,X,X,X,X,X,X,X,O,X
ITZSOJL,X,O,X,X,X,X,X,X,X,O,O,X
ITZOLJS,X,X,X,X,X,O,X,X,X,O,X,X
ITZOLSJ,X,X,X,X,X,O,X,X,X,X,X,X
ITZOJLS,X,X,X,X,X,X,X,X,X,O,X,X
ITZOJSL,X,X,X,X,X,X,X,X,X,O,X,X
ITZOSLJ,X,O,X,X,X,X,X,X,X,X,X,X
ITZOSJL,X,O,X,X,X,X,X,X,X,O,X,X
ITOLJSZ,O,X,X,X,X,X,X,X,X,X,X,X
ITOLJZS,O,X,X,X,X,O,X,X,X,X,X,X
ITOLSJZ,O,X,X,X,X,X,X,X,X,X,X,X
ITOLSZJ,O,X,X,X,X,O,X,X,X,X,X,X
ITOLZJS,X,X,X,X,X,O,X,X,X,X,X,X
ITOLZSJ,O,X,X,X,X,O,X,X,X,X,X,X
ITOJLSZ,O,X,X,O,X,X,X,X,X,X,X,X
ITOJLZS,O,X,X,O,X,X,X,X,X,X,X,X
ITOJSLZ,O,X,X,O,X,X,X,X,X,X,X,X
ITOJSZL,O,X,X,X,X,X,X,X,X,X,X,X
ITOJZLS,O,X,X,X,X,X,X,X,X,X,X,X
ITOJZSL,O,X,X,X,X,X,X,X,X,X,X,X
ITOSLJZ,O,X,X,X,X,X,X,X,X,X,X,X
ITOSLZJ,O,X,X,X,X,X,X,X,X,X,X,X
ITOSJLZ,O,X,X,X,X,X,X,X,X,X,X,X
ITOSJZL,O,X,X,X,X,X,X,X,X,X,X,X
ITOSZLJ,O,O,X,X,X,X,X,X,X,X,X,X
ITOSZJL,O,O,X,X,X,X,X,X,X,X,X,X
ITOZLJS,X,X,X,X,X,O,X,X,X,X,X,X
ITOZLSJ,O,X,X,X,X,O,X,X,X,X,X,X
ITOZJLS,O,X,X,X,X,X,X,X,X,X,X,X
ITOZJSL,O,X,X,X,X,X,X,X,X,X,X,X
ITOZSLJ,O,O,X,X,X,X,X,X,X,X,X,X
ITOZSJL,O,O,X,X,X,X,X,X,X,X,X,X
ILTJSZO,O,O,X,O,X,O,X,X,X,X,X,X
ILTJSOZ,O,X,X,O,X,X,X,X,X,X,X,X
ILTJZSO,O,O,X,O,X,O,X,X,X,X,X,X
ILTJZOS,O,X,X,O,X,O,X,X,X,X,X,X
ILTJOSZ,O,X,X,O,X,X,X,X,X,X,X,X
ILTJOZS,O,X,X,O,X,O,X,X,X,X,X,X
ILTSJZO,O,O,X,O,X,X,X,X,X,X,X,X
ILTSJOZ,O,X,X,O,X,X,X,X,X,X,X,X
ILTSZJO,O,O,X,O,X,O,X,X,O,X,X,X
ILTSZOJ,O,O,X,X,X,O,X,X,O,X,X,X
ILTSOJZ,O,X,X,X,X,X,X,X,X,X,X,X
ILTSOZJ,O,O,X,X,X,X,X,X,X,X,X,X
ILTZJSO,X,O,X,O,X,O,X,X,X,X,X,X
ILTZJOS,X,X,X,O,X,O,X,X,X,X,X,X
ILTZSJO,X,O,X,O,X,O,X,X,O,X,X,X
ILTZSOJ,X,O,X,X,X,O,X,X,O,X,X,X
ILTZOJS,X,X,X,O,X,O,X,X,X,X,X,X
ILTZOSJ,X,O,X,X,X,O,X,X,X,X,X,X
ILTOJSZ,O,X,X,O,X,X,X,X,X,X,X,X
ILTOJZS,O,X,X,O,X,X,X,X,X,X,X,X
ILTOSJZ,O,X,X,X,X,X,X,X,X,X,X,X
ILTOSZJ,O,O,X,X,X,X,X,X,X,X,X,X
ILTOZJS,X,X,X,O,X,X,X,X,X,X,X,X
ILTOZSJ,O,O,X,X,X,O,X,X,X,X,X,X
ILJTSZO,O,O,X,O,X,O,X,X,X,X,X,X
ILJTSOZ,O,O,X,O,X,X,X,X,X,X,X,X
ILJTZSO,O,O,X,O,X,O,X,X,X,X,X,X
ILJTZOS,O,O,X,O,X,O,X,X,X,X,X,X
ILJTOSZ,O,O,X,O,X,X,X,X,X,X,X,X
ILJTOZS,O,O,X,O,X,O,X,X,X,X,X,X
ILJSTZO,O,O,X,O,X,O,X,X,X,X,X,X
ILJSTOZ,O,O,X,O,X,X,X,X,X,X,X,X
ILJSZTO,O,O,O,O,O,O,X,X,O,X,X,X
ILJSZOT,O,O,O,O,O,X,X,X,X,X,X,X
ILJSOTZ,O,O,X,O,X,X,X,X,X,X,X,X
ILJSOZT,O,O,X,O,X,X,X,X,X,X,X,X
ILJZTSO,O,O,O,O,O,O,X,O,X,X,X,X
ILJZTOS,O,O,O,O,X,O,X,O,X,O,X,X
ILJZSTO,O,O,O,O,O,O,X,O,O,X,X,X
ILJZSOT,X,O,O,O,O,X,X,O,X,X,X,X
ILJZOTS,O,O,X,O,O,O,X,O,X,X,X,X
ILJZOST,X,O,O,O,O,X,X,O,X,X,X,X
ILJOTSZ,O,O,X,O,X,X,X,X,X,X,X,X
ILJOTZS,O,O,X,O,X,O,X,X,X,X,X,X
ILJOSTZ,O,O,X,O,X,X,X,X,X,X,X,X
ILJOSZT,O,O,X,O,O,X,X,X,X,X,X,X
ILJOZTS,O,O,X,O,O,O,X,X,X,X,X,X
ILJOZST,X,O,X,O,O,X,X,X,X,X,X,X
ILSTJZO,O,O,X,O,X,X,X,X,X,X,X,X
ILSTJOZ,O,O,X,O,X,X,X,X,X,X,X,X
ILSTZJO,O,O,X,O,X,O,X,X,O,X,X,X
ILSTZOJ,O,O,X,X,X,O,X,X,O,X,X,X
ILSTOJZ,O,O,X,X,X,X,X,X,X,X,X,X
ILSTOZJ,O,O,X,X,X,X,X,X,X,X,X,X
ILSJTZO,O,O,X,O,X,O,X,X,X,X,X,X
ILSJTOZ,O,O,X,O,X,X,X,X,X,X,X,X
ILSJZTO,O,O,O,O,O,O,X,X,O,X,X,X
ILSJZOT,O,O,O,O,O,X,X,X,X,X,X,X
ILSJOTZ,O,O,X,O,X,X,X,X,X,X,X,X
ILSJOZT,O,O,X,O,X,X,X,X,X,X,X,X
ILSZTJO,O,O,O,O,O,O,X,X,O,X,X,X
ILSZTOJ,O,O,O,X,O,O,X,X,O,X,X,X
ILSZJTO,O,O,O,O,O,O,X,X,O,X,X,X
ILSZJOT,O,X,O,O,O,X,X,X,X,X,X,X
ILSZOTJ,O,O,O,X,O,X,X,X,O,X,X,X
ILSZOJT,O,X,O,X,O,X,X,X,X,X,X,X
ILSOTJZ,O,O,X,X,X,X,X,X,X,X,X,X
ILSOTZJ,O,O,X,X,X,X,X,X,X,X,X,X
ILSOJTZ,O,O,X,X,X,X,X,X,X,X,X,X
ILSOJZT,O,O,X,X,X,X,X,X,X,X,X,X
ILSOZTJ,O,O,X,X,X,X,X,X,O,X,X,X
ILSOZJT,O,O,X,X,X,X,X,X,X,X,X,X
ILZTJSO,X,O,O,O,O,O,X,O,X,X,X,X
ILZTJOS,X,X,O,O,O,O,X,O,X,O,X,X
ILZTSJO,X,O,O,O,O,O,X,X,O,X,X,X
ILZTSOJ,X,O,O,X,O,O,X,X,O,X,X,X
ILZTOJS,X,X,X,O,O,O,X,O,X,O,X,X
ILZTOSJ,X,O,X,X,O,O,X,X,X,X,X,X
ILZJTSO,O,O,O,O,O,O,X,O,X,X,X,X
ILZJTOS,O,X,O,O,X,O,X,O,X,O,X,X
ILZJSTO,X,O,O,O,O,O,X,O,O,X,X,X
ILZJSOT,X,X,O,O,O,X,X,O,X,X,X,X
ILZJOTS,X,X,X,O,O,O,X,O,X,X,X,X
ILZJOST,X,X,O,O,O,X,X,O,X,X,X,X
ILZSTJO,O,O,O,O,O,O,X,X,O,X,X,X
ILZSTOJ,O,O,O,X,O,O,X,X,O,X,X,X
ILZSJTO,O,O,O,O,O,O,X,O,O,X,X,X
ILZSJOT,O,X,O,O,O,X,X,O,X,X,X,X
ILZSOTJ,O,O,O,X,O,X,X,X,O,X,X,X
ILZSOJT,O,X,O,X,O,X,X,O,X,X,X,X
ILZOTJS,X,X,X,O,O,X,X,O,X,X,X,X
ILZOTSJ,O,O,X,X,O,O,X,X,X,X,X,X
ILZOJTS,O,X,X,O,O,O,X,O,X,X,X,X
ILZOJST,X,X,X,O,O,X,X,O,X,X,X,X
ILZOSTJ,O,O,X,X,O,X,X,X,O,X,X,X
ILZOSJT,O,X,X,X,O,X,X,O,X,X,X,X
ILOTJSZ,O,O,X,O,X,X,X,X,X,X,X,X
ILOTJZS,O,O,X,O,X,X,X,X,X,X,X,X
ILOTSJZ,O,O,X,X,X,X,X,X,X,X,X,X
ILOTSZJ,O,O,X,X,X,X,X,X,X,X,X,X
ILOTZJS,X,O,X,O,X,X,X,X,X,X,X,X
ILOTZSJ,O,O,X,X,X,O,X,X,X,X,X,X
ILOJTSZ,O,O,X,O,X,X,X,X,X,X,X,X
ILOJTZS,O,O,X,O,X,O,X,X,X,X,X,X
ILOJSTZ,O,O,X,O,X,X,X,X,X,X,X,X
ILOJSZT,O,O,X,O,O,X,X,X,X,X,X,X
ILOJZTS,O,O,X,O,O,O,X,X,X,X,X,X
ILOJZST,O,O,X,O,O,X,X,X,X,X,X,X
ILOSTJZ,O,O,X,X,X,X,X,X,X,X,X,X
ILOSTZJ,O,O,X,X,X,X,X,X,X,X,X,X
ILOSJTZ,O,O,X,X,X,X,X,X,X,X,X,X
ILOSJZT,O,O,X,X,O,X,X,X,X,X,X,X
ILOSZTJ,O,O,X,X,O,X,X,X,O,X,X,X
ILOSZJT,O,O,X,X,O,X,X,X,X,X,X,X
ILOZTJS,X,O,X,O,O,X,X,X,X,X,X,X
ILOZTSJ,O,O,X,X,O,O,X,X,X,X,X,X
ILOZJTS,O,O,X,O,O,O,X,X,X,X,X,X
ILOZJST,X,O,X,O,O,X,X,X,X,X,X,X
ILOZSTJ,O,O,X,X,O,X,X,X,O,X,X,X
ILOZSJT,O,O,X,X,O,X,X,X,X,X,X,X
IJTLSZO,O,O,X,O,X,O,X,X,X,X,X,X
IJTLSOZ,O,O,X,O,X,X,X,X,X,X,X,X
IJTLZSO,O,O,X,O,X,O,X,X,X,X,X,X
IJTLZOS,O,O,X,O,X,O,X,X,X,X,X,X
IJTLOSZ,O,O,X,O,X,X,X,X,X,X,X,X
IJTLOZS,O,O,X,O,X,O,X,X,X,X,X,X
IJTSLZO,O,O,X,O,X,X,X,X,X,X,X,X
IJTSLOZ,O,X,X,O,X,X,X,X,X,X,X,X
IJTSZLO,O,O,X,O,X,X,X,X,X,X,O,X
IJTSZOL,O,O,X,X,X,X,X,X,X,X,O,X
IJTSOLZ,O,X,X,O,X,X,X,X,X,X,X,X
IJTSOZL,O,O,X,X,X,X,X,X,X,X,X,X
IJTZLSO,O,O,X,O,X,O,X,O,X,X,X,X
IJTZLOS,O,O,X,O,X,O,X,O,X,O,X,X
IJTZSLO,O,O,X,O,X,X,X,X,X,X,O,X
IJTZSOL,O,O,X,X,X,X,X,X,X,O,O,X
IJTZOLS,O,X,X,X,X,O,X,X,X,O,X,X
IJTZOSL,O,O,X,X,X,X,X,X,X,O,X,X
IJTOLSZ,O,X,X,O,X,O,X,X,X,X,X,X
IJTOLZS,O,X,X,O,X,O,X,X,X,X,X,X
IJTOSLZ,O,X,X,O,X,X,X,X,X,X,X,X
IJTOSZL,O,O,X,X,X,X,X,X,X,X,X,X
IJTOZLS,O,X,X,X,X,O,X,X,X,X,X,X
IJTOZSL,O,O,X,X,X,X,X,X,X,X,X,X
IJLTSZO,O,O,X,O,X,O,X,X,X,X,X,X
IJLTSOZ,O,O,X,O,X,X,X,X,X,X,X,X
IJLTZSO,O,O,X,O,X,O,X,X,X,X,X,X
IJLTZOS,O,O,X,O,X,O,X,X,X,X,X,X
IJLTOSZ,O,O,X,O,X,X,X,X,X,X,X,X
IJLTOZS,O,O,X,O,X,O,X,X,X,X,X,X
IJLSTZO,O,O,X,O,X,O,X,X,X,X,X,X
IJLSTOZ,O,O,X,O,X,X,X,X,X,X,X,X
IJLSZTO,O,O,X,O,X,O,X,X,O,X,X,X
IJLSZOT,O,O,X,O,X,X,X,X,X,X,X,X
IJLSOTZ,O,O,X,O,X,X,X,X,X,X,X,X
IJLSOZT,O,O,X,O,X,X,X,X,X,X,X,X
IJLZTSO,O,O,X,O,X,O,X,O,X,X,X,X
IJLZTOS,O,O,X,O,X,O,X,O,X,O,X,X
IJLZSTO,O,O,X,O,X,O,X,O,O,X,X,X
IJLZSOT,X,O,X,O,X,X,X,O,X,X,X,X
IJLZOTS,O,O,X,O,X,O,X,O,X,X,X,X
IJLZOST,X,O,X,O,X,X,X,O,X,X,X,X
IJLOTSZ,O,O,X,O,X,X,X,X,X,X,X,X
IJLOTZS,O,O,X,O,X,O,X,X,X,X,X,X
IJLOSTZ,O,O,X,O,X,X,X,X,X,X,X,X
IJLOSZT,O,O,X,O,X,X,X,X,X,X,X,X
IJLOZTS,O,O,X,O,X,O,X,X,X,X,X,X
IJLOZST,X,O,X,O,X,X,X,X,X,X,X,X
IJSTLZO,O,O,X,O,X,X,X,X,X,X,X,X
IJSTLOZ,O,X,X,O,X,X,X,X,X,X,X,X
IJSTZLO,O,O,X,O,X,X,X,X,X,X,O,X
IJSTZOL,O,O,X,X,X,X,X,X,X,X,O,X
IJSTOLZ,O,O,X,O,X,X,X,X,X,X,X,X
IJSTOZL,O,O,X,X,X,X,X,X,X,X,X,X
IJSLTZO,O,O,X,O,X,O,X,X,X,X,X,X
IJSLTOZ,O,O,X,O,X,X,X,X,X,X,X,X
IJSLZTO,O,O,X,O,X,O,X,X,X,X,X,X
IJSLZOT,O,O,X,O,X,X,X,X,X,X,X,X
IJSLOTZ,O,O,X,O,X,X,X,X,X,X,X,X
IJSLOZT,O,O,X,O,X,X,X,X,X,X,X,X
IJSZTLO,O,O,X,O,X,X,X,X,X,X,O,X
IJSZTOL,O,O,X,X,X,X,X,X,X,O,O,X
IJSZLTO,X,O,X,O,X,O,X,O,X,X,O,X
IJSZLOT,X,O,X,O,X,X,X,O,X,X,O,X
IJSZOTL,O,O,X,X,X,X,X,X,X,X,O,X
IJSZOLT,X,X,X,X,X,X,X,X,X,X,O,X
IJSOTLZ,O,O,X,O,X,X,X,X,X,X,X,X
IJSOTZL,O,O,X,X,X,X,X,X,X,X,X,X
IJSOLTZ,O,O,X,O,X,X,X,X,X,X,X,X
IJSOLZT,O,O,X,O,X,X,X,X,X,X,X,X
IJSOZTL,O,O,X,X,X,X,X,X,X,X,X,X
IJSOZLT,X,O,X,X,X,X,X,X,X,X,X,X
IJZTLSO,O,O,X,O,X,O,X,O,X,X,X,X
IJZTLOS,O,O,X,O,X,O,X,O,X,O,X,X
IJZTSLO,O,O,X,O,X,X,X,X,X,O,O,X
IJZTSOL,O,O,X,X,X,X,X,X,X,O,O,X
IJZTOLS,O,X,X,X,X,O,O,X,X,O,X,X
IJZTOSL,O,O,X,X,X,X,O,X,X,O,X,X
IJZLTSO,O,O,X,O,X,O,X,O,X,X,X,X
IJZLTOS,O,O,X,O,X,O,X,O,X,O,X,X
IJZLSTO,O,O,X,O,X,O,X,O,O,X,O,X
IJZLSOT,X,O,X,O,X,X,X,O,X,X,O,X
IJZLOTS,O,O,X,O,X,O,X,O,X,X,X,X
IJZLOST,X,O,X,O,X,X,X,O,X,X,X,X
IJZSTLO,O,O,X,O,X,X,X,X,X,X,O,X
IJZSTOL,O,O,X,X,X,X,X,X,X,O,O,X
IJZSLTO,X,O,X,O,X,O,X,O,X,X,O,X
IJZSLOT,X,O,X,O,X,X,X,O,X,X,O,X
IJZSOTL,X,O,X,X,X,X,X,X,X,X,O,X
IJZSOLT,X,X,X,O,X,X,X,X,X,X,O,X
IJZOTLS,O,X,X,X,X,O,O,X,X,O,X,X
IJZOTSL,O,O,X,X,X,X,O,X,X,O,X,X
IJZOLTS,X,O,X,O,X,O,X,O,X,X,X,X
IJZOLST,X,O,X,O,X,O,X,O,X,X,X,X
IJZOSTL,X,O,X,X,X,X,O,X,X,X,O,X
IJZOSLT,X,X,X,O,X,X,O,X,X,X,O,X
IJOTLSZ,O,O,X,O,X,O,X,X,X,X,X,X
IJOTLZS,O,O,X,O,X,O,X,X,X,X,X,X
IJOTSLZ,O,O,X,O,X,X,X,X,X,X,X,X
IJOTSZL,O,O,X,X,X,X,X,X,X,X,X,X
IJOTZLS,O,O,X,X,X,O,X,X,X,X,X,X
IJOTZSL,O,O,X,X,X,X,X,X,X,X,X,X
IJOLTSZ,O,O,X,O,X,O,X,X,X,X,X,X
IJOLTZS,O,O,X,O,X,O,X,X,X,X,X,X
IJOLSTZ,O,O,X,O,X,O,X,X,X,X,X,X
IJOLSZT,O,O,X,O,X,O,X,X,X,X,X,X
IJOLZTS,O,O,X,O,X,O,X,X,X,X,X,X
IJOLZST,X,O,X,O,X,O,X,X,X,X,X,X
IJOSTLZ,O,O,X,O,X,X,X,X,X,X,X,X
IJOSTZL,O,O,X,X,X,X,X,X,X,X,X,X
IJOSLTZ,O,O,X,O,X,X,X,X,X,X,X,X
IJOSLZT,O,O,X,O,X,X,X,X,X,X,X,X
IJOSZTL,O,O,X,X,X,X,O,X,X,X,X,X
IJOSZLT,X,O,X,X,X,X,O,X,X,X,X,X
IJOZTLS,O,O,X,X,X,O,O,X,X,O,X,X
IJOZTSL,O,O,X,X,X,X,O,X,X,O,X,X
IJOZLTS,X,O,X,X,X,O,X,O,X,X,X,X
IJOZLST,X,O,X,X,X,O,X,O,X,X,X,X
IJOZSTL,X,O,X,X,X,X,O,X,X,X,X,X
IJOZSLT,X,O,X,X,X,X,O,X,X,X,X,X
ISTLJZO,O,X,X,X,X,X,X,X,X,X,X,X
ISTLJOZ,O,X,X,X,X,X,X,X,X,X,X,X
ISTLZJO,O,X,X,X,X,X,X,X,X,X,X,X
ISTLZOJ,O,O,X,X,X,X,X,X,X,X,X,X
ISTLOJZ,O,X,X,X,X,X,X,X,X,X,X,X
ISTLOZJ,O,X,X,X,X,X,X,X,X,X,X,X
ISTJLZO,O,O,X,O,X,X,X,X,X,X,X,X
ISTJLOZ,O,X,X,O,X,X,X,X,X,X,X,X
ISTJZLO,O,O,X,O,X,X,X,X,X,X,O,X
ISTJZOL,O,O,X,X,X,X,X,X,X,X,O,X
ISTJOLZ,O,O,X,O,X,X,X,X,X,X,X,X
ISTJOZL,O,O,X,X,X,X,X,X,X,X,X,X
ISTZLJO,O,X,X,X,X,X,X,X,X,X,O,X
ISTZLOJ,O,O,X,X,X,X,X,X,X,X,O,X
ISTZJLO,O,X,X,X,X,X,X,X,X,X,O,X
ISTZJOL,O,O,X,X,X,X,X,X,X,X,O,X
ISTZOLJ,O,O,X,X,X,X,X,X,X,X,O,X
ISTZOJL,O,O,X,X,X,X,X,X,X,X,O,X
