sequence,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JeF8IvhFxdBTgB?UiBaoBOrBXsB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JeU8IvhFFdBXeB?TgBxmBysB2wB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxcBXeB?2nBFmBisBTrB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8Je37IvhFUdBFeB?mlBRnBisBTrB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxcBXeB?mhBFmBznBywB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxdBlhB?aoBXhBTnB2wB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxcBXeB?FmBesBznBirB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFTcBxdB?eoBarBFnBXsB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxdB3iB?FmBysBmrBTrB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFTcBxdB?FmBmnB3nBywB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFTcBFeB?foBRmBKnB2wB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxcBXeB?anBFmBznB2wB
TIJOLSZ,O,X,X,O,X,O,X,X,X,X,X,X
TIJOLZS,O,X,X,O,X,O,X,X,X,X,X,X
TIJOSLZ,O,X,X,O,X,X,X,X,X,X,X,X
TIJOSZL,O,X,X,X,X,X,X,X,X,X,X,X
TIJOZLS,O,X,X,X,X,O,X,X,X,X,X,X
TIJOZSL,O,X,X,X,X,X,X,X,X,X,X,X
TISLJZO,O,X,X,X,X,X,X,X,X,X,X,X
TISLJOZ,O,X,X,X,X,X,X,X,X,X,X,X
TISLZJO,O,X,X,X,X,X,X,X,X,X,X,X
TISLZOJ,O,O,X,X,X,X,X,X,X,X,X,X
TISLOJZ,O,X,X,X,X,X,X,X,X,X,X,X
TISLOZJ,O,X,X,X,X,X,X,X,X,X,X,X
TISJLZO,O,X,X,O,X,X,X,X,X,X,X,X
TISJLOZ,O,X,X,O,X,X,X,X,X,X,X,X
TISJZLO,O,X,X,O,X,X,X,X,X,X,O,X
TISJZOL,O,O,X,X,X,X,X,X,X,X,O,X
TISJOLZ,O,X,X,O,X,X,X,X,X,X,X,X
TISJOZL,O,X,X,X,X,X,X,X,X,X,X,X
TISZLJO,O,X,X,X,X,X,X,X,X,X,O,X
TISZLOJ,O,O,X,X,X,X,X,X,X,X,O,X
TISZJLO,O,X,X,X,X,X,X,X,X,X,O,X
TISZJOL,O,O,X,X,X,X,X,X,X,X,O,X
TISZOLJ,O,O,X,X,X,X,X,X,X,X,O,X
TISZOJL,O,O,X,X,X,X,X,X,X,X,O,X
TISOLJZ,O,X,X,X,X,X,X,X,X,X,X,X
TISOLZJ,O,X,X,X,X,X,X,X,X,X,X,X
TISOJLZ,O,X,X,X,X,X,X,X,X,X,X,X
TISOJZL,O,X,X,X,X,X,X,X,X,X,X,X
TISOZLJ,O,O,X,X,X,X,X,X,X,X,X,X
TISOZJL,O,O,X,X,X,X,X,X,X,X,X,X
TIZLJSO,X,O,X,X,X,O,X,O,X,X,X,X
TIZLJOS,X,X,X,X,X,O,X,O,X,O,X,X
TIZLSJO,X,O,X,X,X,O,X,X,O,X,X,X
TIZLSOJ,X,O,X,X,X,O,X,X,O,X,X,X
TIZLOJS,X,X,X,X,X,O,X,O,X,O,X,X
TIZLOSJ,X,O,X,X,X,O,X,X,X,X,X,X
TIZJLSO,X,X,X,O,X,O,X,O,X,X,X,X
TIZJLOS,X,X,X,O,X,O,X,O,X,O,X,X
TIZJSLO,X,X,X,O,X,X,X,X,X,X,O,X
TIZJSOL,X,O,X,X,X,X,X,X,X,O,O,X
TIZJOLS,X,X,X,X,X,O,X,X,X,O,X,X
TIZJOSL,X,X,X,X,X,X,X,X,X,O,X,X
TIZSLJO,X,X,X,X,X,X,X,X,X,X,O,X
TIZSLOJ,X,O,X,X,X,X,X,X,X,X,O,X
TIZSJLO,X,X,X,X,X,X,X,X,X,X,O,X
TIZSJOL,X,O,X,X,X,X,X,X,X,O,O,X
TIZSOLJ,X,O,X,X,X,X,X,X,X,X,O,X
TIZSOJL,X,O,X,X,X,X,X,X,X,O,O,X
TIZOLJS,X,X,X,X,X,O,X,X,X,O,X,X
TIZOLSJ,X,X,X,X,X,O,X,X,X,X,X,X
TIZOJLS,X,X,X,X,X,X,X,X,X,O,X,X
TIZOJSL,X,X,X,X,X,X,X,X,X,O,X,X
TIZOSLJ,X,O,X,X,X,X,X,X,X,X,X,X
TIZOSJL,X,O,X,X,X,X,X,X,X,O,X,X
TIOLJSZ,O,X,X,X,X,X,X,X,X,X,X,X
TIOLJZS,O,X,X,X,X,O,X,X,X,X,X,X
TIOLSJZ,O,X,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,O,X,X,X,X,O,X,X,X,X,X,X
TIOLZJS,X,X,X,X,X,O,X,X,X,X,X,X
TIOLZSJ,O,X,X,X,X,O,X,X,X,X,X,X
TIOJLSZ,O,X,X,O,X,X,X,X,X,X,X,X
TIOJLZS,O,X,X,O,X,X,X,X,X,X,X,X
TIOJSLZ,O,X,X,O,X,X,X,X,X,X,X,X
TIOJSZL,O,X,X,X,X,X,X,X,X,X,X,X
TIOJZLS,O,X,X,X,X,X,X,X,X,X,X,X
TIOJZSL,O,X,X,X,X,X,X,X,X,X,X,X
TIOSLJZ,O,X,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,O,X,X,X,X,X,X,X,X,X,X,X
